gml_id,sa3_code16,p_pg_deg_35_44_yr,p_pg_deg_45_54_yr,p_pg_deg_55_64_yr,p_pg_deg_65_74_yr,p_pg_deg_75_84_yr,p_pg_deg_85_yr_over,p_pguate_deg_tot,p_grad_dip_cer_15_24,p_grad_dip_cer_25_34,p_grad_dip_cer_35_44,p_grad_dip_cer_45_54,p_grad_dip_cer_55_64,p_grad_dip_cer_65_74,p_grad_dip_cer_75_84,p_grad_dip_cer_85_over,p_grad_dip_cer_tot,p_b_deg_15_24_yr,p_b_deg_25_34_yr,p_b_deg_35_44_yr,p_b_deg_45_54_yr,p_b_deg_55_64_yr,p_b_deg_65_74_yr,p_b_deg_75_84_yr,p_b_deg_85_yr_over,p_b_deg_tot,p_adv_dip_dip_15_24,p_adv_dip_dip_25_34,p_adv_dip_dip_35_44,p_adv_dip_dip_45_54,p_adv_dip_dip_55_64,p_adv_dip_dip_65_74,p_adv_dip_dip_75_84,p_adv_dip_dip_85_over,p_adv_dip_dip_total,p_cer_iii_iv_15_24_yr,p_cer_iii_iv_25_34_yr,p_cer_iii_iv_35_44_yr,p_cer_iii_iv_45_54_yr,p_cer_iii_iv_55_64_yr,p_cer_iii_iv_65_74_yr,p_cer_iii_iv_75_84_yr,p_cer_iii_iv_85_yr,p_cer_iii_iv_tot,p_cer_i_ii_15_24_yr,p_cer_i_ii_25_34_yr,p_cer_i_ii_35_44_yr,p_cer_i_ii_45_54_yr,p_cer_i_ii_55_64_yr,p_cer_i_ii_65_74_yr,p_cer_i_ii_75_84_yr,p_cer_i_ii_85_yr_over,p_cer_i_ii_tot,p_cer_nfd_15_24_yr,p_cer_nfd_25_34_yr,p_cer_nfd_35_44_yr,p_cer_nfd_45_54_yr,p_cer_nfd_55_64_yr,p_cer_nfd_65_74_yr,p_cer_nfd_75_84_yr,p_cer_nfd_85_yr_over,p_cer_nfd_tot,p_cer_tot_15_24_yr,p_cer_tot_25_34_yr,p_cer_tot_35_44_yr,p_cer_tot_45_54_yr,p_cer_tot_55_64_yr,p_cer_tot_65_74_yr,p_cer_tot_75_84_yr,p_cer_tot_85_yr_over,p_cer_tot_tot,p_lvl_educ_inad_desc_15_24,p_lvl_educ_inad_desc_25_34,p_lvl_educ_inad_desc_35_44,p_lvl_educ_inad_desc_45_54,p_lvl_educ_inad_desc_55_64,p_lvl_educ_inad_desc_65_74,p_lvl_educ_inad_desc_75_84,p_lvl_educ_inad_desc_85,p_lvl_educ_inad_desc_tot,p_lvl_educ_ns_15_24,p_lvl_educ_ns_25_34,p_lvl_educ_ns_35_44,p_lvl_educ_ns_45_54,p_lvl_educ_ns_55_64,p_lvl_educ_ns_65_74,p_lvl_educ_ns_75_84,p_lvl_educ_ns_85,p_lvl_educ_ns_tot,p_tot_15_24_yr,p_tot_25_34_yr,p_tot_35_44_yr,p_tot_45_54_yr,p_tot_55_64_yr,p_tot_65_74_yr,p_tot_75_84_yr,p_tot_85_yr_over,p_tot_tot,sa3_name16
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p38b_non_scl_qual_lv_of_edu_by_age_by_sex_census_2016.fid-5ff86f36_1724bdf6fd3_633b,"10102","684","778","473","231","54","11","2700","13","200","298","357","262","135","19","0","1288","333","1610","1580","1317","912","469","151","35","6403","235","824","995","1191","772","366","125","32","4531","771","1685","1592","1636","1241","556","200","60","7743","145","109","76","89","76","40","3","3","554","45","89","143","219","186","128","47","15","879","970","1888","1807","1943","1508","727","254","74","9170","17","52","44","68","58","36","18","8","308","652","760","755","881","781","627","329","136","4918","2225","5794","6163","6532","4767","2591","955","289","29310",Queanbeyan
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p38b_non_scl_qual_lv_of_edu_by_age_by_sex_census_2016.fid-5ff86f36_1724bdf6fd3_633c,"10103","260","245","254","201","31","0","1148","10","64","107","102","161","87","15","0","539","243","843","916","730","716","451","101","24","4032","105","361","456","540","445","310","85","17","2319","540","953","877","956","776","455","184","40","4780","80","46","54","56","57","23","6","0","335","42","77","60","93","132","94","38","9","545","662","1085","990","1113","961","570","228","45","5661","13","34","24","20","34","31","11","8","173","639","745","787","770","727","583","284","128","4673","1690","3269","3540","3517","3297","2232","767","228","18540",Snowy Mountains
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p38b_non_scl_qual_lv_of_edu_by_age_by_sex_census_2016.fid-5ff86f36_1724bdf6fd3_633d,"10104","170","252","396","364","85","29","1402","13","81","148","219","427","259","50","11","1207","104","616","963","1048","1489","1165","423","125","5936","99","377","645","925","1312","1093","387","114","4953","734","1554","1728","2333","2666","1813","837","215","11892","129","129","133","158","185","106","31","6","875","82","108","189","257","409","387","143","40","1618","946","1788","2054","2750","3256","2307","1020","267","14387","16","25","37","69","124","132","73","28","506","692","467","604","883","1214","1427","1226","662","7185","1873","3464","4618","6147","8222","6749","3270","1235","35569",South Coast
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p38b_non_scl_qual_lv_of_edu_by_age_by_sex_census_2016.fid-5ff86f36_1724bdf6fd3_633e,"10105","113","124","146","94","33","7","621","8","54","75","74","133","47","13","3","413","99","532","477","438","438","287","96","36","2402","116","447","502","541","530","314","128","27","2607","561","1138","1071","1152","939","656","269","69","5864","93","74","59","89","61","23","3","6","412","50","69","110","144","151","129","36","19","708","714","1287","1243","1385","1149","806","315","93","6987","10","19","12","16","47","42","20","10","183","476","502","514","565","508","592","490","323","3967","1425","2934","2939","3148","2963","2184","1099","492","17175",Goulburn - Mulwaree
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p38b_non_scl_qual_lv_of_edu_by_age_by_sex_census_2016.fid-5ff86f36_1724bdf6fd3_633f,"10106","204","228","187","124","40","9","896","10","59","126","143","129","70","15","3","549","140","542","760","700","539","394","108","31","3222","72","294","500","535","465","294","118","23","2299","497","891","1013","1085","851","532","197","43","5110","84","62","52","83","49","30","13","0","369","48","37","104","143","146","118","40","13","644","635","997","1162","1314","1042","680","251","50","6129","11","15","23","32","34","37","17","8","164","417","230","339","418","500","511","400","254","3067","1286","2234","3114","3356","2893","2122","944","370","16326",Young - Yass
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p38b_non_scl_qual_lv_of_edu_by_age_by_sex_census_2016.fid-5ff86f36_1724bdf6fd3_6340,"10201","1092","994","884","574","183","57","4503","36","268","461","512","602","321","84","25","2323","834","3791","4161","3198","2812","1748","735","235","17523","605","1975","2843","3109","2603","1717","770","255","13886","2179","4493","4716","5261","4466","3003","1479","571","26177","343","262","295","325","300","195","50","15","1794","189","298","394","677","823","744","308","128","3563","2714","5057","5411","6263","5591","3943","1839","720","31533","41","123","150","256","282","328","163","85","1427","1351","1148","1287","1516","1654","1886","1843","1494","12181","5616","13048","15403","15852","14434","10515","5620","2874","83364",Gosford
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p38b_non_scl_qual_lv_of_edu_by_age_by_sex_census_2016.fid-5ff86f36_1724bdf6fd3_6341,"10202","400","411","394","237","73","25","1848","21","196","243","247","303","149","64","13","1233","536","2240","2265","1608","1512","916","361","84","9522","583","1838","2328","2167","1749","1129","435","157","10378","2582","5355","5152","5393","4365","2879","1529","439","27700","434","328","347","315","263","130","31","12","1866","252","357","487","615","652","574","214","67","3207","3265","6041","5987","6325","5281","3587","1771","517","32776","49","99","118","146","218","199","113","44","990","1441","1157","1210","1562","1713","2071","2056","1389","12595","5907","11861","12552","12475","11166","8289","4873","2220","69338",Wyong
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p38b_non_scl_qual_lv_of_edu_by_age_by_sex_census_2016.fid-5ff86f36_1724bdf6fd3_6342,"10301","209","202","238","137","47","10","1017","10","95","132","166","154","111","20","3","681","235","962","894","761","638","372","135","33","4032","156","428","535","620","601","379","137","60","2919","871","1533","1337","1426","1072","678","265","80","7263","150","114","99","98","85","35","15","3","604","72","99","136","191","187","156","55","16","906","1095","1748","1572","1712","1348","867","333","98","8778","23","30","26","47","58","56","17","18","272","1117","749","610","608","561","620","435","249","4943","2635","4180","3972","4117","3599","2547","1119","470","22637",Bathurst
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p38b_non_scl_qual_lv_of_edu_by_age_by_sex_census_2016.fid-5ff86f36_1724bdf6fd3_6343,"10302","100","104","93","53","21","0","462","10","57","82","83","129","48","15","7","439","171","815","753","571","477","317","91","32","3245","108","368","488","581","627","400","156","52","2785","839","1538","1509","1575","1386","847","350","101","8139","150","133","120","140","114","62","20","8","747","78","99","156","205","231","176","55","10","1005","1067","1769","1786","1919","1723","1075","427","112","9886","11","18","33","33","69","47","35","12","265","766","565","629","867","1011","1074","882","406","6204","2143","3687","3873","4166","4133","3026","1625","630","23284",Lachlan Valley
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p38b_non_scl_qual_lv_of_edu_by_age_by_sex_census_2016.fid-5ff86f36_1724bdf6fd3_6344,"10303","110","100","130","69","29","0","497","3","47","81","76","124","62","16","0","417","104","607","598","500","493","363","104","40","2810","94","371","451","548","541","324","144","37","2514","749","1518","1400","1608","1253","822","372","94","7823","131","123","97","113","97","52","7","4","629","46","93","97","179","194","163","52","15","859","935","1738","1599","1903","1545","1036","433","119","9302","6","25","30","43","64","56","34","10","265","721","707","741","856","894","998","630","221","5763","1865","3555","3612","4033","3790","2908","1391","425","21575",Lithgow - Mudgee
