gml_id,sa3_name16,sa3_code16,opds_separate_house_dwellings,opds_separate_house_persons,opds_sd_r_t_h_th_1_sty_dwgs,opds_sd_r_t_h_th_1_sty_psns,opds_sd_r_t_h_th_2_m_sty_dwgs,opds_sd_r_t_h_th_2_m_sty_psns,opds_sd_r_t_h_th_tot_dwgs,opds_sd_r_t_h_th_tot_psns,opds_f_ap_i_1or2_sty_blk_ds,opds_f_ap_i_1or2_sty_blk_ps,opds_f_ap_i_3_sty_blk_dwgs,opds_f_ap_i_3_sty_blk_psns,opds_f_ap_i_4_m_sty_blk_ds,opds_f_ap_i_4_m_sty_blk_ps,opds_flt_apt_att_house_ds,opds_flt_apt_att_house_ps,opds_flt_apart_tot_dwgs,opds_flt_apart_tot_psns,opds_oth_dwg_cvn_ds,opds_oth_dw_cvn_ps,opds_oth_dwg_cab_hboat_ds,opds_oth_dwg_cab_hboat_ps,opds_ot_dwg_im_hm_tnt_so_ds,opds_ot_dwg_im_hm_tnt_so_ps,opds_ot_dwg_hs_f_att_sh_of_ds,opds_ot_dwg_hs_f_att_sh_of_ps,opds_other_dwelling_tot_dwgs,opds_other_dwelling_tot_psns,opds_dwlling_structur_ns_dwgs,opds_dwlling_structur_ns_psns,opds_tot_opds_dwellings,opds_tot_opds_persons,unoccupied_pds_dwgs,total_pds_dwellings,total_pds_persons
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p31_dwelling_structure_census_2016.fid-5ff86f36_1724bdf6fd3_5f01,Canning,"50603","25967","74786","5310","12371","659","1725","5965","14095","975","2050","124","230","256","333","0","7","1361","2622","0","9","3","21","8","11","12","31","28","66","80","212","33408","91782","3720","37134","91782"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p31_dwelling_structure_census_2016.fid-5ff86f36_1724bdf6fd3_5f02,Gosnells,"50604","35748","105218","3920","8347","314","741","4236","9087","397","840","109","216","0","0","0","0","511","1061","136","183","7","11","12","19","83","233","236","453","87","179","40809","115994","3584","44391","115994"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p31_dwelling_structure_census_2016.fid-5ff86f36_1724bdf6fd3_5f03,Kalamunda,"50605","19727","53300","1030","1689","53","94","1085","1780","51","54","0","0","0","0","0","0","53","64","120","191","9","14","12","27","36","112","184","349","56","136","21097","55626","1656","22758","55626"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p31_dwelling_structure_census_2016.fid-5ff86f36_1724bdf6fd3_5f04,Serpentine - Jarrahdale,"50606","8718","25678","90","173","0","3","94","176","11","18","0","0","0","0","0","0","11","18","9","13","0","0","9","23","8","13","23","54","26","73","8870","26002","770","9642","26002"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p31_dwelling_structure_census_2016.fid-5ff86f36_1724bdf6fd3_5f05,South Perth,"50607","8535","23177","2730","5060","3653","7318","6379","12384","956","1653","702","1180","939","1574","0","0","2601","4412","12","19","0","6","3","8","8","11","24","46","66","141","17600","40156","2599","20198","40156"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p31_dwelling_structure_census_2016.fid-5ff86f36_1724bdf6fd3_5f06,Cockburn,"50701","30461","85883","4029","8026","976","2134","5009","10160","359","584","766","1308","875","1491","3","0","2005","3383","89","143","113","183","12","24","3","13","227","364","140","236","37838","100025","3910","41747","100025"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p31_dwelling_structure_census_2016.fid-5ff86f36_1724bdf6fd3_5f07,Fremantle,"50702","9428","23970","1861","3426","1939","3790","3796","7215","474","732","732","1134","887","1416","6","10","2099","3294","6","5","105","157","47","49","34","59","191","270","153","231","15667","34980","2470","18135","34980"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p31_dwelling_structure_census_2016.fid-5ff86f36_1724bdf6fd3_5f08,Kwinana,"50703","12392","34508","617","1188","131","270","745","1456","375","572","168","303","0","0","0","0","539","877","3","4","0","0","9","17","94","260","105","277","39","112","13822","37228","1475","15300","37228"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p31_dwelling_structure_census_2016.fid-5ff86f36_1724bdf6fd3_5f09,Burnside,"40103","11594","31962","2763","5035","1136","2427","3905","7459","1531","2626","135","182","184","307","0","5","1850","3116","0","0","0","0","0","0","10","24","15","23","34","69","17390","42630","1926","19311","42630"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p31_dwelling_structure_census_2016.fid-5ff86f36_1724bdf6fd3_5f0a,Campbelltown (SA),"40104","14736","38878","3013","6282","535","1425","3548","7711","1618","2865","0","3","0","0","0","5","1620","2877","0","3","3","3","0","0","7","28","13","36","53","142","19971","49638","1751","21728","49638"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p31_dwelling_structure_census_2016.fid-5ff86f36_1724bdf6fd3_5f0b,Melville,"50704","28953","80162","6074","11130","1667","4075","7742","15205","881","1276","280","418","285","496","3","4","1455","2194","4","17","0","12","3","0","7","18","17","45","102","248","38257","97859","3920","42176","97859"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p31_dwelling_structure_census_2016.fid-5ff86f36_1724bdf6fd3_5f0c,Rockingham,"50705","40733","112205","2458","4174","584","1014","3045","5191","894","1336","20","19","227","362","0","0","1134","1715","182","286","29","64","15","27","31","69","255","441","60","142","45225","119687","5667","50891","119687"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p31_dwelling_structure_census_2016.fid-5ff86f36_1724bdf6fd3_5f0d,Albany,"50901","21321","52310","1294","1897","102","164","1394","2060","130","201","0","3","0","0","8","16","134","220","256","417","98","144","50","102","40","103","443","767","148","357","23429","55707","5011","28446","55707"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p31_dwelling_structure_census_2016.fid-5ff86f36_1724bdf6fd3_5f0e,Wheat Belt - North,"50902","21210","50554","428","708","17","47","451","751","231","367","0","0","0","3","8","11","235","381","366","617","80","114","89","187","58","117","590","1032","275","593","22758","53312","7283","30046","53312"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p31_dwelling_structure_census_2016.fid-5ff86f36_1724bdf6fd3_5f0f,Wheat Belt - South,"50903","7638","18015","276","478","0","4","277","480","86","134","0","0","0","0","3","7","87","138","89","134","13","24","15","20","75","101","193","284","82","146","8277","19061","1904","10188","19061"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p31_dwelling_structure_census_2016.fid-5ff86f36_1724bdf6fd3_5f10,Kimberley,"51001","8813","27391","880","1796","277","583","1160","2380","652","1299","4","13","0","5","4","9","670","1322","3615","7265","146","339","887","1780","170","388","4824","9772","242","472","15707","41343","2177","17885","41343"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p31_dwelling_structure_census_2016.fid-5ff86f36_1724bdf6fd3_5f11,East Pilbara,"51002","5524","16305","336","715","184","483","523","1200","696","1179","69","105","70","120","3","3","833","1409","597","1047","14","18","62","116","19","43","695","1224","137","180","7707","20316","3188","10897","20316"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p31_dwelling_structure_census_2016.fid-5ff86f36_1724bdf6fd3_5f12,West Pilbara,"51003","7591","22556","944","1878","87","179","1039","2056","283","441","40","49","115","169","0","6","444","660","986","1968","82","172","86","137","13","29","1163","2314","116","177","10344","27766","2945","13295","27766"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p31_dwelling_structure_census_2016.fid-5ff86f36_1724bdf6fd3_5f13,Esperance,"51101","5375","13461","431","681","35","80","462","761","87","141","3","3","0","0","3","9","87","150","125","230","3","12","46","91","10","25","182","362","187","378","6299","15121","1523","7821","15121"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p31_dwelling_structure_census_2016.fid-5ff86f36_1724bdf6fd3_5f14,Gascoyne,"51102","3114","8168","276","454","19","36","294","488","82","141","3","6","0","0","0","0","83","148","2413","4640","79","158","296","630","16","40","2798","5459","163","309","6453","14575","842","7296","14575"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p31_dwelling_structure_census_2016.fid-5ff86f36_1724bdf6fd3_5f15,Goldfields,"51103","11173","30895","1710","3357","255","504","1960","3860","312","502","0","0","0","0","0","0","312","502","630","994","73","85","102","118","43","103","848","1296","225","361","14520","36914","2681","17196","36914"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p31_dwelling_structure_census_2016.fid-5ff86f36_1724bdf6fd3_5f16,Mid West,"51104","17891","45291","1406","2345","333","773","1741","3122","484","739","19","36","4","3","3","3","505","777","1128","2110","180","296","93","152","123","352","1524","2910","284","552","21951","52647","4773","26721","52647"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p31_dwelling_structure_census_2016.fid-5ff86f36_1724bdf6fd3_5f17,Brighton,"60101","5687","15498","92","163","18","28","111","192","546","986","0","0","0","0","0","0","546","986","6","7","0","0","7","14","5","3","15","30","16","32","6376","16736","387","6770","16736"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p31_dwelling_structure_census_2016.fid-5ff86f36_1724bdf6fd3_5f18,Hobart - North East,"60102","19526","47602","682","996","276","424","956","1423","337","501","82","118","0","0","0","0","422","621","32","46","48","93","9","11","15","42","100","190","44","104","21048","49939","1852","22900","49939"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p31_dwelling_structure_census_2016.fid-5ff86f36_1724bdf6fd3_5f19,Hobart - North West,"60103","18356","45143","1035","1579","368","644","1405","2225","2371","3784","77","120","3","6","8","9","2457","3916","29","51","23","36","5","8","69","177","122","272","33","58","22371","51612","1696","24072","51612"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p31_dwelling_structure_census_2016.fid-5ff86f36_1724bdf6fd3_5f1a,Hobart - South and West,"60104","11602","30104","403","631","230","461","636","1096","267","413","9","13","9","8","0","7","280","443","13","22","21","23","11","11","14","41","57","104","17","40","12598","31790","1086","13685","31790"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p31_dwelling_structure_census_2016.fid-5ff86f36_1724bdf6fd3_5f1b,Hobart Inner,"60105","14344","35457","998","1824","1319","2606","2310","4425","2701","4496","883","1454","719","1100","72","114","4372","7177","3","6","22","30","56","53","78","178","156","265","102","213","21287","47537","2448","23737","47537"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p31_dwelling_structure_census_2016.fid-5ff86f36_1724bdf6fd3_5f1c,Sorell - Dodges Ferry,"60106","6335","15186","72","118","12","28","86","153","7","19","0","0","0","0","0","0","7","19","18","24","16","31","15","28","14","33","62","120","28","58","6523","15523","1331","7852","15523"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p31_dwelling_structure_census_2016.fid-5ff86f36_1724bdf6fd3_5f1d,Launceston,"60201","26935","66665","2258","3521","810","1658","3068","5176","2701","4098","134","197","147","172","81","135","3067","4604","17","37","31","78","13","29","98","175","162","322","123","248","33355","77013","3346","36703","77013"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p31_dwelling_structure_census_2016.fid-5ff86f36_1724bdf6fd3_5f1e,Meander Valley - West Tamar,"60202","8756","20780","116","153","58","176","176","323","67","100","0","0","0","0","17","27","79","123","42","68","74","107","0","8","30","74","152","254","31","73","9193","21559","1521","10712","21559"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p31_dwelling_structure_census_2016.fid-5ff86f36_1724bdf6fd3_5f1f,North East,"60203","14739","33969","347","470","22","34","366","504","335","477","3","3","0","3","0","0","335","484","61","101","44","71","25","38","46","98","175","315","116","234","15733","35502","4303","20036","35502"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p31_dwelling_structure_census_2016.fid-5ff86f36_1724bdf6fd3_5f20,Central Highlands (Tas.),"60301","4480","10750","7","17","0","0","7","17","11","15","0","0","0","0","0","0","11","15","11","10","8","14","3","11","21","45","42","82","40","67","4584","10937","2044","6627","10937"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p31_dwelling_structure_census_2016.fid-5ff86f36_1724bdf6fd3_5f21,Huon - Bruny Island,"60302","7572","17923","96","139","12","24","107","167","101","154","0","0","0","0","0","0","104","154","50","74","42","57","29","54","30","65","144","248","30","59","7954","18552","2198","10156","18552"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p31_dwelling_structure_census_2016.fid-5ff86f36_1724bdf6fd3_5f22,South East Coast,"60303","2893","5892","46","57","0","0","46","58","31","49","0","0","0","0","0","3","34","48","28","52","20","43","12","12","12","21","70","125","42","71","3077","6198","3159","6238","6198"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p31_dwelling_structure_census_2016.fid-5ff86f36_1724bdf6fd3_5f23,Marion,"40302","25590","65492","6898","13005","1996","4652","8886","17658","2605","4352","10","18","3","4","3","5","2622","4375","12","26","28","64","3","7","15","29","58","120","124","271","37285","87918","3193","40478","87918"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p31_dwelling_structure_census_2016.fid-5ff86f36_1724bdf6fd3_5f24,Burnie - Ulverstone,"60401","17876","42352","1417","1889","154","228","1568","2116","196","277","38","38","69","96","5","5","302","417","107","158","26","38","5","12","44","86","181","297","58","122","19986","45302","2235","22223","45302"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p31_dwelling_structure_census_2016.fid-5ff86f36_1724bdf6fd3_5f25,Devonport,"60402","16312","39109","1214","1804","170","233","1386","2034","322","476","0","0","11","11","0","0","331","488","57","97","101","148","18","31","35","78","203","352","45","116","18275","42102","2305","20579","42102"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p31_dwelling_structure_census_2016.fid-5ff86f36_1724bdf6fd3_5f26,West Coast,"60403","6829","15827","107","171","0","0","107","171","158","213","3","0","0","0","3","3","168","223","15","30","25","57","11","16","26","55","72","160","66","152","7243","16531","2220","9460","16531"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p31_dwelling_structure_census_2016.fid-5ff86f36_1724bdf6fd3_5f27,Darwin City,"70101","2498","7731","564","1043","1222","2748","1788","3792","833","1899","997","1996","4205","8804","0","4","6031","12706","161","314","218","316","189","265","34","65","602","958","137","214","11060","25400","1696","12758","25400"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p31_dwelling_structure_census_2016.fid-5ff86f36_1724bdf6fd3_5f28,Darwin Suburbs,"70102","12468","38717","1346","2836","737","1827","2085","4669","2075","4375","841","1850","816","1772","10","32","3747","8028","553","990","8","16","105","203","119","312","785","1515","93","214","19177","53148","1961","21134","53148"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p31_dwelling_structure_census_2016.fid-5ff86f36_1724bdf6fd3_5f29,Litchfield,"70103","6206","18331","63","169","7","7","65","178","50","91","111","216","0","0","0","0","162","311","934","2068","151","307","98","252","22","46","1200","2678","81","206","7718","21695","591","8309","21695"
