gml_id,sa3_name16,sa3_code16,opds_separate_house_dwellings,opds_separate_house_persons,opds_sd_r_t_h_th_1_sty_dwgs,opds_sd_r_t_h_th_1_sty_psns,opds_sd_r_t_h_th_2_m_sty_dwgs,opds_sd_r_t_h_th_2_m_sty_psns,opds_sd_r_t_h_th_tot_dwgs,opds_sd_r_t_h_th_tot_psns,opds_f_ap_i_1or2_sty_blk_ds,opds_f_ap_i_1or2_sty_blk_ps,opds_f_ap_i_3_sty_blk_dwgs,opds_f_ap_i_3_sty_blk_psns,opds_f_ap_i_4_m_sty_blk_ds,opds_f_ap_i_4_m_sty_blk_ps,opds_flt_apt_att_house_ds,opds_flt_apt_att_house_ps,opds_flt_apart_tot_dwgs,opds_flt_apart_tot_psns,opds_oth_dwg_cvn_ds,opds_oth_dw_cvn_ps,opds_oth_dwg_cab_hboat_ds,opds_oth_dwg_cab_hboat_ps,opds_ot_dwg_im_hm_tnt_so_ds,opds_ot_dwg_im_hm_tnt_so_ps,opds_ot_dwg_hs_f_att_sh_of_ds,opds_ot_dwg_hs_f_att_sh_of_ps,opds_other_dwelling_tot_dwgs,opds_other_dwelling_tot_psns,opds_dwlling_structur_ns_dwgs,opds_dwlling_structur_ns_psns,opds_tot_opds_dwellings,opds_tot_opds_persons,unoccupied_pds_dwgs,total_pds_dwellings,total_pds_persons
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p31_dwelling_structure_census_2016.fid-5ff86f36_1724bdf6fd3_5f34,North Canberra,"80105","9025","24069","1321","2577","2155","4730","3475","7306","2088","3454","2452","4237","3814","6357","63","110","8421","14161","13","18","0","4","49","53","4","10","71","85","103","153","21097","45773","2238","23335","45773"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p31_dwelling_structure_census_2016.fid-5ff86f36_1724bdf6fd3_5f35,South Canberra,"80106","5147","13670","520","930","970","2099","1492","3036","887","1556","1653","2829","2557","4196","7","14","5101","8602","0","0","0","0","9","6","3","7","10","16","26","53","11771","25373","2005","13781","25373"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p31_dwelling_structure_census_2016.fid-5ff86f36_1724bdf6fd3_5f36,Tuggeranong,"80107","25937","72642","3369","6655","1121","2450","4490","9107","439","744","166","342","265","462","12","25","889","1566","0","0","0","0","0","0","7","25","5","23","34","64","31355","83405","2003","33362","83405"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p31_dwelling_structure_census_2016.fid-5ff86f36_1724bdf6fd3_5f37,Weston Creek,"80108","7207","19338","1011","1622","285","541","1300","2160","137","265","16","28","0","3","84","144","243","439","0","0","3","4","0","0","19","49","21","50","13","32","8781","22023","709","9490","22023"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p31_dwelling_structure_census_2016.fid-5ff86f36_1724bdf6fd3_5f38,Woden Valley,"80109","8664","23552","1125","2106","1776","3592","2905","5696","373","675","1419","2624","510","916","25","37","2327","4245","0","0","0","0","5","3","3","7","9","6","18","35","13921","33538","1302","15225","33538"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p31_dwelling_structure_census_2016.fid-5ff86f36_1724bdf6fd3_5f39,Molonglo,"80110","735","2389","60","126","396","913","452","1043","11","19","212","371","451","809","0","0","678","1201","0","0","0","0","0","0","0","0","0","0","0","3","1874","4632","96","1971","4632"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p31_dwelling_structure_census_2016.fid-5ff86f36_1724bdf6fd3_5f3a,Urriarra - Namadgi,"80111","176","531","0","0","0","0","0","0","3","3","0","0","0","0","0","0","3","3","3","6","0","0","0","3","0","0","4","10","0","3","185","550","15","204","550"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p31_dwelling_structure_census_2016.fid-5ff86f36_1724bdf6fd3_5f3b,Christmas Island,"90101","215","611","61","148","42","84","103","239","63","103","74","233","8","15","0","0","147","352","0","0","3","7","0","0","3","5","4","12","12","14","478","1220","85","566","1220"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p31_dwelling_structure_census_2016.fid-5ff86f36_1724bdf6fd3_5f3c,Cocos (Keeling) Islands,"90102","140","528","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","4","0","0","0","0","3","7","3","6","147","542","25","166","542"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p31_dwelling_structure_census_2016.fid-5ff86f36_1724bdf6fd3_5f3d,Jervis Bay,"90103","92","318","0","0","0","0","0","0","4","0","0","0","0","0","0","0","4","0","3","0","0","3","7","3","0","0","7","12","3","0","102","338","15","114","338"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p31_dwelling_structure_census_2016.fid-5ff86f36_1724bdf6fd3_5f3e,Norfolk Island,"90104","798","1697","0","3","0","0","0","3","10","14","0","0","0","0","3","3","8","19","0","0","0","0","4","5","8","15","15","15","4","8","825","1745","255","1080","1745"
