SA3_MAIN11,P_85ov_DNPCC,P_85ov_UCC_NS,P_85ov_Total,P_Tot_CF_Own_CCO,P_Tot_CF_Oth_CCO,P_Tot_CF_Own_CC_Oth_CC,P_Tot_CF_Total,P_Tot_DNPCC,P_Tot_UCC_NS,P_Tot_Total,SA3_NAME11
12501,742,121,873,10979,2522,196,13697,38975,7115,59787,Auburn
12502,777,266,1056,10218,3278,355,13851,31348,3106,48305,Carlingford
12503,1789,450,2258,20655,6296,466,27417,69253,9803,106473,Merrylands - Guildford
12504,1780,489,2293,20895,5715,547,27157,65861,8792,101810,Parramatta
12601,855,101,975,7394,2621,289,10304,23681,1327,35312,Pennant Hills - Epping
12602,2681,491,3215,19303,5878,652,25833,67669,6163,99665,Ryde - Hunters Hill
12701,400,119,525,13274,3582,323,17179,38359,5534,61072,Bringelly - Green Valley
12702,1791,361,2189,24910,7954,486,33350,96249,10630,140229,Fairfield
12703,887,185,1082,17804,4669,515,22988,49992,7243,80223,Liverpool
12801,2299,511,2842,17037,7677,767,25481,54798,5402,85681,Cronulla - Miranda - Caringbah
12802,1462,281,1753,19293,7336,901,27530,52722,4086,84338,Sutherland - Menai - Heathcote
19797,0,0,0,6,0,0,6,89,15,110,Migratory - Offshore - Shipping (NSW)
19999,70,52,122,1113,551,42,1706,7210,2821,11737,Special Purpose Codes SA3 (NSW)
20101,1473,510,2006,15424,6484,877,22785,48349,5703,76837,Ballarat
20102,405,95,500,4118,1627,210,5955,14199,1674,21828,Creswick - Daylesford - Ballan
20103,462,106,576,3272,1347,170,4789,13310,1682,19781,Maryborough - Pyrenees
20201,1539,518,2068,13796,5738,790,20324,43833,4996,69153,Bendigo
20202,676,257,942,6678,2764,476,9918,22535,3102,35555,Heathcote - Castlemaine - Kyneton
20203,235,46,285,1568,694,79,2341,6080,738,9159,Loddon - Elmore
20301,184,24,211,3157,999,163,4319,7830,672,12821,Barwon - West
20302,3536,697,4268,27255,11585,1446,40286,90871,10251,141408,Geelong
20303,1248,268,1526,9984,4103,631,14718,30901,3268,48887,Surf Coast - Bellarine Peninsula
20401,872,187,1071,7295,2876,357,10528,26971,3307,40806,Upper Goulburn Valley
20402,959,292,1251,6485,2844,364,9693,23918,2454,36065,Wangaratta - Benalla
20403,1065,205,1279,10535,3995,606,15136,33545,3461,52142,Wodonga - Alpine
20501,635,210,852,7023,2784,370,10177,21778,2428,34383,Baw Baw
20502,895,207,1109,5675,2390,371,8436,23881,2709,35026,Gippsland - East
20503,1153,347,1512,8420,3704,450,12574,30454,3774,46802,Gippsland - South West
20504,1151,240,1400,11064,4688,583,16335,37127,4697,58159,Latrobe Valley
20505,691,166,867,6152,2570,375,9097,21021,3360,33478,Wellington
20601,1110,303,1427,10816,3616,550,14982,47267,5158,67407,Brunswick - Coburg
20602,803,129,938,7606,2390,485,10481,27370,2713,40564,Darebin - South
20603,1101,302,1426,9211,2728,373,12312,34112,4073,50497,Essendon
20604,630,159,795,6378,3224,208,9810,66423,10743,86976,Melbourne City
10101,1114,286,1409,10768,4114,526,15408,33958,4486,53852,Goulburn - Yass
10102,428,118,555,9288,3114,414,12816,26694,2979,42489,Queanbeyan
10103,346,55,408,2895,921,151,3967,9779,1547,15293,Snowy Mountains
10104,1524,388,1929,8954,3818,515,13287,38347,4734,56368,South Coast
10201,3901,1193,5128,25673,10860,1496,38029,83893,10683,132605,Gosford
10202,2941,858,3831,23866,9716,1282,34864,74558,9460,118882,Wyong
10301,630,94,730,6894,2844,379,10117,21246,3168,34531,Bathurst
10302,1194,231,1445,8108,3229,407,11744,27942,3707,43393,Lachlan Valley
10303,710,167,880,6564,2498,332,9394,22660,3287,35341,Lithgow - Mudgee
10304,849,136,992,9114,3369,467,12950,26263,3109,42322,Orange
10401,1034,204,1246,6845,3006,391,10242,26683,3171,40096,Clarence Valley
10402,1563,457,2028,12501,4767,710,17978,42962,4785,65725,Coffs Harbour
10501,275,55,333,3581,1261,162,5004,12386,2214,19604,Bourke - Cobar - Coonamble
10502,368,136,507,2953,1253,121,4327,11073,1922,17322,Broken Hill and Far West
10503,1111,204,1332,10479,4337,583,15399,32457,4538,52394,Dubbo
10601,1119,174,1301,13924,5789,725,20438,38935,5147,64520,Lower Hunter
10602,871,155,1032,11752,4582,609,16943,30060,3153,50156,Maitland
10603,1144,325,1475,10273,4626,599,15498,34727,4282,54507,Port Stephens
10604,381,75,459,5138,1736,236,7110,13797,2134,23041,Upper Hunter
10701,1207,260,1479,11368,5322,598,17288,36259,4164,57711,Dapto - Port Kembla
10702,0,0,0,3,0,0,3,0,3,6,Illawarra Catchment Reserve
10703,1309,212,1534,13947,6311,840,21098,41405,3960,66463,Kiama - Shellharbour
10704,2342,419,2786,18934,8589,1066,28589,63854,6609,99052,Wollongong
21105,1504,440,1963,25063,9462,1484,36009,72255,6800,115064,Yarra Ranges
21201,720,120,848,14301,4135,750,19186,34179,3595,56960,Cardinia
21202,1319,214,1548,22110,6324,809,29243,61711,6131,97085,Casey - North
21203,753,209,966,25132,6160,896,32188,58271,6243,96702,Casey - South
21204,2543,421,2994,23832,7721,515,32068,95454,11628,139150,Dandenong
21205,2987,752,3787,24044,9414,732,34190,94643,8316,137149,Monash
21301,1590,421,2030,25748,8131,498,34377,93197,13405,140979,Brimbank
21302,1236,330,1582,12920,4108,510,17538,42385,5048,64971,Hobsons Bay
21303,933,199,1147,10796,2841,415,14052,39614,6102,59768,Maribyrnong
21304,744,138,900,24608,6170,857,31635,55234,7310,94179,Melton - Bacchus Marsh
21305,898,221,1133,32476,7847,1018,41341,75908,9696,126945,Wyndham
21401,1678,602,2293,20783,7839,1127,29749,64571,7825,102145,Frankston
21402,3072,1101,4196,22706,9789,1272,33767,74854,9437,118058,Mornington Peninsula
