gml_id,sa3_name16,sa3_code16,o_or_ds_sep_house,o_or_ds_semid_ro_or_tce_h_th,o_or_ds_flat_apart,o_or_ds_oth_dwell,o_or_ds_not_stated,o_or_total,o_mtg_ds_sep_house,o_mtg_ds_semid_ro_or_tce_h_th,o_mtg_ds_flat_apart,o_mtg_ds_oth_dwell,o_mtg_ds_not_stated,o_mtg_total,r_re_agt_ds_sep_house,r_re_ag_ds_semd_ro_or_tc_h_th,r_re_agt_ds_flat_apart,r_re_agt_ds_oth_dwell,r_re_agt_ds_not_stated,r_re_agt_total,r_st_h_auth_ds_sep_house,r_st_h_au_ds_sd_ro_or_tc_h_th,r_st_h_auth_ds_flat_apart,r_st_h_auth_ds_oth_dwell,r_st_h_auth_ds_not_stated,r_st_h_auth_total,r_psn_not_in_s_hh_ds_sep_hous,r_p_not_in_s_h_ds_sd_ro_t_h_t,r_p_not_in_s_hh_ds_flat_apart,r_psn_not_in_s_hh_ds_oth_dwel,r_psn_not_in_s_hh_ds_ns,r_psn_not_in_s_hh_total,r_hs_cop_cty_ch_gp_ds_sp_ho,r_hs_c_ct_ch_g_ds_sd_ro_t_h_t,r_hse_cp_cty_ch_g_ds_flt_apt,r_hs_cop_cty_ch_gp_ds_ot_dwel,r_hse_coop_cty_ch_gp_ds_ns,r_hse_coop_cty_ch_gp_total,r_ot_landld_typ_ds_sep_house,r_o_lld_typ_ds_sd_ro_tc_h_th,r_ot_lld_typ_ds_flat_apart,r_ot_landld_typ_ds_oth_dwell,r_ot_landld_typ_ds_not_stated,r_ot_landld_typ_total,r_landld_typ_ns_ds_sep_house,r_ld_typ_ns_ds_sd_ro_tce_h_th,r_lld_typ_ns_ds_flat_apart,r_landld_typ_ns_ds_oth_dwell,r_landld_typ_ns_ds_not_stated,r_landld_typ_ns_total,r_tot_ds_sep_house,r_tot_ds_semid_ro_or_tce_h_th,r_tot_ds_flat_apart,r_tot_ds_oth_dwell,r_tot_ds_not_stated,r_tot_total,oth_ten_type_ds_sep_house,oth_ten_ty_ds_sd_ro_tce_h_th,oth_ten_type_ds_flat_apart,oth_ten_type_ds_oth_dwell,oth_ten_type_ds_not_stated,oth_ten_type_total,ten_type_ns_ds_sep_house,ten_ty_ns_ds_sd_ro_tce_h_t,ten_ty_ns_ds_flat_apart,ten_type_ns_ds_oth_dwell,ten_type_ns_ds_not_stated,ten_type_ns_total,total_ds_sep_house,total_ds_semid_ro_or_tce_h_th,total_ds_flat_apart,total_ds_oth_dwell,total_ds_not_stated,total_total
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p32_tenure_landlord_type_by_dwelling_struct_census_2016.fid--7a4d496e_1724c35c6d1_-6c03,Queanbeyan,"10102","5036","413","234","42","21","5742","7151","818","403","29","31","8424","1064","972","1376","11","3","3424","431","146","48","0","0","631","657","247","242","6","11","1164","33","55","10","0","0","101","350","49","44","8","3","454","81","14","6","4","3","109","2615","1481","1727","32","22","5878","84","31","3","0","0","123","1183","269","300","90","13","1846","16069","3008","2665","189","85","22008"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p32_tenure_landlord_type_by_dwelling_struct_census_2016.fid--7a4d496e_1724c35c6d1_-6c02,Snowy Mountains,"10103","2749","76","68","104","59","3060","2069","56","63","27","35","2247","575","192","243","12","23","1050","65","15","17","0","0","92","485","67","80","24","29","685","20","7","12","0","0","40","115","20","42","56","51","287","76","8","0","4","9","95","1332","302","394","98","122","2247","67","11","11","10","21","117","550","64","451","44","162","1262","6757","501","994","283","396","8931"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p32_tenure_landlord_type_by_dwelling_struct_census_2016.fid--7a4d496e_1724c35c6d1_-6c01,South Coast,"10104","11705","969","362","451","90","13581","6825","250","136","52","66","7323","2131","661","558","43","18","3413","427","168","137","4","8","740","1557","203","165","44","21","1986","91","58","58","0","0","211","165","27","17","120","26","351","172","22","16","10","9","219","4545","1131","948","215","78","6922","173","125","41","24","14","378","1890","282","242","274","38","2725","25136","2754","1732","1021","283","30934"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p32_tenure_landlord_type_by_dwelling_struct_census_2016.fid--7a4d496e_1724c35c6d1_-6c00,Goulburn - Mulwaree,"10105","4734","212","20","49","24","5044","4019","96","19","24","11","4167","1291","335","220","15","7","1871","423","56","54","0","0","539","685","74","31","14","8","805","44","54","10","0","0","108","118","10","4","25","10","164","87","9","3","0","0","108","2644","541","316","57","29","3596","79","41","3","6","7","134","917","91","60","51","35","1157","12400","981","420","190","112","14096"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p32_tenure_landlord_type_by_dwelling_struct_census_2016.fid--7a4d496e_1724c35c6d1_-6bff,Young - Yass,"10106","4749","146","63","63","39","5056","4586","57","15","22","30","4712","972","179","156","3","5","1317","177","19","14","0","3","216","862","45","26","13","16","960","31","25","25","0","0","83","208","11","3","11","8","244","145","12","3","3","0","162","2398","296","235","31","25","2984","105","21","10","3","3","139","900","76","42","43","19","1090","12737","595","369","157","120","13977"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p32_tenure_landlord_type_by_dwelling_struct_census_2016.fid--7a4d496e_1724c35c6d1_-6bfe,Gosford,"10201","17762","3351","1293","169","51","22619","19421","1250","803","89","36","21598","5846","1980","2268","307","96","10497","660","751","508","5","5","1934","2072","426","351","69","32","2951","67","135","104","0","8","322","245","49","34","39","9","386","189","60","41","11","3","305","9092","3402","3310","436","154","16391","243","762","245","7","5","1262","2644","805","669","288","73","4482","49160","9572","6317","984","325","66351"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p32_tenure_landlord_type_by_dwelling_struct_census_2016.fid--7a4d496e_1724c35c6d1_-6bfd,Wyong,"10202","16914","1787","861","210","67","19841","18544","819","330","31","20","19747","7356","1604","1313","40","48","10366","645","667","352","3","3","1669","2469","302","232","24","19","3049","96","160","94","0","4","351","350","61","31","144","30","617","192","30","29","9","3","258","11101","2827","2051","226","102","16313","214","235","59","0","10","518","2940","744","484","164","90","4420","49709","6408","3786","641","292","60836"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p32_tenure_landlord_type_by_dwelling_struct_census_2016.fid--7a4d496e_1724c35c6d1_-6bfc,Bathurst,"10301","5106","283","59","27","35","5509","5232","173","41","9","26","5484","1927","680","368","11","22","3010","375","124","65","0","0","562","768","121","49","3","9","954","39","18","6","0","54","118","107","15","9","4","4","143","76","11","13","3","7","108","3295","972","508","25","103","4904","69","12","7","0","12","104","1050","168","124","20","61","1420","14751","1610","737","82","235","17419"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p32_tenure_landlord_type_by_dwelling_struct_census_2016.fid--7a4d496e_1724c35c6d1_-6bfb,Lachlan Valley,"10302","8227","122","62","131","104","8656","5542","32","19","35","56","5687","1441","201","391","20","13","2071","588","27","87","0","7","711","1579","58","90","21","30","1772","161","23","53","0","4","240","409","13","41","53","33","555","228","12","13","7","4","257","4398","332","682","100","90","5601","150","13","12","11","5","193","2050","114","193","112","27","2498","20369","613","971","390","290","22633"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p32_tenure_landlord_type_by_dwelling_struct_census_2016.fid--7a4d496e_1724c35c6d1_-6bfa,Lithgow - Mudgee,"10303","6428","162","66","232","68","6949","4869","59","17","138","40","5129","1859","397","166","23","11","2453","478","122","57","0","0","666","913","43","40","22","17","1030","33","19","15","0","0","60","151","11","3","40","6","209","128","7","4","10","3","156","3563","598","287","97","34","4583","124","24","0","8","3","155","1867","136","70","147","45","2262","16843","975","437","622","192","19078"
