SA3_MAIN11,Count_home_Census_Nt_0_14_yr,Count_hom_Census_Nt_15_24_yr,Count_hom_Census_Nt_25_34_yr,Count_hom_Census_Nt_35_44_yr,Count_hom_Census_Nt_45_54_yr,Count_hom_Census_Nt_55_64_yr,Count_hom_Census_Nt_65_74_yr,Count_hom_Census_Nt_75_84_yr,Count_hom_Census_Nt_85ov,Counted_home_Census_Night_Tot,VisSame_SA2_0_14_yr,VisSame_SA2_15_24_yr,VisSame_SA2_25_34_yr,VisSame_SA2_35_44_yr,VisSame_SA2_45_54_yr,VisSame_SA2_55_64_yr,VisSame_SA2_65_74_yr,VisSame_SA2_75_84_yr,VisSame_SA2_85ov,VisSame_SA2_Total,VisDiff_SA2_NSW_0_14_yr,VisDiff_SA2_NSW_15_24_yr,VisDiff_SA2_NSW_25_34_yr,VisDiff_SA2_NSW_35_44_yr,VisDiff_SA2_NSW_45_54_yr,VisDiff_SA2_NSW_55_64_yr,VisDiff_SA2_NSW_65_74_yr,VisDiff_SA2_NSW_75_84_yr,VisDiff_SA2_NSW_85ov,VisDiff_SA2_NSW_Total,VisDiff_SA2_VIC_0_14_yr,VisDiff_SA2_VIC_15_24_yr,VisDiff_SA2_VIC_25_34_yr,VisDiff_SA2_VIC_35_44_yr,VisDiff_SA2_VIC_45_54_yr,VisDiff_SA2_VIC_55_64_yr,VisDiff_SA2_VIC_65_74_yr,VisDiff_SA2_VIC_75_84_yr,VisDiff_SA2_VIC_85ov,VisDiff_SA2_VIC_Total,VisDiff_SA2_QLD_0_14_yr,VisDiff_SA2_QLD_15_24_yr,VisDiff_SA2_QLD_25_34_yr,VisDiff_SA2_QLD_35_44_yr,VisDiff_SA2_QLD_45_54_yr,VisDiff_SA2_QLD_55_64_yr,VisDiff_SA2_QLD_65_74_yr,VisDiff_SA2_QLD_75_84_yr,VisDiff_SA2_QLD_85ov,VisDiff_SA2_QLD_Total,VisDiff_SA2_SA_0_14_yr,VisDiff_SA2_SA_15_24_yr,VisDiff_SA2_SA_25_34_yr,VisDiff_SA2_SA_35_44_yr,VisDiff_SA2_SA_45_54_yr,VisDiff_SA2_SA_55_64_yr,VisDiff_SA2_SA_65_74_yr,VisDiff_SA2_SA_75_84_yr,VisDiff_SA2_SA_85ov,VisDiff_SA2_SA_Total,VisDiff_SA2_WA_0_14_yr,VisDiff_SA2_WA_15_24_yr,VisDiff_SA2_WA_25_34_yr,VisDiff_SA2_WA_35_44_yr,VisDiff_SA2_WA_45_54_yr,VisDiff_SA2_WA_55_64_yr,VisDiff_SA2_WA_65_74_yr,VisDiff_SA2_WA_75_84_yr,VisDiff_SA2_WA_85ov,VisDiff_SA2_WA_Total,VisDiff_SA2_TAS_0_14_yr,VisDiff_SA2_TAS_15_24_yr,VisDiff_SA2_TAS_25_34_yr,VisDiff_SA2_TAS_35_44_yr,VisDiff_SA2_TAS_45_54_yr,VisDiff_SA2_TAS_55_64_yr,VisDiff_SA2_TAS_65_74_yr,VisDiff_SA2_TAS_75_84_yr,VisDiff_SA2_TAS_85ov,VisDiff_SA2_TAS_Total,VisDiff_SA2_NT_0_14_yr,VisDiff_SA2_NT_15_24_yr,VisDiff_SA2_NT_25_34_yr,VisDiff_SA2_NT_35_44_yr,VisDiff_SA2_NT_45_54_yr,VisDiff_SA2_NT_55_64_yr,VisDiff_SA2_NT_65_74_yr,VisDiff_SA2_NT_75_84_yr,VisDiff_SA2_NT_85ov,VisDiff_SA2_NT_Total,VisDiff_SA2_ACT_0_14_yr,VisDiff_SA2_ACT_15_24_yr,VisDiff_SA2_ACT_25_34_yr,VisDiff_SA2_ACT_35_44_yr,VisDiff_SA2_ACT_45_54_yr,VisDiff_SA2_ACT_55_64_yr,VisDiff_SA2_ACT_65_74_yr,VisDiff_SA2_ACT_75_84_yr,VisDiff_SA2_ACT_85ov,VisDiff_SA2_ACT_Total,VisDiff_SA2_OT_0_14_yr,VisDiff_SA2_OT_15_24_yr,VisDiff_SA2_OT_25_34_yr,VisDiff_SA2_OT_35_44_yr,VisDiff_SA2_OT_45_54_yr,VisDiff_SA2_OT_55_64_yr,VisDiff_SA2_OT_65_74_yr,VisDiff_SA2_OT_75_84_yr,VisDiff_SA2_OT_85ov,VisDiff_SA2_OT_Total,VisDiff_SA2_Tot_0_14_yr,VisDiff_SA2_Tot_15_24_yr,VisDiff_SA2_Tot_25_34_yr,VisDiff_SA2_Tot_35_44_yr,VisDiff_SA2_Tot_45_54_yr,VisDiff_SA2_Tot_55_64_yr,VisDiff_SA2_Tot_65_74_yr,VisDiff_SA2_Tot_75_84_yr,VisDiff_SA2_Tot_85ov,VisDiff_SA2_Tot_Total,Vis_Tot_Visitrs_0_14_yr,Vis_Tot_Visitrs_15_24_yr,Vis_Tot_Visitrs_25_34_yr,Vis_Tot_Visitrs_35_44_yr,Vis_Tot_Visitrs_45_54_yr,Vis_Tot_Visitrs_55_64_yr,Vis_Tot_Visitrs_65_74_yr,Vis_Tot_Visitrs_75_84_yr,Vis_Tot_Visitrs_85ov,Vis_Tot_Visitrs_Total,Total_0_14_yr,Total_15_24_yr,Total_25_34_yr,Total_35_44_yr,Total_45_54_yr,Total_55_64_yr,Total_65_74_yr,Total_75_84_yr,Total_85ov,Total_Total,SA3_NAME11
11001,6764,5540,3389,3954,4648,4144,2773,1637,657,33506,20,38,8,9,13,10,4,3,3,108,168,878,203,174,229,178,109,56,25,2020,3,18,3,7,11,14,17,8,0,81,3,58,19,21,15,51,15,5,0,187,3,4,7,0,3,8,16,0,0,41,5,4,6,0,0,3,0,5,0,23,0,8,0,0,0,0,0,0,0,8,3,0,0,0,0,0,0,0,0,3,3,11,0,4,4,0,7,0,3,32,0,0,0,0,0,0,0,0,0,0,188,981,238,206,262,254,164,74,28,2395,208,1019,246,215,275,264,168,77,31,2503,6972,6559,3635,4169,4923,4408,2941,1714,688,36009,Armidale
11002,7293,3433,3162,4160,4944,4981,4060,2320,854,35207,22,30,19,18,22,20,7,6,8,152,167,220,167,159,190,216,142,65,24,1350,0,3,0,4,7,20,28,3,0,65,24,47,45,32,45,58,41,17,5,314,3,3,3,6,9,3,4,3,0,34,0,0,3,0,0,4,0,0,3,10,0,0,3,0,0,3,3,0,0,9,0,0,0,3,3,0,3,0,0,9,8,5,0,5,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,202,278,221,209,254,304,221,88,32,1809,224,308,240,227,276,324,228,94,40,1961,7517,3741,3402,4387,5220,5305,4288,2414,894,37168,Inverell - Tenterfield
11003,5545,2724,2874,3252,3383,2792,1890,1022,358,23840,36,36,27,14,18,4,10,3,0,148,137,224,221,202,197,278,163,68,6,1496,7,0,3,12,14,43,63,20,0,162,20,53,60,48,70,61,32,11,0,355,0,4,7,0,0,11,14,6,4,46,3,0,3,3,3,4,0,0,0,16,0,0,0,0,6,4,0,0,0,10,3,0,3,0,0,0,0,0,0,6,0,0,4,0,5,5,0,0,0,14,0,0,0,0,0,0,0,0,0,0,170,281,301,265,295,406,272,105,10,2105,206,317,328,279,313,410,282,108,10,2253,5751,3041,3202,3531,3696,3202,2172,1130,368,26093,Moree - Narrabri
11004,15495,8543,7652,9001,9913,9151,6772,4166,1587,72280,66,24,19,18,12,30,19,10,3,201,416,635,479,368,448,428,332,130,50,3286,3,9,12,17,18,40,40,14,0,153,27,31,54,53,48,50,42,0,0,305,0,4,13,5,8,9,20,5,0,64,9,0,8,5,5,11,3,0,0,41,3,3,0,3,4,3,5,6,0,27,0,0,0,0,3,0,0,0,0,3,3,5,4,5,0,12,10,0,0,39,0,0,0,0,0,0,0,0,0,0,461,687,570,456,534,553,452,155,50,3918,527,711,589,474,546,583,471,165,53,4119,16022,9254,8241,9475,10459,9734,7243,4331,1640,76399,Tamworth - Gunnedah
11101,21193,13806,11619,14652,15721,14340,10333,6987,2647,111298,23,24,24,8,18,30,3,4,8,142,422,592,466,336,336,291,221,134,73,2871,0,8,12,4,17,14,10,4,0,69,12,20,18,18,31,33,22,3,0,157,5,3,3,3,3,9,5,0,0,31,6,0,8,4,6,12,0,0,0,36,0,0,4,0,0,4,6,4,4,22,0,3,0,0,0,0,3,0,0,6,0,4,0,3,8,3,3,0,0,21,0,0,0,0,0,0,0,0,0,0,445,630,511,368,401,366,270,145,77,3213,468,654,535,376,419,396,273,149,85,3355,21661,14460,12154,15028,16140,14736,10606,7136,2732,114653,Lake Macquarie - East
11102,12589,8327,6702,8338,9175,8820,6353,4187,1919,66410,15,24,13,7,14,20,8,9,0,110,413,504,260,209,194,199,124,64,53,2020,3,15,6,3,3,11,16,3,0,60,10,6,14,11,18,28,17,0,0,104,0,5,0,5,3,5,3,0,0,21,0,14,3,0,3,4,6,3,0,33,0,4,0,5,3,7,0,0,0,19,3,3,3,3,0,3,0,0,0,15,3,3,0,3,3,7,3,0,0,22,0,0,0,0,0,0,0,0,0,0,432,554,286,239,227,264,169,70,53,2294,447,578,299,246,241,284,177,79,53,2404,13036,8905,7001,8584,9416,9104,6530,4266,1972,68814,Lake Macquarie - West
11103,25922,21171,21506,19851,19812,16654,11287,8137,3794,148134,25,50,38,26,22,23,6,11,5,206,582,1414,989,708,686,656,472,339,193,6039,8,38,48,46,52,35,18,9,0,254,21,45,67,53,61,79,30,3,0,359,3,3,3,9,17,15,8,0,0,58,5,3,20,11,12,13,8,3,0,75,3,3,3,3,3,3,8,0,0,26,3,3,7,4,0,0,0,0,0,17,3,10,9,7,9,9,3,3,3,56,0,0,0,0,0,0,0,0,0,0,628,1519,1146,841,840,810,547,357,196,6884,653,1569,1184,867,862,833,553,368,201,7090,26575,22740,22690,20718,20674,17487,11840,8505,3995,155224,Newcastle
11201,12910,6805,6039,9290,10984,10320,6264,4300,1971,68883,21,19,12,14,15,24,6,7,4,122,309,387,400,385,422,535,493,203,86,3220,62,38,82,107,86,235,329,143,14,1096,70,84,138,107,119,164,98,38,3,821,10,3,9,14,11,21,42,18,3,131,8,6,12,9,15,19,10,0,0,79,9,0,6,3,4,38,21,10,0,91,3,3,0,4,5,0,0,0,0,15,0,11,13,6,6,26,11,5,0,78,0,0,0,0,0,0,0,0,0,0,471,532,660,635,668,1038,1004,417,106,5531,492,551,672,649,683,1062,1010,424,110,5653,13402,7356,6711,9939,11667,11382,7274,4724,2081,74536,Richmond Valley - Coastal
11202,13506,8052,6322,8091,9873,9370,5445,3593,1438,65690,42,22,19,22,26,26,11,5,10,183,259,514,326,228,314,333,200,135,78,2387,0,12,13,8,14,25,28,9,3,112,36,70,56,39,50,67,40,7,3,368,4,0,4,0,8,6,17,3,0,42,3,5,10,3,5,3,0,3,0,32,0,4,0,3,0,4,9,3,0,23,0,0,5,3,5,0,0,0,0,13,3,0,5,5,0,10,4,3,0,30,0,0,0,3,0,0,0,0,0,3,305,605,419,292,396,448,298,163,84,3010,347,627,438,314,422,474,309,168,94,3193,13853,8679,6760,8405,10295,9844,5754,3761,1532,68883,Richmond Valley - Hinterland
11203,14794,8280,7100,9807,11556,10829,8787,6845,2792,80790,30,21,22,25,31,22,14,17,5,187,274,340,250,242,296,417,383,216,64,2482,35,12,37,61,77,220,365,256,42,1105,216,134,178,129,148,215,132,45,20,1217,9,6,7,9,17,47,113,66,6,280,11,3,11,14,16,15,19,6,0,95,0,6,6,3,13,34,67,34,6,169,0,3,4,3,3,0,0,0,0,13,0,6,5,3,4,17,19,5,0,59,0,0,0,0,0,0,0,0,0,0,545,510,498,464,574,965,1098,628,138,5420,575,531,520,489,605,987,1112,645,143,5607,15369,8811,7620,10296,12161,11816,9899,7490,2935,86397,Tweed Valley
11301,10221,5533,5025,5715,6159,4945,3387,2376,839,44200,37,27,15,15,19,4,4,3,3,127,160,275,254,175,216,175,123,63,31,1472,14,18,26,22,36,48,48,13,3,228,11,7,18,15,16,21,11,3,3,105,0,0,5,0,4,19,9,3,0,40,0,3,3,0,3,3,3,0,0,15,0,0,0,0,3,14,12,0,0,29,0,4,0,3,0,0,0,0,0,7,4,20,7,4,0,11,0,4,0,50,0,0,0,0,0,0,0,0,0,0,189,327,313,219,278,291,206,86,37,1946,226,354,328,234,297,295,210,89,40,2073,10447,5887,5353,5949,6456,5240,3597,2465,879,46273,Griffith - Murrumbidgee (West)
11302,2795,1369,1369,1739,1948,1786,1327,787,323,13443,4,3,5,6,7,8,3,8,3,47,62,116,77,59,75,91,31,27,9,547,5,10,13,13,24,14,4,0,0,83,4,5,9,4,6,9,0,0,0,37,0,0,0,3,0,0,4,0,0,7,0,0,0,0,3,0,0,0,0,3,0,0,0,3,3,0,4,0,0,10,0,0,0,0,0,0,0,0,0,0,0,6,3,4,0,3,3,0,0,19,0,0,0,0,0,0,0,0,0,0,71,137,102,86,111,117,46,27,9,706,75,140,107,92,118,125,49,35,12,753,2870,1509,1476,1831,2066,1911,1376,822,335,14196,Tumut - Tumbarumba
11303,18088,11995,9661,10555,11140,9909,6661,4317,1769,84095,45,46,36,14,18,15,17,6,8,205,366,1161,484,355,377,363,246,137,91,3580,9,187,70,37,67,63,71,15,7,526,13,121,55,26,31,40,15,6,6,313,9,28,16,13,20,9,3,3,0,101,6,22,10,6,10,9,6,0,0,69,0,25,3,0,11,10,5,3,0,57,0,5,3,7,3,3,0,0,0,21,12,62,28,23,15,8,5,5,0,158,0,0,0,0,0,0,0,0,0,0,415,1611,669,467,534,505,351,169,104,4825,460,1657,705,481,552,520,368,175,112,5030,18548,13652,10366,11036,11692,10429,7029,4492,1881,89125,Wagga Wagga
