sa3_code16,tot_ocmngr,tot_ocprof,tot_octechtrdw,tot_occompers,tot_occlericadm,tot_ocsaleswk,tot_ocmacop_driv,tot_oclab,tot_ocid_ns,tot_tot,sa3_name16
10102,4860,5970,4046,3091,5473,2359,1390,2162,680,30027,Queanbeyan
10103,1773,1283,1320,1159,1072,896,620,1144,171,9436,Snowy Mountains
10104,3387,4188,4126,3331,3051,2929,1470,3286,431,26195,South Coast
10105,2229,2189,2199,2247,1816,1419,1236,1815,265,15408,Goulburn - Mulwaree
10106,3305,2674,2189,1635,2108,1257,901,1911,291,16274,Young - Yass
10201,9135,16380,10766,8844,10557,7453,3368,6701,1251,74452,Gosford
10202,6504,9529,10832,8472,8532,7403,4985,7755,1137,65144,Wyong
10301,2591,3699,2950,2654,2412,1940,1479,2344,347,20409,Bathurst
10302,4708,2983,3031,2196,2253,1891,1907,2791,427,22183,Lachlan Valley
10303,2293,2283,3072,1994,2053,1566,2225,2179,295,17966,Lithgow - Mudgee
10304,3482,5043,3752,2769,3288,2283,1890,2810,403,25729,Orange
10401,2001,2687,2485,2413,2125,1883,1294,2231,299,17415,Clarence Valley
10402,4276,6609,4702,4266,4382,3600,1903,4343,584,34661,Coffs Harbour
10501,2114,1181,1121,1119,865,493,947,1158,203,9203,Bourke - Cobar - Coonamble
10502,1033,1201,1066,1154,804,720,758,943,159,7839,Broken Hill and Far West
10503,4818,4884,4052,3658,3544,2871,1933,3421,492,29666,Dubbo
10601,3772,4322,6528,4119,4086,3346,5083,4554,596,36407,Lower Hunter
10602,3238,5687,5809,3741,4467,3410,3257,3468,497,33572,Maitland
10603,3023,4019,4940,3562,3601,2905,2272,3151,473,27956,Port Stephens
10604,1684,1489,2410,1092,1273,981,2026,1876,206,13027,Upper Hunter
10701,2649,4849,5234,3796,4365,3123,2621,3489,495,30624,Dapto - Port Kembla
10702,0,0,0,0,3,0,0,0,0,7,Illawarra Catchment Reserve
10703,4029,6642,6614,5027,5126,4052,3145,3812,609,39059,Kiama - Shellharbour
10704,6596,15637,7818,7125,7632,4817,2850,4282,880,57644,Wollongong
10801,1216,1565,1578,1289,1107,1253,599,1296,201,10095,Great Lakes
10802,1870,2364,2235,2299,1717,1511,1092,2275,339,15699,Kempsey - Nambucca
10803,56,19,35,25,21,16,8,42,13,225,Lord Howe Island
10804,3343,5824,4378,3819,3913,3236,1618,3080,444,29660,Port Macquarie
10805,2271,3070,2569,2320,2029,2116,1288,2529,294,18484,Taree - Gloucester
10901,3554,5113,4002,3253,3524,2840,1879,2866,401,27430,Albury
10902,1189,600,673,502,551,383,468,822,115,5298,Lower Murray
10903,3558,2236,2327,1776,1818,1471,1309,2586,296,17372,Upper Murray exc. Albury
11001,2713,3416,1845,1722,1937,1451,671,1935,203,15891,Armidale
11002,3003,1834,1755,1589,1403,1265,935,2236,323,14341,Inverell - Tenterfield
11003,2193,1512,1385,1018,1251,887,1160,1387,213,11012,Moree - Narrabri
11004,4978,5651,4866,3600,3969,3206,3013,4880,586,34742,Tamworth - Gunnedah
11101,5422,11442,8225,6074,7752,5387,3122,4818,707,52963,Lake Macquarie - East
11102,2903,5391,5355,3636,4279,3106,2606,3524,529,31339,Lake Macquarie - West
11103,7651,20509,9874,9355,9929,7035,4050,6655,1080,76144,Newcastle
11201,4549,7483,4594,4028,3484,3325,1418,3404,554,32839,Richmond Valley - Coastal
11202,3510,4825,3560,3369,3391,2775,1800,4188,433,27858,Richmond Valley - Hinterland
11203,3954,6168,5595,4917,4356,3927,2029,4179,603,35731,Tweed Valley
11301,3851,2667,2784,1858,2379,1844,1723,3883,393,21383,Griffith - Murrumbidgee (West)
11302,1044,730,836,584,579,428,731,972,106,6010,Tumut - Tumbarumba
11303,6163,7461,6250,5188,4932,4018,2563,4913,580,42056,Wagga Wagga
11401,4195,6112,6242,5021,4131,3898,1969,4087,605,36268,Shoalhaven
11402,2998,4167,3283,2236,2326,2001,1181,2111,332,20627,Southern Highlands
11501,12552,22508,6739,5539,11688,6913,1913,3143,1215,72214,Baulkham Hills
11502,2593,2868,1909,997,1990,1164,482,872,235,13122,Dural - Wisemans Ferry
11503,1797,2041,2422,1200,1860,1019,908,1152,228,12630,Hawkesbury
11504,2953,3732,2417,1418,2948,1666,888,1039,292,17351,Rouse Hill - McGraths Hill
