sa3_code16,tot_ocmngr,tot_ocprof,tot_octechtrdw,tot_occompers,tot_occlericadm,tot_ocsaleswk,tot_ocmacop_driv,tot_oclab,tot_ocid_ns,tot_tot,sa3_name16
11601,5597,11514,8252,6130,10100,5494,6482,6603,1319,61490,Blacktown
11602,6256,11733,5388,4125,7949,4470,3163,2992,777,46855,Blacktown - North
11603,2857,5873,5679,4851,6933,4123,7060,5893,1066,44336,Mount Druitt
11701,2953,5150,2798,2475,3505,2234,1481,1957,422,22976,Botany
11703,20453,45949,9645,12351,13482,9151,1827,6137,2213,121209,Sydney Inner City
11802,10580,23755,6229,6665,9253,5574,1888,3223,1110,68276,Eastern Suburbs - South
11901,6922,12560,9693,6900,10981,6658,5623,6451,1531,67318,Bankstown
11902,5326,9927,7522,5914,7469,5695,4811,6585,1427,54677,Canterbury
11903,7110,14673,6832,5832,9157,5943,3081,4805,1210,58645,Hurstville
11904,7728,15531,7909,6678,10011,6767,4046,6730,1370,66770,Kogarah - Rockdale
12001,8104,14319,3734,3182,6436,3904,1004,1756,803,43244,Canada Bay
12002,6588,12575,1956,2094,3618,2029,432,776,491,30557,Leichhardt
12003,9361,24397,7763,7152,10568,6887,2730,5888,1576,76311,Strathfield - Burwood - Ashfield
12101,10842,23193,3527,4106,7096,4474,806,1870,1034,56939,Chatswood - Lane Cove
12102,5628,13555,4310,3937,5880,3255,1098,2422,571,40659,Hornsby
12103,11610,21661,2823,3979,7341,4499,640,1542,983,55072,Ku-ring-gai
12104,11720,22572,2636,3351,6622,3661,455,1068,964,53052,North Sydney - Mosman
12201,5019,8273,1494,1760,2529,1779,308,631,400,22199,Manly
12202,5628,8043,3849,2867,4169,2841,788,1469,542,30194,Pittwater
12203,13428,20763,9361,7615,10787,7177,2463,4525,1169,77294,Warringah
12301,4038,5859,4802,3444,5332,3284,2537,2487,576,32352,Camden
11702,4360,10995,2923,2718,3973,2200,887,1737,481,30272,Marrickville - Sydenham - Petersham
11801,14201,27404,4011,5270,7354,5332,794,1989,1250,67604,Eastern Suburbs - North
12302,5860,10643,9642,7813,11183,6757,8211,7811,1393,69308,Campbelltown (NSW)
12303,2504,3013,3764,2063,2900,1708,1907,1918,363,20151,Wollondilly
12401,4457,10261,4594,4326,4793,2688,1496,2688,494,35800,Blue Mountains
12402,0,0,0,0,0,0,0,0,0,0,Blue Mountains - South
12403,7418,11073,10214,7309,12323,6630,6600,6243,1297,69111,Penrith
12404,1835,2354,3126,1875,2529,1599,1736,1827,301,17181,Richmond - Windsor
12405,2053,2965,3678,2629,4475,2424,3595,2905,516,25241,St Marys
12501,3769,7760,5901,3586,4647,3486,2699,4965,1164,37982,Auburn
12502,3981,8671,3557,2593,4789,2737,1322,1985,583,30209,Carlingford
12503,5272,9702,8846,5798,8881,5432,5334,6345,1616,57223,Merrylands - Guildford
12504,7300,20567,6760,5499,10163,5301,4049,5012,1382,66035,Parramatta
12601,3612,9238,1718,1776,3234,1797,442,947,374,23135,Pennant Hills - Epping
12602,9856,22085,6259,5414,9867,5722,1745,3359,1163,65463,Ryde - Hunters Hill
12701,4785,6748,6664,3961,7070,4248,4799,4618,1117,44017,Bringelly - Green Valley
12702,5493,9444,10164,6789,9626,6571,8176,9942,1947,68157,Fairfield
12703,4808,8927,6793,5116,7766,4241,4657,4625,1113,48046,Liverpool
12801,8839,13235,7360,5968,8943,5393,2135,2972,923,55769,Cronulla - Miranda - Caringbah
12802,8058,13776,7787,5829,9825,5274,2196,3082,844,56671,Sutherland - Menai - Heathcote
20101,4856,9890,6684,5748,5766,4920,2471,4737,720,45790,Ballarat
20102,2076,2189,1982,1385,1472,901,796,1395,219,12415,Creswick - Daylesford - Ballan
20103,1481,1127,1457,1062,925,845,694,1420,170,9185,Maryborough - Pyrenees
20201,4247,8571,5916,5219,5169,4467,2379,5005,616,41593,Bendigo
20202,2976,4505,2970,2294,2181,1617,1085,2297,313,20238,Heathcote - Castlemaine - Kyneton
20203,1295,545,564,360,460,317,356,636,82,4615,Loddon - Elmore
20301,1495,1463,1598,959,1034,751,684,999,164,9136,Barwon - West
20302,8709,17176,12335,10900,10270,9013,5382,9074,1349,84191,Geelong
20303,4321,7737,4949,3859,3782,2948,1130,2436,539,31696,Surf Coast - Bellarine Peninsula
20401,3768,3135,3700,2827,2503,1951,1676,3160,408,23132,Upper Goulburn Valley
20402,3121,3359,2909,2335,2227,1853,1409,2554,311,20070,Wangaratta - Benalla
20403,4612,5351,5094,3959,3679,3026,2334,3734,548,32340,Wodonga - Alpine
20501,3219,3541,3509,2301,2396,1758,1477,2759,359,21325,Baw Baw
20502,2580,2507,2507,2190,1860,1693,1045,2358,299,17052,Gippsland - East
20503,4405,3554,3994,2746,2518,2488,1537,3155,409,24806,Gippsland - South West
20504,2764,4484,5225,3494,3991,3099,2292,3485,574,29411,Latrobe Valley
20505,2961,2802,2905,2037,1829,1524,1260,2276,306,17898,Wellington
20601,6216,17269,4603,4720,6086,3808,1279,2539,725,47253,Brunswick - Coburg
20602,4283,11150,2407,2698,3370,2106,617,1255,415,28301,Darebin - South
20603,5386,11384,2951,3351,5001,3104,948,1811,567,34507,Essendon
20604,9407,25655,4723,7298,7323,5216,894,3517,1118,65152,Melbourne City
20605,11226,21834,4434,4884,7081,4568,798,1940,948,57711,Port Phillip
21004,2155,3087,3214,2383,3238,2115,1481,1584,288,19536,Sunbury
21005,5642,8527,9477,7510,8941,6519,7236,7496,1379,62727,Tullamarine - Broadmeadows
21101,9282,16191,11766,7812,12175,8411,4239,6274,1215,77364,Knox
21102,2409,3509,1444,1141,1837,1351,295,675,200,12870,Manningham - East
21103,6831,12924,8150,5819,8248,5642,2238,4088,780,54714,Maroondah
21104,3817,8752,3136,2739,4214,2808,953,1930,404,28750,Whitehorse - East
21105,9463,13184,13782,8431,9966,6821,4083,7110,1191,74031,Yarra Ranges
21201,5317,6557,8206,4779,6324,4610,3707,4831,705,45037,Cardinia
21202,6733,10280,9641,6148,9024,6494,4783,6244,1029,60378,Casey - North
21203,7393,10448,12871,8826,11115,7753,8333,9407,1392,77534,Casey - South
21204,6283,11268,11674,7902,9253,7534,8405,12120,1734,76174,Dandenong
21205,10502,23216,7970,6833,10905,7730,2798,5308,1318,76573,Monash
21301,6087,10786,10550,8135,10313,7553,9209,11556,1905,76092,Brimbank
21302,5887,10118,4866,3704,5843,3459,2465,2843,709,39891,Hobsons Bay
21303,5586,11966,4170,4334,5309,3712,2110,3698,764,41648,Maribyrnong
21304,7065,10167,10219,7557,10644,7131,7228,6774,1311,68097,Melton - Bacchus Marsh
21305,10678,18491,12850,11227,15238,9754,10731,9639,1885,100495,Wyndham
21401,6944,10387,10913,7481,8893,7080,4375,6279,1055,63406,Frankston
21402,9546,12711,11944,7988,8110,7278,2746,6108,1062,67498,Mornington Peninsula
21501,5293,3630,3119,3165,2436,2193,1575,3599,406,25418,Grampians
21502,3288,3564,3038,2572,2523,2538,1573,3026,396,22501,Mildura
21503,3432,2047,1956,1500,1563,1397,1048,2228,281,15456,Murray River - Swan Hill
21601,2863,2111,2330,1766,1558,1591,1177,2385,236,16022,Campaspe
21602,2206,1404,1650,1221,1120,1029,888,2064,229,11806,Moira
21603,3875,4610,3671,2814,3165,2767,1797,3743,438,26876,Shepparton
21701,2935,2254,2209,1645,1555,1343,1418,1992,252,15595,Glenelg - Southern Grampians
21703,3661,1991,2155,1758,1397,1356,1212,2888,311,16727,Colac - Corangamite
21704,3703,4021,3153,2500,2437,2428,1408,3274,358,23287,Warrnambool
30101,4168,6343,5829,3812,5987,3654,2396,3568,539,36293,Capalaba
30102,5152,6631,5792,4147,5870,3781,2191,3578,562,37708,Cleveland - Stradbroke
30103,4620,7432,4479,3396,5552,3063,2118,2932,544,34126,Wynnum - Manly
30201,2613,5452,2448,2212,3503,2021,827,1381,341,20797,Bald Hills - Everton Park
20606,6836,14549,2183,2903,4352,3218,334,985,652,36011,Stonnington - West
20607,8584,21938,3557,4519,5603,3702,752,1718,847,51224,Yarra
20701,15439,32381,4814,6688,10399,7498,999,2727,1324,82260,Boroondara
20702,6464,11512,4087,3566,5752,4557,1056,2319,711,40019,Manningham - West
20703,6624,15098,4486,4533,6219,4553,1177,2891,739,46322,Whitehorse - West
20801,10287,15500,3187,3941,5867,4428,636,1441,695,45993,Bayside
20902,4492,10432,5352,4647,5760,4219,2233,4145,725,42006,Darebin - North
20903,5294,8717,5089,3619,5064,3121,1073,2008,448,34422,Nillumbik - Kinglake
20904,9442,15305,15117,10896,14311,10550,8655,10237,1752,96259,Whittlesea - Wallan
21001,3837,6344,3460,2489,4561,2884,1329,1774,509,27192,Keilor
21002,2058,3088,2391,1566,2012,1166,754,1065,201,14291,Macedon Ranges
30202,4492,9486,4284,3626,5575,3142,1398,2476,536,35020,Chermside
30203,2358,5143,2562,2080,3483,1773,1271,1880,317,20875,Nundah
30204,2872,5856,3728,3173,4697,2517,1811,2840,429,27924,Sandgate
30301,3842,7933,2705,2330,4181,2482,853,1636,380,26344,Carindale
20802,12002,25294,6546,6636,9911,6784,1628,3463,1174,73440,Glen Eira
20803,8732,14926,7613,5714,8943,5942,2121,3358,887,58234,Kingston
20804,3825,7972,1247,1649,2616,1879,265,737,326,20517,Stonnington - East
20901,8016,17774,7159,5933,8735,5146,1838,3416,889,58915,Banyule
21003,3518,7581,4609,3443,4681,2975,2097,3152,592,32659,Moreland - North
30302,4764,13881,3785,3854,5285,3050,1153,2584,505,38859,Holland Park - Yeronga
30303,3971,9450,3752,3273,4967,3259,1433,2824,594,33529,Mt Gravatt
30304,2179,5852,2120,1849,2536,1573,882,1608,327,18930,Nathan
30305,3060,6094,3615,2806,4430,2837,2082,2677,556,28156,Rocklea - Acacia Ridge
30905,2081,3361,2532,1901,2231,1802,722,1434,272,16342,Mudgeeraba - Tallebudgera
30906,3577,5138,5264,3807,4493,3774,1994,3468,570,32094,Nerang
30907,7416,8794,9262,6238,8409,6497,3900,5742,993,57249,Ormeau - Oxenford
31503,2159,1048,1028,845,928,543,652,1507,171,8881,Outback - South
31601,2935,5445,3539,2991,3361,3037,997,2066,328,24698,Buderim
31602,3830,6213,5619,4272,4568,3994,1710,3501,515,34231,Caloundra
31603,3041,5141,4225,3366,3286,2974,1136,2607,403,26174,Maroochy
31605,2410,3475,2579,2231,1983,2115,578,1687,253,17306,Noosa
31606,2728,3778,3696,2348,2602,2067,1409,2544,352,21515,Sunshine Coast Hinterland
31607,1977,3195,3187,2199,2353,1813,1134,2286,310,18450,Nambour
31608,1135,1718,1539,1072,1094,936,537,1116,133,9278,Noosa Hinterland
31801,2748,2120,2591,1870,1847,1376,1986,2640,267,17441,Charters Towers - Ayr - Ingham
31802,8363,16272,13100,12716,11663,8347,6503,8262,1247,86478,Townsville
31901,3734,4980,4608,3821,3846,3425,2656,4852,489,32420,Bundaberg
31902,3158,2029,2203,1953,1713,1436,1666,3186,337,17684,Burnett
31903,2233,2190,2763,2009,1957,1778,1577,2675,302,17472,Gympie - Cooloola
31904,1754,3346,2658,2832,2085,2197,1097,2194,272,18442,Hervey Bay
30306,2237,4965,2767,2369,2936,2234,1386,2602,396,21887,Sunnybank
30401,2376,5023,1768,1593,2617,1540,591,931,229,16668,Centenary
30402,3724,8225,1791,1903,2949,1881,392,945,318,22129,Kenmore - Brookfield - Moggill
30403,3032,9700,1644,2533,3004,2191,408,1275,344,24124,Sherwood - Indooroopilly
30404,3373,7613,2609,3201,3801,1909,772,1365,333,24977,The Gap - Enoggera
30501,5418,13708,3033,3940,4648,2933,705,2856,595,37830,Brisbane Inner
30502,3926,7804,2126,2000,3322,1893,578,1176,360,23188,Brisbane Inner - East
30503,7318,16898,4052,4464,6796,4242,1197,2610,752,48340,Brisbane Inner - North
30504,4716,12673,2208,2856,3924,2525,487,1168,347,30911,Brisbane Inner - West
30601,3194,5935,3788,3520,3475,2763,1178,2092,408,26359,Cairns - North
30602,4474,7816,6833,6270,5891,4902,2754,4822,789,44558,Cairns - South
30603,2123,1563,1925,1426,1434,1095,1305,2776,268,13917,Innisfail - Cassowary Coast
30604,832,669,887,827,554,533,271,802,106,5489,Port Douglas - Daintree
30605,2336,2387,2211,1938,1829,1475,1110,2295,252,15824,Tablelands (East) - Kuranda
30701,4569,2306,2675,1741,2178,1454,1999,2927,314,20155,Darling Downs (West) - Maranoa
30702,3524,1986,2894,1514,2038,1387,1826,2974,276,18411,Darling Downs - East
30703,2787,1997,2218,1696,1754,1443,1334,2796,275,16296,Granite Belt
30801,2033,1507,2391,953,1448,997,2478,1634,217,13654,Central Highlands (Qld)
30803,4914,7907,8462,5997,6450,4794,4657,5853,712,49740,Rockhampton
30804,1455,711,1150,485,688,472,1016,1107,101,7185,Biloela
30805,2580,3681,5789,2481,2918,2293,3366,3498,466,27074,Gladstone
30901,4188,6626,4333,3796,3993,3634,1056,2540,512,30682,Broadbeach - Burleigh
30902,2833,4896,3951,3244,3102,2872,1080,2315,399,24695,Coolangatta
30903,3418,4972,4100,3461,3988,3659,1465,2872,509,28440,Gold Coast - North
30904,1245,1646,1410,913,1063,672,451,824,148,8366,Gold Coast Hinterland
30908,2860,4659,3064,2937,3317,3247,920,1953,397,23347,Robina
30909,2765,5112,3765,3498,3308,3296,1269,2988,491,26485,Southport
30910,2883,3716,2199,2407,2287,2640,728,1962,361,19190,Surfers Paradise
31001,2542,5400,3700,3644,3865,2577,2773,3534,557,28599,Forest Lake - Oxley
31002,3265,2836,4043,2962,3015,2105,2706,3802,402,25141,Ipswich Hinterland
31003,4024,6950,6796,5817,6411,4369,3853,5533,782,44546,Ipswich Inner
31004,3471,5590,5406,4572,5658,3566,4048,4673,696,37681,Springfield - Redbank
31101,732,569,861,600,636,440,530,910,74,5356,Beaudesert
31102,1437,1853,2695,1859,2274,1723,1795,2583,309,16516,Beenleigh
31103,2850,3465,5506,3783,5104,3420,5025,4748,650,34547,Browns Plains
31104,2372,2637,4215,2164,3570,2044,2306,2424,368,22106,Jimboomba
31105,2768,4118,4475,3062,4259,2837,2398,3056,464,27429,Loganlea - Carbrook
31106,2703,5352,4638,3424,4524,2826,3081,4191,632,31357,Springwood - Kingston
31201,1984,1548,2819,1078,1363,884,3121,2252,231,15281,Bowen Basin - North
31202,5523,7538,10525,4659,6338,4875,6802,5563,894,52732,Mackay
31203,1429,1276,1893,1242,1048,1017,996,1328,149,10377,Whitsunday
31301,1082,1473,1681,1360,1331,1215,871,1307,189,10495,Bribie - Beachmere
31302,2352,2781,4425,3359,3424,2913,2636,4583,528,26993,Caboolture
31303,668,532,780,566,584,439,492,988,84,5133,Caboolture Hinterland
31304,2666,3627,4802,3364,4258,3054,2381,3337,469,27959,Narangba - Burpengary
31305,2585,4028,3764,3101,3709,2455,1688,2858,456,24639,Redcliffe
31401,6300,10788,6294,4995,7460,4043,1766,2736,629,45014,The Hills District
31402,3741,5736,5021,4336,5430,3718,2494,3204,523,34199,North Lakes
31403,1464,2425,2852,2220,2983,1735,1473,2015,293,17465,Strathpine
31501,1543,1660,1614,1496,1166,555,1127,1555,290,10997,Far North
31502,1636,1986,2621,1393,1478,857,1985,1661,277,13884,Outback - North
31701,7188,13014,9997,7597,9124,6301,4321,8035,805,66386,Toowoomba
31905,1430,1813,2080,1960,1885,1397,1225,1840,218,13847,Maryborough
40101,1379,3517,674,1140,1094,718,151,471,133,9275,Adelaide City
40102,5252,8768,4971,3997,4492,3106,1550,3114,452,35703,Adelaide Hills
40105,2318,6064,1505,1825,2223,1402,364,1022,244,16962,Norwood - Payneham - St Peters
40107,2846,7112,1377,1818,2288,1590,300,899,262,18491,Unley
40201,1721,2176,2522,1975,2127,1558,1310,1989,282,15665,Gawler - Two Wells
40202,2934,3224,4959,4518,4056,3561,3704,5247,629,32834,Playford
40203,2796,6708,3777,3513,3968,2641,1742,3538,493,29175,Port Adelaide - East
40204,4917,7347,8541,7633,7846,5859,5518,8423,1066,57150,Salisbury
40205,4780,8702,6885,5526,7669,4719,2473,3959,644,45357,Tea Tree Gully
40303,4139,10260,3019,3294,3987,2570,668,1983,359,30284,Mitcham
40304,7519,12184,12616,10343,10977,8293,4412,8134,1072,75540,Onkaparinga
40401,5881,10887,6491,5840,7743,5077,2826,4586,761,50082,Charles Sturt
40402,2473,4437,3574,3429,3449,2289,1900,3153,456,25152,Port Adelaide - West
40103,3320,7955,1327,1814,2552,1709,297,861,283,20125,Burnside
40104,2663,5794,2891,2532,3500,2512,890,1982,370,23133,Campbelltown (SA)
40403,3335,7019,3594,3673,4390,2881,1391,2737,432,29450,West Torrens
40501,2620,2351,2525,1738,1924,1308,1289,2779,231,16763,Barossa
40502,2233,1137,1187,873,946,650,782,1608,154,9572,Lower North
40503,1837,1442,1460,1286,1056,975,1039,1354,169,10623,Mid North
40504,1705,1061,1290,1035,920,866,683,1317,149,9023,Yorke Peninsula
40601,3861,3270,3616,2605,2467,2156,2281,3152,457,23874,Eyre Peninsula and South West
40602,1202,1556,1774,1488,1092,812,1317,1305,230,10779,Outback - North and East
40701,2994,2698,2829,2506,2121,1828,1101,2525,272,18874,Fleurieu - Kangaroo Island
40702,5173,3633,4068,2981,3128,2998,2531,4974,421,29909,Limestone Coast
40703,5167,2984,3668,3083,2807,2579,2247,5878,475,28886,Murray and Mallee
50101,3269,3491,4141,2518,2376,2336,1465,3012,315,22926,Augusta - Margaret River - Busselton
50102,4349,6417,8677,4613,5093,4229,4679,6019,730,44807,Bunbury
50103,2014,1212,1458,873,967,779,989,1473,161,9924,Manjimup
50201,3444,4997,7370,4371,4197,3816,4017,4249,654,37124,Mandurah
50301,5573,13167,1620,2667,3258,2313,394,1129,499,30625,Cottesloe - Claremont
50302,8160,20667,5108,5028,6285,3814,1237,3338,759,54402,Perth City
50401,4488,9501,6040,4386,5710,3407,2292,3423,654,39902,Bayswater - Bassendean
50402,2210,3620,3283,2033,2633,1670,1465,1686,341,18945,Mundaring
50403,6161,8602,10720,7253,9052,6074,5834,6415,1023,61140,Swan
50501,10075,18578,12544,8359,11896,7767,3186,5530,1179,79127,Joondalup
50502,11690,24608,12985,9868,12681,8433,4393,7772,1440,93866,Stirling
50503,8773,13591,16771,10498,12658,9109,6330,9670,1543,88947,Wanneroo
50601,3328,5729,6388,4092,5197,3511,3764,3731,547,36286,Armadale
50602,3810,8257,5395,3810,4701,2835,2303,3346,569,35026,Belmont - Victoria Park
50603,4221,10387,6005,4860,5659,3970,2672,4441,714,42927,Canning
50604,4428,8129,9340,5830,7415,5158,5316,6347,972,52930,Gosnells
50605,3020,4647,4830,2767,4277,2380,2573,2341,411,27255,Kalamunda
50606,1315,1549,2706,1352,1842,1142,1522,1265,204,12896,Serpentine - Jarrahdale
50607,3205,7277,1993,1946,2734,1647,584,1088,301,20767,South Perth
50701,5489,10195,8987,5228,7299,4525,3297,4638,867,50518,Cockburn
50702,2610,6284,1981,1788,1884,1280,598,1051,295,17776,Fremantle
50703,1296,2382,3106,1964,2180,1625,1842,2078,324,16802,Kwinana
50704,7121,14961,5221,4487,6799,4430,1536,2865,659,48082,Melville
50705,4983,7344,11213,7088,6876,5311,5079,5957,981,54837,Rockingham
50901,4704,3739,3816,2900,2721,2250,1781,3567,395,25865,Albany
50902,5322,2471,3707,2114,2654,1590,2529,3277,377,24041,Wheat Belt - North
50903,2695,989,1202,734,827,485,934,1112,166,9151,Wheat Belt - South
51001,1795,2797,1909,2093,1721,880,689,1416,339,13639,Kimberley
51002,1045,1562,3452,809,1109,556,2756,1327,285,12899,East Pilbara
51003,1600,2372,5460,1195,1724,735,3141,2418,363,18999,West Pilbara
51101,1340,885,1104,580,797,612,788,951,110,7154,Esperance
51102,757,550,676,471,502,317,262,621,86,4252,Gascoyne
51103,1606,2537,3914,1697,1880,1306,3485,1689,338,18451,Goldfields
51104,3328,3423,3837,2444,2680,1948,2348,2864,447,23322,Mid West
60101,630,619,1135,989,1005,796,617,985,131,6907,Brighton
60102,2766,5085,3230,2971,3844,2358,892,1968,390,23506,Hobart - North East
60103,1756,2788,3399,3151,3347,2478,1646,2851,438,21859,Hobart - North West
60104,1935,3970,2014,1769,2245,1384,449,1156,239,15165,Hobart - South and West
60105,3276,8933,2174,2896,3061,1865,412,1329,373,24327,Hobart Inner
60106,843,983,1162,907,1061,758,469,802,134,7131,Sorell - Dodges Ferry
60201,3697,7203,4628,4461,4496,3980,2169,3684,518,34836,Launceston
60202,1480,1338,1367,1074,1011,751,819,1188,163,9196,Meander Valley - West Tamar
60203,2328,1752,2166,1468,1509,1375,1383,2175,266,14426,North East
60301,730,436,725,561,478,381,480,731,107,4639,Central Highlands (Tas.)
60302,1080,1282,1156,838,922,549,478,1091,147,7543,Huon - Bruny Island
60303,449,276,344,299,228,203,141,454,39,2435,South East Coast
60402,2074,2555,2769,2264,1978,1930,1453,2553,313,17892,Devonport
60403,1410,741,970,673,657,518,762,1555,169,7459,West Coast
70101,2535,3708,2396,1773,2005,964,481,1083,263,15210,Darwin City
70102,3038,6291,3927,3414,3878,2182,1469,2502,586,27296,Darwin Suburbs
70103,1412,1370,2824,1214,1622,670,1013,1177,252,11558,Litchfield
40106,2101,4566,1328,1289,1923,1218,445,936,186,14000,Prospect - Walkerville
40301,2456,4483,1653,1995,2368,1532,416,982,222,16106,Holdfast Bay
40302,4390,9652,5893,5823,6380,4293,1821,3730,595,42566,Marion
60401,1987,2749,2946,2397,2318,2058,1600,2591,337,18987,Burnie - Ulverstone
70104,1813,2389,3194,2459,2889,1388,1274,1518,377,17293,Palmerston
70202,225,333,193,323,194,77,59,291,62,1762,Barkly
70203,489,863,427,618,386,194,259,495,229,3956,Daly - Tiwi - West Arnhem
70204,348,886,448,549,393,165,287,308,154,3543,East Arnhem
70205,758,1187,879,1006,701,336,340,700,232,6140,Katherine
80101,6685,13696,5243,5515,8208,3529,1268,2766,1184,48085,Belconnen
80103,77,75,79,56,65,27,41,69,17,508,Canberra East
70201,1856,3508,1791,2736,2000,1010,633,1437,374,15351,Alice Springs
80104,5976,11095,4004,4318,6789,2932,791,1930,975,38798,Gungahlin
80105,5330,10632,1644,2891,3622,1552,256,1311,662,27899,North Canberra
80106,3136,5959,645,1024,2003,717,137,342,375,14339,South Canberra
80107,6279,10301,5492,4930,9057,3382,1644,2592,1224,44909,Tuggeranong
80108,1876,3530,988,993,1809,619,217,471,241,10738,Weston Creek
80109,2910,6203,1235,1647,2529,1023,289,763,389,16981,Woden Valley
80110,424,1104,237,231,508,161,27,78,60,2822,Molonglo
80111,74,73,55,40,48,17,7,22,9,337,Urriarra - Namadgi
90101,100,85,145,120,103,13,101,132,19,820,Christmas Island
90102,31,32,31,33,26,8,19,39,12,222,Cocos (Keeling) Islands
90103,41,22,12,34,10,3,3,5,8,135,Jervis Bay
90104,168,105,185,117,115,106,39,122,21,975,Norfolk Island
