sa3_name16,sa3_code16,oh_r_tot_ds_sh,oh_r_tot_ds_sdrtht,oh_r_tot_ds_fa,oh_r_tot_ds_od_c,oh_r_tot_ds_od_ch,oh_r_tot_ds_od_ih_t_so,oh_r_tot_od_hf_a_so,oh_r_tot_ds_od_tot,oh_r_tot_ds_ns,oh_r_tot_ds_tot,oh_ott_ds_sh,oh_ott_ds_sdrtht,oh_ott_ds_fa,oh_ott_ds_od_c,oh_ott_ds_od_ch,oh_ott_ds_od_ih_t_so,oh_ott_od_hf_a_so,oh_ott_ds_od_tot,oh_ott_ds_ns,oh_ott_ds_tot,oh_t_ns_ds_sh,oh_t_ns_ds_sdrtht,oh_t_ns_ds_fa,oh_t_ns_ds_od_c,oh_t_ns_ds_od_ch,oh_t_ns_ds_od_ih_t_so,oh_t_ns_od_hf_a_so,oh_t_ns_ds_od_tot,oh_t_ns_ds_ns,oh_t_ns_ds_tot,oh_tot_ds_shouse,oh_tot_ds_sdrtht,oh_tot_ds_f_u_or_a,oh_tot_ds_od_c,oh_tot_ds_od_ch,oh_tot_ds_od_ih_t_so,oh_tot_ds_od_hf_a_to_a_s_o,oh_tot_ds_od_tot,oh_tot_ds_ns,oh_tot_tot,t_h_oo_ds_sh,t_h_oo_ds_sdrtht,t_h_oo_ds_fa,t_h_oo_ds_od_c,t_h_oo_ds_od_ch,t_h_oo_ds_od_ih_t_so,t_h_oo_od_hf_a_so,t_h_oo_ds_od_tot,t_h_oo_ds_ns,t_h_oo_ds_tot,t_h_m_ds_sh,t_h_m_ds_sdrtht,t_h_m_ds_fa,t_h_m_ds_od_c,t_h_m_ds_od_ch,t_h_m_ds_od_ih_t_so,t_h_m_od_hf_a_so,t_h_m_ds_od_tot,t_h_m_ds_ns,t_h_m_ds_tot,t_h_rrea_ds_sh,t_h_rrea_ds_sdrtht,t_h_rrea_ds_fa,t_h_rrea_ds_od_c,t_h_rrea_ds_od_ch,t_h_rrea_ds_od_ih_t_so,t_h_rrea_od_hf_a_so,t_h_rrea_ds_od_tot,t_h_rrea_ds_ns,t_h_rrea_ds_tot,t_h_rha_ds_sh,t_h_rha_ds_sdrtht,t_h_rha_ds_fa,t_h_rha_ds_od_c,t_h_rha_ds_od_ch,t_h_rha_ds_od_ih_t_so,t_h_rha_od_hf_a_so,t_h_rha_ds_od_tot,t_h_rha_ds_ns,t_h_rha_ds_tot,t_h_r_psh_ds_sh,t_h_r_psh_ds_sdrtht,t_h_r_psh_ds_fa,t_h_r_psh_ds_od_c,t_h_r_psh_ds_od_ch,t_h_r_psh_ds_od_ih_t_so,t_h_r_psh_od_hf_a_so,t_h_r_psh_ds_od_tot,t_h_r_psh_ds_ns,t_h_r_psh_ds_tot,t_h_r_hcc_ds_sh,t_h_r_hcc_ds_sdrtht,t_h_r_hcc_ds_fa,t_h_r_hcc_ds_od_c,t_h_r_hcc_ds_od_ch,t_h_r_hcc_ds_od_ih_t_so,t_h_r_hcc_od_hf_a_so,t_h_r_hcc_ds_od_tot,t_h_r_hcc_ds_ns,t_h_r_hcc_ds_tot,t_h_r_olt_ds_sh,t_h_r_olt_ds_sdrtht,t_h_r_olt_ds_fa,t_h_r_olt_ds_od_c,t_h_r_olt_ds_od_ch,t_h_r_olt_ds_od_ih_t_so,t_h_r_olt_od_hf_a_so,t_h_r_olt_ds_od_tot,t_h_r_olt_ds_ns,t_h_r_olt_ds_tot,t_h_r_lns_ds_sh,t_h_r_lns_ds_sdrtht,t_h_r_lns_ds_fa,t_h_r_lns_ds_od_c,t_h_r_lns_ds_od_ch,t_h_r_lns_ds_od_ih_t_so,t_h_r_lns_od_hf_a_so,t_h_r_lns_ds_od_tot,t_h_r_lns_ds_ns,t_h_r_lns_ds_tot,t_h_r_tot_ds_sh,t_h_r_tot_ds_sdrtht,t_h_r_tot_ds_fa,t_h_r_tot_ds_od_c,t_h_r_tot_ds_od_ch,t_h_r_tot_ds_od_ih_t_so,t_h_r_tot_od_hf_a_so,t_h_r_tot_ds_od_tot,t_h_r_tot_ds_ns,t_h_r_tot_ds_tot,t_h_ott_ds_sh,t_h_ott_ds_sdrtht,t_h_ott_ds_fa,t_h_ott_ds_od_c,t_h_ott_ds_od_ch,t_h_ott_ds_od_ih_t_so,t_h_ott_od_hf_a_so,t_h_ott_ds_od_tot,t_h_ott_ds_ns,t_h_ott_ds_tot,t_h_t_ns_ds_sh,t_h_t_ns_ds_sdrtht,t_h_t_ns_ds_fa,t_h_t_ns_ds_od_c,t_h_t_ns_ds_od_ch,t_h_t_ns_ds_od_ih_t_so,t_h_t_ns_od_hf_a_so,t_h_t_ns_ds_od_tot,t_h_t_ns_ds_ns,t_h_t_ns_ds_tot,t_h_tot_ds_sh,t_h_tot_ds_sdrtht,t_h_tot_ds_fa,t_h_tot_ds_od_c,t_h_tot_ds_od_ch,t_h_tot_ds_od_ih_t_so,t_h_tot_od_hf_a_so,t_h_tot_ds_od_tot,t_h_tot_ds_ns,t_h_tot_ds_tot
Southport,30909,2929,2112,4444,0,3,0,4,11,54,9548,44,68,84,0,0,0,0,3,0,200,309,256,306,0,0,0,0,3,73,940,10480,4183,6483,18,36,0,6,64,156,21365,3021,935,965,17,35,0,3,47,14,4989,4318,829,689,0,0,0,3,5,9,5851,1870,1415,2999,0,0,0,0,0,22,6308,323,240,425,0,0,0,0,0,4,997,736,442,846,0,3,0,0,3,12,2035,10,21,96,0,0,0,0,0,0,133,98,51,130,0,0,0,0,4,19,298,54,22,42,0,0,0,0,0,4,120,3092,2191,4551,0,3,0,4,7,56,9893,50,68,83,0,0,0,0,3,0,205,319,255,308,0,0,0,0,3,75,962,10794,4281,6603,18,37,0,9,69,154,21900
Surfers Paradise,30910,749,808,5473,3,3,0,0,7,60,7087,25,29,49,0,0,0,0,0,0,106,103,43,307,0,4,0,0,5,21,480,4335,1843,9273,19,51,0,5,70,133,15652,1748,525,2049,14,36,0,0,50,35,4411,1745,448,1409,3,5,0,0,9,19,3635,540,561,3986,0,0,0,0,0,39,5125,0,4,15,0,0,0,0,0,0,20,210,213,1271,0,0,0,0,3,20,1709,0,13,42,0,0,0,0,0,0,53,7,27,157,0,0,0,0,3,3,196,10,10,95,0,0,0,0,3,0,120,773,827,5569,3,3,0,0,7,60,7234,28,29,49,0,0,0,0,0,0,106,107,43,313,0,4,0,0,5,16,487,4395,1868,9393,19,49,0,5,73,136,15868
Forest Lake - Oxley,31001,5815,1856,172,65,0,0,47,114,62,8018,85,92,105,0,0,0,0,3,0,282,476,82,56,3,0,0,5,11,12,635,18100,2494,485,100,0,0,79,177,82,21344,4574,189,140,30,0,0,13,41,4,4944,7395,273,19,0,0,0,16,22,5,7711,3175,1268,60,0,0,0,13,19,36,4559,1489,301,85,0,0,0,22,22,7,1894,1234,217,19,0,0,0,6,5,9,1485,47,70,18,0,0,0,0,0,4,137,297,58,5,75,0,0,3,77,9,452,83,24,3,0,0,0,0,0,0,111,6326,1935,181,78,0,0,51,129,57,8637,83,92,105,0,0,0,0,3,0,286,495,92,56,3,0,0,3,10,12,668,18875,2579,495,111,0,0,87,207,83,22243
Ipswich Hinterland,31002,4124,131,96,73,9,0,3,84,29,4456,110,27,14,3,0,0,3,9,0,164,510,9,19,73,27,3,0,107,15,657,19424,249,184,259,43,21,15,347,120,20316,7191,62,62,94,9,15,10,120,57,7494,7976,12,3,12,5,12,4,27,20,8040,2709,76,54,0,0,0,0,0,6,2851,51,11,14,0,0,0,0,0,0,76,1434,24,8,5,3,0,3,13,7,1489,23,20,11,0,0,0,0,0,0,53,213,3,7,76,0,0,0,80,9,313,158,5,0,7,0,0,0,6,4,176,4583,138,97,88,9,0,3,96,31,4947,121,27,14,3,0,0,3,9,0,172,545,9,19,81,27,3,0,111,15,694,20413,261,196,276,47,24,16,369,124,21359
Browns Plains,31103,6247,1216,88,32,88,0,16,143,38,7737,91,64,0,0,0,0,0,0,3,157,497,53,7,7,3,0,3,13,9,578,21046,1630,120,73,117,3,33,219,63,23080,4996,180,7,28,24,0,0,52,8,5243,9652,126,16,0,0,3,15,16,7,9828,4738,982,28,5,3,0,10,19,23,5788,611,70,0,0,0,0,3,3,0,686,1254,134,20,6,4,0,0,7,8,1424,21,25,18,0,0,0,0,0,3,66,117,42,14,27,84,0,0,115,9,301,76,16,11,0,0,0,0,0,0,109,6822,1265,96,35,93,0,21,149,41,8377,91,64,0,0,0,0,0,0,3,162,526,63,6,7,5,0,3,17,9,619,22097,1697,129,70,121,3,40,237,66,24223
Jimboomba,31104,1905,89,0,0,0,0,0,4,6,2006,61,0,0,0,0,0,0,0,0,67,254,0,0,0,0,0,0,0,7,257,12537,164,0,3,0,7,0,17,38,12754,2823,45,0,0,0,0,0,3,9,2884,7903,33,0,0,0,4,0,5,21,7967,1474,89,0,0,0,0,0,0,0,1567,16,0,0,0,0,0,0,0,0,16,499,6,0,0,0,0,0,0,9,510,5,0,0,0,0,0,0,0,0,7,38,0,0,0,0,0,0,0,0,36,44,0,0,0,0,0,0,0,0,39,2066,97,0,0,0,0,0,4,11,2178,66,0,0,0,0,0,0,0,0,70,274,0,0,0,0,0,0,0,8,275,13139,172,3,3,0,7,0,17,42,13369
Loganlea - Carbrook,31105,4060,1152,441,17,18,0,3,41,33,5720,77,11,27,0,0,0,0,0,0,120,391,50,30,7,3,0,0,13,13,492,16303,1596,798,106,27,7,6,147,62,18905,4465,143,151,81,6,0,0,90,6,4852,7614,246,143,3,0,0,0,4,17,8028,2900,797,293,0,0,0,0,0,20,4014,473,153,43,0,0,0,0,0,0,667,823,184,69,0,0,0,0,4,14,1088,17,25,30,0,0,0,0,0,0,75,105,36,17,19,18,0,0,35,0,195,58,6,11,0,0,0,0,0,0,79,4375,1207,460,24,18,0,3,41,37,6115,80,11,27,0,0,0,0,0,0,120,409,53,36,7,3,0,0,13,13,517,16941,1661,816,116,27,7,6,147,71,19638
Springwood - Kingston,31106,5428,2923,602,46,0,3,39,82,36,9077,64,41,80,0,0,0,0,0,7,196,445,120,56,3,0,0,12,13,15,649,18986,4229,908,95,0,3,75,170,87,24381,5385,440,118,43,0,0,15,61,16,6016,7984,718,56,0,3,0,13,16,6,8788,3417,2140,378,3,0,0,23,22,16,5974,1165,392,121,0,0,0,9,9,0,1690,1153,378,88,0,0,0,9,12,4,1627,36,58,19,0,0,0,0,0,11,116,137,69,30,45,0,0,4,44,6,283,72,27,6,0,0,0,0,0,0,110,5975,3071,641,44,0,3,41,88,37,9811,66,42,80,0,0,0,0,0,7,198,479,128,59,3,0,0,12,13,15,692,19890,4395,950,99,0,3,82,183,83,25505
Bowen Basin - North,31201,4058,517,428,32,11,4,10,56,29,5089,81,3,0,6,3,0,0,7,3,94,243,31,23,16,5,0,0,25,21,339,8518,581,487,186,31,16,18,255,88,9927,2411,25,23,139,12,6,6,158,21,2642,1952,13,17,3,3,0,8,18,14,2013,1653,179,232,0,0,0,0,3,8,2075,179,57,54,0,0,0,0,0,0,287,572,32,35,0,3,3,0,9,6,653,49,37,16,0,0,0,0,0,0,101,1912,234,112,29,7,3,3,34,9,2302,135,8,15,8,3,3,3,10,7,169,4491,549,462,32,11,8,9,62,26,5592,86,3,0,6,3,0,0,7,3,98,269,34,27,12,5,0,0,21,26,371,9216,619,526,195,34,15,21,268,94,10719
Mackay,31202,7743,2304,1147,38,39,21,6,103,79,11370,314,22,65,8,3,0,0,8,7,413,760,124,100,88,13,5,3,111,61,1151,32459,3206,1712,332,77,86,23,520,229,38119,10435,382,262,196,19,20,3,241,45,11364,14167,390,151,9,5,38,5,66,40,14809,5063,1507,793,4,3,3,3,11,47,7422,612,419,241,0,0,0,0,0,5,1279,2512,339,170,11,9,14,3,29,12,3063,91,102,40,0,0,0,0,0,0,234,336,93,30,29,32,5,3,64,15,537,215,35,13,0,0,0,0,3,5,271,8826,2496,1282,46,41,21,10,113,84,12809,320,22,65,8,3,0,0,8,7,428,840,131,114,100,13,5,3,122,63,1268,34580,3428,1871,356,84,86,23,545,242,40669
