sa3_name16,sa3_code16,oh_r_tot_ds_sh,oh_r_tot_ds_sdrtht,oh_r_tot_ds_fa,oh_r_tot_ds_od_c,oh_r_tot_ds_od_ch,oh_r_tot_ds_od_ih_t_so,oh_r_tot_od_hf_a_so,oh_r_tot_ds_od_tot,oh_r_tot_ds_ns,oh_r_tot_ds_tot,oh_ott_ds_sh,oh_ott_ds_sdrtht,oh_ott_ds_fa,oh_ott_ds_od_c,oh_ott_ds_od_ch,oh_ott_ds_od_ih_t_so,oh_ott_od_hf_a_so,oh_ott_ds_od_tot,oh_ott_ds_ns,oh_ott_ds_tot,oh_t_ns_ds_sh,oh_t_ns_ds_sdrtht,oh_t_ns_ds_fa,oh_t_ns_ds_od_c,oh_t_ns_ds_od_ch,oh_t_ns_ds_od_ih_t_so,oh_t_ns_od_hf_a_so,oh_t_ns_ds_od_tot,oh_t_ns_ds_ns,oh_t_ns_ds_tot,oh_tot_ds_shouse,oh_tot_ds_sdrtht,oh_tot_ds_f_u_or_a,oh_tot_ds_od_c,oh_tot_ds_od_ch,oh_tot_ds_od_ih_t_so,oh_tot_ds_od_hf_a_to_a_s_o,oh_tot_ds_od_tot,oh_tot_ds_ns,oh_tot_tot,t_h_oo_ds_sh,t_h_oo_ds_sdrtht,t_h_oo_ds_fa,t_h_oo_ds_od_c,t_h_oo_ds_od_ch,t_h_oo_ds_od_ih_t_so,t_h_oo_od_hf_a_so,t_h_oo_ds_od_tot,t_h_oo_ds_ns,t_h_oo_ds_tot,t_h_m_ds_sh,t_h_m_ds_sdrtht,t_h_m_ds_fa,t_h_m_ds_od_c,t_h_m_ds_od_ch,t_h_m_ds_od_ih_t_so,t_h_m_od_hf_a_so,t_h_m_ds_od_tot,t_h_m_ds_ns,t_h_m_ds_tot,t_h_rrea_ds_sh,t_h_rrea_ds_sdrtht,t_h_rrea_ds_fa,t_h_rrea_ds_od_c,t_h_rrea_ds_od_ch,t_h_rrea_ds_od_ih_t_so,t_h_rrea_od_hf_a_so,t_h_rrea_ds_od_tot,t_h_rrea_ds_ns,t_h_rrea_ds_tot,t_h_rha_ds_sh,t_h_rha_ds_sdrtht,t_h_rha_ds_fa,t_h_rha_ds_od_c,t_h_rha_ds_od_ch,t_h_rha_ds_od_ih_t_so,t_h_rha_od_hf_a_so,t_h_rha_ds_od_tot,t_h_rha_ds_ns,t_h_rha_ds_tot,t_h_r_psh_ds_sh,t_h_r_psh_ds_sdrtht,t_h_r_psh_ds_fa,t_h_r_psh_ds_od_c,t_h_r_psh_ds_od_ch,t_h_r_psh_ds_od_ih_t_so,t_h_r_psh_od_hf_a_so,t_h_r_psh_ds_od_tot,t_h_r_psh_ds_ns,t_h_r_psh_ds_tot,t_h_r_hcc_ds_sh,t_h_r_hcc_ds_sdrtht,t_h_r_hcc_ds_fa,t_h_r_hcc_ds_od_c,t_h_r_hcc_ds_od_ch,t_h_r_hcc_ds_od_ih_t_so,t_h_r_hcc_od_hf_a_so,t_h_r_hcc_ds_od_tot,t_h_r_hcc_ds_ns,t_h_r_hcc_ds_tot,t_h_r_olt_ds_sh,t_h_r_olt_ds_sdrtht,t_h_r_olt_ds_fa,t_h_r_olt_ds_od_c,t_h_r_olt_ds_od_ch,t_h_r_olt_ds_od_ih_t_so,t_h_r_olt_od_hf_a_so,t_h_r_olt_ds_od_tot,t_h_r_olt_ds_ns,t_h_r_olt_ds_tot,t_h_r_lns_ds_sh,t_h_r_lns_ds_sdrtht,t_h_r_lns_ds_fa,t_h_r_lns_ds_od_c,t_h_r_lns_ds_od_ch,t_h_r_lns_ds_od_ih_t_so,t_h_r_lns_od_hf_a_so,t_h_r_lns_ds_od_tot,t_h_r_lns_ds_ns,t_h_r_lns_ds_tot,t_h_r_tot_ds_sh,t_h_r_tot_ds_sdrtht,t_h_r_tot_ds_fa,t_h_r_tot_ds_od_c,t_h_r_tot_ds_od_ch,t_h_r_tot_ds_od_ih_t_so,t_h_r_tot_od_hf_a_so,t_h_r_tot_ds_od_tot,t_h_r_tot_ds_ns,t_h_r_tot_ds_tot,t_h_ott_ds_sh,t_h_ott_ds_sdrtht,t_h_ott_ds_fa,t_h_ott_ds_od_c,t_h_ott_ds_od_ch,t_h_ott_ds_od_ih_t_so,t_h_ott_od_hf_a_so,t_h_ott_ds_od_tot,t_h_ott_ds_ns,t_h_ott_ds_tot,t_h_t_ns_ds_sh,t_h_t_ns_ds_sdrtht,t_h_t_ns_ds_fa,t_h_t_ns_ds_od_c,t_h_t_ns_ds_od_ch,t_h_t_ns_ds_od_ih_t_so,t_h_t_ns_od_hf_a_so,t_h_t_ns_ds_od_tot,t_h_t_ns_ds_ns,t_h_t_ns_ds_tot,t_h_tot_ds_sh,t_h_tot_ds_sdrtht,t_h_tot_ds_fa,t_h_tot_ds_od_c,t_h_tot_ds_od_ch,t_h_tot_ds_od_ih_t_so,t_h_tot_od_hf_a_so,t_h_tot_ds_od_tot,t_h_tot_ds_ns,t_h_tot_ds_tot
Whitsunday,31203,1224,456,505,3,4,0,3,19,53,2259,19,0,4,0,0,0,0,0,3,26,162,26,57,13,3,0,3,20,29,299,4818,612,720,78,32,12,13,134,148,6430,1461,46,56,48,19,5,4,73,41,1675,2056,87,98,5,3,6,3,22,21,2285,764,331,344,0,0,0,0,0,24,1462,47,37,41,0,0,0,0,0,0,130,392,78,81,0,0,0,0,3,11,563,9,27,15,0,0,0,0,0,0,47,71,16,61,6,6,0,0,11,18,176,35,4,5,0,0,0,0,0,0,47,1320,494,540,3,4,0,3,19,54,2427,22,0,6,0,0,0,0,0,3,24,168,26,60,13,3,0,3,20,31,312,5024,652,758,78,32,16,13,134,154,6722
Bribie - Beachmere,31301,2209,849,391,40,29,0,3,68,18,3530,43,143,3,3,4,0,0,3,0,192,258,74,26,21,5,0,0,28,4,397,10047,2108,622,300,164,3,9,473,46,13294,4805,840,137,244,130,0,4,380,12,6172,2916,208,66,6,0,0,0,12,10,3215,1603,439,272,0,0,0,3,3,6,2324,120,146,26,0,0,0,0,0,0,286,572,172,89,3,3,0,0,3,6,846,14,91,6,4,0,0,0,4,0,110,50,30,4,29,20,0,0,53,3,145,44,16,9,0,0,0,0,0,0,75,2405,892,409,38,29,0,3,71,15,3789,43,143,3,5,4,0,0,4,0,191,274,82,26,20,5,0,0,32,4,413,10433,2158,636,316,169,3,9,494,50,13773
Caboolture,31302,6005,1960,481,3,23,3,3,35,37,8522,60,4,78,0,0,0,0,0,3,147,359,87,67,3,3,0,4,7,12,528,17690,2324,756,21,45,4,15,83,59,20918,4423,159,117,18,16,0,8,37,8,4741,7265,122,14,0,4,0,3,6,10,7412,5057,1520,179,0,0,0,0,3,19,6776,431,361,83,0,0,0,0,0,0,874,1055,164,102,3,0,0,3,5,15,1334,42,34,66,0,0,0,0,0,0,140,113,29,59,0,23,0,4,29,7,239,77,14,20,0,0,0,0,0,0,103,6765,2117,507,4,26,3,5,38,41,9473,61,4,78,0,0,0,0,0,3,154,393,98,67,3,3,0,4,11,14,573,18904,2502,791,23,48,4,14,97,67,22356
Caboolture Hinterland,31303,796,22,4,5,4,3,3,20,8,855,30,0,0,0,3,0,0,6,0,29,99,5,3,6,0,0,0,6,3,114,3917,29,16,44,17,9,9,78,29,4068,1512,3,3,27,3,5,3,37,8,1562,1584,0,0,5,0,3,4,10,11,1611,417,27,0,0,3,0,0,3,3,451,4,0,0,0,0,0,0,0,0,4,338,4,7,0,3,0,0,0,3,351,9,0,0,0,0,0,0,0,0,9,49,0,0,10,0,0,3,13,3,61,41,0,0,0,0,0,0,3,0,49,859,28,4,5,4,3,3,20,8,923,29,0,0,0,3,0,0,6,0,31,108,5,3,6,0,0,0,6,3,119,4095,36,16,44,17,16,9,79,28,4248
Narangba - Burpengary,31304,4091,837,175,51,13,0,0,60,29,5195,101,0,6,0,0,0,0,0,0,105,386,31,7,5,0,0,0,5,5,437,18072,1159,224,79,13,5,0,99,47,19598,5295,106,18,19,0,0,0,25,5,5449,8598,181,25,0,0,4,0,4,3,8816,3044,708,101,0,0,0,0,0,18,3870,408,54,63,0,0,0,0,0,0,529,803,102,15,0,0,0,0,3,4,935,30,18,3,0,0,0,0,0,0,48,120,24,3,50,13,0,0,61,3,216,63,5,0,0,0,0,0,0,3,73,4466,906,189,55,18,0,0,70,33,5671,104,0,6,0,0,0,0,0,0,110,410,39,6,5,0,0,0,5,5,463,18871,1238,247,80,18,5,3,105,48,20509
Redcliffe,31305,4428,1363,2588,14,24,0,6,44,33,8454,84,182,101,0,3,0,3,6,3,381,373,95,147,0,5,0,0,5,8,628,15661,2419,4452,75,112,5,22,210,77,22811,5374,530,1112,64,75,3,8,147,22,7182,5659,258,514,0,3,0,11,14,10,6449,3173,897,1501,0,0,0,0,0,26,5599,459,271,699,0,0,0,0,0,0,1426,1015,183,354,3,5,0,8,16,5,1574,13,41,73,0,0,0,0,0,0,128,79,34,30,10,15,0,0,25,0,164,61,16,39,0,3,0,0,3,3,122,4800,1441,2684,14,24,0,5,47,37,9014,92,185,101,0,3,0,3,6,3,383,381,94,159,0,5,0,0,5,11,649,16299,2506,4564,81,113,3,25,220,78,23667
The Hills District,31401,3550,624,43,0,0,3,0,5,14,4235,74,102,91,0,0,0,0,0,0,276,330,36,20,0,0,0,0,3,4,390,25740,1355,271,12,5,8,3,32,38,27433,8108,317,103,12,3,0,0,9,11,8549,14020,277,10,3,4,6,0,10,14,14333,2235,475,15,0,0,3,0,3,3,2734,112,7,0,0,0,0,0,0,0,119,880,106,14,0,0,0,0,0,6,1001,10,9,15,0,0,0,0,0,0,31,408,46,3,0,0,0,0,0,0,460,51,4,0,0,0,0,0,0,0,62,3695,651,43,0,0,3,0,5,14,4404,75,102,91,0,0,0,0,0,0,277,339,36,20,0,0,0,0,3,4,404,26245,1383,268,12,5,8,3,36,38,27969
North Lakes,31402,6000,3124,161,36,27,0,0,67,35,9384,43,243,47,0,3,0,0,4,0,330,282,115,13,14,10,0,0,20,6,443,18309,4295,321,135,76,3,0,209,56,23198,3480,497,83,81,40,3,0,119,10,4185,8754,334,22,6,0,0,0,5,17,9127,5036,2547,126,0,0,0,0,0,23,7730,278,149,0,0,0,0,0,0,0,428,781,381,24,8,0,0,0,6,3,1195,17,89,7,0,0,0,0,0,0,108,219,93,3,32,27,0,0,55,0,372,43,26,3,0,0,0,0,0,3,73,6362,3280,167,42,27,0,0,64,33,9913,43,242,47,0,3,0,0,4,0,333,299,125,16,14,10,0,0,20,6,463,18949,4471,334,138,76,3,0,214,59,24032
Strathpine,31403,2160,1195,377,0,0,0,3,5,4,3745,32,17,0,0,0,0,0,0,0,52,191,48,18,0,0,0,0,0,0,255,10154,1839,533,8,0,0,4,12,10,12552,2986,275,70,0,0,0,0,3,3,3342,5014,318,64,4,0,0,0,3,3,5404,1423,842,236,0,0,0,0,0,3,2509,286,134,99,0,0,0,0,0,0,521,519,198,49,0,0,0,0,0,3,772,20,29,3,0,0,0,0,0,0,49,81,32,8,0,0,0,0,0,0,130,23,17,6,0,0,0,0,0,0,53,2361,1263,403,0,0,0,3,5,4,4038,37,17,0,0,0,0,0,0,0,51,197,48,18,0,0,0,0,0,0,270,10604,1915,560,8,0,0,4,12,10,13102
Far North,31501,1297,303,160,20,9,40,16,85,16,1871,54,0,0,3,0,3,0,3,3,65,190,14,13,57,17,23,3,101,21,340,3780,392,181,180,53,117,35,379,69,4805,1487,19,12,90,22,40,10,158,26,1699,1081,61,6,16,5,8,8,37,10,1193,286,114,35,0,0,6,0,9,4,449,2471,173,133,0,0,0,4,4,0,2773,424,13,20,5,6,15,5,30,9,493,309,46,28,0,0,0,3,4,0,392,705,198,97,14,7,12,9,37,10,1049,163,16,4,0,7,6,3,13,0,199,4354,560,311,27,11,45,22,99,20,5351,88,0,0,3,0,3,0,8,3,104,347,23,16,60,19,24,8,114,21,516,7361,667,349,193,55,120,38,414,71,8862
Outback - North,31502,1899,736,315,21,5,3,14,44,54,3045,60,8,3,5,0,0,0,5,4,78,187,47,26,22,0,0,0,29,25,311,5492,984,365,178,14,14,24,231,162,7234,1553,118,7,126,0,10,4,144,62,1878,2308,92,17,16,3,0,11,29,24,2473,786,400,152,0,0,0,0,3,5,1346,915,156,128,0,0,0,3,3,13,1206,589,136,57,7,0,3,3,7,11,811,97,5,8,0,0,0,0,0,6,116,640,175,91,19,3,3,5,33,20,959,96,21,14,9,0,0,0,4,11,148,3128,894,445,27,5,4,16,55,60,4587,71,4,3,5,0,0,0,11,3,92,249,53,33,27,0,0,0,31,23,391,7310,1165,512,199,17,17,29,268,183,9427
Toowoomba,31701,9973,3878,1723,17,41,0,92,146,115,15844,164,302,88,0,0,0,0,0,14,562,888,255,89,0,3,0,15,23,113,1366,41777,6325,2515,74,54,13,279,417,352,51383,14750,1267,414,51,11,5,98,167,52,16649,16831,640,198,3,3,12,74,97,62,17825,7162,2889,1279,3,0,0,64,62,62,11453,626,506,202,0,0,0,3,3,7,1348,2686,512,221,0,7,0,24,36,24,3476,74,85,64,0,0,0,0,0,3,234,415,74,43,13,34,0,4,56,16,614,153,42,19,0,3,0,0,4,3,222,11121,4116,1825,20,46,0,95,159,125,17347,172,297,94,0,0,0,0,0,14,572,932,269,101,3,3,0,14,25,108,1438,43804,6595,2635,73,56,19,292,439,359,53834
Maryborough,31905,3082,476,308,59,15,8,9,97,18,3980,78,29,0,0,0,0,0,0,0,111,429,46,24,21,0,3,0,25,14,539,14693,679,390,256,51,55,16,381,110,16258,6769,101,35,171,28,29,0,225,35,7167,4693,25,18,12,9,14,4,35,41,4815,1847,191,174,0,3,3,3,11,0,2224,183,183,74,0,0,0,0,0,0,438,1152,56,59,5,0,3,3,10,14,1297,23,62,13,0,0,0,0,0,0,94,132,15,9,54,10,3,0,65,3,229,113,10,6,3,0,7,0,9,0,146,3449,517,331,67,21,9,9,103,22,4427,89,33,4,3,0,0,0,4,0,125,451,49,25,18,0,3,0,30,14,570,15439,722,415,271,51,63,14,400,118,17100
Mitcham,40303,2169,711,1325,0,0,0,8,8,19,4234,266,92,105,0,0,0,0,0,16,480,339,102,70,0,0,0,0,0,11,523,18431,2333,2288,9,0,0,29,42,84,23175,7629,787,431,7,0,0,7,14,25,8891,8111,643,360,0,0,0,13,13,13,9143,1091,332,737,0,0,0,3,3,7,2178,52,76,72,0,0,0,0,0,0,202,904,206,387,0,0,0,4,4,11,1513,53,86,76,0,0,0,0,0,0,211,56,21,36,0,0,0,0,0,3,114,59,17,22,0,0,0,0,0,0,98,2218,734,1338,0,0,0,8,8,19,4319,266,92,105,0,0,0,0,0,16,480,342,109,76,0,0,0,0,0,11,531,18569,2364,2309,9,0,0,36,43,84,23365
Onkaparinga,40304,11260,2435,635,51,35,7,5,94,38,14466,246,629,208,0,3,0,0,6,4,1091,995,236,68,4,7,0,0,13,12,1318,55373,4999,1393,147,126,10,19,303,129,62199,17071,912,320,86,76,3,3,173,36,18506,26312,798,166,3,0,6,9,19,48,27346,6064,991,287,0,0,0,0,4,21,7361,1597,913,214,0,0,0,0,0,0,2731,3522,399,91,5,0,0,4,13,6,4037,313,155,50,0,0,0,0,0,0,520,178,46,8,45,34,0,0,81,8,312,148,34,3,3,0,0,0,0,0,185,11822,2535,654,53,35,7,5,99,44,15151,252,628,208,0,3,0,0,6,4,1101,1026,243,68,4,7,0,0,13,9,1359,56486,5118,1413,152,126,10,19,312,135,63464
Charles Sturt,40401,5320,5413,2558,3,0,3,24,31,34,13362,149,416,24,0,0,0,0,0,0,595,619,320,122,0,0,0,0,3,8,1074,26972,11391,3673,12,0,10,70,94,141,42271,11494,2314,441,11,0,3,26,35,30,14325,9545,2965,529,0,0,0,10,14,70,13120,2305,2152,1241,0,0,0,8,12,17,5718,891,1979,564,0,0,0,0,0,7,3450,2001,995,638,0,0,3,13,16,15,3659,96,306,74,0,0,0,0,0,0,485,180,102,81,3,0,0,0,3,0,375,120,70,17,0,0,0,0,0,0,215,5592,5612,2619,3,0,3,24,31,39,13899,160,421,24,0,0,0,0,0,0,602,635,337,125,0,0,0,0,3,4,1112,27428,11647,3744,12,0,10,70,94,152,43059
Adelaide City,40101,276,1652,2989,0,0,0,39,41,35,4992,6,29,48,0,0,0,3,3,0,86,29,76,131,0,0,4,5,11,27,274,1046,3015,4380,0,0,6,69,74,81,8592,442,714,587,0,0,0,15,15,12,1771,294,547,636,0,0,0,10,10,7,1486,159,939,1918,0,0,0,11,16,18,3047,13,182,291,0,0,0,0,0,0,482,106,449,532,0,0,0,20,19,14,1117,7,70,186,0,0,0,3,3,0,266,7,21,68,0,0,0,3,3,4,98,5,16,29,0,0,0,0,0,0,47,290,1673,3018,0,0,0,39,41,35,5054,6,29,48,0,0,0,3,3,0,86,29,80,133,0,0,6,5,10,31,276,1060,3040,4421,0,0,11,69,72,86,8678
Adelaide Hills,40102,3696,417,94,9,12,0,9,26,19,4250,207,82,20,0,0,0,0,0,17,328,402,33,7,3,0,0,0,0,7,449,24169,804,163,43,34,4,22,109,136,25378,8497,172,21,32,12,3,4,54,51,8794,11531,106,23,6,3,3,5,26,35,11718,1935,154,45,0,0,0,0,3,5,2142,285,90,5,0,0,0,0,0,0,392,1251,96,30,0,0,0,4,3,14,1390,83,68,10,0,0,0,0,0,0,160,139,14,4,3,13,0,0,20,0,174,93,8,0,0,0,0,0,0,0,98,3796,425,94,9,12,0,9,26,19,4356,208,82,20,0,0,0,0,0,17,327,403,33,9,3,0,0,0,0,7,461,24431,814,169,43,34,4,22,109,136,25654
Norwood - Payneham - St Peters,40105,1462,2101,1735,0,3,0,20,20,21,5341,175,206,110,0,0,0,0,0,3,491,160,114,53,0,0,0,0,0,5,334,7746,4430,2413,0,3,0,36,36,56,14686,3435,1058,238,0,0,0,8,13,9,4757,2541,953,276,0,0,0,3,3,21,3794,757,1072,974,0,0,0,6,5,6,2811,49,362,244,0,0,0,0,0,3,657,593,508,452,0,0,0,13,13,11,1571,25,126,46,0,0,0,0,0,0,204,52,32,39,0,0,0,0,3,0,127,32,23,9,0,0,0,0,0,0,66,1499,2131,1757,0,3,0,20,20,17,5425,179,209,107,0,0,0,0,0,3,495,160,113,53,0,0,0,0,0,5,338,7808,4464,2436,0,3,0,36,38,63,14808
Port Adelaide - West,40402,3390,2812,1371,3,3,0,14,26,35,7620,108,118,18,0,0,0,0,0,3,246,304,171,60,0,0,0,0,0,11,557,15033,5176,1879,7,27,4,50,90,76,22253,5112,899,206,4,21,0,15,45,10,6268,6285,1200,240,3,0,0,14,22,19,7763,1364,894,672,0,0,0,7,4,13,2946,930,1335,343,0,0,0,0,4,4,2618,1070,464,286,0,3,0,6,8,11,1838,105,166,63,0,0,0,0,0,0,338,134,69,49,0,0,0,0,0,3,259,64,34,16,0,0,0,0,0,0,118,3666,2959,1430,3,3,0,18,24,34,8110,109,121,21,0,0,0,0,0,3,249,322,178,60,0,0,0,0,0,11,573,15494,5358,1945,7,24,4,51,89,78,22965
Burnside,40103,1329,1389,995,0,0,0,7,7,13,3729,51,201,76,0,0,0,0,0,0,328,142,113,56,0,0,0,0,0,0,309,11226,3717,1719,0,0,0,9,13,26,16704,5501,1275,332,0,0,0,3,3,9,7122,4223,747,266,0,0,0,0,0,8,5246,758,867,578,0,0,0,3,3,3,2213,4,49,100,0,0,0,0,0,0,150,501,397,265,0,0,0,0,0,5,1177,4,38,30,0,0,0,0,0,0,74,31,26,19,0,0,0,0,0,0,74,42,16,12,0,0,0,0,0,0,76,1346,1401,1003,0,0,0,7,7,13,3766,51,201,76,0,0,0,0,0,0,328,141,110,56,0,0,0,0,0,0,313,11273,3727,1736,0,0,0,9,13,26,16778
Campbelltown (SA),40104,2640,1169,1069,0,0,0,4,5,19,4908,105,251,27,0,0,0,0,0,0,387,266,110,44,0,0,0,0,0,4,431,14274,3374,1538,0,3,0,4,8,48,19244,6379,877,170,0,0,0,0,0,3,7419,4939,981,226,0,0,0,3,3,13,6161,1354,523,495,0,0,0,0,3,6,2384,231,251,207,0,0,0,0,0,0,690,938,294,260,0,0,0,0,0,7,1502,55,78,58,0,0,0,0,0,0,186,67,31,45,0,0,0,0,0,3,146,58,17,17,0,0,0,0,0,0,90,2701,1189,1084,0,0,0,4,5,26,4996,105,254,27,0,0,0,0,0,0,388,266,116,45,0,0,0,0,0,4,436,14379,3409,1551,0,3,0,4,8,47,19402
Prospect - Walkerville,40106,1173,1050,994,3,0,0,13,19,18,3257,30,70,24,0,0,0,0,0,0,119,129,54,49,0,0,0,0,3,3,239,7122,2067,1307,12,0,0,26,46,32,10565,3029,414,113,12,0,0,10,17,9,3582,2791,481,135,0,0,0,3,3,9,3413,653,544,557,0,0,0,0,3,7,1767,66,165,166,0,0,0,0,0,0,394,426,254,227,0,0,0,14,14,11,929,16,79,19,0,0,0,0,0,0,114,30,21,34,3,0,0,0,3,0,83,30,17,5,0,0,0,0,0,0,49,1215,1073,1006,3,0,0,13,19,18,3332,30,71,24,0,0,0,0,0,0,122,128,59,47,0,0,0,0,3,8,249,7198,2098,1322,12,0,0,26,46,36,10697
Unley,40107,1241,1151,2049,0,0,0,9,9,13,4462,53,133,158,0,0,0,0,0,3,342,151,70,78,0,0,0,0,0,3,301,8666,2687,3239,0,0,0,13,12,32,14640,3897,705,466,0,0,0,3,3,7,5074,3336,644,496,0,0,0,3,3,12,4489,674,564,1233,0,0,0,3,4,8,2482,18,197,129,0,0,0,0,0,3,344,512,330,564,0,0,0,0,0,3,1412,7,54,102,0,0,0,0,0,0,167,20,12,23,0,0,0,0,0,0,56,33,17,19,0,0,0,0,0,0,64,1266,1171,2067,0,0,0,5,9,13,4526,59,133,158,0,0,0,0,0,3,346,150,70,79,0,0,0,0,0,3,298,8711,2713,3262,0,0,0,12,15,32,14738
Gawler - Two Wells,40201,2018,803,83,9,6,0,7,21,21,2940,111,76,22,0,0,0,0,0,0,207,218,48,5,5,0,0,0,5,6,288,10921,1306,122,49,11,9,7,78,45,12473,3401,182,6,36,3,0,0,40,6,3643,5297,193,6,0,0,7,4,6,12,5522,1114,368,51,0,0,0,3,3,6,1535,133,278,18,0,0,0,0,0,0,419,628,114,13,0,0,0,0,4,5,767,32,50,3,0,0,0,0,0,0,86,161,17,0,8,3,0,0,10,4,192,38,14,0,0,0,0,0,0,0,58,2095,838,83,9,6,7,7,24,21,3058,108,75,24,0,0,0,0,0,0,208,227,55,5,5,0,0,0,5,6,295,11132,1350,126,49,11,8,7,74,45,12728
Playford,40202,7118,3787,439,8,15,0,0,19,20,11385,101,68,24,0,0,0,0,0,0,192,592,211,37,0,3,0,0,5,9,850,24720,5162,561,44,47,0,0,94,81,30622,5882,422,35,33,32,0,0,65,15,6419,11437,728,27,0,0,0,0,7,33,12230,4380,1527,132,0,0,0,0,0,11,6054,900,1848,166,0,0,0,0,0,3,2911,1718,316,54,0,3,0,0,3,3,2094,136,301,61,0,0,0,0,0,3,498,459,51,29,3,11,0,0,20,0,558,82,45,18,0,0,0,0,0,0,145,7673,4090,455,5,15,0,0,19,22,12259,103,69,24,0,0,0,0,0,0,197,623,233,39,0,3,0,0,5,9,905,25711,5538,578,48,47,0,0,97,85,32011
Port Adelaide - East,40203,5134,2621,1144,6,8,0,14,28,40,8957,118,141,31,0,0,0,0,0,4,288,381,144,69,0,0,0,0,4,8,603,18211,4935,1621,32,14,3,17,64,95,24930,5627,582,175,23,3,3,3,36,9,6432,7043,1454,207,3,0,0,0,7,43,8752,2278,1075,557,0,0,0,4,4,14,3926,1131,963,203,0,0,0,0,0,7,2305,1396,413,273,3,0,0,7,12,12,2095,256,148,66,0,0,0,0,0,3,472,266,79,50,8,3,0,3,11,0,409,66,25,10,0,0,0,0,0,3,107,5398,2703,1160,6,7,0,14,29,42,9323,122,142,31,0,0,0,0,0,4,295,404,156,68,0,0,0,0,4,9,640,18592,5036,1639,35,11,3,15,67,97,25442
Salisbury,40204,8678,3132,1472,15,15,0,25,54,21,13361,275,154,82,0,0,0,0,0,3,516,920,159,76,0,0,0,4,9,16,1178,39701,5595,2057,78,37,3,58,173,76,47602,11761,808,170,57,21,0,18,99,17,12844,18541,1368,265,3,0,0,16,17,21,20204,4042,1466,881,0,0,0,14,13,12,6414,1649,1086,292,0,0,0,5,5,0,3031,2684,499,200,0,0,0,7,10,4,3392,286,111,68,0,0,0,0,0,0,461,454,74,47,15,13,0,0,31,4,605,134,30,22,0,0,0,0,0,0,185,9245,3260,1503,15,15,0,24,55,21,14080,284,160,82,0,0,0,0,0,3,532,956,168,74,0,0,0,4,9,16,1223,40787,5756,2092,78,37,3,60,176,76,48886
Tea Tree Gully,40205,4790,1129,375,0,3,0,7,9,17,6323,339,481,11,0,0,0,0,0,3,835,531,97,28,0,0,0,0,0,4,658,31006,2762,762,12,3,0,13,23,56,34619,11122,523,165,3,0,0,3,9,14,11828,14445,538,189,5,0,0,3,12,26,15205,2245,510,199,0,0,0,0,0,8,2962,778,296,64,0,0,0,0,0,3,1142,1653,235,99,0,0,0,0,3,9,1991,90,78,13,0,0,0,0,0,0,175,147,25,6,0,0,0,0,0,0,175,70,5,5,0,0,0,3,3,0,90,4974,1146,384,0,3,0,7,9,17,6539,339,488,11,0,0,0,0,0,3,841,539,96,25,0,0,0,0,0,4,668,31422,2790,776,12,3,0,13,23,59,35079
West Torrens,40403,3384,2721,2599,0,0,0,22,23,35,8765,103,250,38,0,0,0,0,0,0,392,322,168,90,0,0,0,4,4,12,599,15375,5243,3561,9,8,0,35,50,90,24322,6239,913,361,4,0,0,10,15,15,7533,5403,1198,472,0,3,0,3,12,28,7114,1614,1192,1516,0,0,0,15,15,15,4344,304,552,274,0,0,0,0,0,0,1137,1314,705,689,0,0,0,7,9,17,2725,90,238,47,0,0,0,0,0,0,369,89,58,99,0,0,0,3,3,4,253,67,36,15,0,0,0,0,0,3,119,3485,2774,2633,0,0,0,22,24,41,8953,109,251,38,0,0,0,0,0,0,401,332,169,95,0,0,0,4,4,12,617,15569,5311,3602,10,8,0,35,52,91,24623
Barossa,40501,1965,287,90,5,3,3,7,15,12,2369,112,83,16,3,0,0,0,3,0,224,198,23,13,3,0,0,0,3,9,240,12211,564,144,53,13,12,22,99,65,13079,4498,103,17,40,11,6,3,66,15,4707,5551,64,3,4,0,0,16,24,23,5669,895,125,34,0,0,0,0,0,0,1054,89,55,20,0,0,0,0,0,0,158,783,45,6,0,0,3,3,3,8,845,44,53,28,0,0,0,0,0,0,125,138,13,3,3,4,0,0,6,0,161,80,4,4,0,0,0,0,0,0,92,2030,291,90,3,3,3,4,13,12,2441,112,83,16,3,0,0,0,3,3,224,205,23,14,3,0,0,0,3,9,249,12401,566,142,55,13,12,26,105,64,13283
Lower North,40502,1646,130,71,3,3,0,15,24,20,1887,90,22,0,0,3,0,0,3,0,118,188,8,7,7,0,0,0,15,9,228,8083,236,95,48,11,5,52,117,73,8612,3616,52,15,30,6,3,20,57,26,3765,2660,27,0,3,0,3,22,30,20,2733,525,29,27,0,0,0,0,0,7,587,104,38,15,0,0,0,0,0,4,157,763,25,11,0,0,0,8,8,11,810,55,29,24,0,0,0,0,0,0,113,187,3,0,3,4,0,3,11,3,203,85,7,0,0,0,0,3,4,3,95,1718,128,77,3,3,0,15,24,20,1967,90,24,0,0,3,0,0,3,0,124,199,8,7,14,0,0,3,17,9,233,8280,243,97,50,11,7,53,123,75,8818
