SA3_MAIN11,Tot_OcMngr,Tot_OcProf,Tot_OcTechTrdW,Tot_OcComPerS,Tot_OcClericAdm,Tot_OcSalesWk,Tot_OcMacOp_Driv,Tot_OcLab,Tot_OcID_NS,Tot_Tot,SA3_NAME11
10801,1253,1450,1427,1187,1109,1199,614,1313,165,9717,Great Lakes
10802,1968,2243,2209,2119,1818,1583,1090,2098,266,15394,Kempsey - Nambucca
10803,50,14,33,32,26,7,3,49,0,214,Lord Howe Island
10804,3307,5092,4101,3246,4028,3204,1483,2781,388,27630,Port Macquarie
10805,2290,2962,2759,2109,2108,2041,1312,2517,245,18343,Taree - Gloucester
10901,3555,4783,4023,2768,3632,2733,2066,2893,439,26892,Albury
10902,1325,623,705,476,574,372,479,839,105,5498,Lower Murray
10903,3864,2111,2421,1694,1794,1461,1381,2476,296,17498,Upper Murray exc. Albury
11001,2871,3291,1949,1595,2012,1482,675,1793,232,15900,Armidale
11002,3238,1845,1838,1522,1437,1347,968,2196,264,14655,Inverell - Tenterfield
11003,2480,1458,1470,917,1367,928,1229,1409,236,11494,Moree - Narrabri
11004,5091,5213,4674,3203,4123,3195,2848,4649,540,33536,Tamworth - Gunnedah
11101,5306,10809,8467,5235,8346,5746,3473,4818,761,52961,Lake Macquarie - East
11102,2711,4840,5334,2991,4247,2951,2662,3434,468,29638,Lake Macquarie - West
11103,7196,18539,10073,7669,10251,7206,4367,6712,1052,73065,Newcastle
11201,4340,6607,4337,3573,3530,3343,1426,3260,484,30900,Richmond Valley - Coastal
11202,3825,4868,3739,3159,3554,2945,1773,4071,389,28323,Richmond Valley - Hinterland
11203,3669,5429,5130,4049,4105,3846,1975,3940,522,32665,Tweed Valley
11301,4107,2501,2796,1642,2431,1872,1597,3603,384,20933,Griffith - Murrumbidgee (West)
11302,1082,748,968,579,609,463,714,1040,114,6317,Tumut - Tumbarumba
11303,6219,7021,6384,4483,5040,3947,2651,4708,634,41087,Wagga Wagga
11401,4006,5651,5802,4401,4151,3653,1931,3675,516,33786,Shoalhaven
11402,2825,3867,3025,1947,2340,1823,1162,1928,347,19264,Southern Highlands
11501,12037,20581,6915,4990,11929,6930,1794,2866,1063,69105,Baulkham Hills
11502,2541,2844,1931,899,2106,1152,487,837,205,13002,Dural - Wisemans Ferry
11503,1787,2061,2304,1061,1905,1017,927,1146,204,12412,Hawkesbury
11504,2375,2757,2192,1004,2459,1338,832,864,233,14054,Rouse Hill - McGraths Hill
11601,4791,10102,8108,5132,10720,5158,5806,5862,1272,56951,Blacktown
11602,4927,8735,4787,3034,7012,3669,2578,2650,667,38059,Blacktown - North
11603,2475,4767,5386,3874,6920,3687,6280,5622,913,39924,Mount Druitt
11701,2029,3602,2380,1880,3277,1822,1444,1594,373,18401,Botany
11802,8822,21507,6018,5995,9598,5147,1892,2911,1127,63017,Eastern Suburbs - South
11901,6292,10900,9441,5312,11246,5839,5309,5856,1539,61734,Bankstown
11902,4536,8578,7175,4521,7409,4926,4454,5751,1325,48675,Canterbury
11903,6413,13181,6530,4716,9604,5058,2917,3927,1119,53465,Hurstville
69797,4,13,24,8,0,3,0,20,3,75,Migratory - Offshore - Shipping (Tas.)
20605,10216,21247,4224,4258,7119,4376,744,1588,1169,54941,Port Phillip
20903,5150,8499,5373,3292,5419,3411,1090,1901,667,34802,Nillumbik - Kinglake
20904,7358,11248,12722,7284,12631,8470,7251,8515,1875,77354,Whittlesea - Wallan
21001,3349,5599,3578,2142,4674,2743,1410,1740,608,25843,Keilor
21002,1879,2791,2364,1368,1964,1156,690,1002,255,13469,Macedon Ranges
21003,2757,5627,4226,2586,4519,2677,2115,2686,747,27940,Moreland - North
21004,1928,2844,3255,2026,3484,1935,1474,1521,402,18869,Sunbury
21005,4513,6428,8914,4937,8525,5393,6102,6582,1636,53030,Tullamarine - Broadmeadows
21101,8865,14996,12590,6835,13259,8483,4721,6456,1407,77612,Knox
21102,2427,3529,1613,1018,2112,1394,340,590,209,13232,Manningham - East
21103,6239,11513,8235,4954,8878,5687,2375,3937,940,52758,Maroondah
21104,3504,7965,3411,2391,4481,2723,1013,1778,522,27788,Whitehorse - East
11801,12523,25887,4042,4730,7740,4912,737,1621,1370,63562,Eastern Suburbs - North
11904,6382,12701,7296,5245,9838,5540,3706,5184,1269,57161,Kogarah - Rockdale
12001,7044,12112,3468,2665,6249,3344,853,1500,659,37894,Canada Bay
12002,6272,12336,1994,1970,3799,1993,453,765,422,30004,Leichhardt
12003,8175,20912,7170,5830,10420,5942,2473,4833,1415,67170,Strathfield - Burwood - Ashfield
12101,9442,20811,3431,3473,7315,3747,730,1533,951,51433,Chatswood - Lane Cove
12102,5333,12440,4361,3407,6278,3210,1082,2266,613,38990,Hornsby
12103,10508,19632,2650,3490,7323,4094,503,1342,890,50432,Ku-ring-gai
12104,10429,21344,2642,3130,7018,3404,409,940,973,50289,North Sydney - Mosman
12201,4229,7720,1501,1614,2665,1624,311,624,376,20664,Manly
12202,5053,7563,3748,2593,4284,2731,760,1454,501,28687,Pittwater
12203,11792,18923,9213,6495,11241,6997,2444,4071,1109,72285,Warringah
12301,3452,4916,4003,2637,4749,2734,2172,1911,383,26957,Camden
12302,5666,9395,9725,6690,11840,6383,7344,7179,1272,65494,Campbelltown (NSW)
12303,2082,2701,3259,1657,2643,1457,1802,1778,325,17704,Wollondilly
12401,4266,10234,4676,4061,5088,2749,1543,2414,501,35532,Blue Mountains
12402,0,0,0,0,0,0,0,0,0,0,Blue Mountains - South
12403,6692,9371,9436,6064,11808,6194,5890,5490,1118,62063,Penrith
12404,1803,2360,3124,1775,2571,1569,1679,1703,307,16891,Richmond - Windsor
12405,2045,2749,3779,2367,4833,2394,3296,2779,506,24748,St Marys
12501,2778,6042,4163,2431,4173,2534,2371,3751,915,29158,Auburn
12502,3665,7528,3315,2139,4718,2403,1190,1754,554,27266,Carlingford
12503,4591,8570,8156,4472,9190,4760,5042,5592,1362,51735,Merrylands - Guildford
12504,6105,16252,6791,4813,10436,5006,3664,4631,1186,58884,Parramatta
12601,3278,8332,1671,1479,3310,1681,366,826,345,21288,Pennant Hills - Epping
12602,8440,18778,5830,4468,9728,4841,1674,3042,1122,57923,Ryde - Hunters Hill
12701,3541,4303,5414,2594,5708,3175,3844,3896,841,33316,Bringelly - Green Valley
12702,5094,8463,10315,5582,9934,6165,8049,9564,2019,65185,Fairfield
12703,4136,7472,6703,4386,7711,3704,4136,4086,983,43317,Liverpool
12801,8025,12306,7286,5448,9441,5376,2100,2886,847,53715,Cronulla - Miranda - Caringbah
12802,7678,12984,7988,5336,10825,5490,2297,3029,778,56405,Sutherland - Menai - Heathcote
19797,3,3,6,3,3,3,3,9,0,33,Migratory - Offshore - Shipping (NSW)
19999,337,742,542,465,394,237,350,490,93,3650,Special Purpose Codes SA3 (NSW)
20101,4540,9008,6676,4630,5802,4705,2565,4556,843,43325,Ballarat
20102,2012,2127,1936,1207,1476,940,876,1341,234,12149,Creswick - Daylesford - Ballan
20103,1543,1149,1463,880,938,868,738,1324,176,9079,Maryborough - Pyrenees
20201,4077,7824,5795,4230,5177,4427,2351,4575,747,39203,Bendigo
20202,2854,3958,2964,1973,2247,1626,1107,2252,362,19343,Heathcote - Castlemaine - Kyneton
20203,1394,518,595,365,474,294,350,602,87,4679,Loddon - Elmore
20301,1330,1264,1474,774,918,658,627,860,183,8088,Barwon - West
20302,7851,15134,12656,8849,10148,8491,5610,8686,1668,79093,Geelong
20303,3691,6356,4458,2996,3316,2552,1062,2209,554,27194,Surf Coast - Bellarine Peninsula
20401,3782,3093,3517,2573,2507,1805,1703,2931,485,22396,Upper Goulburn Valley
20402,3256,3262,2940,2065,2275,1971,1608,2617,407,20401,Wangaratta - Benalla
20403,4594,5036,4959,3240,3694,2917,2368,3483,586,30877,Wodonga - Alpine
20501,3148,3265,3299,1873,2259,1637,1459,2550,374,19864,Baw Baw
20502,2692,2540,2585,1962,1895,1668,1098,2318,330,17088,Gippsland - East
20503,4558,3495,4092,2312,2508,2370,1616,3277,506,24734,Gippsland - South West
20504,2835,4511,5686,3102,4132,3211,2411,3578,706,30172,Latrobe Valley
20505,3070,2727,2971,1858,1939,1539,1240,2180,318,17842,Wellington
20601,4950,14492,4302,3665,6138,3292,1344,2359,975,41517,Brunswick - Coburg
20602,3467,9944,2427,2254,3594,1839,697,1217,583,26022,Darebin - South
20603,4590,9955,2874,2761,5191,2798,881,1641,693,31384,Essendon
20604,7157,20406,3198,4574,6433,3627,613,1661,1099,48768,Melbourne City
10101,5483,4717,4350,3484,3896,2635,2058,3481,569,30673,Goulburn - Yass
10102,4559,5803,4054,2696,5672,2160,1538,2110,721,29313,Queanbeyan
10103,1744,1254,1381,996,1065,853,578,1019,158,9048,Snowy Mountains
10104,3409,4069,4050,3094,3054,2813,1521,3245,383,25638,South Coast
10201,8572,14984,10679,7902,10895,7602,3346,6234,1169,71383,Gosford
10202,5735,8486,9939,7171,8244,7135,4689,7199,1030,59628,Wyong
10301,2571,3531,3005,2150,2493,1897,1447,2429,318,19841,Bathurst
10302,5360,2961,3053,2103,2403,1849,2050,2650,399,22828,Lachlan Valley
10303,2404,2318,3052,1809,2035,1551,2368,2133,299,17969,Lithgow - Mudgee
10304,3407,4484,3739,2362,3400,2135,2300,2812,390,25029,Orange
10401,2111,2549,2491,2345,2129,2014,1285,2375,294,17593,Clarence Valley
10402,4222,5995,4642,3889,4483,3650,1765,3808,491,32945,Coffs Harbour
10501,2522,1255,1230,1136,993,541,1156,1345,234,10412,Bourke - Cobar - Coonamble
10502,1151,1187,1184,1112,893,686,832,1036,152,8233,Broken Hill and Far West
10503,5054,4799,3927,3297,3709,2849,1977,3401,434,29447,Dubbo
10601,3708,4191,6773,3480,4215,3129,5569,4345,656,36066,Lower Hunter
10602,2989,5076,5450,2725,4256,2991,3060,2977,442,29966,Maitland
10603,3037,3847,5117,3086,3658,2911,2253,2973,439,27321,Port Stephens
10604,1832,1551,2611,1076,1420,1034,2169,1997,241,13931,Upper Hunter
10701,2401,4350,4969,3313,4179,2981,2851,3409,520,28973,Dapto - Port Kembla
10702,3,0,0,0,0,0,0,0,0,3,Illawarra Catchment Reserve
10703,3692,6085,6206,4223,5090,3847,3216,3632,572,36563,Kiama - Shellharbour
10704,5827,14250,7697,6178,7633,4442,3084,3936,840,53887,Wollongong
21105,8906,12567,13808,7426,10715,7037,4338,7006,1396,73199,Yarra Ranges
21201,4545,5065,6891,3259,5275,3546,3119,3907,728,36335,Cardinia
21202,6280,9386,9780,5027,9538,6335,4979,5874,1462,58661,Casey - North
21203,5600,7160,10728,5422,9701,6016,7230,7538,1483,60878,Casey - South
21204,5347,9473,10946,6150,9624,6479,8683,10930,2228,69860,Dandenong
21205,9434,21545,8521,6205,11766,7555,3043,5242,1564,74875,Monash
21301,5386,9681,10734,6803,10778,7154,8891,10457,2405,72289,Brimbank
21302,4807,8805,5046,3178,6028,3150,2630,3085,874,37603,Hobsons Bay
21303,4129,9511,3778,3236,5012,2911,2074,3120,902,34673,Maribyrnong
21304,5717,8356,9411,5575,9684,5832,6140,5894,1411,58020,Melton - Bacchus Marsh
21305,8138,13590,11418,7421,13481,7630,7927,7543,1949,79097,Wyndham
21401,6259,9374,10886,6020,9301,6775,4481,6137,1347,60580,Frankston
21402,8472,11551,11874,6638,8037,6961,2931,5857,1307,63628,Mornington Peninsula
21501,5858,3696,3330,2811,2620,2282,1811,3459,514,26381,Grampians
21502,3330,3308,2996,2120,2546,2406,1550,2781,440,21477,Mildura
21503,3970,2109,2026,1371,1633,1366,1146,2110,322,16053,Murray River - Swan Hill
21601,2997,2094,2350,1535,1683,1493,1223,2356,310,16041,Campaspe
30201,2536,4780,2443,1920,3690,2055,845,1259,341,19869,Bald Hills - Everton Park
30202,3850,8769,4116,3052,5931,3190,1520,2466,599,33493,Chermside
11702,3629,9298,2759,2283,4068,1920,995,1684,449,27085,Marrickville - Sydenham - Petersham
11703,16448,39048,7782,9235,13168,7389,1458,3869,1816,100213,Sydney Inner City
30203,1898,4166,2420,1689,3482,1564,1260,1814,344,18637,Nundah
20902,3803,8392,5223,3682,5777,3731,2459,3733,989,37789,Darebin - North
30204,2618,5014,3624,2677,4712,2490,1693,2588,493,25909,Sandgate
30303,3666,8595,3883,2878,5356,3027,1479,2555,577,32016,Mt Gravatt
30305,2888,5342,3670,2290,4773,2762,2028,2369,521,26643,Rocklea - Acacia Ridge
30306,2154,5020,2896,2049,3300,2128,1399,2037,454,21437,Sunnybank
30401,2523,5086,1949,1452,2813,1647,588,856,265,17179,Centenary
30402,3672,8186,1826,1739,3181,1935,395,882,349,22165,Kenmore - Brookfield - Moggill
30403,2853,9658,1618,2251,3350,2065,414,1066,354,23629,Sherwood - Indooroopilly
30404,3094,7217,2795,3134,4099,2044,728,1245,392,24748,The Gap - Enoggera
30501,4728,12382,2623,3052,4456,2539,584,1884,618,32866,Brisbane Inner
30502,3512,7249,2246,1698,3469,1740,601,1069,362,21946,Brisbane Inner - East
30503,6428,14989,3733,3715,6689,3705,1121,2277,778,43435,Brisbane Inner - North
30504,4365,12700,2545,2666,4347,2509,491,1144,468,31235,Brisbane Inner - West
30601,3027,5078,3789,3020,3543,2743,1098,1999,405,24702,Cairns - North
30602,4446,7028,6980,5221,6299,4734,2802,4654,848,43012,Cairns - South
30603,2295,1512,2253,1344,1521,1099,1318,2660,266,14268,Innisfail - Cassowary Coast
30604,791,596,912,782,559,540,296,714,92,5282,Port Douglas - Daintree
30605,2308,2288,2382,1725,1816,1432,1252,2128,291,15622,Tablelands (East) - Kuranda
30701,5064,2223,2759,1641,2315,1368,2354,2999,376,21099,Darling Downs (West) - Maranoa
30702,3674,1915,2763,1341,1983,1333,1886,2798,301,17994,Darling Downs - East
30703,2969,1950,2174,1559,1796,1480,1464,2790,231,16413,Granite Belt
30801,2240,1671,2883,894,1784,876,3044,1781,300,15473,Central Highlands (Qld)
30802,4113,4347,7574,2459,3972,2781,5066,4787,714,35813,Gladstone - Biloela
30803,4857,7769,8656,5102,6907,4675,4926,5972,974,49838,Rockhampton
30901,3533,5513,4120,3334,3785,3598,1030,2419,503,27835,Broadbeach - Burleigh
30902,2459,4160,3781,2659,3181,2844,1084,2346,376,22890,Coolangatta
30903,3295,4314,3903,2864,3759,3535,1399,2694,514,26277,Gold Coast - North
30904,1134,1556,1391,812,1023,611,444,794,167,7932,Gold Coast Hinterland
20606,5727,12505,1881,2279,4044,2568,329,769,690,30792,Stonnington - West
20607,6681,18696,3131,3468,5335,3095,735,1539,768,43448,Yarra
20701,14229,31120,5028,6119,11040,7295,1003,2722,1738,80294,Boroondara
20702,6157,11221,4421,3296,6212,4625,1108,2124,842,40006,Manningham - West
20703,5910,14111,4573,3954,6561,4279,1157,2551,815,43911,Whitehorse - West
20801,9018,14519,3328,3454,5978,4394,645,1355,1045,43736,Bayside
21602,2401,1329,1659,1085,1119,1012,856,1956,244,11661,Moira
21603,3914,4435,3757,2371,3233,2725,1800,3769,519,26523,Shepparton
21701,3227,2373,2494,1565,1694,1424,1390,2053,340,16560,Glenelg - Southern Grampians
21702,8114,5876,5521,3811,3852,3782,2599,5735,682,39972,Warrnambool - Otway Ranges
29797,0,9,6,0,0,3,6,10,0,34,Migratory - Offshore - Shipping (Vic.)
29999,244,506,368,295,260,190,206,323,88,2480,Special Purpose Codes SA3 (Vic.)
30101,4167,5945,5930,3311,6477,3848,2379,3652,585,36294,Capalaba
30102,4803,6008,5689,3524,6010,3713,2015,3340,583,35685,Cleveland - Stradbroke
30103,4089,6744,4571,2856,5717,2958,2163,3069,565,32732,Wynnum - Manly
20802,10364,23002,6787,5578,10559,6669,1726,3215,1603,69503,Glen Eira
20803,7523,12933,7757,4873,9086,5580,2306,3374,1174,54606,Kingston
20804,3604,7385,1347,1570,2854,1897,286,735,465,20143,Stonnington - East
20901,7265,16748,7578,5550,9344,5458,2089,3410,1229,58671,Banyule
30301,3487,7031,2795,2024,4363,2473,890,1573,442,25078,Carindale
30302,4172,12416,3734,3292,5607,2884,1240,2367,604,36316,Holland Park - Yeronga
30905,1854,2836,2419,1518,2256,1815,664,1366,262,14990,Mudgeeraba - Tallebudgera
30906,3355,4508,5071,3178,4447,3677,1881,3299,500,29916,Nerang
30907,6126,6822,7541,4224,7124,5220,3083,4335,895,45370,Ormeau - Oxenford
40401,5255,9640,6599,4630,7846,4795,2870,4518,824,46977,Charles Sturt
40402,2292,4310,3757,2851,3716,2240,2062,3238,532,24998,Port Adelaide - West
40403,3071,6451,3723,3056,4652,2765,1458,2488,494,28158,West Torrens
40501,2695,2284,2468,1457,1914,1242,1291,2701,214,16266,Barossa
30908,2606,3919,2835,2361,3211,3061,773,1803,358,20927,Robina
30909,2482,4694,3674,2930,3409,3135,1191,2669,453,24637,Southport
30910,2582,3212,1991,1944,2204,2392,631,1549,400,16905,Surfers Paradise
31001,2347,4577,3729,2799,3965,2368,2581,3261,597,26224,Forest Lake - Oxley
31002,3287,2545,3867,2544,2939,2009,2537,3567,410,23705,Ipswich Hinterland
31003,3678,6339,6762,4946,6392,3954,3578,5329,791,41769,Ipswich Inner
31004,2851,4181,4866,3161,5037,2908,3334,4019,643,31000,Springfield - Redbank
31101,784,563,803,543,668,416,487,797,93,5154,Beaudesert
31403,1463,2489,2945,1889,3323,1761,1558,1973,327,17728,Strathpine
31501,1652,1705,1444,1327,1185,514,1057,2123,424,11431,Far North
31502,1846,2141,3023,1252,1678,889,2547,2005,370,15751,Outback - North
31503,2491,1063,1239,867,982,596,930,1833,195,10196,Outback - South
31601,2579,4226,3154,2167,3120,2717,887,1762,317,20929,Buderim
31602,3391,5115,4861,3291,4245,3696,1550,3010,435,29594,Caloundra
31603,2765,4345,3963,2774,3137,2929,1153,2539,360,23965,Maroochy
31604,2872,4343,4155,2799,3455,2512,1612,3013,425,25186,Nambour - Pomona
31605,2210,2905,2207,1762,1804,2009,589,1446,265,15197,Noosa
31606,2677,3456,3425,1948,2602,1900,1374,2483,341,20206,Sunshine Coast Hinterland
31701,6814,11821,9913,6500,9228,6345,4343,8156,1023,64143,Toowoomba
31801,2974,2128,3021,1695,1988,1480,2397,2907,352,18942,Charters Towers - Ayr - Ingham
31802,8509,15061,14577,10602,12480,8457,7139,8642,1586,87053,Townsville
31901,3869,4735,4798,3293,4029,3474,2692,4916,533,32339,Bundaberg
31902,3371,2044,2356,1785,1855,1508,1786,3219,325,18249,Burnett
31903,2394,2127,2678,1767,2020,1702,1610,2706,319,17323,Gympie - Cooloola
31904,1724,3004,2665,2434,2245,2055,1082,2057,301,17567,Hervey Bay
30304,1910,5113,2070,1617,2717,1473,880,1449,373,17602,Nathan
31905,1509,1887,2386,1792,2113,1422,1353,1961,269,14692,Maryborough
39797,24,49,35,27,18,18,12,50,5,238,Migratory - Offshore - Shipping (Qld)
39999,277,625,557,305,279,220,462,767,101,3593,Special Purpose Codes SA3 (Qld)
40502,2494,1168,1277,825,964,633,699,1558,138,9756,Lower North
40503,1964,1434,1552,1153,1100,1004,1141,1356,212,10916,Mid North
40504,1793,1055,1352,966,921,862,663,1287,149,9048,Yorke Peninsula
40601,4334,3393,3983,2494,2591,2144,2495,3378,495,25307,Eyre Peninsula and South West
40602,1326,1872,2350,1544,1396,823,1535,1574,316,12736,Outback - North and East
40701,3085,2606,2895,2160,2074,1804,1114,2566,286,18590,Fleurieu - Kangaroo Island
40702,5667,3504,4349,2579,3246,2938,2567,4887,444,30181,Limestone Coast
40703,5559,2993,3652,2885,2902,2344,2175,5841,469,28820,Murray and Mallee
31401,5747,9965,6362,4199,7802,4127,1778,2596,711,43287,Hills District
31402,2848,4132,3914,2690,4516,2880,1895,2397,402,25674,North Lakes
