sa3_name16,sa3_code16,p_sol_sp_en_t_2006_2010,p_sol_sp_en_t_2011,p_sol_sp_en_t_2012,p_sol_sp_en_t_2013,p_sol_sp_en_t_2014,p_sol_sp_en_t_2015,p_sol_sp_en_t_2016,p_sol_sp_en_t_yr_arr_ns,p_sol_sp_en_t_t,p_lanprof_en_ns_bef_2000,p_lanprof_en_ns_2000_2005,p_lanprof_en_ns_2006_2010,p_lanprof_en_ns_2011,p_lanprof_en_ns_2012,p_lanprof_en_ns_2013,p_lanprof_en_ns_2014,p_lanprof_en_ns_2015,p_lanprof_en_ns_2016,p_lanprof_en_ns_yr_arr_ns,p_lanprof_en_ns_t,p_t_b_2000,p_t_2000_2005,p_t_2006_2010,p_t_2011,p_t_2012,p_t_2013,p_t_2014,p_t_2015,p_t_2016,p_t_yr_arrival_ns,p_t_t
Heathcote - Castlemaine - Kyneton,20202,148,22,42,49,52,65,15,78,1072,5,0,3,0,0,0,0,0,0,234,238,3572,400,395,63,95,78,88,84,26,507,5309
Loddon - Elmore,20203,49,13,11,18,8,8,13,13,206,3,0,0,0,0,0,0,0,0,0,0,551,36,74,18,18,26,14,6,16,43,793
Barwon - West,20301,61,3,9,9,9,3,0,20,344,0,0,0,0,0,0,0,0,0,0,6,1292,105,164,22,31,19,23,14,7,84,1769
Geelong,20302,3049,519,694,922,779,985,704,619,16431,48,0,4,0,0,0,3,0,3,293,350,17762,2333,4390,799,922,1147,998,1205,834,1413,31802
Surf Coast - Bellarine Peninsula,20303,330,49,59,71,46,73,30,85,1957,16,0,0,0,0,0,0,0,0,8,24,5790,657,1018,215,172,200,142,158,60,332,8735
Upper Goulburn Valley,20401,230,70,65,63,61,136,103,162,1718,12,0,0,0,0,0,0,3,0,7,26,3924,331,462,126,107,104,99,196,136,338,5828
Wangaratta - Benalla,20402,213,36,42,28,42,47,11,51,1142,25,0,0,0,0,0,0,0,0,13,45,2520,253,335,66,53,41,60,74,19,156,3590
Wodonga - Alpine,20403,628,102,147,99,84,130,121,120,2888,15,0,0,7,0,0,0,0,0,29,53,4915,554,977,173,212,136,154,179,144,356,7813
Baw Baw,20501,240,41,41,23,39,54,16,78,1328,6,5,0,0,0,0,0,3,0,7,13,3662,353,480,88,115,72,75,72,32,208,5163
Gippsland - East,20502,179,32,51,46,61,54,22,62,1149,13,0,0,0,0,0,0,0,0,23,39,3477,276,363,47,89,60,89,69,25,237,4732
Gippsland - South West,20503,309,56,61,54,71,50,30,76,1851,25,0,0,0,0,0,0,0,0,8,33,5834,430,589,122,110,104,111,86,41,334,7760
Latrobe Valley,20504,665,68,107,112,118,123,65,125,3434,29,0,0,0,0,0,0,0,0,10,44,6255,515,946,135,146,149,174,168,91,341,8921
Wellington,20505,239,46,56,58,59,103,27,61,1205,14,0,0,0,0,0,0,0,0,288,303,2663,238,482,89,103,113,99,146,51,480,4460
Brunswick - Coburg,20601,2073,411,603,867,961,1203,807,566,17595,16,0,0,0,0,0,0,0,0,12,33,13320,1976,3278,779,998,1250,1337,1563,1042,861,26389
Darebin - South,20602,909,149,226,278,302,269,192,270,7945,7,0,0,0,0,0,0,0,0,12,17,7679,1054,1598,330,443,461,478,450,260,434,13195
Essendon,20603,1933,430,519,654,760,841,571,378,12607,4,4,3,0,0,0,0,0,0,6,21,8617,1702,2629,643,724,830,937,1043,698,551,18376
Melbourne City,20604,8408,2747,3938,5104,7600,10527,7864,3424,60527,16,3,8,0,0,3,0,5,12,183,236,13229,6006,10756,3485,4832,6028,8791,12167,9145,4263,78709
Port Phillip,20605,2499,638,766,922,1066,1318,837,548,15494,7,0,6,0,0,0,4,0,0,62,81,12423,3004,4860,1445,1621,1758,1925,2306,1429,1077,31854
Whittlesea - Wallan,20904,11828,1909,2164,2779,2186,2135,1302,1997,58634,37,4,7,0,0,0,0,3,9,56,118,34387,7424,13476,2275,2582,3100,2436,2409,1470,2545,72109
Keilor,21001,875,150,241,332,216,216,131,431,11566,19,0,0,0,0,0,0,0,0,22,47,11479,946,1174,232,311,407,270,270,153,594,15829
Macedon Ranges,21002,84,13,14,19,19,10,14,21,739,4,0,0,0,0,0,0,0,0,0,9,2554,316,319,64,34,44,39,27,18,97,3510
Banyule,20901,2877,638,652,734,793,800,491,593,17789,11,3,0,0,4,0,0,0,0,30,48,15562,2914,3920,907,892,935,955,972,582,948,28593
Moreland - North,21003,3874,770,996,1260,1303,1258,809,949,23165,8,0,6,0,0,0,0,0,3,21,40,13021,2334,4509,955,1158,1398,1456,1383,900,1143,28263
Sunbury,21004,366,76,65,85,84,62,35,75,2151,4,0,0,0,0,0,0,0,0,7,10,3900,603,672,167,142,137,117,112,61,192,6104
Tullamarine - Broadmeadows,21005,11208,2014,2001,2921,2450,2169,1682,1632,54957,33,8,14,0,0,0,3,3,0,236,308,28060,7845,12217,2226,2233,3137,2629,2356,1766,2261,64733
Knox,21101,6145,1006,983,873,911,770,409,752,29244,46,14,0,0,0,0,0,3,0,28,91,25648,5803,7483,1238,1242,1053,1094,912,495,1239,46196
Manningham - East,21102,440,82,109,97,115,86,48,82,3322,10,0,0,0,0,0,0,0,0,0,13,3936,626,682,122,141,122,141,128,63,147,6109
Maroondah,21103,3604,595,767,813,773,769,423,384,14095,27,4,3,0,0,0,0,0,0,20,57,12449,2740,4454,783,920,939,890,901,478,676,25228
Stonnington - West,20606,1611,423,573,676,924,1127,614,339,11180,8,0,3,0,3,0,0,0,0,4,20,8267,1763,2871,876,1018,1214,1459,1772,1002,605,20842
Yarra,20607,1843,386,502,573,715,806,541,448,13610,11,0,0,3,0,0,0,3,0,45,70,11449,2566,3395,956,1097,1187,1378,1511,1009,880,25421
Boroondara,20701,5331,1108,1424,1758,2141,2355,1450,1099,33385,20,0,3,0,0,0,3,3,0,41,78,24339,5312,7250,1597,1906,2152,2581,2896,1731,1612,51377
Manningham - West,20702,4570,939,1096,1158,1248,1222,674,996,32040,12,0,7,0,0,0,0,0,0,82,104,21613,4561,5415,1066,1287,1274,1346,1358,737,1271,39931
Whitehorse - West,20703,5611,1164,1529,1863,2392,2708,1678,1288,31675,13,0,3,0,0,0,3,0,5,24,51,15516,4567,6497,1363,1730,2057,2560,2943,1897,1537,40669
Bayside,20801,1250,280,340,369,463,458,268,286,9586,16,0,0,0,0,0,0,0,0,6,33,13262,2755,3174,755,797,753,843,909,546,634,24428
Darebin - North,20902,4300,813,1122,1577,1991,1959,1311,989,28868,18,0,3,0,6,0,3,5,3,69,101,16407,2611,5107,975,1304,1763,2214,2146,1463,1321,35322
Nillumbik - Kinglake,20903,469,86,96,75,102,86,44,76,3314,0,0,0,0,0,0,0,0,0,0,3,6265,1100,1193,203,205,168,192,144,73,226,9773
Glen Eira,20802,6006,1355,1559,1799,2458,2585,1509,1023,35272,39,0,5,0,0,0,0,3,10,43,97,25584,5332,8160,1855,2066,2231,2905,3017,1751,1495,54394
Kingston,20803,2378,492,528,567,552,655,394,458,15757,56,0,3,0,3,0,0,0,0,102,164,17119,3495,4176,917,975,907,837,897,552,901,30775
Stonnington - East,20804,1124,215,359,409,688,770,500,225,7309,12,6,0,0,0,0,0,0,0,5,20,5136,1008,1562,336,490,534,812,915,580,354,11735
Whitehorse - East,21104,3339,597,664,765,747,796,325,425,15875,12,0,3,0,3,0,0,0,3,5,25,9882,2894,3892,721,816,848,815,886,378,550,21683
Yarra Ranges,21105,1409,223,320,283,253,223,132,240,7268,21,0,3,0,0,0,0,0,0,20,40,16311,1924,2557,395,497,429,387,339,187,777,23800
Cardinia,21201,2323,285,314,307,245,308,154,233,7614,22,11,3,0,0,0,0,5,0,18,57,9024,2045,3525,554,521,445,369,425,204,533,17649
Casey - North,21202,6878,1113,1411,1577,1138,1050,720,913,35008,33,3,7,0,0,5,0,5,3,23,78,25613,6418,8432,1411,1706,1843,1312,1231,806,1400,50167
Casey - South,21203,13836,1949,1974,1965,1636,1539,979,1063,45048,24,11,6,4,3,3,0,3,9,36,92,23174,10253,16622,2390,2510,2329,1903,1773,1122,1622,63693
Dandenong,21204,16371,2786,4497,4971,4304,4127,2444,2752,87416,79,18,18,4,3,7,5,4,3,97,252,47063,10405,17925,3060,4837,5289,4612,4384,2617,3378,103571
Monash,21205,12029,2517,2971,3633,4616,5352,3535,2230,69523,43,5,3,0,0,5,0,3,0,49,112,34844,9879,13772,2901,3403,4040,5003,5792,3910,2715,86262
Brimbank,21301,12061,2046,3003,3658,3023,2827,1679,2625,78104,43,9,15,0,0,0,12,15,3,138,237,48081,8048,13438,2335,3316,3970,3323,3084,1829,3231,90664
Hobsons Bay,21302,1985,409,487,526,557,547,332,502,15101,23,0,6,0,3,0,0,0,0,14,43,14140,2215,3110,738,776,773,768,740,434,776,24471
Maribyrnong,21303,4016,765,1164,1498,1603,1574,981,820,25427,12,4,3,4,7,3,0,3,5,134,170,14606,2937,5065,1031,1466,1763,1894,1815,1126,1173,32880
Melton - Bacchus Marsh,21304,6228,899,859,936,925,820,566,744,29417,31,10,6,0,7,0,0,4,4,298,358,20985,5880,7927,1212,1193,1217,1161,1000,639,1505,42710
Wyndham,21305,21775,3207,3436,3631,3543,3535,2181,1832,69148,36,13,10,3,3,3,4,7,5,325,405,25185,14208,26029,4193,4582,4488,4216,4183,2541,2781,92404
Frankston,21401,2237,364,360,403,425,326,217,368,11001,30,4,7,5,0,0,0,0,4,45,88,17318,2982,3783,746,699,711,609,512,307,971,28637
Mornington Peninsula,21402,571,121,144,113,197,166,102,225,5643,50,4,0,0,0,0,0,3,0,15,78,18608,2213,2647,533,471,441,422,357,197,965,26867
Grampians,21501,519,85,90,78,76,100,43,71,1575,10,0,0,0,0,0,0,0,0,180,193,2216,291,717,123,127,132,110,125,63,377,4282
Mildura,21502,583,137,172,170,157,230,193,283,3634,14,0,3,0,0,0,0,3,9,10,41,2937,466,765,185,216,220,191,296,246,405,5921
Murray River - Swan Hill,21503,471,90,129,128,122,112,87,121,2040,9,0,0,0,0,0,0,0,0,13,27,1478,279,547,112,149,155,143,133,94,205,3294
Campaspe,21601,147,39,42,48,31,51,26,45,786,6,0,0,0,0,0,0,0,0,4,16,1617,146,269,71,76,67,53,74,42,142,2554
Moira,21602,206,31,41,54,38,62,43,37,918,3,0,0,0,0,0,0,0,0,4,10,1550,189,342,60,59,88,58,84,59,111,2593
Shepparton,21603,1621,258,314,488,391,380,210,259,6496,10,0,3,0,0,0,3,3,0,38,55,3649,1024,1877,336,382,557,473,450,237,430,9415
