sa3_name16,sa3_code16,p_sol_sp_en_t_2006_2010,p_sol_sp_en_t_2011,p_sol_sp_en_t_2012,p_sol_sp_en_t_2013,p_sol_sp_en_t_2014,p_sol_sp_en_t_2015,p_sol_sp_en_t_2016,p_sol_sp_en_t_yr_arr_ns,p_sol_sp_en_t_t,p_lanprof_en_ns_bef_2000,p_lanprof_en_ns_2000_2005,p_lanprof_en_ns_2006_2010,p_lanprof_en_ns_2011,p_lanprof_en_ns_2012,p_lanprof_en_ns_2013,p_lanprof_en_ns_2014,p_lanprof_en_ns_2015,p_lanprof_en_ns_2016,p_lanprof_en_ns_yr_arr_ns,p_lanprof_en_ns_t,p_t_b_2000,p_t_2000_2005,p_t_2006_2010,p_t_2011,p_t_2012,p_t_2013,p_t_2014,p_t_2015,p_t_2016,p_t_yr_arrival_ns,p_t_t
Port Douglas - Daintree,30604,121,25,38,27,70,73,50,47,828,4,0,0,0,0,0,0,0,0,4,7,1909,304,379,85,92,82,127,143,95,159,3374
Tablelands (East) - Kuranda,30605,225,47,58,59,75,121,55,158,1947,8,4,0,0,0,0,0,0,0,6,20,4203,404,507,88,103,109,103,197,116,329,6163
Darling Downs (West) - Maranoa,30701,419,99,79,121,109,87,35,62,1260,10,0,5,0,0,0,0,0,0,3,15,1416,286,767,192,156,194,159,138,55,160,3527
Darling Downs - East,30702,449,66,147,104,81,60,43,55,1288,9,0,0,0,0,0,0,0,0,3,14,1584,271,639,126,204,146,114,77,53,142,3352
Granite Belt,30703,200,24,63,51,57,67,33,76,1180,4,0,0,0,0,0,0,0,0,3,10,2652,267,384,63,107,95,75,87,41,209,3966
Central Highlands (Qld),30801,388,68,91,81,86,49,23,56,1132,3,0,0,0,0,0,0,0,0,3,4,1387,380,783,208,197,135,121,74,46,136,3465
Rockhampton,30803,1522,220,355,287,225,261,136,158,4420,9,0,9,0,0,0,0,0,3,55,75,5242,1087,2386,382,566,423,341,379,209,476,11483
Biloela,30804,201,28,87,48,25,50,28,16,609,0,0,0,0,0,0,0,0,0,0,0,516,98,295,62,117,73,37,67,35,45,1352
Gladstone,30805,956,248,285,222,242,206,108,97,3289,13,0,3,0,3,0,0,0,0,0,19,3991,806,1815,497,557,466,397,316,160,263,9277
Broadbeach - Burleigh,30901,900,148,206,286,350,326,221,228,5413,27,0,3,0,0,0,0,0,5,17,55,8580,1709,2315,471,502,570,571,570,368,627,16286
Coolangatta,30902,410,73,105,98,106,133,77,92,2239,20,0,0,0,0,0,0,3,0,11,35,5821,998,1351,225,246,231,222,252,163,400,9908
Gold Coast - North,30903,1421,261,383,369,457,359,204,218,7336,29,4,0,0,0,0,0,0,0,24,59,10675,2504,3214,652,691,671,724,578,372,654,20730
Gold Coast Hinterland,30904,99,21,11,25,19,15,12,20,606,3,0,0,0,0,0,0,3,0,21,25,2653,505,460,71,25,71,57,41,21,155,4071
Robina,30908,1193,257,238,292,411,462,227,278,6905,8,3,0,0,0,0,0,3,0,3,21,7340,2511,2731,548,535,508,651,722,386,592,16536
Southport,30909,1939,412,518,660,760,827,516,404,10043,15,0,3,0,0,4,3,4,0,22,48,8447,2533,3283,678,782,926,1027,1034,672,822,20218
Surfers Paradise,30910,1386,245,360,510,788,790,699,638,8332,12,3,0,0,0,0,4,0,0,94,111,6631,1470,2317,470,591,743,1028,1072,926,1029,16279
Forest Lake - Oxley,31001,4447,826,787,1005,735,723,406,480,18957,14,5,7,0,3,4,0,0,0,571,602,11493,3370,5686,1069,1031,1207,904,862,455,1270,27345
Ipswich Hinterland,31002,150,34,29,29,35,86,67,80,1203,11,0,0,0,0,0,0,0,0,126,132,4551,537,482,90,79,63,55,125,89,387,6466
Ipswich Inner,31003,988,172,235,141,211,193,102,168,4143,12,3,3,3,3,0,0,0,0,23,45,7419,1518,2136,378,460,311,338,268,168,522,13511
Springfield - Redbank,31004,3443,594,751,643,576,514,283,348,12981,10,3,9,0,0,0,0,0,3,12,41,9424,3628,5931,1157,1362,1155,909,826,438,701,25518
Beaudesert,31101,49,12,12,6,6,7,4,19,240,5,0,0,0,0,0,0,0,0,13,19,1018,141,171,33,16,30,21,19,8,96,1553
Beenleigh,31102,799,108,124,156,124,98,60,85,3002,10,0,11,5,0,3,5,0,0,3,39,5218,1097,1733,299,361,284,249,205,94,328,9871
Browns Plains,31103,2658,365,413,504,381,340,184,277,10838,19,5,6,0,0,3,0,0,0,27,63,10429,2904,4522,686,857,809,614,574,282,682,22366
Jimboomba,31104,235,62,41,20,32,27,23,60,1564,4,3,0,0,0,0,0,0,0,4,13,4928,852,975,158,144,100,88,63,50,260,7607
Loganlea - Carbrook,31105,1306,235,223,316,224,192,233,254,6067,20,5,3,0,0,0,0,0,0,16,38,8455,2113,2692,472,475,517,386,333,300,553,16305
Springwood - Kingston,31106,3674,718,867,1393,845,714,604,437,15444,25,4,5,3,3,0,0,0,0,18,59,10618,3339,5051,982,1143,1643,1014,871,713,805,26173
Bowen Basin - North,31201,396,96,121,84,111,168,72,169,1718,4,0,0,0,0,0,0,0,0,6,10,2091,445,818,211,212,161,176,240,115,294,4772
Mackay,31202,1807,315,399,253,280,211,115,112,4959,14,0,0,0,0,0,3,0,0,14,33,5846,1388,3203,686,704,414,405,291,171,373,13477
Whitsunday,31203,225,48,62,88,115,135,82,98,1228,9,0,0,0,0,0,0,0,4,3,17,2029,376,575,152,175,178,242,259,151,234,4357
Bribie - Beachmere,31301,117,21,26,17,12,35,22,31,814,16,0,0,0,0,0,0,0,0,8,28,4277,465,584,123,109,80,67,80,37,189,6016
Caboolture,31302,691,178,149,149,177,293,274,300,3669,15,0,3,0,0,0,0,0,0,21,41,5648,1208,1681,369,324,271,281,401,336,530,11068
Caboolture Hinterland,31303,102,61,46,51,27,51,53,19,514,3,0,0,0,0,0,0,0,0,142,146,918,114,223,80,52,68,46,68,54,220,1841
Narangba - Burpengary,31304,466,106,148,76,72,122,52,77,2494,12,0,0,0,0,0,0,0,0,16,28,6013,1332,1828,351,377,229,163,210,77,311,10893
Redcliffe,31305,610,118,150,155,132,109,63,117,3038,25,3,3,0,0,0,0,0,0,33,62,7566,1391,1985,392,406,337,245,221,128,490,13154
The Hills District,31401,1027,146,146,104,111,80,57,66,3728,3,3,0,0,0,0,0,0,0,10,16,7862,2381,2979,427,440,339,256,227,107,295,15308
North Lakes,31402,2151,395,366,277,241,268,165,143,6169,12,0,8,0,0,0,0,0,0,23,45,6020,2299,5166,1030,972,774,592,564,368,458,18248
Strathpine,31403,665,85,111,96,92,83,141,74,2436,10,3,3,0,0,0,0,0,0,16,31,3568,946,1346,211,231,209,151,130,162,217,7164
Far North,31501,177,33,35,22,43,40,33,116,1036,6,0,0,4,0,0,7,3,0,61,73,1835,213,315,86,77,48,78,80,51,263,3045
Outback - North,31502,479,95,152,116,89,66,44,48,1598,6,3,0,0,0,0,0,0,0,3,17,1785,372,848,233,302,214,155,125,88,166,4291
Toowoomba,31701,2370,425,574,872,796,997,668,366,9342,18,3,3,0,0,0,6,3,0,20,54,7343,2136,3535,640,800,1097,981,1175,763,689,19162
Maryborough,31905,114,27,17,22,19,33,13,35,743,7,0,0,0,0,0,0,0,0,38,47,3420,284,313,53,47,46,61,49,31,245,4554
Adelaide City,40101,983,282,503,739,1144,1395,834,407,7473,22,3,0,0,0,0,0,3,0,90,114,2580,618,1316,363,602,847,1242,1562,996,602,10729
Adelaide Hills,40102,467,42,77,74,48,71,36,57,2196,12,4,0,0,0,0,0,0,0,4,23,7421,1027,1304,137,242,183,114,114,71,317,10926
Norwood - Payneham - St Peters,40105,1232,275,342,417,516,682,363,210,6982,3,0,0,0,0,0,0,0,0,7,10,4972,727,1545,351,439,490,590,754,408,301,10583
Unley,40107,937,220,297,315,439,499,305,197,5350,3,3,0,0,0,0,0,0,0,9,15,4414,742,1284,285,389,373,507,575,380,317,9268
Gawler - Two Wells,40201,176,26,52,28,36,30,14,41,957,15,0,0,0,0,0,0,0,0,4,21,4316,271,451,75,92,59,80,41,26,164,5571
Playford,40202,2098,409,418,545,352,318,352,256,8136,43,3,9,0,0,0,0,0,0,36,87,11655,1461,2657,475,493,620,386,359,387,691,19181
Port Adelaide - East,40203,5574,892,1213,1283,1097,1295,674,565,19246,12,3,4,0,0,0,3,0,0,181,206,8622,2370,6078,1000,1314,1367,1207,1374,716,928,24974
Salisbury,40204,7008,1336,1220,1682,1218,1265,982,748,28074,42,3,8,0,0,0,0,3,0,39,105,21136,3604,7844,1471,1335,1819,1319,1372,1039,1223,42172
Tea Tree Gully,40205,2031,303,325,333,280,339,212,195,8151,30,0,0,0,0,3,0,0,0,13,48,14236,1530,3036,420,517,437,373,397,256,475,21681
Mitcham,40303,1128,275,326,392,454,631,455,177,6822,11,0,0,0,0,0,0,0,0,10,17,7563,1298,1899,384,471,484,554,735,511,357,14268
Onkaparinga,40304,1716,285,320,243,246,211,149,200,8060,63,3,3,0,0,0,0,0,0,17,89,22355,2845,5226,833,949,613,510,499,246,897,34971
Charles Sturt,40401,3387,587,622,795,780,980,604,678,20181,37,5,3,0,0,0,0,0,0,10,57,16621,2249,4433,825,854,1012,985,1151,714,919,29758
Port Adelaide - West,40402,2083,327,370,469,432,450,331,409,10956,18,6,3,0,0,0,0,0,3,14,35,9062,1383,2733,404,503,528,514,525,380,589,16622
Prospect - Walkerville,40106,926,196,246,265,322,341,254,111,4739,6,0,0,0,0,0,0,0,0,7,7,3842,439,1148,250,284,326,357,385,276,188,7504
West Torrens,40403,2708,489,662,786,947,1252,740,366,13227,17,0,0,0,0,0,0,0,0,41,59,7735,1281,3271,615,778,920,1062,1337,822,545,18366
Barossa,40501,95,18,18,32,15,28,12,9,522,8,0,0,0,0,0,0,0,0,3,12,3033,211,324,47,50,58,32,52,30,129,3955
Lower North,40502,76,26,20,37,35,34,10,8,387,4,0,0,0,0,0,0,0,0,0,5,1597,105,148,40,40,49,40,40,20,83,2153
Mid North,40503,110,33,31,39,25,26,13,31,615,8,0,0,0,0,0,0,0,0,4,7,1507,108,215,58,48,62,35,38,15,112,2202
Yorke Peninsula,40504,65,13,14,23,18,14,3,18,348,6,0,0,0,0,0,0,0,0,4,14,1895,62,118,28,20,29,30,13,3,111,2303
Eyre Peninsula and South West,40601,398,76,90,94,70,90,27,62,1673,22,0,0,0,0,0,0,0,0,28,47,4662,275,613,122,147,122,98,121,40,276,6479
Outback - North and East,40602,304,80,77,47,50,58,30,35,1159,5,0,0,0,0,0,0,0,0,40,49,1595,188,465,119,116,74,79,79,47,149,2915
Fleurieu - Kangaroo Island,40701,132,30,47,28,28,39,17,52,999,25,3,0,0,0,0,0,0,0,5,40,6610,359,535,81,123,68,67,74,28,341,8305
Limestone Coast,40702,586,157,219,251,181,178,96,149,2653,13,0,0,0,0,0,0,0,0,69,88,3377,426,861,214,278,289,234,239,108,383,6414
Murray and Mallee,40703,755,151,196,171,286,368,192,280,3828,7,0,0,0,0,0,0,0,0,108,123,4516,469,1019,195,232,244,328,435,246,561,8243
Augusta - Margaret River - Busselton,50101,490,108,127,152,137,143,105,145,2050,7,0,4,3,0,0,0,0,0,9,24,5490,828,1335,278,299,291,297,254,152,412,9648
Bunbury,50102,1529,308,361,463,361,373,173,223,5587,14,0,0,0,0,0,4,0,0,48,71,9411,1657,3522,712,787,797,571,576,250,698,18988
Burnside,40103,1556,331,467,477,561,599,342,223,7999,11,0,0,0,0,0,0,0,0,3,16,6193,1308,2046,461,614,559,671,683,376,335,13246
Campbelltown (SA),40104,2385,494,580,499,546,655,387,317,12309,16,0,3,0,0,0,3,0,0,13,28,8836,1384,2827,567,651,586,593,736,432,434,17042
Manjimup,50103,112,15,18,31,34,51,28,53,704,8,0,0,0,0,0,0,0,0,7,14,2917,238,284,43,60,60,60,60,30,183,3936
Mandurah,50201,1353,276,383,369,337,260,119,114,4839,40,0,3,0,3,0,0,0,0,24,77,12599,2052,4311,1027,1124,932,779,539,264,691,24308
Cottesloe - Claremont,50301,1041,287,394,563,765,913,611,226,8045,20,0,4,0,0,0,0,0,0,14,42,10088,2328,2582,731,837,955,1130,1293,861,559,21362
Perth City,50302,3312,885,1227,1628,1965,2181,1451,872,20223,28,0,3,0,6,0,3,3,3,86,130,15474,3164,5735,1702,2157,2355,2639,2909,1878,1539,39558
Bayswater - Bassendean,50401,3096,634,928,877,898,873,483,510,15972,23,0,0,0,0,0,0,0,0,23,47,15067,2429,4579,1069,1518,1219,1111,1082,585,882,29529
Mundaring,50402,472,70,92,85,59,71,26,55,1932,11,0,0,0,0,0,0,0,0,415,425,6448,761,1186,228,226,184,100,112,62,658,9972
Swan,50403,5987,1010,1130,894,743,709,472,508,20181,30,8,13,0,0,0,4,3,0,143,203,18707,4699,9438,1718,2019,1415,1108,968,646,1220,41937
Joondalup,50501,2581,541,692,602,629,506,302,314,13203,45,3,0,0,0,5,5,0,0,33,95,28874,7559,9939,2183,2512,1922,1535,1196,761,1133,57600
Stirling,50502,8108,1708,2187,2263,2238,2263,1335,1242,39813,46,3,3,0,3,4,0,0,3,76,139,32289,7433,12341,3009,3658,3338,3034,2890,1637,2108,71740
Wanneroo,50503,7923,1357,1549,1349,1015,1083,592,788,28636,48,8,14,0,3,3,0,0,3,79,157,28917,10295,19078,3589,4091,2851,1991,1829,982,2026,75661
Armadale,50601,4472,761,958,776,530,454,305,256,11847,31,3,5,0,3,0,3,3,0,69,108,11748,2725,6550,1166,1416,1109,768,623,385,672,27165
Belmont - Victoria Park,50602,4004,952,1315,1359,1381,1349,762,550,16795,16,0,5,0,5,0,0,4,0,70,102,9846,2532,5457,1447,1949,1798,1705,1609,911,952,28209
Canning,50603,7929,1541,2147,2126,2306,2441,1570,932,30976,28,0,3,0,0,0,6,3,3,64,107,15668,4895,9853,1968,2591,2512,2678,2752,1737,1445,46103
Gosnells,50604,9736,1759,2151,1939,1531,1527,1002,817,30254,32,0,4,3,3,3,3,4,3,240,304,18994,5217,12511,2290,2767,2357,1891,1764,1126,1547,50455
Kalamunda,50605,1601,272,273,251,184,160,137,120,5081,25,0,5,0,0,0,0,0,0,4,36,9256,1519,2886,556,567,451,293,270,173,357,16339
Serpentine - Jarrahdale,50606,692,112,151,133,87,67,47,44,1926,9,0,0,0,0,0,0,0,0,79,87,3427,645,1288,257,307,210,153,101,82,238,6709
South Perth,50607,1295,326,467,525,555,620,431,282,7583,7,3,0,0,0,0,0,0,3,12,26,6599,1650,2069,614,717,757,765,807,529,502,15008
Cockburn,50701,4136,751,1071,909,755,774,351,423,16907,39,0,0,4,0,3,3,0,4,29,73,15633,3411,6801,1453,1798,1491,1190,1169,510,838,34295
Fremantle,50702,435,112,167,167,147,154,101,110,3464,17,0,0,0,0,0,0,0,0,19,40,6245,819,1224,349,370,352,303,306,194,303,10466
Kwinana,50703,2296,502,490,409,314,277,172,133,6062,17,0,4,3,0,0,0,0,0,165,190,4743,1130,3440,801,817,614,476,386,222,514,13149
Melville,50704,2627,591,803,786,776,784,449,349,15899,34,0,3,3,0,0,0,3,0,90,135,18710,3841,4748,1072,1353,1199,1090,1048,587,824,34474
Rockingham,50705,2223,494,542,420,338,267,162,161,7338,34,3,5,0,0,0,0,0,0,38,82,17587,3568,8312,1885,2324,1531,1169,862,349,995,38578
Albany,50901,891,106,172,199,108,119,78,127,2787,21,3,3,0,0,0,0,0,0,87,115,6783,779,1490,211,309,287,202,200,118,493,10873
Wheat Belt - North,50902,411,109,148,139,131,187,131,177,2123,19,5,5,0,0,0,0,0,0,431,465,5673,764,1049,243,330,251,230,277,160,930,9901
Wheat Belt - South,50903,190,48,36,40,32,55,19,18,620,3,3,0,0,0,0,0,0,0,0,10,1567,190,394,107,101,69,50,94,39,112,2714
Kimberley,51001,443,106,101,126,155,212,103,130,1859,5,0,0,0,0,5,0,0,0,13,32,3061,381,935,200,255,206,247,296,152,306,6050
East Pilbara,51002,842,161,219,201,135,155,57,64,2537,7,3,6,0,0,3,0,3,0,0,19,2532,712,1837,438,527,362,279,244,85,206,7232
West Pilbara,51003,1399,274,335,222,222,207,117,103,4171,12,3,11,0,3,3,3,0,0,13,51,4241,1360,3104,754,851,511,397,300,167,361,12056
Esperance,51101,123,20,31,20,36,21,20,18,451,3,0,0,0,0,0,0,0,0,0,3,1133,211,289,82,80,70,71,47,27,97,2103
Gascoyne,51102,129,27,48,46,37,45,48,53,785,8,3,0,0,0,0,0,0,0,3,11,1660,151,273,69,86,83,71,82,75,138,2687
Goldfields,51103,1073,316,330,227,163,169,102,87,3304,8,0,3,0,0,0,0,0,0,15,31,3085,963,2454,742,767,451,335,299,180,332,9599
Mid West,51104,692,194,198,173,144,148,77,85,2542,9,5,3,0,0,0,0,0,3,17,41,4588,677,1384,411,435,292,233,234,110,302,8669
Brighton,60101,33,11,3,6,3,15,0,13,210,0,0,0,0,0,0,0,0,0,3,3,580,47,64,14,3,16,16,17,3,45,805
Hobart - North East,60102,280,56,70,83,69,53,51,47,1440,11,0,0,0,0,0,0,0,0,27,33,3399,463,546,98,126,121,107,100,74,196,5223
Hobart - North West,60103,798,188,205,286,243,209,168,99,3409,7,0,0,0,0,0,0,0,0,12,21,2990,474,974,208,239,307,262,234,189,191,6077
Hobart - South and West,60104,333,43,60,73,64,63,37,57,1445,3,0,0,0,0,0,0,0,0,5,10,3322,506,671,120,107,123,109,86,60,152,5245
Hobart Inner,60105,974,233,357,436,606,786,566,283,6125,3,0,0,0,0,0,3,0,0,13,22,5178,943,1415,357,462,546,739,915,671,467,11687
Sorell - Dodges Ferry,60106,43,6,5,3,10,7,0,4,226,7,0,0,0,0,0,0,0,0,0,7,1017,108,112,20,24,18,12,15,3,43,1372
Launceston,60201,911,260,267,470,460,374,377,187,4525,14,0,3,5,0,0,0,0,0,16,45,4977,724,1390,344,340,529,560,468,435,382,10150
Meander Valley - West Tamar,60202,38,9,4,7,10,10,3,16,329,3,0,0,0,0,0,0,0,0,0,4,2034,143,136,15,17,29,26,18,16,95,2525
North East,60203,74,17,13,14,15,33,5,20,489,10,0,0,0,0,0,0,0,0,5,11,2674,191,205,38,25,48,30,60,16,150,3442
Central Highlands (Tas.),60301,4,0,0,3,7,4,0,0,78,0,0,0,0,0,0,0,0,0,0,3,632,68,55,3,5,7,7,6,7,26,809
Huon - Bruny Island,60302,55,13,24,6,14,22,15,23,482,7,0,0,0,0,0,0,0,0,0,7,2169,187,228,38,42,22,25,44,21,93,2872
South East Coast,60303,19,3,4,8,9,8,5,3,137,0,0,0,0,0,0,0,0,0,3,6,519,34,43,12,9,18,21,16,3,35,705
Marion,40302,3240,512,594,756,854,931,710,396,12993,20,3,3,0,0,0,0,0,3,34,64,10741,2132,4974,820,902,939,1055,1144,857,745,24302
Burnie - Ulverstone,60401,150,31,56,40,31,24,26,25,774,11,0,0,0,0,0,0,0,0,7,21,2839,212,322,71,92,68,46,52,41,162,3909
Devonport,60402,155,31,46,38,50,85,26,43,873,13,0,0,0,0,0,0,0,0,3,18,2835,239,323,55,77,47,65,106,33,137,3923
West Coast,60403,62,13,12,16,14,17,8,11,317,3,0,0,0,0,0,0,0,0,5,7,1052,150,175,38,39,24,36,42,22,63,1636
Darwin City,70101,1023,181,313,355,501,623,380,263,4825,10,0,0,0,3,0,0,0,0,23,41,2990,628,1628,417,586,579,712,835,508,424,9311
Darwin Suburbs,70102,2901,630,684,855,735,802,497,338,11427,6,0,0,0,0,0,0,0,0,15,24,6451,1202,3591,793,864,1016,861,970,604,548,16893
Litchfield,70103,245,45,29,44,36,36,34,60,1158,3,0,0,0,0,0,0,0,0,63,74,2254,327,526,112,105,87,66,60,46,243,3828
Palmerston,70104,1219,196,251,244,199,226,157,117,3751,0,0,3,0,0,0,0,0,0,5,17,2376,600,1736,303,405,364,314,330,201,247,6873
Holdfast Bay,40301,440,107,114,131,187,167,132,69,2382,9,0,0,0,0,0,0,0,0,0,11,3943,618,976,250,287,253,332,288,206,208,7362
Alice Springs,70201,966,167,212,210,218,289,148,163,3202,3,3,0,0,0,0,0,0,0,13,22,2373,660,1391,296,422,372,438,538,290,295,7078
Barkly,70202,72,24,18,17,10,20,15,31,285,0,0,0,0,0,0,0,0,0,4,3,286,42,97,33,29,29,26,45,22,53,650
Daly - Tiwi - West Arnhem,70203,72,15,33,30,22,44,32,53,476,0,0,0,0,0,0,0,0,0,0,3,663,98,148,29,70,48,47,78,47,109,1352
East Arnhem,70204,93,19,7,7,13,15,11,15,311,0,0,0,0,0,0,0,0,0,0,0,376,90,193,39,22,28,22,30,19,33,855
Katherine,70205,172,57,55,36,41,60,35,50,749,6,0,0,0,0,0,0,0,0,3,11,999,146,275,92,75,69,85,85,49,105,1972
Belconnen,80101,2911,621,656,844,1162,1177,909,423,15830,7,0,3,0,0,0,0,0,0,13,32,11615,2425,3615,847,837,1008,1346,1317,1018,660,24685
Canberra East,80103,17,7,10,3,7,5,3,3,94,0,0,0,0,0,0,0,0,0,74,72,151,20,29,15,8,3,6,3,4,81,321
Gungahlin,80104,4692,778,755,769,911,967,524,483,17821,5,0,9,0,0,0,3,0,0,11,26,7724,3954,5505,1049,976,951,1097,1109,585,637,23580
North Canberra,80105,1265,339,535,670,989,1485,1085,314,9787,5,0,3,0,0,3,0,0,0,13,25,6064,1477,1816,488,737,882,1190,1747,1254,487,16133
South Canberra,80106,524,151,145,169,180,194,146,109,3366,3,3,0,0,0,0,0,0,0,5,9,3794,675,804,230,212,235,285,327,207,213,6982
Tuggeranong,80107,1617,277,312,276,295,233,121,175,8616,11,0,0,0,0,0,0,0,0,5,21,10608,1411,2087,389,454,360,387,318,156,362,16538
Weston Creek,80108,331,71,99,55,61,124,86,41,2167,3,0,0,0,0,0,0,0,0,28,36,2996,390,497,123,139,75,88,155,102,122,4688
Woden Valley,80109,1159,244,356,450,558,509,229,157,6358,0,0,0,0,0,0,0,0,0,6,12,5120,842,1438,352,450,526,619,601,277,285,10509
Molonglo,80110,306,85,64,43,48,38,32,28,1082,0,0,0,0,0,0,0,0,0,0,3,454,222,346,102,88,53,63,58,35,34,1458
Urriarra - Namadgi,80111,3,0,0,0,5,0,4,0,26,0,0,0,0,0,0,0,0,0,0,0,43,11,10,0,3,0,4,3,4,0,78
Christmas Island,90101,55,15,9,16,12,8,13,24,496,0,0,0,0,0,0,0,0,0,228,228,405,44,71,17,11,15,16,13,14,256,868
Cocos (Keeling) Islands,90102,12,3,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,37,8,11,3,0,0,0,0,0,3,67
Jervis Bay,90103,3,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,22,7,5,3,3,3,0,0,0,0,44
Norfolk Island,90104,37,0,0,3,14,20,8,49,236,0,0,0,0,0,0,0,0,0,3,6,302,55,62,0,6,12,19,28,15,71,580
