gml_id,sa3_name16,sa3_code16,num_mvs_per_dweling_0_mvs,num_mvs_per_dweling_1_mvs,num_mvs_per_dweling_2_mvs,num_mvs_per_dweling_3_mvs,num_mvs_per_dweling_4mo_mvs,num_mvs_per_dweling_tot,num_mvs_ns,total_dwelings
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p29_number_motor_vehicles_by_dwelling_census_2016.fid-5ff86f36_1724bdf6fd3_5dbd,East Pilbara,"51002","464","2025","2348","892","432","6156","1553","7707"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p29_number_motor_vehicles_by_dwelling_census_2016.fid-5ff86f36_1724bdf6fd3_5dbe,West Pilbara,"51003","478","2945","3520","1311","695","8951","1398","10344"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p29_number_motor_vehicles_by_dwelling_census_2016.fid-5ff86f36_1724bdf6fd3_5dbf,Esperance,"51101","281","1611","2057","830","607","5383","918","6299"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p29_number_motor_vehicles_by_dwelling_census_2016.fid-5ff86f36_1724bdf6fd3_5dc0,Gascoyne,"51102","361","2597","1519","496","299","5274","1181","6453"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p29_number_motor_vehicles_by_dwelling_census_2016.fid-5ff86f36_1724bdf6fd3_5dc1,Goldfields,"51103","864","4144","4594","1780","952","12329","2188","14520"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p29_number_motor_vehicles_by_dwelling_census_2016.fid-5ff86f36_1724bdf6fd3_5dc2,Mid West,"51104","1067","6509","7245","2835","1766","19424","2525","21951"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p29_number_motor_vehicles_by_dwelling_census_2016.fid-5ff86f36_1724bdf6fd3_5dc3,Brighton,"60101","452","1848","2011","918","570","5794","580","6376"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p29_number_motor_vehicles_by_dwelling_census_2016.fid-5ff86f36_1724bdf6fd3_5dc4,Hobart - North East,"60102","1249","7073","7650","2548","1267","19787","1260","21048"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p29_number_motor_vehicles_by_dwelling_census_2016.fid-5ff86f36_1724bdf6fd3_5dc5,Hobart - North West,"60103","2418","8183","6536","2151","1182","20462","1908","22371"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p29_number_motor_vehicles_by_dwelling_census_2016.fid-5ff86f36_1724bdf6fd3_5dc6,Hobart - South and West,"60104","478","4088","4921","1629","797","11919","679","12598"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p29_number_motor_vehicles_by_dwelling_census_2016.fid-5ff86f36_1724bdf6fd3_5dc7,Hobart Inner,"60105","2195","8691","6324","1752","730","19689","1602","21287"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p29_number_motor_vehicles_by_dwelling_census_2016.fid-5ff86f36_1724bdf6fd3_5dc8,Sorell - Dodges Ferry,"60106","195","1958","2384","945","534","6021","502","6523"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p29_number_motor_vehicles_by_dwelling_census_2016.fid-5ff86f36_1724bdf6fd3_5dc9,Launceston,"60201","2800","11883","10662","3479","1774","30602","2752","33355"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p29_number_motor_vehicles_by_dwelling_census_2016.fid-5ff86f36_1724bdf6fd3_5dca,Meander Valley - West Tamar,"60202","275","2476","3249","1474","964","8437","763","9193"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p29_number_motor_vehicles_by_dwelling_census_2016.fid-5ff86f36_1724bdf6fd3_5dcb,North East,"60203","695","4622","5236","2266","1399","14228","1508","15733"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p29_number_motor_vehicles_by_dwelling_census_2016.fid-5ff86f36_1724bdf6fd3_5dcc,Central Highlands (Tas.),"60301","121","1070","1536","824","597","4150","432","4584"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p29_number_motor_vehicles_by_dwelling_census_2016.fid-5ff86f36_1724bdf6fd3_5dcd,Huon - Bruny Island,"60302","243","2429","2899","1089","640","7299","662","7954"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p29_number_motor_vehicles_by_dwelling_census_2016.fid-5ff86f36_1724bdf6fd3_5dce,South East Coast,"60303","102","1013","1069","354","199","2736","344","3077"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p29_number_motor_vehicles_by_dwelling_census_2016.fid-5ff86f36_1724bdf6fd3_5dcf,Devonport,"60402","1101","5986","6125","2348","1271","16833","1440","18275"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p29_number_motor_vehicles_by_dwelling_census_2016.fid-5ff86f36_1724bdf6fd3_5dd0,West Coast,"60403","348","2256","2552","935","468","6565","677","7243"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p29_number_motor_vehicles_by_dwelling_census_2016.fid-5ff86f36_1724bdf6fd3_5dd1,Darwin City,"70101","890","3915","3279","873","376","9333","1725","11060"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p29_number_motor_vehicles_by_dwelling_census_2016.fid-5ff86f36_1724bdf6fd3_5dd2,Darwin Suburbs,"70102","1037","5534","6635","2258","1168","16635","2546","19177"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p29_number_motor_vehicles_by_dwelling_census_2016.fid-5ff86f36_1724bdf6fd3_5dd3,Litchfield,"70103","136","1560","2411","1334","998","6442","1276","7718"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p29_number_motor_vehicles_by_dwelling_census_2016.fid-5ff86f36_1724bdf6fd3_5dd4,Palmerston,"70104","471","3090","4783","1458","621","10424","1393","11814"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p29_number_motor_vehicles_by_dwelling_census_2016.fid-5ff86f36_1724bdf6fd3_5dd5,Holdfast Bay,"40301","1330","5887","4922","1266","535","13940","1098","15038"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p29_number_motor_vehicles_by_dwelling_census_2016.fid-5ff86f36_1724bdf6fd3_5dd6,Marion,"40302","3182","13722","12959","3747","1535","35146","2133","37285"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p29_number_motor_vehicles_by_dwelling_census_2016.fid-5ff86f36_1724bdf6fd3_5dd7,Burnie - Ulverstone,"60401","1368","6926","6544","2390","1185","18413","1578","19986"
