sa3_name16,sa3_code16,hh_in_p_1_f_hh_c_f_n_c_n_u_2,hh_in_p_1_f_hh_c_f_n_c_n_u_3,hh_in_p_1_f_hh_c_f_n_c_n_u_4,hh_in_p_1_f_hh_c_f_n_c_n_u_5,hh_in_p_1_f_h_c_f_n_c_n_u_6ov,hh_in_p_1_f_hh_c_f_no_ch_tot,hh_in_p_1_f_hh_c_f_ch_nu_ur_3,hh_in_p_1_f_hh_c_f_ch_nu_ur_4,hh_in_p_1_f_hh_c_f_ch_nu_ur_5,hh_i_p_1_f_h_c_f_ch_nu_ur_6ov,hh_in_pe_1_fa_hh_co_fa_ch_tot,hh_in_p_1_f_h_1_pa_f_nu_ur_2,hh_in_p_1_f_h_1_pa_f_nu_ur_3,hh_in_p_1_f_h_1_pa_f_nu_ur_4,hh_in_p_1_f_h_1_pa_f_nu_ur_5,hh_in_p_1_f_h_1_pa_f_n_ur_6ov,hh_in_p_1_f_h_1_pa_f_tot,hh_in_p_1_fa_hh_ot_fa_nu_ur_2,hh_in_p_1_fa_hh_ot_fa_nu_ur_3,hh_in_p_1_fa_hh_ot_fa_nu_ur_4,hh_in_p_1_fa_hh_ot_fa_nu_ur_5,hh_in_p_1_fa_hh_ot_f_n_ur_6ov,hh_in_pe_1_fa_hh_other_fa_tot,hh_in_pe_1_fa_hh_tot_nu_ur_2,hh_in_pe_1_fa_hh_tot_nu_ur_3,hh_in_pe_1_fa_hh_tot_nu_ur_4,hh_in_pe_1_fa_hh_tot_nu_ur_5,hh_in_pe_1_fa_hh_tot_n_ur_6ov,hh_in_pe_1_fa_hh_tot_tot,hhd_in_pe_mu_fa_hhd_nu_ur_4,hhd_in_pe_mu_fa_hhd_nu_ur_5,hhd_in_pe_mu_fa_hhd_n_ur_6ov,hhd_in_pe_mu_fa_hhd_tot,hhd_in_pe_totfa_hhd_nu_ur_2,hhd_in_pe_totfa_hhd_nu_ur_3,hhd_in_pe_totfa_hhd_nu_ur_4,hhd_in_pe_totfa_hhd_nu_ur_5,hhd_in_pe_totfa_hhd_n_ur_6ov,hhd_in_pe_totfa_hhd_tot,hhd_in_pe_lo_per_hhd_nu_ur_1,hhd_in_pe_lo_per_hhd_tot,hhd_in_pe_gr_hh_nu_ur_2,hhd_in_pe_gr_hh_nu_ur_3,hhd_in_pe_gr_hh_nu_ur_4,hhd_in_pe_gr_hh_nu_ur_5,hhd_in_pe_gr_hh_n_ur_6ov,hhd_in_pe_gr_hh_tot,hhd_in_pe_tot_nu_ur_1,hhd_in_pe_tot_nu_ur_2,hhd_in_pe_tot_nu_ur_3,hhd_in_pe_tot_nu_ur_4,hhd_in_pe_tot_nu_ur_5,hhd_in_pe_tot_nu_ur_6_more,hhd_in_pe_tot_tot,ot_hh_1_f_hh_c_f_no_c_nu_ur_2,ot_hh_1_f_hh_c_f_no_c_nu_ur_3,ot_hh_1_f_hh_c_f_no_c_nu_ur_4,ot_hh_1_f_hh_c_f_no_c_nu_ur_5,ot_hh_1_f_hh_c_f_n_c_n_ur_6ov,ot_hh_1_f_hh_c_f_no_c_tot,ot_hh_1_f_hh_c_f_ch_nu_ur_3,ot_hh_1_f_hh_c_f_ch_nu_ur_4,ot_hh_1_f_hh_c_f_ch_nu_ur_5,ot_hh_1_f_hh_c_f_ch_n_ur_6ov,ot_hh_1_f_hh_c_f_with_ch_tot,ot_hh_1_f_hh_1_pa_f_nu_ur_2,ot_hh_1_f_hh_1_pa_f_nu_ur_3,ot_hh_1_f_hh_1_pa_f_nu_ur_4,ot_hh_1_f_hh_1_pa_f_nu_ur_5,ot_hh_1_f_hh_1_pa_f_n_ur_6ov,ot_hh_1_f_hh_1_parent_f_tot,ot_hh_one_fa_hh_ot_fa_nu_ur_2,ot_hh_one_fa_hh_ot_fa_nu_ur_3,ot_hh_one_fa_hh_ot_fa_nu_ur_4,ot_hh_one_fa_hh_ot_fa_nu_ur_5,ot_hh_1_fa_hh_ot_fa_n_ur_6ov,ot_hh_one_fa_hhd_other_fa_tot,ot_hh_one_fa_hhd_tot_nu_ur_2,ot_hh_one_fa_hhd_tot_nu_ur_3,ot_hh_one_fa_hhd_tot_nu_ur_4,ot_hh_one_fa_hhd_tot_nu_ur_5,ot_hh_one_fa_hhd_tot_n_ur_6ov,ot_hh_one_fa_hhd_tot_tot,ot_hh_multiple_fa_hhd_nu_ur_4,ot_hh_multiple_fa_hhd_nu_ur_5,ot_hh_multiple_fa_hh_nu_u_6ov,ot_hh_multiple_fa_hhd_tot,ot_hh_totfa_hhd_nu_ur_2,ot_hh_totfa_hhd_nu_ur_3,ot_hh_totfa_hhd_nu_ur_4,ot_hh_totfa_hhd_nu_ur_5,ot_hh_totfa_hhd_nu_ur_6_more,ot_hh_totfa_hhd_tot,ot_hh_lo_per_hhd_nu_ur_1,ot_hh_lo_per_hhd_tot,ot_hh_gr_hh_nu_ur_2,ot_hh_gr_hh_nu_ur_3,ot_hh_gr_hh_nu_ur_4,ot_hh_gr_hh_nu_ur_5,ot_hh_gr_hh_nu_u_6ov,ot_hh_gr_hh_tot,ot_hh_tot_nu_ur_1,ot_hh_tot_nu_ur_2,ot_hh_tot_nu_ur_3,ot_hh_tot_nu_ur_4,ot_hh_tot_nu_ur_5,ot_hh_tot_nu_ur_6_more,ot_hh_tot_tot
Bunbury,50102,174,18,4,0,0,204,99,145,73,72,387,89,105,72,41,30,337,13,3,0,0,0,18,276,227,217,116,101,937,12,11,17,39,276,227,230,124,115,974,152,152,32,9,3,0,0,47,152,309,233,238,124,115,1172,10257,300,26,10,12,10611,3647,4744,1950,668,11017,1697,1292,466,130,53,3643,212,42,3,0,0,258,12165,5285,5245,2094,730,25523,115,131,158,407,12165,5285,5366,2230,889,25928,8504,8504,753,121,28,12,5,918,8504,12916,5403,5392,2243,898,35359
Manjimup,50103,38,4,0,0,0,44,16,18,15,21,71,17,13,8,8,0,53,3,4,0,0,0,5,58,43,28,20,19,177,3,3,5,6,58,43,32,24,23,181,41,41,14,6,0,0,0,12,41,73,41,32,24,23,239,2957,74,10,0,0,3039,661,840,401,166,2066,328,205,86,20,11,637,45,5,0,0,0,51,3329,944,927,418,177,5799,23,22,19,64,3329,944,956,437,189,5857,2357,2357,167,13,3,0,0,189,2357,3493,957,959,439,195,8401
Mandurah,50201,146,18,3,0,0,161,72,109,69,47,299,71,84,59,22,24,259,10,7,0,3,0,21,228,183,171,96,70,744,10,13,17,47,228,183,181,112,92,788,90,90,34,9,3,3,3,57,90,258,187,190,119,92,936,11279,333,28,5,3,11645,3249,3937,1549,623,9364,1682,1253,510,173,61,3683,200,47,8,0,0,251,13163,4884,4482,1733,681,24944,119,119,175,411,13163,4884,4593,1854,857,25356,8996,8996,779,97,26,6,0,905,8996,13945,4979,4624,1860,857,35259
Cottesloe - Claremont,50301,15,3,0,0,0,14,13,9,11,3,28,11,3,0,0,0,18,3,0,0,0,0,3,29,18,9,11,6,66,0,0,0,3,29,18,13,11,5,73,30,30,11,3,7,0,0,23,30,38,24,20,11,5,115,5900,166,52,20,5,6138,2308,3813,1884,428,8435,847,601,210,44,11,1716,208,42,16,3,0,274,6955,3122,4088,1947,444,16552,46,43,54,138,6955,3122,4128,1993,499,16696,5657,5657,569,282,117,40,15,1018,5657,7523,3402,4246,2025,510,23370
Perth City,50302,69,3,0,0,0,76,23,22,10,4,58,20,12,9,0,3,44,5,3,0,0,0,8,98,40,28,11,7,181,0,0,0,0,98,40,28,17,7,187,111,111,26,19,6,3,0,55,111,127,54,39,14,7,346,10722,523,191,38,23,11499,3553,3919,1238,208,8912,1351,704,219,36,4,2317,446,112,28,5,3,603,12520,4884,4354,1323,245,23330,76,64,62,197,12520,4884,4434,1386,303,23526,13748,13748,2063,768,283,85,40,3241,13748,14587,5652,4719,1468,347,40513
Bayswater - Bassendean,50401,71,9,0,0,0,81,31,50,28,22,128,68,67,26,12,8,181,10,3,0,3,0,19,150,113,80,40,27,405,7,8,11,22,150,113,87,51,34,433,103,103,34,11,5,0,0,59,103,186,127,94,51,40,595,7695,408,122,26,15,8261,3289,3630,1165,403,8487,1560,874,298,82,30,2847,342,75,24,8,3,451,9599,4648,4074,1277,451,20053,107,122,201,436,9599,4648,4183,1400,651,20484,8377,8377,1110,310,101,49,28,1601,8377,10712,4962,4289,1453,678,30470
Mundaring,50402,62,5,0,0,0,68,31,62,32,29,153,24,30,25,8,6,96,3,0,0,0,0,3,86,75,85,38,33,321,3,6,9,24,86,75,91,46,44,348,38,38,11,4,0,0,0,19,38,100,81,91,50,45,398,4086,140,19,0,0,4244,1583,1990,820,292,4686,647,473,202,47,9,1379,103,21,4,0,0,127,4833,2210,2210,875,307,10433,84,69,124,279,4833,2210,2299,944,429,10712,2937,2937,241,34,11,0,0,286,2937,5074,2244,2311,944,432,13936
Swan,50403,156,16,4,0,0,179,119,158,98,78,464,98,121,77,43,37,370,26,10,0,0,0,35,283,265,237,146,117,1048,26,22,28,70,283,265,260,161,147,1124,136,136,44,10,3,3,4,66,136,321,279,270,166,153,1320,9706,481,83,15,6,10284,5086,6767,2633,1165,15650,2074,1722,695,206,110,4805,370,82,14,5,0,470,12143,7370,7560,2863,1280,31217,228,284,469,972,12143,7370,7783,3147,1747,32193,7833,7833,905,166,45,20,13,1154,7833,13054,7538,7835,3163,1758,41175
Joondalup,50501,69,8,0,0,0,81,69,87,46,25,222,27,33,22,3,10,91,8,3,3,0,0,14,103,114,107,45,35,406,3,4,8,21,103,114,107,56,40,420,50,50,14,8,0,4,0,29,50,118,118,112,58,40,501,14606,516,78,19,6,15223,6827,10197,3686,896,21604,2291,1779,594,154,32,4847,406,88,15,6,0,515,17295,9211,10883,3862,935,42194,240,253,272,764,17295,9211,11121,4115,1205,42955,9213,9213,892,233,77,32,16,1245,9213,18193,9443,11197,4145,1217,53415
Stirling,50502,144,13,4,0,0,171,59,79,24,24,182,94,97,43,24,24,281,20,8,5,0,0,31,264,178,129,53,50,662,10,3,17,30,264,178,136,54,67,694,197,197,50,11,11,3,0,76,197,318,191,145,61,67,975,18137,934,241,67,44,19418,7416,9127,3248,1031,20817,3594,2115,695,160,87,6644,777,210,49,16,9,1066,22504,10664,10120,3486,1176,47951,224,267,408,904,22504,10664,10345,3760,1580,48853,21009,21009,2334,729,265,93,49,3464,21009,24842,11391,10608,3846,1631,73326
