sa3_name16,sa3_code16,hh_in_p_1_f_hh_c_f_n_c_n_u_2,hh_in_p_1_f_hh_c_f_n_c_n_u_3,hh_in_p_1_f_hh_c_f_n_c_n_u_4,hh_in_p_1_f_hh_c_f_n_c_n_u_5,hh_in_p_1_f_h_c_f_n_c_n_u_6ov,hh_in_p_1_f_hh_c_f_no_ch_tot,hh_in_p_1_f_hh_c_f_ch_nu_ur_3,hh_in_p_1_f_hh_c_f_ch_nu_ur_4,hh_in_p_1_f_hh_c_f_ch_nu_ur_5,hh_i_p_1_f_h_c_f_ch_nu_ur_6ov,hh_in_pe_1_fa_hh_co_fa_ch_tot,hh_in_p_1_f_h_1_pa_f_nu_ur_2,hh_in_p_1_f_h_1_pa_f_nu_ur_3,hh_in_p_1_f_h_1_pa_f_nu_ur_4,hh_in_p_1_f_h_1_pa_f_nu_ur_5,hh_in_p_1_f_h_1_pa_f_n_ur_6ov,hh_in_p_1_f_h_1_pa_f_tot,hh_in_p_1_fa_hh_ot_fa_nu_ur_2,hh_in_p_1_fa_hh_ot_fa_nu_ur_3,hh_in_p_1_fa_hh_ot_fa_nu_ur_4,hh_in_p_1_fa_hh_ot_fa_nu_ur_5,hh_in_p_1_fa_hh_ot_f_n_ur_6ov,hh_in_pe_1_fa_hh_other_fa_tot,hh_in_pe_1_fa_hh_tot_nu_ur_2,hh_in_pe_1_fa_hh_tot_nu_ur_3,hh_in_pe_1_fa_hh_tot_nu_ur_4,hh_in_pe_1_fa_hh_tot_nu_ur_5,hh_in_pe_1_fa_hh_tot_n_ur_6ov,hh_in_pe_1_fa_hh_tot_tot,hhd_in_pe_mu_fa_hhd_nu_ur_4,hhd_in_pe_mu_fa_hhd_nu_ur_5,hhd_in_pe_mu_fa_hhd_n_ur_6ov,hhd_in_pe_mu_fa_hhd_tot,hhd_in_pe_totfa_hhd_nu_ur_2,hhd_in_pe_totfa_hhd_nu_ur_3,hhd_in_pe_totfa_hhd_nu_ur_4,hhd_in_pe_totfa_hhd_nu_ur_5,hhd_in_pe_totfa_hhd_n_ur_6ov,hhd_in_pe_totfa_hhd_tot,hhd_in_pe_lo_per_hhd_nu_ur_1,hhd_in_pe_lo_per_hhd_tot,hhd_in_pe_gr_hh_nu_ur_2,hhd_in_pe_gr_hh_nu_ur_3,hhd_in_pe_gr_hh_nu_ur_4,hhd_in_pe_gr_hh_nu_ur_5,hhd_in_pe_gr_hh_n_ur_6ov,hhd_in_pe_gr_hh_tot,hhd_in_pe_tot_nu_ur_1,hhd_in_pe_tot_nu_ur_2,hhd_in_pe_tot_nu_ur_3,hhd_in_pe_tot_nu_ur_4,hhd_in_pe_tot_nu_ur_5,hhd_in_pe_tot_nu_ur_6_more,hhd_in_pe_tot_tot,ot_hh_1_f_hh_c_f_no_c_nu_ur_2,ot_hh_1_f_hh_c_f_no_c_nu_ur_3,ot_hh_1_f_hh_c_f_no_c_nu_ur_4,ot_hh_1_f_hh_c_f_no_c_nu_ur_5,ot_hh_1_f_hh_c_f_n_c_n_ur_6ov,ot_hh_1_f_hh_c_f_no_c_tot,ot_hh_1_f_hh_c_f_ch_nu_ur_3,ot_hh_1_f_hh_c_f_ch_nu_ur_4,ot_hh_1_f_hh_c_f_ch_nu_ur_5,ot_hh_1_f_hh_c_f_ch_n_ur_6ov,ot_hh_1_f_hh_c_f_with_ch_tot,ot_hh_1_f_hh_1_pa_f_nu_ur_2,ot_hh_1_f_hh_1_pa_f_nu_ur_3,ot_hh_1_f_hh_1_pa_f_nu_ur_4,ot_hh_1_f_hh_1_pa_f_nu_ur_5,ot_hh_1_f_hh_1_pa_f_n_ur_6ov,ot_hh_1_f_hh_1_parent_f_tot,ot_hh_one_fa_hh_ot_fa_nu_ur_2,ot_hh_one_fa_hh_ot_fa_nu_ur_3,ot_hh_one_fa_hh_ot_fa_nu_ur_4,ot_hh_one_fa_hh_ot_fa_nu_ur_5,ot_hh_1_fa_hh_ot_fa_n_ur_6ov,ot_hh_one_fa_hhd_other_fa_tot,ot_hh_one_fa_hhd_tot_nu_ur_2,ot_hh_one_fa_hhd_tot_nu_ur_3,ot_hh_one_fa_hhd_tot_nu_ur_4,ot_hh_one_fa_hhd_tot_nu_ur_5,ot_hh_one_fa_hhd_tot_n_ur_6ov,ot_hh_one_fa_hhd_tot_tot,ot_hh_multiple_fa_hhd_nu_ur_4,ot_hh_multiple_fa_hhd_nu_ur_5,ot_hh_multiple_fa_hh_nu_u_6ov,ot_hh_multiple_fa_hhd_tot,ot_hh_totfa_hhd_nu_ur_2,ot_hh_totfa_hhd_nu_ur_3,ot_hh_totfa_hhd_nu_ur_4,ot_hh_totfa_hhd_nu_ur_5,ot_hh_totfa_hhd_nu_ur_6_more,ot_hh_totfa_hhd_tot,ot_hh_lo_per_hhd_nu_ur_1,ot_hh_lo_per_hhd_tot,ot_hh_gr_hh_nu_ur_2,ot_hh_gr_hh_nu_ur_3,ot_hh_gr_hh_nu_ur_4,ot_hh_gr_hh_nu_ur_5,ot_hh_gr_hh_nu_u_6ov,ot_hh_gr_hh_tot,ot_hh_tot_nu_ur_1,ot_hh_tot_nu_ur_2,ot_hh_tot_nu_ur_3,ot_hh_tot_nu_ur_4,ot_hh_tot_nu_ur_5,ot_hh_tot_nu_ur_6_more,ot_hh_tot_tot
Wanneroo,50503,147,12,3,0,0,165,113,136,83,80,407,76,106,71,40,34,333,10,10,0,0,0,20,237,247,212,124,114,927,16,13,33,55,237,247,223,136,144,986,111,111,30,10,4,3,0,50,111,268,251,232,138,144,1139,13806,657,102,27,14,14604,7783,10980,4352,1753,24872,2915,2557,994,335,167,6964,478,131,37,6,3,659,17193,11131,12110,4719,1940,47092,304,364,664,1332,17193,11131,12415,5082,2602,48422,10242,10242,1188,238,102,24,28,1585,10242,18383,11366,12511,5112,2626,60246
Armadale,50601,104,18,3,0,0,128,79,79,60,44,270,66,82,35,26,27,238,14,7,0,0,0,24,185,181,123,93,76,659,11,9,25,51,185,181,137,103,100,703,101,101,31,4,4,0,0,40,101,214,187,134,105,104,846,6438,304,40,8,0,6795,3388,3864,1558,748,9557,1452,1093,409,113,51,3116,257,59,13,8,0,331,8143,4839,4321,1688,796,19791,122,179,251,554,8143,4839,4442,1864,1049,20346,5497,5497,627,110,21,3,4,766,5497,8771,4951,4465,1868,1057,26610
Belmont - Victoria Park,50602,76,10,3,0,0,93,36,34,23,15,110,57,64,26,11,12,170,11,9,0,0,0,19,147,114,65,36,33,396,5,4,17,26,147,114,73,41,51,420,144,144,39,13,5,6,4,71,144,185,126,73,47,51,631,6380,502,174,54,36,7145,2451,2528,857,353,6188,1178,670,227,64,22,2155,421,117,33,12,3,588,7972,3734,2961,990,414,16072,84,90,138,310,7972,3734,3045,1079,553,16381,7795,7795,1296,479,216,79,32,2103,7795,9270,4213,3259,1158,583,26276
Canning,50603,49,8,6,0,0,65,28,37,28,15,105,39,34,16,21,4,107,5,3,0,0,0,9,90,76,56,48,22,290,3,3,5,16,90,76,61,49,31,306,74,74,17,9,7,3,4,38,74,107,81,66,60,37,415,6673,496,195,86,57,7503,3435,4933,1964,707,11038,1357,877,378,91,56,2769,402,152,67,23,5,648,8436,4961,5579,2163,822,21959,167,165,346,681,8436,4961,5744,2329,1166,22642,6920,6920,936,495,274,164,88,1958,6920,9372,5457,6022,2490,1254,31515
Gosnells,50604,105,25,3,0,0,134,76,86,60,65,293,65,96,70,45,36,305,16,4,0,0,0,31,194,202,158,103,101,761,17,12,28,54,194,202,176,120,131,817,116,116,34,5,4,0,4,52,116,221,210,181,123,136,986,8250,561,94,38,23,8963,4641,5858,2604,1309,14413,1813,1389,572,232,86,4093,399,116,38,14,4,564,10456,6705,6559,2888,1426,28034,194,310,543,1046,10456,6705,6755,3192,1967,29083,7614,7614,889,213,104,56,54,1320,7614,11348,6920,6862,3253,2022,38013
Kalamunda,50605,46,4,3,0,0,60,51,73,29,26,176,26,33,28,11,13,112,3,3,0,0,0,5,82,93,99,40,36,349,4,3,7,17,82,93,104,48,47,365,41,41,12,3,3,0,0,18,41,94,90,107,48,47,426,5578,203,33,4,3,5822,2188,2953,1290,430,6866,890,684,266,76,26,1942,153,32,4,3,0,194,6623,3108,3263,1368,459,14824,84,94,167,342,6623,3108,3348,1455,626,15161,4013,4013,390,67,16,0,4,483,4013,7012,3173,3369,1458,630,19653
Serpentine - Jarrahdale,50606,37,3,0,0,0,41,21,42,21,23,108,8,10,9,5,8,38,0,0,0,0,0,0,44,36,49,25,34,187,0,5,5,9,44,36,49,24,34,189,12,12,8,0,0,0,0,8,12,53,36,55,24,34,218,2271,124,15,3,0,2419,1112,1466,632,293,3499,319,268,115,40,18,753,54,17,3,0,0,73,2646,1514,1602,675,309,6743,52,52,104,205,2646,1514,1651,725,412,6954,1089,1089,133,18,3,0,0,155,1089,2780,1532,1655,725,413,8197
South Perth,50607,27,8,0,0,0,34,12,10,6,0,29,17,15,7,8,9,50,3,0,0,0,0,5,47,31,21,13,12,117,0,0,5,7,47,31,20,18,17,129,39,39,19,10,3,0,0,26,39,62,38,21,18,17,190,4177,197,45,18,5,4441,1579,1857,561,144,4137,634,388,100,30,10,1161,270,71,18,3,3,373,5088,2232,2018,609,160,10107,49,37,51,139,5088,2232,2072,647,212,10246,4908,4908,609,235,105,28,15,993,4908,5691,2461,2180,679,227,16150
Cockburn,50701,80,15,4,0,0,102,59,81,35,42,212,70,57,46,20,23,221,8,3,0,0,0,11,154,136,136,55,63,543,8,9,12,24,154,136,144,64,72,573,87,87,21,4,4,3,0,32,87,182,140,152,70,72,692,8570,420,77,24,4,9097,4313,5841,2082,610,12847,1668,1237,461,108,40,3519,308,80,14,9,0,415,10551,6050,6398,2225,656,25874,146,162,274,590,10551,6050,6542,2388,933,26461,7388,7388,903,207,69,33,12,1222,7388,11453,6260,6615,2421,941,35068
Fremantle,50702,28,7,0,0,0,36,9,26,5,3,40,36,28,6,13,3,78,3,0,0,0,0,8,66,46,31,17,7,161,3,3,6,8,66,46,32,19,11,168,59,59,13,7,0,0,0,16,59,70,49,33,17,11,247,3643,154,42,8,0,3848,1389,1584,525,119,3615,736,397,108,25,8,1277,104,28,3,3,0,134,4485,1963,1736,560,126,8871,34,29,21,88,4485,1963,1769,593,150,8957,4301,4301,479,184,78,14,6,757,4301,4960,2148,1848,606,161,14022
Kwinana,50703,50,4,0,0,0,59,36,47,29,28,142,43,43,39,24,6,155,6,3,0,0,0,9,99,84,89,55,34,363,6,3,4,12,99,84,89,58,44,375,54,54,20,0,0,0,0,20,54,121,84,89,58,44,449,2863,180,19,7,4,3078,1541,1731,731,332,4339,687,505,249,73,37,1544,125,31,3,0,0,164,3676,2267,2011,811,369,9137,72,74,122,261,3676,2267,2079,886,493,9395,2646,2646,329,43,17,3,3,396,2646,4002,2306,2099,885,499,12442
Melville,50704,45,4,0,3,0,52,22,32,25,15,97,25,36,22,3,4,94,3,0,0,0,0,4,68,64,58,32,21,243,0,0,3,6,68,64,56,36,19,252,45,45,12,5,3,0,0,17,45,76,73,63,40,20,318,9377,348,93,25,17,9859,4177,5885,2112,559,12725,1674,1153,360,70,23,3281,365,93,21,8,3,496,11415,5772,6354,2211,609,26360,117,135,201,453,11415,5772,6472,2345,809,26815,8470,8470,682,238,126,43,23,1112,8470,12099,6012,6599,2392,826,36395
Rockingham,50705,176,23,4,0,0,199,119,157,92,69,441,63,85,59,26,27,254,16,3,3,0,0,24,251,235,217,124,94,920,12,11,29,55,251,235,227,128,127,973,101,101,27,5,3,0,0,39,101,280,238,231,128,127,1110,10604,413,46,4,0,11070,4855,6438,2666,1032,14989,1955,1655,728,222,85,4642,290,58,9,0,0,351,12855,6982,7224,2887,1112,31059,148,221,253,625,12855,6982,7371,3111,1363,31681,8616,8616,899,133,34,9,0,1076,8616,13750,7110,7406,3122,1363,41369
Albany,50901,124,17,0,0,0,145,64,90,58,37,249,64,67,48,17,25,224,23,3,0,0,0,23,210,148,137,76,57,635,3,9,11,25,210,148,137,87,72,658,133,133,11,3,0,0,0,16,133,225,150,137,89,72,812,6602,176,20,0,0,6792,1764,2250,1033,412,5464,872,593,244,83,19,1816,126,30,7,0,0,162,7602,2559,2515,1118,436,14228,64,52,92,201,7602,2559,2575,1171,527,14430,5756,5756,424,72,26,3,5,533,5756,8024,2630,2598,1171,530,20724
Wheat Belt - North,50902,145,19,0,3,0,167,69,88,55,53,273,66,70,49,35,16,240,7,4,0,0,0,12,220,165,137,93,77,691,7,12,36,55,220,165,146,107,105,750,137,137,20,3,0,0,0,26,137,242,167,146,107,105,913,6550,193,12,5,0,6762,1701,1915,955,403,4967,717,421,179,68,22,1408,105,10,3,0,0,117,7367,2330,2115,1026,424,13250,65,63,102,224,7367,2330,2175,1084,524,13480,5472,5472,388,56,17,7,18,486,5472,7753,2386,2194,1098,537,19434
Wheat Belt - South,50903,56,8,0,0,0,63,23,31,26,21,103,34,20,16,18,14,103,4,0,0,0,0,6,102,53,51,41,31,284,5,3,10,19,102,53,58,43,47,301,64,64,13,0,0,0,0,18,64,111,58,56,43,47,376,2315,52,4,0,0,2374,621,716,365,119,1824,275,150,45,21,15,508,40,10,0,0,0,47,2630,835,767,384,135,4751,13,18,23,53,2630,835,785,402,160,4806,2121,2121,128,20,0,0,0,153,2121,2764,847,786,401,160,7076
Kimberley,51001,379,68,15,7,0,467,229,313,232,280,1054,240,283,203,112,108,949,96,54,15,5,3,178,715,628,543,352,395,2640,35,65,262,368,715,628,579,421,660,3004,618,618,60,12,7,0,0,80,618,777,641,583,421,660,3708,1786,82,23,3,6,1902,582,725,306,89,1701,178,122,39,14,3,350,23,4,0,0,0,31,1984,797,786,321,96,3981,12,16,16,49,1984,797,802,332,114,4032,1945,1945,241,71,22,8,10,351,1945,2227,865,823,342,123,6330
East Pilbara,51002,162,16,4,0,0,185,89,139,104,102,430,69,72,49,32,23,240,16,5,9,0,0,33,247,187,191,134,127,881,8,12,73,89,247,187,200,146,200,972,201,201,29,4,0,0,0,31,201,275,191,201,146,200,1205,1263,61,13,0,0,1333,552,707,336,117,1713,116,67,27,4,0,213,21,5,3,0,0,29,1398,684,750,340,117,3294,9,9,24,43,1398,684,755,353,143,3330,1127,1127,107,28,9,5,0,150,1127,1511,717,768,355,139,4609
West Pilbara,51003,124,16,4,0,5,150,116,149,99,83,441,68,68,55,22,30,239,19,8,3,3,0,40,208,213,212,125,107,868,6,15,35,54,208,213,220,138,144,928,197,197,22,0,0,0,0,28,197,230,218,220,141,144,1148,1727,80,16,4,0,1832,868,1318,557,178,2913,175,116,40,17,6,341,31,7,3,0,0,38,1928,1070,1378,574,183,5129,13,14,25,53,1928,1070,1389,593,205,5184,1521,1521,168,49,10,3,3,237,1521,2097,1117,1401,591,213,6942
Esperance,51101,40,6,0,0,0,44,28,22,21,15,90,8,16,13,6,9,56,0,0,0,0,0,0,54,51,39,30,26,190,0,0,3,7,54,51,39,28,25,196,26,26,8,0,0,0,0,8,26,57,51,39,28,25,232,1544,48,3,0,0,1593,489,626,292,106,1511,220,139,51,17,8,430,34,4,0,0,0,44,1807,678,675,303,114,3585,11,7,20,41,1807,678,687,313,140,3626,1455,1455,113,9,4,0,0,128,1455,1917,691,694,314,140,5207
Gascoyne,51102,51,6,3,0,0,66,35,35,23,22,122,26,33,28,17,10,113,17,3,0,0,0,18,91,80,63,40,37,314,5,3,9,19,91,80,72,42,50,332,93,93,9,0,0,0,0,12,93,101,82,72,45,50,436,798,22,11,3,3,834,258,309,113,40,722,90,52,26,6,0,174,15,0,0,0,0,18,901,337,346,120,47,1752,9,4,13,24,901,337,354,131,61,1777,913,913,87,19,5,0,0,115,913,992,358,355,132,57,2803
Goldfields,51103,151,7,3,4,4,165,102,117,105,105,426,85,89,66,51,33,327,20,13,3,0,0,37,251,217,193,161,137,959,15,28,100,142,251,217,205,180,245,1099,201,201,31,0,3,0,0,34,201,277,217,204,180,245,1336,2680,116,17,9,0,2815,1259,1530,692,264,3744,433,278,97,29,13,849,82,13,3,0,0,102,3197,1663,1649,730,273,7513,25,34,55,114,3197,1663,1676,759,331,7624,2993,2993,325,75,29,9,3,435,2993,3517,1737,1701,768,332,11052
Mid West,51104,253,20,4,0,0,278,109,141,117,97,462,139,148,105,66,50,512,37,10,3,0,0,54,431,287,258,181,152,1312,8,25,46,81,431,287,266,208,197,1386,312,312,48,11,0,0,0,63,312,481,297,272,208,198,1763,5282,174,22,4,5,5484,1555,2034,869,274,4735,748,528,187,50,28,1544,123,21,4,0,0,142,6153,2277,2247,928,303,11909,51,37,59,137,6153,2277,2295,960,362,12050,4748,4748,387,58,9,0,0,456,4748,6535,2331,2310,965,362,17246
Brighton,60101,101,7,3,0,0,110,71,86,55,27,239,72,79,45,18,11,218,8,3,0,0,0,17,185,163,130,72,33,581,8,10,9,21,185,163,136,74,38,602,81,81,31,0,0,0,0,31,81,213,163,136,74,38,707,1294,50,7,0,0,1350,593,689,243,105,1625,374,299,138,45,19,871,44,6,0,0,0,55,1717,946,828,284,117,3895,22,18,24,61,1717,946,849,303,148,3960,1240,1240,102,12,0,0,0,116,1240,1817,963,847,304,148,5313
Hobart - North East,60102,159,8,3,0,0,167,99,110,54,37,304,86,78,37,24,8,233,13,6,0,0,0,13,257,182,153,84,46,721,8,3,0,12,257,182,160,82,43,734,125,125,25,8,3,0,0,35,125,284,187,162,88,43,891,5390,141,12,4,0,5559,1871,2343,818,257,5290,1064,763,281,84,31,2220,135,24,5,0,0,165,6591,2804,2643,907,286,13234,60,55,60,174,6591,2804,2701,958,348,13405,5481,5481,378,54,15,0,0,453,5481,6975,2861,2720,964,348,19343
Hobart - North West,60103,206,13,0,0,0,222,118,143,75,43,375,102,117,61,38,16,332,16,6,0,0,0,22,327,255,202,114,56,957,5,9,7,26,327,255,212,118,65,976,242,242,54,4,0,3,0,63,242,378,262,215,125,67,1284,4440,166,22,7,0,4625,1798,1750,733,303,4589,1381,891,346,103,46,2767,197,41,13,0,0,251,6020,2888,2134,848,345,12233,69,66,104,244,6020,2888,2201,914,457,12481,6764,6764,543,76,33,3,0,654,6764,6564,2967,2231,918,455,19894
Hobart - South and West,60104,115,7,0,0,0,124,77,86,50,21,234,37,35,21,10,0,106,3,0,0,0,0,3,157,120,101,64,25,464,3,8,7,14,157,120,108,68,33,483,69,69,15,3,0,0,0,22,69,173,125,107,71,33,573,3218,92,11,0,0,3322,1208,1634,640,221,3706,646,421,168,28,13,1283,85,4,3,0,0,94,3953,1728,1820,672,243,8410,42,39,33,113,3953,1728,1863,708,277,8526,2758,2758,211,36,11,0,0,266,2758,4166,1767,1876,706,274,11545
Hobart Inner,60105,75,7,0,0,0,79,37,49,18,5,105,35,22,8,3,0,73,0,3,0,0,0,8,113,64,52,23,10,262,0,0,3,9,113,64,52,23,14,266,90,90,30,21,14,0,0,67,90,144,83,67,25,14,416,4931,185,80,20,14,5218,1705,1997,667,202,4566,861,486,144,37,16,1537,149,43,14,4,0,214,5940,2419,2226,720,224,11535,33,22,50,111,5940,2419,2267,744,277,11640,6337,6337,824,435,168,57,46,1525,6337,6764,2851,2433,803,320,19503
Sorell - Dodges Ferry,60106,63,6,0,0,0,67,28,35,24,21,105,19,18,9,6,0,59,3,0,0,0,0,3,86,55,48,28,19,239,4,11,6,13,86,55,49,39,22,251,51,51,15,3,0,0,0,15,51,99,54,47,40,22,316,1724,40,9,0,0,1767,582,631,240,95,1551,313,248,75,29,6,674,29,5,0,0,0,32,2065,876,718,269,103,4029,13,18,27,59,2065,876,729,292,132,4088,1622,1622,112,8,0,0,0,121,1622,2176,887,729,292,132,5831
Launceston,60201,229,14,4,0,0,251,138,135,85,37,394,126,128,74,20,11,358,25,3,5,0,0,28,380,283,217,106,48,1027,10,5,4,19,380,283,227,105,55,1042,258,258,65,15,4,8,0,86,258,438,300,227,114,55,1386,7429,211,27,3,0,7678,2664,3205,1195,481,7549,1721,1144,410,92,38,3403,270,43,14,0,0,331,9426,4070,3650,1295,520,18962,63,71,82,216,9426,4070,3716,1366,605,19180,9649,9649,833,218,73,23,15,1166,9649,10257,4290,3789,1391,619,29993
Meander Valley - West Tamar,60202,66,3,0,0,0,70,38,42,30,18,128,25,25,17,12,0,71,0,3,0,0,0,3,90,60,62,36,21,271,4,0,3,3,90,60,64,36,22,271,40,40,8,4,0,0,0,8,40,91,63,62,36,22,325,2852,73,7,0,0,2929,743,855,361,152,2109,373,215,71,28,16,707,40,9,0,0,0,47,3266,1040,933,391,162,5793,28,20,20,72,3266,1040,961,410,185,5859,2282,2282,142,7,0,0,0,149,2282,3408,1041,962,410,189,8299
North East,60203,166,7,0,0,0,173,69,74,35,31,212,40,30,28,10,12,115,7,0,0,0,0,7,209,109,95,47,39,506,4,3,8,16,209,109,97,51,46,516,137,137,21,0,0,0,0,23,137,235,109,97,51,46,677,4555,117,14,0,0,4689,1182,1321,536,232,3278,643,338,152,44,15,1196,75,9,0,0,0,82,5266,1656,1483,581,251,9238,40,32,29,100,5266,1656,1518,614,285,9343,4269,4269,283,13,3,0,0,298,4269,5551,1671,1523,616,285,13909
Central Highlands (Tas.),60301,62,0,0,0,0,64,32,38,19,16,100,19,21,10,3,4,51,3,0,0,0,0,3,82,52,53,26,21,222,3,0,0,8,82,52,55,24,22,234,44,44,7,0,0,0,0,7,44,94,52,55,24,22,280,1234,41,0,0,0,1276,351,433,180,85,1054,182,102,36,8,11,347,22,0,0,0,0,28,1442,491,473,194,100,2700,18,8,21,45,1442,491,496,206,116,2748,1132,1132,86,3,3,0,0,92,1132,1534,494,495,206,116,3971
Huon - Bruny Island,60302,165,19,0,0,0,177,83,114,50,40,285,50,43,19,14,0,128,7,0,0,0,0,14,225,145,133,68,44,605,0,3,8,15,225,145,130,68,50,617,100,100,28,0,0,0,0,28,100,248,145,130,68,50,745,2323,44,3,0,0,2363,613,598,264,123,1596,266,178,64,11,6,525,29,7,0,0,0,37,2617,843,659,277,127,4525,23,20,28,73,2617,843,686,296,156,4593,1915,1915,146,12,3,0,3,165,1915,2762,855,690,296,161,6670
South East Coast,60303,47,3,0,0,0,52,14,19,10,7,48,6,12,9,3,0,29,0,0,0,0,0,0,53,29,26,14,9,125,3,3,0,3,53,29,24,12,9,132,25,25,4,0,0,0,0,10,25,63,28,24,12,9,159,1014,18,0,0,0,1029,167,155,56,22,392,103,57,17,6,0,179,12,0,0,0,0,11,1127,238,168,61,20,1611,5,3,3,16,1127,238,173,68,28,1632,885,885,68,5,0,0,0,74,885,1189,248,173,68,28,2587
Holdfast Bay,40301,30,3,0,0,0,34,7,9,7,0,31,13,16,3,0,0,29,0,0,0,0,0,0,47,27,14,7,0,97,0,0,0,3,47,27,16,7,0,94,34,34,8,0,0,0,0,15,34,53,27,19,7,0,138,3852,95,8,0,0,3955,1170,1482,496,91,3240,672,322,87,16,5,1102,143,21,3,0,0,171,4672,1619,1581,511,95,8472,22,19,18,63,4672,1619,1602,533,112,8540,4976,4976,400,84,26,0,9,517,4976,5071,1697,1626,535,119,14023
Marion,40302,81,7,3,0,0,92,51,48,29,11,138,33,46,21,17,10,125,17,3,0,0,0,22,134,112,72,40,19,374,3,0,0,10,134,112,71,38,26,385,97,97,31,22,5,3,0,58,97,167,130,79,43,28,545,8513,356,94,19,10,8982,3732,4419,1311,404,9869,2000,1196,372,75,35,3680,394,84,22,4,3,505,10909,5362,4910,1404,449,23041,113,105,133,352,10909,5362,5022,1513,588,23391,10345,10345,1070,380,121,45,7,1625,10345,11979,5743,5140,1553,594,35360
Burnie - Ulverstone,60401,376,14,3,0,0,399,184,215,100,62,564,145,122,69,18,9,356,14,3,0,0,0,22,535,322,287,120,72,1337,5,5,14,23,535,322,293,126,85,1362,290,290,48,3,0,0,0,55,290,578,327,296,124,85,1705,5129,123,15,0,0,5260,1511,1617,633,253,4014,980,574,232,71,27,1875,107,9,0,0,0,115,6213,2206,1864,704,273,11256,42,29,31,94,6213,2206,1898,732,306,11359,5572,5572,297,31,11,3,0,342,5572,6504,2245,1915,733,306,17277
Devonport,60402,259,9,3,0,0,275,157,168,75,51,449,89,101,56,23,5,265,6,0,0,0,0,8,354,266,222,96,57,998,11,7,10,30,354,266,235,101,66,1024,198,198,52,8,3,0,0,56,198,403,272,235,101,65,1283,4909,114,10,0,0,5038,1379,1559,616,239,3790,868,581,198,85,24,1743,107,15,0,0,0,118,5881,2083,1770,697,259,10695,42,28,38,116,5881,2083,1813,731,299,10807,4831,4831,349,29,11,0,3,390,4831,6231,2110,1827,728,296,16028
West Coast,60403,199,9,0,0,0,206,107,112,66,46,336,53,59,18,11,4,150,7,3,0,0,0,8,262,169,134,75,55,700,5,3,3,6,262,169,136,81,57,707,145,145,29,0,0,0,0,33,145,289,171,137,81,56,888,1803,28,0,0,0,1831,528,538,247,96,1408,225,140,69,11,7,449,25,8,0,0,0,29,2053,696,611,254,107,3721,14,5,8,31,2053,696,619,267,112,3749,1891,1891,124,9,6,0,0,144,1891,2178,706,626,267,110,5776
Darwin City,70101,95,18,7,4,3,118,32,40,13,11,103,38,33,9,8,3,84,9,6,0,0,0,17,137,90,54,19,19,320,4,0,13,20,137,90,57,25,37,342,115,115,32,18,3,0,3,58,115,166,107,66,25,33,509,2457,189,89,16,11,2767,801,790,268,101,1964,272,127,45,12,3,456,55,24,4,0,3,92,2784,1143,925,297,123,5273,20,17,47,82,2784,1143,940,316,171,5357,2484,2484,551,209,63,14,17,857,2484,3334,1354,1006,329,186,8697
Darwin Suburbs,70102,213,32,3,0,0,256,142,169,97,95,508,150,167,89,54,33,494,33,10,3,0,0,50,395,353,263,153,127,1300,20,17,43,82,395,353,286,173,170,1386,257,257,59,24,5,7,4,97,257,458,380,290,181,172,1739,3518,273,84,19,14,3917,1862,2186,939,417,5403,646,440,156,64,23,1335,115,44,20,5,0,179,4277,2612,2444,1029,463,10824,88,103,189,376,4277,2612,2534,1131,652,11202,3180,3180,590,163,62,24,9,848,3180,4867,2776,2591,1154,663,15227
Litchfield,70103,95,13,0,0,0,112,59,77,68,47,250,30,26,21,11,3,92,4,3,0,0,3,6,127,108,100,76,54,460,7,24,37,69,127,108,111,96,92,531,59,59,25,4,0,0,0,24,59,154,106,112,96,92,608,1513,121,23,6,0,1660,607,869,359,151,1982,191,119,69,19,10,411,29,7,3,0,0,36,1734,852,962,378,157,4087,38,54,81,174,1734,852,997,428,244,4259,1031,1031,164,24,10,3,0,207,1031,1897,876,1008,435,244,5495
Palmerston,70104,191,23,8,3,0,226,139,174,108,92,521,122,149,81,25,36,414,28,10,0,0,0,34,344,314,270,137,130,1191,9,11,18,41,344,314,277,153,149,1235,196,196,39,20,5,0,0,64,196,380,335,287,151,149,1501,2157,159,46,6,0,2365,1256,1545,701,221,3725,377,315,121,34,18,859,72,16,3,0,0,93,2602,1736,1718,745,243,7045,35,56,70,162,2602,1736,1753,799,311,7203,1637,1637,311,75,18,7,3,419,1637,2916,1818,1775,805,315,9261
Alice Springs,70201,320,56,21,3,7,400,155,254,160,199,775,149,161,100,71,64,548,57,29,8,4,3,96,522,397,380,240,272,1809,34,63,406,502,522,397,415,304,679,2319,437,437,71,19,11,0,0,96,437,588,415,424,304,679,2848,1829,101,16,3,3,1952,788,858,369,127,2143,262,159,61,16,5,503,37,11,0,0,0,54,2127,1059,936,392,135,4651,14,21,46,76,2127,1059,955,412,181,4732,2300,2300,296,96,34,3,13,438,2300,2419,1157,992,417,188,7468
