SA3_MAIN11,P_85y_ov_DNUDW_,P_85y_ov_UDW_NS,P_85y_ov_Total,P_Tot_DUDW_LT_5_h,P_Tot_DUDW_5_14_h,P_Tot_DUDW_15_29_h,P_Tot_DUDW_30_h_mo,P_Tot_DNUDW_,P_Tot_UDW_NS,P_Tot_Total,SA3_NAME11
10801,452,391,1202,3892,6028,3755,3357,5451,2701,25184,Great Lakes
10802,701,226,1346,5948,9110,5468,5316,8338,3853,38033,Kempsey - Nambucca
10803,6,3,9,72,93,44,23,58,12,302,Lord Howe Island
10804,1090,557,2455,10916,15848,8839,7641,11563,4956,59763,Port Macquarie
10805,726,244,1394,6819,10205,6471,5871,8992,3553,41911,Taree - Gloucester
10901,685,205,1267,10186,12270,5719,4837,9393,3691,46096,Albury
10902,89,68,212,1743,2272,1297,1287,2304,1018,9921,Lower Murray
10903,430,318,1086,5908,7951,4467,4232,7272,3251,33081,Upper Murray exc. Albury
11001,320,132,697,6184,7739,3828,3071,5666,2468,28956,Armidale
11002,407,220,902,4967,7170,4218,4334,6665,2873,30227,Inverell - Tenterfield
11003,202,55,374,3656,4661,2416,2364,4469,2245,19811,Moree - Narrabri
11004,776,358,1645,11580,15065,8025,7764,12710,5622,60766,Tamworth - Gunnedah
11101,1202,544,2773,19992,25166,13178,10771,19256,6760,95123,Lake Macquarie - East
11102,1121,317,2003,11368,14574,7853,6821,12427,3941,56984,Lake Macquarie - West
11103,1934,737,3951,30443,34700,15379,11907,26663,9897,128989,Newcastle
11201,1006,408,2087,12218,16609,8773,6936,10556,4854,59946,Richmond Valley - Coastal
11202,769,265,1519,10380,14878,8192,7395,10271,4257,55373,Richmond Valley - Hinterland
11203,1357,668,2902,13142,17659,9578,8132,14867,6567,69945,Tweed Valley
11301,432,192,896,6863,8244,4480,4230,8312,3977,36106,Griffith - Murrumbidgee (West)
11302,179,66,354,1953,2860,1603,1489,2500,1077,11482,Tumut - Tumbarumba
11303,905,370,1875,14640,18374,9169,8199,14120,6088,70590,Wagga Wagga
11401,1221,572,2566,12864,18958,11023,10178,15599,7637,76259,Shoalhaven
11402,529,239,1168,6849,9604,5452,4878,6297,2718,35798,Southern Highlands
11501,1105,423,2309,26602,28765,14202,11084,20979,4830,106462,Baulkham Hills
11502,237,63,493,4743,5305,2949,2468,3812,1056,20333,Dural - Wisemans Ferry
11503,91,47,233,3892,5128,2826,2395,3094,1648,18983,Hawkesbury
11504,58,36,156,4703,5476,2679,2216,3825,1201,20100,Rouse Hill - McGraths Hill
11601,868,297,1610,20733,23259,10746,9815,26364,7721,98638,Blacktown
11602,195,39,322,13067,15305,6623,5470,11785,3577,55827,Blacktown - North
11603,545,155,858,14802,15989,7075,7779,23816,7575,77036,Mount Druitt
11701,355,102,672,7126,7433,2948,2493,9230,2985,32215,Botany
11802,1425,466,2774,30018,26446,9699,6732,24692,11897,109484,Eastern Suburbs - South
11901,1669,675,3443,24186,25411,12165,12029,38652,12058,124501,Bankstown
