sa3_name16,sa3_code16,neg_nil_inc_hh_with_ind_psns,neg_nil_inc_other_households,neg_nil_income_tot_hhlds,hi1_149_hhd_with_indig_psns,hi1_149_other_households,hi1_149_tot_hhlds,hi150_299_hhd_with_indig_psns,hi150_299_other_households,hi150_299_tot_hhlds,hi300_399_hhd_with_indig_psns,hi300_399_other_households,hi300_399_tot_hhlds,hi400_499_hhd_with_indig_psns,hi400_499_other_households,hi400_499_tot_hhlds,hi500_649_hhd_with_indig_psns,hi500_649_other_households,hi500_649_tot_hhlds,hi650_799_hhd_with_indig_psns,hi650_799_other_households,hi650_799_tot_hhlds,hi800_999_hh_with_indig_psn,hi800_999_other_households,hi800_999_tot_hhlds,hi1000_1249_hh_with_indig_psn,hi1000_1249_other_households,hi1000_1249_tot_hhlds,hi1250_1499_hh_with_indig_psn,hi1250_1499_other_households,hi1250_1499_tot_hhlds,hi1500_1999_hh_with_indig_psn,hi1500_1999_other_households,hi1500_1999_tot_hhlds,hi2000_2499_hh_with_indig_psn,hi2000_2499_other_households,hi2000_2499_tot_hhlds,hi2500_2999_hh_with_indig_psn,hi2500_2999_other_households,hi2500_2999_tot_hhlds,hi3000_more_hh_with_indig_psn,hi3000_more_other_households,hi3000_more_tot_hhlds,part_inc_st_hh_with_indig_psn,partial_inc_stated_other_hhds,partial_inc_stated_tot_hhlds,all_inc_ns_hh_with_ind_psns,all_income_ns_other_household,all_inc_ns_tot_hhlds,tot_household_with_indig_psns,tot_other_households,tot_tot_hhlds
Queanbeyan,10102,9,167,170,4,91,102,28,267,292,29,429,461,36,940,973,25,606,638,46,964,1012,44,1030,1072,71,1342,1418,54,1262,1318,85,2290,2378,92,2285,2374,64,1507,1567,143,4614,4753,72,1496,1560,16,356,375,816,19644,20459
Snowy Mountains,10103,3,76,77,8,65,65,9,172,179,8,276,279,7,570,581,17,390,402,16,633,645,18,536,554,20,597,616,17,545,559,20,787,807,18,656,681,10,374,387,14,603,617,19,560,579,10,210,220,217,7041,7259
South Coast,10104,22,314,340,19,260,281,54,687,736,71,1102,1177,97,2986,3087,91,1719,1812,148,3033,3177,117,2442,2563,140,2737,2881,117,2276,2395,120,2489,2612,97,1853,1945,40,925,962,48,1333,1381,125,1923,2047,56,867,918,1351,26963,28317
Goulburn - Mulwaree,10105,5,145,152,9,126,130,17,295,314,24,492,520,40,1145,1190,39,653,684,42,1079,1116,35,980,1017,42,1055,1104,43,938,976,47,1419,1469,57,1173,1223,34,696,734,67,1134,1201,49,875,929,15,405,423,572,12607,13180
Young - Yass,10106,11,118,132,7,101,105,10,245,257,30,371,398,43,1040,1084,29,609,637,62,1018,1078,50,886,933,52,1035,1087,45,883,926,61,1365,1423,47,1121,1166,20,711,729,44,1691,1736,49,959,1008,19,382,400,575,12522,13102
Gosford,10201,27,730,760,13,397,414,51,1105,1154,86,1853,1945,114,4886,4991,116,3169,3289,160,4718,4880,159,4215,4374,194,4815,5014,178,4355,4532,264,6627,6889,234,6095,6330,147,3807,3954,260,7775,8036,222,4614,4843,59,1737,1798,2296,60899,63202
Wyong,10202,34,657,694,19,368,387,74,1066,1134,109,1812,1913,195,4839,5031,203,2933,3133,278,5110,5385,285,4111,4402,324,4600,4919,313,4122,4432,417,6242,6664,360,5058,5417,225,3075,3300,308,4569,4879,298,3838,4131,86,1935,2029,3524,54326,57847
Bathurst,10301,12,166,175,10,104,114,28,356,389,35,452,483,55,1230,1285,66,767,829,94,1162,1253,91,1042,1136,88,1293,1375,78,1222,1304,107,1825,1934,83,1530,1608,45,975,1015,71,1645,1718,95,1123,1217,42,400,439,992,15285,16280
Lachlan Valley,10302,28,236,269,22,167,184,90,503,591,111,861,968,173,1870,2042,163,988,1154,209,1848,2050,205,1451,1650,204,1697,1896,166,1356,1522,212,1842,2054,147,1491,1639,66,756,817,88,1273,1363,182,1308,1490,108,773,878,2169,18409,20578
Lithgow - Mudgee,10303,14,215,237,19,167,180,43,469,513,47,709,756,89,1744,1834,62,859,921,120,1544,1666,72,1155,1233,120,1284,1402,92,1019,1115,140,1475,1619,81,1335,1420,41,759,807,96,1471,1573,91,1122,1216,46,599,641,1187,15938,17128
Orange,10304,20,225,250,16,159,179,40,447,492,42,689,733,65,1494,1565,84,915,1002,106,1498,1607,103,1281,1381,125,1602,1727,119,1422,1542,146,2216,2356,129,1964,2099,57,1217,1272,108,2336,2446,121,1394,1514,53,548,604,1339,19421,20755
Clarence Valley,10401,18,213,228,10,174,179,51,488,537,67,718,783,110,2168,2276,100,1192,1288,121,2279,2397,130,1658,1795,139,1702,1839,113,1293,1405,138,1727,1859,93,1163,1250,53,589,645,53,854,908,134,1263,1397,44,611,649,1353,18089,19441
Coffs Harbour,10402,22,348,370,12,188,202,66,700,769,56,1163,1218,129,2823,2953,121,1798,1916,156,3060,3214,153,2611,2763,164,2867,3029,172,2455,2627,190,3288,3475,145,2477,2623,86,1393,1480,125,2124,2255,149,2207,2362,51,866,919,1810,30363,32171
Bourke - Cobar - Coonamble,10501,22,111,139,22,56,79,104,204,310,153,279,430,217,585,807,167,254,417,229,504,736,192,463,655,200,464,660,169,406,569,196,620,810,128,569,702,80,302,381,93,568,661,241,511,753,149,317,468,2370,6214,8581
Broken Hill and Far West,10502,12,77,83,12,45,55,30,229,256,40,364,404,78,859,936,59,431,487,72,693,764,84,518,603,79,581,656,48,446,499,90,670,764,64,513,582,31,304,332,58,509,563,80,503,586,37,369,410,878,7116,7995
Dubbo,10503,47,236,288,43,159,202,142,422,571,178,729,909,256,1800,2062,264,976,1241,356,1822,2182,333,1520,1858,374,1792,2160,313,1530,1843,444,2275,2718,358,1873,2230,184,1115,1298,213,1889,2100,381,1685,2066,170,771,938,4062,20600,24663
Lower Hunter,10601,30,320,350,13,183,188,66,597,670,64,930,993,140,2307,2441,139,1276,1417,207,2435,2637,180,1958,2136,215,2315,2529,204,2000,2202,279,3195,3470,248,2878,3126,147,1650,1805,215,3151,3365,195,2071,2266,92,723,819,2435,27988,30417
Maitland,10602,25,214,241,12,138,150,39,390,429,56,663,722,88,1682,1769,71,1051,1122,137,1896,2029,120,1687,1810,145,1952,2098,131,1824,1953,253,3009,3256,194,2746,2940,121,1784,1901,172,3060,3228,127,1836,1962,46,604,646,1723,24537,26258
Port Stephens,10603,21,309,326,10,187,195,34,476,510,59,758,814,77,2219,2294,75,1334,1410,105,2442,2550,131,1983,2113,156,2303,2457,128,1912,2040,199,2671,2865,147,2166,2318,85,1330,1414,114,2121,2235,141,1861,2005,30,721,753,1519,24773,26292
Upper Hunter,10604,10,135,145,13,91,107,33,225,264,33,332,364,49,792,842,63,452,511,84,806,884,79,687,765,82,781,861,68,691,759,89,1100,1187,91,1064,1158,53,609,664,82,1160,1242,89,708,794,27,356,384,937,9988,10929
Dapto - Port Kembla,10701,18,315,328,14,194,209,35,619,659,59,1031,1088,80,2244,2319,68,1205,1272,100,2366,2468,87,1733,1822,112,2044,2155,92,1803,1895,127,2882,3007,119,2515,2638,77,1576,1655,119,2513,2631,111,1741,1850,39,752,796,1253,25533,26788
Illawarra Catchment Reserve,10702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5
Kiama - Shellharbour,10703,6,317,323,12,176,186,35,492,525,43,898,940,59,2167,2228,60,1316,1376,108,2522,2628,90,2045,2136,109,2441,2549,101,2128,2224,184,3538,3723,143,3158,3302,98,2029,2127,154,3717,3867,131,2350,2483,40,670,707,1378,29951,31327
Wollongong,10704,16,727,742,14,374,384,56,1087,1141,51,1638,1691,84,3364,3449,63,1996,2063,106,3180,3283,91,2797,2885,92,3456,3552,108,2993,3103,127,4860,4989,140,4557,4692,98,3137,3237,172,7067,7239,106,3483,3591,32,1092,1129,1366,45800,47170
Great Lakes,10801,11,166,176,8,139,148,24,317,339,30,508,534,72,1575,1646,48,786,840,105,1640,1746,71,1129,1200,76,1196,1274,62,846,905,80,965,1049,52,684,733,14,359,368,34,532,561,61,785,845,24,527,557,761,12159,12919
Kempsey - Nambucca,10802,14,199,212,27,156,182,72,503,575,93,796,891,141,2025,2164,146,1115,1257,198,2113,2312,166,1537,1700,162,1547,1713,137,1209,1340,163,1478,1636,104,1007,1109,47,491,540,66,659,722,168,1085,1253,97,643,737,1795,16552,18344
Lord Howe Island,10803,0,0,0,0,0,0,0,0,0,0,4,4,0,7,7,0,3,3,0,11,14,0,8,8,0,14,14,0,10,12,0,20,20,0,20,20,0,9,9,0,13,13,0,14,14,0,3,3,3,130,132
Port Macquarie,10804,22,338,355,3,198,201,40,602,633,57,1110,1164,83,2949,3033,103,1789,1890,130,3309,3436,166,2507,2672,132,2737,2873,125,2308,2436,179,2855,3034,148,2297,2443,80,1299,1384,96,2110,2204,107,1885,1990,42,1068,1113,1512,29353,30864
Taree - Gloucester,10805,23,253,278,23,182,204,60,554,616,85,836,918,126,2301,2427,111,1268,1383,183,2427,2606,141,1787,1927,158,1865,2020,134,1504,1638,162,1866,2027,87,1171,1258,36,670,703,46,835,881,120,1335,1456,75,659,728,1571,19505,21079
Albury,10901,15,246,259,13,168,183,41,539,579,50,826,871,64,1860,1927,49,1243,1288,81,1916,1995,59,1799,1856,64,1972,2039,70,1816,1887,78,2530,2611,57,2107,2163,33,1231,1261,33,1934,1967,55,1513,1565,36,645,688,796,22350,23140
Lower Murray,10902,13,62,73,9,41,51,23,102,123,24,154,179,32,352,386,26,197,226,38,374,418,27,324,354,30,361,388,37,332,368,30,425,456,15,356,368,14,175,188,11,290,303,34,369,406,29,190,220,398,4104,4502
Upper Murray exc. Albury,10903,4,231,235,4,135,139,28,405,437,28,571,601,42,1604,1643,33,875,906,61,1584,1641,35,1277,1309,44,1488,1534,60,1197,1260,49,1588,1637,39,1268,1311,24,663,684,28,922,950,43,1117,1158,27,727,751,561,15641,16202
Armidale,11001,21,160,175,13,96,108,46,317,359,49,416,462,77,999,1075,82,687,768,90,1112,1198,101,941,1039,81,1057,1141,83,938,1015,117,1430,1552,48,1146,1191,32,585,622,32,1088,1115,83,905,990,65,327,393,1016,12192,13211
Inverell - Tenterfield,11002,16,238,255,16,154,167,58,429,492,69,644,706,120,1695,1818,86,793,872,142,1576,1718,128,1144,1275,117,1193,1307,96,1047,1142,118,1196,1314,59,836,888,25,407,438,37,567,602,91,948,1032,51,560,606,1221,13417,14635
Moree - Narrabri,11003,22,106,130,20,57,72,100,155,254,101,220,312,130,521,649,102,295,396,138,536,674,124,491,617,147,622,765,113,576,692,159,876,1034,104,754,855,47,406,457,70,763,828,153,586,739,113,322,431,1636,7273,8915
Tamworth - Gunnedah,11004,41,283,324,38,152,183,110,565,672,148,917,1067,238,2268,2512,250,1366,1617,304,2350,2651,321,1941,2262,340,2304,2643,317,1934,2249,410,2913,3325,289,2478,2765,144,1377,1521,189,2305,2499,314,1907,2218,168,866,1035,3629,25921,29544
Lake Macquarie - East,11101,20,418,442,26,246,272,47,783,825,80,1380,1457,107,3688,3794,129,1915,2047,164,3651,3820,169,2908,3070,184,3491,3675,152,3037,3192,252,4640,4890,199,4350,4543,136,2899,3034,220,5626,5848,147,3019,3163,48,1015,1067,2076,43068,45146
Lake Macquarie - West,11102,20,260,285,17,149,164,34,459,496,46,750,799,85,2048,2133,90,1215,1302,121,2298,2415,131,1863,1996,159,2244,2406,134,1974,2106,191,2975,3159,185,2543,2730,106,1671,1773,165,2500,2660,159,1840,2002,34,679,712,1678,25464,27146
Newcastle,11103,35,742,778,24,349,378,107,1397,1500,142,2163,2306,173,4627,4802,183,2761,2940,238,4453,4690,215,4017,4234,228,4807,5039,251,4334,4587,372,6743,7119,303,6125,6428,169,3943,4109,271,8005,8275,231,4321,4559,63,1414,1475,3008,60198,63212
