sa3_code16,p_oth_scs_15_19,p_oth_scs_20_24,p_oth_scs_25_34,p_oth_scs_35_44,p_oth_scs_45_54,p_oth_scs_55_64,p_oth_scs_65_74,p_oth_scs_75_84,p_oth_scs_85ov,p_oth_scs_tot,p_id_ns_15_19,p_id_ns_20_24,p_id_ns_25_34,p_id_ns_35_44,p_id_ns_45_54,p_id_ns_55_64,p_id_ns_65_74,p_id_ns_75_84,p_id_ns_85ov,p_id_ns_tot,p_tot_15_19,p_tot_20_24,p_tot_25_34,p_tot_35_44,p_tot_45_54,p_tot_55_64,p_tot_65_74,p_tot_75_84,p_tot_85ov,p_tot_tot,sa3_name16
70204,7,27,51,70,62,31,9,0,0,265,16,21,48,45,30,13,0,3,0,181,115,223,848,933,811,501,97,8,0,3543,East Arnhem
70205,13,42,93,75,59,52,9,0,0,342,20,41,54,61,51,34,14,4,0,284,279,593,1649,1214,1277,850,253,28,0,6140,Katherine
80101,77,205,353,335,274,180,59,3,0,1482,73,162,325,288,196,130,49,11,7,1244,2358,5144,12348,11694,9140,5776,1478,124,19,48085,Belconnen
80103,0,3,0,3,5,0,0,0,0,17,0,0,3,3,12,4,3,0,0,25,18,45,89,80,142,97,35,4,0,508,Canberra East
80104,71,137,350,308,192,92,23,0,0,1163,65,98,336,315,169,74,18,11,0,1076,1974,3472,11456,10973,7269,3047,561,38,4,38798,Gungahlin
80105,34,119,186,114,117,61,23,0,0,653,35,114,192,113,95,50,19,3,3,627,1607,4495,8615,5365,4579,2578,564,79,14,27899,North Canberra
80106,7,27,89,73,70,64,23,3,0,351,7,28,63,48,75,48,30,6,5,317,465,1054,3824,2923,3167,2108,671,114,18,14339,South Canberra
80107,100,193,377,291,320,224,62,9,0,1580,94,153,302,275,279,184,59,3,8,1357,2803,4260,9322,9512,10505,7105,1313,84,11,44909,Tuggeranong
80108,18,22,52,68,70,52,20,4,0,309,11,27,45,55,46,22,19,6,0,224,551,718,1987,2856,2581,1500,491,54,4,10738,Weston Creek
80109,23,64,75,93,102,74,27,3,0,460,13,34,97,88,90,52,23,5,5,410,858,1402,3707,3883,3998,2376,662,93,10,16981,Woden Valley
80110,4,12,21,13,13,3,0,0,0,67,5,7,26,11,12,4,0,0,0,61,81,291,1151,761,347,152,31,3,0,2822,Molonglo
80111,0,3,0,3,0,0,0,0,0,7,3,0,0,3,7,0,0,0,0,13,21,23,70,97,63,44,8,7,0,337,Urriarra - Namadgi
90101,0,0,4,3,6,3,0,0,0,19,0,0,3,6,6,8,4,0,0,39,9,48,155,163,197,161,81,4,0,820,Christmas Island
90102,0,0,0,3,0,0,0,0,0,5,0,7,0,9,10,7,3,0,0,32,7,17,43,50,48,51,13,0,0,222,Cocos (Keeling) Islands
90103,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,8,11,19,32,31,29,8,0,0,0,135,Jervis Bay
90104,0,0,0,3,12,9,3,0,0,31,0,0,3,7,11,5,7,0,0,37,46,28,98,200,235,223,111,29,4,975,Norfolk Island
