gml_id,sa3_code16,onemeth_train_m,onemeth_train_f,onemeth_train_p,onemeth_bus_m,onemeth_bus_f,onemeth_bus_p,onemeth_ferry_m,onemeth_ferry_f,onemeth_ferry_p,onemeth_tram_inc_lt_rail_m,onemeth_tram_inc_lt_rail_f,onemeth_tram_inc_lt_rail_p,onemeth_taxi_m,onemeth_taxi_f,onemeth_taxi_p,onemeth_car_as_driver_m,onemeth_car_as_driver_f,onemeth_car_as_driver_p,onemeth_car_as_passenger_m,onemeth_car_as_passenger_f,onemeth_car_as_passenger_p,onemeth_truck_m,onemeth_truck_f,onemeth_truck_p,onemeth_motorbike_scooter_m,onemeth_motorbike_scooter_f,onemeth_motorbike_scooter_p,onemeth_bicycle_m,onemeth_bicycle_f,onemeth_bicycle_p,onemeth_other_m,onemeth_other_f,onemeth_other_p,onemeth_walked_only_m,onemeth_walked_only_f,onemeth_walked_only_p,onemeth_tot_onemeth_m,onemeth_tot_onemeth_f,onemeth_tot_onemeth_p,twometh_train_bus_m,twometh_train_bus_f,twometh_train_bus_p,twometh_train_ferry_m,twometh_train_ferry_f,twometh_train_ferry_p,twometh_trn_trm_inc_lt_rl_m,twometh_trn_trm_inc_lt_rl_f,twometh_trn_trm_inc_lt_rl_p,twometh_train_car_as_drvr_m,twometh_train_car_as_drvr_f,twometh_train_car_as_drvr_p,twometh_trn_car_as_pass_m,twometh_trn_car_as_pass_f,twometh_trn_car_as_pass_p,twometh_train_other_m,twometh_train_other_f,twometh_train_other_p,twometh_train_tot_m,twometh_train_tot_f,twometh_train_tot_p,twometh_bus_ferry_m,twometh_bus_ferry_f,twometh_bus_ferry_p,twometh_bus_trm_inc_lt_rl_m,twometh_bus_trm_inc_lt_rl_f,twometh_bus_trm_inc_lt_rl_p,twometh_bus_car_as_driver_m,twometh_bus_car_as_driver_f,twometh_bus_car_as_driver_p,twometh_bus_car_as_pass_m,twometh_bus_car_as_pass_f,twometh_bus_car_as_pass_p,twometh_bus_other_m,twometh_bus_other_f,twometh_bus_other_p,twometh_bus_tot_m,twometh_bus_tot_f,twometh_bus_tot_p,twometh_other_twometh_m,twometh_other_twometh_f,twometh_other_twometh_p,twometh_tot_twometh_m,twometh_tot_twometh_f,twometh_tot_twometh_p,threemeth_trn_2_othr_mthd_m,threemeth_trn_2_othr_mthd_f,threemeth_trn_2_othr_mthd_p,thremth_bu_2_ot_met_exc_tra_m,thremth_bu_2_ot_met_exc_tra_f,thremth_bu_2_ot_met_exc_tra_p,threemeth_oth_threemeth_m,threemeth_oth_threemeth_f,threemeth_oth_threemeth_p,threemeth_tot_threemeth_m,threemeth_tot_threemeth_f,threemeth_tot_threemeth_p,worked_home_m,worked_home_f,worked_home_p,did_not_go_to_work_m,did_not_go_to_work_f,did_not_go_to_work_p,meth_travel_to_work_ns_m,meth_travel_to_work_ns_f,meth_travel_to_work_ns_p,tot_m,tot_f,tot_p,sa3_name16
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p44_method_of_travel_to_work_by_sex_census_2016.fid-5ff86f36_1724bdf6fd3_6cc7,"12002","329","299","620","2493","3148","5643","409","307","716","353","331","685","72","93","168","6078","5595","11672","258","617","873","97","3","97","384","71","459","679","201","875","101","79","175","694","932","1626","11947","11668","23622","441","505","943","39","33","80","46","41","87","42","43","81","11","22","31","20","9","27","597","652","1255","73","70","138","49","36","83","31","48","76","21","44","67","49","36","87","217","230","448","145","95","240","961","980","1937","114","69","182","35","27","62","12","9","19","159","108","266","830","1127","1952","722","1442","2161","113","86","201","14730","15412","30140",Leichhardt
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p44_method_of_travel_to_work_by_sex_census_2016.fid-5ff86f36_1724bdf6fd3_6cc8,"12003","10385","9715","20105","1069","1650","2718","9","3","15","325","359","686","88","43","134","17540","12265","29803","814","1544","2358","372","11","379","436","53","491","530","154","687","214","126","344","1180","1510","2695","32964","27435","60402","1816","1998","3810","27","15","46","116","83","192","421","298","720","131","252","383","137","77","213","2645","2718","5356","0","0","0","15","37","55","44","62","106","20","56","75","16","14","29","99","168","267","210","149","361","2951","3038","5987","286","304","593","12","12","27","5","7","11","308","325","634","1113","1508","2624","2088","3373","5467","396","302","696","39829","35976","75804",Strathfield - Burwood - Ashfield
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p44_method_of_travel_to_work_by_sex_census_2016.fid-5ff86f36_1724bdf6fd3_6cc9,"12101","4555","4177","8731","3915","3897","7814","112","57","161","6","4","8","84","59","146","12327","9526","21847","539","1208","1742","119","7","126","438","54","491","499","69","568","156","111","270","1841","2054","3889","24577","21216","45793","800","845","1647","19","6","22","7","3","13","226","156","379","47","106","152","64","39","103","1160","1154","2314","12","4","17","3","0","3","100","92","196","37","74","109","50","35","90","203","208","408","157","104","257","1520","1459","2982","135","119","253","17","14","34","3","3","7","157","133","290","1520","1824","3348","1416","2777","4193","191","172","361","29385","27577","56964",Chatswood - Lane Cove
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p44_method_of_travel_to_work_by_sex_census_2016.fid-5ff86f36_1724bdf6fd3_6cca,"12102","5013","4021","9030","100","177","278","0","3","3","3","3","9","18","6","24","10103","8410","18509","423","806","1235","217","3","221","178","13","195","108","16","122","96","47","143","607","749","1358","16871","14263","31130","565","499","1066","4","4","5","11","3","18","728","518","1245","155","207","366","107","27","137","1567","1264","2836","0","0","0","0","0","0","18","6","24","7","16","26","0","0","0","29","22","51","112","77","192","1703","1367","3073","177","158","335","3","3","7","3","0","6","191","160","354","921","1135","2054","1146","2256","3403","142","106","247","20977","19290","40261",Hornsby
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p44_method_of_travel_to_work_by_sex_census_2016.fid-5ff86f36_1724bdf6fd3_6ccb,"12103","5502","4485","9994","614","519","1132","0","3","4","0","3","9","47","23","77","13887","11967","25852","474","1119","1591","134","7","141","257","12","266","281","36","316","161","95","254","482","668","1151","21851","18931","40785","756","589","1347","0","0","0","3","3","8","1107","754","1869","197","311","514","84","22","106","2150","1684","3841","0","0","0","0","0","0","52","32","80","10","24","31","6","0","9","71","55","120","125","82","207","2345","1821","4163","192","163","356","7","5","7","13","5","13","214","165","377","2068","2522","4595","1545","2832","4376","157","144","292","28176","26409","54587",Ku-ring-gai
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p44_method_of_travel_to_work_by_sex_census_2016.fid-5ff86f36_1724bdf6fd3_6ccc,"12104","3193","3148","6343","4309","4878","9189","644","433","1078","0","4","4","142","121","256","9375","8123","17494","404","944","1351","60","3","62","447","59","508","447","99","552","196","139","331","2308","2545","4847","21530","20492","42021","731","839","1569","157","158","312","9","9","12","52","46","95","36","64","97","54","26","82","1034","1140","2172","170","141","312","0","0","0","70","53","116","23","42","67","55","57","107","321","287","607","173","110","280","1521","1532","3056","234","193","426","40","31","65","13","5","21","288","232","516","1673","1865","3531","1100","2226","3318","166","187","358","26276","26528","52805",North Sydney - Mosman
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p44_method_of_travel_to_work_by_sex_census_2016.fid-5ff86f36_1724bdf6fd3_6ccd,"12201","20","26","51","1350","1423","2776","1363","1000","2363","0","0","0","28","20","49","4741","3940","8682","225","367","591","67","0","67","287","45","333","282","104","386","81","56","137","510","615","1128","8960","7599","16560","113","103","213","321","326","643","0","0","0","6","0","7","4","4","5","3","0","3","441","446","882","151","133","279","0","0","0","34","49","79","25","40","62","9","8","19","218","228","450","197","95","288","853","764","1620","151","127","277","24","19","44","11","3","13","187","143","330","766","934","1701","550","1087","1635","91","97","182","11402","10620","22019",Manly
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p44_method_of_travel_to_work_by_sex_census_2016.fid-5ff86f36_1724bdf6fd3_6cce,"12202","29","19","57","980","966","1941","5","15","18","0","0","0","18","7","28","9885","8533","18417","380","592","975","278","5","284","239","23","265","134","27","160","123","60","178","397","468","859","12470","10710","23180","77","52","127","0","0","0","0","0","0","85","32","121","6","13","19","0","0","0","171","104","274","10","5","18","0","0","0","94","92","181","32","45","72","17","12","33","147","153","298","188","95","280","508","347","848","33","29","65","12","14","22","9","3","14","57","48","96","1210","1676","2883","807","1485","2289","131","139","272","15170","14403","29575",Pittwater
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p44_method_of_travel_to_work_by_sex_census_2016.fid-5ff86f36_1724bdf6fd3_6ccf,"12203","106","83","188","4773","5030","9799","182","147","333","3","3","9","86","56","138","23142","19973","43112","1143","1717","2857","599","14","611","888","112","1004","624","133","755","222","111","335","1050","1206","2248","32816","28573","61390","544","513","1054","5","23","30","0","0","0","125","77","208","14","32","49","9","0","9","701","643","1349","186","135","321","0","0","3","278","233","510","94","168","257","49","37","85","612","574","1188","452","201","652","1770","1417","3183","238","181","419","64","53","121","13","8","23","322","238","560","1869","2690","4561","2090","3962","6050","322","284","603","39180","37169","76347",Warringah
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p44_method_of_travel_to_work_by_sex_census_2016.fid-5ff86f36_1724bdf6fd3_6cd0,"12301","428","368","799","88","128","214","0","0","0","0","3","4","7","5","20","12479","10644","23118","617","698","1312","366","3","364","105","8","114","52","13","58","81","35","115","125","124","250","14345","12028","26375","121","103","225","0","0","3","0","0","0","507","391","900","35","67","103","6","0","6","674","567","1243","0","0","0","0","0","0","5","12","15","3","22","24","0","0","0","13","31","40","104","52","155","785","654","1438","71","65","136","0","7","6","3","0","3","75","72","146","347","780","1125","1001","1835","2838","118","119","235","16675","15485","32162",Camden
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p44_method_of_travel_to_work_by_sex_census_2016.fid-5ff86f36_1724bdf6fd3_6cd1,"12302","3958","3670","7628","250","405","657","4","0","4","3","7","12","76","27","104","24346","18208","42553","1648","1924","3569","750","11","758","254","22","275","81","17","100","156","79","231","379","420","802","31891","24798","56692","740","747","1487","10","4","7","14","15","28","826","711","1535","176","321","495","72","25","101","1833","1822","3655","0","0","0","0","0","0","5","20","23","37","51","89","3","4","8","44","80","125","220","125","346","2096","2026","4125","283","280","562","7","5","8","5","3","10","290","290","581","561","1035","1593","2136","3240","5375","445","322","764","37421","31705","69131",Campbelltown (NSW)
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p44_method_of_travel_to_work_by_sex_census_2016.fid-5ff86f36_1724bdf6fd3_6cd2,"12303","175","147","321","20","26","46","0","0","0","0","0","0","8","0","9","7587","6363","13947","393","312","707","502","16","520","57","3","61","14","5","20","42","19","63","160","135","296","8960","7030","15993","12","15","31","0","0","0","0","0","0","200","141","344","21","30","52","0","0","0","239","183","422","0","0","0","0","0","0","0","0","4","4","3","11","0","0","0","9","3","11","56","19","78","299","209","505","24","17","44","0","3","3","4","3","11","30","22","52","390","686","1070","730","1288","2017","128","99","229","10539","9342","19882",Wollondilly
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p44_method_of_travel_to_work_by_sex_census_2016.fid-5ff86f36_1724bdf6fd3_6cd3,"12401","1552","1254","2805","35","72","110","3","0","3","0","0","3","36","29","65","11132","10437","21570","483","703","1187","353","9","361","166","12","177","95","24","116","114","47","158","436","457","893","14399","13051","27449","157","120","277","0","0","0","9","3","11","321","243","566","59","74","129","74","18","92","616","460","1076","0","0","0","0","0","0","10","3","14","3","3","9","3","0","3","13","8","24","109","68","179","742","538","1279","87","81","167","0","0","0","5","0","5","96","81","176","1072","1348","2416","1513","2502","4014","133","115","250","17942","17644","35588",Blue Mountains
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p44_method_of_travel_to_work_by_sex_census_2016.fid-5ff86f36_1724bdf6fd3_6cd4,"12402","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","3",Blue Mountains - South
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p44_method_of_travel_to_work_by_sex_census_2016.fid-5ff86f36_1724bdf6fd3_6cd5,"12403","2010","1976","3992","172","344","511","6","0","5","3","3","4","37","21","57","25125","20633","45759","1553","1643","3195","1190","19","1206","286","22","306","116","25","138","154","75","226","473","508","974","31124","25261","56388","457","474","930","0","0","0","15","0","15","785","728","1512","114","190","299","49","17","67","1417","1415","2827","0","0","0","0","0","0","16","13","31","25","36","63","8","6","13","53","58","110","292","101","393","1760","1575","3329","214","176","392","0","3","3","9","3","12","225","184","404","744","1483","2233","2084","3876","5961","285","232","517","36228","32608","68836",Penrith
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p44_method_of_travel_to_work_by_sex_census_2016.fid-5ff86f36_1724bdf6fd3_6cd6,"12404","275","308","582","25","43","67","0","0","0","0","0","0","3","9","8","6448","5326","11777","385","375","759","467","8","469","91","7","96","82","14","92","54","32","84","274","195","477","8101","6321","14424","45","36","77","0","0","0","0","0","0","90","108","192","22","19","43","10","3","11","159","166","329","0","0","0","0","0","0","5","10","10","0","0","0","4","0","4","7","13","20","85","29","108","249","205","456","19","29","49","0","0","0","3","0","7","17","33","49","263","450","716","494","913","1406","94","66","154","9220","7983","17206",Richmond - Windsor
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p44_method_of_travel_to_work_by_sex_census_2016.fid-5ff86f36_1724bdf6fd3_6cd7,"12405","636","714","1353","109","147","253","3","0","3","3","3","7","21","10","23","9706","7441","17143","720","716","1434","387","3","390","111","17","126","37","4","45","65","32","94","117","115","231","11898","9201","21096","234","221","450","0","0","0","3","0","7","232","227","460","34","98","132","16","4","27","520","552","1068","0","0","0","0","0","0","11","5","11","6","20","26","3","4","9","18","31","47","89","38","124","634","614","1243","86","94","179","0","0","4","0","0","4","92","91","180","163","351","514","680","1111","1788","143","122","261","13601","11488","25089",St Marys
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p44_method_of_travel_to_work_by_sex_census_2016.fid-5ff86f36_1724bdf6fd3_6cd8,"12501","4102","3611","7714","236","280","517","61","44","105","18","12","24","88","23","113","12835","6258","19095","815","1060","1877","253","10","261","102","5","108","115","30","150","147","62","206","530","496","1030","19295","11891","31191","823","835","1659","21","11","39","23","18","42","338","216","561","102","157","256","46","20","65","1355","1263","2612","6","11","18","0","0","0","13","7","22","8","14","22","8","0","11","32","37","66","166","69","234","1546","1368","2918","184","169","356","5","3","14","5","0","8","198","177","375","366","550","919","976","1249","2226","308","184","494","22688","15429","38110",Auburn
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p44_method_of_travel_to_work_by_sex_census_2016.fid-5ff86f36_1724bdf6fd3_6cd9,"12502","952","871","1826","656","789","1451","17","9","23","3","0","3","17","7","26","10223","7753","17980","387","840","1226","195","0","202","178","21","194","92","13","100","77","43","122","190","209","399","12993","10557","23547","558","521","1081","4","0","7","0","0","0","423","297","719","80","146","225","25","5","31","1090","965","2058","0","0","0","0","0","0","95","67","163","31","53","83","10","5","13","136","125","256","79","72","145","1303","1162","2462","157","149","305","3","3","9","4","0","4","162","155","314","501","771","1272","852","1365","2215","141","104","244","15948","14105","30054",Carlingford
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p44_method_of_travel_to_work_by_sex_census_2016.fid-5ff86f36_1724bdf6fd3_6cda,"12503","3242","2962","6202","505","837","1341","0","3","7","4","6","11","106","28","134","21213","13039","34255","1396","1752","3146","765","20","784","152","6","160","114","18","133","227","108","335","408","446","853","28133","19227","47358","760","849","1603","0","3","3","14","14","30","496","337","835","101","178","287","33","18","52","1403","1402","2802","0","0","0","0","0","0","28","50","74","11","57","72","6","3","8","39","110","152","221","86","310","1668","1601","3266","188","219","407","0","10","10","11","0","11","201","228","424","480","1032","1511","1486","2152","3643","522","328","848","32493","24565","57058",Merrylands - Guildford
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p44_method_of_travel_to_work_by_sex_census_2016.fid-5ff86f36_1724bdf6fd3_6cdb,"12504","6903","4788","11687","1786","2038","3824","8","0","6","11","6","18","107","41","148","19612","12324","31930","849","1528","2381","379","3","379","248","30","271","196","57","254","206","91","305","1526","1618","3145","31829","22526","54355","1581","1465","3047","6","3","7","47","31","84","359","209","567","80","161","245","78","37","119","2157","1910","4067","0","0","0","0","0","0","142","116","253","44","82","123","20","10","30","209","206","413","190","82","269","2552","2199","4751","239","263","507","14","0","17","9","3","8","255","276","528","750","1094","1852","1810","2689","4507","373","227","597","37578","29012","66591",Parramatta
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p44_method_of_travel_to_work_by_sex_census_2016.fid-5ff86f36_1724bdf6fd3_6cdc,"12601","2725","2320","5043","405","319","721","0","3","3","3","7","8","13","11","22","5955","4839","10794","184","497","677","73","0","76","109","14","122","92","10","100","40","35","76","204","227","429","9805","8263","18068","378","353","728","0","0","0","12","10","22","239","150","387","68","121","193","35","9","47","741","644","1389","0","0","0","0","0","0","21","24","42","3","16","23","0","0","3","28","41","70","44","45","92","817","731","1547","93","74","168","4","3","7","0","3","3","96","75","172","563","696","1263","652","1142","1793","83","56","141","12015","10961","22979",Pennant Hills - Epping
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p44_method_of_travel_to_work_by_sex_census_2016.fid-5ff86f36_1724bdf6fd3_6cdd,"12602","3666","3578","7244","3000","3537","6537","248","171","416","3","3","4","75","64","136","18389","14067","32458","716","1576","2296","328","7","332","430","39","462","333","56","385","165","109","275","1296","1311","2608","28649","24511","53156","873","966","1840","23","18","42","15","11","29","315","196","513","60","155","223","45","23","65","1333","1371","2709","32","18","51","4","0","4","141","156","297","37","105","145","30","16","48","248","294","540","241","154","393","1820","1823","3638","191","158","350","24","13","35","15","4","20","230","180","409","1251","1631","2882","1787","3153","4936","265","235","502","33991","31531","65523",Ryde - Hunters Hill
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p44_method_of_travel_to_work_by_sex_census_2016.fid-5ff86f36_1724bdf6fd3_6cde,"12701","785","822","1609","256","385","646","3","0","4","0","0","0","30","6","43","17138","12667","29798","962","1263","2226","906","15","915","90","9","101","38","3","43","124","53","175","199","206","404","20529","15439","35964","270","261","530","0","0","0","0","0","0","603","473","1079","58","147","206","7","0","11","946","893","1835","0","0","0","0","0","0","29","39","65","22","42","60","7","4","7","55","82","137","201","102","304","1193","1076","2269","121","151","269","4","9","12","3","0","3","130","159","285","613","1055","1662","1067","1860","2930","363","299","656","23892","19882","43773",Bringelly - Green Valley
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p44_method_of_travel_to_work_by_sex_census_2016.fid-5ff86f36_1724bdf6fd3_6cdf,"12702","2455","2534","4988","408","659","1069","9","0","6","5","6","11","43","22","66","26228","17414","43636","1904","2746","4652","1112","21","1130","138","12","153","112","17","130","226","96","324","448","682","1133","33080","24216","57298","630","734","1361","0","0","0","10","7","19","732","498","1229","140","294","427","22","7","28","1532","1545","3074","3","0","3","0","0","0","37","49","89","31","53","81","5","10","16","78","109","193","294","192","491","1909","1851","3756","218","244","465","0","10","9","3","4","5","228","256","482","560","1074","1632","1553","2363","3912","525","360","883","37859","30114","67966",Fairfield
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p44_method_of_travel_to_work_by_sex_census_2016.fid-5ff86f36_1724bdf6fd3_6ce0,"12703","2213","2142","4355","261","413","672","3","0","5","4","0","4","51","22","73","17900","12365","30264","945","1209","2157","484","12","496","177","13","192","116","17","131","166","81","243","686","687","1372","23011","16954","39966","397","471","867","3","0","5","12","8","21","653","514","1165","86","226","315","30","11","41","1177","1239","2414","0","0","0","0","0","0","20","30","52","10","59","69","3","3","6","31","87","122","157","70","227","1364","1392","2762","167","160","328","3","0","3","6","0","7","184","160","343","448","832","1279","1248","2051","3296","331","244","576","26581","21639","48217",Liverpool
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p44_method_of_travel_to_work_by_sex_census_2016.fid-5ff86f36_1724bdf6fd3_6ce1,"12801","2885","3020","5906","93","151","248","8","5","15","3","3","4","28","41","66","18719","15257","33977","801","1131","1936","486","6","495","247","16","259","203","47","248","127","68","198","589","934","1524","24194","20675","44872","235","270","499","8","7","21","13","15","24","508","449","962","74","162","240","36","12","49","873","917","1788","0","0","0","0","0","0","12","19","27","8","10","13","0","0","5","22","26","44","188","97","288","1084","1043","2127","98","99","197","0","5","5","3","0","8","104","104","211","1042","1660","2707","1727","3010","4734","255","222","479","28415","26706","55122",Cronulla - Miranda - Caringbah
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p44_method_of_travel_to_work_by_sex_census_2016.fid-5ff86f36_1724bdf6fd3_6ce2,"12802","3600","3356","6953","112","128","241","0","0","0","3","4","10","25","24","50","18144","15562","33713","718","938","1656","527","9","532","182","10","194","149","28","176","116","52","171","315","450","764","23897","20556","44455","413","347","757","3","0","4","8","9","17","1010","870","1882","111","226","333","67","32","99","1612","1474","3086","0","0","0","0","0","4","3","17","16","6","16","26","3","4","7","16","39","53","167","86","249","1794","1594","3387","150","137","280","0","0","0","3","0","3","154","141","287","879","1457","2334","1855","3414","5269","171","145","320","28744","27308","56054",Sutherland - Menai - Heathcote
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p44_method_of_travel_to_work_by_sex_census_2016.fid-5ff86f36_1724bdf6fd3_6ce3,"20101","325","193","522","153","212","366","10","3","15","3","9","13","57","54","115","17038","15148","32182","1067","1259","2331","225","3","233","87","12","95","241","52","296","109","45","155","642","638","1277","19968","17630","37599","14","16","28","0","0","0","21","15","39","108","65","171","15","15","24","24","3","23","177","108","286","0","0","0","0","0","0","5","12","20","13","32","41","3","3","4","25","40","64","138","86","223","341","232","574","53","63","116","6","7","10","9","0","9","69","66","140","706","948","1654","1721","3348","5071","228","212","440","23042","22442","45477",Ballarat
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p44_method_of_travel_to_work_by_sex_census_2016.fid-5ff86f36_1724bdf6fd3_6ce4,"20102","98","85","184","18","14","36","3","0","3","5","0","4","4","4","7","4149","3520","7672","212","230","438","159","3","158","33","3","31","22","10","26","42","37","78","228","174","403","4969","4076","9047","7","8","11","0","0","0","8","6","15","74","49","121","8","16","20","3","0","0","93","80","174","0","0","0","0","0","0","0","0","0","3","0","3","3","0","3","9","0","7","45","21","65","149","99","245","35","42","73","0","0","0","0","0","0","38","42","83","619","590","1211","547","948","1496","110","83","194","6431","5849","12282",Creswick - Daylesford - Ballan
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p44_method_of_travel_to_work_by_sex_census_2016.fid-5ff86f36_1724bdf6fd3_6ce5,"20103","8","9","16","8","5","12","0","0","3","0","0","0","3","5","3","3309","2768","6080","184","215","401","109","8","117","11","4","17","30","15","41","44","11","58","217","148","359","3925","3191","7107","0","3","4","0","0","0","0","0","0","9","7","13","0","0","0","3","0","3","16","11","21","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","3","25","6","32","42","21","60","4","0","8","4","0","4","3","0","3","8","0","9","393","315","705","397","663","1065","74","66","140","4833","4258","9089",Maryborough - Pyrenees
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p44_method_of_travel_to_work_by_sex_census_2016.fid-5ff86f36_1724bdf6fd3_6ce6,"20201","113","74","185","183","195","379","6","7","16","10","4","9","39","44","80","15531","13884","29409","971","1221","2196","241","11","252","154","28","184","293","70","363","94","42","142","639","666","1307","18271","16244","34520","11","9","19","0","0","0","6","3","6","31","28","58","9","0","9","7","0","4","58","38","100","0","0","0","0","0","0","9","5","20","10","18","27","15","6","22","35","27","69","172","96","260","268","160","426","21","12","32","5","4","13","11","4","13","35","23","54","542","750","1293","1628","3072","4702","195","174","371","20931","20428","41362",Bendigo
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p44_method_of_travel_to_work_by_sex_census_2016.fid-5ff86f36_1724bdf6fd3_6ce7,"20202","371","272","649","26","18","42","4","0","6","3","0","6","5","6","11","6660","5763","12429","376","403","781","171","9","180","36","0","39","83","35","122","62","32","90","346","291","637","8146","6836","14984","13","10","21","0","0","0","23","19","43","99","62","161","10","18","27","28","11","47","176","122","304","0","0","0","0","0","0","4","0","5","6","0","3","0","0","0","4","0","6","60","34","96","250","160","404","53","66","124","0","0","0","3","0","5","60","69","127","807","894","1694","904","1552","2460","123","128","250","10280","9644","19922",Heathcote - Castlemaine - Kyneton
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p44_method_of_travel_to_work_by_sex_census_2016.fid-5ff86f36_1724bdf6fd3_6ce8,"20203","3","3","7","8","4","8","0","0","0","0","0","0","0","0","0","1522","1197","2719","57","77","137","58","0","63","19","0","19","10","4","16","30","11","39","179","132","306","1893","1436","3325","0","0","0","0","0","0","0","0","0","0","0","4","0","0","0","0","0","0","3","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","16","6","19","14","10","25","0","0","0","0","0","0","4","0","4","6","0","6","384","299","679","127","278","411","42","34","70","2467","2051","4518",Loddon - Elmore
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p44_method_of_travel_to_work_by_sex_census_2016.fid-5ff86f36_1724bdf6fd3_6ce9,"20301","30","13","46","15","13","35","0","0","0","0","3","3","0","0","0","3482","2731","6219","164","129","289","95","3","102","13","3","16","17","4","24","37","5","37","115","78","192","3959","2990","6946","0","0","0","0","0","0","0","0","0","27","11","42","3","0","3","0","0","0","29","17","45","0","0","0","0","0","0","3","4","4","0","3","3","0","0","0","4","6","9","25","17","39","64","39","102","17","7","28","0","0","0","0","0","0","22","7","25","377","351","736","341","683","1026","63","65","130","4830","4136","8971",Barwon - West
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p44_method_of_travel_to_work_by_sex_census_2016.fid-5ff86f36_1724bdf6fd3_6cea,"20302","1221","730","1953","474","611","1093","20","8","26","15","17","29","101","73","175","30670","26660","57327","1826","2343","4169","418","9","428","206","25","233","589","166","752","200","97","303","1061","1186","2254","36810","31934","68744","77","58","131","0","0","0","68","69","141","333","225","559","40","31","70","65","11","80","582","392","977","0","0","0","0","0","0","37","34","77","28","59","88","14","9","22","75","107","185","292","176","473","955","680","1631","213","180","397","13","14","26","18","11","30","249","205","447","1173","1637","2807","3123","5919","9044","414","337","753","42721","40710","83423",Geelong
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p44_method_of_travel_to_work_by_sex_census_2016.fid-5ff86f36_1724bdf6fd3_6ceb,"20303","236","146","391","87","107","193","3","0","5","13","13","24","7","3","10","11402","10006","21408","497","589","1090","191","4","193","64","3","67","130","51","181","80","47","126","333","354","690","13040","11339","24374","9","7","20","0","0","0","7","5","15","219","114","330","3","10","18","7","0","3","239","143","386","0","0","0","0","0","0","9","22","35","7","18","28","3","4","4","23","41","66","96","55","149","359","247","599","90","59","152","0","3","3","5","0","8","97","65","166","921","1234","2151","1262","2241","3509","149","162","315","15828","15279","31107",Surf Coast - Bellarine Peninsula
