gml_id,sa3_code16,onemeth_train_m,onemeth_train_f,onemeth_train_p,onemeth_bus_m,onemeth_bus_f,onemeth_bus_p,onemeth_ferry_m,onemeth_ferry_f,onemeth_ferry_p,onemeth_tram_inc_lt_rail_m,onemeth_tram_inc_lt_rail_f,onemeth_tram_inc_lt_rail_p,onemeth_taxi_m,onemeth_taxi_f,onemeth_taxi_p,onemeth_car_as_driver_m,onemeth_car_as_driver_f,onemeth_car_as_driver_p,onemeth_car_as_passenger_m,onemeth_car_as_passenger_f,onemeth_car_as_passenger_p,onemeth_truck_m,onemeth_truck_f,onemeth_truck_p,onemeth_motorbike_scooter_m,onemeth_motorbike_scooter_f,onemeth_motorbike_scooter_p,onemeth_bicycle_m,onemeth_bicycle_f,onemeth_bicycle_p,onemeth_other_m,onemeth_other_f,onemeth_other_p,onemeth_walked_only_m,onemeth_walked_only_f,onemeth_walked_only_p,onemeth_tot_onemeth_m,onemeth_tot_onemeth_f,onemeth_tot_onemeth_p,twometh_train_bus_m,twometh_train_bus_f,twometh_train_bus_p,twometh_train_ferry_m,twometh_train_ferry_f,twometh_train_ferry_p,twometh_trn_trm_inc_lt_rl_m,twometh_trn_trm_inc_lt_rl_f,twometh_trn_trm_inc_lt_rl_p,twometh_train_car_as_drvr_m,twometh_train_car_as_drvr_f,twometh_train_car_as_drvr_p,twometh_trn_car_as_pass_m,twometh_trn_car_as_pass_f,twometh_trn_car_as_pass_p,twometh_train_other_m,twometh_train_other_f,twometh_train_other_p,twometh_train_tot_m,twometh_train_tot_f,twometh_train_tot_p,twometh_bus_ferry_m,twometh_bus_ferry_f,twometh_bus_ferry_p,twometh_bus_trm_inc_lt_rl_m,twometh_bus_trm_inc_lt_rl_f,twometh_bus_trm_inc_lt_rl_p,twometh_bus_car_as_driver_m,twometh_bus_car_as_driver_f,twometh_bus_car_as_driver_p,twometh_bus_car_as_pass_m,twometh_bus_car_as_pass_f,twometh_bus_car_as_pass_p,twometh_bus_other_m,twometh_bus_other_f,twometh_bus_other_p,twometh_bus_tot_m,twometh_bus_tot_f,twometh_bus_tot_p,twometh_other_twometh_m,twometh_other_twometh_f,twometh_other_twometh_p,twometh_tot_twometh_m,twometh_tot_twometh_f,twometh_tot_twometh_p,threemeth_trn_2_othr_mthd_m,threemeth_trn_2_othr_mthd_f,threemeth_trn_2_othr_mthd_p,thremth_bu_2_ot_met_exc_tra_m,thremth_bu_2_ot_met_exc_tra_f,thremth_bu_2_ot_met_exc_tra_p,threemeth_oth_threemeth_m,threemeth_oth_threemeth_f,threemeth_oth_threemeth_p,threemeth_tot_threemeth_m,threemeth_tot_threemeth_f,threemeth_tot_threemeth_p,worked_home_m,worked_home_f,worked_home_p,did_not_go_to_work_m,did_not_go_to_work_f,did_not_go_to_work_p,meth_travel_to_work_ns_m,meth_travel_to_work_ns_f,meth_travel_to_work_ns_p,tot_m,tot_f,tot_p,sa3_name16
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p44_method_of_travel_to_work_by_sex_census_2016.fid-5ff86f36_1724bdf6fd3_6c91,"10304","11","12","22","38","44","83","8","0","8","3","0","0","16","35","56","9490","8669","18157","688","737","1423","293","9","304","99","6","105","82","16","99","92","39","128","487","388","877","11305","9950","21258","0","0","0","0","0","0","0","0","0","5","0","6","0","0","0","3","0","3","6","3","6","0","0","0","0","0","0","5","0","3","3","0","10","0","0","0","8","3","14","79","46","126","94","52","145","0","10","5","4","3","8","9","6","8","11","11","22","706","786","1493","959","1483","2443","128","137","270","13202","12419","25627",Orange
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p44_method_of_travel_to_work_by_sex_census_2016.fid-5ff86f36_1724bdf6fd3_6c92,"10401","4","0","4","24","30","56","3","4","6","0","5","5","10","8","19","6129","5625","11754","413","463","873","267","5","273","75","6","87","129","54","187","95","44","134","406","354","760","7555","6599","14154","0","0","0","0","0","0","0","0","0","3","0","3","0","0","0","0","0","0","3","3","9","0","0","0","0","0","0","0","0","0","0","6","11","0","0","0","4","6","11","73","36","109","82","46","125","3","0","3","3","0","3","4","0","4","8","0","8","492","583","1073","852","1281","2137","123","102","228","9115","8611","17725",Clarence Valley
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p44_method_of_travel_to_work_by_sex_census_2016.fid-5ff86f36_1724bdf6fd3_6c93,"10402","10","11","17","59","75","127","5","3","6","0","0","0","16","17","36","12375","11651","24030","860","1170","2028","410","13","421","208","28","234","201","61","264","115","93","213","545","537","1079","14809","13650","28463","3","5","9","0","0","0","0","0","0","6","3","6","3","0","3","0","0","0","11","13","18","0","0","0","0","0","0","5","4","9","10","7","21","3","0","3","20","13","32","133","70","201","164","98","256","4","0","6","0","0","0","9","0","9","22","0","23","922","1171","2091","1436","2301","3740","206","204","406","17556","17419","34976",Coffs Harbour
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p44_method_of_travel_to_work_by_sex_census_2016.fid-5ff86f36_1724bdf6fd3_6c94,"10501","0","0","0","73","28","104","0","0","0","0","0","0","3","4","5","3029","2465","5495","283","260","543","158","10","168","66","19","84","42","21","64","101","48","146","451","481","926","4209","3333","7538","0","0","0","0","0","0","0","0","0","3","0","3","0","0","0","0","0","0","3","0","3","0","0","0","0","0","0","3","0","3","0","0","0","0","0","0","5","0","5","50","8","60","57","15","65","3","3","3","3","0","3","10","4","13","13","3","21","547","472","1018","341","430","773","96","81","176","5264","4332","9598",Bourke - Cobar - Coonamble
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p44_method_of_travel_to_work_by_sex_census_2016.fid-5ff86f36_1724bdf6fd3_6c95,"10502","3","0","3","20","6","25","3","3","5","3","0","3","7","3","7","2715","2500","5207","194","258","446","45","0","49","69","5","76","40","7","45","37","20","64","282","256","538","3407","3062","6477","0","0","0","0","0","0","0","0","0","4","0","4","0","0","0","0","0","0","4","0","4","0","0","0","0","0","0","0","0","0","3","0","3","0","0","0","6","0","6","27","26","53","33","26","54","0","0","0","0","0","0","9","3","13","5","3","11","198","199","393","445","494","937","71","45","116","4165","3826","7989",Broken Hill and Far West
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p44_method_of_travel_to_work_by_sex_census_2016.fid-5ff86f36_1724bdf6fd3_6c96,"10503","5","5","10","43","57","101","3","0","3","0","0","0","20","32","53","10514","9851","20361","769","938","1704","434","12","447","177","24","200","88","28","120","145","72","215","699","587","1284","12901","11603","24503","3","0","4","0","0","0","0","0","0","3","0","7","0","3","3","0","0","0","4","3","14","0","0","0","0","0","0","3","5","10","0","4","4","0","0","5","8","10","15","124","61","186","141","76","215","6","4","5","0","3","7","10","0","11","17","4","27","1064","910","1978","972","1664","2633","192","180","369","15284","14442","29729",Dubbo
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p44_method_of_travel_to_work_by_sex_census_2016.fid-5ff86f36_1724bdf6fd3_6c97,"10601","26","22","44","50","46","99","3","3","8","0","0","0","11","18","28","14071","11548","25618","919","779","1698","453","11","461","150","24","176","54","9","61","286","56","346","638","345","986","16668","12861","29527","11","3","12","0","0","0","0","0","0","30","13","43","3","3","7","0","0","3","43","21","66","0","0","0","0","0","0","4","0","10","8","3","11","3","0","3","16","12","20","214","54","266","267","85","357","7","5","18","0","0","0","8","0","8","18","5","24","723","966","1687","1893","2557","4452","239","213","444","19812","16684","36493",Lower Hunter
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p44_method_of_travel_to_work_by_sex_census_2016.fid-5ff86f36_1724bdf6fd3_6c98,"10602","105","86","192","69","69","144","3","3","3","0","0","0","13","12","29","13133","11498","24630","830","741","1574","267","8","281","127","7","136","78","21","99","69","52","124","216","240","452","14922","12735","27657","29","57","84","0","0","0","0","0","0","30","18","49","3","9","12","8","0","13","73","83","157","0","0","0","0","0","0","8","6","14","0","8","10","3","0","3","18","17","33","171","74","250","264","173","437","32","41","73","3","3","9","4","5","9","36","52","87","403","744","1140","1478","2147","3626","123","115","238","17231","15966","33192",Maitland
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p44_method_of_travel_to_work_by_sex_census_2016.fid-5ff86f36_1724bdf6fd3_6c99,"10603","18","14","34","80","105","185","3","3","9","0","0","0","7","3","7","10666","8925","19599","579","663","1239","334","6","334","157","7","170","95","12","108","83","44","130","379","347","727","12401","10144","22537","3","0","0","0","0","0","0","0","0","11","6","21","3","0","4","0","0","0","17","9","27","0","3","3","0","0","0","9","9","11","3","12","18","3","3","4","16","24","40","129","97","229","153","133","290","5","8","15","3","7","15","8","3","10","16","23","34","534","833","1370","1363","2017","3380","164","149","309","14624","13291","27921",Port Stephens
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p44_method_of_travel_to_work_by_sex_census_2016.fid-5ff86f36_1724bdf6fd3_6c9a,"10604","7","3","14","12","9","27","8","0","8","0","0","0","3","0","3","5112","3944","9057","341","312","656","139","10","145","81","8","94","26","7","34","59","33","97","290","270","561","6081","4604","10685","0","0","0","0","0","0","0","0","0","3","0","8","0","0","3","3","0","0","7","3","10","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","5","52","20","70","62","27","85","3","3","4","0","0","0","0","0","3","3","3","6","349","433","780","649","721","1368","101","78","181","7248","5866","13113",Upper Hunter
