sa3_name16,sa3_code16,median_age_persons,median_mortgage_repay_monthly,median_tot_prsnl_inc_weekly,median_rent_weekly,median_tot_fam_inc_weekly,average_num_psns_per_bedroom,median_tot_hhd_inc_weekly,average_household_size
Queanbeyan,10102,38,2080,928,300,2296,0.8,1867,2.6
Snowy Mountains,10103,41,1300,798,240,1539,0.8,1279,2.3
South Coast,10104,52,1387,524,250,1211,0.7,965,2.2
Goulburn - Mulwaree,10105,43,1517,629,250,1491,0.8,1178,2.4
Young - Yass,10106,43,1560,665,223,1637,0.8,1286,2.5
Gosford,10201,43,1900,630,360,1691,0.8,1328,2.5
Wyong,10202,41,1733,567,340,1448,0.8,1189,2.5
Bathurst,10301,37,1630,636,270,1616,0.8,1300,2.5
Lachlan Valley,10302,44,1105,554,175,1305,0.7,1029,2.4
Lithgow - Mudgee,10303,43,1517,537,250,1375,0.8,1059,2.4
Orange,10304,38,1603,661,260,1670,0.8,1314,2.5
Clarence Valley,10401,49,1300,479,260,1133,0.8,917,2.3
Coffs Harbour,10402,45,1560,556,300,1325,0.8,1083,2.4
Bourke - Cobar - Coonamble,10501,42,1000,573,150,1345,0.8,1036,2.4
Broken Hill and Far West,10502,45,932,531,180,1260,0.7,975,2.2
Dubbo,10503,40,1365,618,220,1429,0.8,1172,2.5
Lower Hunter,10601,38,1625,583,280,1543,0.8,1284,2.6
Maitland,10602,36,1733,647,320,1690,0.8,1434,2.7
Port Stephens,10603,45,1690,563,300,1402,0.7,1158,2.5
Upper Hunter,10604,38,1700,643,240,1629,0.8,1291,2.5
Dapto - Port Kembla,10701,40,1733,524,295,1486,0.8,1218,2.6
Illawarra Catchment Reserve,10702,67,0,374,0,0,0.0,0,0.0
Kiama - Shellharbour,10703,41,1907,601,350,1620,0.8,1379,2.7
Wollongong,10704,38,2091,615,340,1870,0.9,1408,2.5
Great Lakes,10801,54,1387,477,264,1079,0.7,863,2.2
Kempsey - Nambucca,10802,49,1300,472,250,1096,0.8,874,2.3
Lord Howe Island,10803,51,1867,827,220,1774,0.8,1416,2.2
Port Macquarie,10804,48,1668,543,315,1299,0.8,1043,2.3
