sa3_code_2011,sa3_name_2011,year,land_area_ha,wu_ag_area_ha,wu_irrigated_area_ha,wu_vol_wat_app_ml,wu_wat_oth_ag_use_ml,wu_tot_wat_use_ml,wu_app_rate_ml_per_ha,pa_indig_area,pa_nat_park,pa_nat_res,pa_oth_pa,pa_tot,pa_indig_area_ha,pa_nat_park_ha,pa_nat_res_ha,pa_oth_pa_ha,pa_tot_ha,pa_indig_area_pc,pa_nat_park_pc,pa_nat_res_pc,pa_oth_pa_pc,pa_tot_pc,esg_gen_meters,esg_non_gen_meters,esg_tot_meters,esg_meter_dwell_gen_elec_pc,mksfg_net_meters_kwh,mksfg_gross_meters_kwh,mksfg_non_gen_meters_kwh,solar_panel_system,solar_water_heater
10101,Goulburn - Yass,2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4076.0,1231.0
10101,Goulburn - Yass,2012,,,,,,,,,,,,,,,,,,,,,,,2046.0,29293.0,31339.0,6.5,4803.0,6780.0,4677.0,,
10101,Goulburn - Yass,2011,2123661.4,,,,,,,,,,,,,,,,,,,,,,1540.0,29563.0,31103.0,5.0,4977.0,6845.0,4878.0,,
10101,Goulburn - Yass,2010,,,,,,,,,,,,,,,,,,,,,,,743.0,30038.0,30781.0,2.4,4397.0,7638.0,5826.0,,
10102,Queanbeyan,2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2546.0,1317.0
10102,Queanbeyan,2012,,,,,,,,,,,,,,,,,,,,,,,1356.0,21883.0,23239.0,5.8,5345.0,6975.0,4921.0,,
10102,Queanbeyan,2011,651112.1,,,,,,,,,,,,,,,,,,,,,,1126.0,21934.0,23060.0,4.9,5891.0,7093.0,5084.0,,
10102,Queanbeyan,2010,,,,,,,,,,,,,,,,,,,,,,,,22123.0,,,,7694.0,6066.0,,
10103,Snowy Mountains,2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1005.0,341.0
10103,Snowy Mountains,2012,,,,,,,,,,,,,,,,,,,,,,,609.0,10872.0,11481.0,5.3,5550.0,6630.0,5106.0,,
10103,Snowy Mountains,2011,1428183.0,,,,,,,,,,,,,,,,,,,,,,511.0,10952.0,11463.0,4.5,6867.0,6735.0,5146.0,,
10103,Snowy Mountains,2010,,,,,,,,,,,,,,,,,,,,,,,,11093.0,,,,7294.0,6007.0,,
10104,South Coast,2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5381.0,4939.0
10104,South Coast,2012,,,,,,,,,,,,,,,,,,,,,,,3277.0,36512.0,39789.0,8.2,4114.0,4753.0,3953.0,,
10104,South Coast,2011,986494.0,,,,,,,,,,,,,,,,,,,,,,2791.0,36749.0,39540.0,7.1,4514.0,4873.0,4115.0,,
10104,South Coast,2010,,,,,,,,,,,,,,,,,,,,,,,1891.0,37350.0,39241.0,4.8,6178.0,5396.0,4979.0,,
10201,Gosford,2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6997.0,4986.0
10201,Gosford,2012,,,,,,,,,,,,,,,,,,,,,,,,73577.0,,,,5976.0,5352.0,,
10201,Gosford,2011,98824.8,,,,,,,,,,,,,,,,,,,,,,4405.0,73312.0,77717.0,5.7,5283.0,6484.0,6099.0,,
10201,Gosford,2010,,,,,,,,,,,,,,,,,,,,,,,2551.0,75089.0,77640.0,3.3,4612.0,7356.0,5993.0,,
10202,Wyong,2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7054.0,4922.0
10202,Wyong,2012,,,,,,,,,,,,,,,,,,,,,,,,61917.0,,,,5643.0,5253.0,,
10202,Wyong,2011,69261.2,,,,,,,,,,,,,,,,,,,,,,4288.0,62104.0,66392.0,6.5,4361.0,5456.0,5399.0,,
10202,Wyong,2010,,,,,,,,,,,,,,,,,,,,,,,2559.0,63496.0,66055.0,3.9,4853.0,6601.0,5855.0,,
10301,Bathurst,2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2142.0,721.0
10301,Bathurst,2012,,,,,,,,,,,,,,,,,,,,,,,1155.0,18509.0,19664.0,5.9,4879.0,6283.0,4251.0,,
10301,Bathurst,2011,698468.8,,,,,,,,,,,,,,,,,,,,,,848.0,18583.0,19431.0,4.4,4860.0,6417.0,4589.0,,
10301,Bathurst,2010,,,,,,,,,,,,,,,,,,,,,,,,18778.0,,,,7202.0,5417.0,,
10302,Lachlan Valley,2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3359.0,984.0
10302,Lachlan Valley,2012,,,,,,,,,,,,,,,,,,,,,,,1389.0,24935.0,26324.0,5.3,5401.0,7296.0,5175.0,,
10302,Lachlan Valley,2011,4100139.5,,,,,,,,,,,,,,,,,,,,,,992.0,25275.0,26267.0,3.8,6248.0,7371.0,5478.0,,
10302,Lachlan Valley,2010,,,,,,,,,,,,,,,,,,,,,,,,25841.0,,,,7948.0,6683.0,,
10303,Lithgow - Mudgee,2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2390.0,1098.0
10303,Lithgow - Mudgee,2012,,,,,,,,,,,,,,,,,,,,,,,565.0,20728.0,21293.0,2.7,5655.0,6790.0,5022.0,,
10303,Lithgow - Mudgee,2011,1604354.4,,,,,,,,,,,,,,,,,,,,,,346.0,20555.0,20901.0,1.7,5054.0,7136.0,5364.0,,
10303,Lithgow - Mudgee,2010,,,,,,,,,,,,,,,,,,,,,,,,20579.0,,,,7804.0,5904.0,,
10304,Orange,2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2691.0,1218.0
10304,Orange,2012,,,,,,,,,,,,,,,,,,,,,,,1336.0,22803.0,24139.0,5.5,5429.0,7138.0,5244.0,,
10304,Orange,2011,626818.4,,,,,,,,,,,,,,,,,,,,,,989.0,22852.0,23841.0,4.1,5347.0,7514.0,5544.0,,
10304,Orange,2010,,,,,,,,,,,,,,,,,,,,,,,543.0,22910.0,23453.0,2.3,3330.0,7856.0,6527.0,,
10401,Clarence Valley,2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4069.0,4524.0
10401,Clarence Valley,2012,,,,,,,,,,,,,,,,,,,,,,,2536.0,20395.0,22931.0,11.1,3722.0,4422.0,4020.0,,
10401,Clarence Valley,2011,926324.2,,,,,,,,,,,,,,,,,,,,,,2020.0,20806.0,22826.0,8.8,4318.0,4656.0,4317.0,,
10401,Clarence Valley,2010,,,,,,,,,,,,,,,,,,,,,,,1353.0,21358.0,22711.0,6.0,2658.0,5138.0,5197.0,,
10402,Coffs Harbour,2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6000.0,8434.0
10402,Coffs Harbour,2012,,,,,,,,,,,,,,,,,,,,,,,3509.0,32501.0,36010.0,9.7,3788.0,4980.0,4234.0,,
10402,Coffs Harbour,2011,396653.8,,,,,,,,,,,,,,,,,,,,,,2757.0,32995.0,35752.0,7.7,4200.0,5127.0,4570.0,,
10402,Coffs Harbour,2010,,,,,,,,,,,,,,,,,,,,,,,1758.0,33741.0,35499.0,5.0,6516.0,5718.0,5469.0,,
10501,Bourke - Cobar - Coonamble,2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1771.0,694.0
10501,Bourke - Cobar - Coonamble,2012,,,,,,,,,,,,,,,,,,,,,,,1024.0,11227.0,12251.0,8.4,5896.0,7672.0,6102.0,,
10501,Bourke - Cobar - Coonamble,2011,16276447.2,,,,,,,,,,,,,,,,,,,,,,818.0,11420.0,12238.0,6.7,5500.0,7745.0,6389.0,,
10501,Bourke - Cobar - Coonamble,2010,,,,,,,,,,,,,,,,,,,,,,,142.0,12074.0,12216.0,1.2,16883.0,9316.0,7457.0,,
10502,Broken Hill and Far West,2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2598.0,159.0
10502,Broken Hill and Far West,2012,,,,,,,,,,,,,,,,,,,,,,,1794.0,9188.0,10982.0,16.3,4785.0,5845.0,4399.0,,
10502,Broken Hill and Far West,2011,14686126.5,,,,,,,,,,,,,,,,,,,,,,1493.0,9435.0,10928.0,13.7,5816.0,5889.0,4507.0,,
10502,Broken Hill and Far West,2010,,,,,,,,,,,,,,,,,,,,,,,,10538.0,,,,7286.0,5792.0,,
10503,Dubbo,2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6849.0,1866.0
10503,Dubbo,2012,,,,,,,,,,,,,,,,,,,,,,,4905.0,25150.0,30055.0,16.3,4927.0,6725.0,5503.0,,
10503,Dubbo,2011,2973855.7,,,,,,,,,,,,,,,,,,,,,,4197.0,25701.0,29898.0,14.0,5441.0,7026.0,5915.0,,
10503,Dubbo,2010,,,,,,,,,,,,,,,,,,,,,,,1516.0,28193.0,29709.0,5.1,5688.0,8518.0,7217.0,,
10601,Lower Hunter,2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4268.0,3876.0
10601,Lower Hunter,2012,,,,,,,,,,,,,,,,,,,,,,,2172.0,32929.0,35101.0,6.2,5563.0,6926.0,6247.0,,
10601,Lower Hunter,2011,856754.9,,,,,,,,,,,,,,,,,,,,,,1872.0,33473.0,35345.0,5.3,6822.0,7203.0,6695.0,,
10601,Lower Hunter,2010,,,,,,,,,,,,,,,,,,,,,,,934.0,34067.0,35001.0,2.7,6702.0,8257.0,7040.0,,
10602,Maitland,2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3328.0,2440.0
10602,Maitland,2012,,,,,,,,,,,,,,,,,,,,,,,1714.0,25157.0,26871.0,6.4,4767.0,6464.0,5737.0,,
10602,Maitland,2011,38012.5,,,,,,,,,,,,,,,,,,,,,,1530.0,24751.0,26281.0,5.8,6141.0,6852.0,6263.0,,
10602,Maitland,2010,,,,,,,,,,,,,,,,,,,,,,,755.0,24919.0,25674.0,2.9,6982.0,8254.0,6654.0,,
10603,Port Stephens,2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4513.0,4012.0
10603,Port Stephens,2012,,,,,,,,,,,,,,,,,,,,,,,2800.0,32126.0,34926.0,8.0,4067.0,5352.0,5250.0,,
10603,Port Stephens,2011,107199.5,,,,,,,,,,,,,,,,,,,,,,2653.0,32185.0,34838.0,7.6,6184.0,5998.0,6147.0,,
10603,Port Stephens,2010,,,,,,,,,,,,,,,,,,,,,,,1606.0,32975.0,34581.0,4.6,6482.0,6177.0,6032.0,,
10604,Upper Hunter,2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1191.0,1242.0
10604,Upper Hunter,2012,,,,,,,,,,,,,,,,,,,,,,,,12773.0,,,5667.0,,6821.0,,
10604,Upper Hunter,2011,1147244.5,,,,,,,,,,,,,,,,,,,,,,409.0,13412.0,13821.0,3.0,6956.0,8193.0,6908.0,,
10604,Upper Hunter,2010,,,,,,,,,,,,,,,,,,,,,,,231.0,13394.0,13625.0,1.7,6801.0,9288.0,7297.0,,
10701,Dapto - Port Kembla,2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3124.0,2128.0
10701,Dapto - Port Kembla,2012,,,,,,,,,,,,,,,,,,,,,,,342.0,28685.0,29027.0,1.2,5513.0,4596.0,5012.0,,
10701,Dapto - Port Kembla,2011,16380.6,,,,,,,,,,,,,,,,,,,,,,79.0,28723.0,28802.0,0.3,6206.0,5696.0,5324.0,,
10701,Dapto - Port Kembla,2010,,,,,,,,,,,,,,,,,,,,,,,,28734.0,,,,,5520.0,,
