sa3_code_2016,earners_persons,median_age_of_earners_years,income_aud,median_aud,mean_aud,p80_to_p20_ratio,p80_to_p50_ratio,p20_to_p50_ratio,p10_to_p50_ratio,gini_coefficient_no,income_share_top_1pc,income_share_top_5pc,income_share_top_10pc,lowest_quartile_pc,second_quartile_pc,third_quartile_pc,highest_quartile_pc,sa3_name16
10102,31945.0,42.0,1901877963.0,51858.0,59536.0,3.9,1.66,0.43,0.21,0.414,6.4,17.8,28.0,17.4,21.0,27.9,33.6,Queanbeyan
10103,10155.0,46.0,438208380.0,35884.0,43152.0,5.23,1.84,0.35,0.15,0.466,6.8,19.4,30.4,27.4,29.1,24.8,18.6,Snowy Mountains
10104,36044.0,50.0,1377225262.0,30908.0,38210.0,5.98,1.87,0.31,0.11,0.48700000000000004,8.2,20.9,32.2,33.0,30.6,22.3,14.1,South Coast
10105,17419.0,45.0,781081596.0,38269.0,44841.0,5.15,1.85,0.36,0.14,0.452,6.0,17.5,28.4,26.1,27.1,25.1,21.6,Goulburn - Mulwaree
10106,18574.0,45.0,910140382.0,39489.0,49001.0,5.5,1.9,0.35,0.13,0.478,7.3,20.3,31.5,25.6,26.0,24.3,24.1,Young - Yass
10201,88746.0,45.0,4290439095.0,38189.0,48345.0,5.52,1.93,0.35,0.14,0.47700000000000004,8.2,21.0,32.0,26.8,26.2,24.1,22.9,Gosford
10202,73471.0,42.0,3194271659.0,37082.0,43477.0,4.92,1.79,0.36,0.15,0.441,6.1,17.8,28.7,26.8,28.1,26.2,18.9,Wyong
10301,22830.0,43.0,1096994692.0,40497.0,48051.0,5.1,1.85,0.36,0.15,0.444,6.3,17.9,28.6,24.9,25.4,25.2,24.5,Bathurst
10302,27967.0,46.0,1212688121.0,34752.0,43361.0,5.81,1.9,0.33,0.12,0.495,8.0,21.1,32.6,29.3,28.4,23.5,18.7,Lachlan Valley
10303,21463.0,45.0,1037363504.0,37354.0,48333.0,6.41,2.14,0.33,0.12,0.491,5.7,18.5,31.0,27.6,26.3,21.3,24.8,Lithgow - Mudgee
10304,28974.0,43.0,1436278066.0,41241.0,49571.0,5.08,1.86,0.37,0.15,0.456,6.6,18.6,29.6,24.3,25.1,25.6,25.0,Orange
10401,23535.0,48.0,835613303.0,29412.0,35505.0,6.92,1.92,0.28,0.08,0.505,6.8,19.5,31.4,35.1,30.2,21.1,13.6,Clarence Valley
10402,43053.0,46.0,1694702610.0,31848.0,39363.0,6.15,1.89,0.31,0.11,0.49,7.9,20.6,32.0,32.6,29.5,22.4,15.6,Coffs Harbour
10501,11726.0,44.0,569350124.0,38522.0,48555.0,5.43,1.93,0.35,0.14,0.508,8.0,21.9,33.3,26.4,26.2,24.0,23.5,Bourke - Cobar - Coonamble
10502,9146.0,44.0,425422166.0,38238.0,46515.0,5.41,1.96,0.36,0.14,0.45899999999999996,5.7,17.6,28.8,26.5,26.7,23.2,23.6,Broken Hill and Far West
10503,33974.0,44.0,1500392990.0,37539.0,44163.0,5.01,1.81,0.36,0.14,0.461,7.0,18.9,29.8,26.3,28.2,26.0,19.6,Dubbo
10601,41401.0,42.0,2201870036.0,40819.0,53184.0,5.89,2.12,0.36,0.14,0.475,6.5,18.4,30.3,24.8,25.2,21.7,28.4,Lower Hunter
10602,34507.0,41.0,1852972214.0,43752.0,53698.0,5.22,1.9,0.36,0.15,0.451,6.4,18.3,29.5,23.2,23.4,24.7,28.8,Maitland
10603,35292.0,45.0,1600969293.0,36084.0,45364.0,6.19,1.95,0.32,0.12,0.483,7.6,20.4,31.7,29.3,26.2,23.2,21.2,Port Stephens
10604,15650.0,42.0,854083966.0,41976.0,54574.0,6.07,2.14,0.35,0.14,0.48100000000000004,6.4,18.1,30.1,24.6,23.9,21.8,29.7,Upper Hunter
10701,34993.0,42.0,1690381683.0,40112.0,48306.0,5.32,1.91,0.36,0.14,0.445,5.8,17.3,28.5,25.2,25.5,24.5,24.8,Dapto - Port Kembla
10702,,,,,,,,,,,,,,,,,,Illawarra Catchment Reserve
10703,43924.0,43.0,2145014150.0,40022.0,48835.0,5.36,1.95,0.36,0.15,0.447,5.8,17.3,28.5,25.1,25.8,23.4,25.7,Kiama - Shellharbour
10704,63751.0,42.0,3397941810.0,42062.0,53300.0,6.08,1.98,0.33,0.13,0.47600000000000003,7.2,19.7,31.0,26.1,22.7,22.0,29.2,Wollongong
10801,14372.0,50.0,524377846.0,28174.0,36486.0,7.97,1.98,0.25,0.07,0.522,8.6,22.4,34.4,36.9,29.8,19.6,13.8,Great Lakes
10802,20606.0,49.0,719581775.0,28748.0,34921.0,7.0,1.92,0.27,0.08,0.495,6.9,19.4,31.3,35.8,30.9,20.7,12.7,Kempsey - Nambucca
