gml_id,sa3_name16,sa3_code16,p_650_799_15_19_yrs,p_650_799_20_24_yrs,p_650_799_25_34_yrs,p_650_799_35_44_yrs,p_650_799_45_54_yrs,p_650_799_55_64_yrs,p_650_799_65_74_yrs,p_650_799_75_84_yrs,p_650_799_85ov,p_650_799_tot,p_800_999_15_19_yrs,p_800_999_20_24_yrs,p_800_999_25_34_yrs,p_800_999_35_44_yrs,p_800_999_45_54_yrs,p_800_999_55_64_yrs,p_800_999_65_74_yrs,p_800_999_75_84_yrs,p_800_999_85ov,p_800_999_tot,p_1000_1249_15_19_yrs,p_1000_1249_20_24_yrs,p_1000_1249_25_34_yrs,p_1000_1249_35_44_yrs,p_1000_1249_45_54_yrs,p_1000_1249_55_64_yrs,p_1000_1249_65_74_yrs,p_1000_1249_75_84_yrs,p_1000_1249_85ov,p_1000_1249_tot,p_1250_1499_15_19_yrs,p_1250_1499_20_24_yrs,p_1250_1499_25_34_yrs,p_1250_1499_35_44_yrs,p_1250_1499_45_54_yrs,p_1250_1499_55_64_yrs,p_1250_1499_65_74_yrs,p_1250_1499_75_84_yrs,p_1250_1499_85ov,p_1250_1499_tot,p_1500_1749_15_19_yrs,p_1500_1749_20_24_yrs,p_1500_1749_25_34_yrs,p_1500_1749_35_44_yrs,p_1500_1749_45_54_yrs,p_1500_1749_55_64_yrs,p_1500_1749_65_74_yrs,p_1500_1749_75_84_yrs,p_1500_1749_85ov,p_1500_1749_tot,p_1750_1999_15_19_yrs,p_1750_1999_20_24_yrs,p_1750_1999_25_34_yrs,p_1750_1999_35_44_yrs,p_1750_1999_45_54_yrs,p_1750_1999_55_64_yrs,p_1750_1999_65_74_yrs,p_1750_1999_75_84_yrs,p_1750_1999_85ov,p_1750_1999_tot,p_2000_2999_15_19_yrs,p_2000_2999_20_24_yrs,p_2000_2999_25_34_yrs,p_2000_2999_35_44_yrs,p_2000_2999_45_54_yrs,p_2000_2999_55_64_yrs,p_2000_2999_65_74_yrs,p_2000_2999_75_84_yrs,p_2000_2999_85ov,p_2000_2999_tot,p_3000_more_15_19_yrs,p_3000_more_20_24_yrs,p_3000_more_25_34_yrs,p_3000_more_35_44_yrs,p_3000_more_45_54_yrs,p_3000_more_55_64_yrs,p_3000_more_65_74_yrs,p_3000_more_75_84_yrs,p_3000_more_85ov,p_3000_more_tot,p_pi_ns_15_19_yrs,p_pi_ns_ns_20_24_yrs,p_pi_ns_ns_25_34_yrs,p_pi_ns_ns_35_44_yrs,p_pi_ns_ns_45_54_yrs,p_pi_ns_ns_55_64_yrs,p_pi_ns_ns_65_74_yrs,p_pi_ns_ns_75_84_yrs,p_pi_ns_ns_85_yrs_ovr,p_pi_ns_ns_tot,p_os_vis_15_19_yr,p_os_vis_20_24_yr,p_os_vis_25_34_yr,p_os_vis_35_44_yr,p_os_vis_45_54_yr,p_os_vis_55_64_yr,p_os_vis_65_74_yr,p_os_vis_75_84_yr,p_os_vis_85_yr_over,p_os_vis_tot,p_tot_15_19_yrs,p_tot_20_24_yrs,p_tot_25_34_yrs,p_tot_35_44_yrs,p_tot_45_54_yrs,p_tot_55_64_yrs,p_tot_65_74_yrs,p_tot_75_84_yrs,p_tot_85ov,p_tot_tot
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p17c_total_weekly_income_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-77f7,Queanbeyan,"10102","98","409","652","494","525","498","321","125","40","3167","70","474","866","672","749","620","308","84","21","3873","28","392","1089","798","974","751","311","72","17","4424","7","194","966","818","840","603","159","34","9","3612","3","72","760","895","884","539","132","19","4","3308","0","24","427","635","672","358","77","13","3","2214","0","17","532","1252","1416","669","113","23","7","4022","0","5","115","427","729","381","72","17","3","1750","390","307","763","726","818","725","561","298","190","4779","40","28","50","31","21","45","19","5","0","247","3617","3337","7917","8101","9229","7257","4387","1904","698","46453"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p17c_total_weekly_income_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-77f6,Snowy Mountains,"10103","77","350","390","298","366","329","211","77","23","2131","26","281","509","342","369","392","237","62","19","2233","8","166","506","369","435","381","190","52","11","2111","4","65","344","293","339","263","133","26","9","1482","0","39","268","308","299","229","108","26","5","1278","0","10","173","253","224","180","78","9","4","932","3","15","217","402","403","307","128","21","3","1496","3","8","83","377","374","330","152","25","8","1363","290","370","743","808","724","672","529","214","121","4464","79","199","320","44","57","24","3","4","0","728","1748","2327","4444","4400","4639","4442","3271","1284","474","27023"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p17c_total_weekly_income_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-77f5,South Coast,"10104","80","368","671","733","984","1097","895","414","138","5372","35","240","639","743","1040","1184","667","257","97","4904","11","119","555","693","939","1051","566","184","70","4200","3","49","344","435","559","652","268","69","48","2418","0","20","187","294","464","470","156","41","20","1667","0","10","123","223","318","299","104","29","15","1124","0","3","99","246","361","341","138","40","25","1257","4","6","47","112","152","190","105","34","25","674","486","228","424","546","770","1045","1097","924","648","6163","40","16","28","33","40","38","26","10","4","236","3556","2423","5138","6618","9228","12778","11553","5978","2395","59665"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p17c_total_weekly_income_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-77f4,Goulburn - Mulwaree,"10105","46","263","465","363","444","400","291","147","40","2456","35","244","495","406","521","423","210","78","20","2435","11","150","503","454","511","452","204","48","24","2354","3","74","284","315","361","279","90","13","6","1429","0","23","258","311","296","265","64","23","11","1246","0","12","183","257","263","218","28","3","4","972","3","12","169","306","349","229","67","20","6","1151","5","4","27","87","124","106","49","27","3","430","275","231","500","465","508","414","456","424","266","3546","16","19","31","8","9","18","20","0","0","129","2070","1878","4165","4203","4971","4883","4025","2205","892","29293"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p17c_total_weekly_income_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-77f3,Young - Yass,"10106","76","261","361","363","458","356","289","113","49","2328","31","200","445","414","498","466","261","70","26","2406","10","166","378","451","502","411","217","57","30","2211","3","70","309","313","350","276","114","35","7","1474","0","28","222","353","396","274","89","23","3","1395","0","9","128","264","271","190","69","4","3","940","0","10","136","460","522","251","74","23","3","1481","0","8","31","178","279","179","75","32","3","793","298","130","238","291","359","398","417","309","191","2627","9","9","31","6","6","14","9","5","0","98","2181","1691","3310","4345","5115","4799","4008","2023","830","28303"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p17c_total_weekly_income_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-77f2,Gosford,"10201","179","1183","1796","1594","1820","1809","1515","695","314","10912","75","952","2276","1971","2320","2097","1059","414","191","11361","29","617","2299","2156","2464","2200","956","315","152","11183","10","230","1639","1672","1764","1353","487","134","62","7357","4","93","1326","1588","1733","1233","352","97","41","6469","0","23","735","1317","1338","946","222","59","31","4675","0","26","746","1940","1939","1218","301","84","26","6288","7","24","228","888","1056","716","228","107","51","3311","852","609","1119","1184","1343","1354","1406","1417","1345","10631","89","57","104","95","102","118","92","39","11","695","10146","8881","17723","20515","22854","22121","18601","10933","5636","137412"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p17c_total_weekly_income_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-77f1,Wyong,"10202","185","1343","2044","1799","2007","1660","1103","593","217","10951","89","1099","2352","2092","2343","1871","784","296","121","11059","29","603","2249","2168","2265","1821","660","214","100","10107","8","215","1454","1580","1489","1098","278","47","27","6193","3","104","1039","1288","1275","849","205","47","14","4823","0","35","538","918","967","589","86","21","14","3163","4","16","522","1180","1165","665","120","41","11","3723","11","32","122","337","471","334","107","57","27","1492","854","640","1073","1129","1354","1425","1613","1569","1188","10850","32","35","58","29","39","74","48","22","10","348","9810","9195","17503","18679","20332","19566","16902","10353","4563","126895"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p17c_total_weekly_income_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-77f0,Bathurst,"10301","57","383","613","477","500","449","312","138","50","2969","31","319","677","540","640","555","253","78","32","3129","10","197","681","570","650","528","235","77","28","2964","4","96","472","433","488","392","121","33","4","2048","0","37","323","407","471","363","90","25","10","1728","0","19","187","373","339","250","53","15","8","1240","0","8","233","394","461","300","52","8","3","1465","3","3","55","122","171","145","41","15","8","553","502","659","749","594","581","499","493","350","222","4655","6","15","21","11","15","12","12","3","0","97","3517","3693","5665","5402","5944","5570","4460","2254","1004","37507"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p17c_total_weekly_income_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-77ef,Lachlan Valley,"10302","80","422","592","591","673","653","464","242","91","3811","37","313","604","633","799","683","316","113","55","3554","4","218","599","565","662","644","283","129","43","3150","3","105","413","380","455","353","121","44","8","1884","3","56","307","337","365","313","75","31","13","1495","0","18","165","264","243","207","73","15","8","996","0","9","224","321","355","244","61","10","6","1236","3","5","56","126","176","140","75","42","11","628","471","280","550","597","757","817","922","717","382","5491","9","27","31","21","5","21","10","8","3","130","3159","2750","5518","5826","7138","7598","6530","4016","1731","44269"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p17c_total_weekly_income_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-77ee,Lithgow - Mudgee,"10303","64","310","458","406","493","453","359","150","37","2735","32","271","489","424","501","488","273","99","33","2614","8","162","456","405","563","479","198","83","29","2384","3","75","310","299","385","305","103","24","6","1509","3","38","230","269","303","246","52","21","4","1162","0","25","170","247","293","183","34","9","3","965","0","36","387","476","494","273","41","14","4","1732","5","10","133","202","223","168","56","16","13","824","437","310","705","686","778","787","824","488","182","5197","8","12","20","7","10","15","13","5","0","94","2537","2266","5078","5272","6439","6371","5625","2929","1042","37545"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p17c_total_weekly_income_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-77ed,Orange,"10304","91","449","722","573","679","608","368","195","58","3749","43","376","792","693","772","661","293","87","43","3769","8","252","900","797","787","643","306","95","20","3812","4","106","607","570","547","436","128","30","12","2436","0","56","484","576","507","423","97","29","13","2188","0","27","303","417","485","305","66","23","9","1633","0","19","393","673","616","355","83","12","8","2162","4","9","85","291","301","173","77","29","15","987","471","249","541","563","660","562","502","445","222","4214","9","26","24","16","16","27","16","5","0","143","3891","3071","7050","7208","7486","6972","5283","3076","1259","45287"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p17c_total_weekly_income_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-77ec,Clarence Valley,"10401","40","319","542","551","717","722","556","249","75","3772","17","156","481","573","680","732","370","155","47","3209","6","100","374","444","567","588","300","114","47","2540","0","41","220","296","351","321","114","44","10","1403","0","15","161","252","309","272","74","19","8","1109","0","6","92","178","223","202","36","12","3","754","0","4","106","210","225","203","56","15","11","835","0","5","47","87","101","101","57","27","9","431","433","214","448","523","601","724","792","595","324","4652","11","35","29","16","19","27","21","13","0","162","2964","2112","4283","5188","6737","8474","7899","4125","1635","43417"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p17c_total_weekly_income_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-77eb,Coffs Harbour,"10402","66","598","1118","1036","1194","1255","855","366","153","6633","31","435","1125","1085","1341","1281","614","235","82","6229","13","218","866","1037","1226","1063","512","140","78","5149","6","97","623","704","776","640","261","54","22","3181","3","34","391","537","629","540","151","35","16","2343","0","8","215","436","478","418","88","22","8","1678","0","12","226","513","569","388","119","33","16","1870","0","11","78","219","258","218","105","45","18","951","552","367","713","684","921","1145","1128","984","709","7210","52","124","201","68","59","85","63","20","0","670","5097","4242","8971","9680","11604","13366","11072","6107","2483","72638"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p17c_total_weekly_income_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-77ea,Bourke - Cobar - Coonamble,"10501","25","127","247","204","276","277","189","71","20","1440","18","131","279","214","295","281","134","68","15","1433","16","106","321","217","301","250","127","25","10","1360","3","53","231","147","212","139","59","21","3","874","3","47","212","145","192","154","30","11","3","789","0","20","136","107","123","123","32","5","0","548","0","16","208","182","185","125","37","11","6","768","0","8","44","105","98","67","39","12","3","379","243","255","511","430","552","566","552","307","93","3510","3","14","19","4","3","8","4","0","0","61","1111","1371","3189","2722","3516","3573","2914","1418","447","20260"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p17c_total_weekly_income_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-77e9,Broken Hill and Far West,"10502","21","117","199","180","221","230","145","69","29","1207","9","91","223","184","231","237","95","23","9","1107","4","92","246","212","234","229","85","32","5","1143","0","42","166","135","175","177","43","6","4","748","0","19","150","111","171","125","29","0","0","613","0","22","119","114","141","132","22","3","4","554","0","10","136","157","197","151","22","7","3","677","7","10","24","47","57","64","25","8","6","248","158","161","347","266","353","352","411","277","231","2558","6","15","10","10","14","16","18","6","0","88","1077","1185","2500","2202","2793","3183","2546","1328","606","17421"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p17c_total_weekly_income_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-77e8,Dubbo,"10503","107","591","1034","793","811","803","500","208","78","4914","57","456","1026","841","1011","917","378","131","49","4873","15","306","987","794","974","808","346","113","42","4382","6","110","661","606","574","498","139","34","19","2650","3","46","469","515","575","396","109","31","13","2159","0","17","270","448","429","328","70","29","0","1603","0","17","286","466","536","413","73","18","10","1815","8","11","88","178","204","187","94","39","17","834","619","520","1092","900","971","1046","982","719","382","7241","24","43","59","11","36","44","18","3","5","232","4170","4016","8614","7905","8911","9221","7257","4191","1670","55957"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p17c_total_weekly_income_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-77e7,Lower Hunter,"10601","249","823","1054","935","935","796","522","224","58","5591","81","609","1124","944","1083","833","390","103","29","5190","46","376","1123","1013","1099","820","307","105","27","4914","21","165","775","723","704","567","137","32","8","3127","4","87","602","644","645","464","113","24","9","2577","0","69","437","500","527","383","58","13","5","1999","3","58","726","1081","987","644","103","13","3","3611","6","17","199","409","445","294","109","23","12","1523","655","553","1227","1058","1104","983","963","617","356","7507","37","16","71","24","33","20","23","7","3","237","5761","5391","10992","10943","11683","11204","8239","3961","1579","69752"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p17c_total_weekly_income_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-77e6,Maitland,"10602","106","659","1013","796","807","614","403","181","40","4616","37","562","1298","941","945","794","334","115","31","5058","19","359","1337","1003","985","733","259","60","24","4782","3","145","868","822","727","482","117","17","6","3193","5","75","654","737","675","479","85","11","3","2731","0","31","457","591","537","344","44","10","3","2019","0","38","598","958","859","463","62","20","9","3005","4","7","138","361","370","221","61","21","3","1179","307","260","556","516","530","496","453","426","230","3762","21","18","31","9","13","37","34","4","0","172","4779","4544","10082","9670","9403","8300","6063","3098","1260","57206"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p17c_total_weekly_income_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-77e5,Port Stephens,"10603","81","476","680","730","848","797","661","373","81","4731","30","376","775","791","946","890","506","214","68","4584","17","252","764","871","1018","895","472","144","57","4490","4","102","533","577","728","537","223","46","23","2772","0","41","408","577","637","473","138","36","13","2317","0","18","204","389","444","310","87","23","7","1484","0","10","216","531","639","437","100","35","14","1991","0","8","57","216","259","210","103","43","21","914","442","295","574","544","688","762","973","778","434","5494","13","28","42","24","30","40","34","12","4","218","4179","3554","6680","7815","9405","10069","9851","5129","1826","58508"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p17c_total_weekly_income_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-77e4,Upper Hunter,"10604","52","226","379","313","303","291","167","89","22","1839","25","209","413","330","353","309","149","45","15","1852","14","140","419","305","343","294","112","33","13","1668","0","76","267","228","230","179","54","16","3","1057","0","30","238","221","242","170","34","9","0","942","0","20","176","200","194","139","31","0","8","768","0","14","349","465","478","261","39","7","7","1616","4","3","81","157","179","101","40","15","3","583","245","164","480","452","414","388","293","249","147","2830","17","53","39","8","6","13","16","3","0","155","1767","1690","4036","3884","4106","3671","2630","1438","554","23781"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p17c_total_weekly_income_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-77e3,Dapto - Port Kembla,"10701","89","614","921","864","832","657","438","234","56","4705","33","496","1076","976","986","761","285","77","39","4720","15","327","1082","1028","1029","760","218","87","14","4553","5","112","822","726","699","477","100","22","4","2961","3","62","541","641","659","393","56","7","3","2354","0","26","322","533","490","313","43","14","0","1741","0","25","309","658","647","373","52","11","3","2082","10","10","74","197","241","143","32","19","0","720","358","253","484","463","551","575","533","524","273","4010","29","17","43","18","23","37","27","13","3","212","4806","4549","8907","9268","9863","9108","7111","4776","1905","60286"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p17c_total_weekly_income_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-77e2,Illawarra Catchment Reserve,"10702","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7","0","0","8"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p17c_total_weekly_income_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-77e1,Kiama - Shellharbour,"10703","111","761","1027","996","1011","866","631","293","87","5769","33","560","1202","1046","1146","1026","460","161","71","5709","17","394","1317","1166","1256","1037","388","114","35","5721","6","173","883","864","882","699","190","40","13","3759","3","81","690","824","839","668","122","33","7","3273","0","22","437","629","723","489","74","19","4","2390","3","20","455","980","1008","639","92","26","7","3236","9","16","103","358","346","252","86","25","8","1197","446","314","556","594","694","705","797","631","460","5202","38","31","49","23","28","35","24","8","0","238","5966","5301","9799","10799","11894","11652","9038","4995","2059","71512"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p17c_total_weekly_income_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-77e0,Wollongong,"10704","122","990","1348","1191","1195","989","805","406","190","7238","66","814","1690","1369","1345","1166","661","213","97","7425","25","581","1958","1641","1605","1365","618","220","86","8091","8","280","1626","1301","1287","909","322","72","30","5834","10","119","1384","1360","1326","881","220","58","19","5382","0","37","746","1171","1100","786","141","34","10","4026","5","30","982","1958","1756","1012","202","57","13","6011","4","21","257","898","971","575","170","53","21","2968","599","686","1158","895","941","940","979","901","565","7661","161","451","215","125","131","153","76","31","6","1345","8502","11401","17266","16560","16496","14831","11105","7091","3352","106595"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p17c_total_weekly_income_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-77df,Great Lakes,"10801","29","154","297","340","421","419","372","204","74","2308","8","87","244","321","389","402","278","133","41","1903","0","50","197","228","328","349","210","90","37","1494","3","29","132","170","196","211","113","34","15","895","0","6","81","125","163","144","60","17","11","607","0","0","52","94","115","121","46","5","6","440","0","0","45","125","132","139","55","19","7","514","3","3","15","54","67","76","46","29","12","308","204","85","169","224","312","399","549","523","401","2870","8","3","12","5","12","8","14","9","3","76","1502","1059","2193","2808","3842","5039","5645","3388","1456","26927"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p17c_total_weekly_income_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-77de,Kempsey - Nambucca,"10802","38","248","470","512","683","715","487","200","82","3437","15","169","407","493","620","658","317","121","44","2837","9","119","404","434","500","527","260","67","45","2373","4","45","224","257","290","275","99","31","8","1235","3","9","121","177","231","225","67","6","7","846","0","10","68","158","207","153","35","11","0","641","0","8","58","180","169","161","33","12","6","626","3","7","37","58","87","88","48","10","8","352","455","274","605","516","666","783","784","628","454","5159","8","31","57","9","17","19","18","3","3","162","2651","2114","4224","4708","6170","8188","7256","3625","1581","40519"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p17c_total_weekly_income_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-77dd,Lord Howe Island,"10803","0","10","11","5","4","3","6","0","0","47","0","3","12","10","5","6","3","0","0","34","0","0","9","12","8","15","5","0","0","44","0","0","3","0","5","8","0","3","0","18","0","0","3","3","8","3","3","0","0","24","0","0","0","0","3","3","0","0","0","7","0","0","5","3","0","14","3","0","0","24","0","0","0","3","4","4","3","0","0","16","3","7","10","10","12","20","13","3","0","78","0","0","4","0","0","3","0","3","0","15","13","23","52","68","73","100","65","25","8","425"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p17c_total_weekly_income_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-77dc,Port Macquarie,"10804","63","467","816","830","1024","976","845","494","191","5708","24","321","885","908","1124","1062","623","247","111","5308","8","178","754","929","1042","906","518","203","79","4629","3","72","514","628","707","576","230","54","18","2807","0","36","349","526","642","444","134","31","13","2180","0","17","198","411","510","315","79","34","14","1585","0","7","232","504","529","390","108","39","25","1825","4","8","75","228","281","210","117","50","26","995","453","258","512","543","708","823","1188","1066","900","6457","30","32","46","22","45","52","42","19","7","299","4394","3169","6795","8154","10233","11268","11858","7135","3016","66026"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p17c_total_weekly_income_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-77db,Taree - Gloucester,"10805","36","294","569","589","700","739","541","263","95","3829","23","208","526","531","757","741","385","115","56","3350","4","92","386","473","607","614","303","118","44","2651","0","46","237","315","368","334","160","38","8","1513","0","11","175","194","284","253","87","16","3","1027","0","14","78","171","215","221","41","14","10","760","0","4","82","179","219","195","74","16","0","774","3","10","28","71","104","123","68","21","13","441","392","192","336","377","547","709","744","555","382","4234","27","26","22","16","23","15","16","11","3","168","3039","2289","4398","5108","6927","8565","8212","4276","1741","44554"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p17c_total_weekly_income_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-77da,Albury,"10901","83","567","880","633","710","667","468","187","77","4269","34","403","1054","834","939","786","369","164","112","4685","19","261","947","896","879","765","272","82","36","4167","0","98","642","632","651","521","154","41","13","2751","0","29","428","531","565","433","87","16","11","2102","0","7","215","363","378","301","54","14","4","1335","0","10","215","444","510","331","72","11","4","1596","6","10","64","181","248","212","80","23","14","840","377","383","633","579","595","675","643","589","416","4891","25","27","37","32","31","51","22","7","0","228","3943","3944","7424","7332","7933","7885","5904","3324","1569","49264"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p17c_total_weekly_income_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-77d9,Lower Murray,"10902","24","82","136","123","187","173","132","35","10","892","16","81","152","144","207","201","81","18","7","922","3","60","143","142","186","169","63","26","7","797","0","33","89","116","128","96","27","8","0","496","0","7","72","76","98","73","20","0","0","361","4","4","41","66","82","47","17","3","0","268","0","4","36","80","89","64","16","10","0","301","0","4","12","39","44","54","22","9","0","187","134","99","241","186","253","280","259","177","41","1687","11","44","42","6","8","10","9","0","0","133","701","731","1433","1424","1914","2073","1632","841","242","10993"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p17c_total_weekly_income_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-77d8,Upper Murray exc. Albury,"10903","61","277","448","417","485","553","382","201","65","2886","36","263","547","486","603","635","253","127","52","3008","12","156","509","519","595","585","261","89","28","2750","3","45","320","322","382","366","107","30","10","1585","3","25","191","256","319","239","65","17","4","1123","3","9","86","182","227","152","40","6","7","717","0","6","78","224","238","213","67","19","13","861","3","3","36","90","112","123","66","32","11","463","346","206","368","397","501","720","732","607","302","4180","8","32","47","13","9","17","13","9","0","143","2186","1806","3881","4284","5216","6512","5869","3396","1354","34495"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p17c_total_weekly_income_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-77d7,Armidale,"11001","63","319","558","415","438","396","274","124","60","2643","18","182","472","429","486","450","244","67","33","2382","4","119","450","415","472","457","214","83","25","2228","0","36","273","264","347","252","108","37","13","1324","3","16","190","236","319","250","83","28","15","1139","0","4","116","195","225","170","54","11","8","794","0","7","88","248","342","272","89","21","3","1075","6","4","31","93","126","128","58","24","8","482","371","405","374","332","418","420","400","286","160","3172","40","67","79","43","36","31","18","0","0","313","3163","3430","4220","4001","4749","4680","3735","1981","808","30777"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p17c_total_weekly_income_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-77d6,Inverell - Tenterfield,"11002","52","271","430","437","508","485","350","158","45","2730","25","196","455","440","549","497","232","106","31","2517","5","90","335","362","420","438","169","69","26","1909","0","41","180","187","235","204","87","28","4","964","0","10","106","182","194","132","42","9","7","679","0","6","65","115","167","124","44","13","6","542","0","6","71","139","163","110","42","10","4","557","4","3","23","52","77","80","48","23","3","305","328","184","401","450","513","716","725","500","291","4112","32","41","31","20","5","21","16","4","0","167","2132","1785","3523","4005","4864","5815","5291","2903","1043","31356"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p17c_total_weekly_income_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-77d5,Moree - Narrabri,"11003","42","202","277","266","326","295","169","68","10","1665","32","181","351","312","361","315","140","35","10","1736","15","139","387","314","377","304","126","38","8","1714","6","48","298","239","240","208","59","19","3","1112","3","21","203","219","181","168","66","9","6","879","0","7","108","149","137","109","42","4","3","571","0","9","130","182","197","104","47","14","3","699","9","4","43","111","141","112","31","21","4","479","306","188","415","432","514","489","478","346","136","3305","3","21","30","4","8","20","7","0","0","99","1380","1426","3217","3183","3618","3514","2715","1392","392","20842"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p17c_total_weekly_income_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-77d4,Tamworth - Gunnedah,"11004","147","661","1156","934","1030","901","577","281","98","5782","62","578","1297","1119","1196","1105","460","179","92","6084","24","305","1185","1076","1105","969","406","135","50","5261","3","143","774","679","666","588","181","41","10","3091","3","75","525","583","634","465","112","19","9","2436","3","35","318","450","474","345","64","11","12","1716","0","24","421","625","648","400","85","44","8","2252","8","11","138","245","288","212","72","40","15","1037","662","441","875","824","945","1032","966","753","345","6856","23","48","115","26","26","22","19","12","0","286","4953","4296","9750","9297","10328","10490","8288","4944","1945","64293"
