gml_id,sa3_name16,sa3_code16,p_650_799_15_19_yrs,p_650_799_20_24_yrs,p_650_799_25_34_yrs,p_650_799_35_44_yrs,p_650_799_45_54_yrs,p_650_799_55_64_yrs,p_650_799_65_74_yrs,p_650_799_75_84_yrs,p_650_799_85ov,p_650_799_tot,p_800_999_15_19_yrs,p_800_999_20_24_yrs,p_800_999_25_34_yrs,p_800_999_35_44_yrs,p_800_999_45_54_yrs,p_800_999_55_64_yrs,p_800_999_65_74_yrs,p_800_999_75_84_yrs,p_800_999_85ov,p_800_999_tot,p_1000_1249_15_19_yrs,p_1000_1249_20_24_yrs,p_1000_1249_25_34_yrs,p_1000_1249_35_44_yrs,p_1000_1249_45_54_yrs,p_1000_1249_55_64_yrs,p_1000_1249_65_74_yrs,p_1000_1249_75_84_yrs,p_1000_1249_85ov,p_1000_1249_tot,p_1250_1499_15_19_yrs,p_1250_1499_20_24_yrs,p_1250_1499_25_34_yrs,p_1250_1499_35_44_yrs,p_1250_1499_45_54_yrs,p_1250_1499_55_64_yrs,p_1250_1499_65_74_yrs,p_1250_1499_75_84_yrs,p_1250_1499_85ov,p_1250_1499_tot,p_1500_1749_15_19_yrs,p_1500_1749_20_24_yrs,p_1500_1749_25_34_yrs,p_1500_1749_35_44_yrs,p_1500_1749_45_54_yrs,p_1500_1749_55_64_yrs,p_1500_1749_65_74_yrs,p_1500_1749_75_84_yrs,p_1500_1749_85ov,p_1500_1749_tot,p_1750_1999_15_19_yrs,p_1750_1999_20_24_yrs,p_1750_1999_25_34_yrs,p_1750_1999_35_44_yrs,p_1750_1999_45_54_yrs,p_1750_1999_55_64_yrs,p_1750_1999_65_74_yrs,p_1750_1999_75_84_yrs,p_1750_1999_85ov,p_1750_1999_tot,p_2000_2999_15_19_yrs,p_2000_2999_20_24_yrs,p_2000_2999_25_34_yrs,p_2000_2999_35_44_yrs,p_2000_2999_45_54_yrs,p_2000_2999_55_64_yrs,p_2000_2999_65_74_yrs,p_2000_2999_75_84_yrs,p_2000_2999_85ov,p_2000_2999_tot,p_3000_more_15_19_yrs,p_3000_more_20_24_yrs,p_3000_more_25_34_yrs,p_3000_more_35_44_yrs,p_3000_more_45_54_yrs,p_3000_more_55_64_yrs,p_3000_more_65_74_yrs,p_3000_more_75_84_yrs,p_3000_more_85ov,p_3000_more_tot,p_pi_ns_15_19_yrs,p_pi_ns_ns_20_24_yrs,p_pi_ns_ns_25_34_yrs,p_pi_ns_ns_35_44_yrs,p_pi_ns_ns_45_54_yrs,p_pi_ns_ns_55_64_yrs,p_pi_ns_ns_65_74_yrs,p_pi_ns_ns_75_84_yrs,p_pi_ns_ns_85_yrs_ovr,p_pi_ns_ns_tot,p_os_vis_15_19_yr,p_os_vis_20_24_yr,p_os_vis_25_34_yr,p_os_vis_35_44_yr,p_os_vis_45_54_yr,p_os_vis_55_64_yr,p_os_vis_65_74_yr,p_os_vis_75_84_yr,p_os_vis_85_yr_over,p_os_vis_tot,p_tot_15_19_yrs,p_tot_20_24_yrs,p_tot_25_34_yrs,p_tot_35_44_yrs,p_tot_45_54_yrs,p_tot_55_64_yrs,p_tot_65_74_yrs,p_tot_75_84_yrs,p_tot_85ov,p_tot_tot
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p17c_total_weekly_income_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-7723,Robina,"30908","74","461","694","568","622","489","335","168","42","3457","29","400","923","768","750","554","265","85","29","3805","9","219","876","749","753","547","237","82","28","3505","7","73","577","573","486","343","136","22","12","2235","3","26","417","493","454","291","99","24","3","1811","0","12","223","328","314","187","64","13","5","1153","3","13","248","468","422","232","66","15","0","1484","3","8","78","208","217","172","64","19","7","777","262","293","471","434","362","366","372","472","690","3726","131","121","96","66","53","96","83","22","3","669","3691","3851","6721","6605","6322","5489","4531","2583","1352","41145"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p17c_total_weekly_income_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-7722,Southport,"30909","85","613","887","740","724","595","371","169","93","4272","29","446","1095","858","794","655","292","117","56","4346","17","267","1008","845","834","577","260","86","37","3925","4","124","602","573","546","388","121","25","23","2408","4","51","458","504","475","320","82","23","8","1927","0","18","255","301","311","187","59","15","13","1165","0","19","266","455","407","229","77","32","12","1506","4","11","81","191","208","152","67","46","11","772","563","515","802","658","701","618","625","516","516","5525","153","346","235","114","120","132","139","35","7","1277","4236","6001","9047","7736","7720","6780","5860","3209","1671","52263"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p17c_total_weekly_income_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-7721,Surfers Paradise,"30910","46","477","801","485","504","423","395","173","60","3353","28","398","910","517","554","495","386","141","32","3467","9","217","867","551","629","538","366","120","33","3328","6","69","481","393","407","379","206","59","16","2025","0","25","352","363","386","366","185","66","9","1761","0","22","215","292","249","213","132","45","16","1196","0","18","271","424","498","347","209","83","24","1879","4","12","134","416","457","362","259","106","24","1770","371","735","1574","1196","1160","1113","1159","681","265","8259","634","883","1048","1027","984","711","570","228","45","6123","2893","4882","9518","7324","7588","6922","6712","3322","1047","50208"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p17c_total_weekly_income_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-7720,Forest Lake - Oxley,"31001","79","573","1047","903","822","504","234","110","47","4317","41","488","1329","1075","987","650","224","66","20","4877","8","297","1284","1087","967","606","167","57","28","4494","4","125","836","796","641","362","86","7","6","2857","7","48","591","729","586","294","58","13","3","2328","0","25","315","442","370","177","30","8","3","1364","0","15","330","575","478","196","36","13","13","1648","3","11","69","161","178","86","19","5","5","539","580","900","2076","1531","1022","646","491","376","274","7886","73","46","74","31","98","178","96","34","3","626","5067","5485","11694","10502","9446","6956","4474","2494","1035","57150"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p17c_total_weekly_income_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-771f,Ipswich Hinterland,"31002","125","442","700","666","807","683","423","140","36","4014","70","385","794","782","927","725","290","93","25","4090","22","299","725","816","968","771","246","56","17","3919","3","109","458","573","625","478","98","14","5","2373","4","34","296","506","566","377","71","15","9","1863","0","13","153","264","349","188","43","7","0","1027","0","11","149","344","347","239","47","11","3","1151","11","12","43","114","122","105","50","22","10","486","587","399","776","775","869","868","760","403","151","5593","25","66","77","16","10","19","23","8","3","243","4054","3456","6440","7393","8901","8716","7053","3128","983","50124"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p17c_total_weekly_income_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-771e,Ipswich Inner,"31003","155","1037","1475","1229","1223","898","561","271","71","6933","83","824","1908","1494","1566","1033","423","150","43","7532","26","564","1965","1720","1613","1062","307","102","32","7396","10","231","1394","1181","1144","729","169","26","10","4900","0","82","864","1026","1030","626","96","8","8","3739","4","40","445","683","672","384","65","10","0","2302","0","20","401","794","822","462","69","16","4","2590","15","13","86","248","291","192","51","12","7","924","630","595","1127","950","927","820","703","580","331","6668","46","33","42","44","41","46","30","16","3","301","7001","7088","14462","13370","13575","11258","7797","4451","1695","80696"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p17c_total_weekly_income_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-771d,Springfield - Redbank,"31004","144","935","1639","1063","884","578","251","72","20","5576","79","816","2040","1532","1203","661","195","31","7","6567","27","467","2088","1703","1279","709","150","17","4","6443","12","188","1332","1205","867","415","73","4","0","4095","3","72","951","1008","736","347","48","4","0","3171","0","35","464","572","473","195","30","3","0","1782","3","22","423","745","527","244","28","3","0","1988","3","13","107","224","190","70","13","3","3","628","578","505","981","802","688","535","364","171","65","4694","86","38","45","43","70","139","108","23","0","558","6043","6288","14405","12232","9815","6843","3834","1416","398","61270"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p17c_total_weekly_income_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-771c,Beaudesert,"31101","25","104","123","156","185","150","101","42","5","902","12","86","162","177","223","153","90","22","10","922","4","50","171","171","215","155","49","16","6","850","3","13","71","126","139","81","34","11","0","477","0","5","46","88","92","71","18","9","0","329","0","3","37","55","54","47","14","0","3","206","0","0","36","63","68","38","11","3","0","217","0","3","5","26","28","25","13","4","3","111","96","73","190","168","191","196","175","99","26","1216","10","15","11","4","5","5","12","0","0","59","893","737","1394","1643","1942","1795","1641","797","325","11167"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p17c_total_weekly_income_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-771b,Beenleigh,"31102","72","471","738","539","534","388","255","90","31","3116","41","359","805","689","643","460","176","38","11","3213","15","208","760","665","661","384","119","43","15","2868","3","72","374","433","395","245","58","15","4","1602","0","37","262","306","286","209","36","4","3","1140","3","11","114","174","174","118","18","3","0","619","0","8","105","190","174","131","14","8","0","628","3","6","38","57","70","44","20","12","4","245","228","229","431","389","387","326","306","179","70","2558","16","25","27","12","14","34","27","11","0","167","2607","2930","5659","5127","5021","4363","3722","1831","559","31822"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p17c_total_weekly_income_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-771a,Browns Plains,"31103","168","942","1485","1113","1061","721","283","94","25","5889","85","751","1791","1416","1283","863","222","54","18","6489","30","386","1607","1428","1376","909","194","32","11","5962","3","171","875","895","829","577","103","10","5","3470","6","63","515","601","653","406","47","3","0","2291","3","23","252","350","369","227","32","4","0","1248","0","9","215","359","375","221","26","3","0","1218","3","9","49","101","117","83","15","0","3","380","571","454","961","806","760","602","488","250","128","5003","42","46","67","51","44","90","62","21","6","422","5894","5859","11707","10334","10118","8404","5120","2146","773","60356"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p17c_total_weekly_income_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-7719,Jimboomba,"31104","103","438","555","555","578","387","193","48","13","2869","47","350","735","772","761","467","136","18","3","3285","25","255","752","896","918","488","134","17","3","3492","3","100","539","667","671","317","69","6","0","2375","0","38","421","628","541","285","39","3","0","1957","3","16","205","384","328","158","30","0","0","1129","0","10","207","465","461","201","22","3","0","1378","0","8","60","150","126","76","21","3","4","440","324","211","367","464","507","346","219","96","27","2559","74","17","21","7","14","24","22","11","0","193","3560","2701","5361","6807","6811","4797","3049","949","216","34249"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p17c_total_weekly_income_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-7718,Loganlea - Carbrook,"31105","117","580","981","720","682","577","354","153","39","4213","70","537","1207","897","850","675","246","63","26","4571","25","306","1165","1123","938","694","227","47","16","4540","7","124","753","763","714","489","94","11","0","2949","3","56","482","666","545","369","62","8","3","2193","3","20","278","398","345","232","37","4","0","1319","0","12","265","473","444","261","46","8","7","1519","0","10","80","161","191","142","45","12","4","643","359","315","625","555","533","505","435","303","214","3846","56","27","43","31","39","67","44","24","4","340","4107","4159","8403","8001","7399","6797","4945","2257","951","47019"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p17c_total_weekly_income_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-7717,Springwood - Kingston,"31106","111","696","1268","1042","836","763","418","121","36","5288","54","586","1473","1203","1058","829","297","70","12","5577","12","309","1389","1209","1067","787","263","38","18","5086","7","122","882","913","705","451","145","18","0","3241","3","53","612","693","534","377","77","10","0","2360","0","27","324","455","347","214","47","4","3","1422","0","12","300","528","432","254","38","6","3","1573","8","9","88","169","168","98","40","10","0","593","525","452","818","714","666","631","537","291","141","4765","77","43","78","57","74","120","53","18","6","530","5342","5397","11446","10660","9159","8244","6418","2402","845","59908"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p17c_total_weekly_income_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-7716,Bowen Basin - North,"31201","52","211","370","263","304","276","237","75","17","1790","43","235","450","344","360","305","154","38","12","1940","21","229","472","393","470","363","144","37","7","2138","7","132","438","330","399","277","60","7","3","1642","17","98","451","404","406","273","60","14","7","1717","13","94","436","453","414","225","48","3","0","1681","9","106","1132","1167","901","448","55","10","4","3837","3","26","490","639","550","298","54","4","3","2071","309","500","2040","1882","1793","1211","454","194","63","8446","19","166","239","31","24","39","36","17","9","577","1658","2429","8067","7152","6872","5491","3344","1228","362","36609"
