sa3_name16,sa3_code16,median_age_persons,median_mortgage_repay_monthly,median_tot_prsnl_inc_weekly,median_rent_weekly,median_tot_fam_inc_weekly,average_num_psns_per_bedroom,median_tot_hhd_inc_weekly,average_household_size
Queanbeyan,10102,38,2080,930,300,2296,0.8,1878,2.6
Snowy Mountains,10103,44,1300,669,220,1539,0.8,1176,2.3
South Coast,10104,52,1387,524,250,1211,0.7,961,2.2
Goulburn - Mulwaree,10105,43,1517,618,250,1491,0.8,1178,2.4
Young - Yass,10106,43,1560,662,225,1637,0.8,1288,2.5
Gosford,10201,43,1900,632,360,1691,0.8,1330,2.5
Wyong,10202,41,1733,568,340,1448,0.8,1190,2.5
Bathurst,10301,38,1638,642,270,1616,0.8,1301,2.5
Lachlan Valley,10302,44,1108,543,175,1305,0.7,1025,2.4
Lithgow - Mudgee,10303,44,1517,529,245,1375,0.8,1054,2.4
Orange,10304,38,1603,663,260,1670,0.8,1314,2.5
Clarence Valley,10401,49,1300,478,255,1133,0.8,912,2.3
Coffs Harbour,10402,44,1560,557,300,1325,0.8,1086,2.4
Bourke - Cobar - Coonamble,10501,40,1000,557,150,1345,0.8,1040,2.4
Broken Hill and Far West,10502,44,932,524,180,1260,0.7,965,2.2
Dubbo,10503,40,1365,617,220,1429,0.8,1176,2.5
Lower Hunter,10601,38,1625,578,280,1543,0.8,1284,2.6
Maitland,10602,36,1733,652,320,1690,0.8,1436,2.7
Port Stephens,10603,45,1690,563,300,1402,0.7,1158,2.5
Upper Hunter,10604,38,1700,635,240,1629,0.8,1294,2.5
Dapto - Port Kembla,10701,40,1733,526,300,1486,0.8,1220,2.6
Illawarra Catchment Reserve,10702,67,0,374,0,0,0.0,0,0.0
Kiama - Shellharbour,10703,41,1907,604,350,1620,0.8,1382,2.7
Wollongong,10704,38,2093,620,340,1870,0.9,1413,2.5
Great Lakes,10801,54,1387,476,260,1079,0.7,855,2.2
Kempsey - Nambucca,10802,49,1300,471,243,1096,0.8,869,2.3
Lord Howe Island,10803,44,1867,762,220,1774,0.8,1397,2.2
Port Macquarie,10804,48,1670,540,310,1299,0.8,1042,2.3
Taree - Gloucester,10805,49,1300,476,250,1129,0.8,905,2.3
Albury,10901,40,1387,634,230,1512,0.8,1181,2.4
Lower Murray,10902,44,1083,576,150,1345,0.8,1083,2.4
Upper Murray exc. Albury,10903,48,1200,561,190,1324,0.7,1037,2.3
Armidale,11001,39,1387,569,240,1453,0.8,1159,2.4
Inverell - Tenterfield,11002,46,1083,482,195,1122,0.8,873,2.3
Moree - Narrabri,11003,39,1300,656,175,1518,0.8,1246,2.5
Tamworth - Gunnedah,11004,40,1463,620,250,1445,0.8,1174,2.4
Lake Macquarie - East,11101,42,1800,624,320,1683,0.8,1332,2.5
Lake Macquarie - West,11102,43,1733,582,320,1499,0.8,1276,2.6
Newcastle,11103,37,1750,655,340,1756,0.8,1355,2.4
Richmond Valley - Coastal,11201,46,1733,592,350,1396,0.8,1137,2.4
Richmond Valley - Hinterland,11202,44,1330,516,250,1265,0.8,1004,2.4
Tweed Valley,11203,47,1733,539,340,1332,0.8,1064,2.4
Griffith - Murrumbidgee (West),11301,39,1300,648,200,1493,0.8,1242,2.6
Tumut - Tumbarumba,11302,45,1300,577,180,1417,0.8,1120,2.3
Wagga Wagga,11303,38,1408,652,248,1552,0.8,1244,2.5
Shoalhaven,11401,48,1517,511,280,1226,0.7,992,2.3
Southern Highlands,11402,47,1842,645,350,1638,0.7,1334,2.4
Baulkham Hills,11501,39,2500,809,570,2468,0.8,2328,3.1
Dural - Wisemans Ferry,11502,43,2600,748,450,2308,0.8,2149,3.1
Hawkesbury,11503,40,2167,762,360,2038,0.8,1890,3.0
Rouse Hill - McGraths Hill,11504,35,2600,854,590,2455,0.9,2407,3.4
Blacktown,11601,35,2000,652,380,1723,0.9,1584,3.0
Blacktown - North,11602,33,2470,845,500,2305,0.9,2265,3.3
Mount Druitt,11603,32,1911,577,330,1509,1.0,1434,3.2
Botany,11701,35,2400,720,460,1921,1.1,1626,2.7
Sydney Inner City,11703,32,2500,956,570,2526,1.2,1935,2.0
Eastern Suburbs - South,11802,34,2600,834,550,2421,1.0,1916,2.5
Bankstown,11901,35,2100,509,400,1485,1.0,1332,3.1
Canterbury,11902,35,2000,492,370,1370,1.1,1268,3.0
Hurstville,11903,37,2167,612,430,1765,1.0,1571,2.9
Kogarah - Rockdale,11904,35,2167,667,460,1763,1.1,1600,2.7
Canada Bay,12001,37,2500,895,570,2386,1.0,2073,2.6
Leichhardt,12002,38,3000,1235,580,3324,1.0,2443,2.4
Strathfield - Burwood - Ashfield,12003,34,2167,700,460,1958,1.1,1733,2.7
Chatswood - Lane Cove,12101,36,2750,1027,560,2784,1.0,2311,2.6
Hornsby,12102,38,2300,793,480,2248,1.0,2008,2.8
Ku-ring-gai,12103,41,3000,942,650,3048,0.9,2642,3.0
North Sydney - Mosman,12104,38,2700,1361,570,3353,1.0,2393,2.1
Manly,12201,38,3033,1193,650,3339,1.0,2620,2.5
Pittwater,12202,44,2817,874,600,2431,0.9,2121,2.8
Warringah,12203,39,2600,871,530,2427,1.0,2095,2.7
Camden,12301,34,2167,820,450,2181,0.8,2048,3.1
Campbelltown (NSW),12302,34,1842,630,350,1596,0.9,1458,3.0
Wollondilly,12303,37,2167,724,360,1978,0.8,1813,3.0
Blue Mountains,12401,44,1842,689,350,1866,0.8,1468,2.5
Blue Mountains - South,12402,60,0,0,0,0,0.0,0,1.0
Penrith,12403,34,2000,751,370,1933,0.8,1711,2.8
Richmond - Windsor,12404,36,1950,688,360,1752,0.8,1483,2.7
St Marys,12405,34,1863,683,370,1694,0.9,1532,2.9
Auburn,12501,32,2000,519,450,1410,1.2,1469,3.1
Carlingford,12502,38,2167,645,438,1896,0.9,1695,2.9
Merrylands - Guildford,12503,33,2000,490,380,1403,1.1,1282,3.1
Parramatta,12504,34,2080,722,420,1879,1.1,1718,2.8
Pennant Hills - Epping,12601,39,2500,797,530,2441,0.9,2205,3.0
Ryde - Hunters Hill,12602,36,2300,749,460,2167,1.0,1831,2.7
Bringelly - Green Valley,12701,33,2167,614,400,1760,0.9,1720,3.4
Marrickville - Sydenham - Petersham,11702,35,2500,900,460,2312,1.0,1944,2.4
Eastern Suburbs - North,11801,36,3000,1238,630,3245,1.0,2422,2.3
Fairfield,12702,37,1820,442,350,1279,1.0,1245,3.3
Liverpool,12703,34,2100,603,360,1665,1.0,1504,3.1
Cronulla - Miranda - Caringbah,12801,41,2500,839,450,2277,0.9,1866,2.6
Sutherland - Menai - Heathcote,12802,39,2383,833,440,2343,0.9,2096,2.9
Ballarat,20101,38,1374,592,250,1499,0.8,1171,2.4
Creswick - Daylesford - Ballan,20102,47,1387,561,230,1405,0.8,1120,2.4
Maryborough - Pyrenees,20103,49,1083,464,190,1097,0.8,838,2.3
Bendigo,20201,38,1387,609,250,1451,0.8,1176,2.4
Heathcote - Castlemaine - Kyneton,20202,46,1439,590,260,1479,0.8,1185,2.4
Loddon - Elmore,20203,49,1000,487,140,1231,0.8,937,2.3
Barwon - West,20301,40,1650,646,260,1671,0.8,1480,2.8
Geelong,20302,39,1517,595,280,1573,0.8,1234,2.4
Surf Coast - Bellarine Peninsula,20303,44,1733,662,330,1702,0.7,1377,2.5
Upper Goulburn Valley,20401,46,1300,570,230,1386,0.8,1095,2.3
Wangaratta - Benalla,20402,46,1300,578,200,1347,0.7,1045,2.3
Wodonga - Alpine,20403,42,1387,636,240,1483,0.8,1205,2.4
Baw Baw,20501,42,1465,585,250,1463,0.8,1198,2.5
Gippsland - East,20502,50,1291,505,220,1190,0.7,934,2.2
Gippsland - South West,20503,48,1300,519,231,1243,0.7,970,2.3
Latrobe Valley,20504,41,1200,544,200,1414,0.8,1077,2.3
Wellington,20505,43,1300,563,210,1412,0.7,1103,2.3
Brunswick - Coburg,20601,34,2000,763,380,2100,1.0,1655,2.4
Darebin - South,20602,36,2058,834,365,2284,1.0,1726,2.4
Essendon,20603,35,2167,818,341,2281,0.9,1701,2.4
Melbourne City,20604,28,2000,642,450,2062,1.1,1354,2.0
Port Phillip,20605,36,2167,1087,400,2559,1.0,1842,2.0
Tullamarine - Broadmeadows,21005,32,1681,491,320,1399,1.0,1331,3.2
Knox,21101,39,1733,664,351,1820,0.8,1561,2.7
Manningham - East,21102,43,2167,735,391,2363,0.8,2083,3.0
Maroondah,21103,38,1800,696,340,1895,0.8,1543,2.6
Whitehorse - East,21104,40,2000,658,366,1900,0.8,1571,2.6
Yarra Ranges,21105,40,1733,667,325,1768,0.8,1501,2.7
Cardinia,21201,34,1733,679,320,1701,0.8,1497,2.8
Casey - North,21202,36,1712,611,331,1668,0.9,1516,3.0
Casey - South,21203,32,1749,661,341,1647,0.9,1581,3.2
Dandenong,21204,35,1625,486,305,1314,1.0,1206,2.9
Monash,21205,37,2000,564,391,1798,0.9,1503,2.8
Brimbank,21301,35,1560,482,300,1341,0.9,1252,3.0
Hobsons Bay,21302,39,1950,721,333,1974,0.9,1597,2.6
Maribyrnong,21303,33,2000,703,330,1913,1.0,1551,2.5
