sa3_name16,sa3_code16,canada_before_1946,canada_1946_1955,canada_1956_1965,canada_1966_1975,canada_1976_1985,canada_1986_1995,canada_1996_2005,canada_2006_2010,canada_2011,canada_2012,canada_2013,canada_2014,canada_2015,canada_2016,canada_yr_arrival_notstated,canada_tot,china_exc_sars_taiw_bef_1946,china_exc_sars_taiwan_46_55,china_exc_sars_taiwan_56_65,china_exc_sars_taiwan_66_75,china_exc_sars_taiwan_76_85,china_exc_sars_taiwan_86_95,china_exc_sars_taiwan_96_05,china_exc_sars_taiwan_06_10,china_exc_sars_taiwan_2011,china_exc_sars_taiwan_2012,china_exc_sars_taiwan_2013,china_exc_sars_taiwan_2014,china_exc_sars_taiwan_2015,china_exc_sars_taiwan_2016,china_exc_sars_tawan_arr_notstated,china_exc_sars_taiwan_tot,croatia_before_1946,croatia_1946_1955,croatia_1956_1965,croatia_1966_1975,croatia_1976_1985,croatia_1986_1995,croatia_1996_2005,croatia_2006_2010,croatia_2011,croatia_2012,croatia_2013,croatia_2014,croatia_2015,croatia_2016,croatia_yr_arrival_notstated,croatia_tot,egypt_before_1946,egypt_1946_1955,egypt_1956_1965,egypt_1966_1975,egypt_1976_1985,egypt_1986_1995,egypt_1996_2005,egypt_2006_2010,egypt_2011,egypt_2012,egypt_2013,egypt_2014,egypt_2015,egypt_2016,egypt_yr_arrival_notstated,egypt_tot,fiji_before_1946,fiji_1946_1955,fiji_1956_1965,fiji_1966_1975,fiji_1976_1985,fiji_1986_1995,fiji_1996_2005,fiji_2006_2010,fiji_2011,fiji_2012,fiji_2013,fiji_2014,fiji_2015,fiji_2016,fiji_yr_arrival_notstated,fiji_tot,germany_before_1946,germany_1946_1955,germany_1956_1965,germany_1966_1975,germany_1976_1985,germany_1986_1995,germany_1996_2005,germany_2006_2010,germany_2011,germany_2012,germany_2013,germany_2014,germany_2015,germany_2016,germany_yr_arrival_notstated,germany_tot,greece_before_1946,greece_1946_1955,greece_1956_1965,greece_1966_1975,greece_1976_1985,greece_1986_1995,greece_1996_2005,greece_2006_2010,greece_2011,greece_2012,greece_2013,greece_2014,greece_2015,greece_2016,greece_yr_arrival_notstated,greece_tot,hng_kng_sar_china_bfre_1946,hng_kng_sar_china_1946_1955,hng_kng_sar_china_1956_1965,hng_kng_sar_china_1966_1975,hng_kng_sar_china_1976_1985,hng_kng_sar_china_1986_1995,hng_kng_sar_china_1996_2005,hng_kng_sar_china_2006_2010,hong_kong_sar_china_2011,hong_kong_sar_china_2012,hong_kong_sar_china_2013,hong_kong_sar_china_2014,hong_kong_sar_china_2015,hong_kong_sar_china_2016,hng_kng_sar_chna_arrival_notstated,hong_kong_sar_china_tot,india_before_1946,india_1946_1955,india_1956_1965,india_1966_1975,india_1976_1985,india_1986_1995,india_1996_2005,india_2006_2010,india_2011,india_2012,india_2013,india_2014,india_2015,india_2016,india_yr_arrival_notstated,india_tot,indonesia_before_1946,indonesia_1946_1955,indonesia_1956_1965,indonesia_1966_1975,indonesia_1976_1985,indonesia_1986_1995,indonesia_1996_2005,indonesia_2006_2010,indonesia_2011,indonesia_2012,indonesia_2013,indonesia_2014,indonesia_2015,indonesia_2016,indonesia_yr_arrival_notstated,indonesia_tot,iran_before_1946,iran_1946_1955,iran_1956_1965,iran_1966_1975,iran_1976_1985,iran_1986_1995,iran_1996_2005,iran_2006_2010,iran_2011,iran_2012,iran_2013,iran_2014,iran_2015,iran_2016,iran_yr_arrival_notstated,iran_tot,iraq_before_1946,iraq_1946_1955,iraq_1956_1965,iraq_1966_1975,iraq_1976_1985,iraq_1986_1995,iraq_1996_2005,iraq_2006_2010,iraq_2011,iraq_2012,iraq_2013,iraq_2014,iraq_2015,iraq_2016,iraq_yr_arrival_notstated,iraq_tot,ireland_before_1946,ireland_1946_1955,ireland_1956_1965,ireland_1966_1975,ireland_1976_1985,ireland_1986_1995,ireland_1996_2005,ireland_2006_2010
Queanbeyan,10102,0,0,7,18,19,25,26,12,0,0,3,3,3,0,6,120,0,3,7,3,4,20,51,63,13,3,5,8,12,9,7,215,0,6,37,92,3,17,7,0,0,0,0,0,0,0,8,171,0,4,0,4,0,3,0,9,7,0,0,5,3,6,3,50,0,0,0,7,14,19,31,27,12,3,8,3,0,0,0,127,0,98,73,31,21,20,23,5,0,0,3,3,0,0,9,293,0,22,61,36,6,4,3,0,0,0,0,0,0,0,7,134,0,0,3,6,7,8,3,3,0,0,0,3,0,0,0,46,0,3,0,14,14,30,85,383,36,44,48,87,61,41,9,855,0,0,3,3,3,16,15,9,0,3,3,3,10,9,0,83,0,0,0,0,8,8,3,3,0,3,0,3,9,3,0,36,0,0,0,0,3,0,3,5,3,0,0,3,0,0,0,21,0,4,5,16,15,9,10,11
Snowy Mountains,10103,0,0,3,8,9,9,21,8,3,4,4,3,3,7,10,106,0,7,5,0,0,14,22,16,3,0,5,6,3,0,12,99,0,4,3,11,0,0,0,0,0,0,0,0,0,0,3,22,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,3,0,8,0,0,0,0,0,0,0,0,0,14,0,73,62,37,13,17,13,11,0,3,3,0,0,0,5,244,0,4,10,6,0,0,0,0,0,0,4,0,0,0,0,24,0,0,3,6,3,8,11,0,0,0,0,3,11,0,10,56,0,0,4,10,0,5,7,18,3,0,3,3,0,0,4,50,0,0,3,0,3,4,0,4,0,0,0,4,7,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,17,0,4,9,9
South Coast,10104,0,0,11,28,21,13,19,17,3,3,0,0,3,0,0,119,8,8,12,0,0,12,15,15,3,0,0,4,0,3,3,79,0,3,45,69,3,0,0,0,0,0,0,0,0,0,5,127,0,3,6,13,0,0,3,0,0,0,0,0,0,0,4,29,0,3,3,5,3,7,3,3,0,0,0,0,0,0,6,33,0,177,152,86,41,34,30,14,0,0,3,0,0,0,20,554,0,9,27,27,0,0,0,0,3,0,0,0,0,0,3,75,4,0,3,4,7,3,0,3,0,0,0,0,0,0,0,23,3,6,9,11,0,3,12,27,3,13,8,4,7,0,7,121,0,10,11,6,3,3,3,3,0,0,3,0,3,0,3,42,0,0,0,0,0,0,6,3,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,22,38,19,17,15,15
Goulburn - Mulwaree,10105,0,0,0,3,3,6,3,7,0,0,0,0,0,0,3,25,0,3,4,0,0,8,18,19,5,0,5,3,3,0,5,81,0,0,11,11,0,3,0,0,0,0,0,0,0,0,3,24,0,3,3,0,0,0,0,0,0,0,0,0,0,0,4,20,0,3,0,4,0,12,3,3,0,0,0,0,0,0,3,33,0,25,21,33,3,7,9,4,0,0,0,0,0,0,7,117,0,3,14,6,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,3,7,4,0,0,0,0,0,0,0,5,24,0,0,3,11,4,3,4,54,0,10,5,17,25,6,0,151,0,0,0,0,3,3,6,0,3,3,0,0,0,0,4,26,0,0,0,0,0,0,0,10,0,0,0,0,4,0,8,23,0,0,0,0,0,0,3,0,0,0,0,3,0,0,8,18,0,0,0,15,3,7,0,7
Young - Yass,10106,0,0,3,12,3,8,4,9,0,0,0,0,3,0,0,42,3,0,6,3,4,7,16,9,3,0,0,0,0,3,3,53,0,0,9,26,0,4,3,0,0,0,0,0,0,0,0,35,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,3,8,4,0,0,0,0,0,0,0,0,17,0,34,27,12,6,12,10,0,0,0,0,0,3,0,3,107,0,0,3,8,3,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,3,0,4,0,0,0,3,0,0,0,11,0,0,0,5,0,0,10,13,4,3,8,5,0,0,0,52,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,6,11,9,3,4,14
Gosford,10201,0,8,16,56,49,51,102,65,11,14,12,4,8,6,12,405,13,28,48,10,31,123,266,240,43,40,45,54,34,25,50,1039,0,8,41,56,10,13,6,3,0,0,8,0,0,0,9,147,0,34,50,57,9,16,6,13,3,3,4,0,0,3,12,218,0,5,10,28,39,63,31,17,4,3,3,0,0,4,13,227,4,178,132,71,67,36,81,66,8,12,13,4,0,3,19,686,0,31,75,35,5,0,11,0,0,0,0,0,3,0,8,180,4,0,10,24,30,45,33,13,0,3,4,4,3,0,8,185,3,23,22,70,44,44,100,233,58,66,52,52,34,25,28,850,3,12,14,17,20,18,54,39,10,4,4,0,10,3,7,228,0,0,0,11,9,16,17,14,6,3,0,0,4,6,0,85,0,0,0,7,3,4,11,3,3,0,0,0,0,0,0,27,6,17,35,108,64,119,92,90
Wyong,10202,0,0,6,31,23,18,34,24,4,4,3,0,0,0,0,157,3,14,34,4,23,86,107,88,12,23,29,6,12,13,12,463,0,7,31,62,5,4,3,0,0,0,0,0,0,0,3,117,0,37,42,22,10,15,4,4,0,0,0,0,0,0,3,139,0,0,9,20,18,45,15,13,6,5,0,6,3,0,7,157,0,153,114,71,32,35,24,15,0,0,0,6,0,0,18,470,0,22,54,47,3,0,0,0,0,3,0,0,0,0,0,149,4,3,9,8,13,17,14,4,0,0,0,4,0,0,3,81,0,14,11,48,19,29,64,161,32,36,28,25,28,12,20,534,0,17,6,9,19,30,30,15,5,5,12,11,9,5,4,165,0,0,0,8,5,4,9,3,0,0,3,0,0,0,0,37,0,0,0,3,0,9,0,3,0,0,0,0,0,6,4,29,3,15,48,146,40,53,38,24
Bathurst,10301,0,3,3,6,7,4,13,10,4,0,3,0,0,0,0,61,0,4,3,0,4,15,24,23,7,14,7,9,9,3,11,142,0,0,7,11,0,0,4,0,0,0,0,0,0,0,3,22,0,0,3,3,0,3,10,0,0,0,0,0,0,0,3,19,0,0,0,3,4,10,13,3,0,0,0,0,0,0,9,48,3,52,22,7,13,9,3,4,0,3,0,0,0,0,4,130,0,3,10,6,0,0,0,0,0,0,0,0,0,0,5,23,0,0,0,3,0,5,3,3,0,0,0,3,0,3,4,23,0,0,3,4,3,9,20,69,8,15,15,13,14,4,3,179,0,4,3,0,3,0,4,5,0,0,0,0,0,0,0,19,0,0,0,0,0,0,8,0,3,4,3,0,4,0,3,29,0,0,0,0,0,0,0,6,0,0,0,0,0,0,12,21,0,3,5,14,5,14,13,9
Lachlan Valley,10302,0,0,3,3,3,0,0,21,3,0,0,0,0,0,0,33,0,0,7,0,3,18,25,25,4,10,0,12,7,0,3,107,0,0,8,16,0,0,0,0,0,0,0,0,0,0,0,23,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,13,0,0,0,0,7,7,3,9,3,0,0,0,0,0,0,35,0,55,21,10,9,9,3,0,0,0,0,0,0,0,4,108,0,3,10,6,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,4,8,0,0,0,0,0,0,0,0,0,18,0,0,0,3,3,0,19,40,7,17,7,15,3,0,8,130,0,4,3,0,0,0,0,4,0,9,0,0,3,0,3,30,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,8,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,19,0,6,5,17,3,3,8,3
Lithgow - Mudgee,10303,0,0,0,8,6,7,11,7,0,0,3,0,0,0,3,43,0,3,5,0,3,9,14,21,6,3,3,0,0,0,21,92,0,0,14,13,3,3,0,0,0,0,0,0,0,0,0,34,0,3,0,3,0,0,0,3,0,6,0,0,0,0,0,14,0,0,0,3,3,10,6,4,0,3,0,0,0,0,7,36,0,59,36,29,6,13,0,0,3,0,0,0,0,0,7,159,0,0,18,11,4,0,0,0,0,0,0,0,0,0,5,35,0,0,0,3,7,3,3,0,0,0,0,0,0,0,6,25,0,0,0,14,0,4,17,42,0,8,0,0,11,3,9,109,0,3,4,0,3,3,7,0,0,0,0,0,0,3,0,25,0,0,0,0,0,5,0,6,0,0,0,0,0,0,3,8,0,0,0,0,0,0,8,5,0,0,0,0,0,0,11,25,0,0,3,15,3,7,7,12
