sa3_code16,sme_usl_ad_5_yr_ago_as_2016_m,sme_usl_ad_5_yr_ago_as_2016_f,sme_usl_ad_5_yr_ago_as_2016_p,dif_usl_ad_5_yr_ago_sme_sa2_m,dif_usl_ad_5_yr_ago_sme_sa2_f,dif_usl_ad_5_yr_ago_sme_sa2_p,dif_us_ad_5_ago_dif_sa2_nsw_m,dif_us_ad_5_ago_dif_sa2_nsw_f,dif_us_ad_5_ago_dif_sa2_nsw_p,dif_us_ad_5_ago_dif_sa2_vic_m,dif_us_ad_5_ago_dif_sa2_vic_f,dif_us_ad_5_ago_dif_sa2_vic_p,dif_us_ad_5_ago_dif_sa2_qld_m,dif_us_ad_5_ago_dif_sa2_qld_f,dif_us_ad_5_ago_dif_sa2_qld_p,dif_us_ad_5_ago_dif_sa2_sa_m,dif_us_ad_5_ago_dif_sa2_sa_f,dif_us_ad_5_ago_dif_sa2_sa_p,dif_us_ad_5_ago_dif_sa2_wa_m,dif_us_ad_5_ago_dif_sa2_wa_f,dif_us_ad_5_ago_dif_sa2_wa_p,dif_us_ad_5_ago_dif_sa2_tas_m,dif_us_ad_5_ago_dif_sa2_tas_f,dif_us_ad_5_ago_dif_sa2_tas_p,dif_us_ad_5_ago_dif_sa2_nt_m,dif_us_ad_5_ago_dif_sa2_nt_f,dif_us_ad_5_ago_dif_sa2_nt_p,dif_us_ad_5_ago_dif_sa2_act_m,dif_us_ad_5_ago_dif_sa2_act_f,dif_us_ad_5_ago_dif_sa2_act_p,dif_us_ad_5_ago_dif_sa2_ot_m,dif_us_ad_5_ago_dif_sa2_ot_f,dif_us_ad_5_ago_dif_sa2_ot_p,dif_us_ad_5_ago_dif_sa2_tot_m,dif_us_ad_5_ago_dif_sa2_tot_f,dif_us_ad_5_ago_dif_sa2_tot_p,difnt_usl_add_5_yr_ago_os_m,difnt_usl_add_5_yr_ago_os_f,difnt_usl_add_5_yr_ago_os_p,difnt_usl_add_5_yr_ago_ns_m,difnt_usl_add_5_yr_ago_ns_f,difnt_usl_add_5_yr_ago_ns_p,difnt_usl_add_5_yr_ago_tot_m,difnt_usl_add_5_yr_ago_tot_f,difnt_usl_add_5_yr_ago_tot_p,n_stated_m,n_stated_f,n_stated_p,tot_m,tot_f,tot_p,sa3_name16
80106,5035,5412,10442,368,402,769,1197,1341,2537,401,409,810,344,367,714,151,145,301,117,144,256,31,44,75,53,50,106,2474,2561,5036,6,6,11,4779,5060,9838,1110,1191,2296,82,95,177,6346,6747,13088,1052,1162,2217,12434,13321,25753,South Canberra
80107,24445,25635,50078,1070,1065,2135,1765,1942,3702,329,322,652,442,483,923,107,127,236,84,97,175,40,50,92,82,93,173,7123,7451,14574,0,0,0,9967,10557,20525,1067,1191,2263,208,153,356,12304,12977,25278,1898,2078,3977,38654,40680,79340,Tuggeranong
80108,6245,6747,12994,187,236,417,475,550,1021,119,126,247,129,124,253,45,51,101,46,48,95,16,7,24,26,31,59,1988,2040,4030,0,0,0,2854,2976,5834,385,438,825,37,41,79,3465,3691,7154,605,703,1304,10316,11139,21456,Weston Creek
80109,8147,8855,17004,393,424,817,1026,1029,2052,281,274,555,268,271,540,73,92,167,62,70,133,38,35,69,36,47,88,3145,3158,6298,3,3,6,4929,4971,9904,1436,1625,3063,78,76,148,6834,7090,13930,991,956,1952,15975,16907,32881,Woden Valley
80110,44,55,96,0,0,0,241,237,479,39,36,77,46,43,88,21,13,30,10,17,25,3,7,11,13,16,31,1242,1333,2572,0,0,0,1611,1694,3314,163,211,375,21,14,41,1799,1926,3719,146,165,317,1991,2147,4136,Molonglo
80111,145,130,274,8,6,11,14,5,18,3,6,7,8,6,12,0,0,0,0,0,3,0,0,0,0,0,0,74,83,161,3,0,3,105,105,210,6,7,12,0,0,0,116,118,236,22,24,47,287,270,556,Urriarra - Namadgi
90101,425,352,781,58,66,121,17,11,29,6,7,15,19,7,31,12,8,18,69,53,124,3,3,8,3,0,3,13,14,27,0,0,0,151,102,258,34,43,72,3,7,8,247,212,461,396,102,494,1066,670,1739,Christmas Island
90102,178,182,355,6,7,19,3,3,6,0,0,0,0,0,0,0,0,0,20,23,48,0,0,0,4,0,4,0,0,0,0,0,4,30,32,59,0,0,0,0,3,8,42,40,83,28,29,55,250,247,496,Cocos (Keeling) Islands
90103,86,83,167,0,0,0,30,14,43,4,3,7,18,3,20,0,0,3,5,3,5,0,0,0,0,0,3,10,7,17,0,0,0,65,33,96,9,4,14,5,6,11,80,41,122,45,31,72,203,156,363,Jervis Bay
90104,516,578,1089,62,85,147,54,42,97,9,4,9,34,29,59,0,3,3,0,8,10,0,0,0,3,3,6,6,3,6,0,0,0,102,97,197,47,56,105,0,0,4,208,241,447,51,71,123,774,890,1665,Norfolk Island
