gml_id,sa3_code16,p_aged_15_yr_over_m,p_aged_15_yr_over_f,p_aged_15_yr_over_p,lab_for_st_empl_worked_ft_m,lab_for_st_empl_worked_ft_f,lab_for_st_empl_worked_ft_p,lab_for_st_empl_worked_pt_m,lab_for_st_empl_worked_pt_f,lab_for_st_empl_worked_pt_p,lab_for_st_empl_awy_frm_wrk_m,lab_for_st_empl_awy_frm_wrk_f,lab_for_st_empl_awy_frm_wrk_p,lab_for_st_unemp_lkg_fr_wrk_m,lab_for_st_unemp_lkg_fr_wrk_f,lab_for_st_unemp_lkg_fr_wrk_p,lab_for_st_tot_labour_force_m,lab_for_st_tot_labour_force_f,lab_for_st_tot_labour_force_p,lab_for_st_n_the_lbour_frce_m,lab_for_st_n_the_lbour_frce_f,lab_for_st_n_the_lbour_frce_p,percent_unemployment_m,percent_unemployment_f,percent_unemployment_p,pcent_lab_force_particip_m,pcent_lab_force_particip_f,pcent_lab_force_particip_p,pcent_employmnt_to_pop_m,pcent_employmnt_to_pop_f,pcent_employmnt_to_pop_p,non_sc_quals_postgrad_deg_m,non_sc_quals_postgrad_deg_f,non_sc_quals_postgrad_deg_p,non_sc_qua_gra_dip_gra_cer_m,non_sc_qua_gra_dip_gra_cer_f,non_sc_qua_gra_dip_gra_cer_p,non_sc_quals_bachelor_deg_m,non_sc_quals_bachelor_deg_f,non_sc_quals_bachelor_deg_p,non_sc_quals_adv_dip_dip_m,non_sc_quals_adv_dip_dip_f,non_sc_quals_adv_dip_dip_p,non_sc_quals_cert3a4_level_m,non_sc_quals_cert3a4_level_f,non_sc_quals_cert3a4_level_p,non_sc_quals_cert1a2_level_m,non_sc_quals_cert1a2_level_f,non_sc_quals_cert1a2_level_p,non_sc_quals_certnfd_level_m,non_sc_quals_certnfd_level_f,non_sc_quals_certnfd_level_p,non_sc_quals_certtot_level_m,non_sc_quals_certtot_level_f,non_sc_quals_certtot_level_p,mig_lvd_same_add_1_yr_ago_m,mig_lvd_same_add_1_yr_ago_f,mig_lvd_same_add_1_yr_ago_p,mig_lvd_diff_add_1_yr_ago_m,mig_lvd_diff_add_1_yr_ago_f,mig_lvd_diff_add_1_yr_ago_p,mig_lvd_same_add_5_yr_ago_m,mig_lvd_same_add_5_yr_ago_f,mig_lvd_same_add_5_yr_ago_p,mig_lvd_diff_add_5_yr_ago_m,mig_lvd_diff_add_5_yr_ago_f,mig_lvd_diff_add_5_yr_ago_p,sa3_name16
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p37_slct_lbr_frc_edu_mgrtn_char_by_sex_census_2016.fid-5ff86f36_1724bdf6fd3_61e7,"10102","23171","23036","46207","12175","8253","20430","2532","5203","7741","739","912","1653","680","570","1245","16133","14935","31065","4891","6388","11282",4.2,3.8,4,69.6,64.8,67.2,66.7,62.4,64.5,"1493","1207","2700","478","814","1288","2638","3761","6403","1965","2564","4531","5351","2390","7743","175","380","554","291","587","879","5815","3357","9170","21606","21361","42966","4039","4142","8179","14217","14023","28242","10242","10501","20739",Queanbeyan
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p37_slct_lbr_frc_edu_mgrtn_char_by_sex_census_2016.fid-5ff86f36_1724bdf6fd3_61e8,"10103","14090","12211","26297","6303","3548","9852","1661","2998","4662","629","545","1170","246","187","432","8841","7271","16117","3122","3275","6394",2.8,2.6,2.7,62.7,59.5,61.3,61,58.1,59.6,"624","518","1148","217","324","539","1871","2162","4032","1012","1302","2319","3437","1351","4780","125","208","335","198","348","545","3760","1903","5661","11913","10595","22509","2096","2017","4116","8418","7416","15838","5082","4708","9789",Snowy Mountains
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p37_slct_lbr_frc_edu_mgrtn_char_by_sex_census_2016.fid-5ff86f36_1724bdf6fd3_61e9,"10104","28837","30596","59434","8427","4974","13395","3894","7063","10963","835","876","1706","981","747","1730","14135","13653","27789","12487","14631","27116",6.9,5.5,6.2,49,44.6,46.8,45.6,42.2,43.9,"686","722","1402","423","777","1207","2414","3519","5936","1902","3052","4953","8288","3605","11892","295","581","875","550","1069","1618","9134","5250","14387","26604","27614","54222","4429","4735","9161","18523","18917","37441","11491","12462","23952",South Coast
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p37_slct_lbr_frc_edu_mgrtn_char_by_sex_census_2016.fid-5ff86f36_1724bdf6fd3_61ea,"10105","14777","14388","29168","6380","3412","9792","1606","3362","4969","404","450","853","523","446","967","8911","7667","16584","4797","5592","10388",5.9,5.8,5.8,60.3,53.3,56.9,56.8,50.2,53.5,"296","322","621","148","262","413","972","1431","2402","1040","1564","2607","3956","1908","5864","154","262","412","234","472","708","4346","2636","6987","13533","13404","26940","2326","2336","4666","9173","9000","18170","5892","6033","11927",Goulburn - Mulwaree
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p37_slct_lbr_frc_edu_mgrtn_char_by_sex_census_2016.fid-5ff86f36_1724bdf6fd3_61eb,"10106","13748","14459","28208","6368","3684","10052","1620","3513","5137","474","529","1004","381","338","715","8845","8062","16905","3950","5365","9312",4.3,4.2,4.2,64.3,55.8,59.9,61.6,53.4,57.4,"424","464","896","186","362","549","1186","2035","3222","902","1397","2299","3501","1612","5110","122","247","369","213","434","644","3842","2288","6129","13827","14172","27996","2179","2372","4546","9808","9879","19688","5320","5886","11210",Young - Yass
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p37_slct_lbr_frc_edu_mgrtn_char_by_sex_census_2016.fid-5ff86f36_1724bdf6fd3_61ec,"10201","65205","71509","136714","27976","15669","43647","8134","18019","26162","1768","2107","3872","2567","2320","4888","40449","38119","78570","21272","29412","50690",6.3,6.1,6.2,62,53.3,57.5,58.1,50.1,53.9,"2272","2231","4503","826","1494","2323","7387","10136","17523","5488","8398","13886","17594","8582","26177","593","1195","1794","1266","2302","3563","19453","12082","31533","63180","67465","130639","10603","11479","22081","42175","45118","87287","28932","31406","60331",Gosford
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p37_slct_lbr_frc_edu_mgrtn_char_by_sex_census_2016.fid-5ff86f36_1724bdf6fd3_61ed,"10202","60237","66305","126549","24800","13401","38200","6934","15833","22774","1584","1927","3514","2667","2539","5205","35996","33702","69689","20668","28483","49147",7.4,7.5,7.5,59.8,50.8,55.1,55.3,47,51,"865","986","1848","418","816","1233","3510","6006","9522","3884","6500","10378","18104","9602","27700","599","1271","1866","1132","2076","3207","19834","12945","32776","58924","62447","121370","10205","11180","21383","38631","40599","79234","27461","30230","57685",Wyong
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p37_slct_lbr_frc_edu_mgrtn_char_by_sex_census_2016.fid-5ff86f36_1724bdf6fd3_61ee,"10301","18646","18763","37410","7911","4622","12529","1992","4665","6654","524","667","1193","733","608","1340","11166","10555","21715","6122","6740","12858",6.6,5.8,6.2,59.9,56.3,58,55.9,53.1,54.5,"479","532","1017","229","449","681","1469","2559","4032","1112","1800","2919","5001","2266","7263","192","408","604","292","616","906","5486","3293","8778","16780","17203","33981","3336","3470","6807","10964","11103","22068","8198","8704","16896",Bathurst
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p37_slct_lbr_frc_edu_mgrtn_char_by_sex_census_2016.fid-5ff86f36_1724bdf6fd3_61ef,"10302","21941","22197","44139","9325","4546","13874","2080","4873","6951","655","722","1382","778","633","1410","12836","10781","23622","6970","9343","16307",6.1,5.9,6,58.5,48.6,53.5,55,45.7,50.3,"205","256","462","134","306","439","1077","2164","3245","971","1810","2785","5441","2702","8139","241","505","747","376","627","1005","6052","3835","9886","21265","21148","42410","2937","3178","6117","15268","14927","30199","7666","8141","15805",Lachlan Valley
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p37_slct_lbr_frc_edu_mgrtn_char_by_sex_census_2016.fid-5ff86f36_1724bdf6fd3_61f0,"10303","18901","18552","37447","7419","3410","10830","1777","4313","6095","505","545","1056","796","583","1375","10499","8858","19358","6470","7814","14281",7.6,6.6,7.1,55.5,47.7,51.7,51.3,44.6,48,"219","283","497","140","278","417","1046","1763","2810","966","1550","2514","5513","2307","7823","212","411","629","315","538","859","6046","3262","9302","17259","17034","34298","2763","2851","5612","11873","11437","23307","7101","7412","14515",Lithgow - Mudgee
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p37_slct_lbr_frc_edu_mgrtn_char_by_sex_census_2016.fid-5ff86f36_1724bdf6fd3_61f1,"10304","21820","23323","45141","10243","6054","16296","2310","5617","7923","657","747","1405","866","719","1589","14073","13146","27213","6149","8709","14862",6.2,5.5,5.8,64.5,56.4,60.3,60.5,53.2,56.8,"638","668","1309","257","505","759","2036","3379","5417","1424","2349","3770","5704","3044","8748","239","434","677","371","767","1141","6322","4250","10568","21285","22218","43504","4106","4354","8462","14011","14371","28388","9955","10928","20881",Orange
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p37_slct_lbr_frc_edu_mgrtn_char_by_sex_census_2016.fid-5ff86f36_1724bdf6fd3_61f2,"10401","21224","22031","43250","6081","3411","9494","2431","4583","7013","599","624","1223","983","758","1746","10101","9374","19474","9519","11085","20603",9.7,8.1,9,47.6,42.5,45,42.9,39.1,41,"312","308","623","198","310","510","1285","1996","3284","1180","1935","3118","5818","2957","8769","231","432","664","392","770","1166","6438","4161","10601","19572","20115","39686","3316","3470","6789","13918","14126","28044","8004","8631","16640",Clarence Valley
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p37_slct_lbr_frc_edu_mgrtn_char_by_sex_census_2016.fid-5ff86f36_1724bdf6fd3_61f3,"10402","34460","37507","71965","11696","7149","18844","4913","9200","14118","946","1079","2023","1547","1212","2761","19103","18632","37739","12703","16018","28724",8.1,6.5,7.3,55.4,49.7,52.4,50.9,46.5,48.6,"775","853","1628","426","775","1203","3260","4998","8262","2414","4199","6608","9366","4532","13896","400","792","1187","645","1201","1845","10409","6521","16931","31923","33893","65824","6279","6931","13213","21158","22123","43280","15616","17335","32948",Coffs Harbour
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p37_slct_lbr_frc_edu_mgrtn_char_by_sex_census_2016.fid-5ff86f36_1724bdf6fd3_61f4,"10501","10503","9693","20197","4126","2348","6471","765","1634","2401","374","354","721","488","346","833","5751","4676","10430","3266","3720","6983",8.5,7.4,8,54.8,48.2,51.6,50.1,44.7,47.5,"101","149","248","45","107","152","525","964","1489","441","723","1160","2223","928","3156","112","193","309","152","209","362","2490","1329","3821","9493","8856","18353","1413","1447","2859","7000","6314","13321","3303","3367","6666",Bourke - Cobar - Coonamble
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p37_slct_lbr_frc_edu_mgrtn_char_by_sex_census_2016.fid-5ff86f36_1724bdf6fd3_61f5,"10502","8556","8774","17334","3090","1946","5033","782","1594","2378","294","285","578","444","297","739","4608","4119","8731","3099","3837","6937",9.6,7.2,8.5,53.9,46.9,50.4,48.7,43.6,46.1,"80","155","233","74","132","208","371","706","1078","370","580","952","2196","996","3193","89","171","258","92","237","335","2380","1407","3788","7941","8073","16010","1050","1173","2225","6101","6163","12263","2478","2745","5221",Broken Hill and Far West
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p37_slct_lbr_frc_edu_mgrtn_char_by_sex_census_2016.fid-5ff86f36_1724bdf6fd3_61f6,"10503","27198","28529","55728","11947","7360","19308","2544","6185","8730","791","897","1688","1059","880","1940","16346","15322","31671","8434","10781","19219",6.5,5.7,6.1,60.1,53.7,56.8,56.2,50.6,53.3,"472","556","1024","234","492","725","1803","3519","5326","1375","2496","3868","6908","3704","10611","280","606","886","438","738","1173","7629","5046","12669","25445","26384","51829","4497","4950","9444","17340","17730","35068","10984","12002","22984",Dubbo
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p37_slct_lbr_frc_edu_mgrtn_char_by_sex_census_2016.fid-5ff86f36_1724bdf6fd3_61f7,"10601","34752","34763","69518","15057","7005","22064","3687","8618","12307","1062","1062","2127","1633","1374","3004","21441","18061","39499","10930","14214","25142",7.6,7.6,7.6,61.7,52,56.8,57,48,52.5,"424","465","895","198","439","640","1679","2949","4628","1814","2990","4803","10980","5271","16251","351","822","1170","526","1057","1582","11856","7151","19009","33269","33566","66833","5595","5639","11239","22846","22505","45353","13994","14747","28740",Lower Hunter
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p37_slct_lbr_frc_edu_mgrtn_char_by_sex_census_2016.fid-5ff86f36_1724bdf6fd3_61f8,"10602","27316","29723","57038","13331","7181","20511","3165","7861","11024","735","924","1659","1302","1243","2545","18529","17203","35733","7486","11131","18617",7,7.2,7.1,67.8,57.9,62.6,63.1,53.7,58.2,"570","659","1226","244","523","764","2013","3464","5469","2002","3022","5022","8713","4512","13222","256","654","905","411","849","1257","9372","6011","15390","27704","28895","56600","5148","5637","10787","17507","18020","35529","13558","15012","28564",Maitland
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p37_slct_lbr_frc_edu_mgrtn_char_by_sex_census_2016.fid-5ff86f36_1724bdf6fd3_61f9,"10603","28433","29854","58290","10575","5336","15913","3234","7077","10310","818","876","1696","1189","1047","2236","15820","14338","30157","10611","13501","24113",7.5,7.3,7.4,55.6,48,51.7,51.4,44.5,47.9,"566","519","1088","268","426","687","1889","2905","4796","2146","3114","5256","9065","4128","13196","292","608","901","561","1031","1597","9921","5770","15690","26678","27400","54086","4852","5137","9990","17618","18085","35704","12791","13279","26071",Port Stephens
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p37_slct_lbr_frc_edu_mgrtn_char_by_sex_census_2016.fid-5ff86f36_1724bdf6fd3_61fa,"10604","11936","11689","23624","5643","2797","8443","1209","2699","3910","390","369","763","487","430","916","7734","6300","14030","3238","4481","7717",6.3,6.8,6.5,64.8,53.9,59.4,60.7,50.2,55.5,"141","149","296","69","135","199","598","1107","1703","592","950","1543","3511","1661","5169","112","254","366","164","324","486","3792","2232","6019","11337","11209","22551","2042","2159","4199","7450","7244","14697","5174","5423","10600",Upper Hunter
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p37_slct_lbr_frc_edu_mgrtn_char_by_sex_census_2016.fid-5ff86f36_1724bdf6fd3_61fb,"10701","29129","30939","60069","12008","6268","18276","3165","7226","10389","794","878","1674","1397","1147","2548","17372","15515","32888","10358","13948","24308",8,7.4,7.7,59.6,50.1,54.8,54.8,46.5,50.5,"597","691","1287","216","476","690","1976","2849","4820","1913","2921","4832","8475","4068","12542","286","597","884","485","1018","1501","9251","5682","14927","29782","31069","60846","3912","4080","7985","21726","22295","44021","10406","11206","21613",Dapto - Port Kembla
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p37_slct_lbr_frc_edu_mgrtn_char_by_sex_census_2016.fid-5ff86f36_1724bdf6fd3_61fc,"10702","4","3","8","0","0","3","0","0","0","0","0","0","0","0","0","4","0","7","0","0","0",0,0,0,100,0,87.5,0,0,37.5,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","7","0","0","0","0","3","7","0","0","0",Illawarra Catchment Reserve
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p37_slct_lbr_frc_edu_mgrtn_char_by_sex_census_2016.fid-5ff86f36_1724bdf6fd3_61fd,"10703","34298","36975","71274","15099","7609","22715","4004","9764","13766","984","1112","2100","1391","1259","2644","21479","19748","41224","11068","15167","26235",6.5,6.4,6.4,62.6,53.4,57.8,58.6,50,54.1,"804","926","1734","354","761","1111","2830","4181","7004","2738","3919","6657","10558","5014","15570","304","682","984","634","1299","1936","11494","6995","18493","34511","36081","70595","5136","5553","10685","24050","25059","49113","13870","15013","28882",Kiama - Shellharbour
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p37_slct_lbr_frc_edu_mgrtn_char_by_sex_census_2016.fid-5ff86f36_1724bdf6fd3_61fe,"10704","51710","53534","105251","21407","12255","33660","6730","13818","20547","1354","1602","2952","2358","1919","4278","31845","29596","61442","17100","21156","38255",7.4,6.5,7,61.6,55.3,58.4,57,51.7,54.3,"3410","3287","6698","859","1527","2384","7583","9368","16951","4290","5660","9954","12287","5324","17605","402","805","1204","891","1605","2497","13578","7741","21314","48456","49797","98253","9293","9283","18571","32739","33926","66672","23051","23295","46347",Wollongong
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p37_slct_lbr_frc_edu_mgrtn_char_by_sex_census_2016.fid-5ff86f36_1724bdf6fd3_61ff,"10801","13012","13841","26852","3233","1883","5120","1512","2776","4288","373","359","730","517","386","897","5636","5400","11038","6452","7444","13894",9.2,7.1,8.1,43.3,39,41.1,39.3,36.3,37.8,"181","188","368","97","191","289","788","1150","1939","832","1270","2103","3908","1634","5547","127","280","408","238","513","756","4284","2429","6708","11722","12239","23965","2123","2290","4418","7977","8255","16227","5401","5826","11225",Great Lakes
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p37_slct_lbr_frc_edu_mgrtn_char_by_sex_census_2016.fid-5ff86f36_1724bdf6fd3_6200,"10802","19962","20394","40358","5073","2981","8056","2344","4169","6511","665","618","1280","904","647","1551","8986","8420","17407","9296","10278","19574",10.1,7.7,8.9,45,41.3,43.1,40.5,38.1,39.3,"210","279","487","143","293","437","1082","1760","2840","970","1781","2752","5557","2689","8244","257","426","677","363","722","1088","6177","3834","10010","18253","18652","36907","2894","3154","6051","13155","13261","26415","7026","7584","14609",Kempsey - Nambucca
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p37_slct_lbr_frc_edu_mgrtn_char_by_sex_census_2016.fid-5ff86f36_1724bdf6fd3_6201,"10803","215","194","413","84","51","140","43","45","90","12","11","17","4","3","6","138","112","247","34","61","97",2.9,2.7,2.4,64.2,57.7,59.8,64.7,55.2,59.8,"17","10","28","0","3","3","26","44","70","9","24","33","68","17","89","0","0","3","8","6","15","75","24","106","171","167","341","27","19","45","128","126","254","63","54","115",Lord Howe Island
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p37_slct_lbr_frc_edu_mgrtn_char_by_sex_census_2016.fid-5ff86f36_1724bdf6fd3_6202,"10804","31147","34573","65723","10410","6362","16770","3748","7610","11358","817","911","1727","1177","968","2146","16150","15854","31998","12956","16540","29499",7.3,6.1,6.7,51.9,45.9,48.7,48.1,43,45.4,"689","705","1388","360","674","1032","2665","3822","6486","2244","3717","5961","9117","4406","13523","325","684","1012","591","1246","1837","10033","6336","16368","28870","31335","60206","5493","6005","11498","18560","20001","38562","14651","16129","30782",Port Macquarie
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p37_slct_lbr_frc_edu_mgrtn_char_by_sex_census_2016.fid-5ff86f36_1724bdf6fd3_6203,"10805","21342","23046","44386","6123","3494","9620","2508","4876","7379","682","646","1333","1109","829","1933","10424","9847","20270","9445","11619","21061",10.6,8.4,9.5,48.8,42.7,45.7,43.6,39.1,41.3,"308","311","619","176","375","546","1269","2002","3274","1143","2323","3471","6000","2919","8921","258","507","759","493","843","1338","6750","4274","11020","20203","21280","41481","3471","3672","7145","13676","14252","27936","8895","9720","18611",Taree - Gloucester
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p37_slct_lbr_frc_edu_mgrtn_char_by_sex_census_2016.fid-5ff86f36_1724bdf6fd3_6204,"10901","23596","25439","49031","10659","5692","16354","2770","6848","9616","647","840","1482","1010","896","1905","15089","14270","29356","6731","9372","16104",6.7,6.3,6.5,63.9,56.1,59.9,59.7,52.6,56,"539","657","1198","326","605","925","2052","3374","5421","1629","2550","4182","6449","3423","9872","258","500","754","374","692","1069","7082","4614","11696","22184","23262","45437","4363","4804","9167","14829","15251","30074","10490","11758","22248",Albury
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p37_slct_lbr_frc_edu_mgrtn_char_by_sex_census_2016.fid-5ff86f36_1724bdf6fd3_6205,"10902","5670","5184","10856","2370","1151","3518","549","1156","1698","207","187","395","188","136","328","3314","2628","5944","1603","1971","3573",5.7,5.2,5.5,58.4,50.7,54.8,55.1,48.1,51.7,"39","60","102","30","79","113","247","465","707","273","421","700","1351","606","1954","55","86","141","65","103","164","1465","792","2259","5223","4788","10011","738","773","1514","3818","3401","7222","1821","1879","3697",Lower Murray
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p37_slct_lbr_frc_edu_mgrtn_char_by_sex_census_2016.fid-5ff86f36_1724bdf6fd3_6206,"10903","17118","17240","34355","7113","3497","10614","1667","4089","5753","583","600","1180","464","378","838","9828","8560","18391","5746","7140","12888",4.7,4.4,4.6,57.4,49.7,53.5,54.7,47.5,51.1,"171","213","388","87","291","376","913","1660","2578","915","1477","2396","4567","2015","6583","119","301","418","269","414","689","4952","2733","7683","16007","15865","31873","2520","2716","5234","11431","11203","22641","6197","6533","12728",Upper Murray exc. Albury
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p37_slct_lbr_frc_edu_mgrtn_char_by_sex_census_2016.fid-5ff86f36_1724bdf6fd3_6207,"11001","14641","15822","30462","5776","3530","9308","1965","3707","5673","428","500","926","624","560","1183","8793","8298","17095","4665","6229","10894",7.1,6.7,6.9,60.1,52.4,56.1,55.8,48.9,52.2,"984","910","1891","233","454","687","1527","2455","3982","851","1442","2288","3055","1608","4665","174","294","468","243","443","682","3473","2341","5815","13333","14012","27348","2787","3226","6014","8983","9373","18355","6514","7208","13727",Armidale
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p37_slct_lbr_frc_edu_mgrtn_char_by_sex_census_2016.fid-5ff86f36_1724bdf6fd3_6208,"11002","15344","15840","31182","5382","3044","8432","1676","3258","4937","441","499","941","642","512","1151","8144","7315","15455","5717","6990","12706",7.9,7,7.4,53.1,46.2,49.6,48.9,42.9,45.9,"128","171","302","102","213","309","740","1460","2197","731","1334","2061","3636","1998","5636","179","310","488","270","455","722","4081","2762","6852","14253","14522","28771","2297","2534","4830","10317","10318","20640","5346","5914","11266",Inverell - Tenterfield
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p37_slct_lbr_frc_edu_mgrtn_char_by_sex_census_2016.fid-5ff86f36_1724bdf6fd3_6209,"11003","10625","10116","20740","5016","2545","7559","866","2125","2989","378","367","747","396","307","700","6660","5345","12006","2635","3557","6188",5.9,5.7,5.8,62.7,52.8,57.9,58.9,49.8,54.5,"141","132","275","63","158","220","628","1074","1704","470","841","1307","2370","1114","3490","98","174","272","131","268","399","2606","1555","4158","9949","9498","19447","1447","1533","2980","7134","6629","13760","3584","3668","7253",Moree - Narrabri
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p37_slct_lbr_frc_edu_mgrtn_char_by_sex_census_2016.fid-5ff86f36_1724bdf6fd3_620a,"11004","31218","32787","64003","14226","7996","22224","3193","7418","10615","904","1057","1961","1128","1099","2227","19458","17572","37030","9189","12666","21852",5.8,6.3,6,62.3,53.6,57.9,58.7,50.2,54.4,"482","559","1044","242","556","805","2033","3597","5626","1727","3052","4773","8271","4267","12540","312","727","1036","494","1006","1504","9079","5999","15077","29658","30592","60245","5702","5911","11610","19698","20022","39722","13672","14665","28340",Tamworth - Gunnedah
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p37_slct_lbr_frc_edu_mgrtn_char_by_sex_census_2016.fid-5ff86f36_1724bdf6fd3_620b,"11101","45899","50016","95909","19732","10789","30519","5662","13428","19091","1161","1432","2589","2118","1622","3744","28676","27265","55945","15490","20665","36152",7.4,5.9,6.7,62.5,54.5,58.3,57.9,51.3,54.4,"1352","1423","2780","560","1046","1606","4873","7105","11980","3577","5097","8673","14123","6062","20182","382","873","1259","849","1692","2538","15353","8628","23979","46487","49188","95675","6736","7191","13928","33225","35008","68238","17976","19448","37423",Lake Macquarie - East
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p37_slct_lbr_frc_edu_mgrtn_char_by_sex_census_2016.fid-5ff86f36_1724bdf6fd3_620c,"11102","28911","31090","60004","11923","6367","18292","3179","7728","10909","801","919","1714","1476","1038","2510","17379","16049","33427","10332","13634","23965",8.5,6.5,7.5,60.1,51.6,55.7,55,48.3,51.5,"759","740","1499","275","502","774","2120","3474","5587","2070","3215","5284","9299","4377","13681","250","558","811","593","1083","1676","10148","6022","16172","28405","29867","58271","4848","5262","10102","19256","19947","39206","12650","13745","26393",Lake Macquarie - West
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p37_slct_lbr_frc_edu_mgrtn_char_by_sex_census_2016.fid-5ff86f36_1724bdf6fd3_620d,"11103","65762","69340","135109","27819","17099","44915","8822","17874","26697","1650","2245","3899","3528","2647","6171","41823","39870","81689","20048","25256","45300",8.4,6.6,7.6,63.6,57.5,60.5,58.2,53.7,55.9,"3320","3342","6662","907","1625","2531","9207","12413","21624","4911","6773","11678","15787","7621","23404","639","1023","1659","1061","1738","2797","17482","10380","27862","60578","62473","123048","13267","13972","27234","39724","41265","80984","31351","32857","64204",Newcastle
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p37_slct_lbr_frc_edu_mgrtn_char_by_sex_census_2016.fid-5ff86f36_1724bdf6fd3_620e,"11201","31874","35042","66920","10249","6291","16534","5299","9268","14560","968","1082","2045","1243","984","2225","17753","17616","35366","10853","13941","24798",7,5.6,6.3,55.7,50.3,52.8,51.8,47.5,49.5,"1022","1248","2275","525","882","1402","3957","5798","9755","2374","4170","6543","7988","3570","11552","228","503","732","584","1088","1671","8800","5159","13955","28459","30197","58659","5518","6419","11937","18899","19924","38819","13773","15429","29203",Richmond Valley - Coastal
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p37_slct_lbr_frc_edu_mgrtn_char_by_sex_census_2016.fid-5ff86f36_1724bdf6fd3_620f,"11202","27754","29377","57137","9437","5767","15206","4039","7056","11097","705","836","1542","1387","1038","2424","15562","14703","30263","9820","12338","22163",8.9,7.1,8,56.1,50,53,51.1,46.5,48.7,"572","642","1208","293","627","927","2261","3667","5923","1502","2743","4245","6993","3889","10880","360","624","992","496","896","1396","7855","5415","13266","26278","27330","53611","4332","4579","8911","18733","19295","38031","10569","11385","21948",Richmond Valley - Hinterland
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p37_slct_lbr_frc_edu_mgrtn_char_by_sex_census_2016.fid-5ff86f36_1724bdf6fd3_6210,"11203","37028","40981","78005","12093","6937","19029","5000","9863","14861","989","1146","2143","1476","1302","2778","19556","19257","38813","14559","18521","33080",7.5,6.8,7.2,52.8,47,49.8,48.8,43.8,46.2,"718","826","1552","404","767","1177","3001","4693","7693","2539","4324","6858","10351","4759","15108","300","596","897","693","1293","1990","11339","6646","17985","33864","36489","70356","6542","7210","13756","22294","23811","46099","16494","18515","35012",Tweed Valley
