gml_id,sa3_code16,p_aged_15_yr_over_m,p_aged_15_yr_over_f,p_aged_15_yr_over_p,lab_for_st_empl_worked_ft_m,lab_for_st_empl_worked_ft_f,lab_for_st_empl_worked_ft_p,lab_for_st_empl_worked_pt_m,lab_for_st_empl_worked_pt_f,lab_for_st_empl_worked_pt_p,lab_for_st_empl_awy_frm_wrk_m,lab_for_st_empl_awy_frm_wrk_f,lab_for_st_empl_awy_frm_wrk_p,lab_for_st_unemp_lkg_fr_wrk_m,lab_for_st_unemp_lkg_fr_wrk_f,lab_for_st_unemp_lkg_fr_wrk_p,lab_for_st_tot_labour_force_m,lab_for_st_tot_labour_force_f,lab_for_st_tot_labour_force_p,lab_for_st_n_the_lbour_frce_m,lab_for_st_n_the_lbour_frce_f,lab_for_st_n_the_lbour_frce_p,percent_unemployment_m,percent_unemployment_f,percent_unemployment_p,pcent_lab_force_particip_m,pcent_lab_force_particip_f,pcent_lab_force_particip_p,pcent_employmnt_to_pop_m,pcent_employmnt_to_pop_f,pcent_employmnt_to_pop_p,non_sc_quals_postgrad_deg_m,non_sc_quals_postgrad_deg_f,non_sc_quals_postgrad_deg_p,non_sc_qua_gra_dip_gra_cer_m,non_sc_qua_gra_dip_gra_cer_f,non_sc_qua_gra_dip_gra_cer_p,non_sc_quals_bachelor_deg_m,non_sc_quals_bachelor_deg_f,non_sc_quals_bachelor_deg_p,non_sc_quals_adv_dip_dip_m,non_sc_quals_adv_dip_dip_f,non_sc_quals_adv_dip_dip_p,non_sc_quals_cert3a4_level_m,non_sc_quals_cert3a4_level_f,non_sc_quals_cert3a4_level_p,non_sc_quals_cert1a2_level_m,non_sc_quals_cert1a2_level_f,non_sc_quals_cert1a2_level_p,non_sc_quals_certnfd_level_m,non_sc_quals_certnfd_level_f,non_sc_quals_certnfd_level_p,non_sc_quals_certtot_level_m,non_sc_quals_certtot_level_f,non_sc_quals_certtot_level_p,mig_lvd_same_add_1_yr_ago_m,mig_lvd_same_add_1_yr_ago_f,mig_lvd_same_add_1_yr_ago_p,mig_lvd_diff_add_1_yr_ago_m,mig_lvd_diff_add_1_yr_ago_f,mig_lvd_diff_add_1_yr_ago_p,mig_lvd_same_add_5_yr_ago_m,mig_lvd_same_add_5_yr_ago_f,mig_lvd_same_add_5_yr_ago_p,mig_lvd_diff_add_5_yr_ago_m,mig_lvd_diff_add_5_yr_ago_f,mig_lvd_diff_add_5_yr_ago_p,sa3_name16
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p37_slct_lbr_frc_edu_mgrtn_char_by_sex_census_2016.fid-5ff86f36_1724bdf6fd3_6245,"20103","10492","10271","20766","3409","1580","4987","1138","2373","3507","289","303","595","408","327","739","5246","4584","9829","4571","4976","9546",7.8,7.1,7.5,50,44.6,47.3,46.1,41.4,43.8,"110","135","246","102","197","291","441","896","1340","509","942","1445","2859","1261","4116","110","171","286","145","234","379","3114","1669","4784","9846","9858","19700","1283","1354","2638","7243","7098","14338","3428","3634","7056",Maryborough - Pyrenees
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p37_slct_lbr_frc_edu_mgrtn_char_by_sex_census_2016.fid-5ff86f36_1724bdf6fd3_6246,"20201","35478","39619","75097","15198","8277","23474","4705","10753","15461","1027","1397","2430","1629","1357","2984","22560","21790","44351","10594","15223","25813",7.2,6.2,6.7,63.6,55,59.1,59,51.6,55.1,"898","1027","1922","634","1254","1885","3371","5428","8799","2444","3607","6045","9325","5015","14341","356","624","981","472","855","1330","10157","6498","16653","34024","36374","70402","6519","7349","13870","21845","23151","45001","16606","18706","35310",Bendigo
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p37_slct_lbr_frc_edu_mgrtn_char_by_sex_census_2016.fid-5ff86f36_1724bdf6fd3_6247,"20202","18869","19386","38261","7088","3726","10817","2666","5290","7949","526","626","1150","555","513","1071","10835","10154","20991","6658","7724","14381",5.1,5.1,5.1,57.4,52.4,54.9,54.5,49.7,52.1,"682","867","1554","458","905","1363","2060","3084","5148","1447","2086","3534","4623","1915","6534","123","278","401","278","410","687","5025","2598","7629","17782","18459","36239","2416","2634","5047","12418","12628","25047","6888","7554","14444",Heathcote - Castlemaine - Kyneton
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p37_slct_lbr_frc_edu_mgrtn_char_by_sex_census_2016.fid-5ff86f36_1724bdf6fd3_6248,"20203","4722","4492","9214","1836","815","2652","460","1090","1548","170","149","313","126","98","228","2596","2150","4748","1668","1937","3608",4.9,4.6,4.8,55,47.9,51.5,52.2,45.7,49,"32","62","95","44","106","149","210","439","650","234","418","654","1284","495","1776","30","82","115","60","99","158","1371","678","2048","4652","4422","9068","447","443","889","3550","3338","6890","1318","1328","2642",Loddon - Elmore
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p37_slct_lbr_frc_edu_mgrtn_char_by_sex_census_2016.fid-5ff86f36_1724bdf6fd3_6249,"20301","7176","7203","14381","3652","1532","5187","932","2313","3237","249","299","541","187","183","371","5022","4325","9341","1807","2518","4326",3.7,4.2,4,70,60,65,67.3,57.5,62.3,"144","191","337","108","215","328","591","1046","1644","604","851","1460","2256","997","3254","44","116","158","117","176","297","2420","1291","3705","7717","7593","15308","963","985","1953","5232","5053","10286","2932","3037","5966",Barwon - West
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p37_slct_lbr_frc_edu_mgrtn_char_by_sex_census_2016.fid-5ff86f36_1724bdf6fd3_624a,"20302","72632","79044","151676","31306","16681","47985","9382","21425","30802","2034","2606","4640","3278","2726","6005","45994","43436","89431","22541","31020","53559",7.1,6.3,6.7,63.3,55,59,58.8,51.5,55,"2439","2404","4843","1050","2206","3255","8080","11539","19626","5730","8194","13920","17656","9597","27251","595","1040","1637","999","1527","2524","19244","12165","31415","67979","72707","140684","12997","14176","27175","45328","48540","93875","32141","35202","67342",Geelong
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p37_slct_lbr_frc_edu_mgrtn_char_by_sex_census_2016.fid-5ff86f36_1724bdf6fd3_624b,"20303","26374","29107","55482","11395","5748","17141","3691","8595","12291","738","937","1680","809","745","1552","16637","16022","32661","8317","11558","19871",4.9,4.6,4.8,63.1,55,58.9,60,52.5,56.1,"1068","1175","2246","597","1234","1825","3881","5436","9319","2553","3692","6247","6994","3009","9996","166","344","513","394","680","1068","7555","4028","11582","25614","27217","52831","5061","5502","10562","16108","17134","33243","13236","14530","27767",Surf Coast - Bellarine Peninsula
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p37_slct_lbr_frc_edu_mgrtn_char_by_sex_census_2016.fid-5ff86f36_1724bdf6fd3_624c,"20401","22977","22773","45747","9574","4720","14295","2654","5690","8349","823","755","1575","627","615","1237","13677","11776","25454","7087","8933","16023",4.6,5.2,4.9,59.5,51.7,55.6,56.8,49,52.9,"416","451","867","262","584","849","1573","2620","4188","1528","2429","3954","6423","2619","9044","179","364","543","368","545","913","6970","3528","10500","21106","20811","41917","3693","3678","7369","14634","14389","29019","9014","9105","18117",Upper Goulburn Valley
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p37_slct_lbr_frc_edu_mgrtn_char_by_sex_census_2016.fid-5ff86f36_1724bdf6fd3_624d,"20402","17754","19451","37200","7517","3919","11440","2135","5082","7221","535","658","1200","538","486","1027","10731","10150","20878","5753","7810","13563",5,4.8,4.9,60.4,52.2,56.1,57.4,49.7,53.4,"269","389","664","256","528","780","1282","2262","3539","1284","2086","3370","4920","2368","7291","149","314","467","270","423","692","5341","3104","8445","17259","18319","35580","2539","2810","5348","12437","13021","25460","6583","7334","13917",Wangaratta - Benalla
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p37_slct_lbr_frc_edu_mgrtn_char_by_sex_census_2016.fid-5ff86f36_1724bdf6fd3_624e,"20403","29753","30694","60442","13723","7302","21019","3680","8267","11943","1078","1194","2270","975","861","1836","19452","17621","37070","7971","10724","18695",5,4.9,5,65.4,57.4,61.3,62.1,54.6,58.3,"741","845","1585","499","962","1465","2553","4183","6740","2361","3474","5838","8200","4082","12281","302","573","871","449","752","1197","8947","5402","14353","27857","28501","56362","5314","5514","10830","18659","18967","37626","12995","13572","26565",Wodonga - Alpine
