SA3_MAIN11,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot,SA3_NAME11
30909,3278,2039,1230,756,25951,Southport
20502,3687,2697,1340,431,17726,Gippsland - East
20503,4700,3327,1838,667,24713,Gippsland - South West
20504,4721,2736,1599,518,29470,Latrobe Valley
20505,3140,1647,915,328,17287,Wellington
20601,3658,1577,1013,490,42710,Brunswick - Coburg
20602,2554,987,674,315,26755,Darebin - South
20603,3895,1587,1060,579,31762,Essendon
20604,4703,2475,1026,361,61056,Melbourne City
20605,6249,3178,1505,651,59813,Port Phillip
21303,2848,1216,865,406,35917,Maribyrnong
21304,5511,2330,1105,398,48859,Melton - Bacchus Marsh
21305,6761,2943,1232,417,69640,Wyndham
21401,7664,4550,2646,1111,54479,Frankston
21402,11249,9007,5464,2296,66964,Mornington Peninsula
21501,4045,2333,1552,660,22902,Grampians
21502,2730,1628,981,389,18570,Mildura
21503,2219,1348,851,371,13404,Murray River - Swan Hill
21601,2180,1500,952,390,13833,Campaspe
21602,1731,1328,782,280,10433,Moira
21603,3298,1795,1180,537,22481,Shepparton
21701,2564,1354,844,306,14035,Glenelg - Southern Grampians
21702,5476,3108,1969,830,33686,Warrnambool - Otway Ranges
29797,6,3,0,0,30,Migratory - Offshore - Shipping (Vic.)
29999,433,201,71,24,4636,Special Purpose Codes SA3 (Vic.)
30101,4715,2120,1020,383,29580,Capalaba
30102,5752,3601,2018,796,33514,Cleveland - Stradbroke
30103,3769,1929,1129,474,28423,Wynnum - Manly
70204,475,87,9,3,4052,East Arnhem
10903,2831,2010,1256,494,15764,Upper Murray exc. Albury
11001,2907,1639,774,311,16041,Armidale
11002,2536,1782,915,335,13959,Inverell - Tenterfield
11003,1341,760,403,124,9328,Moree - Narrabri
11004,5148,3178,1790,669,30587,Tamworth - Gunnedah
11101,8990,5559,3428,1271,52845,Lake Macquarie - East
11102,5410,3619,2134,823,30361,Lake Macquarie - West
11103,10278,5919,3837,1754,73564,Newcastle
11201,7123,3602,2062,891,34863,Richmond Valley - Coastal
11202,5569,2695,1435,522,28371,Richmond Valley - Hinterland
11203,6421,4344,3250,1317,36905,Tweed Valley
11301,2341,1347,792,294,16616,Griffith - Murrumbidgee (West)
11302,921,612,319,107,5527,Tumut - Tumbarumba
11303,5670,3073,1818,714,36537,Wagga Wagga
11401,7775,5929,3575,1247,42099,Shoalhaven
11402,4154,3251,1720,611,21347,Southern Highlands
11501,11744,5580,2417,1215,68207,Baulkham Hills
11502,2396,1360,554,267,12364,Dural - Wisemans Ferry
11503,1936,1032,341,106,11201,Hawkesbury
11504,1660,794,227,64,12095,Rouse Hill - McGraths Hill
11601,7060,3342,1872,614,52793,Blacktown
11602,3524,1274,403,92,33643,Blacktown - North
11603,4368,2055,914,286,35130,Mount Druitt
11701,2044,1279,716,272,17937,Botany
11901,7567,4282,2953,1443,61434,Bankstown
11902,4935,2811,1921,802,50748,Canterbury
11903,7205,4005,2700,1182,55722,Hurstville
11904,6496,3653,2368,1070,58354,Kogarah - Rockdale
12001,5081,2615,1488,623,40448,Canada Bay
12002,4306,1900,774,308,31925,Leichhardt
12003,8297,3904,2629,1424,73952,Strathfield - Burwood - Ashfield
12101,7949,4175,2380,1148,58314,Chatswood - Lane Cove
12102,6016,3385,1627,722,41029,Hornsby
12103,10443,6643,4189,2013,60877,Ku-ring-gai
12104,7909,5041,2303,1111,59442,North Sydney - Mosman
12201,2913,1884,998,466,23599,Manly
12202,5612,3437,1736,837,30349,Pittwater
12203,9517,6239,3687,2081,73269,Warringah
12301,2736,1209,612,230,21618,Camden
12302,8859,3741,1586,649,57366,Campbelltown (NSW)
12303,2529,1216,554,179,15353,Wollondilly
12401,8140,4271,2051,783,39646,Blue Mountains
12402,0,0,0,0,6,Blue Mountains - South
12403,7239,3262,1513,576,50234,Penrith
12404,1887,1003,529,271,14866,Richmond - Windsor
12405,2750,1158,500,198,19153,St Marys
12501,2976,1340,704,252,31875,Auburn
12502,4107,2544,1514,528,29188,Carlingford
12503,5924,3162,2087,843,51487,Merrylands - Guildford
12504,6397,3657,2040,982,65453,Parramatta
12601,4108,2237,1309,544,24124,Pennant Hills - Epping
12602,8402,4512,3043,1713,64920,Ryde - Hunters Hill
12701,3349,1534,640,147,28181,Bringelly - Green Valley
12702,7247,3730,2062,658,55864,Fairfield
12703,4954,2441,1229,398,42384,Liverpool
