sa3_code16,i_4000more_1aw_othnw,i_4000more_bnw,i_4000more_lfsta_ns,i_4000more_tot,part_inc_stated_be_wft,part_inc_stated_be_wpt,part_inc_stated_be_baw,part_inc_stated_1eft_othpt,part_inc_stated_1eft_othaw,part_inc_stated_1eft_othnw,part_inc_stated_1ept_othaw,part_inc_stated_1ept_othnw,part_inc_stated_1aw_othnw,part_inc_stated_bnw,part_inc_stated_lfsta_ns,part_inc_stated_tot,all_inc_ns_be_wft,all_inc_ns_be_wpt,all_inc_ns_be_baw,all_inc_ns_1eft_othpt,all_inc_ns_1eft_othaw,all_inc_ns_1eft_othnw,all_inc_ns_1ept_othaw,all_inc_ns_1ept_othnw,all_inc_ns_1aw_othnw,all_inc_ns_bnw,all_inc_ns_lfsta_ns,all_inc_ns_tot,tot_be_wft,tot_be_wpt,tot_be_baw,tot_1eft_othpt,tot_1eft_othaw,tot_1eft_othnw,tot_1ept_othaw,tot_1ept_othnw,tot_1aw_othnw,tot_bnw,tot_lfsta_ns,tot_tot,sa3_name16
31903,7,10,0,170,57,18,3,81,5,51,6,35,11,54,304,617,8,0,10,9,0,3,0,0,0,8,18,56,761,203,40,1132,105,740,76,343,86,685,340,4507,Gympie - Cooloola
31904,0,11,3,226,50,14,4,62,5,36,3,21,3,62,354,615,3,0,0,0,3,0,3,0,3,13,19,53,878,253,39,1173,121,730,80,410,62,684,396,4832,Hervey Bay
30306,0,15,0,493,67,16,7,67,8,60,3,27,10,102,305,662,3,3,0,7,0,3,0,4,5,8,12,41,1159,302,26,1395,132,1393,49,461,100,825,340,6179,Sunnybank
30401,4,14,0,895,100,6,4,71,15,42,5,10,10,29,270,562,0,0,3,13,0,0,0,0,0,0,4,23,1288,150,40,1514,171,822,46,197,55,302,285,4861,Centenary
30402,5,37,0,1993,129,20,6,122,8,85,8,22,4,43,506,963,7,0,5,7,0,9,0,0,0,3,8,46,1719,219,45,2154,207,1299,57,256,52,349,519,6891,Kenmore - Brookfield - Moggill
30403,4,34,0,1525,61,7,4,67,10,53,0,17,6,25,343,598,4,0,4,9,0,0,0,0,0,0,5,21,1061,182,23,1473,167,1118,40,266,39,369,354,5096,Sherwood - Indooroopilly
30404,7,17,0,1317,107,24,0,95,3,48,0,17,3,27,398,723,7,0,3,5,0,3,0,0,0,6,3,29,1554,218,41,2203,290,1176,52,262,59,348,403,6613,The Gap - Enoggera
30501,4,18,0,930,53,13,3,49,0,47,0,6,3,22,275,463,4,0,6,3,3,3,0,0,0,0,5,25,858,141,29,863,106,818,22,172,37,275,290,3618,Brisbane Inner
30502,3,13,3,1616,72,9,3,50,10,31,3,9,0,12,309,504,4,0,0,3,0,6,0,0,0,0,6,24,1155,128,24,1457,205,863,41,130,27,175,326,4522,Brisbane Inner - East
30503,12,36,3,2845,132,16,4,109,10,63,3,11,11,31,480,874,8,0,0,11,4,8,0,0,3,0,15,56,1937,290,63,2477,315,1546,67,334,75,460,509,8084,Brisbane Inner - North
30504,8,30,0,2412,102,18,0,94,8,45,5,19,3,23,386,702,3,0,0,7,0,0,0,0,4,3,9,23,1458,199,30,2023,252,1092,54,199,54,245,397,6008,Brisbane Inner - West
30601,3,11,0,553,113,11,9,88,13,38,3,15,7,14,560,874,9,7,3,10,4,4,0,0,0,3,10,47,1609,242,42,1748,215,956,70,250,69,258,586,6054,Cairns - North
30602,4,14,4,566,152,30,6,115,17,99,6,37,14,89,749,1316,7,3,3,13,4,7,0,3,8,15,45,103,2158,407,83,2487,306,1562,111,572,149,839,820,9508,Cairns - South
30603,3,0,0,142,79,16,3,70,4,32,12,11,9,47,179,446,0,0,4,3,0,3,3,0,0,3,21,43,654,122,43,864,92,515,40,182,60,423,208,3206,Innisfail - Cassowary Coast
30604,0,0,0,45,23,5,0,17,5,11,0,3,0,8,69,141,3,0,0,4,0,0,0,0,0,0,8,12,217,50,17,293,15,110,15,38,15,57,83,913,Port Douglas - Daintree
30605,3,5,0,181,70,22,5,69,10,27,9,17,3,44,322,598,4,0,0,4,0,6,0,3,3,12,20,48,752,192,35,990,106,499,51,229,75,395,355,3679,Tablelands (East) - Kuranda
30701,0,0,3,291,173,9,0,115,7,45,3,10,4,23,339,739,19,3,6,11,0,6,0,0,3,9,16,69,1157,127,45,1341,148,767,69,140,47,266,372,4477,Darling Downs (West) - Maranoa
30702,3,6,0,245,107,17,7,111,3,55,6,19,7,24,316,673,13,0,0,6,0,3,0,0,3,6,14,42,995,146,30,1321,151,847,52,161,77,325,346,4454,Darling Downs - East
30703,0,9,0,136,69,15,3,92,13,34,0,24,9,40,248,550,15,0,0,3,0,0,0,0,3,11,18,56,788,180,47,1138,129,701,30,208,54,421,277,3968,Granite Belt
30801,0,3,0,468,92,8,4,61,4,37,6,10,4,24,288,537,6,0,3,5,0,4,0,0,0,3,13,42,731,72,40,995,141,794,54,102,54,130,314,3428,Central Highlands (Qld)
30803,11,10,5,904,214,32,12,184,25,115,13,48,24,103,1228,1994,10,0,10,7,4,9,3,4,8,13,34,98,2744,370,103,3280,407,2096,133,561,174,991,1295,12155,Rockhampton
30804,0,0,0,159,53,0,3,50,0,19,0,3,8,6,113,251,3,0,4,8,0,0,0,0,4,0,8,33,415,39,30,530,55,327,30,42,26,60,121,1676,Biloela
30805,12,14,0,927,106,12,8,106,12,98,12,23,13,43,632,1074,6,0,3,10,7,9,0,0,7,4,21,75,1364,164,71,1923,214,1826,88,333,133,546,676,7340,Gladstone
30901,6,17,0,763,88,22,3,100,11,54,4,30,3,41,332,688,10,4,7,14,3,6,0,5,0,0,15,66,1282,275,37,1832,206,929,51,321,59,414,357,5765,Broadbeach - Burleigh
30902,5,4,0,441,89,21,8,85,11,62,3,15,7,51,340,687,3,3,4,4,0,3,0,0,3,3,17,38,1028,296,49,1737,181,881,75,257,64,388,372,5336,Coolangatta
30903,3,16,0,549,81,21,5,71,5,55,5,27,8,47,347,675,7,0,0,5,4,3,0,0,0,8,25,59,1210,273,28,1590,143,1050,56,402,66,595,389,5799,Gold Coast - North
30904,4,4,0,159,44,12,0,40,10,33,3,9,4,12,107,285,3,0,4,3,3,0,0,0,7,3,4,25,433,109,22,648,77,347,33,104,36,153,119,2081,Gold Coast Hinterland
30908,3,7,0,479,95,20,0,81,6,49,5,24,11,36,334,657,8,0,4,4,3,3,3,0,4,0,13,44,1195,272,42,1661,165,1035,52,318,64,394,354,5562,Robina
30909,0,11,0,464,75,16,3,79,6,52,0,24,5,48,291,596,9,0,9,11,0,3,4,0,0,6,11,47,1128,289,39,1477,137,1000,51,375,55,514,316,5373,Southport
30910,0,20,0,527,40,13,0,39,3,22,0,14,7,24,186,355,3,0,4,0,0,0,0,0,3,4,11,25,664,176,25,816,57,523,29,191,37,267,199,2986,Surfers Paradise
31001,0,17,0,481,110,23,8,75,15,78,8,54,14,91,372,841,7,3,14,5,0,4,0,0,0,13,42,86,1773,331,63,1802,267,1704,81,599,111,1153,438,8336,Forest Lake - Oxley
31002,3,4,0,274,133,29,5,123,12,86,5,21,9,63,363,852,13,5,4,14,3,5,0,3,11,18,31,108,1389,237,60,1732,186,1269,68,351,112,725,421,6552,Ipswich Hinterland
31003,3,10,0,759,186,22,9,190,27,121,8,40,22,90,621,1330,13,3,6,17,0,8,3,3,3,22,33,111,2691,368,62,3121,403,2366,134,606,167,1042,685,11651,Ipswich Inner
31004,3,6,0,600,149,16,13,106,19,100,7,42,16,82,571,1131,17,0,9,10,0,6,3,0,6,14,35,98,2624,345,106,2572,415,2494,97,613,185,825,629,10899,Springfield - Redbank
31101,0,3,0,50,26,0,0,31,3,12,0,7,0,21,65,173,3,0,3,0,0,0,0,0,3,0,6,21,306,39,15,338,36,276,14,82,15,174,84,1374,Beaudesert
31102,0,3,0,181,62,13,3,59,7,54,0,22,10,35,174,427,3,0,7,5,3,3,0,3,3,7,12,47,897,145,34,962,129,972,51,283,69,464,197,4203,Beenleigh
31103,0,11,3,420,175,27,9,136,20,118,16,45,14,95,403,1052,15,0,13,8,5,11,0,6,9,13,37,111,2306,339,86,2226,302,2255,97,606,151,970,471,9806,Browns Plains
31104,4,4,0,460,119,15,6,95,13,82,3,19,13,35,345,754,17,0,9,16,6,8,3,0,5,8,11,82,1800,209,71,1846,252,1221,65,250,93,393,371,6583,Jimboomba
31105,3,11,0,563,146,18,5,110,15,71,3,25,12,55,335,788,9,0,0,12,0,9,0,3,0,5,26,64,1856,258,60,1912,259,1405,68,375,103,611,370,7280,Loganlea - Carbrook
31106,0,18,0,467,98,15,10,89,18,110,8,40,3,118,385,896,12,0,3,7,0,8,0,4,4,13,37,97,1649,307,66,1944,276,1953,76,593,140,1301,453,8747,Springwood - Kingston
31201,8,0,4,539,78,6,12,72,5,40,3,11,0,8,281,526,8,0,7,3,0,6,0,0,0,4,14,45,768,103,56,959,143,878,50,118,74,137,303,3595,Bowen Basin - North
31202,7,15,0,1278,206,35,9,210,24,170,14,47,23,75,1679,2500,18,0,20,29,3,9,0,6,7,25,45,160,2557,350,149,3690,412,2607,145,503,194,793,1752,13150,Mackay
31203,3,0,0,114,32,8,3,26,6,12,0,5,3,5,226,324,4,0,0,3,0,0,0,3,0,3,3,19,448,74,23,555,63,270,19,90,23,100,238,1895,Whitsunday
31301,3,7,0,156,32,11,3,37,3,35,6,21,10,43,170,360,0,3,0,5,0,3,0,3,0,8,4,33,466,104,26,630,65,460,41,167,37,409,188,2593,Bribie - Beachmere
31302,5,8,0,306,89,17,6,92,6,69,9,25,4,63,358,743,10,0,10,9,6,7,0,0,5,6,23,79,1464,258,60,1723,217,1663,89,466,131,849,401,7325,Caboolture
31303,0,0,0,48,31,13,3,31,7,17,0,11,0,11,78,192,0,0,0,0,0,3,0,0,0,0,3,18,271,71,24,335,44,209,20,72,20,136,89,1296,Caboolture Hinterland
31304,10,10,0,560,132,16,11,115,26,97,0,20,16,56,456,939,14,0,11,14,3,0,0,4,4,5,26,77,1841,232,71,2276,251,1579,86,384,118,635,499,7957,Narangba - Burpengary
31305,9,9,0,431,87,13,3,77,11,60,10,25,4,47,318,665,8,0,3,7,0,5,0,0,0,10,17,56,1184,220,55,1504,173,1063,62,321,75,542,347,5535,Redcliffe
31401,7,24,0,2141,234,33,6,233,19,128,15,39,11,48,702,1463,10,0,9,17,0,12,5,3,0,4,20,83,3305,410,96,4604,512,2160,140,458,125,586,734,13135,The Hills District
31402,4,4,0,716,120,9,4,108,12,94,10,15,18,29,545,956,12,0,6,7,3,12,0,0,8,7,40,94,2297,241,68,2681,352,2113,102,355,138,483,598,9419,North Lakes
31403,3,8,0,199,63,13,7,52,5,42,9,20,3,22,221,450,3,0,4,9,0,4,0,0,0,0,19,45,969,158,34,1276,152,939,51,233,71,342,249,4466,Strathpine
31501,6,0,0,164,83,13,4,30,3,49,3,22,9,70,123,417,7,3,3,3,3,4,0,3,3,11,30,65,684,125,43,492,77,524,43,200,61,637,168,3054,Far North
31502,3,4,0,394,79,4,3,50,7,34,0,13,3,18,170,387,7,0,3,7,0,3,0,0,3,14,22,67,845,61,33,709,112,600,30,104,48,238,202,2986,Outback - North
31701,7,18,0,1254,235,44,15,265,31,119,12,58,21,86,930,1809,16,3,8,12,3,11,0,6,5,12,36,111,3551,526,121,4870,528,2918,185,756,176,1202,984,15821,Toowoomba
31905,3,13,0,118,48,0,0,31,3,39,7,27,3,51,257,468,5,0,0,3,5,5,0,0,3,13,19,50,603,159,36,858,91,653,39,278,60,653,292,3727,Maryborough
40303,3,21,3,1596,152,22,7,152,16,62,16,27,3,43,499,1002,5,0,5,5,0,7,3,3,0,6,7,37,1748,382,70,2975,312,1171,116,405,54,480,514,8225,Mitcham
40304,6,10,0,979,274,68,17,370,40,195,25,90,18,148,966,2217,11,3,8,48,8,10,3,5,10,21,46,166,3493,958,197,6653,678,3332,273,1170,233,1553,1053,19587,Onkaparinga
40401,10,18,3,1111,169,40,3,234,14,92,9,59,18,114,631,1377,14,0,9,16,0,7,4,0,3,19,33,111,2269,562,103,3759,434,1919,146,755,136,1249,697,12037,Charles Sturt
