sa3_name16,sa3_code16,ireland_2011,ireland_2012,ireland_2013,ireland_2014,ireland_2015,ireland_2016,ireland_yr_arrival_notstated,ireland_tot,italy_before_1946,italy_1946_1955,italy_1956_1965,italy_1966_1975,italy_1976_1985,italy_1986_1995,italy_1996_2005,italy_2006_2010,italy_2011,italy_2012,italy_2013,italy_2014,italy_2015,italy_2016,italy_yr_arrival_notstated,italy_tot,japan_before_1946,japan_1946_1955,japan_1956_1965,japan_1966_1975,japan_1976_1985,japan_1986_1995,japan_1996_2005,japan_2006_2010,japan_2011,japan_2012,japan_2013,japan_2014,japan_2015,japan_2016,japan_yr_arrival_notstated,japan_tot,korea_rep_sth_before_1946,korea_rep_sth_1946_1955,korea_rep_sth_1956_1965,korea_rep_sth_1966_1975,korea_rep_sth_1976_1985,korea_rep_sth_1986_1995,korea_rep_sth_1996_2005,korea_rep_sth_2006_2010,korea_republic_south_2011,korea_republic_south_2012,korea_republic_south_2013,korea_republic_south_2014,korea_republic_south_2015,korea_republic_south_2016,korea_repub_sth_arrival_notstated,korea_republic_south_tot,lebanon_before_1946,lebanon_1946_1955,lebanon_1956_1965,lebanon_1966_1975,lebanon_1976_1985,lebanon_1986_1995,lebanon_1996_2005,lebanon_2006_2010,lebanon_2011,lebanon_2012,lebanon_2013,lebanon_2014,lebanon_2015,lebanon_2016,lebanon_yr_arrival_notstated,lebanon_tot,malaysia_before_1946,malaysia_1946_1955,malaysia_1956_1965,malaysia_1966_1975,malaysia_1976_1985,malaysia_1986_1995,malaysia_1996_2005,malaysia_2006_2010,malaysia_2011,malaysia_2012,malaysia_2013,malaysia_2014,malaysia_2015,malaysia_2016,malaysia_yr_arrival_notstated,malaysia_tot,malta_before_1946,malta_1946_1955,malta_1956_1965,malta_1966_1975,malta_1976_1985,malta_1986_1995,malta_1996_2005,malta_2006_2010,malta_2011,malta_2012,malta_2013,malta_2014,malta_2015,malta_2016,malta_yr_arrival_notstated,malta_tot,netherlands_before_1946,netherlands_1946_1955,netherlands_1956_1965,netherlands_1966_1975,netherlands_1976_1985,netherlands_1986_1995,netherlands_1996_2005,netherlands_2006_2010,netherlands_2011,netherlands_2012,netherlands_2013,netherlands_2014,netherlands_2015,netherlands_2016,netherlands_yr_arrival_notstated,netherlands_tot,new_zealand_before_1946,new_zealand_1946_1955,new_zealand_1956_1965,new_zealand_1966_1975,new_zealand_1976_1985,new_zealand_1986_1995,new_zealand_1996_2005,new_zealand_2006_2010,new_zealand_2011,new_zealand_2012,new_zealand_2013,new_zealand_2014,new_zealand_2015,new_zealand_2016,new_zealand_yr_arrival_notstated,new_zealand_tot,pakistan_before_1946,pakistan_1946_1955,pakistan_1956_1965,pakistan_1966_1975,pakistan_1976_1985,pakistan_1986_1995,pakistan_1996_2005,pakistan_2006_2010,pakistan_2011,pakistan_2012,pakistan_2013,pakistan_2014,pakistan_2015,pakistan_2016,pakistan_yr_arrival_notstated,pakistan_tot,philippines_before_1946,philippines_1946_1955,philippines_1956_1965,philippines_1966_1975,philippines_1976_1985,philippines_1986_1995,philippines_1996_2005,philippines_2006_2010,philippines_2011,philippines_2012,philippines_2013,philippines_2014,philippines_2015,philippines_2016,philippines_yr_arrival_notstated,philippines_tot,poland_before_1946,poland_1946_1955,poland_1956_1965,poland_1966_1975,poland_1976_1985,poland_1986_1995,poland_1996_2005,poland_2006_2010,poland_2011,poland_2012,poland_2013,poland_2014,poland_2015,poland_2016,poland_yr_arrival_notstated,poland_tot,singapore_before_1946,singapore_1946_1955,singapore_1956_1965,singapore_1966_1975,singapore_1976_1985,singapore_1986_1995,singapore_1996_2005,singapore_2006_2010,singapore_2011,singapore_2012,singapore_2013,singapore_2014,singapore_2015,singapore_2016,singapore_yr_arrival_notstated,singapore_tot
Fairfield,12702,0,0,0,3,0,0,6,119,23,642,1418,916,159,56,26,11,6,6,11,3,7,5,128,3424,0,4,0,0,3,9,13,7,4,3,3,0,0,0,0,50,0,0,0,4,16,16,11,17,3,6,0,3,3,3,3,84,0,7,40,369,417,332,228,111,18,26,18,20,29,28,66,1706,0,0,11,17,90,149,72,49,13,21,13,10,23,7,39,501,0,297,377,164,53,14,10,3,0,0,0,0,0,0,34,950,0,23,43,14,3,9,9,0,0,0,3,0,5,0,3,113,3,0,15,43,153,381,750,400,108,175,117,131,123,45,116,2566,0,0,0,10,15,27,27,57,8,20,9,25,25,23,4,250,0,0,3,61,432,731,374,230,50,71,63,42,47,30,62,2205,0,62,37,22,158,92,25,9,0,0,0,0,3,0,19,443,0,0,0,4,24,28,20,4,0,4,0,0,0,0,4,94
Liverpool,12703,3,9,9,8,0,0,4,148,4,254,461,283,69,30,37,10,6,5,4,10,10,0,53,1239,0,0,3,0,7,12,11,7,3,0,4,0,0,3,3,64,0,0,0,0,9,26,38,32,7,3,3,9,4,8,9,143,0,3,48,389,458,593,348,203,48,24,29,40,39,12,85,2325,0,0,6,22,51,103,86,51,10,7,6,8,7,9,11,384,0,98,85,30,8,6,0,0,0,0,0,0,0,0,14,238,0,23,26,11,5,3,3,4,3,0,0,0,0,0,5,89,0,0,11,58,211,322,583,303,69,85,68,59,70,24,98,1959,0,0,0,5,29,158,257,205,51,74,77,60,46,24,21,1007,0,0,3,32,212,962,424,294,68,54,50,66,64,37,42,2301,0,23,29,20,185,169,41,20,0,7,0,3,0,0,9,508,0,0,4,16,8,22,17,26,0,4,0,5,0,0,5,102
Cronulla - Miranda - Caringbah,12801,14,22,13,5,13,3,12,401,4,160,265,136,20,11,6,5,10,5,11,3,11,3,35,689,0,4,3,4,3,32,42,24,6,9,4,0,8,3,0,134,0,0,0,0,17,29,28,24,7,3,3,0,0,0,3,121,0,13,41,84,45,24,16,9,0,0,3,0,0,0,8,249,0,0,7,38,73,62,38,17,6,3,0,8,4,0,10,271,0,89,50,19,8,8,5,3,0,0,0,0,0,0,8,188,0,91,49,18,14,6,21,14,6,3,4,0,0,3,10,240,17,21,44,158,273,326,445,220,50,58,30,41,41,14,67,1798,0,0,0,6,4,5,7,3,3,12,3,4,3,0,4,51,0,0,5,28,86,141,112,100,25,32,15,23,28,14,23,626,0,13,5,8,52,37,32,14,4,10,4,9,7,0,6,204,0,0,9,19,33,33,33,11,4,0,4,3,3,0,3,153
Sutherland - Menai - Heathcote,12802,9,9,11,3,3,3,4,426,7,89,176,94,18,7,24,9,3,0,7,5,3,0,22,455,0,0,0,4,10,18,57,16,6,3,0,0,0,0,0,122,0,0,0,0,13,16,40,12,3,0,0,3,3,3,4,108,0,12,32,149,74,72,30,10,0,0,0,0,0,0,11,381,0,0,15,40,69,75,35,20,7,0,5,4,3,3,8,277,0,59,49,21,5,4,0,0,0,0,0,0,0,0,5,150,0,86,63,27,12,10,16,6,0,3,3,3,0,4,3,257,8,6,46,119,270,285,372,161,28,23,25,18,7,11,28,1424,0,0,0,4,5,7,10,9,0,0,0,0,0,0,0,49,0,0,11,49,92,140,84,59,20,20,18,13,17,3,17,544,0,7,16,7,88,41,22,10,0,3,0,4,0,0,0,210,0,0,7,13,20,27,20,14,0,3,0,0,5,0,6,123
Ballarat,20101,3,3,3,0,0,0,5,139,0,57,68,25,4,4,4,5,0,0,0,0,0,0,11,178,0,4,0,5,6,7,29,18,0,3,0,0,0,0,6,87,0,0,0,0,3,0,11,14,0,0,0,0,3,0,3,40,0,0,3,3,0,0,3,0,0,0,0,0,0,0,0,12,3,0,10,14,19,22,32,45,16,3,3,6,9,0,6,180,0,16,27,19,4,0,0,0,0,0,0,0,0,0,5,71,0,227,183,38,14,4,10,0,0,0,0,0,5,0,21,510,0,8,30,84,140,127,151,89,21,38,20,17,11,9,31,773,0,0,0,0,0,0,16,22,0,3,8,3,3,3,0,65,0,0,0,4,26,57,49,81,27,51,40,21,29,9,21,423,0,19,7,0,10,7,0,0,0,3,0,0,0,0,4,51,0,0,3,6,3,4,8,19,0,0,0,0,3,11,0,52
Creswick - Daylesford - Ballan,20102,0,0,5,0,0,0,4,73,0,12,25,10,8,0,0,3,0,0,0,3,0,3,0,74,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,4,9,0,0,0,0,0,3,0,0,5,34,0,29,39,15,6,7,0,5,0,0,3,0,0,0,5,107,0,65,55,9,12,7,6,8,0,0,0,0,0,0,3,173,0,0,12,34,97,67,64,25,11,7,6,0,0,0,18,349,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,8,9,3,4,5,3,9,3,0,0,56,0,0,6,0,12,0,3,0,0,0,0,0,0,0,3,27,0,0,3,0,0,0,3,0,0,0,0,0,3,0,0,13
Maryborough - Pyrenees,20103,0,0,0,0,0,0,3,30,0,18,7,5,0,0,0,0,0,0,0,0,0,0,6,37,0,0,0,4,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,8,0,0,0,3,3,0,0,5,0,0,0,0,0,0,0,15,0,11,16,6,3,0,0,5,0,0,0,0,0,0,6,47,0,47,60,16,9,0,0,0,0,0,0,0,0,0,8,143,0,0,12,36,71,40,29,11,0,3,0,4,4,3,8,221,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,7,0,0,0,0,4,11,9,7,0,8,6,8,4,8,4,76,0,0,3,3,4,0,0,0,0,0,0,0,0,0,0,7,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,6
Bendigo,20201,3,5,0,3,0,0,7,117,3,25,43,24,3,0,0,3,0,0,0,0,0,0,8,116,0,0,0,0,0,0,5,7,3,0,3,0,0,0,4,33,0,0,0,0,4,3,11,9,8,3,6,0,3,4,0,57,0,0,0,0,3,5,4,3,0,0,0,0,0,0,0,17,0,0,4,15,28,21,33,35,3,12,0,6,7,8,10,171,0,11,6,6,0,0,0,0,0,0,0,0,0,0,3,24,0,72,58,17,14,3,3,3,0,3,9,0,0,0,11,183,3,3,15,57,125,106,128,85,17,10,15,0,12,5,28,609,0,0,0,0,0,0,12,25,0,3,8,0,3,0,0,63,0,0,0,3,23,56,49,68,23,12,28,17,29,17,17,347,0,11,5,0,0,4,0,0,0,0,0,0,0,0,0,18,0,0,0,6,3,3,17,9,0,0,4,0,0,3,5,51
Heathcote - Castlemaine - Kyneton,20202,3,0,0,0,0,0,0,81,0,40,45,16,3,3,0,0,0,0,0,0,0,0,15,124,0,0,0,0,3,0,7,0,0,5,0,0,0,0,0,18,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,17,0,0,11,4,11,3,4,0,0,0,0,0,0,0,9,48,0,25,26,14,0,3,0,0,0,0,0,0,0,0,5,68,0,66,67,18,20,4,10,17,0,4,0,0,0,0,11,231,3,10,18,65,129,97,109,51,9,9,4,5,3,4,51,558,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,9,24,19,18,4,17,29,6,16,0,3,139,0,6,8,0,6,7,3,0,0,0,0,0,0,0,3,29,0,0,4,0,3,3,4,3,0,0,0,0,0,0,0,21
Loddon - Elmore,20203,4,0,5,0,0,0,0,10,0,3,10,0,3,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,9,0,3,9,0,0,0,0,0,0,0,0,0,0,0,0,19,0,12,15,3,0,0,0,0,0,0,0,0,0,0,0,29,0,3,3,10,34,11,12,12,0,3,0,0,0,4,6,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,30,3,5,16,0,0,3,3,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
