sa3_name16,sa3_code16,ireland_2011,ireland_2012,ireland_2013,ireland_2014,ireland_2015,ireland_2016,ireland_yr_arrival_notstated,ireland_tot,italy_before_1946,italy_1946_1955,italy_1956_1965,italy_1966_1975,italy_1976_1985,italy_1986_1995,italy_1996_2005,italy_2006_2010,italy_2011,italy_2012,italy_2013,italy_2014,italy_2015,italy_2016,italy_yr_arrival_notstated,italy_tot,japan_before_1946,japan_1946_1955,japan_1956_1965,japan_1966_1975,japan_1976_1985,japan_1986_1995,japan_1996_2005,japan_2006_2010,japan_2011,japan_2012,japan_2013,japan_2014,japan_2015,japan_2016,japan_yr_arrival_notstated,japan_tot,korea_rep_sth_before_1946,korea_rep_sth_1946_1955,korea_rep_sth_1956_1965,korea_rep_sth_1966_1975,korea_rep_sth_1976_1985,korea_rep_sth_1986_1995,korea_rep_sth_1996_2005,korea_rep_sth_2006_2010,korea_republic_south_2011,korea_republic_south_2012,korea_republic_south_2013,korea_republic_south_2014,korea_republic_south_2015,korea_republic_south_2016,korea_repub_sth_arrival_notstated,korea_republic_south_tot,lebanon_before_1946,lebanon_1946_1955,lebanon_1956_1965,lebanon_1966_1975,lebanon_1976_1985,lebanon_1986_1995,lebanon_1996_2005,lebanon_2006_2010,lebanon_2011,lebanon_2012,lebanon_2013,lebanon_2014,lebanon_2015,lebanon_2016,lebanon_yr_arrival_notstated,lebanon_tot,malaysia_before_1946,malaysia_1946_1955,malaysia_1956_1965,malaysia_1966_1975,malaysia_1976_1985,malaysia_1986_1995,malaysia_1996_2005,malaysia_2006_2010,malaysia_2011,malaysia_2012,malaysia_2013,malaysia_2014,malaysia_2015,malaysia_2016,malaysia_yr_arrival_notstated,malaysia_tot,malta_before_1946,malta_1946_1955,malta_1956_1965,malta_1966_1975,malta_1976_1985,malta_1986_1995,malta_1996_2005,malta_2006_2010,malta_2011,malta_2012,malta_2013,malta_2014,malta_2015,malta_2016,malta_yr_arrival_notstated,malta_tot,netherlands_before_1946,netherlands_1946_1955,netherlands_1956_1965,netherlands_1966_1975,netherlands_1976_1985,netherlands_1986_1995,netherlands_1996_2005,netherlands_2006_2010,netherlands_2011,netherlands_2012,netherlands_2013,netherlands_2014,netherlands_2015,netherlands_2016,netherlands_yr_arrival_notstated,netherlands_tot,new_zealand_before_1946,new_zealand_1946_1955,new_zealand_1956_1965,new_zealand_1966_1975,new_zealand_1976_1985,new_zealand_1986_1995,new_zealand_1996_2005,new_zealand_2006_2010,new_zealand_2011,new_zealand_2012,new_zealand_2013,new_zealand_2014,new_zealand_2015,new_zealand_2016,new_zealand_yr_arrival_notstated,new_zealand_tot,pakistan_before_1946,pakistan_1946_1955,pakistan_1956_1965,pakistan_1966_1975,pakistan_1976_1985,pakistan_1986_1995,pakistan_1996_2005,pakistan_2006_2010,pakistan_2011,pakistan_2012,pakistan_2013,pakistan_2014,pakistan_2015,pakistan_2016,pakistan_yr_arrival_notstated,pakistan_tot,philippines_before_1946,philippines_1946_1955,philippines_1956_1965,philippines_1966_1975,philippines_1976_1985,philippines_1986_1995,philippines_1996_2005,philippines_2006_2010,philippines_2011,philippines_2012,philippines_2013,philippines_2014,philippines_2015,philippines_2016,philippines_yr_arrival_notstated,philippines_tot,poland_before_1946,poland_1946_1955,poland_1956_1965,poland_1966_1975,poland_1976_1985,poland_1986_1995,poland_1996_2005,poland_2006_2010,poland_2011,poland_2012,poland_2013,poland_2014,poland_2015,poland_2016,poland_yr_arrival_notstated,poland_tot,singapore_before_1946,singapore_1946_1955,singapore_1956_1965,singapore_1966_1975,singapore_1976_1985,singapore_1986_1995,singapore_1996_2005,singapore_2006_2010,singapore_2011,singapore_2012,singapore_2013,singapore_2014,singapore_2015,singapore_2016,singapore_yr_arrival_notstated,singapore_tot
Barwon - West,20301,4,0,0,3,0,0,0,41,0,15,19,5,0,0,0,9,0,0,0,0,0,0,3,54,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,3,4,0,0,0,0,0,0,0,0,0,0,7,0,4,5,4,0,0,3,0,0,0,0,0,0,0,3,22,0,42,38,12,7,3,0,0,0,0,3,0,0,0,11,110,0,0,8,19,31,30,39,14,4,7,3,4,10,3,4,172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,7,13,0,0,0,0,3,4,0,31,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,12,0,0,0,3,0,0,4,0,0,0,0,0,0,0,0,8
Geelong,20302,16,27,16,8,16,0,15,425,5,369,586,246,48,20,21,10,0,8,10,12,10,12,76,1425,0,3,0,5,3,4,35,22,7,8,4,6,9,4,4,109,0,0,0,0,0,17,34,39,9,6,15,4,5,8,3,144,0,0,3,19,21,13,11,11,4,3,0,0,0,3,13,93,3,0,13,30,43,70,60,64,18,30,18,31,28,16,22,442,0,65,62,37,5,6,0,0,0,0,0,0,0,0,7,183,0,527,344,62,39,17,28,8,6,0,0,0,0,3,53,1087,3,14,24,146,280,321,415,224,54,53,45,33,21,21,96,1766,0,0,0,0,5,8,19,81,21,48,77,27,56,11,25,382,0,0,3,17,103,201,271,287,34,39,43,44,72,34,47,1186,3,73,83,27,83,57,13,10,0,3,3,0,0,0,30,386,0,3,4,22,17,29,59,55,0,3,0,5,9,4,9,223
Surf Coast - Bellarine Peninsula,20303,5,4,10,9,0,0,11,205,0,85,118,48,9,0,3,8,0,0,3,0,0,0,12,289,0,0,3,5,3,5,6,18,0,3,0,0,0,0,8,56,0,0,0,0,0,3,10,0,0,0,0,0,0,0,3,16,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,11,0,0,3,16,13,14,16,23,0,0,0,0,0,0,3,91,0,67,66,30,6,3,0,3,0,0,4,0,0,0,13,198,0,148,100,27,17,13,10,23,0,3,0,0,3,0,13,344,3,16,26,79,133,114,153,114,33,33,20,21,9,0,33,786,0,0,0,0,0,0,0,3,3,0,0,0,3,0,0,9,0,0,0,3,9,18,21,23,3,4,8,10,0,0,6,114,0,17,4,5,8,12,4,0,0,0,0,0,0,0,0,50,0,0,0,10,8,7,9,6,3,0,0,3,0,0,0,48
Upper Goulburn Valley,20401,9,3,3,0,0,0,3,107,0,60,80,36,3,0,0,0,0,0,4,0,0,0,12,194,0,0,0,3,0,4,3,12,3,0,0,3,9,0,3,42,0,0,0,0,0,0,8,3,0,4,4,0,3,0,5,38,0,0,3,4,3,0,3,0,0,0,0,0,0,0,0,15,4,0,5,10,12,9,7,5,0,0,0,13,9,10,10,95,0,26,34,12,6,0,0,0,0,0,0,0,0,0,3,83,0,89,81,21,14,7,11,5,0,0,0,0,0,0,11,248,0,11,32,63,128,95,107,51,15,13,10,0,9,5,35,571,0,0,0,0,0,4,0,7,0,0,0,0,0,0,0,14,0,0,0,0,13,29,26,25,27,19,21,6,12,14,11,210,0,11,10,6,8,8,0,4,0,0,0,0,0,0,0,44,0,0,0,6,6,3,4,3,0,3,0,0,3,3,3,36
Wangaratta - Benalla,20402,4,0,0,0,0,0,0,45,12,121,146,60,3,0,3,0,0,3,0,4,0,0,18,369,0,0,0,0,0,3,7,3,0,0,0,0,3,0,3,18,0,0,0,0,0,0,3,7,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,3,3,15,11,0,0,0,3,3,0,0,54,0,5,11,3,0,0,0,0,0,0,0,0,0,0,0,18,0,71,68,12,18,3,5,5,0,0,0,0,0,0,3,193,3,15,12,42,62,36,59,31,10,6,0,0,5,0,16,309,0,0,0,0,0,0,0,7,0,0,6,0,0,0,0,12,0,0,0,3,21,27,9,39,6,5,6,0,6,8,3,141,0,13,3,3,0,0,0,0,0,0,0,0,0,0,3,24,0,0,0,3,3,0,3,3,0,0,0,0,0,0,0,13
Wodonga - Alpine,20403,0,3,0,0,0,0,0,82,6,128,148,53,11,3,5,3,0,0,0,3,3,0,26,395,0,0,0,0,3,3,11,0,0,3,3,0,0,0,0,26,0,0,0,0,0,3,8,6,0,4,3,0,0,4,0,32,0,0,5,3,0,0,3,0,0,0,0,0,0,0,4,20,0,0,10,11,14,10,4,7,0,0,0,10,4,0,0,75,0,3,10,3,0,0,0,0,0,0,0,0,0,0,3,28,0,117,100,20,19,7,13,7,0,0,0,3,0,0,12,298,0,5,19,78,148,118,131,74,19,10,6,13,10,3,31,664,0,0,0,0,0,0,3,15,0,8,0,0,5,5,0,33,0,0,0,0,26,39,34,73,14,41,28,14,23,16,12,320,0,17,12,5,12,3,3,4,0,0,0,0,0,0,0,59,0,0,0,6,3,5,8,8,0,0,0,0,0,0,0,33
Baw Baw,20501,0,0,4,0,8,0,3,79,8,61,58,28,0,4,3,0,3,0,0,0,0,0,15,178,0,0,0,0,0,0,6,7,0,0,0,5,0,0,0,22,0,0,0,0,0,3,0,0,0,0,0,4,0,0,0,11,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,7,0,0,0,4,4,9,3,7,0,6,0,0,0,0,3,38,0,17,12,4,0,0,0,3,0,0,0,0,0,0,0,33,0,153,106,25,31,11,11,0,0,4,0,0,0,0,9,349,0,8,11,51,112,89,109,55,17,12,9,7,3,3,23,519,0,0,0,0,0,0,5,0,0,0,3,0,0,0,0,8,0,0,0,3,14,27,17,18,4,9,0,3,13,0,9,125,0,5,10,7,15,6,7,0,0,0,0,0,0,0,3,45,0,0,0,5,5,0,7,3,0,0,0,0,0,0,0,21
Gippsland - East,20502,0,8,0,0,0,0,3,71,0,67,51,11,9,5,0,0,0,0,0,0,0,0,12,155,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,6,0,0,0,0,3,3,0,4,0,0,3,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,8,4,5,11,0,0,3,11,0,0,3,45,0,24,10,8,0,0,0,0,0,0,0,0,0,0,0,51,0,97,119,13,13,6,3,6,0,0,0,0,0,0,18,274,3,12,19,54,101,69,69,34,4,12,3,3,0,0,31,424,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,17,32,28,23,7,12,9,11,9,11,6,169,0,5,10,6,3,5,3,0,0,0,0,3,0,0,0,35,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,19
Gippsland - South West,20503,3,5,3,0,4,0,4,146,8,161,141,57,17,4,7,3,0,0,0,3,3,3,22,426,0,0,0,3,0,4,14,0,0,0,0,3,0,0,0,26,0,0,0,0,0,0,3,3,3,0,3,8,3,0,0,26,0,0,3,5,0,0,0,0,0,0,0,0,0,0,0,5,0,0,5,5,17,4,12,12,3,3,3,0,0,0,4,74,0,47,28,5,0,0,3,0,0,0,0,0,0,0,9,87,0,160,212,39,37,20,9,0,5,6,0,0,0,0,14,500,3,8,30,106,199,136,140,97,17,23,19,11,9,4,41,852,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,17,32,27,27,5,4,8,12,9,6,11,159,0,4,3,6,15,3,4,3,0,0,0,0,0,0,0,34,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,12
Latrobe Valley,20504,6,0,0,0,0,0,3,113,3,109,286,138,19,0,3,6,0,0,0,0,0,0,39,608,0,0,0,0,0,5,4,3,0,3,3,0,0,3,5,30,0,0,0,0,3,0,3,6,3,0,3,0,0,0,0,24,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4,0,0,3,16,13,10,15,18,4,0,12,7,9,4,0,108,0,151,120,37,21,3,0,0,0,3,0,0,0,0,15,349,0,251,236,50,53,17,15,11,0,0,0,0,0,0,13,647,0,5,10,70,157,81,125,72,20,6,21,15,6,9,27,634,0,0,0,0,0,0,0,26,0,3,3,0,3,0,0,37,0,0,0,0,58,100,73,54,9,18,16,23,22,14,18,412,0,27,13,4,26,24,5,0,0,0,0,0,0,0,6,103,0,0,0,0,0,3,5,3,0,3,3,4,0,0,0,27
Wellington,20505,9,0,0,0,3,0,5,58,0,42,31,15,0,0,0,0,0,3,0,0,0,0,10,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,9,0,0,3,3,3,0,0,0,0,0,0,0,0,0,9,14,0,0,3,12,9,4,6,13,3,3,5,3,5,7,14,92,0,9,6,0,3,0,0,0,0,0,0,0,0,0,0,23,0,94,110,24,11,3,0,6,0,0,0,0,0,0,7,270,3,8,21,33,88,52,96,70,13,17,23,9,19,8,54,515,0,0,0,0,0,0,4,6,3,7,0,0,4,0,0,23,0,0,0,0,23,32,13,19,15,12,12,7,41,11,26,210,0,15,3,8,7,13,0,0,0,0,0,0,0,0,5,49,0,0,0,0,0,3,3,10,0,0,3,0,6,0,5,25
Brunswick - Coburg,20601,29,23,35,10,10,8,4,344,17,735,1537,838,82,28,43,52,18,50,63,56,56,24,131,3733,0,0,0,3,9,28,68,48,10,15,10,3,17,5,19,235,0,0,0,0,4,18,35,35,13,4,6,11,12,6,14,155,0,4,47,339,354,160,68,35,3,8,9,16,11,7,58,1114,0,0,9,24,95,103,113,78,6,22,32,19,37,21,16,571,0,53,89,34,19,4,0,0,0,0,0,0,0,0,3,207,0,13,12,9,12,13,21,15,6,0,3,13,6,15,3,136,0,5,11,54,137,194,407,378,121,145,130,133,98,54,71,1931,0,0,0,0,3,21,25,84,50,45,44,39,64,29,14,415,0,0,0,12,52,94,56,39,16,10,15,22,21,20,13,380,0,12,13,3,35,28,12,14,8,3,8,0,4,4,4,151,0,0,3,8,29,32,47,28,8,11,5,7,3,10,6,191
Darebin - South,20602,20,10,10,7,7,3,8,232,6,354,581,258,22,10,15,12,4,12,15,9,7,13,35,1355,0,0,0,0,7,20,33,22,9,3,0,8,4,0,9,123,0,0,0,0,5,8,15,13,4,0,4,3,0,0,3,54,0,4,32,87,53,34,9,3,0,0,0,0,0,0,10,240,0,0,5,14,44,66,47,35,3,5,8,5,6,7,8,247,0,26,20,8,0,0,0,0,0,0,0,0,0,0,0,51,0,14,6,4,12,7,18,7,5,0,0,3,3,4,0,86,0,4,10,43,108,132,252,174,63,85,51,46,43,25,26,1062,0,0,0,0,3,4,3,10,3,0,3,4,6,0,0,42,0,0,0,0,19,41,24,22,6,5,9,7,5,8,8,143,0,8,13,6,19,16,6,0,4,0,3,0,0,0,0,76,0,0,0,3,21,18,32,14,0,6,8,5,7,3,0,121
Essendon,20603,38,23,15,8,4,15,6,304,3,394,747,357,32,18,19,22,14,11,21,18,20,12,51,1740,0,0,0,0,5,23,31,24,12,3,12,9,6,11,0,137,0,0,0,0,5,9,36,64,4,19,21,7,6,14,9,204,0,3,13,43,28,7,10,9,0,0,0,0,0,0,8,121,0,0,3,29,52,67,115,82,14,16,18,18,14,17,12,471,0,58,69,39,13,8,3,4,0,0,0,0,0,0,5,199,0,21,15,6,9,7,15,0,3,5,0,0,7,6,0,92,0,3,7,64,98,113,215,182,70,70,49,50,52,20,22,1007,0,0,0,3,0,12,13,22,13,12,18,13,20,12,0,132,0,0,0,7,36,58,42,56,8,19,12,35,21,19,12,333,0,13,27,9,27,18,4,7,4,0,0,0,3,0,0,116,0,0,0,11,21,17,32,35,3,3,13,11,8,4,7,160
Melbourne City,20604,59,47,24,36,68,23,7,493,4,163,235,94,14,11,34,78,33,75,126,133,157,95,65,1320,0,0,0,7,17,57,157,114,40,72,61,116,169,172,162,1139,0,0,0,3,20,63,359,580,154,212,260,349,400,422,328,3155,0,0,6,20,24,21,11,15,0,6,3,0,0,5,10,116,0,3,10,70,166,351,833,1018,252,413,511,839,1021,944,285,6722,0,24,41,23,7,5,0,0,0,0,0,0,0,0,4,109,0,38,41,15,20,12,21,21,4,11,8,12,13,18,15,242,9,8,27,100,258,294,523,481,170,224,220,221,274,210,127,3133,0,0,0,5,4,5,35,36,9,22,11,29,50,56,4,272,0,0,0,16,57,206,128,176,54,73,80,103,127,132,47,1198,3,21,24,6,46,34,5,10,5,10,5,17,20,11,6,235,0,0,7,15,40,91,303,295,96,129,145,228,277,290,68,1985
Port Phillip,20605,133,125,97,99,90,64,15,1171,3,133,149,88,22,16,22,53,28,73,75,65,57,35,29,853,0,0,3,4,15,39,74,53,20,12,21,37,42,16,18,351,0,0,0,0,16,26,70,71,16,15,21,16,12,17,7,283,0,4,0,22,11,11,3,4,4,0,0,0,4,0,3,76,0,3,11,54,99,122,164,139,27,27,41,47,44,38,30,845,0,47,26,9,15,0,3,0,0,0,0,0,0,0,4,107,0,36,36,14,19,32,33,38,10,10,14,6,27,16,0,292,3,4,34,143,290,323,554,465,209,211,191,175,191,121,77,2997,0,0,0,0,0,4,17,16,11,11,7,4,13,3,4,89,0,0,0,8,65,115,63,59,16,8,22,28,46,21,24,460,10,52,90,31,123,85,32,25,12,9,0,12,13,8,9,501,0,3,8,13,33,44,74,49,5,21,25,11,14,16,10,324
Yarra,20607,57,56,40,36,43,23,14,538,11,184,335,94,11,12,25,31,13,17,32,30,34,20,40,895,0,0,0,3,14,27,67,42,9,13,0,14,20,12,22,243,0,0,0,0,14,15,40,34,6,16,21,9,18,12,5,179,0,3,8,14,15,7,3,4,0,0,0,0,0,0,0,61,0,0,12,44,110,129,150,98,21,27,29,30,39,30,25,740,0,24,31,5,4,0,0,0,0,0,0,3,0,0,3,73,0,13,28,15,13,15,15,11,3,4,9,8,13,15,6,188,3,3,34,81,212,254,454,468,184,211,172,190,179,116,77,2649,0,0,0,3,0,3,11,16,0,3,12,5,8,3,0,69,0,0,3,10,33,78,56,43,3,17,11,21,24,19,14,325,0,8,11,3,43,33,12,5,0,3,0,0,9,4,5,149,0,0,12,9,22,34,69,44,8,7,14,16,19,10,9,265
Boroondara,20701,30,28,18,11,5,3,16,483,18,459,596,171,38,18,32,26,4,23,17,23,15,5,51,1513,0,0,5,20,24,76,104,57,21,14,15,15,22,14,20,403,0,0,0,5,27,67,229,167,44,31,32,35,19,35,14,710,0,7,19,46,24,23,7,13,0,0,3,3,0,3,6,144,8,11,59,323,682,771,474,346,80,79,86,85,112,105,73,3297,0,40,35,17,4,3,0,0,4,0,0,0,0,0,0,109,3,78,64,22,32,20,42,26,4,0,3,8,5,0,6,314,13,34,72,212,312,339,610,364,92,145,87,100,91,54,68,2603,0,0,0,13,7,36,22,37,17,19,12,9,34,12,12,230,0,0,5,21,70,96,66,86,23,29,55,26,34,31,17,559,13,73,52,28,67,60,20,19,4,0,3,9,3,3,6,366,5,0,21,80,110,166,226,130,41,27,16,30,52,34,14,955
Manningham - West,20702,5,0,3,0,0,0,7,114,21,878,1179,351,43,35,22,24,7,13,14,10,4,3,145,2764,0,0,0,13,19,16,59,28,0,6,10,3,0,3,3,164,0,0,0,3,20,79,216,233,42,39,16,19,8,14,23,719,0,12,47,104,91,59,28,4,0,0,3,3,0,0,3,361,0,5,48,170,498,733,634,553,111,115,112,113,156,86,76,3419,0,75,54,5,3,0,4,0,0,0,0,0,0,0,6,146,0,54,36,12,9,4,9,4,3,0,3,0,0,0,10,141,9,8,29,54,107,121,254,118,29,31,17,11,13,10,19,829,0,0,5,9,9,28,44,55,23,18,23,26,50,35,13,341,0,0,5,17,58,101,56,54,13,17,18,20,14,13,13,399,3,28,37,12,38,35,8,5,0,0,0,0,0,0,3,160,0,0,10,31,72,110,278,153,17,18,16,20,20,14,10,771
Stonnington - West,20606,68,61,50,36,36,18,3,486,5,75,72,33,8,11,18,35,9,37,39,32,19,10,21,429,0,0,0,4,21,30,58,33,9,21,18,25,33,15,11,281,0,0,0,0,10,21,42,46,8,18,9,21,15,13,9,212,0,3,0,17,8,14,5,0,0,0,0,0,0,0,0,51,0,3,15,58,115,123,128,91,26,25,35,32,49,32,23,752,0,9,16,3,0,0,3,0,0,0,0,3,0,0,0,29,0,25,17,8,10,9,14,12,14,6,10,16,3,6,5,152,7,12,35,71,145,150,332,358,134,128,138,130,146,101,42,1927,0,0,0,0,0,4,9,10,4,0,4,7,7,0,0,60,0,0,0,4,28,66,32,53,17,17,28,27,27,26,16,338,37,90,55,16,50,38,19,14,0,3,0,3,7,3,5,352,0,3,11,18,24,35,91,57,10,13,16,10,21,12,4,327
Whitehorse - West,20703,8,18,0,0,3,0,9,206,7,222,362,137,11,15,8,5,3,4,11,12,0,0,33,832,0,0,0,0,13,28,74,42,9,15,14,8,16,18,10,245,0,0,0,7,12,44,206,233,31,62,43,38,43,35,26,774,0,3,9,15,9,14,3,3,0,0,0,0,0,0,0,65,3,4,31,105,316,610,459,381,60,89,126,174,233,176,127,2896,0,28,29,9,0,0,0,0,0,0,0,0,0,0,0,75,0,88,76,17,9,6,23,16,5,3,0,4,0,0,13,267,8,13,33,90,163,170,279,159,47,51,45,16,20,28,32,1156,0,0,3,0,3,11,21,45,12,22,19,31,26,14,3,209,0,0,0,12,47,127,60,79,32,39,47,58,75,43,13,634,0,19,33,20,48,46,12,7,0,3,4,6,0,0,5,203,0,0,6,26,49,78,145,128,9,14,31,18,20,23,16,567
Bayside,20801,36,31,13,19,13,9,3,544,12,195,228,105,33,16,17,20,9,15,8,12,13,5,22,712,0,4,4,11,18,34,42,31,8,13,27,26,34,32,28,306,0,0,0,0,7,16,27,21,6,0,4,0,3,9,4,100,0,0,8,24,27,17,7,3,0,3,0,0,0,3,5,104,0,3,13,62,62,95,75,25,7,8,3,4,13,4,7,391,0,23,36,3,3,3,0,0,0,0,0,0,0,0,3,71,3,62,54,17,14,20,40,42,8,15,7,13,7,0,10,321,17,13,49,148,279,256,439,245,59,57,45,43,49,22,48,1766,0,0,3,3,6,3,3,7,3,8,3,4,0,3,0,46,0,3,0,14,38,32,31,19,7,10,3,9,19,12,6,213,0,56,86,33,128,89,30,17,0,3,5,3,7,3,9,470,3,0,6,16,22,33,53,56,12,12,3,12,11,11,3,267
Darebin - North,20902,13,12,6,3,0,0,10,222,8,1011,2022,989,101,51,43,33,17,20,43,43,36,9,283,4714,0,3,0,3,0,15,57,39,6,4,3,9,10,12,3,163,0,0,0,0,5,6,19,44,3,4,9,6,6,5,15,130,0,13,57,232,216,187,110,43,7,6,10,17,4,7,29,923,0,0,6,17,59,105,101,90,16,23,48,51,67,47,25,657,0,92,101,47,20,3,4,0,0,3,0,0,0,0,21,298,0,20,26,7,10,3,16,8,0,0,3,3,0,3,3,91,0,3,13,23,116,160,282,205,64,61,50,38,25,18,46,1114,0,0,0,0,0,15,41,87,35,51,52,83,88,44,4,499,0,0,0,3,57,187,75,126,21,52,59,66,49,38,18,753,0,7,18,17,29,24,11,14,0,0,3,8,0,0,3,140,0,0,0,9,3,24,59,19,6,4,14,5,25,7,6,186
Nillumbik - Kinglake,20903,3,4,0,0,3,0,0,206,0,159,284,124,18,7,4,0,4,4,0,0,4,0,28,641,0,0,0,0,6,12,23,8,0,4,3,0,0,3,4,62,0,0,0,3,3,3,9,3,0,0,0,0,0,0,3,24,0,0,4,20,12,11,0,0,0,0,0,0,0,0,0,41,0,0,8,38,57,51,24,25,13,3,3,8,0,0,4,227,0,36,52,13,3,3,0,0,0,0,0,0,0,0,0,111,0,60,39,17,26,9,18,19,0,8,0,3,7,0,0,203,3,9,10,57,122,114,148,91,13,12,25,11,8,9,12,639,0,0,0,0,0,5,7,7,0,10,0,3,0,3,0,31,0,0,0,6,20,25,16,14,0,0,3,11,5,0,3,113,0,4,9,3,23,20,8,4,0,3,0,6,0,0,0,77,0,3,4,11,7,15,17,11,0,0,0,4,0,0,6,85
Whittlesea - Wallan,20904,29,17,7,4,3,7,15,315,10,918,2466,1603,186,113,109,85,33,23,31,37,29,18,383,6044,0,0,0,3,6,14,33,40,0,3,3,0,0,3,7,113,0,0,0,0,7,16,68,76,6,4,11,9,10,5,9,221,0,7,20,304,359,409,239,160,24,23,27,11,26,3,60,1662,0,0,10,24,111,237,186,234,29,25,78,57,59,36,48,1137,0,266,451,177,82,18,7,10,0,4,0,3,0,0,35,1054,0,57,74,15,13,3,12,15,3,0,3,3,0,0,6,198,0,5,14,68,225,296,566,413,171,190,159,115,117,54,122,2525,0,0,3,9,15,62,166,212,39,71,101,75,70,47,30,902,0,0,3,26,193,563,462,507,92,127,98,102,90,49,73,2380,0,13,34,27,89,52,20,16,0,0,12,0,4,0,6,275,0,0,0,12,6,48,124,116,15,20,23,19,33,14,11,432
Keilor,21001,15,9,0,0,0,0,8,161,15,829,1641,637,63,28,28,23,4,16,20,20,16,11,177,3528,0,3,3,0,3,0,19,15,0,0,0,0,0,0,4,59,0,0,0,0,6,7,12,9,0,3,6,0,0,0,3,53,0,3,25,72,65,29,15,10,0,8,0,0,0,0,14,242,0,0,4,7,34,34,44,23,9,4,5,7,4,15,10,207,3,167,241,66,20,3,5,0,0,0,0,0,0,0,18,533,0,27,26,3,10,0,3,5,0,0,0,0,0,0,0,80,0,0,10,35,51,68,115,82,19,22,24,10,6,9,18,472,0,0,0,0,0,3,8,17,9,7,11,3,6,0,3,75,0,0,0,12,60,104,50,56,13,15,8,11,27,9,16,396,0,30,31,25,50,19,4,0,0,0,0,3,0,0,6,172,0,0,0,3,8,12,27,6,3,0,0,0,7,0,0,76
Macedon Ranges,21002,7,0,3,3,0,0,3,86,0,40,76,41,0,5,0,3,0,0,0,3,0,0,4,172,0,0,0,0,0,4,7,0,0,0,0,0,0,0,0,10,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,6,0,0,0,7,3,0,0,0,0,0,0,0,0,0,0,13,0,0,5,4,9,9,3,3,0,0,0,0,0,0,0,35,0,34,43,18,10,6,0,0,0,0,0,0,0,0,3,124,0,31,30,3,10,3,6,4,0,0,0,0,0,0,0,88,0,0,8,30,72,68,83,49,6,8,7,10,4,0,18,360,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,5,3,11,3,0,0,4,3,0,0,4,39,0,3,0,3,8,3,0,0,0,0,0,0,0,0,0,26,0,0,0,3,3,0,7,13,0,0,0,0,0,0,0,30
Glen Eira,20802,60,69,33,32,25,13,13,681,17,283,400,178,51,18,22,33,14,21,12,31,15,13,35,1147,0,5,6,19,22,74,164,111,18,42,46,72,61,36,38,702,0,0,0,3,15,60,169,226,68,33,57,58,48,26,16,781,0,8,16,42,51,25,13,9,0,3,0,0,0,0,4,168,4,4,8,73,183,198,222,192,31,53,40,50,65,46,20,1189,0,29,28,20,6,0,4,0,0,0,0,0,0,0,5,88,0,48,48,11,29,25,21,17,11,5,6,9,6,4,3,241,7,12,45,131,332,287,481,364,117,115,78,44,67,40,47,2179,0,0,0,6,4,15,12,33,8,9,22,14,12,6,5,152,0,0,0,13,79,154,77,112,28,51,64,65,58,42,19,755,77,404,339,77,230,127,57,30,6,0,9,7,6,3,52,1432,3,4,6,34,44,46,112,70,19,23,21,41,51,16,8,503
Kingston,20803,43,51,27,10,3,3,10,557,9,217,374,180,49,11,23,12,5,11,15,13,9,3,42,985,0,0,3,7,10,56,88,42,7,17,9,12,3,8,8,269,0,0,0,4,9,11,46,45,0,3,3,8,3,3,4,144,0,3,4,40,40,23,13,11,3,0,0,0,0,0,8,137,0,3,9,35,83,113,85,53,10,8,15,3,8,6,14,437,3,41,54,7,15,3,0,4,0,0,0,0,0,0,6,136,0,98,80,32,31,11,26,33,0,3,0,3,0,4,7,330,9,6,35,147,309,309,542,275,103,86,48,47,22,28,65,2031,0,0,0,5,5,12,10,21,3,3,0,6,11,3,0,95,0,0,0,12,98,256,125,104,40,34,50,32,46,28,24,858,4,18,36,22,167,133,43,19,3,6,4,3,13,0,11,475,0,0,3,13,14,49,56,41,0,6,0,0,7,3,4,213
