sa3_code,sa3_name,year,num_bus_non_empl_bus,num_bus_1_4_empl,num_bus_5_19_empl,num_bus_20_plus_empl,num_bus_tot,num_bus_entr_non_empl_bus,num_bus_entr_1_4_empl,num_bus_entr_5_19_empl,num_bus_entr_20_plus_empl,num_bus_entr_tot,num_bus_exit_non_empl_bus,num_bus_exit_1_4_empl,num_bus_exit_5_19_empl,num_bus_exit_20_plus_empl,num_bus_exit_tot,bnkrpt_non_bus_rel_ns,bnkrpt_bus_rel,bnkrpt_tot,patent_applications,trademark_applications,lfs_lab_frc,lfs_unemployed,lfs_unemployment_rate_pc,lfs_participation_rate_pc,ye_wrk_ft_stdy_pt_pc,ye_wrk_pt_stdy_pt_pc,ye_wrk_pt_stdy_ft_pc,ye_wrk_ft_no_stdy_pc,ye_no_wrk_stdy_ft_pc,ye_wrk_ft_stdy_ft_pc,ye_fully_engaged_pc,ye_tot_age_15_19,sgpa_age_pens_ctrlnk,sgpa_age_pens_dva,sgpa_srvc_pens_dva,sgpa_inc_supp_dva,sgpa_carer_pay,sgpa_disable_supp_pens,sgpa_newstrt_allow,sgpa_newstrt_allow_365_days_plus_pc,sgpa_prnt_pay_single,sgpa_yth_all_ft_stud_apprntc,sgpa_yth_allow_oth,sgpa_family_tax_benefit_a,sgpa_family_tax_benefit_b,sgpa_tot_fam_tax_benf_recip,epi_med_emply_inc_aud,epi_tot_employ_inc_m_aud,epi_employ_inc_earners,epi_med_own_uninc_bus_inc_aud,epi_tot_own_uninc_bus_inc_m_aud,epi_own_uninc_bus_inc_earnrs,epi_med_invstmnt_inc_aud,epi_tot_invstmnt_inc_m_aud,epi_invstmnt_inc_earnrs,epi_med_supr_annuity_inc_aud,epi_tot_supr_annuity_inc_m_aud,epi_supr_annuity_inc_earnrs,epi_med_oth_inc_aud,epi_tot_oth_inc_m_aud,epi_oth_inc_earnrs,epi_med_tot_inc_aud,epi_tot_tot_inc_m_aud,epi_tot_inc_earnrs,avg_mnthly_hhld_rnt_paymnt_aud,avg_mnthly_hhld_mrtge_paymnt_aud,ba_priv_sect_hse,ba_priv_sect_dwell_excl_hse,ba_tot_priv_sect_dwell_units,ba_tot_dwell_units,ba_val_priv_sect_hses_m_aud,ba_val_priv_sect_dwell_excl_hse_m_aud,ba_val_tot_res_bld_m_aud,ba_val_tot_non_res_bld_m_aud,ba_val_tot_bld_m_aud,rpp_hse_num_trans,rpp_hse_med_sal_prc_aud,rpp_att_dwell_num_trans,rpp_att_dwell_med_sal_prc_aud
10101,Goulburn - Yass,2014,4268.0,2250.0,816.0,126.0,7460.0,466.0,254.0,58.0,3.0,781.0,532.0,160.0,39.0,4.0,735.0,64.0,12.0,76.0,12.0,74.0,,,,,,,,,,,,,8890.0,14.0,416.0,268.0,709.0,3009.0,2013.0,71.0,956.0,392.0,370.0,5729.0,4817.0,5862.0,,,,,,,,,,,,,,,,,,,,,334.0,18.0,352.0,352.0,96.0,2.0,101.0,37.0,138.0,,,,
10101,Goulburn - Yass,2013,4249.0,2201.0,824.0,115.0,7389.0,401.0,196.0,20.0,,617.0,573.0,179.0,39.0,9.0,800.0,55.0,21.0,76.0,28.0,74.0,,,,,,,,,,,,,8703.0,14.0,437.0,287.0,630.0,3041.0,1809.0,70.0,951.0,347.0,362.0,6141.0,5089.0,6296.0,45000.0,1501.0,28765.0,4174.0,109.0,9027.0,366.0,197.0,26504.0,22599.0,53.0,1749.0,82.0,6.0,4580.0,41767.0,1866.0,36830.0,,,348.0,17.0,365.0,366.0,93.0,2.0,97.0,46.0,143.0,1082.0,300000.0,95.0,230000.0
10101,Goulburn - Yass,2012,4333.0,2298.0,823.0,121.0,7575.0,499.0,236.0,29.0,5.0,769.0,583.0,159.0,42.0,4.0,788.0,63.0,20.0,83.0,20.0,80.0,,,,,,,,,,,,,8445.0,13.0,485.0,315.0,553.0,3055.0,1643.0,66.0,1163.0,616.0,275.0,5552.0,4608.0,5694.0,,,,,,,,,,,,,,,,,,,,,379.0,22.0,401.0,402.0,112.0,8.0,120.0,58.0,178.0,,,,
10101,Goulburn - Yass,2011,4324.0,2330.0,817.0,114.0,7585.0,,,,,,,,,,,,,,30.0,86.0,32161.0,1489.0,4.6,59.7,5.0,1.5,18.8,10.1,41.8,0.7,77.8,4382.0,8288.0,,,,520.0,3042.0,1622.0,66.0,1114.0,713.0,271.0,6354.0,5178.0,6519.0,,,,,,,,,,,,,,,,,,,847.0,1728.0,393.0,47.0,440.0,446.0,114.0,6.0,122.0,55.0,177.0,,,,
10101,Goulburn - Yass,2010,,,,,,,,,,,,,,,,,,,26.0,186.0,,,,,,,,,,,,,,,,,,,1658.0,62.0,1110.0,903.0,280.0,6694.0,5321.0,6810.0,,,,,,,,,,,,,,,,,,,,,389.0,23.0,412.0,412.0,100.0,3.0,103.0,81.0,184.0,,,,
10102,Queanbeyan,2014,2749.0,1306.0,454.0,86.0,4595.0,377.0,187.0,24.0,,588.0,407.0,106.0,22.0,3.0,538.0,29.0,11.0,40.0,9.0,39.0,,,,,,,,,,,,,3869.0,,205.0,93.0,215.0,1490.0,938.0,61.0,507.0,191.0,158.0,3096.0,2785.0,3316.0,,,,,,,,,,,,,,,,,,,,,176.0,54.0,230.0,230.0,63.0,12.0,77.0,19.0,96.0,,,,
10102,Queanbeyan,2013,2759.0,1244.0,445.0,94.0,4542.0,321.0,149.0,18.0,,488.0,449.0,111.0,22.0,4.0,586.0,38.0,9.0,47.0,13.0,57.0,,,,,,,,,,,,,3739.0,,210.0,101.0,209.0,1418.0,801.0,57.0,475.0,213.0,149.0,3341.0,2929.0,3561.0,59481.0,1795.0,27650.0,6085.0,76.0,4639.0,251.0,137.0,23168.0,26726.0,81.0,2477.0,109.0,8.0,4007.0,56220.0,2097.0,32682.0,,,88.0,145.0,233.0,234.0,32.0,26.0,60.0,42.0,102.0,654.0,533915.0,388.0,312750.0
10102,Queanbeyan,2012,2843.0,1288.0,428.0,104.0,4663.0,366.0,181.0,23.0,,570.0,424.0,125.0,27.0,5.0,581.0,,,40.0,22.0,90.0,,,,,,,,,,,,,3622.0,,213.0,104.0,207.0,1406.0,655.0,54.0,581.0,253.0,119.0,3089.0,2687.0,3274.0,,,,,,,,,,,,,,,,,,,,,88.0,198.0,286.0,286.0,37.0,31.0,68.0,21.0,89.0,,,,
10102,Queanbeyan,2011,2870.0,1292.0,412.0,99.0,4673.0,,,,,,,,,,,,,,16.0,61.0,30158.0,844.0,2.8,71.0,4.9,1.4,24.3,9.8,38.9,1.1,80.4,3507.0,3499.0,,,,192.0,1402.0,641.0,53.0,606.0,322.0,115.0,3613.0,3048.0,3820.0,,,,,,,,,,,,,,,,,,,1267.0,2203.0,101.0,196.0,297.0,297.0,40.0,34.0,75.0,40.0,115.0,,,,
10102,Queanbeyan,2010,,,,,,,,,,,,,,,,,,,14.0,50.0,,,,,,,,,,,,,,,,,,,647.0,55.0,625.0,313.0,100.0,3905.0,3179.0,4078.0,,,,,,,,,,,,,,,,,,,,,108.0,148.0,256.0,309.0,43.0,26.0,80.0,45.0,126.0,,,,
10103,Snowy Mountains,2014,1351.0,711.0,350.0,41.0,2453.0,135.0,83.0,21.0,,239.0,159.0,50.0,20.0,3.0,232.0,10.0,5.0,15.0,7.0,25.0,,,,,,,,,,,,,2286.0,,93.0,51.0,133.0,780.0,539.0,60.0,160.0,65.0,111.0,1410.0,1134.0,1442.0,,,,,,,,,,,,,,,,,,,,,38.0,2.0,40.0,40.0,12.0,1.0,13.0,12.0,25.0,,,,
10103,Snowy Mountains,2013,1347.0,707.0,337.0,49.0,2440.0,137.0,60.0,10.0,,207.0,172.0,60.0,20.0,3.0,255.0,16.0,5.0,21.0,6.0,27.0,,,,,,,,,,,,,2219.0,,105.0,56.0,142.0,796.0,513.0,58.0,157.0,79.0,109.0,1527.0,1216.0,1563.0,41024.0,377.0,8009.0,6560.0,37.0,2718.0,375.0,50.0,7450.0,23552.0,16.0,536.0,89.0,2.0,1308.0,39412.0,482.0,10356.0,,,36.0,10.0,46.0,46.0,12.0,2.0,14.0,13.0,27.0,250.0,260000.0,111.0,198000.0
10103,Snowy Mountains,2012,1366.0,739.0,335.0,49.0,2489.0,140.0,75.0,14.0,4.0,233.0,177.0,51.0,11.0,3.0,242.0,,,22.0,9.0,15.0,,,,,,,,,,,,,2142.0,,118.0,63.0,126.0,771.0,403.0,55.0,222.0,112.0,74.0,1365.0,1081.0,1391.0,,,,,,,,,,,,,,,,,,,,,38.0,4.0,42.0,43.0,14.0,1.0,15.0,11.0,26.0,,,,
10103,Snowy Mountains,2011,1376.0,770.0,295.0,54.0,2495.0,,,,,,,,,,,,,,9.0,27.0,9381.0,337.0,3.6,61.3,4.2,0.9,19.3,10.7,38.6,0.5,74.2,1263.0,2051.0,,,,104.0,780.0,411.0,56.0,237.0,152.0,69.0,1643.0,1269.0,1677.0,,,,,,,,,,,,,,,,,,,1487.0,1534.0,64.0,8.0,72.0,72.0,23.0,2.0,25.0,5.0,30.0,,,,
10103,Snowy Mountains,2010,,,,,,,,,,,,,,,,,,,10.0,12.0,,,,,,,,,,,,,,,,,,,460.0,52.0,260.0,185.0,68.0,1761.0,1371.0,1785.0,,,,,,,,,,,,,,,,,,,,,60.0,3.0,63.0,63.0,16.0,1.0,17.0,25.0,42.0,,,,
10104,South Coast,2014,3183.0,1766.0,642.0,93.0,5684.0,351.0,173.0,20.0,,544.0,490.0,136.0,43.0,,669.0,52.0,19.0,71.0,7.0,66.0,,,,,,,,,,,,,13206.0,19.0,853.0,406.0,1047.0,4524.0,2827.0,71.0,974.0,268.0,486.0,6075.0,5128.0,6159.0,,,,,,,,,,,,,,,,,,,,,344.0,41.0,385.0,386.0,118.0,8.0,130.0,163.0,292.0,,,,
10104,South Coast,2013,3248.0,1746.0,675.0,91.0,5760.0,281.0,175.0,20.0,,476.0,507.0,169.0,43.0,3.0,722.0,44.0,21.0,65.0,7.0,50.0,,,,,,,,,,,,,12912.0,22.0,935.0,424.0,989.0,4486.0,2716.0,69.0,966.0,311.0,520.0,6448.0,5355.0,6545.0,37715.0,1091.0,24836.0,9578.0,127.0,7533.0,557.0,192.0,26574.0,25944.0,92.0,3034.0,126.0,14.0,4510.0,34247.0,1516.0,36056.0,,,264.0,19.0,283.0,283.0,90.0,5.0,98.0,21.0,119.0,1094.0,357500.0,298.0,237500.0
10104,South Coast,2012,3419.0,1789.0,695.0,97.0,6000.0,375.0,207.0,24.0,,606.0,454.0,157.0,27.0,,638.0,69.0,21.0,90.0,10.0,58.0,,,,,,,,,,,,,12329.0,25.0,1020.0,448.0,896.0,4426.0,2312.0,63.0,1291.0,482.0,392.0,5822.0,4824.0,5898.0,,,,,,,,,,,,,,,,,,,,,250.0,10.0,260.0,260.0,80.0,2.0,82.0,27.0,109.0,,,,
10104,South Coast,2011,3463.0,1815.0,642.0,92.0,6012.0,,,,,,,,,,,,,,14.0,45.0,27481.0,1845.0,6.7,48.8,3.6,1.5,18.9,7.1,43.1,0.6,74.7,4122.0,12006.0,,,,814.0,4239.0,2290.0,66.0,1337.0,785.0,367.0,6671.0,5432.0,6755.0,,,,,,,,,,,,,,,,,,,952.0,1529.0,265.0,10.0,275.0,293.0,85.0,2.0,94.0,66.0,160.0,,,,
10104,South Coast,2010,,,,,,,,,,,,,,,,,,,15.0,49.0,,,,,,,,,,,,,,,,,,,2520.0,65.0,1447.0,747.0,408.0,6941.0,5574.0,7005.0,,,,,,,,,,,,,,,,,,,,,310.0,40.0,350.0,391.0,93.0,6.0,107.0,90.0,198.0,,,,
10201,Gosford,2014,7253.0,4133.0,1267.0,256.0,12909.0,1037.0,506.0,63.0,12.0,1618.0,1199.0,368.0,70.0,12.0,1649.0,133.0,49.0,182.0,72.0,302.0,,,,,,,,,,,,,24453.0,67.0,1557.0,961.0,1637.0,6644.0,5336.0,70.0,1955.0,1461.0,807.0,13095.0,11546.0,13741.0,,,,,,,,,,,,,,,,,,,,,323.0,342.0,665.0,696.0,122.0,74.0,208.0,97.0,304.0,,,,
10201,Gosford,2013,7246.0,4156.0,1222.0,264.0,12888.0,854.0,461.0,43.0,3.0,1361.0,1386.0,405.0,66.0,12.0,1869.0,159.0,55.0,214.0,68.0,294.0,,,,,,,,,,,,,23966.0,78.0,1727.0,1037.0,1473.0,6644.0,5026.0,68.0,1941.0,1513.0,883.0,14084.0,12183.0,14763.0,46592.0,3948.0,70957.0,12690.0,320.0,13153.0,357.0,474.0,63991.0,15903.0,86.0,3577.0,147.0,35.0,11914.0,42179.0,4863.0,90841.0,,,256.0,89.0,345.0,372.0,116.0,12.0,137.0,88.0,225.0,2655.0,440500.0,1026.0,320000.0
10201,Gosford,2012,7635.0,4282.0,1228.0,276.0,13421.0,1031.0,556.0,45.0,8.0,1640.0,1284.0,397.0,80.0,7.0,1768.0,183.0,54.0,237.0,66.0,274.0,,,,,,,,,,,,,23072.0,85.0,1855.0,1133.0,1350.0,6747.0,4096.0,62.0,2638.0,1778.0,631.0,12943.0,11114.0,13495.0,,,,,,,,,,,,,,,,,,,,,197.0,94.0,291.0,291.0,106.0,15.0,122.0,63.0,185.0,,,,
10201,Gosford,2011,7728.0,4311.0,1227.0,252.0,13518.0,,,,,,,,,,,,,,52.0,272.0,75999.0,4614.0,6.1,57.3,3.5,1.5,21.4,6.6,44.1,0.4,77.5,10728.0,22498.0,,,,1199.0,6712.0,3959.0,64.0,2818.0,2249.0,651.0,14912.0,12606.0,15517.0,,,,,,,,,,,,,,,,,,,1235.0,2005.0,214.0,378.0,592.0,647.0,115.0,106.0,234.0,44.0,279.0,,,,
10201,Gosford,2010,,,,,,,,,,,,,,,,,,,70.0,286.0,,,,,,,,,,,,,,,,,,,4452.0,59.0,2919.0,2061.0,703.0,15783.0,13123.0,16339.0,,,,,,,,,,,,,,,,,,,,,239.0,112.0,351.0,426.0,120.0,19.0,157.0,153.0,310.0,,,,
