SA3_MAIN11,Tot_P_M,Tot_P_F,Tot_P_P,Age_0_4_yr_M,Age_0_4_yr_F,Age_0_4_yr_P,Age_5_14_yr_M,Age_5_14_yr_F,Age_5_14_yr_P,Age_15_19_yr_M,Age_15_19_yr_F,Age_15_19_yr_P,Age_20_24_yr_M,Age_20_24_yr_F,Age_20_24_yr_P,Age_25_34_yr_M,Age_25_34_yr_F,Age_25_34_yr_P,Age_35_44_yr_M,Age_35_44_yr_F,Age_35_44_yr_P,Age_45_54_yr_M,Age_45_54_yr_F,Age_45_54_yr_P,Age_55_64_yr_M,Age_55_64_yr_F,Age_55_64_yr_P,Age_65_74_yr_M,Age_65_74_yr_F,Age_65_74_yr_P,Age_75_84_yr_M,Age_75_84_yr_F,Age_75_84_yr_P,Age_85ov_M,Age_85ov_F,Age_85ov_P,Counted_Census_Night_home_M,Counted_Census_Night_home_F,Counted_Census_Night_home_P,Count_Census_Nt_Ewhere_Aust_M,Count_Census_Nt_Ewhere_Aust_F,Count_Census_Nt_Ewhere_Aust_P,Indigenous_psns_Aboriginal_M,Indigenous_psns_Aboriginal_F,Indigenous_psns_Aboriginal_P,Indig_psns_Torres_Strait_Is_M,Indig_psns_Torres_Strait_Is_F,Indig_psns_Torres_Strait_Is_P,Indig_Bth_Abor_Torres_St_Is_M,Indig_Bth_Abor_Torres_St_Is_F,Indig_Bth_Abor_Torres_St_Is_P,Indigenous_P_Tot_M,Indigenous_P_Tot_F,Indigenous_P_Tot_P,Birthplace_Australia_M,Birthplace_Australia_F,Birthplace_Australia_P,Birthplace_Elsewhere_M,Birthplace_Elsewhere_F,Birthplace_Elsewhere_P,Lang_spoken_home_Eng_only_M,Lang_spoken_home_Eng_only_F,Lang_spoken_home_Eng_only_P,Lang_spoken_home_Oth_Lang_M,Lang_spoken_home_Oth_Lang_F,Lang_spoken_home_Oth_Lang_P,Australian_citizen_M,Australian_citizen_F,Australian_citizen_P,Age_psns_att_educ_inst_0_4_M,Age_psns_att_educ_inst_0_4_F,Age_psns_att_educ_inst_0_4_P,Age_psns_att_educ_inst_5_14_M,Age_psns_att_educ_inst_5_14_F,Age_psns_att_educ_inst_5_14_P,Age_psns_att_edu_inst_15_19_M,Age_psns_att_edu_inst_15_19_F,Age_psns_att_edu_inst_15_19_P,Age_psns_att_edu_inst_20_24_M,Age_psns_att_edu_inst_20_24_F,Age_psns_att_edu_inst_20_24_P,Age_psns_att_edu_inst_25_ov_M,Age_psns_att_edu_inst_25_ov_F,Age_psns_att_edu_inst_25_ov_P,High_yr_schl_comp_Yr_12_eq_M,High_yr_schl_comp_Yr_12_eq_F,High_yr_schl_comp_Yr_12_eq_P,High_yr_schl_comp_Yr_11_eq_M,High_yr_schl_comp_Yr_11_eq_F,High_yr_schl_comp_Yr_11_eq_P,High_yr_schl_comp_Yr_10_eq_M,High_yr_schl_comp_Yr_10_eq_F,High_yr_schl_comp_Yr_10_eq_P,High_yr_schl_comp_Yr_9_eq_M,High_yr_schl_comp_Yr_9_eq_F,High_yr_schl_comp_Yr_9_eq_P,High_yr_schl_comp_Yr_8_belw_M,High_yr_schl_comp_Yr_8_belw_F,High_yr_schl_comp_Yr_8_belw_P,High_yr_schl_comp_D_n_g_sch_M,High_yr_schl_comp_D_n_g_sch_F,High_yr_schl_comp_D_n_g_sch_P,Count_psns_occ_priv_dwgs_M,Count_psns_occ_priv_dwgs_F,Count_psns_occ_priv_dwgs_P,Count_Persons_other_dwgs_M,Count_Persons_other_dwgs_F,Count_Persons_other_dwgs_P,SA3_NAME11
30304,18167,18350,36517,1330,1166,2496,1997,1965,3962,1184,1201,2385,1733,1586,3319,3193,2927,6120,2842,2789,5631,2212,2218,4430,1606,1710,3316,1084,1262,2346,709,1018,1727,277,508,785,17389,17676,35065,778,675,1453,182,192,374,11,23,34,10,10,20,203,225,428,11634,12195,23829,5380,5287,10667,12894,13347,26241,4157,4195,8352,14321,15038,29359,198,172,370,1785,1788,3573,891,955,1846,927,914,1841,995,1058,2053,9214,9300,18514,873,711,1584,2222,2568,4790,480,452,932,658,889,1547,91,151,242,16631,17146,33777,1435,1120,2555,Nathan
30305,26517,27124,53641,1975,1962,3937,3808,3661,7469,2049,1935,3984,2127,1922,4049,4327,4618,8945,3876,4189,8065,3525,3648,7173,2662,2729,5391,1373,1326,2699,588,727,1315,207,407,614,25655,26448,52103,863,675,1538,358,333,691,19,33,52,40,29,69,417,395,812,14427,14717,29144,10700,11120,21820,16599,16697,33296,8651,9295,17946,20745,21333,42078,281,269,550,3390,3276,6666,1443,1455,2898,772,774,1546,837,1119,1956,11902,12458,24360,1695,1486,3181,3768,3950,7718,796,753,1549,898,1146,2044,185,246,431,25070,25814,50884,1188,1187,2375,Rocklea - Acacia Ridge
30501,30073,27510,57583,881,802,1683,1297,1325,2622,1371,1353,2724,3796,3869,7665,9144,8130,17274,4732,3667,8399,3470,2982,6452,2900,2631,5531,1519,1340,2859,710,794,1504,253,617,870,28372,26204,54576,1700,1307,3007,239,222,461,29,15,44,18,10,28,286,247,533,15306,14468,29774,10747,10220,20967,19309,17893,37202,6848,6949,13797,19405,18483,37888,119,137,256,1089,1143,2232,979,1018,1997,1554,1819,3373,2212,2505,4717,18791,17753,36544,1283,1034,2317,2332,2258,4590,512,379,891,711,742,1453,152,182,334,24127,23365,47492,11397,7923,19320,Brisbane Inner
30502,18836,18739,37575,1338,1240,2578,2105,1879,3984,1048,891,1939,1574,1639,3213,4029,4075,8104,3356,3378,6734,2450,2380,4830,1614,1640,3254,747,772,1519,434,551,985,141,294,435,17858,18000,35858,978,740,1718,185,177,362,20,9,29,9,18,27,214,204,418,13148,13623,26771,4446,4212,8658,15751,15934,31685,1913,1964,3877,15156,15676,30832,210,215,425,1912,1711,3623,789,698,1487,536,667,1203,842,1109,1951,10417,10786,21203,934,824,1758,1956,2133,4089,372,309,681,417,548,965,42,39,81,17169,17666,34835,1278,905,2183,Brisbane Inner - East
30503,37077,38196,75273,2109,2026,4135,3728,3767,7495,1880,2342,4222,3547,3982,7529,7884,7562,15446,6116,6126,12242,4940,4782,9722,3636,3460,7096,1895,1921,3816,1001,1377,2378,340,851,1191,35155,36614,71769,1922,1581,3503,339,331,670,42,39,81,20,19,39,401,389,790,26010,27491,53501,8955,9051,18006,30438,31609,62047,4671,5055,9726,30183,31619,61802,342,357,699,3439,3531,6970,1433,1931,3364,1516,1923,3439,2034,2383,4417,22026,22752,44778,1658,1656,3314,3578,4128,7706,761,714,1475,820,1018,1838,103,116,219,33934,35419,69353,3842,3593,7435,Brisbane Inner - North
30504,26221,27321,53542,1617,1609,3226,2888,2686,5574,1685,1720,3405,2972,3444,6416,5475,5459,10934,4125,4139,8264,3120,3298,6418,2366,2449,4815,1194,1253,2447,573,831,1404,205,434,639,24712,26044,50756,1509,1277,2786,146,133,279,19,16,35,10,16,26,175,165,340,18909,20194,39103,5992,6034,12026,22061,23134,45195,2846,3172,6018,21866,23129,44995,329,303,632,2713,2521,5234,1375,1439,2814,1515,1915,3430,1469,1887,3356,16706,17583,34289,1066,1008,2074,1862,2365,4227,346,373,719,351,513,864,32,58,90,23817,25585,49402,2403,1879,4282,Brisbane Inner - West
30601,23161,24058,47219,1734,1652,3386,3516,3442,6958,1697,1599,3296,1066,1196,2262,2594,3112,5706,3720,4302,8022,3830,3999,7829,2879,2748,5627,1481,1263,2744,506,526,1032,138,220,358,21622,23062,44684,1537,997,2534,526,555,1081,186,236,422,103,136,239,815,927,1742,16703,17124,33827,5027,5659,10686,20141,20744,40885,1721,2198,3919,19600,20326,39926,261,240,501,3133,3083,6216,1070,1098,2168,205,369,574,591,1349,1940,8804,10323,19127,1969,1878,3847,4315,4142,8457,833,723,1556,478,494,972,36,43,79,21392,22903,44295,2874,2852,5726,Cairns - North
30602,47083,47648,94731,3798,3596,7394,6960,6527,13487,3218,3054,6272,2922,3195,6117,6676,7474,14150,7159,7384,14543,6438,6433,12871,5252,4960,10212,2915,2753,5668,1352,1508,2860,393,764,1157,44148,45630,89778,2936,2017,4953,2620,3118,5738,1767,1933,3700,951,1029,1980,5338,6080,11418,33784,33761,67545,8680,9808,18488,37202,37241,74443,5556,6655,12211,38359,38742,77101,392,374,766,5683,5380,11063,1734,1755,3489,371,633,1004,1019,2194,3213,15136,17118,32254,3654,3323,6977,8817,8771,17588,1892,1782,3674,1938,1925,3863,270,313,583,41520,43494,85014,8102,7256,15358,Cairns - South
30603,17231,16233,33464,1149,1059,2208,2369,2280,4649,1195,1042,2237,917,806,1723,1714,1669,3383,2063,2106,4169,2703,2559,5262,2426,2143,4569,1609,1414,3023,875,826,1701,211,328,539,15934,15267,31201,1298,966,2264,2055,2182,4237,247,266,513,242,258,500,2544,2706,5250,14264,13340,27604,1970,2052,4022,14804,13960,28764,1540,1570,3110,15438,14627,30065,118,105,223,2069,1980,4049,573,567,1140,69,118,187,155,464,619,4137,4511,8648,1339,1218,2557,4264,3928,8192,1062,854,1916,1482,1210,2692,85,92,177,15855,15151,31006,2423,1965,4388,Innisfail - Cassowary Coast
30604,5532,5255,10787,394,325,719,675,618,1293,270,272,542,265,305,570,683,701,1384,837,843,1680,915,848,1763,785,700,1485,477,424,901,190,152,342,40,67,107,5167,4979,10146,365,276,641,345,361,706,43,35,78,53,68,121,441,464,905,3904,3707,7611,1013,1053,2066,4621,4447,9068,350,379,729,4407,4256,8663,31,39,70,549,529,1078,124,141,265,35,38,73,93,147,240,1797,2051,3848,460,482,942,1093,927,2020,257,184,441,254,180,434,11,12,23,4781,4709,9490,2965,3051,6016,Port Douglas - Daintree
