SA3_MAIN11,Buddhism_M,Buddhism_F,Buddhism_P,Christianity_Anglican_M,Christianity_Anglican_F,Christianity_Anglican_P,Christianity_Asyrin_Apstlic_M,Christianity_Asyrin_Apstlic_F,Christianity_Asyrin_Apstlic_P,Christianity_Baptist_M,Christianity_Baptist_F,Christianity_Baptist_P,Christianity_Brethren_M,Christianity_Brethren_F,Christianity_Brethren_P,Christianity_Catholic_M,Christianity_Catholic_F,Christianity_Catholic_P,Christianity_Churche_Christ_M,Christianity_Churche_Christ_F,Christianity_Churche_Christ_P,Christianity_Eastrn_Orthdox_M,Christianity_Eastrn_Orthdox_F,Christianity_Eastrn_Orthdox_P,Christinty_Jehvahs_Witnses_M,Christinty_Jehvahs_Witnses_F,Christinty_Jehvahs_Witnses_P,Christianity_Lattr_day_Snts_M,Christianity_Lattr_day_Snts_F,Christianity_Lattr_day_Snts_P,Christianity_Lutheran_M,Christianity_Lutheran_F,Christianity_Lutheran_P,Christianity_Orintal_Orthdx_M,Christianity_Orintal_Orthdx_F,Christianity_Orintal_Orthdx_P,Christianity_Othr_Protestnt_M,Christianity_Othr_Protestnt_F,Christianity_Othr_Protestnt_P,Christianity_Pentecostal_M,Christianity_Pentecostal_F,Christianity_Pentecostal_P,Christinty_Prsbytrin_Refrmd_M,Christinty_Prsbytrin_Refrmd_F,Christinty_Prsbytrin_Refrmd_P,Christianity_Salvation_Army_M,Christianity_Salvation_Army_F,Christianity_Salvation_Army_P,Christnty_Sevnth_dy_Advntst_M,Christnty_Sevnth_dy_Advntst_F,Christnty_Sevnth_dy_Advntst_P,Christianity_Uniting_Church_M,Christianity_Uniting_Church_F,Christianity_Uniting_Church_P,Christianity_Christian_nfd_M,Christianity_Christian_nfd_F,Christianity_Christian_nfd_P,Christianity_Othr_Christian_M,Christianity_Othr_Christian_F,Christianity_Othr_Christian_P,Christianity_Tot_M,Christianity_Tot_F,Christianity_Tot_P,Hinduism_M,Hinduism_F,Hinduism_P,Islam_M,Islam_F,Islam_P,Judaism_M,Judaism_F,Judaism_P,Othr_Rel_Aust_Abor_Trad_Rel_M,Othr_Rel_Aust_Abor_Trad_Rel_F,Othr_Rel_Aust_Abor_Trad_Rel_P,Othr_Reln_Other_reln_groups_M,Othr_Reln_Other_reln_groups_F,Othr_Reln_Other_reln_groups_P,Other_Religions_Tot_M,Other_Religions_Tot_F,Other_Religions_Tot_P,No_Religion_M,No_Religion_F,No_Religion_P,Other_religious_affiliation_M,Other_religious_affiliation_F,Other_religious_affiliation_P,Religious_affiliation_ns_M,Religious_affiliation_ns_F,Religious_affiliation_ns_P,Tot_M,Tot_F,Tot_P,SA3_NAME11
10303,116,142,258,6361,6668,13029,0,0,0,298,300,598,85,71,156,5824,6017,11841,5,9,14,81,67,148,83,117,200,14,28,42,71,67,138,5,5,10,21,30,51,144,145,289,1028,1071,2099,71,107,178,50,56,106,1139,1346,2485,345,371,716,8,15,23,15633,16490,32123,32,17,49,32,35,67,9,10,19,3,3,6,63,97,160,66,100,166,3834,3139,6973,178,94,272,2399,1594,3993,22299,21621,43920,Lithgow - Mudgee
10304,131,156,287,6650,7360,14010,0,0,0,375,391,766,154,177,331,8290,8944,17234,38,40,78,121,98,219,39,54,93,30,29,59,88,103,191,8,8,16,120,115,235,275,331,606,830,849,1679,62,84,146,71,63,134,2050,2391,4441,632,717,1349,24,22,46,19857,21776,41633,64,62,126,91,71,162,12,8,20,8,6,14,68,94,162,76,100,176,4267,3566,7833,199,107,306,2092,1835,3927,26789,27681,54470,Orange
10401,150,184,334,7161,7928,15089,0,0,0,382,377,759,0,0,0,5240,5685,10925,15,8,23,39,29,68,159,184,343,36,35,71,71,100,171,7,4,11,12,25,37,144,188,332,1584,1712,3296,119,159,278,51,93,144,1061,1265,2326,444,493,937,4,18,22,16529,18303,34832,19,16,35,23,21,44,10,15,25,7,7,14,69,120,189,76,127,203,4997,4316,9313,250,152,402,2222,1828,4050,24276,24962,49238,Clarence Valley
10402,414,578,992,9277,10503,19780,0,0,0,582,630,1212,0,7,7,8175,9064,17239,51,56,107,87,107,194,190,256,446,60,69,129,195,218,413,8,6,14,53,89,142,637,784,1421,1597,1766,3363,117,149,266,122,145,267,1697,2165,3862,985,1226,2211,57,74,131,23890,27314,51204,89,82,171,112,90,202,39,30,69,23,19,42,656,728,1384,679,747,1426,10429,9442,19871,586,430,1016,3277,3135,6412,39515,41848,81363,Coffs Harbour
10501,42,41,83,3825,3798,7623,0,0,0,120,117,237,21,30,51,4252,4161,8413,3,3,6,66,48,114,44,52,96,10,8,18,80,58,138,4,4,8,26,17,43,50,60,110,578,526,1104,22,22,44,19,37,56,524,537,1061,126,160,286,9,7,16,9779,9645,19424,13,13,26,37,27,64,0,3,3,11,13,24,19,15,34,30,28,58,1687,1356,3043,56,40,96,1419,1076,2495,13063,12229,25292,Bourke - Cobar - Coonamble
10502,47,48,95,1486,1534,3020,0,3,3,123,126,249,0,0,0,2657,2924,5581,21,25,46,42,51,93,16,23,39,33,33,66,116,128,244,0,0,0,15,14,29,50,61,111,153,150,303,113,144,257,15,25,40,1090,1441,2531,128,157,285,0,5,5,6058,6844,12902,18,12,30,14,14,28,0,3,3,6,3,9,21,34,55,27,37,64,2923,2516,5439,100,46,146,1266,1229,2495,10453,10749,21202,Broken Hill and Far West
10503,105,146,251,9634,10525,20159,0,0,0,508,562,1070,7,19,26,9542,10396,19938,34,38,72,97,111,208,79,104,183,30,27,57,166,205,371,9,7,16,60,49,109,329,392,721,1670,1757,3427,128,153,281,132,172,304,2097,2483,4580,591,651,1242,19,23,42,25132,27674,52806,75,88,163,90,55,145,12,12,24,23,19,42,73,79,152,96,98,194,4263,3663,7926,217,114,331,3000,2258,5258,32990,34108,67098,Dubbo
10601,152,229,381,12878,13740,26618,0,0,0,565,575,1140,74,61,135,9272,9519,18791,31,28,59,84,64,148,112,158,270,91,108,199,128,132,260,9,6,15,124,145,269,231,256,487,1638,1711,3349,184,205,389,144,151,295,2670,3057,5727,632,739,1371,54,48,102,28921,30703,59624,51,47,98,68,57,125,20,18,38,7,0,7,89,138,227,96,138,234,7770,6561,14331,323,194,517,3755,2883,6638,41156,40830,81986,Lower Hunter
10602,115,169,284,8777,9715,18492,0,0,0,677,683,1360,72,69,141,9027,9697,18724,53,48,101,88,93,181,97,108,205,63,58,121,91,99,190,10,6,16,73,96,169,271,314,585,1079,1243,2322,189,244,433,105,111,216,1924,2222,4146,611,708,1319,24,21,45,23231,25535,48766,87,94,181,93,70,163,13,6,19,6,0,6,122,139,261,128,139,267,5385,4693,10078,240,118,358,2161,1929,4090,31453,32753,64206,Maitland
10603,163,213,376,9614,10516,20130,3,0,3,742,838,1580,21,19,40,7578,8180,15758,40,48,88,168,167,335,120,143,263,54,50,104,149,160,309,4,0,4,46,61,107,324,390,714,1253,1329,2582,98,135,233,58,63,121,1993,2290,4283,748,895,1643,38,29,67,23051,25313,48364,42,49,91,40,36,76,20,16,36,17,9,26,87,137,224,104,146,250,6747,5743,12490,278,163,441,2810,2568,5378,33255,34247,67502,Port Stephens
