sa3_name16,sa3_code16,p_85y_ov_no_udw,p_85y_ov_udw_notstated,p_85y_ov_total,p_tot_udw_5_hrs_less,p_tot_udw_5_14_hrs,p_tot_udw_15_29_hrs,p_tot_udw_30_hrs_more,p_tot_no_udw,p_tot_udw_notstated,p_tot_total
Brunswick - Coburg,20601,795,197,1680,22192,21476,6699,4231,14457,5276,74327
Darebin - South,20602,563,145,1089,12900,13116,4333,2607,7394,3279,43625
Essendon,20603,714,198,1480,15454,14895,5552,3722,11510,4534,55664
Melbourne City,20604,516,421,1255,36755,26928,6222,3530,38009,15812,127245
Port Phillip,20605,734,221,1433,28624,24366,6512,3686,15672,10225,89081
Sunbury,21004,299,105,625,7449,8790,3780,2969,6366,2261,31617
Tullamarine - Broadmeadows,21005,758,191,1280,24123,24599,10815,10742,43302,10190,123772
Knox,21101,1612,515,3105,31532,33720,14947,11055,28738,7090,127080
Manningham - East,21102,379,92,668,5347,5544,2817,2096,4313,1152,21275
Maroondah,21103,1277,496,2639,22693,25009,10754,7737,17880,5350,89423
Whitehorse - East,21104,757,295,1691,12252,13666,6334,4377,10544,2647,49819
Yarra Ranges,21105,1182,440,2531,28678,33782,15783,11858,22037,8309,120450
Cardinia,21201,572,217,1177,16788,19489,8812,7173,14568,5703,72532
Casey - North,21202,1130,285,2043,23963,25313,11218,9218,27982,6689,104387
Casey - South,21203,699,269,1407,28213,30482,12959,11371,34398,9646,127067
Dandenong,21204,2085,564,3755,31326,31167,13462,11743,53565,12404,153660
Monash,21205,2288,791,4926,35106,36224,16215,11960,39068,8908,147473
Brimbank,21301,1450,496,2699,30648,30799,13036,12159,51096,13648,151396
Hobsons Bay,21302,929,321,1910,16491,18385,7431,5703,15313,5134,68456
Maribyrnong,21303,667,286,1379,17882,17876,5886,4275,17057,6120,69093
Melton - Bacchus Marsh,21304,656,191,1209,25223,27764,12158,11212,29881,10024,116252
Wyndham,21305,733,338,1490,35992,41140,17842,16142,43016,13156,167288
Frankston,21401,1279,559,2713,25635,29055,12245,9182,23615,9381,109114
Mornington Peninsula,21402,2245,1012,5059,27204,34424,17005,12561,25894,11067,128156
Grampians,21501,926,422,2119,9098,12159,6473,5524,10226,5514,48998
Mildura,21502,664,308,1419,8294,10637,5239,4309,9988,5178,43642
Murray River - Swan Hill,21503,550,302,1276,5543,6979,3810,3393,6632,4356,30716
Campaspe,21601,550,277,1164,5867,7571,3817,3342,6445,3499,30536
Moira,21602,428,225,935,4443,5772,2903,2700,5268,2903,23981
Shepparton,21603,688,325,1486,10069,12131,5869,4700,12272,5950,50990
Glenelg - Southern Grampians,21701,517,263,1138,5282,7546,3946,3461,6160,3222,29624
Colac - Corangamite,21703,474,224,1053,5758,7601,3996,3464,6247,3345,30421
Warrnambool,21704,600,284,1340,8531,10575,5199,4125,8047,4149,40629
Capalaba,30101,561,355,1276,14162,16834,7301,5104,11096,3221,57711
Cleveland - Stradbroke,30102,872,448,2087,15290,19098,9017,6512,13011,4639,67566
Wynnum - Manly,30103,608,248,1347,13407,16120,6694,4583,10051,3584,54445
Bald Hills - Everton Park,30201,480,146,1007,8366,9898,4336,3003,5906,1690,33199
Stonnington - West,20606,578,262,1352,19028,14356,4053,2419,10962,5865,56683
Yarra,20607,502,191,1083,26987,21458,5667,2968,12573,8014,77659
Boroondara,20701,2211,595,4829,38772,38006,16293,10588,26497,8276,138430
Manningham - West,20702,1428,461,3004,17980,18714,9201,6929,19126,4370,76324
Whitehorse - West,20703,1322,584,3273,21668,21964,9552,6497,20952,4964,85602
Bayside,20801,1611,562,3624,20826,21992,9979,6275,14261,5342,78669
Darebin - North,20902,1071,629,2649,18359,19047,7332,5805,21519,7592,79654
Nillumbik - Kinglake,20903,319,121,720,13042,15099,7392,5043,8729,2977,52287
Whittlesea - Wallan,20904,1422,323,2440,36327,39083,16945,15050,47837,12454,167708
Keilor,21001,706,299,1713,11204,12052,5654,4465,11510,3612,48500
Macedon Ranges,21002,163,84,411,4984,6642,3332,2746,3635,1913,23263
Chermside,30202,723,527,2093,14640,16740,6488,4492,10302,4151,56808
Nundah,30203,264,261,773,8529,9358,3383,2203,6446,2493,32413
Sandgate,30204,706,195,1333,11084,13293,5502,4091,9904,3184,47054
Carindale,30301,524,173,1175,11150,11959,4863,3322,7156,2436,40887
Glen Eira,20802,2192,583,4405,32970,33533,13015,8121,26206,7508,121353
Kingston,20803,1444,806,3393,24302,26970,10712,7196,19356,7009,95538
Stonnington - East,20804,526,145,1121,9669,9418,3702,2426,6971,2096,34286
Banyule,20901,1442,598,3253,24506,27930,12389,8739,19814,6473,99850
Moreland - North,21003,1364,341,2626,13153,14425,5912,5042,17551,5378,61453
Holland Park - Yeronga,30302,669,173,1336,17773,17920,5752,3492,10790,4628,60344
Mt Gravatt,30303,717,184,1407,14272,15326,6618,4914,13967,3477,58572
Nathan,30304,329,95,783,8058,8926,3597,2485,6637,2157,31850
Rocklea - Acacia Ridge,30305,472,101,731,11096,11837,5229,3932,12064,2768,46926
Mudgeeraba - Tallebudgera,30905,181,65,369,6033,7414,3537,2552,4476,1733,25756
Nerang,30906,470,383,1192,12374,14665,6495,4712,10923,4355,53531
Ormeau - Oxenford,30907,519,267,1119,21744,25398,10799,8495,17433,7747,91615
Outback - South,31503,161,81,343,2733,3535,1579,1439,3325,1641,14253
Buderim,31601,677,257,1508,10253,12751,5796,4046,7947,2992,43785
Caloundra,31602,1254,449,2618,14198,18277,8797,6468,13442,4891,66079
Maroochy,31603,676,393,1496,11180,13574,5493,3756,9432,4624,48062
Noosa,31605,504,323,1266,7098,9625,4711,3190,6319,3049,33986
Sunshine Coast Hinterland,31606,416,125,918,7961,11573,6112,5089,6695,3223,40653
Nambour,31607,449,205,995,7036,9602,4792,3826,6298,2736,34293
Noosa Hinterland,31608,112,40,291,3392,5102,2761,2311,2812,1460,17842
Charters Towers - Ayr - Ingham,31801,455,228,1087,6712,7926,4194,4105,7259,3966,34163
Townsville,31802,1131,366,2305,33145,41485,17243,13535,28951,14742,149093
Bundaberg,31901,1069,485,2264,12669,17938,9501,8780,16007,7299,72178
Burnett,31902,540,226,1100,6538,9273,5196,5273,8589,4929,39803
Gympie - Cooloola,31903,364,300,1038,7113,9959,5689,5424,7731,4518,40444
Hervey Bay,31904,747,328,1553,7979,11561,6438,5496,10863,4757,47094
Sunnybank,30306,464,157,887,9362,9383,4195,3423,12166,2412,40942
Centenary,30401,170,258,586,6716,8052,3501,2266,4100,1366,26009
Kenmore - Brookfield - Moggill,30402,302,273,943,9023,11275,5296,3548,4898,1810,35848
Sherwood - Indooroopilly,30403,261,167,909,13022,11853,4335,2694,8990,2669,43562
