sa3_name16,sa3_code16,h_w_in_ps_oo_ds_sh,h_w_in_ps_oo_ds_sdrtht,h_w_in_ps_oo_ds_fa,h_w_in_ps_oo_ds_od_c,h_w_in_ps_oo_ds_od_ch,h_w_in_ps_oo_ds_od_ih_t_so,h_w_in_ps_oo_od_hf_a_so,h_w_in_ps_oo_ds_od_tot,h_w_in_ps_oo_ds_ns,h_w_in_ps_oo_tot,h_w_in_ps_m_ds_sh,h_w_in_ps_m_ds_sdrtht,h_w_in_ps_m_ds_fa,h_w_in_ps_m_ds_od_c,h_w_in_ps_m_ds_od_ch,h_w_in_ps_m_ds_od_ih_t_so,h_w_in_ps_m_od_hf_a_so,h_w_in_ps_m_ds_od_tot,h_w_in_ps_m_ds_ns,h_w_in_ps_m_tot,h_w_in_ps_rrea_ds_sh,h_w_in_ps_rrea_ds_sdrtht,h_w_in_ps_rrea_ds_fa,h_w_in_ps_rrea_ds_od_c,h_w_in_ps_rrea_ds_od_ch,h_w_in_ps_rrea_ds_od_ih_t_so,h_w_in_ps_rrea_od_hf_a_so,h_w_in_ps_rrea_ds_od_tot,h_w_in_ps_rrea_ds_ns,h_w_in_ps_rrea_tot,h_w_in_ps_rha_ds_sh,h_w_in_ps_rha_ds_sdrtht,h_w_in_ps_rha_ds_fa,h_w_in_ps_rha_ds_od_c,h_w_in_ps_rha_ds_od_ch,h_w_in_ps_rha_ds_od_ih_t_so,h_w_in_ps_rha_od_hf_a_so,h_w_in_ps_rha_ds_od_tot,h_w_in_ps_rha_ds_ns,h_w_in_ps_rha_tot,h_w_in_ps_r_psh_ds_sh,h_w_in_ps_r_psh_ds_sdrtht,h_w_in_ps_r_psh_ds_fa,h_w_in_ps_r_psh_ds_od_c,h_w_in_ps_r_psh_ds_od_ch,h_w_in_ps_r_psh_ds_od_ih_t_so,h_w_in_ps_r_psh_od_hf_a_so,h_w_in_ps_r_psh_ds_od_tot,h_w_in_ps_r_psh_ds_ns,h_w_in_ps_r_psh_tot,h_w_in_ps_r_hcc_ds_sh,h_w_in_ps_r_hcc_ds_sdrtht,h_w_in_ps_r_hcc_ds_fa,h_w_in_ps_r_hcc_ds_od_c,h_w_in_ps_r_hcc_ds_od_ch,h_w_in_ps_r_hcc_ds_od_ih_t_so,h_w_in_ps_r_hcc_od_hf_a_so,h_w_in_ps_r_hcc_ds_od_tot,h_w_in_ps_r_hcc_ds_ns,h_w_in_ps_r_hcc_tot,h_w_in_ps_r_olt_ds_sh,h_w_in_ps_r_olt_ds_sdrtht,h_w_in_ps_r_olt_ds_fa,h_w_in_ps_r_olt_ds_od_c,h_w_in_ps_r_olt_ds_od_ch,h_w_in_ps_r_olt_ds_od_ih_t_so,h_w_in_ps_r_olt_od_hf_a_so,h_w_in_ps_r_olt_ds_od_tot,h_w_in_ps_r_olt_ds_ns,h_w_in_ps_r_olt_tot,h_w_in_ps_r_lns_ds_sh,h_w_in_ps_r_lns_ds_sdrtht,h_w_in_ps_r_lns_ds_fa,h_w_in_ps_r_lns_ds_od_c,h_w_in_ps_r_lns_ds_od_ch,h_w_in_ps_r_lns_ds_od_ih_t_so,h_w_in_ps_r_lns_od_hf_a_so,h_w_in_ps_r_lns_ds_od_tot,h_w_in_ps_r_lns_ds_ns,h_w_in_ps_r_lns_tot,h_w_in_ps_r_tot_ds_sh,h_w_in_ps_r_tot_ds_sdrtht,h_w_in_ps_r_tot_ds_fa,h_w_in_ps_r_tot_ds_od_c,h_w_in_ps_r_tot_ds_od_ch,h_w_in_ps_r_tot_ds_od_ih_t_so,h_w_in_ps_r_tot_od_hf_a_so,h_w_in_ps_r_tot_ds_od_tot,h_w_in_ps_r_tot_ds_ns,h_w_in_ps_r_tot_tot,h_w_in_ps_ott_ds_sh,h_w_in_ps_ott_ds_sdrtht,h_w_in_ps_ott_ds_fa,h_w_in_ps_ott_ds_od_c,h_w_in_ps_ott_ds_od_ch,h_w_in_ps_ott_ds_od_ih_t_so,h_w_in_ps_ott_od_hf_a_so,h_w_in_ps_ott_ds_od_tot,h_w_in_ps_ott_ds_ns,h_w_in_ps_ott_tot,h_w_in_ps_t_ns_ds_sh,h_w_in_ps_t_ns_ds_sdrtht,h_w_in_ps_t_ns_ds_fa,h_w_in_ps_t_ns_ds_od_c,h_w_in_ps_t_ns_ds_od_ch,h_w_in_ps_t_ns_ds_od_ih_t_so,h_w_in_ps_t_ns_od_hf_a_so,h_w_in_ps_t_ns_ds_od_tot,h_w_in_ps_t_ns_ds_ns,h_w_in_ps_t_ns_tot,h_w_in_ps_tot_ds_sh,h_w_in_ps_tot_ds_sdrtht,h_w_in_ps_tot_ds_fa,h_w_in_ps_tot_ds_od_c,h_w_in_ps_tot_ds_od_ch,h_w_in_ps_tot_ds_od_ih_t_so,h_w_in_ps_tot_od_hf_a_so,h_w_in_ps_tot_ds_od_tot,h_w_in_ps_tot_ds_ns,h_w_in_ps_tot_tot,oh_oo_ds_sh,oh_oo_ds_sdrtht,oh_oo_ds_fa,oh_oo_ds_od_c,oh_oo_ds_od_ch,oh_oo_ds_od_ih_t_so,oh_oo_od_hf_a_so,oh_oo_ds_od_tot,oh_oo_ds_ns,oh_oo_ds_tot,oh_m_ds_sh,oh_m_ds_sdrtht,oh_m_ds_fa,oh_m_ds_od_c,oh_m_ds_od_ch,oh_m_ds_od_ih_t_so,oh_m_od_hf_a_so,oh_m_ds_od_tot,oh_m_ds_ns,oh_m_ds_tot,oh_rrea_ds_sh,oh_rrea_ds_sdrtht,oh_rrea_ds_fa,oh_rrea_ds_od_c,oh_rrea_ds_od_ch,oh_rrea_ds_od_ih_t_so,oh_rrea_od_hf_a_so,oh_rrea_ds_od_tot,oh_rrea_ds_ns,oh_rrea_ds_tot,oh_rha_ds_sh,oh_rha_ds_sdrtht,oh_rha_ds_fa,oh_rha_ds_od_c,oh_rha_ds_od_ch,oh_rha_ds_od_ih_t_so,oh_rha_od_hf_a_so,oh_rha_ds_od_tot,oh_rha_ds_ns,oh_rha_ds_tot,oh_r_psh_ds_sh,oh_r_psh_ds_sdrtht,oh_r_psh_ds_fa,oh_r_psh_ds_od_c,oh_r_psh_ds_od_ch,oh_r_psh_ds_od_ih_t_so,oh_r_psh_od_hf_a_so,oh_r_psh_ds_od_tot,oh_r_psh_ds_ns,oh_r_psh_ds_tot,oh_r_hcc_ds_sh,oh_r_hcc_ds_sdrtht,oh_r_hcc_ds_fa,oh_r_hcc_ds_od_c,oh_r_hcc_ds_od_ch,oh_r_hcc_ds_od_ih_t_so,oh_r_hcc_od_hf_a_so,oh_r_hcc_ds_od_tot,oh_r_hcc_ds_ns,oh_r_hcc_ds_tot,oh_r_olt_ds_sh,oh_r_olt_ds_sdrtht,oh_r_olt_ds_fa,oh_r_olt_ds_od_c,oh_r_olt_ds_od_ch,oh_r_olt_ds_od_ih_t_so,oh_r_olt_od_hf_a_so,oh_r_olt_ds_od_tot,oh_r_olt_ds_ns,oh_r_olt_ds_tot,oh_r_lns_ds_sh,oh_r_lns_ds_sdrtht,oh_r_lns_ds_fa,oh_r_lns_ds_od_c,oh_r_lns_ds_od_ch,oh_r_lns_ds_od_ih_t_so,oh_r_lns_od_hf_a_so,oh_r_lns_ds_od_tot,oh_r_lns_ds_ns,oh_r_lns_ds_tot
Queanbeyan,10102,83,6,3,0,0,0,0,0,0,93,239,23,13,0,0,0,0,0,0,278,72,52,51,0,0,0,0,0,0,172,111,20,5,0,0,0,0,0,0,134,31,15,8,0,0,0,0,0,0,53,7,9,3,0,0,0,0,0,0,26,6,5,5,0,0,0,0,0,0,21,0,3,0,0,0,0,0,0,0,4,235,102,74,0,3,0,0,5,0,409,3,0,0,0,0,0,0,0,0,3,20,9,0,0,0,0,0,0,0,32,579,137,90,0,3,0,0,6,4,816,4897,410,223,3,19,9,3,36,16,5586,6871,784,386,0,3,17,6,26,27,8100,979,909,1292,0,0,0,11,11,3,3201,324,124,43,0,0,0,0,0,0,491,612,227,224,0,0,0,4,9,7,1085,21,40,8,0,0,0,0,0,0,72,341,44,38,0,3,0,0,4,3,427,74,12,6,3,0,0,0,3,3,99
Snowy Mountains,10103,47,0,0,0,0,0,0,3,0,48,66,0,0,0,0,0,0,0,0,65,31,7,4,0,0,0,0,0,3,51,9,0,0,0,0,0,0,0,0,6,21,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,6,3,0,0,0,0,0,0,0,0,8,4,0,0,0,0,0,0,0,0,4,72,8,12,0,0,0,0,3,3,89,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,4,182,12,8,0,0,0,0,8,5,217,2608,55,34,9,14,5,10,39,51,2788,1975,40,46,4,12,3,4,17,39,2116,495,135,169,0,0,0,10,12,15,827,56,9,18,0,0,0,0,0,0,82,414,48,51,0,8,0,3,14,26,557,21,3,9,0,0,0,0,0,0,38,99,8,19,4,8,0,0,8,44,187,62,7,0,0,3,0,0,3,9,75
South Coast,10104,197,5,6,0,0,0,0,3,0,208,268,8,0,0,0,0,0,0,6,283,212,34,48,0,0,3,0,3,4,309,175,33,28,0,0,0,0,0,0,245,95,3,12,3,0,0,0,6,0,114,64,11,9,0,0,0,0,0,0,79,14,3,0,0,0,0,0,4,0,21,14,0,0,0,0,0,0,0,0,22,576,97,96,5,0,4,0,16,3,783,8,3,3,0,0,0,0,0,0,19,46,4,3,3,0,0,0,4,3,62,1098,112,111,13,3,4,3,18,16,1351,11253,944,339,126,169,29,12,331,74,12943,6466,232,129,15,9,15,14,49,59,6930,1885,608,491,8,22,0,5,38,17,3042,250,126,109,0,0,0,0,0,4,494,1418,193,147,6,12,6,13,35,21,1819,31,47,52,0,0,0,0,0,0,123,141,28,16,15,35,0,10,57,13,259,141,19,16,4,0,0,0,10,9,193
Goulburn - Mulwaree,10105,93,3,0,0,0,0,0,0,0,99,192,0,0,0,0,0,0,0,0,194,87,14,8,0,0,0,0,0,0,111,65,7,9,0,0,0,0,0,0,76,48,3,0,0,0,0,0,0,3,54,6,3,0,0,0,0,0,0,0,10,6,0,0,3,0,0,0,5,0,9,3,0,0,0,0,0,0,0,0,3,217,27,19,3,0,0,0,5,3,261,3,0,0,0,0,0,0,0,0,3,11,3,0,0,0,0,0,0,0,16,507,32,20,3,3,0,0,9,3,572,4579,208,13,14,18,10,8,47,24,4881,3807,92,19,3,0,8,6,19,15,3956,1181,315,209,0,3,0,11,16,7,1729,361,52,44,0,0,0,0,0,0,456,628,69,31,0,0,0,10,14,10,741,37,55,6,0,0,0,0,0,0,99,101,3,3,16,3,0,3,19,10,144,78,9,3,0,0,0,0,0,0,101
Young - Yass,10106,106,3,0,0,0,0,3,3,3,112,181,5,0,0,0,0,0,0,0,185,95,6,10,0,0,0,0,0,0,111,41,0,0,0,0,0,0,0,0,48,67,3,0,0,0,0,0,0,0,74,10,0,0,0,0,0,0,0,0,10,12,0,0,0,0,0,0,0,0,8,8,0,0,0,0,0,0,0,0,8,235,7,11,0,0,0,0,0,0,264,8,0,0,0,0,0,0,0,0,8,7,0,3,0,0,0,0,0,0,15,538,20,16,0,0,0,3,4,4,575,4592,139,61,20,3,8,13,53,37,4873,4363,51,15,3,0,10,7,25,28,4484,875,177,140,0,0,0,0,3,4,1188,132,23,14,0,0,0,0,0,3,169,769,44,28,0,0,0,9,9,16,867,22,25,25,0,0,0,0,0,0,66,197,11,3,0,8,0,0,6,8,227,133,12,3,0,3,0,0,3,0,151
Gosford,10201,293,22,10,0,3,0,0,3,0,329,658,28,17,0,4,0,4,10,7,716,432,115,96,0,18,0,3,20,9,673,134,79,43,0,0,0,0,0,0,256,131,15,10,0,0,0,0,0,3,161,7,7,3,0,0,0,0,0,0,19,11,0,0,0,0,0,0,0,3,20,6,0,0,0,0,0,0,0,0,13,727,220,156,0,26,0,3,30,13,1142,6,3,4,0,0,0,0,0,0,18,60,13,10,0,0,0,0,0,8,90,1747,298,200,0,29,0,11,40,21,2296,17306,3301,1264,55,53,0,32,142,51,22056,18676,1211,772,3,28,0,47,79,29,20758,5374,1854,2151,0,238,3,44,284,86,9746,528,675,463,0,0,0,0,0,8,1672,1913,402,337,0,48,0,21,70,31,2755,59,125,105,0,0,0,0,0,8,299,227,48,32,10,19,0,3,34,11,354,179,54,38,0,3,0,3,9,3,282
Wyong,10202,476,21,6,4,0,0,0,4,0,508,1150,40,16,0,0,0,0,5,3,1207,816,127,83,0,0,0,5,5,6,1028,169,62,43,0,0,0,0,0,3,276,227,10,12,0,0,0,0,0,3,261,30,17,5,0,0,0,0,0,0,47,15,7,0,7,4,0,0,12,0,45,22,3,0,0,0,0,0,0,0,26,1284,224,148,7,4,0,3,22,12,1681,8,3,4,0,0,0,0,0,0,15,90,10,5,3,0,0,0,4,3,113,3002,298,177,20,4,0,5,30,15,3524,16316,1750,848,112,45,7,6,178,48,19135,17336,770,315,15,3,5,9,28,17,18468,6504,1473,1220,0,4,0,26,38,40,9278,469,602,309,3,0,0,0,3,0,1384,2228,288,211,9,4,0,12,20,15,2763,70,146,82,0,0,0,0,0,4,306,330,49,28,74,40,0,0,117,22,542,161,30,23,0,0,0,3,7,3,229
Bathurst,10301,91,11,0,0,0,0,0,0,0,103,261,6,0,0,0,0,0,0,0,271,235,50,33,0,0,0,0,0,0,322,104,26,4,0,0,0,0,0,0,135,80,9,3,0,0,0,0,0,0,90,8,0,0,0,0,0,0,0,0,10,7,3,0,0,0,0,0,0,0,8,5,0,0,0,0,0,0,0,0,11,436,92,40,0,0,0,0,4,4,573,3,3,0,0,0,0,0,0,0,6,25,6,4,0,0,0,0,0,0,41,823,118,44,0,0,0,0,3,7,992,4973,275,56,8,0,0,5,18,31,5351,4938,160,40,6,3,0,0,9,24,5178,1674,625,335,0,0,0,8,8,22,2672,271,96,60,0,0,0,0,0,0,428,685,110,44,0,0,0,3,5,11,851,30,14,6,0,0,0,0,0,54,112,103,13,9,0,0,0,0,0,4,128,69,13,13,0,0,0,0,3,5,97
Lachlan Valley,10302,400,0,0,3,0,3,0,5,3,411,573,4,0,3,0,0,0,3,7,584,241,15,40,0,0,0,0,0,3,305,267,9,20,0,0,0,0,0,0,293,243,6,11,0,0,0,3,3,5,269,94,3,5,0,0,0,0,0,0,106,43,0,6,7,0,0,0,5,0,57,19,0,0,0,0,0,0,0,0,20,913,34,81,8,0,0,6,14,9,1045,20,0,0,0,0,0,0,0,0,20,86,3,16,0,0,0,0,0,3,105,1991,35,96,8,0,6,9,20,21,2169,7764,124,65,23,6,8,30,62,86,8095,4932,30,14,6,0,3,20,26,51,5057,1178,178,348,0,0,0,14,11,13,1730,315,24,69,0,0,0,0,0,3,408,1304,51,78,0,0,0,12,16,23,1479,64,18,47,0,0,0,0,0,4,132,352,7,38,10,6,0,6,23,18,439,204,11,11,0,0,0,5,7,4,237
Lithgow - Mudgee,10303,216,0,0,0,0,0,3,8,0,226,357,3,0,0,0,0,7,10,0,377,215,34,4,0,0,0,3,3,0,261,105,13,11,0,0,0,0,0,0,129,106,4,0,0,0,0,4,4,0,116,3,0,0,0,0,0,0,0,0,7,9,0,0,0,0,0,0,3,0,12,8,0,0,0,0,0,0,0,0,8,446,52,17,0,0,0,4,6,4,529,13,0,0,0,0,0,0,0,0,13,33,4,0,0,0,0,0,0,0,39,1073,64,17,0,0,0,15,22,10,1187,6138,153,64,34,16,7,153,209,58,6627,4471,57,19,5,0,3,116,120,40,4708,1615,348,144,0,7,0,18,19,7,2135,371,116,49,0,0,0,0,0,0,536,785,41,39,3,0,0,20,19,12,897,28,19,13,0,0,0,0,0,0,56,132,6,4,7,11,0,5,23,4,174,121,7,4,6,0,0,5,9,3,146
