gml_id,sa3_name16,sa3_code16,m_0_299_ds_ds_sept_house,m_0_299_ds_ds_sd_row_tce_hs_t,m_0_299_ds_ds_flat_apart,m_0_299_ds_ds_other_dwg,m_0_299_ds_ns,m_0_299_tot,m_300_449_ds_separate_hse,m_300_449_ds_sd_row_tc_hse_th,m_300_449_ds_flat_apart,m_300_449_ds_other_dwg,m_300_449_ds_ns,m_300_449_tot,m_450_599_ds_separate_hse,m_450_599_ds_sd_row_tce_hs_th,m_450_599_ds_flat_apart,m_450_599_ds_other_dwg,m_450_599_ds_ns,m_450_599_tot,m_600_799_ds_separate_hse,m_600_799_ds_sd_row_tc_hs_th,m_600_799_ds_flat_apart,m_600_799_ds_other_dwg,m_600_799_ds_ns,m_600_799_tot,m_800_999_ds_separate_hse,m_800_999_ds_sd_row_tc_hs_th,m_800_999_ds_flat_apart,m_800_999_ds_other_dwg,m_800_999_ds_ns,m_800_999_tot,m_1000_1399_ds_separate_hse,m_1000_1399_ds_sd_rw_tc_h_th,m_1000_1399_ds_flat_apart,m_1000_1399_ds_other_dwg,m_1000_1399_ds_ns,m_1000_1399_tot,m_1400_1799_ds_separate_hse,m_1400_1799_ds_sd_rw_tc_h_th,m_1400_1799_ds_flat_apart,m_1400_1799_ds_other_dwg,m_1400_1799_ds_ns,m_1400_1799_tot,m_1800_2399_ds_separate_hse,m_1800_2399_ds_sd_rw_tc_h_th,m_1800_2399_ds_flat_apart,m_1800_2399_ds_other_dwg,m_1800_2399_ds_ns,m_1800_2399_tot,m_2400_2999_ds_separate_hse,m_2400_2999_ds_sd_rw_tc_h_th,m_2400_2999_ds_flat_apart,m_2400_2999_ds_other_dwg,m_2400_2999_ds_ns,m_2400_2999_tot,m_3000_3999_ds_separate_hse,m_3000_3999_ds_sd_rw_tc_h_th,m_3000_3999_ds_flt_apart,m_3000_3999_ds_other_dwg,m_3000_3999_ds_ns,m_3000_3999_tot,m_4000_over_ds_separate_hse,m_4000_ov_ds_sd_rw_tce_hs_th,m_4000_over_ds_flat_apart,m_4000_over_ds_other_dwg,m_4000_ds_over_ns,m_4000_over_tot,mort_rpmnt_ns_ds_separat_hs,mrt_rpmt_ns_ds_sd_rw_tc_hs_th,mrt_rpmt_ns_ds_flat_apart,mort_rpmnt_ns_ds_other_dwg,mort_rpmnt_ns_ds_ns,mort_rpmnt_ns_total,tot_ds_separate_hse,tot_ds_sd_row_tce_hse_thse,tot_ds_flat_apartment,tot_ds_other_dwg,tot_ds_ns,tot_tot
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p33_mortgage_repayment_by_dwelling_struct_census_2016.fid-5ff86f36_1724bdf6fd3_5fc4,Manningham - East,"21102","206","8","0","0","0","219","64","0","0","0","0","70","57","0","0","0","0","61","87","0","0","0","0","82","100","8","0","0","0","111","342","13","0","0","0","348","321","6","0","0","0","333","649","18","3","0","0","672","369","13","0","0","0","389","517","7","0","0","0","532","487","4","0","0","0","500","183","4","0","0","0","191","3393","85","13","0","3","3501"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p33_mortgage_repayment_by_dwelling_struct_census_2016.fid-5ff86f36_1724bdf6fd3_5fc5,Maroondah,"21103","726","45","8","0","0","777","357","25","3","0","0","386","295","22","8","0","0","322","518","29","3","0","0","548","670","39","16","0","0","721","1993","149","58","0","4","2200","2417","244","75","0","3","2741","3578","225","68","3","3","3874","1853","85","15","0","3","1963","1325","60","9","0","3","1396","555","13","10","0","4","583","652","31","6","0","0","692","14932","969","281","3","19","16209"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p33_mortgage_repayment_by_dwelling_struct_census_2016.fid-5ff86f36_1724bdf6fd3_5fc6,Whitehorse - East,"21104","469","74","0","0","0","542","148","48","0","0","0","199","139","28","0","0","0","172","191","40","4","0","0","233","247","56","3","0","0","312","699","193","18","0","0","914","727","221","26","0","3","972","1294","348","15","0","3","1661","814","184","9","0","0","1015","937","107","8","0","5","1051","425","50","3","0","0","483","250","40","0","0","0","292","6359","1383","85","5","14","7844"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p33_mortgage_repayment_by_dwelling_struct_census_2016.fid-5ff86f36_1724bdf6fd3_5fc7,Yarra Ranges,"21105","1109","31","0","4","8","1152","552","9","0","0","0","569","552","14","3","0","0","569","862","16","0","4","0","886","1294","25","6","3","4","1331","3718","99","14","3","5","3834","4370","123","17","3","13","4524","5949","135","12","3","12","6117","2488","28","3","0","0","2526","1527","14","0","3","9","1550","709","0","0","0","4","720","1180","15","3","3","4","1206","24318","515","56","29","58","24971"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p33_mortgage_repayment_by_dwelling_struct_census_2016.fid-5ff86f36_1724bdf6fd3_5fc8,Cardinia,"21201","484","23","0","0","0","513","234","11","0","0","0","245","224","19","0","0","0","246","400","17","0","0","0","417","610","33","0","0","0","646","2185","112","6","3","5","2314","3342","152","4","0","3","3511","3974","108","0","3","11","4092","1326","17","0","0","0","1347","832","12","0","0","0","846","421","6","0","0","0","427","651","11","0","0","3","671","14694","528","16","15","31","15285"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p33_mortgage_repayment_by_dwelling_struct_census_2016.fid-5ff86f36_1724bdf6fd3_5fc9,Casey - North,"21202","869","70","4","0","3","951","427","23","3","0","0","458","339","22","0","0","0","363","646","35","3","0","0","687","864","70","3","0","0","947","2608","231","22","3","7","2869","3370","274","19","4","3","3668","4279","276","6","0","0","4564","1690","99","3","0","3","1792","1092","52","4","0","0","1143","596","20","0","3","0","620","791","41","0","3","3","835","17580","1207","73","16","22","18895"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p33_mortgage_repayment_by_dwelling_struct_census_2016.fid-5ff86f36_1724bdf6fd3_5fca,Casey - South,"21203","924","61","8","0","0","988","422","29","0","0","0","454","330","28","0","0","0","361","701","48","5","0","0","750","1057","61","8","0","0","1127","3704","331","27","7","0","4067","5894","517","16","0","5","6433","8037","408","15","0","12","8464","2653","101","0","0","3","2762","1418","47","3","0","0","1463","659","29","0","0","0","687","1102","63","0","0","0","1165","26891","1716","86","16","16","28732"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p33_mortgage_repayment_by_dwelling_struct_census_2016.fid-5ff86f36_1724bdf6fd3_5fcb,Dandenong,"21204","978","125","55","4","0","1160","402","48","26","0","0","484","351","48","25","0","0","416","557","99","48","3","0","711","733","142","68","0","0","947","2152","484","225","17","4","2894","2578","591","240","8","3","3419","3280","553","144","17","4","3997","1453","196","26","0","0","1682","1152","111","30","0","0","1299","549","60","15","0","0","628","739","94","33","3","0","866","14925","2568","923","62","24","18498"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p33_mortgage_repayment_by_dwelling_struct_census_2016.fid-5ff86f36_1724bdf6fd3_5fcc,Monash,"21205","1084","151","110","0","0","1344","307","37","26","0","0","371","298","36","28","0","0","361","357","64","26","0","0","454","495","74","57","0","0","624","1406","248","202","0","0","1858","1427","337","273","0","4","2048","2396","581","380","0","10","3367","1483","354","204","0","3","2047","1974","300","172","0","8","2447","1469","151","74","0","0","1695","600","67","50","0","0","720","13308","2390","1607","3","34","17344"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p33_mortgage_repayment_by_dwelling_struct_census_2016.fid-5ff86f36_1724bdf6fd3_5fcd,Brimbank,"21301","1009","116","21","4","0","1150","473","50","9","0","0","536","416","45","5","0","0","467","718","76","18","0","0","820","952","140","33","0","0","1126","2880","482","121","3","0","3498","3457","547","102","0","4","4111","3850","472","48","0","3","4378","1256","96","10","3","0","1368","907","97","12","0","0","1016","474","58","3","0","0","536","980","105","26","0","0","1114","17375","2287","412","18","18","20103"
