gml_id,sa3_name16,sa3_code16,m_0_299_ds_ds_sept_house,m_0_299_ds_ds_sd_row_tce_hs_t,m_0_299_ds_ds_flat_apart,m_0_299_ds_ds_other_dwg,m_0_299_ds_ns,m_0_299_tot,m_300_449_ds_separate_hse,m_300_449_ds_sd_row_tc_hse_th,m_300_449_ds_flat_apart,m_300_449_ds_other_dwg,m_300_449_ds_ns,m_300_449_tot,m_450_599_ds_separate_hse,m_450_599_ds_sd_row_tce_hs_th,m_450_599_ds_flat_apart,m_450_599_ds_other_dwg,m_450_599_ds_ns,m_450_599_tot,m_600_799_ds_separate_hse,m_600_799_ds_sd_row_tc_hs_th,m_600_799_ds_flat_apart,m_600_799_ds_other_dwg,m_600_799_ds_ns,m_600_799_tot,m_800_999_ds_separate_hse,m_800_999_ds_sd_row_tc_hs_th,m_800_999_ds_flat_apart,m_800_999_ds_other_dwg,m_800_999_ds_ns,m_800_999_tot,m_1000_1399_ds_separate_hse,m_1000_1399_ds_sd_rw_tc_h_th,m_1000_1399_ds_flat_apart,m_1000_1399_ds_other_dwg,m_1000_1399_ds_ns,m_1000_1399_tot,m_1400_1799_ds_separate_hse,m_1400_1799_ds_sd_rw_tc_h_th,m_1400_1799_ds_flat_apart,m_1400_1799_ds_other_dwg,m_1400_1799_ds_ns,m_1400_1799_tot,m_1800_2399_ds_separate_hse,m_1800_2399_ds_sd_rw_tc_h_th,m_1800_2399_ds_flat_apart,m_1800_2399_ds_other_dwg,m_1800_2399_ds_ns,m_1800_2399_tot,m_2400_2999_ds_separate_hse,m_2400_2999_ds_sd_rw_tc_h_th,m_2400_2999_ds_flat_apart,m_2400_2999_ds_other_dwg,m_2400_2999_ds_ns,m_2400_2999_tot,m_3000_3999_ds_separate_hse,m_3000_3999_ds_sd_rw_tc_h_th,m_3000_3999_ds_flt_apart,m_3000_3999_ds_other_dwg,m_3000_3999_ds_ns,m_3000_3999_tot,m_4000_over_ds_separate_hse,m_4000_ov_ds_sd_rw_tce_hs_th,m_4000_over_ds_flat_apart,m_4000_over_ds_other_dwg,m_4000_ds_over_ns,m_4000_over_tot,mort_rpmnt_ns_ds_separat_hs,mrt_rpmt_ns_ds_sd_rw_tc_hs_th,mrt_rpmt_ns_ds_flat_apart,mort_rpmnt_ns_ds_other_dwg,mort_rpmnt_ns_ds_ns,mort_rpmnt_ns_total,tot_ds_separate_hse,tot_ds_sd_row_tce_hse_thse,tot_ds_flat_apartment,tot_ds_other_dwg,tot_ds_ns,tot_tot
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p33_mortgage_repayment_by_dwelling_struct_census_2016.fid-5ff86f36_1724bdf6fd3_5f3f,Queanbeyan,"10102","260","21","11","5","3","294","110","16","9","0","0","135","99","13","14","0","0","122","161","39","17","3","3","219","232","33","38","0","3","313","679","75","147","6","3","904","877","206","73","0","4","1163","1570","256","49","3","6","1887","1068","62","13","3","7","1147","1156","53","20","5","0","1227","634","23","0","0","3","657","303","25","11","3","3","344","7151","818","403","29","31","8424"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p33_mortgage_repayment_by_dwelling_struct_census_2016.fid-5ff86f36_1724bdf6fd3_5f40,Snowy Mountains,"10103","100","4","0","0","3","106","68","0","3","4","0","78","70","0","0","0","3","77","160","0","7","0","8","173","212","7","11","4","3","232","455","16","19","0","3","493","313","16","7","0","3","340","325","9","6","3","4","342","120","0","3","0","4","135","82","0","0","3","0","86","54","0","0","4","0","67","110","0","3","5","4","116","2069","56","63","27","35","2247"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p33_mortgage_repayment_by_dwelling_struct_census_2016.fid-5ff86f36_1724bdf6fd3_5f41,South Coast,"10104","472","24","13","3","9","522","246","23","11","0","0","281","196","14","6","0","0","222","395","16","15","6","0","432","544","33","9","3","9","601","1335","56","38","13","20","1460","1281","40","19","8","8","1365","1175","18","8","7","9","1223","400","3","3","0","3","408","275","3","3","0","0","285","151","0","3","0","3","160","352","11","5","0","3","371","6825","250","136","52","66","7323"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p33_mortgage_repayment_by_dwelling_struct_census_2016.fid-5ff86f36_1724bdf6fd3_5f42,Goulburn - Mulwaree,"10105","160","5","0","3","0","167","94","10","0","0","0","103","101","3","0","0","0","102","182","8","3","3","0","194","284","7","3","5","0","303","771","29","4","3","4","811","875","23","0","3","0","901","781","8","3","3","8","805","279","6","0","0","0","286","199","3","0","0","0","201","106","0","0","0","0","103","191","3","0","0","0","198","4019","96","19","24","11","4167"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p33_mortgage_repayment_by_dwelling_struct_census_2016.fid-5ff86f36_1724bdf6fd3_5f43,Young - Yass,"10106","275","9","0","3","3","287","133","5","0","0","0","142","116","5","0","0","3","125","221","3","3","0","3","233","355","3","5","0","3","364","738","11","0","7","3","762","715","0","0","6","5","726","762","9","3","5","6","776","407","0","0","0","0","405","417","0","0","0","0","421","222","0","0","0","4","226","226","4","0","0","3","229","4586","57","15","22","30","4712"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p33_mortgage_repayment_by_dwelling_struct_census_2016.fid-5ff86f36_1724bdf6fd3_5f44,Gosford,"10201","900","79","51","9","3","1044","370","36","22","4","0","436","291","61","26","4","0","379","572","53","28","0","0","656","776","66","49","10","8","906","2255","231","143","11","0","2641","3180","280","174","16","7","3661","4853","255","148","16","8","5272","2482","60","70","3","3","2628","1936","60","48","4","4","2054","1057","19","12","6","0","1095","753","50","30","3","0","836","19421","1250","803","89","36","21598"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p33_mortgage_repayment_by_dwelling_struct_census_2016.fid-5ff86f36_1724bdf6fd3_5f45,Wyong,"10202","769","45","26","3","3","839","349","39","10","0","0","396","297","21","12","0","0","335","602","56","21","3","4","676","866","64","32","0","3","963","2806","174","79","3","3","3064","3942","180","72","5","3","4199","4815","140","34","9","3","5003","1795","27","13","0","3","1846","1069","31","3","0","3","1106","467","11","7","3","0","488","771","33","18","7","0","832","18544","819","330","31","20","19747"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p33_mortgage_repayment_by_dwelling_struct_census_2016.fid-5ff86f36_1724bdf6fd3_5f46,Bathurst,"10301","219","13","0","0","3","234","93","6","3","0","0","103","100","3","3","0","3","105","199","14","4","0","0","217","297","19","5","4","0","325","938","40","11","0","9","998","1077","47","7","0","7","1132","1166","22","4","4","9","1207","504","5","3","0","3","516","280","0","0","0","3","285","148","3","0","0","0","149","199","5","7","0","3","208","5232","173","41","9","26","5484"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p33_mortgage_repayment_by_dwelling_struct_census_2016.fid-5ff86f36_1724bdf6fd3_5f47,Lachlan Valley,"10302","406","0","3","5","6","419","253","0","0","0","7","267","255","0","0","3","5","264","485","0","0","3","8","500","681","10","0","4","3","700","1305","9","4","4","11","1340","788","3","0","0","4","804","582","3","0","0","3","594","205","0","0","0","0","208","142","0","0","3","0","145","113","0","0","3","3","119","323","0","3","0","7","333","5542","32","19","35","56","5687"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p33_mortgage_repayment_by_dwelling_struct_census_2016.fid-5ff86f36_1724bdf6fd3_5f48,Lithgow - Mudgee,"10303","205","3","5","3","0","219","178","3","0","0","0","179","140","5","0","7","0","147","250","12","0","9","3","272","362","6","0","12","0","382","898","9","3","36","6","958","861","7","4","40","5","920","927","7","3","24","6","969","404","0","0","3","3","417","263","0","0","7","4","272","148","0","0","0","7","153","229","3","0","5","0","234","4869","59","17","138","40","5129"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p33_mortgage_repayment_by_dwelling_struct_census_2016.fid-5ff86f36_1724bdf6fd3_5f49,Orange,"10304","282","3","0","0","0","288","116","0","3","0","0","122","137","0","0","0","0","136","314","9","3","0","0","324","465","14","4","0","3","486","1227","36","14","0","3","1273","1382","28","7","0","5","1420","1404","5","0","0","7","1421","570","3","0","3","0","581","435","0","0","3","0","439","247","0","0","0","0","251","290","7","0","0","6","297","6866","104","36","15","23","7037"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p33_mortgage_repayment_by_dwelling_struct_census_2016.fid-5ff86f36_1724bdf6fd3_5f4a,Clarence Valley,"10401","287","8","8","3","0","312","196","4","3","4","0","207","199","3","0","3","0","207","316","3","4","9","0","335","483","4","3","9","0","503","1189","22","18","9","6","1248","991","20","7","10","9","1032","705","11","6","10","3","734","223","0","3","5","0","227","132","6","3","7","0","144","79","0","0","3","3","89","230","3","0","7","0","237","5023","90","64","73","27","5278"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p33_mortgage_repayment_by_dwelling_struct_census_2016.fid-5ff86f36_1724bdf6fd3_5f4b,Coffs Harbour,"10402","460","24","16","4","8","512","239","22","9","0","0","265","212","19","5","3","3","240","364","33","32","3","4","432","520","37","38","3","4","603","1346","127","86","4","9","1572","1693","71","43","8","7","1830","1835","80","33","6","13","1971","664","24","3","0","3","697","426","23","3","4","4","461","211","3","5","0","3","222","331","19","12","0","0","365","8299","488","280","43","65","9166"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p33_mortgage_repayment_by_dwelling_struct_census_2016.fid-5ff86f36_1724bdf6fd3_5f4c,Bourke - Cobar - Coonamble,"10501","199","0","0","3","5","212","93","0","0","0","0","93","91","0","0","0","0","89","169","0","0","3","0","174","207","0","0","0","4","213","301","0","0","5","4","313","202","0","0","0","3","204","148","0","0","0","3","148","31","0","0","0","0","29","50","0","0","0","0","53","54","0","0","0","0","57","105","0","0","0","3","107","1640","3","5","21","25","1698"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p33_mortgage_repayment_by_dwelling_struct_census_2016.fid-5ff86f36_1724bdf6fd3_5f4d,Broken Hill and Far West,"10502","167","3","0","0","3","173","172","0","0","0","0","174","156","0","0","0","3","165","298","3","0","0","0","307","309","3","0","3","0","316","494","0","0","0","0","500","240","3","0","0","0","243","141","0","0","0","0","146","41","0","0","0","0","43","27","0","0","0","0","27","30","0","0","0","0","30","126","0","0","0","0","125","2209","18","0","3","11","2244"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p33_mortgage_repayment_by_dwelling_struct_census_2016.fid-5ff86f36_1724bdf6fd3_5f4e,Dubbo,"10503","410","3","3","16","3","430","232","5","3","5","0","251","216","10","3","3","0","234","439","6","7","17","3","476","635","9","9","10","3","665","1642","31","11","20","11","1710","1440","22","11","17","6","1496","1212","4","0","17","4","1233","409","3","0","3","3","420","278","0","0","4","0","282","173","0","0","3","0","178","381","10","6","7","5","408","7468","102","54","115","39","7775"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p33_mortgage_repayment_by_dwelling_struct_census_2016.fid-5ff86f36_1724bdf6fd3_5f4f,Lower Hunter,"10601","428","3","3","3","3","441","240","0","0","0","0","240","228","3","0","0","0","234","412","6","0","0","0","420","605","15","8","3","5","635","2008","53","12","5","4","2080","2164","45","14","4","10","2234","2196","29","3","3","10","2244","941","3","0","3","0","950","751","6","0","0","3","763","337","0","0","3","5","343","476","4","0","0","3","488","10791","166","40","30","46","11064"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p33_mortgage_repayment_by_dwelling_struct_census_2016.fid-5ff86f36_1724bdf6fd3_5f50,Maitland,"10602","326","12","0","3","0","342","186","13","4","0","0","201","147","3","0","0","0","150","298","9","0","0","6","310","450","26","3","0","0","484","1414","65","6","3","3","1499","1989","67","4","7","0","2063","2653","39","0","4","3","2693","1069","5","0","0","9","1075","621","3","3","3","0","636","282","0","0","0","0","280","343","4","0","0","3","359","9775","251","29","17","27","10093"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p33_mortgage_repayment_by_dwelling_struct_census_2016.fid-5ff86f36_1724bdf6fd3_5f51,Port Stephens,"10603","344","31","7","7","3","389","179","18","3","3","0","202","149","28","4","0","0","180","277","23","4","4","0","314","378","40","9","4","0","435","1154","114","17","6","3","1304","1431","108","14","6","3","1570","1709","80","17","7","7","1810","685","30","7","0","0","719","509","15","3","0","0","525","238","12","7","0","0","257","342","28","4","3","3","378","7397","527","88","43","20","8074"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p33_mortgage_repayment_by_dwelling_struct_census_2016.fid-5ff86f36_1724bdf6fd3_5f52,Upper Hunter,"10604","133","0","0","0","0","136","68","0","0","0","0","70","70","0","0","0","0","72","136","0","0","0","0","136","197","3","3","0","0","210","584","14","8","3","0","609","649","9","0","0","3","659","706","3","5","3","4","720","316","3","0","0","0","323","250","0","0","0","0","255","108","0","0","0","4","116","171","0","0","0","5","176","3383","35","20","10","16","3463"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p33_mortgage_repayment_by_dwelling_struct_census_2016.fid-5ff86f36_1724bdf6fd3_5f53,Dapto - Port Kembla,"10701","327","14","9","0","0","354","203","8","0","0","0","209","141","8","0","0","0","152","295","34","4","0","0","333","408","17","10","0","4","443","1168","49","26","3","0","1241","1711","84","27","4","3","1829","2137","81","17","4","3","2242","932","18","6","0","0","959","578","3","3","0","0","587","283","9","0","0","0","295","298","7","5","3","3","319","8487","325","112","14","20","8958"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p33_mortgage_repayment_by_dwelling_struct_census_2016.fid-5ff86f36_1724bdf6fd3_5f54,Illawarra Catchment Reserve,"10702","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p33_mortgage_repayment_by_dwelling_struct_census_2016.fid-5ff86f36_1724bdf6fd3_5f55,Kiama - Shellharbour,"10703","437","38","6","0","0","483","202","27","7","0","0","234","151","14","3","6","0","178","294","37","7","3","0","348","418","38","10","0","0","466","1201","151","29","0","3","1384","1553","174","35","5","0","1766","2586","223","31","6","5","2849","1244","86","12","0","8","1347","946","40","3","0","0","994","422","17","4","0","0","449","392","36","7","0","0","438","9845","881","154","22","23","10933"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p33_mortgage_repayment_by_dwelling_struct_census_2016.fid-5ff86f36_1724bdf6fd3_5f56,Wollongong,"10704","485","60","73","3","4","617","198","22","42","0","0","263","146","19","25","3","0","191","285","50","54","0","3","392","360","72","99","0","4","540","1064","190","266","3","0","1530","1241","246","333","9","5","1840","2591","329","381","7","17","3325","1731","152","138","3","5","2027","1742","102","117","0","5","1973","840","47","53","3","0","952","422","38","52","0","0","517","11110","1342","1627","31","46","14155"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p33_mortgage_repayment_by_dwelling_struct_census_2016.fid-5ff86f36_1724bdf6fd3_5f57,Great Lakes,"10801","186","18","11","0","0","216","98","9","4","3","0","110","72","7","6","3","0","93","171","15","9","3","4","205","210","17","9","3","0","235","488","39","32","4","3","576","503","29","11","0","3","546","481","14","7","3","5","509","162","3","8","0","0","178","121","0","3","0","0","128","67","3","0","0","0","70","131","9","3","0","0","144","2685","168","113","22","16","3004"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p33_mortgage_repayment_by_dwelling_struct_census_2016.fid-5ff86f36_1724bdf6fd3_5f58,Kempsey - Nambucca,"10802","254","4","5","5","3","270","212","8","3","0","0","224","178","4","4","5","3","197","325","4","9","4","0","337","458","6","6","4","4","479","1055","12","11","3","7","1091","825","12","7","3","5","843","625","3","0","4","5","641","209","3","0","0","3","212","117","0","0","0","0","122","81","0","0","3","3","93","245","3","3","0","0","249","4589","56","50","34","36","4760"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p33_mortgage_repayment_by_dwelling_struct_census_2016.fid-5ff86f36_1724bdf6fd3_5f59,Lord Howe Island,"10803","6","0","0","0","0","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","3","4","0","0","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7","0","0","0","0","7","29","0","0","0","0","29"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p33_mortgage_repayment_by_dwelling_struct_census_2016.fid-5ff86f36_1724bdf6fd3_5f5a,Port Macquarie,"10804","366","37","18","3","5","430","156","30","20","0","0","205","154","23","6","0","0","182","250","21","25","4","5","305","415","37","29","7","0","488","1125","100","55","13","6","1294","1444","124","66","5","7","1643","1803","64","35","7","7","1913","683","17","9","3","3","712","436","13","6","0","0","456","204","12","11","0","3","229","312","29","8","0","4","354","7346","516","284","42","37","8211"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p33_mortgage_repayment_by_dwelling_struct_census_2016.fid-5ff86f36_1724bdf6fd3_5f5b,Taree - Gloucester,"10805","283","12","4","4","0","303","197","7","3","0","3","210","180","3","0","0","0","183","346","6","4","0","0","359","458","16","5","9","8","494","1194","28","11","4","10","1243","989","10","10","0","4","1016","832","9","4","0","4","848","247","3","0","0","3","259","179","3","0","0","0","188","95","0","0","0","0","103","249","5","3","0","0","253","5257","104","44","29","33","5460"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p33_mortgage_repayment_by_dwelling_struct_census_2016.fid-5ff86f36_1724bdf6fd3_5f5c,Albury,"10901","359","19","0","0","0","383","200","21","4","0","0","229","171","17","0","0","0","196","403","44","0","0","0","448","609","59","3","0","3","671","1670","89","3","0","4","1761","1523","46","3","3","3","1575","1266","16","0","0","5","1293","365","8","0","3","0","377","255","6","0","3","0","265","126","0","0","0","0","129","314","16","0","0","0","332","7259","340","20","11","21","7659"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p33_mortgage_repayment_by_dwelling_struct_census_2016.fid-5ff86f36_1724bdf6fd3_5f5d,Lower Murray,"10902","75","0","0","0","0","83","51","3","0","0","0","54","55","0","0","0","0","57","132","0","6","0","0","133","183","0","0","0","0","188","254","0","0","3","3","257","168","0","0","0","0","173","116","0","0","0","0","112","27","0","0","0","0","34","27","0","0","0","0","25","34","0","0","0","3","41","84","0","0","0","0","88","1208","8","9","8","9","1243"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p33_mortgage_repayment_by_dwelling_struct_census_2016.fid-5ff86f36_1724bdf6fd3_5f5e,Upper Murray exc. Albury,"10903","368","3","3","3","0","383","179","0","3","3","0","190","174","3","0","0","0","184","405","11","8","0","0","418","477","11","10","0","3","502","976","12","7","5","4","1003","706","4","0","4","0","713","558","0","0","3","3","562","160","0","0","3","0","166","108","0","0","0","0","112","99","0","0","0","0","108","282","0","0","3","3","293","4508","42","44","35","16","4641"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p33_mortgage_repayment_by_dwelling_struct_census_2016.fid-5ff86f36_1724bdf6fd3_5f5f,Armidale,"11001","228","3","0","0","0","240","103","0","0","0","0","103","111","0","0","0","0","110","186","7","0","3","0","194","269","6","4","0","5","287","755","12","4","0","3","780","672","11","0","0","0","690","546","3","0","0","5","550","184","0","0","3","0","185","166","3","0","0","3","168","93","0","0","3","0","91","163","0","0","4","0","167","3462","58","15","12","22","3567"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p33_mortgage_repayment_by_dwelling_struct_census_2016.fid-5ff86f36_1724bdf6fd3_5f60,Inverell - Tenterfield,"11002","287","0","0","5","3","295","185","0","0","6","0","194","182","5","0","0","0","182","394","0","0","3","3","397","442","0","0","4","4","450","840","3","0","6","12","858","514","3","0","3","5","527","397","0","0","8","6","409","116","0","0","0","0","116","97","0","0","0","0","95","86","0","0","0","0","86","207","3","3","0","0","213","3744","14","10","28","39","3836"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p33_mortgage_repayment_by_dwelling_struct_census_2016.fid-5ff86f36_1724bdf6fd3_5f61,Moree - Narrabri,"11003","148","9","0","3","6","164","66","0","3","0","0","66","76","0","0","0","0","79","135","6","0","0","0","144","205","6","3","0","0","214","495","7","6","0","4","510","414","11","3","0","0","427","328","9","4","3","0","347","99","9","0","0","0","107","79","0","0","0","0","80","66","3","3","0","0","73","161","3","3","3","0","176","2271","60","19","14","13","2386"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p33_mortgage_repayment_by_dwelling_struct_census_2016.fid-5ff86f36_1724bdf6fd3_5f62,Tamworth - Gunnedah,"11004","434","5","3","6","6","452","218","4","0","6","0","228","239","6","0","0","0","250","477","7","4","6","0","490","690","19","3","9","3","723","1842","29","8","21","14","1906","1758","19","0","11","0","1788","1539","7","6","4","8","1564","561","0","0","5","4","565","343","0","0","0","4","347","198","0","0","3","3","208","413","4","0","3","0","418","8710","100","28","66","47","8951"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p33_mortgage_repayment_by_dwelling_struct_census_2016.fid-5ff86f36_1724bdf6fd3_5f63,Lake Macquarie - East,"11101","680","53","16","0","0","755","335","25","7","3","0","368","263","25","4","0","0","292","480","37","12","0","0","523","711","22","8","3","0","741","1920","121","44","6","5","2093","2614","147","48","7","6","2825","3852","127","32","9","9","4025","1682","41","18","0","0","1749","1231","14","10","0","0","1258","586","6","0","0","0","601","561","21","9","0","0","588","14913","647","214","31","16","15816"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p33_mortgage_repayment_by_dwelling_struct_census_2016.fid-5ff86f36_1724bdf6fd3_5f64,Lake Macquarie - West,"11102","428","17","3","0","5","446","225","9","0","0","0","234","188","3","0","0","0","188","333","6","4","3","0","347","479","14","0","0","0","493","1497","41","7","3","0","1547","1997","36","4","0","3","2034","2527","21","6","3","3","2559","1010","3","4","0","0","1020","568","3","0","0","0","573","261","5","0","0","0","267","400","3","0","0","0","404","9905","163","28","6","14","10117"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p33_mortgage_repayment_by_dwelling_struct_census_2016.fid-5ff86f36_1724bdf6fd3_5f65,Newcastle,"11103","782","84","43","0","0","910","341","42","14","0","0","397","348","34","18","0","0","397","590","43","32","0","0","667","812","84","37","0","0","941","2409","274","135","3","3","2821","3116","309","181","3","6","3616","4211","346","181","6","6","4744","1973","137","62","0","4","2175","1381","110","50","3","0","1548","811","84","55","0","0","947","643","44","35","0","0","733","17407","1590","858","26","30","19897"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p33_mortgage_repayment_by_dwelling_struct_census_2016.fid-5ff86f36_1724bdf6fd3_5f66,Richmond Valley - Coastal,"11201","442","59","14","6","4","518","215","32","9","0","3","258","146","24","8","5","0","182","255","34","13","7","3","312","353","55","15","0","4","439","965","160","45","17","3","1196","1060","148","40","8","7","1264","1529","148","27","5","3","1713","705","70","15","0","12","809","555","44","11","7","0","617","336","19","7","3","5","372","362","35","9","0","3","417","6930","829","215","54","55","8085"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p33_mortgage_repayment_by_dwelling_struct_census_2016.fid-5ff86f36_1724bdf6fd3_5f67,Richmond Valley - Hinterland,"11202","439","8","7","6","0","464","281","8","11","7","0","309","239","6","10","3","0","259","513","15","9","3","5","548","626","18","3","11","0","657","1668","55","18","16","8","1757","1492","35","4","17","6","1555","1184","14","3","8","3","1216","420","0","0","13","0","435","275","0","0","5","0","280","155","3","0","4","0","168","366","3","0","7","0","383","7647","167","76","98","31","8014"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p33_mortgage_repayment_by_dwelling_struct_census_2016.fid-5ff86f36_1724bdf6fd3_5f68,Tweed Valley,"11203","422","73","38","3","3","540","198","47","24","0","3","269","156","27","15","0","0","205","304","70","26","8","4","409","410","85","36","5","0","538","1128","221","114","11","3","1480","1323","298","81","9","5","1717","1956","201","63","14","7","2243","1000","59","21","3","4","1092","668","31","6","4","3","717","324","10","4","3","3","351","401","53","23","3","3","480","8295","1176","455","66","44","10046"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p33_mortgage_repayment_by_dwelling_struct_census_2016.fid-5ff86f36_1724bdf6fd3_5f69,Griffith - Murrumbidgee (West),"11301","283","3","0","3","0","294","126","0","0","0","0","135","144","0","3","0","0","154","291","5","3","0","0","301","433","5","11","3","4","453","1063","18","22","3","6","1109","858","11","15","3","3","882","635","3","3","0","4","651","198","3","0","0","0","205","131","0","0","0","3","137","106","0","0","0","3","110","253","0","4","0","0","265","4522","56","61","17","25","4681"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p33_mortgage_repayment_by_dwelling_struct_census_2016.fid-5ff86f36_1724bdf6fd3_5f6a,Tumut - Tumbarumba,"11302","85","0","0","0","0","88","49","0","0","0","0","49","36","0","0","0","0","39","125","0","0","0","0","126","156","0","3","0","0","156","358","0","3","0","0","359","281","0","0","0","0","283","230","0","0","0","0","233","81","0","0","0","0","81","53","0","0","0","0","52","26","0","0","0","0","26","83","0","0","0","0","89","1565","0","10","3","6","1585"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p33_mortgage_repayment_by_dwelling_struct_census_2016.fid-5ff86f36_1724bdf6fd3_5f6b,Wagga Wagga,"11303","526","12","9","3","3","551","280","0","4","4","4","289","276","0","3","0","0","284","565","3","24","0","3","594","871","6","17","3","3","902","2308","33","45","9","8","2399","2156","23","21","10","5","2209","1739","3","6","13","5","1773","577","0","3","3","0","586","418","3","4","0","0","423","241","0","0","0","6","251","469","8","9","5","3","491","10425","95","142","53","39","10757"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p33_mortgage_repayment_by_dwelling_struct_census_2016.fid-5ff86f36_1724bdf6fd3_5f6c,Shoalhaven,"11401","636","13","4","10","3","664","281","3","0","0","0","290","268","4","0","11","3","288","473","17","7","4","0","502","663","14","7","3","4","691","1828","46","24","6","9","1917","1959","46","16","3","4","2031","1938","10","4","0","7","1966","720","8","3","0","3","739","473","9","0","0","4","486","269","4","0","3","8","284","480","7","3","3","3","500","9990","198","79","42","48","10357"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p33_mortgage_repayment_by_dwelling_struct_census_2016.fid-5ff86f36_1724bdf6fd3_5f6d,Southern Highlands,"11402","305","11","0","0","0","315","127","4","0","0","0","132","99","4","0","0","0","103","179","4","0","0","0","183","253","6","4","0","0","262","710","14","5","0","0","734","937","6","3","4","6","956","1316","20","3","3","3","1353","617","10","0","0","4","635","512","3","4","0","0","523","395","6","0","0","3","402","272","10","0","3","0","281","5719","96","28","10","23","5881"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p33_mortgage_repayment_by_dwelling_struct_census_2016.fid-5ff86f36_1724bdf6fd3_5f6e,Baulkham Hills,"11501","958","101","27","0","0","1084","253","19","6","0","0","277","207","19","8","0","0","229","302","38","7","0","0","352","432","51","11","0","0","499","1255","145","52","0","0","1458","1302","198","81","0","0","1576","2688","445","157","0","5","3300","2144","370","104","0","3","2625","3496","355","68","0","0","3921","3203","151","35","0","3","3394","772","56","28","0","3","863","17009","1951","592","8","22","19580"
