gml_id,sa3_name16,sa3_code16,intct_fam_no_otr_chld_pre_fam,step_fam_no_otr_chld_pre_fam,blnd_fam_no_otr_chld_pre_fam,intct_fam_othr_child_pres_fam,step_fam_othr_child_pres_fam,blnd_fam_othr_child_pres_fam,otr_cpl_fam_otr_chld_only_fam,tot_families
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p27_family_blending_census_2016.fid-5ff86f36_1724bdf6fd3_5b43,Queanbeyan,"10102","6302","510","329","61","4","4","43","7259"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p27_family_blending_census_2016.fid-5ff86f36_1724bdf6fd3_5b44,Snowy Mountains,"10103","1626","120","87","6","0","0","10","1851"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p27_family_blending_census_2016.fid-5ff86f36_1724bdf6fd3_5b45,South Coast,"10104","4754","502","307","71","11","4","66","5717"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p27_family_blending_census_2016.fid-5ff86f36_1724bdf6fd3_5b46,Goulburn - Mulwaree,"10105","3025","275","202","35","9","3","22","3579"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p27_family_blending_census_2016.fid-5ff86f36_1724bdf6fd3_5b47,Young - Yass,"10106","3470","276","193","39","0","0","27","4013"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p27_family_blending_census_2016.fid-5ff86f36_1724bdf6fd3_5b48,Gosford,"10201","16841","1400","807","161","22","11","121","19363"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p27_family_blending_census_2016.fid-5ff86f36_1724bdf6fd3_5b49,Wyong,"10202","13915","1528","1071","224","44","20","139","16946"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p27_family_blending_census_2016.fid-5ff86f36_1724bdf6fd3_5b4a,Bathurst,"10301","4097","355","264","48","5","4","31","4814"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p27_family_blending_census_2016.fid-5ff86f36_1724bdf6fd3_5b4b,Lachlan Valley,"10302","4544","299","272","58","10","8","54","5246"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p27_family_blending_census_2016.fid-5ff86f36_1724bdf6fd3_5b4c,Lithgow - Mudgee,"10303","3836","314","259","56","3","6","70","4534"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p27_family_blending_census_2016.fid-5ff86f36_1724bdf6fd3_5b4d,Orange,"10304","5506","438","318","57","11","5","54","6382"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p27_family_blending_census_2016.fid-5ff86f36_1724bdf6fd3_5b4e,Clarence Valley,"10401","3563","326","276","87","9","5","46","4308"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p27_family_blending_census_2016.fid-5ff86f36_1724bdf6fd3_5b4f,Coffs Harbour,"10402","7068","674","407","115","10","6","58","8350"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p27_family_blending_census_2016.fid-5ff86f36_1724bdf6fd3_5b50,Bourke - Cobar - Coonamble,"10501","1663","117","116","46","7","3","43","1999"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p27_family_blending_census_2016.fid-5ff86f36_1724bdf6fd3_5b51,Broken Hill and Far West,"10502","1390","139","114","16","10","0","19","1688"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p27_family_blending_census_2016.fid-5ff86f36_1724bdf6fd3_5b52,Dubbo,"10503","5809","428","335","102","16","8","82","6776"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p27_family_blending_census_2016.fid-5ff86f36_1724bdf6fd3_5b53,Lower Hunter,"10601","8126","780","561","140","28","14","104","9752"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p27_family_blending_census_2016.fid-5ff86f36_1724bdf6fd3_5b54,Maitland,"10602","7817","701","522","93","16","9","65","9223"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p27_family_blending_census_2016.fid-5ff86f36_1724bdf6fd3_5b55,Port Stephens,"10603","6121","573","384","94","16","3","72","7267"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p27_family_blending_census_2016.fid-5ff86f36_1724bdf6fd3_5b56,Upper Hunter,"10604","2763","223","171","31","5","0","29","3227"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p27_family_blending_census_2016.fid-5ff86f36_1724bdf6fd3_5b57,Dapto - Port Kembla,"10701","7786","676","437","94","17","6","58","9085"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p27_family_blending_census_2016.fid-5ff86f36_1724bdf6fd3_5b58,Illawarra Catchment Reserve,"10702","0","0","0","0","0","0","0","0"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p27_family_blending_census_2016.fid-5ff86f36_1724bdf6fd3_5b59,Kiama - Shellharbour,"10703","9399","829","543","141","23","4","85","11039"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p27_family_blending_census_2016.fid-5ff86f36_1724bdf6fd3_5b5a,Wollongong,"10704","13201","796","450","102","7","4","57","14624"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p27_family_blending_census_2016.fid-5ff86f36_1724bdf6fd3_5b5b,Great Lakes,"10801","1957","210","114","34","3","0","38","2357"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p27_family_blending_census_2016.fid-5ff86f36_1724bdf6fd3_5b5c,Kempsey - Nambucca,"10802","3175","299","232","67","7","8","44","3829"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p27_family_blending_census_2016.fid-5ff86f36_1724bdf6fd3_5b5d,Lord Howe Island,"10803","30","3","0","0","0","0","0","35"
