tpp_australian_labor_party_percentage, tpp_swing, tpp_liberal_national_coalition_percentage, state, polling_place_id
59.21,0.93,40.79,"ACT","93925"
84.62,-34.62,15.38,"ACT","93927"
62.11,0.62,37.89,"ACT","11877"
57.9,1.99,42.1,"ACT","11452"
63.6,-4.49,36.4,"ACT","8761"
56.35,4.05,43.65,"ACT","8763"
71.74,-6.05,28.26,"ACT","93916"
63.15,-7.4,36.85,"ACT","93922"
55.2,6.12,44.8,"ACT","31298"
53.95,6.98,46.05,"ACT","83835"
64.32,-3.64,35.68,"ACT","82523"
62.61,1.11,37.39,"ACT","93906"
55.41,44.59,44.59,"ACT","93932"
71.24,-6.14,28.76,"ACT","8767"
54.82,-2.69,45.18,"ACT","8768"
58.83,-3.6,41.17,"ACT","8769"
59.49,-2.87,40.51,"ACT","93913"
55.48,2.18,44.52,"ACT","8771"
57.3,2.99,42.7,"ACT","12072"
48.31,12.59,51.69,"ACT","83837"
56.92,2.22,43.08,"ACT","8772"
56.77,6.09,43.23,"ACT","97445"
48.4,7.29,51.6,"ACT","93929"
59.59,-1.47,40.41,"ACT","8773"
56.81,3.0,43.19,"ACT","93908"
41.98,-2.33,58.02,"NSW","58"
57.79,5.34,42.21,"ACT","8884"
61.84,1.09,38.16,"ACT","8776"
65.3,0.25,34.7,"ACT","8777"
60.17,0.95,39.83,"ACT","8778"
66.03,-2.79,33.97,"ACT","93909"
61.14,0.22,38.86,"ACT","8780"
56.24,1.97,43.76,"ACT","8781"
76.01,-11.23,23.99,"ACT","93928"
63.08,36.92,36.92,"ACT","97479"
61.76,-1.77,38.24,"ACT","8784"
56.1,7.72,43.9,"ACT","8786"
50.89,-3.16,49.11,"ACT","8788"
55.85,5.73,44.15,"ACT","11878"
51.54,4.18,48.46,"ACT","32704"
58.28,3.09,41.72,"ACT","8790"
63.08,-1.37,36.92,"ACT","8791"
66.68,-4.89,33.32,"ACT","8792"
65.67,-4.39,34.33,"ACT","83841"
62.34,0.95,37.66,"ACT","8793"
55.5,-0.63,44.5,"ACT","32705"
82.69,-5.86,17.31,"ACT","8801"
77.78,-6.0,22.22,"ACT","8803"
67.48,-11.88,32.52,"ACT","8829"
67.67,0.65,32.33,"ACT","93968"
61.1,0.57,38.9,"ACT","64583"
55.0,11.67,45.0,"ACT","65504"
78.59,-7.92,21.41,"ACT","8802"
67.68,0.52,32.32,"ACT","83849"
57.78,-4.21,42.22,"ACT","8806"
75.48,-8.13,24.52,"ACT","8808"
68.4,-7.3,31.6,"ACT","58708"
68.61,-4.97,31.39,"ACT","8764"
45.24,-4.7,54.76,"ACT","8766"
72.17,-2.12,27.83,"ACT","8809"
79.31,-4.33,20.69,"ACT","83852"
70.32,-8.29,29.68,"ACT","30092"
80.95,-4.66,19.05,"ACT","82525"
63.66,-7.08,36.34,"ACT","8794"
66.82,-1.75,33.18,"ACT","8816"
62.52,-8.4,37.48,"ACT","8817"
63.04,-9.43,36.96,"ACT","65981"
63.19,-3.39,36.81,"ACT","8774"
63.14,0.61,36.86,"ACT","8823"
67.28,-3.12,32.72,"ACT","8824"
79.54,-4.66,20.46,"ACT","8826"
77.96,-3.27,22.04,"ACT","83856"
68.91,-5.53,31.09,"ACT","8779"
73.39,-3.15,26.61,"ACT","8828"
68.06,-3.33,31.94,"ACT","8782"
65.58,-6.99,34.42,"ACT","8783"
61.42,5.4,38.58,"ACT","93976"
78.34,-11.06,21.66,"ACT","65741"
62.23,-3.08,37.77,"ACT","65742"
61.17,-6.95,38.83,"ACT","8785"
70.0,-14.44,30.0,"ACT","93984"
48.65,5.9,51.35,"ACT","93998"
80.0,-24.68,20.0,"ACT","97477"
59.08,-1.65,40.92,"ACT","93960"
80.34,-4.78,19.66,"ACT","8836"
78.34,-4.62,21.66,"ACT","8837"
65.02,-1.66,34.98,"ACT","8838"
54.45,1.04,45.55,"ACT","93961"
55.47,-4.84,44.53,"ACT","8840"
58.87,-0.89,41.13,"ACT","38197"
75.29,-3.46,24.71,"ACT","94007"
71.93,-3.65,28.07,"ACT","8805"
59.25,2.54,40.75,"ACT","32464"
52.63,29.19,47.37,"ACT","65505"
60.61,0.81,39.39,"ACT","65695"
54.63,13.54,45.37,"ACT","94020"
61.3,4.26,38.7,"ACT","8807"
66.17,-1.25,33.83,"ACT","83851"
63.35,8.39,36.65,"ACT","66144"
62.43,4.09,37.57,"ACT","32465"
54.76,14.9,45.24,"ACT","94017"
63.83,-0.57,36.17,"ACT","8812"
67.52,-3.3,32.48,"ACT","83853"
68.56,-2.46,31.44,"ACT","8814"
53.88,-3.3,46.12,"ACT","65493"
61.02,-3.71,38.98,"ACT","83854"
62.67,1.36,37.33,"ACT","34238"
58.22,6.83,41.78,"ACT","94009"
58.98,-0.69,41.02,"ACT","34240"
54.85,2.6,45.15,"ACT","83848"
61.01,-3.65,38.99,"ACT","47681"
64.21,2.36,35.79,"ACT","8821"
66.04,0.57,33.96,"ACT","83855"
68.06,-0.24,31.94,"ACT","8825"
68.0,-1.38,32.0,"ACT","8827"
72.0,-1.77,28.0,"ACT","94013"
67.05,0.74,32.95,"ACT","8830"
64.45,0.1,35.55,"ACT","32463"
54.16,-3.08,45.84,"ACT","32081"
54.27,1.73,45.73,"ACT","83857"
68.86,-2.14,31.14,"ACT","8832"
61.57,-0.85,38.43,"ACT","31626"
76.43,-3.3,23.57,"ACT","65743"
26.13,-7.2,73.87,"NSW","2170"
61.98,-2.71,38.02,"ACT","83858"
77.09,-7.19,22.91,"ACT","8834"
63.75,-5.13,36.25,"ACT","97559"
69.23,-5.96,30.77,"ACT","94016"
49.36,1.69,50.64,"NSW","31"
46.91,4.4,53.09,"NSW","67"
51.58,-0.38,48.42,"NSW","56500"
50.57,2.69,49.43,"NSW","79612"
44.84,12.86,55.16,"NSW","46"
66.67,-22.67,33.33,"NSW","65425"
55.18,3.43,44.82,"NSW","56472"
44.39,2.66,55.61,"NSW","65"
31.68,4.0,68.32,"NSW","42"
0.0,0.0,0.0,"NSW","30094"
45.29,4.38,54.71,"NSW","2"
43.63,5.01,56.37,"NSW","79613"
39.59,5.68,60.41,"NSW","34046"
48.37,0.96,51.63,"NSW","79614"
41.08,-0.69,58.92,"NSW","45"
44.37,4.68,55.63,"NSW","43"
31.52,3.91,68.48,"NSW","4"
44.4,7.56,55.6,"NSW","55"
50.77,2.57,49.23,"NSW","56"
44.51,4.17,55.49,"NSW","5"
48.2,5.47,51.8,"NSW","6"
40.12,-0.44,59.88,"NSW","83630"
40.36,-1.84,59.64,"NSW","59"
49.41,2.61,50.59,"NSW","7"
39.87,12.17,60.13,"NSW","83624"
46.95,6.65,53.05,"NSW","8"
40.58,7.56,59.42,"NSW","58722"
40.49,5.6,59.51,"NSW","10"
47.77,7.85,52.23,"NSW","11"
43.14,7.37,56.86,"NSW","12"
48.72,5.79,51.28,"NSW","13"
41.03,3.63,58.97,"NSW","14"
48.7,3.14,51.3,"NSW","16"
39.2,2.31,60.8,"NSW","17"
42.18,3.69,57.82,"NSW","18"
41.44,10.01,58.56,"NSW","19"
51.52,4.68,48.48,"NSW","60"
38.05,4.41,61.95,"NSW","22"
23.75,20.91,76.25,"NSW","83635"
50.69,6.34,49.31,"NSW","57281"
47.98,10.24,52.02,"NSW","25"
45.07,4.45,54.93,"NSW","26"
53.24,7.82,46.76,"NSW","3"
63.56,10.27,36.44,"NSW","27"
47.37,7.78,52.63,"NSW","28"
59.6,-7.92,40.4,"NSW","14011"
46.7,4.19,53.3,"NSW","97610"
64.23,0.45,35.77,"NSW","32"
64.55,1.2,35.45,"NSW","34"
55.86,8.43,44.14,"NSW","83610"
64.59,0.02,35.41,"NSW","2642"
53.81,-4.64,46.19,"NSW","2643"
51.57,1.8,48.43,"NSW","65982"
