sla_code06, sla_name06, ci_high, se, ci_low, estimate, rse
"205353271","Hume (C) - Broadmeadows",57.4,6.3,33.3,45.0,13.9
"205353274","Hume (C) - Craigieburn",55.8,5.8,33.5,44.4,13.0
"205353275","Hume (C) - Sunbury",55.8,6.6,30.4,42.6,15.6
"205405713","Nillumbik (S) - South",42.1,5.0,22.6,31.6,15.9
"205405715","Nillumbik (S) - South-West",41.5,5.7,19.6,29.4,19.3
"205405718","Nillumbik (S) Bal",54.0,7.8,24.4,38.1,20.4
"205407071","Whittlesea (C) - North",57.6,6.1,34.0,45.6,13.4
"205407075","Whittlesea (C) - South-East",46.7,6.3,22.6,33.6,18.7
"205407076","Whittlesea (C) - South-West",56.6,5.6,34.9,45.5,12.4
"205607454","Yarra Ranges (S) - North",35.3,7.1,7.0,16.8,42.1
"205607456","Yarra Ranges (S) - Seville",41.4,7.8,11.3,23.0,33.6
"205650911","Bayside (C) - Brighton",42.5,5.5,21.1,30.8,17.9
"205650912","Bayside (C) - South",28.9,3.6,14.7,20.9,17.2
"205054601","Melbourne (C) - Inner",49.3,10.9,7.5,21.9,49.5
"205905344","Mornington P'sula (S) - South",42.4,6.9,15.9,27.2,25.3
"205054605","Melbourne (C) - S'bank-D'lands",49.3,9.2,14.2,28.6,32.2
"205054608","Melbourne (C) - Remainder",38.4,4.5,21.0,28.9,15.5
"205607453","Yarra Ranges (S) - Lilydale",42.2,4.7,24.0,32.5,14.4
"240101375","Campaspe (S) - Rochester",53.2,6.4,28.6,40.3,15.9
"205852171","Frankston (C) - East",55.5,6.6,30.2,42.3,15.6
"205852174","Frankston (C) - West",45.1,4.5,27.7,36.0,12.4
"205905341","Mornington P'sula (S) - East",51.6,7.2,24.1,36.8,19.5
"215106261","S. Grampians (S) - Hamilton",46.3,4.6,28.6,37.0,12.3
"215106264","S. Grampians (S) - Wannon",38.7,7.0,11.2,22.0,32.1
"215106265","S. Grampians (S) Bal",31.4,4.7,13.0,20.7,22.7
"225055814","N. Grampians (S) - Stawell",34.2,3.8,19.1,26.0,14.8
"205055901","Port Phillip (C) - St Kilda",24.8,3.3,11.7,17.3,19.2
"205905345","Mornington P'sula (S) - West",43.1,6.3,18.6,29.4,21.6
"210052751","Bellarine - Inner",38.7,6.0,15.3,25.3,23.9
"210052752","Corio - Inner",45.7,5.9,22.8,33.3,17.9
"205055902","Port Phillip (C) - West",30.6,4.3,13.8,21.0,20.4
"210106493","Surf Coast (S) - East",33.8,3.9,18.3,25.3,15.6
"210106495","Surf Coast (S) - West",41.1,5.7,19.0,28.8,19.7
"205301892","Darebin (C) - Preston",49.0,4.5,31.4,39.9,11.3
"225056890","West Wimmera (S)",31.0,3.8,16.3,22.9,16.4
"205056351","Stonnington (C) - Prahran",38.9,5.4,18.1,27.3,19.6
"205057351","Yarra (C) - North",34.3,4.1,18.3,25.5,16.1
"205057352","Yarra (C) - Richmond",46.2,6.3,22.1,33.0,18.9
"205101181","Brimbank (C) - Keilor",38.7,3.4,25.5,31.8,10.6
"205101182","Brimbank (C) - Sunshine",49.4,4.1,33.5,41.2,9.9
"205103111","Hobsons Bay (C) - Altona",36.0,3.9,21.0,27.9,13.8
"205103112","Hobsons Bay (C) - Williamstown",37.7,5.2,17.5,26.4,19.7
"205104330","Maribyrnong (C)",40.5,3.6,26.3,33.0,11.0
"205105063","Moonee Valley (C) - Essendon",40.8,4.7,22.5,30.9,15.3
"205105065","Moonee Valley (C) - West",40.2,5.3,19.6,28.8,18.4
"225102980","Hindmarsh (S)",41.5,4.1,25.5,33.0,12.4
"225107631","Yarriambiack (S) - North",null,null,null,null,null
"225107632","Yarriambiack (S) - South",29.7,3.4,16.4,22.4,15.1
"230054781","Mildura (RC) - Pt A",43.0,2.8,32.1,37.4,7.5
"230101271","Buloke (S) - North",31.8,4.6,13.9,21.5,21.1
"230101272","Buloke (S) - South",41.4,5.3,21.0,30.2,17.4
"230104782","Mildura (RC) - Pt B",70.2,9.9,33.3,52.1,19.0
"230152250","Gannawarra (S)",36.9,3.3,24.1,30.1,11.0
"240052831","Gr. Shepparton (C) - Pt A",39.0,3.8,24.1,31.1,12.3
"255053815","Latrobe (C) - Traralgon",44.1,5.4,23.3,32.9,16.3
"205204651","Melton (S) - East",51.4,4.9,32.3,41.6,11.8
"205204654","Melton (S) Bal",46.9,5.1,27.3,36.5,13.9
"205207261","Wyndham (C) - North",42.4,4.4,25.1,33.2,13.4
"205207264","Wyndham (C) - South",50.5,8.4,18.4,32.4,26.0
"205207267","Wyndham (C) - West",63.1,7.7,33.8,48.3,15.9
