num_dogs_2019, id, num_cats_2020, LGA_CODE19, num_dogs_2020, num_cats_2019
952,1,134,"40070",1010,93
4996,10,728,"40910",5184,421
651,11,69,"41010",600,29
14861,12,1868,"41060",15543,1129
2268,13,241,"41140",2176,153
372,14,67,"41190",371,40
237,15,5,"41330",181,3
2740,16,369,"41560",2840,139
255,17,21,"41750",252,8
450,18,52,"41830",438,45
215,19,7,"41960",200,9
7938,2,342,"40120",8451,250
5350,20,394,"42030",5337,211
1555,21,55,"42110",1550,37
2459,22,402,"42250",2613,192
4480,23,217,"42600",4715,128
1362,24,220,"42750",1432,232
348,25,20,"43080",366,6
251,26,25,"43220",268,14
628,27,13,"43360",601,9
3867,28,607,"43650",3987,343
1243,29,91,"43710",1266,79
null,3,null,"40150",null,null
2552,30,51,"43790",2541,39
null,31,null,"44000",null,null
12652,32,790,"44060",13054,860
2632,33,94,"44210",2618,41
9565,34,2857,"44340",9626,2728
8120,35,505,"44550",8301,323
4902,36,1435,"44620",4929,933
837,37,36,"44830",878,34
4688,38,455,"45040",4510,334
1924,39,80,"45090",2025,63
7377,4,638,"40220",7496,340
1301,40,125,"45120",1338,96
3053,41,268,"45290",3313,141
32252,42,2357,"45340",32693,1670
243,43,9,"45400",258,6
574,44,140,"45540",578,55
16682,45,2820,"45680",16409,1846
16117,46,1804,"45890",16723,1505
3304,47,353,"46090",3467,173
2587,48,446,"46300",2622,280
3287,49,357,"46450",3106,369
null,5,null,"40250",null,null
2394,50,414,"46510",2502,198
1654,51,96,"46670",1715,108
446,52,28,"46860",437,15
582,53,81,"46970",572,68
21860,54,2412,"47140",21838,1631
641,55,52,"47290",619,33
602,56,68,"47490",603,18
1524,57,76,"47630",1639,78
17350,58,1820,"47700",17523,410
1713,59,174,"47800",1744,155
5166,6,619,"40310",5379,415
583,60,57,"47910",582,34
4435,61,354,"47980",4591,398
3005,62,775,"48050",3091,725
1653,63,273,"48130",1716,123
902,64,112,"48260",925,83
3311,65,118,"48340",3370,76
6447,66,826,"48410",6555,549
4241,67,1314,"48540",4209,1166
285,68,27,"48640",275,19
1478,69,366,"48750",1565,291
590,7,58,"40430",624,26
2660,70,209,"48830",2693,110
257,71,40,"49399",204,12
2237,8,246,"40520",2250,194
5183,9,786,"40700",5332,347
