SA4_MAIN11,Bosnia_Herzegovina_Befre_1941,Bosnia_Herzegovina_1941_1950,Bosnia_Herzegovina_1951_1960,Bosnia_Herzegovina_1961_1970,Bosnia_Herzegovina_1971_1980,Bosnia_Herzegovina_1981_1990,Bosnia_Herzegovina_1991_2000,Bosnia_Herzegovina_2001_2005,Bosnia_Herzegovina_2006,Bosnia_Herzegovina_2007,Bosnia_Herzegovina_2008,Bosnia_Herzegovina_2009,Bosnia_Herzegovina_2010,Bosnia_Herzegovina_2011,Bosnia_Herzegovina_arrival_ns,Bosnia_Herzegovina_Tot,Cambodia_Before_1941,Cambodia_1941_1950,Cambodia_1951_1960,Cambodia_1961_1970,Cambodia_1971_1980,Cambodia_1981_1990,Cambodia_1991_2000,Cambodia_2001_2005,Cambodia_2006,Cambodia_2007,Cambodia_2008,Cambodia_2009,Cambodia_2010,Cambodia_2011,Cambodia_Yr_arrival_ns,Cambodia_Tot,Canada_Before_1941,Canada_1941_1950,Canada_1951_1960,Canada_1961_1970,Canada_1971_1980,Canada_1981_1990,Canada_1991_2000,Canada_2001_2005,Canada_2006,Canada_2007,Canada_2008,Canada_2009,Canada_2010,Canada_2011,Canada_Yr_arrival_NS,Canada_Tot,China_exc_SARs_Taiw_Bef_1941,China_exc_SARs_Taiwan_41_50,China_exc_SARs_Taiwan_51_60,China_exc_SARs_Taiwan_61_70,China_exc_SARs_Taiwan_71_80,China_exc_SARs_Taiwan_81_90,China_exc_SARs_Taiwan_91_00,China_exc_SARs_Taiwan_01_05,China_exc_SARs_Taiwan_2006,China_exc_SARs_Taiwan_2007,China_exc_SARs_Taiwan_2008,China_exc_SARs_Taiwan_2009,China_exc_SARs_Taiwan_2010,China_exc_SARs_Taiwan_2011,China_exc_SARs_Tawan_arr_ns,China_exc_SARs_Taiwan_Tot,Croatia_Before_1941,Croatia_1941_1950,Croatia_1951_1960,Croatia_1961_1970,Croatia_1971_1980,Croatia_1981_1990,Croatia_1991_2000,Croatia_2001_2005,Croatia_2006,Croatia_2007,Croatia_2008,Croatia_2009,Croatia_2010,Croatia_2011,Croatia_Yr_arrival_NS,Croatia_Tot,Egypt_Before_1941,Egypt_1941_1950,Egypt_1951_1960,Egypt_1961_1970,Egypt_1971_1980,Egypt_1981_1990,Egypt_1991_2000,Egypt_2001_2005,Egypt_2006,Egypt_2007,Egypt_2008,Egypt_2009,Egypt_2010,Egypt_2011,Egypt_Yr_arrival_NS,Egypt_Tot,Fiji_Before_1941,Fiji_1941_1950,Fiji_1951_1960,Fiji_1961_1970,Fiji_1971_1980,Fiji_1981_1990,Fiji_1991_2000,Fiji_2001_2005,Fiji_2006,Fiji_2007,Fiji_2008,Fiji_2009,Fiji_2010,Fiji_2011,Fiji_Yr_arrival_NS,Fiji_Tot,Frmr_Y_R_M_FYROM_Bef_1941,Frmr_Y_R_M_FYROM_1941_1950,Frmr_Y_R_M_FYROM_1951_1960,Frmr_Y_R_M_FYROM_1961_1970,Frmr_Y_R_M_FYROM_1971_1980,Frmr_Y_R_M_FYROM_1981_1990,Frmr_Y_R_M_FYROM_1991_2000,Frmr_Y_R_M_FYROM_2001_2005,Frmr_Yug_Rep_Mac_FYROM_2006,Frmr_Yug_Rep_Mac_FYROM_2007,Frmr_Yug_Rep_Mac_FYROM_2008,Frmr_Yug_Rep_Mac_FYROM_2009,Frmr_Yug_Rep_Mac_FYROM_2010,Frmr_Yug_Rep_Mac_FYROM_2011,Frmr_Y_R_M_FYROM_arrival_ns,Frmr_Yug_Rep_Mac_FYROM_Tot,Germany_Before_1941,Germany_1941_1950,Germany_1951_1960,Germany_1961_1970,Germany_1971_1980,Germany_1981_1990,Germany_1991_2000,Germany_2001_2005,Germany_2006,Germany_2007,Germany_2008,Germany_2009,Germany_2010,Germany_2011,Germany_Yr_arrival_NS,Germany_Tot,Greece_Before_1941,Greece_1941_1950,Greece_1951_1960,Greece_1961_1970,Greece_1971_1980,Greece_1981_1990,Greece_1991_2000,Greece_2001_2005,Greece_2006,Greece_2007,Greece_2008,Greece_2009,Greece_2010,Greece_2011,Greece_Yr_arrival_NS,Greece_Tot,Hng_Kng_SAR_China_Bfre_1941,Hng_Kng_SAR_China_1941_1950,Hng_Kng_SAR_China_1951_1960,Hng_Kng_SAR_China_1961_1970,Hng_Kng_SAR_China_1971_1980,Hng_Kng_SAR_China_1981_1990,Hng_Kng_SAR_China_1991_2000,Hng_Kng_SAR_China_2001_2005,Hong_Kong_SAR_China_2006,Hong_Kong_SAR_China_2007,Hong_Kong_SAR_China_2008,Hong_Kong_SAR_China_2009,Hong_Kong_SAR_China_2010,Hong_Kong_SAR_China_2011,Hng_Kng_SAR_Chna_arrival_ns,Hong_Kong_SAR_China_Tot,India_Before_1941,India_1941_1950,India_1951_1960,India_1961_1970,India_1971_1980,India_1981_1990,India_1991_2000,India_2001_2005,India_2006,India_2007,India_2008,India_2009,India_2010,India_2011,India_Yr_arrival_NS,India_Tot,Indonesia_Before_1941,Indonesia_1941_1950,Indonesia_1951_1960,Indonesia_1961_1970,Indonesia_1971_1980,Indonesia_1981_1990,Indonesia_1991_2000,Indonesia_2001_2005,SA4_NAME11
101,0,0,0,23,8,15,24,3,0,0,0,0,0,0,7,80,0,0,0,0,4,11,8,10,0,0,0,0,4,0,0,37,0,0,10,40,59,58,58,29,9,6,7,13,15,6,10,320,3,13,12,21,20,36,52,75,21,46,25,24,24,9,18,399,3,12,86,243,54,20,19,6,0,0,0,0,0,0,7,450,0,10,11,16,5,5,9,9,0,0,0,0,8,13,5,91,3,5,6,8,24,32,49,29,14,15,8,13,11,8,7,232,0,4,17,109,136,144,90,24,3,5,8,10,4,3,33,590,0,206,520,252,109,108,63,28,9,8,10,5,10,0,37,1365,4,10,88,156,29,7,8,4,0,0,0,0,0,0,19,325,4,0,5,12,18,16,13,6,0,5,0,0,0,0,7,86,4,14,16,37,33,16,52,85,40,41,105,116,57,30,34,680,0,3,25,15,13,14,17,16,Capital Region
102,0,0,5,11,9,7,26,3,0,0,3,0,0,0,3,67,0,0,0,4,8,6,15,5,5,3,0,3,0,0,6,55,8,3,12,62,82,56,127,74,13,12,15,15,9,8,21,517,7,28,51,47,42,138,174,151,35,56,59,33,38,12,40,911,0,7,49,124,35,12,10,8,0,0,0,0,0,0,14,259,0,34,90,101,37,18,29,8,0,9,3,0,5,0,18,352,0,3,13,27,51,103,75,21,0,3,6,4,8,7,12,333,0,0,0,13,9,5,3,0,0,0,0,0,0,0,5,35,4,175,374,171,104,114,70,50,20,9,27,14,9,0,43,1184,3,16,102,131,34,4,5,6,0,0,0,0,0,0,18,319,3,3,7,16,48,63,42,28,3,8,0,3,3,0,16,243,4,23,27,85,90,66,115,94,38,75,55,36,24,17,24,773,3,15,42,16,33,55,57,35,Central Coast
103,0,0,0,5,3,4,18,3,0,0,0,0,0,0,0,33,0,0,0,0,0,9,7,6,0,0,3,3,0,0,4,32,0,3,0,16,19,25,21,27,16,8,3,12,11,3,6,170,3,3,23,21,31,41,61,47,19,14,13,17,16,18,56,383,0,6,16,69,18,6,7,0,0,0,0,0,0,0,3,125,0,6,9,10,0,7,9,11,0,4,0,6,0,0,5,67,3,3,3,5,15,33,23,13,0,3,8,6,4,7,28,154,0,0,0,9,7,0,0,0,0,3,0,0,0,0,5,24,0,134,209,88,28,48,35,11,0,5,5,0,0,0,28,591,0,5,27,44,18,0,6,0,0,0,0,0,0,0,6,106,0,3,3,13,12,20,7,0,0,0,6,5,3,0,15,87,0,7,3,16,25,20,53,43,27,19,32,33,13,24,20,335,0,5,13,4,4,8,4,11,Central West
104,0,0,3,0,0,0,7,0,0,0,3,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,6,31,29,31,26,19,3,3,7,5,12,3,9,194,0,4,6,9,8,30,22,25,7,17,17,22,34,14,4,219,0,0,11,17,3,0,0,0,0,0,0,0,0,0,3,34,0,5,15,11,9,0,0,0,5,0,6,0,0,0,5,56,0,3,10,6,19,13,18,27,0,4,3,3,3,0,9,118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,74,191,87,50,95,70,43,3,4,6,11,3,5,25,670,0,0,9,12,4,0,0,0,0,0,0,0,0,0,0,25,0,3,3,19,9,14,12,3,0,0,3,0,3,0,3,72,3,15,28,70,64,120,70,59,22,53,83,103,14,9,38,751,0,3,6,6,5,6,9,10,Coffs Harbour - Grafton
105,0,0,3,6,3,0,3,3,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,3,5,3,5,5,3,9,3,0,6,0,0,4,0,3,49,0,4,4,3,8,32,22,29,10,17,5,10,0,11,9,164,0,0,10,28,9,0,4,0,0,0,0,0,0,0,0,51,0,0,4,4,0,3,9,3,0,0,0,9,0,0,0,32,0,0,0,3,5,12,10,4,9,11,8,0,0,0,15,77,0,0,0,4,5,3,0,0,0,0,0,0,0,0,0,12,0,36,85,55,18,24,10,12,0,4,3,0,3,0,12,262,0,8,21,22,3,0,3,0,0,0,0,0,0,0,9,66,3,0,0,3,10,10,3,7,0,0,0,0,0,0,3,39,0,3,4,8,10,11,21,45,15,22,20,33,15,7,11,225,0,0,3,3,0,4,8,4,Far West and Orana
106,0,0,0,3,4,0,13,0,0,0,0,0,0,0,0,20,0,0,0,0,0,3,3,0,0,0,0,0,3,0,6,15,4,10,5,20,24,27,53,38,11,4,12,3,9,4,4,228,0,4,13,18,22,71,47,52,23,21,21,16,13,15,17,353,0,5,18,59,21,0,12,0,0,0,0,0,0,0,3,118,0,3,27,14,5,7,5,3,3,0,0,3,5,0,3,78,3,0,6,10,18,25,31,9,3,6,9,3,3,0,9,135,0,0,3,8,16,3,3,0,0,3,0,0,3,0,3,42,3,253,327,115,51,68,31,16,7,0,10,4,12,4,27,928,0,0,37,31,7,0,7,0,0,0,0,0,0,0,5,87,0,4,6,12,22,24,25,7,0,0,0,0,0,4,5,109,3,19,6,29,37,22,47,82,33,30,43,32,28,18,14,443,0,4,8,5,4,11,23,13,Hunter Valley exc Newcastle
107,0,4,7,54,35,9,261,30,0,3,0,0,0,0,11,414,0,0,0,0,15,17,10,8,0,0,5,0,0,3,0,58,0,3,9,31,64,47,74,58,13,24,31,33,21,32,18,458,3,8,25,19,32,110,211,287,90,169,318,561,527,181,128,2669,3,4,226,453,103,35,250,124,3,0,0,3,3,0,20,1227,0,14,44,33,28,15,19,13,0,0,3,10,5,5,6,195,0,0,6,18,37,60,49,25,5,0,13,4,5,6,9,237,0,6,112,1566,1468,324,211,69,19,19,11,9,8,3,174,3999,6,270,947,308,99,94,77,29,9,8,7,9,5,7,69,1944,0,21,363,449,107,23,13,7,0,0,0,0,3,0,42,1028,0,0,5,13,37,44,41,25,13,12,6,13,16,9,9,243,4,17,13,70,95,49,96,116,39,85,105,127,52,35,34,937,0,4,10,14,15,21,56,54,Illawarra
108,0,3,0,5,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,11,8,0,0,0,0,0,0,0,0,19,0,3,7,31,47,35,43,32,9,4,0,3,0,3,13,230,0,7,16,14,14,30,37,25,18,19,9,4,7,13,8,221,0,6,23,41,7,8,3,6,0,0,0,0,0,0,7,101,3,13,30,21,9,3,0,6,3,3,9,0,3,0,5,108,3,4,10,13,13,27,25,9,3,3,5,16,3,0,5,139,0,0,0,6,3,0,3,0,0,0,0,0,0,0,3,15,6,149,296,138,70,78,44,18,3,3,9,6,10,0,21,851,3,3,25,16,10,3,0,0,0,0,0,0,0,0,5,65,5,3,3,14,19,12,6,6,0,0,0,7,3,0,6,84,3,22,13,45,33,12,20,29,21,15,18,8,13,14,17,283,3,13,22,13,4,8,9,8,Mid North Coast
109,0,3,3,5,4,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,4,4,0,3,0,0,0,0,0,11,0,0,0,12,7,5,18,11,4,3,3,0,3,6,0,72,0,3,0,0,9,11,27,23,11,8,7,7,4,9,3,122,0,3,9,42,8,0,8,0,0,0,0,0,0,0,0,70,0,0,7,4,3,0,3,0,7,0,3,0,0,4,3,34,0,0,0,7,6,22,7,9,5,3,3,6,3,0,0,71,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,3,95,225,77,10,25,12,11,0,6,0,0,3,5,23,495,0,7,26,24,7,5,0,3,0,0,0,0,3,6,7,88,0,0,0,3,3,11,3,3,0,3,3,0,3,0,3,35,0,12,4,10,14,5,24,36,73,88,70,66,38,12,17,469,0,0,4,0,0,0,5,8,Murray
110,0,0,0,4,3,0,3,0,0,0,0,0,0,0,0,10,0,0,0,0,4,0,0,3,0,0,0,0,0,0,0,7,0,3,3,14,33,23,25,16,4,3,3,10,8,3,6,154,3,0,3,4,11,23,59,69,17,26,31,31,71,46,39,433,0,0,7,12,3,3,0,3,0,0,0,0,0,0,0,28,0,3,9,3,3,0,0,3,0,3,3,0,4,3,0,34,3,3,0,3,7,32,13,14,0,3,4,8,12,10,8,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,138,63,44,41,41,22,3,3,3,11,7,8,15,439,3,6,7,17,3,0,0,0,0,0,0,0,0,0,3,39,0,0,0,7,13,13,19,9,0,0,3,3,6,0,7,80,3,9,0,15,12,13,29,33,29,32,31,19,17,5,13,260,0,3,12,7,5,8,17,5,New England and North West
