SA4_MAIN11,Sme_Usl_ad_1_yr_ago_as_2011_M,Sme_Usl_ad_1_yr_ago_as_2011_F,Sme_Usl_ad_1_yr_ago_as_2011_P,Dif_Usl_ad_1_yr_ago_Sme_SA2_M,Dif_Usl_ad_1_yr_ago_Sme_SA2_F,Dif_Usl_ad_1_yr_ago_Sme_SA2_P,Dif_Us_ad_1_ago_Dif_SA2_NSW_M,Dif_Us_ad_1_ago_Dif_SA2_NSW_F,Dif_Us_ad_1_ago_Dif_SA2_NSW_P,Dif_Us_ad_1_ago_Dif_SA2_Vic_M,Dif_Us_ad_1_ago_Dif_SA2_Vic_F,Dif_Us_ad_1_ago_Dif_SA2_Vic_P,Dif_Us_ad_1_ago_Dif_SA2_Qld_M,Dif_Us_ad_1_ago_Dif_SA2_Qld_F,Dif_Us_ad_1_ago_Dif_SA2_Qld_P,Dif_Us_ad_1_ago_Dif_SA2_SA_M,Dif_Us_ad_1_ago_Dif_SA2_SA_F,Dif_Us_ad_1_ago_Dif_SA2_SA_P,Dif_Us_ad_1_ago_Dif_SA2_WA_M,Dif_Us_ad_1_ago_Dif_SA2_WA_F,Dif_Us_ad_1_ago_Dif_SA2_WA_P,Dif_Us_ad_1_ago_Dif_SA2_Tas_M,Dif_Us_ad_1_ago_Dif_SA2_Tas_F,Dif_Us_ad_1_ago_Dif_SA2_Tas_P,Dif_Us_ad_1_ago_Dif_SA2_NT_M,Dif_Us_ad_1_ago_Dif_SA2_NT_F,Dif_Us_ad_1_ago_Dif_SA2_NT_P,Dif_Us_ad_1_ago_Dif_SA2_ACT_M,Dif_Us_ad_1_ago_Dif_SA2_ACT_F,Dif_Us_ad_1_ago_Dif_SA2_ACT_P,Dif_Us_ad_1_ago_Dif_SA2_OT_M,Dif_Us_ad_1_ago_Dif_SA2_OT_F,Dif_Us_ad_1_ago_Dif_SA2_OT_P,Dif_Us_ad_1_ago_Dif_SA2_Tot_M,Dif_Us_ad_1_ago_Dif_SA2_Tot_F,Dif_Us_ad_1_ago_Dif_SA2_Tot_P,Difnt_Usl_add_1_yr_ago_OS_M,Difnt_Usl_add_1_yr_ago_OS_F,Difnt_Usl_add_1_yr_ago_OS_P,Difnt_Usl_add_1_yr_ago_Ns_M,Difnt_Usl_add_1_yr_ago_Ns_F,Difnt_Usl_add_1_yr_ago_Ns_P,Difnt_Usl_add_1_yr_ago_Tot_M,Difnt_Usl_add_1_yr_ago_Tot_F,Difnt_Usl_add_1_yr_ago_Tot_P,N_stated_M,N_stated_F,N_stated_P,Tot_M,Tot_F,Tot_P,SA4_NAME11
101,82423,83773,166196,4785,5174,9959,5451,5636,11087,437,425,862,517,514,1031,78,90,168,131,124,255,53,49,102,73,83,156,1701,1828,3529,8,5,13,8449,8754,17203,542,582,1124,169,160,329,13945,14670,28615,5998,4618,10616,102366,103061,205427,Capital Region
102,122170,131267,253437,4705,5402,10107,12812,13873,26685,180,195,375,476,548,1024,46,51,97,113,137,250,37,44,81,27,47,74,63,48,111,0,0,0,13754,14943,28697,760,795,1555,366,363,729,19585,21503,41088,7053,6898,13951,148808,159668,308476,Central Coast
103,77496,78766,156262,5201,5581,10782,6453,6790,13243,184,162,346,542,545,1087,66,66,132,142,139,281,47,59,106,70,72,142,93,110,203,0,0,0,7597,7943,15540,362,355,717,175,136,311,13335,14015,27350,6158,4419,10577,96989,97200,194189,Central West
104,50666,53125,103791,3497,4002,7499,4324,4732,9056,174,195,369,723,772,1495,34,49,83,92,81,173,26,29,55,53,55,108,59,56,115,0,0,0,5485,5969,11454,324,364,688,183,161,344,9489,10496,19985,2903,2506,5409,63058,66127,129185,Coffs Harbour - Grafton
105,44504,45532,90036,2835,3074,5909,3346,3597,6943,162,166,328,377,362,739,129,129,258,57,52,109,15,33,48,59,33,92,27,33,60,0,0,0,4172,4405,8577,175,179,354,132,117,249,7314,7775,15089,3889,3001,6890,55707,56308,112015,Far West and Orana
106,96065,98152,194217,5735,6336,12071,8463,8813,17276,286,245,531,944,819,1763,117,103,220,234,227,461,46,36,82,164,137,301,75,78,153,3,3,6,10332,10461,20793,540,525,1065,222,196,418,16829,17518,34347,6363,5111,11474,119257,120781,240038,Hunter Valley exc Newcastle
107,112118,115575,227693,4759,4973,9732,9887,10415,20302,164,169,333,359,351,710,55,64,119,100,86,186,31,20,51,31,47,78,130,152,282,0,0,0,10757,11304,22061,1243,1256,2499,194,162,356,16953,17695,34648,5463,4954,10417,134534,138224,272758,Illawarra
108,78307,82880,161187,5116,5607,10723,6835,7522,14357,176,189,365,676,680,1356,43,53,96,100,94,194,39,61,100,62,54,116,68,69,137,0,0,0,7999,8722,16721,289,344,633,184,176,360,13588,14849,28437,5004,4444,9448,96899,102173,199072,Mid North Coast
109,44072,44754,88826,2185,2576,4761,2524,2754,5278,1530,1742,3272,242,266,508,92,82,174,55,63,118,25,34,59,65,61,126,46,53,99,0,0,0,4579,5055,9634,271,332,603,127,92,219,7162,8055,15217,2680,2307,4987,53914,55116,109030,Murray
110,68527,70395,138922,4999,5445,10444,5552,6056,11608,123,106,229,966,1019,1985,47,57,104,65,48,113,25,49,74,53,57,110,51,37,88,0,0,0,6882,7429,14311,432,458,890,187,158,345,12500,13490,25990,4704,4250,8954,85731,88135,173866,New England and North West
111,136042,142417,278459,4630,4937,9567,15175,16056,31231,281,262,543,650,640,1290,94,73,167,169,135,304,51,50,101,99,97,196,115,101,216,0,0,0,16634,17414,34048,1213,1326,2539,322,290,612,22799,23967,46766,6965,6308,13273,165806,172692,338498,Newcastle and Lake Macquarie
112,88203,93427,181630,5212,5796,11008,6724,7524,14248,406,427,833,2055,2330,4385,71,91,162,119,122,241,75,71,146,77,86,163,47,51,98,0,3,3,9574,10705,20279,677,766,1443,245,238,483,15708,17505,33213,5366,4977,10343,109277,115909,225186,Richmond - Tweed
113,59042,60317,119359,3774,4042,7816,4698,5036,9734,441,405,846,596,439,1035,98,72,170,90,57,147,47,30,77,94,88,182,138,147,285,4,0,4,6206,6274,12480,438,426,864,147,100,247,10565,10842,21407,4299,3122,7421,73906,74281,148187,Riverina
114,53580,56697,110277,2959,3346,6305,4651,5053,9704,107,124,231,299,307,606,29,30,59,71,60,131,29,20,49,39,35,74,159,170,329,6,3,9,5390,5802,11192,259,293,552,120,107,227,8728,9548,18276,3831,3198,7029,66139,69443,135582,Southern Highlands and Shoalhaven
115,89003,91080,180083,1794,1857,3651,7285,7603,14888,150,170,320,177,176,353,42,42,84,64,81,145,16,16,32,18,14,32,41,35,76,0,0,0,7793,8137,15930,1061,1135,2196,127,116,243,10775,11245,22020,3081,2951,6032,102859,105276,208135,Sydney - Baulkham Hills and Hawkesbury
116,123367,126375,249742,3310,3359,6669,12248,12268,24516,147,143,290,253,269,522,67,68,135,66,56,122,11,11,22,29,19,48,49,57,106,5,0,5,12875,12891,25766,1627,1939,3566,240,213,453,18052,18402,36454,6771,5566,12337,148190,150343,298533,Sydney - Blacktown
117,91613,86334,177947,4346,4212,8558,15578,15238,30816,749,645,1394,623,678,1301,172,162,334,280,289,569,57,47,104,69,61,130,277,234,511,0,4,4,17805,17358,35163,5588,5750,11338,251,237,488,27990,27557,55547,15646,12429,28075,135249,126320,261569,Sydney - City and Inner South
118,86123,92679,178802,3970,4255,8225,11281,12471,23752,465,515,980,438,538,976,90,106,196,152,175,327,17,31,48,48,37,85,199,201,400,10,8,18,12700,14082,26782,4356,4586,8942,179,174,353,21205,23097,44302,12540,10547,23087,119868,126323,246191,Sydney - Eastern Suburbs
119,210738,218798,429536,5810,5614,11424,18518,18430,36948,227,213,440,325,337,662,104,93,197,99,103,202,23,10,33,37,24,61,75,83,158,5,5,10,19413,19298,38711,3839,4324,8163,351,325,676,29413,29561,58974,14396,13332,27728,254547,261691,516238,Sydney - Inner South West
120,97879,104946,202825,3633,3726,7359,11981,12956,24937,414,388,802,325,348,673,131,107,238,135,140,275,35,42,77,36,30,66,113,132,245,5,0,5,13175,14143,27318,2894,3395,6289,203,181,384,19905,21445,41350,8255,7347,15602,126039,133738,259777,Sydney - Inner West
121,141850,153971,295821,5041,5443,10484,15553,16856,32409,513,519,1032,509,569,1078,122,134,256,204,223,427,42,52,94,35,47,82,171,155,326,6,0,6,17155,18555,35710,5017,5717,10734,179,224,403,27392,29939,57331,8543,8419,16962,177785,192329,370114,Sydney - North Sydney and Hornsby
122,92867,97394,190261,4089,4179,8268,9662,10063,19725,193,221,414,268,267,535,48,38,86,90,91,181,21,33,54,18,22,40,54,47,101,0,4,4,10354,10786,21140,2221,2364,4585,222,270,492,16886,17599,34485,4975,4616,9591,114728,119609,234337,Sydney - Northern Beaches
123,95561,99088,194649,2982,3359,6341,9155,9568,18723,99,90,189,264,307,571,25,25,50,56,49,105,13,13,26,19,12,31,38,25,63,0,0,0,9669,10089,19758,616,710,1326,204,168,372,13471,14326,27797,4924,5055,9979,113956,118469,232425,Sydney - Outer South West
124,116682,121830,238512,4067,4247,8314,10262,11018,21280,172,173,345,325,349,674,52,43,95,93,87,180,35,27,62,50,39,89,63,73,136,0,3,3,11052,11812,22864,625,752,1377,195,173,368,15939,16984,32923,6658,6050,12708,139279,144864,284143,Sydney - Outer West and Blue Mountains
125,154924,157108,312032,5487,5007,10494,16156,15410,31566,334,293,627,351,314,665,110,96,206,122,102,224,19,17,36,20,16,36,94,71,165,13,3,16,17219,16322,33541,3789,4396,8185,298,267,565,26793,25992,52785,13322,10240,23562,195039,193340,388379,Sydney - Parramatta
