SA4_MAIN11,One_method_Train_M,One_method_Train_F,One_method_Train_P,One_method_Bus_M,One_method_Bus_F,One_method_Bus_P,One_method_Ferry_M,One_method_Ferry_F,One_method_Ferry_P,One_met_Tram_incl_lt_rail_M,One_met_Tram_incl_lt_rail_F,One_met_Tram_incl_lt_rail_P,One_method_Taxi_M,One_method_Taxi_F,One_method_Taxi_P,One_method_Car_as_driver_M,One_method_Car_as_driver_F,One_method_Car_as_driver_P,One_method_Car_as_passenger_M,One_method_Car_as_passenger_F,One_method_Car_as_passenger_P,One_method_Truck_M,One_method_Truck_F,One_method_Truck_P,One_method_Motorbike_scootr_M,One_method_Motorbike_scootr_F,One_method_Motorbike_scootr_P,One_method_Bicycle_M,One_method_Bicycle_F,One_method_Bicycle_P,One_method_Other_M,One_method_Other_F,One_method_Other_P,One_method_Walked_only_M,One_method_Walked_only_F,One_method_Walked_only_P,One_method_Tot_one_method_M,One_method_Tot_one_method_F,One_method_Tot_one_method_P,Two_methods_Train_Bus_M,Two_methods_Train_Bus_F,Two_methods_Train_Bus_P,Two_methods_Train_Ferry_M,Two_methods_Train_Ferry_F,Two_methods_Train_Ferry_P,Two_mt_trn_Trm_incl_lt_rl_M,Two_mt_trn_Trm_incl_lt_rl_F,Two_mt_trn_Trm_incl_lt_rl_P,Two_methods_Trn_Car_as_drvr_M,Two_methods_Trn_Car_as_drvr_F,Two_methods_Trn_Car_as_drvr_P,Two_methods_Trn_Car_as_pass_M,Two_methods_Trn_Car_as_pass_F,Two_methods_Trn_Car_as_pass_P,Two_methods_Train_Other_M,Two_methods_Train_Other_F,Two_methods_Train_Other_P,Two_methods_Train_Tot_M,Two_methods_Train_Tot_F,Two_methods_Train_Tot_P,Two_methods_Bus_Ferry_M,Two_methods_Bus_Ferry_F,Two_methods_Bus_Ferry_P,Two_mth_Bu_Trm_inc_lt_rl_M,Two_mth_Bu_Trm_inc_lt_rl_F,Two_mth_Bu_Trm_inc_lt_rl_P,Two_methods_Bus_Car_as_drvr_M,Two_methods_Bus_Car_as_drvr_F,Two_methods_Bus_Car_as_drvr_P,Two_methods_Bus_Car_as_pass_M,Two_methods_Bus_Car_as_pass_F,Two_methods_Bus_Car_as_pass_P,Two_methods_Bus_Other_M,Two_methods_Bus_Other_F,Two_methods_Bus_Other_P,Two_methods_Bus_Tot_M,Two_methods_Bus_Tot_F,Two_methods_Bus_Tot_P,Two_methds_Othr_two_methds_M,Two_methds_Othr_two_methds_F,Two_methds_Othr_two_methds_P,Two_methods_Tot_two_methods_M,Two_methods_Tot_two_methods_F,Two_methods_Tot_two_methods_P,Three_meth_Trn_two_othr_met_M,Three_meth_Trn_two_othr_met_F,Three_meth_Trn_two_othr_met_P,Three_met_Bs_2_ot_met_ex_tr_M,Three_met_Bs_2_ot_met_ex_tr_F,Three_met_Bs_2_ot_met_ex_tr_P,Three_meth_Othr_three_meth_M,Three_meth_Othr_three_meth_F,Three_meth_Othr_three_meth_P,Three_meth_Tot_three_meth_M,Three_meth_Tot_three_meth_F,Three_meth_Tot_three_meth_P,Worked_home_M,Worked_home_F,Worked_home_P,Did_not_go_to_work_M,Did_not_go_to_work_F,Did_not_go_to_work_P,Method_travel_to_work_ns_M,Method_travel_to_work_ns_F,Method_travel_to_work_ns_P,Tot_M,Tot_F,Tot_P,SA4_NAME11
215,17,11,28,203,106,309,12,4,16,7,5,12,56,49,105,22129,17992,40121,1825,1807,3632,664,27,691,255,46,301,442,105,547,528,145,673,2189,1897,4086,28327,22194,50521,0,4,4,0,0,0,0,0,0,3,0,3,3,0,3,0,3,3,6,7,13,0,0,0,0,0,0,22,7,29,15,19,34,5,0,5,42,26,68,264,107,371,312,140,452,8,0,8,7,8,15,24,11,35,39,19,58,2874,2381,5255,2405,3965,6370,668,589,1257,34625,29288,63913,North West
216,18,13,31,82,123,205,15,3,18,6,8,14,36,42,78,19391,16194,35585,1565,1598,3163,504,16,520,327,41,368,480,108,588,231,75,306,1373,1248,2621,24028,19469,43497,0,3,3,0,0,0,0,3,3,3,3,6,3,3,6,0,0,0,6,12,18,4,0,4,0,0,0,3,3,6,5,8,13,3,4,7,15,15,30,198,83,281,219,110,329,4,5,9,5,4,9,14,3,17,23,12,35,2051,1764,3815,2107,3483,5590,523,435,958,28951,25273,54224,Shepparton
217,20,21,41,151,86,237,9,3,12,14,11,25,32,29,61,18799,15792,34591,1550,1504,3054,552,25,577,338,73,411,412,100,512,342,126,468,1844,1543,3387,24063,19313,43376,3,4,7,0,0,0,0,4,4,8,6,14,0,3,3,0,0,0,11,17,28,0,0,0,0,0,0,13,7,20,7,14,21,3,0,3,23,21,44,223,84,307,257,122,379,0,7,7,8,0,8,25,3,28,33,10,43,2877,2320,5197,2580,3957,6537,530,470,1000,30340,26192,56532,Warrnambool and South West
297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,13,0,13,11,0,11,27,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,0,3,33,0,33,Migratory - Offshore - Shipping (Vic.)
299,75,65,140,35,33,68,0,0,0,44,47,91,3,7,10,654,372,1026,88,50,138,27,3,30,6,0,6,28,18,46,32,14,46,150,147,297,1142,756,1898,15,12,27,0,0,0,12,17,29,8,7,15,4,7,11,0,3,3,39,46,85,0,0,0,0,3,3,0,0,0,0,0,0,5,0,5,5,3,8,16,7,23,60,56,116,11,17,28,0,0,0,3,0,3,14,17,31,38,33,71,162,165,327,26,16,42,1442,1043,2485,Special Purpose Codes SA4 (Vic.)
301,1862,2002,3864,1033,1278,2311,53,56,109,5,0,5,77,58,135,36674,30127,66801,2478,3068,5546,1339,21,1360,824,60,884,440,81,521,425,167,592,871,973,1844,46081,37891,83972,171,180,351,3,4,7,0,0,0,438,493,931,91,148,239,64,23,87,767,848,1615,19,28,47,0,0,0,172,311,483,61,155,216,12,19,31,264,513,777,743,471,1214,1774,1832,3606,96,133,229,28,50,78,79,36,115,203,219,422,1813,2910,4723,4078,6545,10623,718,644,1362,54667,50041,104708,Brisbane - East
302,3182,3492,6674,2231,2956,5187,12,5,17,6,9,15,119,85,204,30737,24524,55261,2180,3117,5297,843,13,856,925,94,1019,801,122,923,300,132,432,1082,1175,2257,42418,35724,78142,409,408,817,0,0,0,0,0,0,813,967,1780,146,275,421,120,27,147,1488,1677,3165,0,7,7,4,0,4,121,197,318,61,182,243,33,25,58,219,411,630,315,164,479,2022,2252,4274,146,185,331,22,28,50,22,10,32,190,223,413,1374,1902,3276,3986,6605,10591,631,581,1212,50621,47287,97908,Brisbane - North
303,2093,2014,4107,7807,10130,17937,26,27,53,10,3,13,299,168,467,51079,37838,88917,3422,5658,9080,1060,36,1096,1273,171,1444,1735,373,2108,499,208,707,1791,1965,3756,71094,58591,129685,544,542,1086,0,0,0,4,0,4,328,342,670,69,105,174,48,35,83,993,1024,2017,17,8,25,0,0,0,553,773,1326,254,576,830,99,65,164,923,1422,2345,600,359,959,2516,2805,5321,196,160,356,70,74,144,45,19,64,311,253,564,2641,3263,5904,5805,9819,15624,1053,942,1995,83420,75673,159093,Brisbane - South
304,3023,2809,5832,2487,2653,5140,96,71,167,8,3,11,105,54,159,25557,21004,46561,1499,2627,4126,436,15,451,776,82,858,1361,248,1609,271,121,392,1645,1260,2905,37264,30947,68211,457,460,917,5,0,5,0,5,5,588,595,1183,140,202,342,100,26,126,1290,1288,2578,19,24,43,0,0,0,191,233,424,92,165,257,37,16,53,339,438,777,377,215,592,2006,1941,3947,184,167,351,27,26,53,43,10,53,254,203,457,2056,2492,4548,3633,6114,9747,424,393,817,45637,42090,87727,Brisbane - West
305,3403,3262,6665,5976,7731,13707,995,986,1981,21,15,36,365,295,660,32427,24779,57206,2205,3667,5872,386,11,397,1267,259,1526,2684,843,3527,480,222,702,6668,6288,12956,56877,48358,105235,619,675,1294,22,17,39,0,0,0,194,230,424,66,108,174,100,40,140,1001,1070,2071,175,192,367,0,0,0,121,181,302,110,192,302,131,117,248,537,682,1219,513,367,880,2051,2119,4170,194,183,377,84,67,151,74,24,98,352,274,626,2546,3199,5745,4705,7721,12426,649,629,1278,67180,62300,129480,Brisbane Inner City
