sa4_code_2016,earners_persons_2010_11,earners_persons_2011_12,earners_persons_2012_13,earners_persons_2013_14,earners_persons_2014_15,median_age_of_earners_years_2010_11,median_age_of_earners_years_2011_12,median_age_of_earners_years_2012_13,median_age_of_earners_years_2013_14,median_age_of_earners_years_2014_15,income_aud_2010_11,income_aud_2011_12,income_aud_2012_13,income_aud_2013_14,income_aud_2014_15,median_aud_2010_11,median_aud_2011_12,median_aud_2012_13,median_aud_2013_14,median_aud_2014_15,mean_aud_2010_11,mean_aud_2011_12,mean_aud_2012_13,mean_aud_2013_14,mean_aud_2014_15,main_source_pc_of_earners_2010_11,main_source_pc_of_earners_2011_12,main_source_pc_of_earners_2012_13,main_source_pc_of_earners_2013_14,main_source_pc_of_earners_2014_15,sa4_name16
101,94319,97105,99120,100552,104691,41,42,42,42,42,4330027698,4658907980,4920339516,5139421589,5480573575,39479,41220,42419,43631,44678,45908,47978,49640,51112,52350,71.8,72.1,72.1,72.2,71.5,Capital Region
102,139518,142522,146358,149461,156043,40,40,41,41,41,6406501629,6853185468,7279047552,7643387642,8223713954,39288,41066,42282,43321,44668,45919,48085,49735,51140,52702,76.5,76.7,76.7,77.0,76.7,Central Coast
103,85983,88559,90221,91293,93976,40,40,40,41,41,3899204162,4272222344,4474434399,4612381902,4860546686,38288,40522,41555,42290,43689,45349,48242,49594,50523,51721,74.6,75.2,75.0,75.1,74.4,Central West
104,53502,54096,55294,56742,59085,42,42,42,42,42,2050755702,2167983563,2335147859,2447566801,2630796172,32751,33889,35646,36831,38010,38330,40077,42231,43135,44526,70.2,70.6,70.6,71.2,70.8,Coffs Harbour - Grafton
105,48047,49714,50670,51185,52726,40,40,40,40,40,2011756382,2191109413,2325115488,2408500676,2559903647,36720,38683,40049,41266,42441,41871,44074,45887,47055,48551,75.3,76.0,76.2,76.5,75.5,Far West and Orana
106,113117,117541,120169,121107,125069,39,39,39,40,40,5809702838,6498177973,6832025075,6950720889,7265031032,41732,44381,45315,45982,46577,51360,55284,56853,57393,58088,79.8,80.5,80.4,80.2,79.7,Hunter Valley exc Newcastle
107,126564,128524,131255,134985,141156,39,40,40,40,40,6438937481,6858649603,7162780791,7574212500,8092510652,42717,44637,45493,46714,47692,50875,53365,54571,56112,57330,79.5,79.4,79.1,79.2,78.8,Illawarra
108,75480,76727,78062,79636,83097,43,43,43,44,44,2906084633,3125889831,3304574558,3440919280,3709181205,33057,34697,35929,36913,38165,38501,40740,42333,43208,44637,67.2,67.8,67.6,68.1,67.8,Mid North Coast
109,50002,50866,51752,52610,54707,41,41,41,41,41,2030459166,2161409747,2263672835,2361889959,2514228539,36257,38000,38773,39857,40734,40608,42492,43741,44894,45958,71.7,72.0,71.7,71.9,71.1,Murray
110,75680,77572,79234,80154,82411,40,40,40,40,40,3013314639,3256855013,3452934544,3590531016,3822320598,35257,36788,38157,39300,40815,39817,41985,43579,44795,46381,72.4,72.8,72.7,73.2,72.4,New England and North West
111,166654,170197,173827,175335,180684,39,39,39,39,39,8296133877,8970558912,9440663561,9661904271,10193934786,42027,44349,45668,46388,47557,49781,52707,54311,55105,56419,79.6,79.7,79.5,79.4,78.7,Newcastle and Lake Macquarie
112,93669,94924,97998,101125,106070,41,42,42,42,42,3616841739,3859920819,4151243942,4420575029,4730006176,33296,34864,36000,37064,37821,38613,40663,42360,43714,44593,67.9,68.1,68.1,68.5,67.9,Richmond - Tweed
113,69107,70295,71799,72539,75417,39,39,39,39,39,2877065144,3052215457,3210187496,3345588248,3579542715,37588,39046,40201,41471,42929,41632,43420,44711,46121,47463,74.3,74.6,74.7,74.6,74.5,Riverina
114,55292,56413,57442,59303,62152,42,43,43,43,43,2375548937,2524550275,2657964092,2823797846,3125262967,35231,36743,37686,38810,40091,42964,44751,46272,47616,50284,67.8,68.0,67.7,67.9,67.6,Southern Highlands and Shoalhaven
115,107632,109933,113370,117255,124457,41,41,42,42,41,6605592545,6983143958,7418207977,7844038094,8566719278,47990,49840,51116,52496,54071,61372,63522,65434,66897,68833,76.2,75.8,75.7,76.0,75.4,Sydney - Baulkham Hills and Hawkesbury
116,145377,149684,155104,160778,171312,37,37,37,37,37,6995912031,7485014139,8012015496,8514881169,9303261505,44798,46482,47771,48804,49908,48123,50005,51656,52960,54306,88.0,88.0,87.6,87.6,87.0,Sydney - Blacktown
117,170764,176483,184996,193636,209401,32,32,32,32,33,9250593441,9975509237,10852887364,11879463112,13414109654,41946,43843,45762,47593,49669,54172,56524,58666,61349,64059,85.6,85.4,85.1,84.9,84.5,Sydney - City and Inner South
118,134309,137596,143789,149403,158375,35,35,35,35,35,9399866488,9856568207,10748072171,11731249432,12979010160,47886,50077,51967,53827,56304,69987,71634,74749,78521,81951,72.8,72.7,72.8,73.0,72.6,Sydney - Eastern Suburbs
119,237357,241978,248251,256218,272421,37,37,37,37,37,11146573366,11834470232,12494718159,13200372633,14422463434,40150,41845,43077,44005,45083,46961,48907,50331,51520,52942,78.6,78.5,78.3,78.4,78.0,Sydney - Inner South West
120,140401,143216,149373,154958,165217,36,37,37,37,37,8573722652,9116959356,9827819170,10485062390,11553752100,47126,49434,51191,52310,53902,61066,63659,65794,67664,69931,78.6,78.6,78.2,78.4,77.8,Sydney - Inner West
121,192634,196914,204245,210911,223585,39,39,40,40,40,15422257914,16081281328,17336606194,18543961799,20299871614,52640,55191,56960,58781,60667,80060,81667,84881,87923,90793,69.7,69.8,69.9,70.1,69.9,Sydney - North Sydney and Hornsby
122,124040,128132,133251,136698,145117,39,40,40,40,40,8067826615,8590750780,9290399553,10009838716,11182888098,45500,47454,49007,51057,52994,65042,67046,69721,73226,77061,70.8,71.0,71.0,71.2,71.1,Sydney - Northern Beaches
123,117788,121027,124031,128163,134848,38,39,39,39,39,5766316160,6191618856,6512242742,6870877714,7433724793,44452,46119,47204,48223,49536,48955,51159,52505,53610,55127,86.4,86.4,86.1,86.0,85.5,Sydney - Outer South West
124,145430,147638,150861,154757,162485,39,39,39,39,39,7204099857,7609321963,7993568514,8411347703,9053428708,44665,46423,47782,48839,50090,49537,51540,52986,54352,55719,83.2,83.1,83.0,83.0,82.6,Sydney - Outer West and Blue Mountains
125,181188,185406,192788,199518,212122,35,36,36,36,35,8460898302,9028710949,9675295682,10254636377,11209434941,41001,42753,44046,45039,46177,46697,48697,50186,51397,52844,81.2,81.2,81.0,80.9,80.2,Sydney - Parramatta
126,82248,84742,88018,90797,96541,39,39,39,39,38,4993327856,5315243717,5725974056,6076071882,6631591594,46850,48927,50469,51885,53242,60711,62723,65055,66919,68692,74.5,74.6,74.5,74.7,74.6,Sydney - Ryde
127,151628,155573,160767,166465,176820,38,38,38,38,37,6752120949,7208411237,7662824608,8118766824,8924982160,40794,42232,43290,44179,45572,44531,46335,47664,48772,50475,83.4,83.5,83.2,83.1,82.5,Sydney - South West
128,111615,113625,116065,118515,123640,40,40,40,41,41,6559194541,6911584323,7260619274,7633225924,8256353901,48000,49999,51134,52504,54146,58766,60828,62556,64407,66777,77.0,77.0,77.0,77.1,76.8,Sydney - Sutherland
