sa4_code11,hay_lucerne_cut_for_hay,brdacrcrp_crlcrp_wheat,brdacrcrp_crlcrp_oats,brdacrcrp_crlcrp_brly,brdacrcrp_crlcrp_srgum,brdacrcrp_crlcrp_maize,brdacrcrp_crlcrp_rice,brdacrcrp_crlcrp_tritcle,brdacrcrp_crlcrp_oth_crl,brdacrcrp_othcrp_nec,brdacrcrp_non_crlcrp_mung_bean,brdacrcrp_non_crlcrp_cotton,brdacrcrp_non_crlcrp_lupins,brdacrcrp_non_crlcrp_peanuts,brdacrcrp_non_crlcrp_chickpeas,brdacrcrp_non_crlcrp_oilseed_canola,brdacrcrp_non_crlcrp_oilseed_oth,brdacrcrp_non_crlcrp_oth_pulses,brdacrcrp_non_crlcrp_sugar_cane,brdacrcrp_non_crlcrp_lentils,brdacrcrp_non_crlcrp_faba_beans,nursry_flwrs_turf_turf,brdacrcrp_total,nursry_flwrs_turf_nursry_undcov,nursry_flwrs_turf_nursry_outdoor,nursry_flwrs_turf_nurseries,nursry_flwrs_turf_cut_flwrs_undcov,nursry_flwrs_turf_cut_flwrs_outdoor,nursry_flwrs_turf_cut_flwrs,nursry_flwrs_turf_total,hay_total,hay_crl_for_hay,hay_oth_crp_for_hay,hay_oth_psture_for_hay,veggies_potatoe,veggies_beans,veggies_broccoli,veggies_brssl_sprts,veggies_cabbages,veggies_carrots,veggies_cauliflowers,veggies_mushrooms,veggies_peas_process,veggies_peas_fresh,veggies_pumpkins,veggies_tomatoes_process,veggies_lettuces,veggies_onions,veggies_sweet_corn,veggies_tomatoes_fresh,veggies_capsicum,veggies_melons,veggies_oth_nec,veggies_total,frt_nut_citrus_oranges,frt_nut_citrus_grapefruits,frt_nut_citrus_lemons,frt_nut_citrus_limes,frt_nut_citrus_mandarins,frt_nut_citrus_oth_nec,frt_nut_pome_frt_apples,frt_nut_pome_frt_pear,frt_nut_pome_frt_oth_nec,frt_nut_stn_frt_apricots,frt_nut_orchard_fruit_avocados,frt_nut_stn_frt_cherries,frt_nut_orchard_fruit_mangoes,frt_nut_stn_frt_nectarines,frt_nut_stn_frt_peaches,frt_nut_stn_frt_plums,frt_nut_stn_frt_oth_nec,frt_nut_orchard_fruit_oth_nec,frt_nut_nuts_almonds,frt_nut_nuts_macadamias,frt_nut_nuts_oth_nec,frt_nut_oth_frt_blueberries,frt_nut_oth_frt_strawberries,frt_nut_oth_frt_oth_berr_nec,frt_nut_oth_frt_bananas,frt_nut_oth_frt_kiwifruit,frt_nut_oth_frt_pineapples,frt_nut_oth_frt_oth_nec,frt_nut_excl_grp_total,frt_nut_grapes_oth_use,frt_nut_grapes_wine_prod,frt_nut_grapes_total,total_crp_value,livstk_slght_oth_total,livstk_prod_total,total_agriculture,livstk_slght_oth_catl_calves,livstk_slght_oth_sheep_lamb,livstk_slght_oth_pigs,livstk_slght_oth_goats,livstk_slght_oth_poultry,livstk_slght_oth_oth_nec,livstk_prod_wool,livstk_prod_milk,livstk_prod_eggs,sa4_name11
101,10654727.0,48536836.0,4283681.0,4109219.2,32.88,97727.18,,2286583.8,1.64,506602.38,,,822521.4,,,41831832.0,,0.0,,,3677.63,81557.22,102478710.0,897548.0,4081587.8,4979136.0,66356.22,1910460.8,1976816.9,7037510.0,21238234.0,4984664.0,836698.9,4762145.0,599898.75,24668.59,9270.47,29.13,12122.16,1328.89,3746.92,3208991.8,,964.4,98787.46,282.57,4333.78,827.08,4376.18,81125.28,5586.08,35975.22,2530766.5,6623081.0,8505.22,26.91,5026.72,108.01,0.0,,42431.28,23655.68,1071.38,37841.73,,7789736.5,,241138.05,291475.8,2819631.0,61641.91,2162.32,,158.42,101094.73,15016.43,16816.37,478146.22,,,,140893.44,12076578.0,,1743240.6,1743240.6,151197360.0,397088100.0,258965460.0,807250940.0,207555950.0,119942500.0,34547252.0,102860.15,34939548.0,0.0,163841060.0,78666880.0,16457529.0,Capital Region
102,3055.86,,,,,,,,,,,,,,,,,,,,,3474661.0,,4402769.5,11739224.0,16141994.0,9554361.0,3626917.0,13181278.0,32797932.0,3055.86,,,,576.43,4816.33,33799.74,,382263.75,259888.3,251110.88,,,675.8,5113.12,,148316.89,,15928.63,1626263.6,28048.94,4829.88,5727861.5,8489494.0,702623.8,,1696562.6,16428.42,63161.21,74059.31,,,7277.86,,1870811.2,,,287313.6,54116.64,178867.77,,101941.03,,,,,,,,,,65645.63,5118809.0,,,,46409292.0,101839370.0,4900967.0,153149630.0,866367.44,8475.67,,73.36,100964460.0,0.0,8693.56,,4892273.5,Central Coast
103,33934416.0,329592260.0,39700656.0,130320280.0,914319.9,673890.44,,1841958.9,496380.06,1701732.1,705254.94,11860835.0,9756414.0,,3341258.0,113066250.0,218759.98,837986.25,,973252.4,2284228.2,2524281.8,648285700.0,374182.94,2247299.0,2621482.0,293364.0,127258.17,420622.16,5566386.0,77504032.0,33881160.0,3526627.5,6161823.0,1297621.6,33342.08,475670.1,69519.97,3341873.8,104691.65,3042941.0,,,57306.93,2640149.8,,731071.94,31102.49,940876.25,32919.35,7562.5,23095744.0,25861866.0,61764260.0,2368975.0,,,,,,14712117.0,147346.45,,12614.33,,8213006.5,,321706.38,789029.8,535512.4,,,,,527582.9,47877.63,132561.77,410886.4,,,,4728202.0,32947418.0,,7005282.5,7005282.5,833073090.0,449137540.0,269948800.0,1552159400.0,274435300.0,132933220.0,17630008.0,311490.1,23827514.0,0.0,181252910.0,39053944.0,49641936.0,Central West
104,359990.94,964213.75,31613.67,754713.8,11350.16,1150637.0,,135345.39,,55774.14,,,,,1254895.4,192203.48,838903.7,48704.0,30586408.0,1452.53,,306324.12,36026216.0,1965174.6,3743546.8,5708721.5,1406433.4,1202703.2,2609136.8,8624182.0,1931537.9,786497.3,49994.08,735055.5,1554978.6,0.0,,,1123.8,,,,,,3257.84,,0.0,,,794262.0,,29262.69,1684831.6,4068780.0,,,,4836.97,1745.62,,0.0,0.0,,0.0,1333996.1,0.0,81525.15,8168.04,12779.25,,,,,1704382.5,,83882744.0,4747.52,,2434216.2,61079.92,,,89547680.0,,2198.36,2198.36,140200590.0,59911944.0,24578544.0,224691090.0,59502860.0,28046.13,159972.84,72803.15,148262.67,0.0,32742.96,24508518.0,37283.6,Coffs Harbour - Grafton
105,7602253.0,268914820.0,18958552.0,60500252.0,13284171.0,544586.75,,780309.2,118159.62,1275194.5,3113345.5,188812030.0,10560428.0,,72682784.0,30064414.0,1109016.6,1005546.6,,,9850391.0,1934115.1,681574020.0,214918.17,949439.5,1164357.6,14680.24,490790.72,505470.94,3603943.8,37337048.0,24590112.0,2864706.2,2279979.0,1888.48,2507.13,28438.31,,63233.28,99692.67,113905.71,,,,43403.57,,,7040.07,530792.25,1324.51,,7804.04,402060.94,1302091.0,1029704.4,,883538.56,,,,,,,32162.11,,3421.43,,25335.8,29729.18,0.0,,,,,224771.03,,,,,,,552559.7,2781222.2,348409.9,28345.0,376754.9,726975100.0,500885700.0,218177890.0,1446038700.0,331901090.0,159775860.0,4041466.2,4552787.5,614487.3,0.0,205056220.0,13040746.0,80924.25,Far West and Orana
106,12772432.0,1819521.6,467269.38,1468229.1,316717.3,445177.16,,350.49,,,,,,,,1812483.1,,,,,,3102601.0,6355428.0,64003.76,337191.56,401195.3,,166970.73,166970.73,3670767.0,16194418.0,1685628.4,314025.2,1422333.0,641778.25,34.17,124.22,,28579.27,,98597.79,16559.09,8.65,,108942.8,,21403.34,,2534.1,116873.51,19.08,34978.47,416130.1,1486562.9,23365.08,277.58,866.58,3817.84,3774.64,,,,,,94000.27,,,51.2,40.05,,,30187.02,,5904.69,430729.34,,,174299.9,,,,10871.06,851573.25,,1867207.9,1867207.9,30425958.0,242550380.0,70850200.0,343826530.0,154233500.0,4797083.0,1239527.0,213051.14,82067208.0,0.0,7638878.5,41895424.0,21315898.0,Hunter Valley exc Newcastle
107,,,,,,,,,,,,,,,,,,,,,,,,50540.98,272392.2,322933.16,,,,322933.16,212999.2,,,212999.2,,,,,1252.58,,,,,,681.54,,1118.91,,,6934.11,2560.01,,30531.85,43079.0,,,,28653.76,,,418142.22,,,,,,,70060.65,161174.12,,,,,,,,,36382.18,,,,,714412.94,,,,1293424.4,5054989.0,16974394.0,23322808.0,5031242.0,,1034.88,100.09,22612.02,0.0,,16965956.0,8438.59,Illawarra
108,888552.8,564904.9,15607.88,,,1759313.5,,31132.72,,,,,,,,107544.44,434169.06,,,,,2966821.0,2912672.5,2077903.2,4588619.0,6666522.5,445357.25,3489133.5,3934490.8,13567834.0,4715226.0,535434.9,211475.39,3079762.8,6960.31,272446.75,31962.64,,,640.0,,32.12,,64146.76,323605.66,,43560.39,,3660.94,1289513.0,,1187.55,1804533.8,4059374.5,3346.67,141.93,15104.32,121454.76,317.49,13179.89,74.48,,,,12738701.0,,48906.04,36662.27,109280.54,567.13,,113514.68,,4295135.5,83967.45,296975.72,,,774746.9,38538.23,,,18874878.0,,21182.83,21182.83,44151168.0,131649940.0,113469020.0,289270110.0,86555160.0,45796.76,607205.6,12334.65,44429444.0,0.0,67263.88,87427128.0,25974632.0,Mid North Coast
109,14562119.0,244748720.0,10323752.0,87080336.0,497639.5,14065794.0,30462244.0,2926528.5,1456503.8,796879.5,,39423244.0,4401233.5,,1430399.9,99884376.0,75013.8,1496378.6,,1276786.6,8434298.0,,548780100.0,1450612.2,5728302.5,7178914.5,,90345.54,90345.54,7269260.0,62836080.0,28352050.0,4210091.5,15711816.0,20653988.0,57979.34,402721.38,,347263.34,,42599.71,,,36014.84,3250660.8,950787.0,1506196.1,1655784.9,,0.0,1939149.6,11502871.0,4986278.0,47332296.0,18096204.0,933377.5,1979306.4,42013.67,6007097.5,189631.6,6.95,16.94,,298608.47,2769099.5,26511.53,44798.93,1734011.5,826374.75,79737.76,,1435180.2,2201755.5,,4609508.5,,,687709.3,,,,1503751.2,43464704.0,56880748.0,48080100.0,104960850.0,814643330.0,401547780.0,245374000.0,1461565100.0,190150220.0,94239656.0,114385990.0,262666.38,2509245.0,0.0,123156680.0,116940060.0,5277264.5,Murray
110,16827064.0,350536100.0,7715309.0,204212540.0,143340190.0,7429970.0,,1249358.4,177003.11,1681564.2,18704976.0,435697340.0,809674.4,324800.3,288058400.0,20904010.0,9992692.0,2271997.5,2052158.4,427812.25,32508262.0,2298787.2,1528094200.0,102978.16,1022138.1,1125116.2,1254986.1,210231.8,1465217.9,4889121.5,42023392.0,18307408.0,4099983.0,2788940.2,1003535.2,4425529.5,1219.64,,75024.4,1297.25,0.0,,,,403076.03,,,0.0,209895.72,14464597.0,2623.27,9833.31,1050166.9,21662704.0,,,1113.52,,118.86,,311096.22,55692.69,,230.2,4250725.5,109471.33,0.0,26689.58,33040.42,3063.74,2438.11,,,124860.71,4060955.0,12344520.0,89178.2,,,,,,22596646.0,4156.99,240018.48,244175.48,1619510100.0,872916740.0,133490620.0,2625917400.0,686429950.0,68892616.0,4879026.5,497645.78,112217500.0,0.0,97713832.0,21488788.0,14288007.0,New England and North West
