SA4_MAIN11,Count_home_Census_Nt_0_14_yr,Count_hom_Census_Nt_15_24_yr,Count_hom_Census_Nt_25_34_yr,Count_hom_Census_Nt_35_44_yr,Count_hom_Census_Nt_45_54_yr,Count_hom_Census_Nt_55_64_yr,Count_hom_Census_Nt_65_74_yr,Count_hom_Census_Nt_75_84_yr,Count_hom_Census_Nt_85ov,Counted_home_Census_Night_Tot,VisSame_SA2_0_14_yr,VisSame_SA2_15_24_yr,VisSame_SA2_25_34_yr,VisSame_SA2_35_44_yr,VisSame_SA2_45_54_yr,VisSame_SA2_55_64_yr,VisSame_SA2_65_74_yr,VisSame_SA2_75_84_yr,VisSame_SA2_85ov,VisSame_SA2_Total,VisDiff_SA2_NSW_0_14_yr,VisDiff_SA2_NSW_15_24_yr,VisDiff_SA2_NSW_25_34_yr,VisDiff_SA2_NSW_35_44_yr,VisDiff_SA2_NSW_45_54_yr,VisDiff_SA2_NSW_55_64_yr,VisDiff_SA2_NSW_65_74_yr,VisDiff_SA2_NSW_75_84_yr,VisDiff_SA2_NSW_85ov,VisDiff_SA2_NSW_Total,VisDiff_SA2_VIC_0_14_yr,VisDiff_SA2_VIC_15_24_yr,VisDiff_SA2_VIC_25_34_yr,VisDiff_SA2_VIC_35_44_yr,VisDiff_SA2_VIC_45_54_yr,VisDiff_SA2_VIC_55_64_yr,VisDiff_SA2_VIC_65_74_yr,VisDiff_SA2_VIC_75_84_yr,VisDiff_SA2_VIC_85ov,VisDiff_SA2_VIC_Total,VisDiff_SA2_QLD_0_14_yr,VisDiff_SA2_QLD_15_24_yr,VisDiff_SA2_QLD_25_34_yr,VisDiff_SA2_QLD_35_44_yr,VisDiff_SA2_QLD_45_54_yr,VisDiff_SA2_QLD_55_64_yr,VisDiff_SA2_QLD_65_74_yr,VisDiff_SA2_QLD_75_84_yr,VisDiff_SA2_QLD_85ov,VisDiff_SA2_QLD_Total,VisDiff_SA2_SA_0_14_yr,VisDiff_SA2_SA_15_24_yr,VisDiff_SA2_SA_25_34_yr,VisDiff_SA2_SA_35_44_yr,VisDiff_SA2_SA_45_54_yr,VisDiff_SA2_SA_55_64_yr,VisDiff_SA2_SA_65_74_yr,VisDiff_SA2_SA_75_84_yr,VisDiff_SA2_SA_85ov,VisDiff_SA2_SA_Total,VisDiff_SA2_WA_0_14_yr,VisDiff_SA2_WA_15_24_yr,VisDiff_SA2_WA_25_34_yr,VisDiff_SA2_WA_35_44_yr,VisDiff_SA2_WA_45_54_yr,VisDiff_SA2_WA_55_64_yr,VisDiff_SA2_WA_65_74_yr,VisDiff_SA2_WA_75_84_yr,VisDiff_SA2_WA_85ov,VisDiff_SA2_WA_Total,VisDiff_SA2_TAS_0_14_yr,VisDiff_SA2_TAS_15_24_yr,VisDiff_SA2_TAS_25_34_yr,VisDiff_SA2_TAS_35_44_yr,VisDiff_SA2_TAS_45_54_yr,VisDiff_SA2_TAS_55_64_yr,VisDiff_SA2_TAS_65_74_yr,VisDiff_SA2_TAS_75_84_yr,VisDiff_SA2_TAS_85ov,VisDiff_SA2_TAS_Total,VisDiff_SA2_NT_0_14_yr,VisDiff_SA2_NT_15_24_yr,VisDiff_SA2_NT_25_34_yr,VisDiff_SA2_NT_35_44_yr,VisDiff_SA2_NT_45_54_yr,VisDiff_SA2_NT_55_64_yr,VisDiff_SA2_NT_65_74_yr,VisDiff_SA2_NT_75_84_yr,VisDiff_SA2_NT_85ov,VisDiff_SA2_NT_Total,VisDiff_SA2_ACT_0_14_yr,VisDiff_SA2_ACT_15_24_yr,VisDiff_SA2_ACT_25_34_yr,VisDiff_SA2_ACT_35_44_yr,VisDiff_SA2_ACT_45_54_yr,VisDiff_SA2_ACT_55_64_yr,VisDiff_SA2_ACT_65_74_yr,VisDiff_SA2_ACT_75_84_yr,VisDiff_SA2_ACT_85ov,VisDiff_SA2_ACT_Total,VisDiff_SA2_OT_0_14_yr,VisDiff_SA2_OT_15_24_yr,VisDiff_SA2_OT_25_34_yr,VisDiff_SA2_OT_35_44_yr,VisDiff_SA2_OT_45_54_yr,VisDiff_SA2_OT_55_64_yr,VisDiff_SA2_OT_65_74_yr,VisDiff_SA2_OT_75_84_yr,VisDiff_SA2_OT_85ov,VisDiff_SA2_OT_Total,VisDiff_SA2_Tot_0_14_yr,VisDiff_SA2_Tot_15_24_yr,VisDiff_SA2_Tot_25_34_yr,VisDiff_SA2_Tot_35_44_yr,VisDiff_SA2_Tot_45_54_yr,VisDiff_SA2_Tot_55_64_yr,VisDiff_SA2_Tot_65_74_yr,VisDiff_SA2_Tot_75_84_yr,VisDiff_SA2_Tot_85ov,VisDiff_SA2_Tot_Total,Vis_Tot_Visitrs_0_14_yr,Vis_Tot_Visitrs_15_24_yr,Vis_Tot_Visitrs_25_34_yr,Vis_Tot_Visitrs_35_44_yr,Vis_Tot_Visitrs_45_54_yr,Vis_Tot_Visitrs_55_64_yr,Vis_Tot_Visitrs_65_74_yr,Vis_Tot_Visitrs_75_84_yr,Vis_Tot_Visitrs_85ov,Vis_Tot_Visitrs_Total,Total_0_14_yr,Total_15_24_yr,Total_25_34_yr,Total_35_44_yr,Total_45_54_yr,Total_55_64_yr,Total_65_74_yr,Total_75_84_yr,Total_85ov,Total_Total,SA4_NAME11
101,38616,21054,18779,26179,29237,27509,18832,10702,4095,195003,93,76,61,57,66,62,50,25,24,514,2432,3273,1946,2012,2197,2097,1191,463,148,15759,127,140,150,163,245,408,456,352,50,2091,677,393,265,272,253,245,124,19,7,2255,29,49,47,40,27,79,60,10,0,341,96,43,45,39,53,33,16,4,3,332,3,17,14,12,17,41,29,11,0,144,6,9,9,3,5,6,0,0,0,38,171,324,227,191,241,233,188,46,4,1625,0,0,0,0,0,0,0,0,0,0,3541,4248,2703,2732,3038,3142,2064,905,212,22585,3634,4324,2764,2789,3104,3204,2114,930,236,23099,42250,25378,21543,28968,32341,30713,20946,11632,4331,218102,Capital Region
102,59347,35890,30618,38809,41065,36207,27794,19508,8502,297740,57,76,31,54,44,51,31,31,32,407,1245,1717,1217,939,964,898,762,573,340,8655,15,14,34,39,31,72,65,21,3,294,24,53,45,44,62,81,72,13,8,402,3,7,13,10,11,11,17,3,0,75,6,3,15,17,13,17,6,5,0,82,4,4,5,0,10,16,12,3,0,54,0,9,0,0,6,0,0,0,0,15,6,11,12,6,4,24,16,3,4,86,0,0,0,0,0,0,0,0,0,0,1303,1818,1341,1055,1101,1119,950,621,355,9663,1360,1894,1372,1109,1145,1170,981,652,387,10070,60707,37784,31990,39918,42210,37377,28775,20160,8889,307810,Central Coast
103,39882,22865,19459,23504,25313,23414,16818,10405,3845,185505,118,93,70,64,45,54,34,29,8,515,934,2026,1200,1014,1082,1035,613,315,139,8358,14,41,64,52,77,106,115,18,6,493,63,71,118,111,127,134,65,14,0,703,4,12,18,16,23,40,42,9,0,164,5,21,33,26,32,30,18,5,0,170,0,3,13,4,13,15,12,0,0,60,3,3,7,3,0,0,6,3,0,25,10,49,21,13,8,31,10,3,6,151,0,0,0,0,0,0,0,0,0,0,1033,2226,1474,1239,1362,1391,881,367,151,10124,1151,2319,1544,1303,1407,1445,915,396,159,10639,41033,25184,21003,24807,26720,24859,17733,10801,4004,196144,Central West
104,23928,13571,10598,14713,18022,18021,12664,7878,3118,122513,58,44,31,35,47,34,16,14,8,287,638,868,657,588,843,1089,1084,429,165,6361,52,22,52,49,83,296,496,166,25,1241,102,89,153,115,142,257,192,45,6,1101,9,7,4,19,8,37,63,31,4,182,9,6,10,14,13,27,5,0,4,88,7,3,0,3,12,47,42,14,0,128,0,7,3,3,3,6,0,0,0,22,12,4,12,12,9,28,41,37,3,158,0,0,3,0,0,0,0,0,0,3,829,1006,894,803,1113,1787,1923,722,207,9284,887,1050,925,838,1160,1821,1939,736,215,9571,24815,14621,11523,15551,19182,19842,14603,8614,3333,132084,Coffs Harbour - Grafton
105,23244,12239,11398,13093,14893,13306,9538,5970,2064,105745,96,82,64,44,48,42,27,23,7,433,712,1207,850,784,1007,1028,718,272,78,6656,32,66,63,76,128,329,348,98,3,1143,54,64,90,54,101,131,132,48,8,682,22,49,50,65,72,168,164,32,0,622,4,8,11,13,17,38,24,4,0,119,3,3,7,9,10,18,40,12,0,102,0,6,4,3,3,5,0,0,0,21,3,9,3,8,10,23,22,7,0,85,0,0,0,0,0,0,0,0,0,0,830,1412,1078,1012,1348,1740,1448,473,89,9430,926,1494,1142,1056,1396,1782,1475,496,96,9863,24170,13733,12540,14149,16289,15088,11013,6466,2160,115608,Far West and Orana
106,49794,28817,26843,31265,31749,28393,19351,11121,4006,231339,80,77,60,57,58,53,28,36,57,506,1030,1680,1375,1120,1139,1157,853,391,177,8922,15,33,47,34,65,74,92,43,8,411,32,75,139,104,122,124,74,15,7,692,4,15,17,12,16,26,18,6,0,114,14,17,26,28,26,34,10,0,0,155,11,0,6,3,14,23,13,11,0,81,6,10,9,5,0,5,0,0,0,35,6,13,28,14,14,26,18,4,0,123,0,0,0,0,0,0,0,0,0,0,1118,1843,1647,1320,1396,1469,1078,470,192,10533,1198,1920,1707,1377,1454,1522,1106,506,249,11039,50992,30737,28550,32642,33203,29915,20457,11627,4255,242378,Hunter Valley exc Newcastle
107,51360,36278,31341,35388,36917,30530,21972,14974,5539,264299,61,60,68,43,48,38,24,13,7,362,1001,1753,1210,872,710,688,480,372,224,7310,34,20,45,35,49,45,43,13,3,287,26,43,47,51,53,65,32,16,3,336,0,0,5,10,7,8,15,3,0,48,5,17,16,9,18,12,9,0,0,86,4,6,6,6,12,5,8,0,0,47,0,4,3,6,3,5,0,0,0,21,3,31,21,15,24,20,3,3,0,120,0,0,0,0,0,0,0,0,0,0,1073,1874,1353,1004,876,848,590,407,230,8255,1134,1934,1421,1047,924,886,614,420,237,8617,52494,38212,32762,36435,37841,31416,22586,15394,5776,272916,Illawarra
108,34667,18339,14271,20966,26651,28158,23891,15426,6117,188486,83,63,51,52,72,56,50,23,15,465,974,1270,981,899,1129,1513,1418,672,252,9108,37,31,45,30,63,276,462,219,26,1189,57,77,95,85,121,155,161,40,3,794,8,7,10,10,17,30,56,26,0,164,13,10,17,11,21,24,11,7,0,114,7,6,3,5,8,44,34,14,5,126,0,3,3,3,6,3,3,0,0,21,7,22,10,15,26,38,49,20,5,192,0,0,3,0,0,0,0,0,0,3,1103,1426,1167,1058,1391,2083,2194,998,291,11711,1186,1489,1218,1110,1463,2139,2244,1021,306,12176,35853,19828,15489,22076,28114,30297,26135,16447,6423,200662,Mid North Coast
109,20598,12379,10560,12813,14524,13783,9946,6291,2408,103302,78,50,57,41,43,32,21,12,10,344,273,565,405,329,396,401,255,133,89,2846,130,426,337,294,365,504,397,246,42,2741,27,26,33,30,56,59,31,13,3,278,12,22,21,26,35,58,96,36,7,313,13,13,22,20,10,19,21,6,0,124,8,6,4,8,11,26,22,3,0,88,6,6,3,3,3,6,4,0,0,31,8,19,12,14,15,11,10,0,0,89,0,0,0,0,0,0,0,0,0,0,477,1083,837,724,891,1084,836,437,141,6510,555,1133,894,765,934,1116,857,449,151,6854,21153,13512,11454,13578,15458,14899,10803,6740,2559,110156,Murray
110,35099,20242,17076,20369,22882,21070,15496,9147,3451,164832,152,127,75,58,62,61,37,21,14,607,884,1963,1065,901,1063,1099,745,320,107,8147,14,26,25,39,56,108,147,48,0,463,82,194,177,151,173,218,135,32,4,1166,8,10,29,12,19,37,55,15,3,188,14,7,21,11,10,22,3,0,3,91,3,10,3,3,9,13,10,4,0,55,4,6,3,3,5,0,3,0,0,24,8,11,5,16,13,20,13,6,3,95,0,0,0,0,0,0,0,0,0,0,1017,2227,1328,1136,1348,1517,1111,425,120,10229,1169,2354,1403,1194,1410,1578,1148,446,134,10836,36268,22596,18479,21563,24292,22648,16644,9593,3585,175668,New England and North West
