yr,priv_hlth_taxpayers_report_having_priv_hlth_insur_num,core_activity_need_asst_p_need_asst_core_activ_pr100,sa4_code16,sa4_name16,ogc_fid
2016,74016,5.5,101,Capital Region,1
2015,70917,,101,Capital Region,2
2014,66953,,101,Capital Region,3
2013,61031,,101,Capital Region,4
2012,58693,,101,Capital Region,5
2011,56432,5.1,101,Capital Region,6
2016,98992,6.4,102,Central Coast,7
2015,96035,,102,Central Coast,8
2014,90987,,102,Central Coast,9
2013,85151,,102,Central Coast,10
2012,84355,,102,Central Coast,11
2011,81903,5.7,102,Central Coast,12
2016,63158,5.6,103,Central West,13
2015,62520,,103,Central West,14
2014,59608,,103,Central West,15
2013,55859,,103,Central West,16
2012,54411,,103,Central West,17
2011,52420,5.3,103,Central West,18
2016,37573,7.0,104,Coffs Harbour - Grafton,19
2015,36150,,104,Coffs Harbour - Grafton,20
2014,34090,,104,Coffs Harbour - Grafton,21
2013,30386,,104,Coffs Harbour - Grafton,22
2012,28883,,104,Coffs Harbour - Grafton,23
2011,27909,6.5,104,Coffs Harbour - Grafton,24
2016,32780,6.1,105,Far West and Orana,25
2015,32352,,105,Far West and Orana,26
2014,30555,,105,Far West and Orana,27
2013,27898,,105,Far West and Orana,28
2012,27507,,105,Far West and Orana,29
2011,26613,5.6,105,Far West and Orana,30
2016,86892,6.0,106,Hunter Valley exc Newcastle,31
2015,84881,,106,Hunter Valley exc Newcastle,32
2014,81121,,106,Hunter Valley exc Newcastle,33
2013,76491,,106,Hunter Valley exc Newcastle,34
2012,74454,,106,Hunter Valley exc Newcastle,35
2011,70513,5.2,106,Hunter Valley exc Newcastle,36
2016,94481,6.4,107,Illawarra,37
2015,91628,,107,Illawarra,38
2014,86091,,107,Illawarra,39
2013,79793,,107,Illawarra,40
2012,79975,,107,Illawarra,41
2011,77235,5.7,107,Illawarra,42
2016,54467,7.9,108,Mid North Coast,43
2015,53029,,108,Mid North Coast,44
2014,49610,,108,Mid North Coast,45
2013,45143,,108,Mid North Coast,46
2012,44435,,108,Mid North Coast,47
2011,43325,7.4,108,Mid North Coast,48
2016,39499,5.8,109,Murray,49
2015,38951,,109,Murray,50
2014,36642,,109,Murray,51
2013,33248,,109,Murray,52
2012,32827,,109,Murray,53
2011,31713,5.2,109,Murray,54
2016,55302,5.6,110,New England and North West,55
2015,55060,,110,New England and North West,56
2014,52672,,110,New England and North West,57
2013,47618,,110,New England and North West,58
2012,45562,,110,New England and North West,59
2011,43724,5.3,110,New England and North West,60
2016,130132,6.3,111,Newcastle and Lake Macquarie,61
2015,126999,,111,Newcastle and Lake Macquarie,62
2014,120961,,111,Newcastle and Lake Macquarie,63
2013,114410,,111,Newcastle and Lake Macquarie,64
2012,112317,,111,Newcastle and Lake Macquarie,65
2011,107602,6.0,111,Newcastle and Lake Macquarie,66
2016,71964,6.5,112,Richmond - Tweed,67
2015,68706,,112,Richmond - Tweed,68
2014,65001,,112,Richmond - Tweed,69
2013,58356,,112,Richmond - Tweed,70
2012,55763,,112,Richmond - Tweed,71
2011,53604,6.2,112,Richmond - Tweed,72
2016,51875,5.3,113,Riverina,73
2015,50714,,113,Riverina,74
2014,48640,,113,Riverina,75
2013,45164,,113,Riverina,76
2012,45625,,113,Riverina,77
2011,44287,4.9,113,Riverina,78
2016,43894,7.0,114,Southern Highlands and Shoalhaven,79
2015,42122,,114,Southern Highlands and Shoalhaven,80
2014,39559,,114,Southern Highlands and Shoalhaven,81
2013,36498,,114,Southern Highlands and Shoalhaven,82
2012,36315,,114,Southern Highlands and Shoalhaven,83
2011,35493,6.4,114,Southern Highlands and Shoalhaven,84
2016,108830,3.6,115,Sydney - Baulkham Hills and Hawkesbury,85
