sa4_code_2016,earners_persons,median_age_of_earners_years,income_aud,median_aud,mean_aud,p80_to_p20_ratio,p80_to_p50_ratio,p20_to_p50_ratio,p10_to_p50_ratio,gini_coefficient_no,income_share_top_1pc,income_share_top_5pc,income_share_top_10pc,lowest_quartile_pc,second_quartile_pc,third_quartile_pc,highest_quartile_pc,sa4_name16
101,116039,46,5730751971,40510,49386,5.04,1.87,0.37,0.15,0.462,7.0,19.3,30.3,26.1,26.9,25.0,22.1,Capital Region
102,164004,44,7957132634,39636,48518,5.0,1.86,0.37,0.16,0.457,7.4,19.6,30.5,26.7,27.4,25.1,20.8,Central Coast
103,102754,44,5077042561,40319,49410,5.43,1.93,0.35,0.14,0.474,6.6,19.0,30.5,26.9,26.1,24.0,23.0,Central West
104,66261,47,2663128107,32650,40191,6.02,1.89,0.31,0.11,0.49200000000000005,7.7,20.5,31.9,33.6,29.8,22.0,14.6,Coffs Harbour - Grafton
105,55736,44,2608667467,39530,46804,5.17,1.85,0.36,0.14,0.47600000000000003,6.8,19.0,30.1,26.9,27.4,25.1,20.6,Far West and Orana
106,129949,42,7194920147,43114,55367,5.54,2.02,0.36,0.15,0.47100000000000003,6.8,18.8,30.6,25.0,24.9,22.6,27.6,Hunter Valley exc Newcastle
107,144226,43,7715296341,42887,53494,5.42,1.94,0.36,0.15,0.46,6.8,19.0,30.1,25.5,24.6,23.4,26.5,Illawarra
108,97431,49,3895759254,32215,39985,6.52,1.92,0.29,0.09,0.494,7.5,20.5,32.2,34.1,30.0,21.2,14.7,Mid North Coast
109,61114,45,2755611620,38078,45090,5.19,1.81,0.35,0.13,0.473,7.4,19.7,30.6,28.4,27.8,25.8,18.0,Murray
110,91626,45,4039368359,36903,44085,5.5,1.83,0.33,0.12,0.503,8.3,20.9,32.3,29.7,28.4,24.5,17.4,New England and North West
111,187291,42,10267795328,43933,54823,5.19,1.89,0.36,0.15,0.462,7.6,20.0,31.1,24.6,24.4,24.6,26.4,Newcastle and Lake Macquarie
112,119116,47,4949459160,33523,41552,5.73,1.87,0.33,0.12,0.49200000000000005,8.3,21.3,32.6,32.7,29.8,22.2,15.2,Richmond - Tweed
113,82086,43,3826305770,39546,46613,4.93,1.79,0.36,0.14,0.46399999999999997,7.4,19.4,30.2,26.9,27.5,26.4,19.2,Riverina
114,71131,48,3270964901,35461,45985,5.78,1.96,0.34,0.13,0.496,9.0,22.3,33.6,30.7,28.7,22.0,18.7,Southern Highlands and Shoalhaven
115,128195,44,8273605173,47446,64539,5.66,1.99,0.35,0.16,0.499,9.3,23.1,34.7,23.8,22.3,21.9,32.1,Sydney - Baulkham Hills and Hawkesbury
116,154868,39,7736796044,45650,49957,3.83,1.63,0.43,0.21,0.384,4.5,14.9,25.0,21.0,25.4,31.7,21.9,Sydney - Blacktown
117,173533,34,11118979157,47142,64074,5.44,1.93,0.35,0.18,0.5,10.8,24.6,35.8,24.2,21.9,23.7,30.3,Sydney - City and Inner South
118,158622,39,14016500002,53273,88364,5.69,2.03,0.36,0.17,0.585,17.5,34.6,45.9,21.3,20.4,21.4,37.0,Sydney - Eastern Suburbs
119,274274,41,13452836320,40040,49049,4.73,1.84,0.39,0.18,0.451,7.1,19.4,30.4,26.3,27.2,25.6,20.9,Sydney - Inner South West
120,159250,40,10797696758,48683,67803,5.31,1.98,0.37,0.18,0.504,10.2,24.7,36.2,22.4,22.4,22.8,32.4,Sydney - Inner West
121,240889,44,21782059513,54776,90424,6.64,2.18,0.33,0.14,0.5770000000000001,14.5,32.0,43.9,22.3,19.0,19.4,39.2,Sydney - North Sydney and Hornsby
122,154594,43,11131537151,47085,72005,5.83,2.08,0.36,0.16,0.5429999999999999,12.5,28.4,40.4,23.7,22.5,21.8,32.0,Sydney - Northern Beaches
123,127111,41,6591720984,45597,51858,3.97,1.69,0.43,0.21,0.402,5.7,16.5,26.7,21.1,25.6,29.9,23.4,Sydney - Outer South West
124,159524,42,8312060854,45558,52105,4.18,1.72,0.41,0.2,0.41100000000000003,5.8,16.8,27.1,21.8,25.2,28.7,24.3,Sydney - Outer West and Blue Mountains
125,203425,38,9800132687,40768,48176,4.77,1.81,0.38,0.18,0.436,5.8,17.6,28.5,26.3,26.3,26.4,21.0,Sydney - Parramatta
126,98381,43,6490454707,46816,65973,6.03,2.03,0.34,0.15,0.519,10.7,25.2,36.9,25.1,21.6,21.9,31.5,Sydney - Ryde
127,168306,40,7878180528,41518,46809,4.14,1.69,0.41,0.21,0.405,5.4,16.3,26.6,24.0,27.9,29.4,18.7,Sydney - South West
128,130971,44,8170691681,48220,62386,4.9,1.87,0.38,0.17,0.47600000000000003,8.9,22.1,33.2,22.1,22.9,24.2,30.8,Sydney - Sutherland
201,77505,44,3569894536,38565,46060,4.96,1.79,0.36,0.15,0.457,7.7,19.7,30.4,27.9,27.8,26.1,18.2,Ballarat
202,77166,44,3533593509,38697,45792,5.06,1.79,0.35,0.15,0.45299999999999996,6.8,19.1,29.9,27.9,27.6,26.3,18.2,Bendigo
203,142112,43,7183225310,40706,50546,5.17,1.87,0.36,0.15,0.466,7.8,20.6,31.5,26.6,26.1,25.1,22.2,Geelong
204,89639,46,3887366887,37430,43367,5.01,1.78,0.35,0.14,0.45299999999999996,6.6,18.3,29.1,28.7,28.5,26.3,16.4,Hume
205,136724,46,6362345475,37074,46534,5.55,1.94,0.35,0.14,0.479,6.4,20.0,31.8,29.4,27.8,23.1,19.7,Latrobe - Gippsland
206,316514,36,22429040999,50557,70863,4.98,1.87,0.38,0.18,0.513,12.8,27.1,38.1,21.4,21.3,24.7,32.6,Melbourne - Inner
207,208151,45,14809688513,45528,71149,6.49,2.13,0.33,0.14,0.5579999999999999,12.9,29.2,41.3,26.1,21.7,20.5,31.7,Melbourne - Inner East
