SA4_MAIN11,Age_yr_55_P,Age_yr_56_M,Age_yr_56_F,Age_yr_56_P,Age_yr_57_M,Age_yr_57_F,Age_yr_57_P,Age_yr_58_M,Age_yr_58_F,Age_yr_58_P,Age_yr_59_M,Age_yr_59_F,Age_yr_59_P,Age_yr_55_59_M,Age_yr_55_59_F,Age_yr_55_59_P,Age_yr_60_M,Age_yr_60_F,Age_yr_60_P,Age_yr_61_M,Age_yr_61_F,Age_yr_61_P,Age_yr_62_M,Age_yr_62_F,Age_yr_62_P,Age_yr_63_M,Age_yr_63_F,Age_yr_63_P,Age_yr_64_M,Age_yr_64_F,Age_yr_64_P,Age_yr_60_64_M,Age_yr_60_64_F,Age_yr_60_64_P,Age_yr_65_M,Age_yr_65_F,Age_yr_65_P,Age_yr_66_M,Age_yr_66_F,Age_yr_66_P,Age_yr_67_M,Age_yr_67_F,Age_yr_67_P,Age_yr_68_M,Age_yr_68_F,Age_yr_68_P,Age_yr_69_M,Age_yr_69_F,Age_yr_69_P,Age_yr_65_69_M,Age_yr_65_69_F,Age_yr_65_69_P,Age_yr_70_M,Age_yr_70_F,Age_yr_70_P,Age_yr_71_M,Age_yr_71_F,Age_yr_71_P,Age_yr_72_M,Age_yr_72_F,Age_yr_72_P,Age_yr_73_M,Age_yr_73_F,Age_yr_73_P,Age_yr_74_M,Age_yr_74_F,Age_yr_74_P,Age_yr_70_74_M,Age_yr_70_74_F,Age_yr_70_74_P,Age_yr_75_M,Age_yr_75_F,Age_yr_75_P,Age_yr_76_M,Age_yr_76_F,Age_yr_76_P,Age_yr_77_M,Age_yr_77_F,Age_yr_77_P,Age_yr_78_M,Age_yr_78_F,Age_yr_78_P,Age_yr_79_M,Age_yr_79_F,Age_yr_79_P,Age_yr_75_79_M,Age_yr_75_79_F,Age_yr_75_79_P,Age_yr_80_84_M,Age_yr_80_84_F,Age_yr_80_84_P,Age_yr_85_89_M,Age_yr_85_89_F,Age_yr_85_89_P,Age_yr_90_94_M,Age_yr_90_94_F,Age_yr_90_94_P,Age_yr_95_99_M,Age_yr_95_99_F,Age_yr_95_99_P,Age_yr_100_yr_over_M,Age_yr_100_yr_over_F,Age_yr_100_yr_over_P,Tot_M,Tot_F,Tot_P,SA4_NAME11
207,4299,1913,2205,4118,1916,2095,4011,1764,2060,3824,1881,1942,3823,9505,10570,20075,1763,1925,3688,1771,1983,3754,1667,1901,3568,1717,2020,3737,1742,2087,3829,8660,9916,18576,1620,1762,3382,1425,1615,3040,1458,1667,3125,1322,1509,2831,1333,1460,2793,7158,8013,15171,1201,1530,2731,1253,1375,2628,1179,1429,2608,1155,1373,2528,1068,1295,2363,5856,7002,12858,1046,1274,2320,1017,1172,2189,1012,1161,2173,952,1139,2091,879,1058,1937,4906,5804,10710,3872,5429,9301,2259,3957,6216,767,1811,2578,165,575,740,11,88,99,163528,176477,340005,Melbourne - Inner East
208,4801,2236,2310,4546,2127,2268,4395,2052,2241,4293,2046,2314,4360,10845,11550,22395,1993,2150,4143,1970,2097,4067,1886,2092,3978,1874,2105,3979,2157,2231,4388,9880,10675,20555,1653,1820,3473,1553,1711,3264,1452,1615,3067,1296,1431,2727,1264,1431,2695,7218,8008,15226,1193,1371,2564,1212,1293,2505,1075,1336,2411,1058,1306,2364,1050,1302,2352,5588,6608,12196,964,1245,2209,909,1248,2157,964,1161,2125,840,1158,1998,844,1146,1990,4521,5958,10479,4085,5974,10059,2668,4769,7437,981,2199,3180,193,577,770,14,80,94,182675,195539,378214,Melbourne - Inner South
209,5542,2569,2650,5219,2340,2588,4928,2428,2617,5045,2244,2357,4601,12250,13085,25335,2246,2405,4651,2184,2406,4590,2164,2260,4424,2204,2256,4460,2260,2344,4604,11058,11671,22729,1847,1922,3769,1719,1782,3501,1652,1744,3396,1558,1585,3143,1440,1543,2983,8216,8576,16792,1337,1453,2790,1324,1479,2803,1237,1346,2583,1175,1376,2551,1098,1239,2337,6171,6893,13064,1125,1228,2353,1035,1159,2194,979,1140,2119,893,1098,1991,798,1037,1835,4830,5662,10492,3500,4752,8252,1866,3112,4978,540,1240,1780,133,321,454,13,59,72,215140,221904,437044,Melbourne - North East
210,3667,1700,1802,3502,1609,1737,3346,1633,1732,3365,1520,1620,3140,8257,8763,17020,1510,1639,3149,1415,1599,3014,1528,1611,3139,1487,1658,3145,1569,1668,3237,7509,8175,15684,1384,1329,2713,1237,1264,2501,1173,1346,2519,1012,1114,2126,1108,1124,2232,5914,6177,12091,1022,1032,2054,1015,1139,2154,943,1077,2020,921,1012,1933,901,1060,1961,4802,5320,10122,839,961,1800,721,906,1627,760,874,1634,735,850,1585,687,880,1567,3742,4471,8213,2803,3573,6376,1368,2111,3479,356,723,1079,54,176,230,7,29,36,157321,161162,318483,Melbourne - North West
211,6435,3067,3371,6438,2892,3143,6035,2945,3150,6095,2826,3138,5964,14894,16073,30967,2888,3067,5955,2707,3011,5718,2684,2896,5580,2625,2911,5536,2898,2998,5896,13802,14883,28685,2398,2455,4853,2214,2257,4471,2053,2222,4275,1844,2003,3847,1849,1972,3821,10358,10909,21267,1705,1743,3448,1538,1640,3178,1500,1600,3100,1369,1576,2945,1324,1438,2762,7436,7997,15433,1223,1404,2627,1065,1265,2330,1022,1224,2246,993,1184,2177,937,1099,2036,5240,6176,11416,3856,5267,9123,2021,3671,5692,710,1667,2377,129,447,576,13,51,64,234933,244172,479105,Melbourne - Outer East
212,7796,3594,3754,7348,3442,3589,7031,3430,3562,6992,3288,3444,6732,17656,18243,35899,3212,3495,6707,3131,3350,6481,3032,3264,6296,3050,3220,6270,3231,3395,6626,15656,16724,32380,2712,2811,5523,2605,2742,5347,2494,2644,5138,2111,2362,4473,2262,2362,4624,12184,12921,25105,2050,2228,4278,2032,2144,4176,1952,2099,4051,1811,2042,3853,1740,1863,3603,9585,10376,19961,1655,1892,3547,1562,1719,3281,1491,1652,3143,1320,1580,2900,1265,1506,2771,7293,8349,15642,5287,6838,12125,2592,4377,6969,788,1701,2489,134,468,602,17,63,80,327767,330249,658016,Melbourne - South East
213,7079,3298,3384,6682,3234,3277,6511,3164,3210,6374,2932,3027,5959,16182,16423,32605,2893,2994,5887,2760,2822,5582,2691,2638,5329,2603,2594,5197,2699,2657,5356,13646,13705,27351,2212,2189,4401,2013,1931,3944,1999,1865,3864,1583,1722,3305,1547,1636,3183,9354,9343,18697,1596,1513,3109,1445,1526,2971,1356,1417,2773,1294,1366,2660,1248,1321,2569,6939,7143,14082,1135,1330,2465,1040,1244,2284,971,1152,2123,885,1158,2043,800,1094,1894,4831,5978,10809,3339,4726,8065,1787,3046,4833,483,1101,1584,95,240,335,19,26,45,307532,308525,616057,Melbourne - West
214,3531,1605,1746,3351,1525,1753,3278,1629,1781,3410,1533,1688,3221,8008,8783,16791,1557,1807,3364,1537,1793,3330,1557,1663,3220,1661,1823,3484,1777,1957,3734,8089,9043,17132,1509,1672,3181,1429,1633,3062,1319,1561,2880,1273,1446,2719,1248,1433,2681,6778,7745,14523,1195,1216,2411,1154,1248,2402,1132,1217,2349,1004,1191,2195,959,1079,2038,5444,5951,11395,933,1067,2000,814,958,1772,865,942,1807,755,876,1631,737,898,1635,4104,4741,8845,3200,3991,7191,1676,2623,4299,592,1153,1745,92,291,383,6,55,61,131895,139169,271064,Mornington Peninsula
215,2015,1038,1048,2086,1002,921,1923,1037,982,2019,1025,915,1940,5109,4874,9983,988,935,1923,1049,1019,2068,933,910,1843,920,905,1825,1014,973,1987,4904,4742,9646,812,804,1616,808,781,1589,749,768,1517,686,689,1375,791,801,1592,3846,3843,7689,683,715,1398,647,682,1329,658,669,1327,625,655,1280,558,607,1165,3171,3328,6499,531,595,1126,519,565,1084,491,579,1070,506,569,1075,452,500,952,2499,2808,5307,1930,2518,4448,1012,1700,2712,302,699,1001,58,170,228,4,34,38,73134,74294,147428,North West
216,1692,750,814,1564,799,842,1641,791,825,1616,842,798,1640,4023,4130,8153,745,815,1560,784,761,1545,727,729,1456,794,763,1557,794,833,1627,3844,3901,7745,708,693,1401,673,639,1312,690,650,1340,616,595,1211,595,591,1186,3282,3168,6450,601,530,1131,556,587,1143,530,492,1022,490,538,1028,487,477,964,2664,2624,5288,435,464,899,415,451,866,407,450,857,354,432,786,371,413,784,1982,2210,4192,1436,1805,3241,784,1235,2019,220,522,742,53,125,178,6,19,25,61842,63052,124894,Shepparton
217,1744,829,883,1712,868,846,1714,821,807,1628,855,841,1696,4256,4238,8494,823,821,1644,822,814,1636,789,733,1522,744,740,1484,875,798,1673,4053,3906,7959,685,668,1353,683,623,1306,572,630,1202,599,550,1149,570,589,1159,3109,3060,6169,527,556,1083,480,549,1029,454,498,952,452,481,933,437,511,948,2350,2595,4945,430,437,867,370,462,832,356,432,788,372,421,793,306,411,717,1834,2163,3997,1384,1870,3254,759,1302,2061,207,573,780,45,135,180,3,24,27,59587,61073,120660,Warrnambool and South West
297,3,0,0,0,3,0,3,0,0,0,0,0,0,6,0,6,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,3,36,Migratory - Offshore - Shipping (Vic.)
299,72,51,33,84,45,31,76,46,36,82,39,52,91,225,180,405,38,31,69,26,41,67,40,34,74,31,39,70,42,21,63,177,166,343,38,26,64,27,14,41,27,24,51,36,4,40,29,22,51,157,90,247,29,15,44,18,11,29,17,13,30,21,5,26,16,8,24,101,52,153,15,3,18,10,3,13,9,4,13,4,5,9,10,3,13,48,18,66,25,21,46,15,18,33,6,9,15,0,5,5,3,3,6,4672,3635,8307,Special Purpose Codes SA4 (Vic.)
301,2736,1355,1462,2817,1270,1353,2623,1279,1362,2641,1234,1396,2630,6527,6920,13447,1222,1293,2515,1313,1291,2604,1178,1237,2415,1253,1245,2498,1272,1255,2527,6238,6321,12559,1022,1083,2105,1029,971,2000,939,985,1924,744,837,1581,784,836,1620,4518,4712,9230,664,777,1441,708,707,1415,648,674,1322,628,694,1322,569,623,1192,3217,3475,6692,493,596,1089,504,540,1044,432,532,964,429,514,943,452,506,958,2310,2688,4998,1742,2413,4155,1011,1696,2707,325,697,1022,66,191,257,8,24,32,103530,107903,211433,Brisbane - East
302,2296,1112,1117,2229,1027,1132,2159,1006,1069,2075,1017,1051,2068,5276,5551,10827,978,1040,2018,953,1031,1984,950,929,1879,908,1006,1914,963,1023,1986,4752,5029,9781,735,891,1626,749,852,1601,667,820,1487,673,727,1400,629,736,1365,3453,4026,7479,600,696,1296,546,684,1230,553,705,1258,530,607,1137,475,647,1122,2704,3339,6043,531,620,1151,447,616,1063,426,559,985,455,627,1082,390,553,943,2249,2975,5224,1865,2737,4602,1059,2027,3086,337,856,1193,68,236,304,5,27,32,92918,98130,191048,Brisbane - North
303,3457,1667,1755,3422,1637,1765,3402,1584,1667,3251,1542,1595,3137,8083,8586,16669,1464,1534,2998,1422,1620,3042,1472,1425,2897,1441,1422,2863,1415,1527,2942,7214,7528,14742,1183,1159,2342,1131,1230,2361,1057,1115,2172,900,960,1860,898,978,1876,5169,5442,10611,905,904,1809,820,867,1687,743,890,1633,721,804,1525,682,819,1501,3871,4284,8155,629,777,1406,604,748,1352,578,715,1293,528,697,1225,537,709,1246,2876,3646,6522,2238,3350,5588,1270,2360,3630,418,1003,1421,79,236,315,6,51,57,154574,159513,314087,Brisbane - South
304,2112,926,1010,1936,889,976,1865,982,989,1971,891,1029,1920,4698,5106,9804,886,983,1869,917,960,1877,868,945,1813,842,845,1687,919,959,1878,4432,4692,9124,700,752,1452,719,738,1457,672,718,1390,573,595,1168,591,547,1138,3255,3350,6605,492,516,1008,444,495,939,428,472,900,400,420,820,365,463,828,2129,2366,4495,340,397,737,302,418,720,301,373,674,287,340,627,257,343,600,1487,1871,3358,1218,1733,2951,690,1402,2092,244,671,915,53,194,247,5,34,39,83413,86941,170354,Brisbane - West
305,2436,1135,1153,2288,1053,1085,2138,1150,1102,2252,1110,1016,2126,5664,5576,11240,986,989,1975,1013,938,1951,946,913,1859,948,843,1791,960,917,1877,4853,4600,9453,756,701,1457,714,683,1397,598,600,1198,564,572,1136,518,544,1062,3150,3100,6250,502,442,944,464,462,926,421,441,862,451,436,887,365,404,769,2203,2185,4388,345,359,704,311,379,690,297,363,660,306,360,666,251,335,586,1510,1796,3306,1206,1755,2961,654,1424,2078,237,600,837,47,152,199,3,25,28,112201,111774,223975,Brisbane Inner City
306,2993,1526,1542,3068,1457,1471,2928,1450,1405,2855,1421,1301,2722,7341,7225,14566,1436,1257,2693,1372,1269,2641,1341,1210,2551,1256,1244,2500,1409,1163,2572,6814,6143,12957,1152,1022,2174,1098,996,2094,1078,974,2052,898,838,1736,864,815,1679,5090,4645,9735,805,721,1526,758,708,1466,743,623,1366,660,572,1232,618,586,1204,3584,3210,6794,583,548,1131,514,486,1000,481,431,912,421,427,848,432,393,825,2431,2285,4716,1547,1810,3357,777,1210,1987,229,463,692,56,115,171,3,17,20,111877,112559,224436,Cairns
307,1632,814,779,1593,761,723,1484,871,798,1669,831,755,1586,4121,3843,7964,771,793,1564,825,761,1586,813,741,1554,828,770,1598,811,728,1539,4048,3793,7841,738,639,1377,724,700,1424,640,624,1264,615,598,1213,599,554,1153,3316,3115,6431,616,523,1139,532,503,1035,471,528,999,447,466,913,441,457,898,2507,2477,4984,440,394,834,373,390,763,353,316,669,332,310,642,344,331,675,1842,1741,3583,1163,1375,2538,580,885,1465,194,383,577,46,115,161,6,22,28,61683,60591,122274,Darling Downs - Maranoa
308,2771,1404,1210,2614,1325,1254,2579,1346,1101,2447,1285,1119,2404,6824,5991,12815,1182,1083,2265,1191,1044,2235,1153,1035,2188,1146,939,2085,1139,960,2099,5811,5061,10872,925,876,1801,884,778,1662,879,815,1694,760,696,1456,697,689,1386,4145,3854,7999,644,687,1331,712,633,1345,610,640,1250,548,528,1076,517,546,1063,3031,3034,6065,503,481,984,479,500,979,393,428,821,429,450,879,336,417,753,2140,2276,4416,1441,1731,3172,621,1057,1678,205,489,694,44,106,150,3,6,9,108165,103179,211344,Fitzroy
309,6279,2853,3160,6013,2866,3129,5995,2804,3144,5948,2803,2992,5795,14291,15739,30030,2861,3119,5980,2950,3040,5990,2856,2980,5836,2914,2883,5797,3057,3242,6299,14638,15264,29902,2611,2732,5343,2463,2601,5064,2397,2450,4847,2027,2139,4166,2082,2113,4195,11580,12035,23615,1904,1925,3829,1766,1919,3685,1736,1851,3587,1618,1672,3290,1529,1614,3143,8553,8981,17534,1444,1502,2946,1266,1335,2601,1194,1336,2530,1100,1271,2371,1030,1198,2228,6034,6642,12676,4416,5801,10217,2545,3815,6360,855,1668,2523,134,393,527,14,38,52,248042,259599,507641,Gold Coast
310,3167,1505,1550,3055,1507,1496,3003,1414,1533,2947,1498,1451,2949,7594,7527,15121,1510,1420,2930,1366,1362,2728,1309,1333,2642,1328,1311,2639,1340,1361,2701,6853,6787,13640,1116,1057,2173,1128,1136,2264,946,1043,1989,947,916,1863,954,960,1914,5091,5112,10203,810,821,1631,871,876,1747,730,778,1508,671,716,1387,681,703,1384,3763,3894,7657,571,628,1199,556,594,1150,500,576,1076,395,551,946,449,502,951,2471,2851,5322,1658,2189,3847,848,1419,2267,268,609,877,56,151,207,3,26,29,140752,141036,281788,Ipswich
311,3519,1622,1709,3331,1575,1667,3242,1589,1657,3246,1553,1646,3199,8063,8474,16537,1537,1593,3130,1552,1607,3159,1528,1552,3080,1457,1524,2981,1641,1591,3232,7715,7867,15582,1314,1249,2563,1237,1060,2297,1135,1042,2177,968,923,1891,895,857,1752,5549,5131,10680,849,847,1696,812,747,1559,722,689,1411,593,642,1235,581,623,1204,3557,3548,7105,539,547,1086,487,554,1041,410,456,866,377,475,852,369,426,795,2182,2458,4640,1396,1777,3173,683,1130,1813,250,517,767,44,132,176,3,17,20,144049,146381,290430,Logan - Beaudesert
