sa4_code16,sa4_name16,num_employed_000_males,num_employed_000_females,num_employed_000_persons,median_income_per_employed_aud_males,median_income_per_employed_aud_females,median_income_per_employed_aud_persons
101,Capital Region,62.141000000000005,57.898,120.037,50006,38854,44054
102,Central Coast,88.772,83.646,172.418,54407,37222,44882
103,Central West,55.768,49.977,105.745,51600,36167,43298
104,Coffs Harbour - Grafton,35.19,33.287,68.476,42054,32467,37198
105,Far West and Orana,31.031999999999996,28.194000000000003,59.222,48317,37379,42698
106,Hunter Valley exc Newcastle,72.58,63.31100000000001,135.89700000000002,61145,35288,46274
107,Illawarra,80.07,73.15100000000001,153.216,60803,38713,48000
108,Mid North Coast,49.073,46.873000000000005,95.947,42162,32952,37504
109,Murray,32.385,29.131,61.52,47804,34946,40916
110,New England and North West,49.943999999999996,44.596000000000004,94.53399999999999,45716,34654,40048
111,Newcastle and Lake Macquarie,99.95,94.074,194.02,58767,39958,48086
112,Richmond - Tweed,63.876000000000005,62.242,126.12299999999999,41606,32344,36812
113,Riverina,45.855,40.757,86.61,50984,37084,43498
114,Southern Highlands and Shoalhaven,37.505,35.097,72.60600000000001,47176,33399,39729
115,Sydney - Baulkham Hills and Hawkesbury,71.143,65.906,137.046,66574,44200,53929
116,Sydney - Blacktown,101.837,85.991,187.828,57176,43399,50281
117,Sydney - City and Inner South,126.57700000000001,110.363,236.938,53852,44215,49171
118,Sydney - Eastern Suburbs,88.054,88.546,176.601,64954,49874,56231
119,Sydney - Inner South West,166.958,141.438,308.39599999999996,47932,40192,43994
120,Sydney - Inner West,93.46600000000001,89.715,183.18900000000002,58954,49049,53700
121,Sydney - North Sydney and Hornsby,124.70200000000001,122.522,247.22400000000002,75863,50819,61154
122,Sydney - Northern Beaches,82.464,79.194,161.659,64214,44423,53070
123,Sydney - Outer South West,78.331,68.811,147.139,59241,41929,50192
124,Sydney - Outer West and Blue Mountains,92.523,84.352,176.877,60370,42332,50489
125,Sydney - Parramatta,134.566,105.068,239.638,48823,40596,44851
126,Sydney - Ryde,54.54,52.159,106.694,61688,45954,53140
127,Sydney - South West,109.275,89.758,199.03,51459,39878,45493
128,Sydney - Sutherland,67.673,65.271,132.94799999999998,68249,45221,54885
201,Ballarat,41.63,39.568000000000005,81.20100000000001,48668,34991,41421
202,Bendigo,41.018,39.256,80.279,49453,35159,41979
203,Geelong,76.404,73.486,149.891,53553,35775,43628
204,Hume,48.851000000000006,44.86,93.70700000000001,47883,33663,40261
205,Latrobe - Gippsland,73.23,67.264,140.496,48770,31527,39275
206,Melbourne - Inner,200.808,198.41400000000002,399.226,55491,46133,50605
207,Melbourne - Inner East,101.359,100.40700000000001,201.763,57709,40710,48236
208,Melbourne - Inner South,118.662,117.19200000000001,235.857,62487,43325,51577
209,Melbourne - North East,143.227,132.10399999999998,275.334,55478,39849,47055
210,Melbourne - North West,101.762,87.36399999999999,189.12599999999998,53332,39055,45812
211,Melbourne - Outer East,149.716,142.07299999999998,291.789,56985,38627,47008
212,Melbourne - South East,220.665,187.18099999999998,407.846,50814,37367,44001
213,Melbourne - West,214.75,182.33599999999998,397.087,54678,39719,47045
214,Mornington Peninsula,81.11399999999999,77.617,158.733,53534,36315,44188
215,North West,42.278,38.107,80.38600000000001,41528,31544,36401
216,Shepparton,37.389,34.027,71.415,44854,32073,38140
217,Warrnambool and South West,37.2,33.606,70.805,45502,31451,38039
301,Brisbane - East,66.538,63.379,129.918,60890,41844,50158
302,Brisbane - North,63.534,60.516000000000005,124.04799999999999,60259,46131,52714
303,Brisbane - South,105.977,98.68,204.657,53068,41886,47260
304,Brisbane - West,52.916000000000004,51.106,104.02799999999999,67418,43541,53515
305,Brisbane Inner City,89.285,83.77,173.051,59001,45812,51851
306,Cairns,74.688,69.087,143.766,45933,35128,40062
307,Darling Downs - Maranoa,38.403,32.714,71.12,45905,30711,37808
308,Central Queensland,66.694,55.472,122.164,70045,36710,50538
309,Gold Coast,166.65099999999998,160.763,327.418,49688,36080,42100
310,Ipswich,88.95700000000001,78.358,167.313,54587,38914,46624
311,Logan - Beaudesert,91.65799999999999,78.959,170.61599999999999,53023,38905,45725
312,Mackay - Isaac - Whitsunday,53.863,44.242,98.1,68336,35703,49164
313,Moreton Bay - North,62.191,56.81,118.999,51935,36047,43474
314,Moreton Bay - South,58.321000000000005,54.615,112.93700000000001,62076,41774,50960
315,Queensland - Outback,21.487,18.735,40.218,55239,37366,45553
316,Sunshine Coast,95.75399999999999,93.381,189.137,47907,33214,39680
317,Toowoomba,42.645,39.69,82.335,52574,37254,44228
318,Townsville,68.471,61.325,129.799,59112,40192,48598
319,Wide Bay,69.392,63.107,132.498,42816,31071,36518
401,Adelaide - Central and Hills,83.331,81.256,164.593,55036,41402,47710
402,Adelaide - North,113.405,100.524,213.93200000000002,52302,38291,45363
403,Adelaide - South,97.95700000000001,95.73299999999999,193.696,54340,40279,46782
404,Adelaide - West,63.926,60.17100000000001,124.09299999999999,51466,41274,46237
405,Barossa - Yorke - Mid North,29.134,25.733,54.863,48718,33027,40090
406,South Australia - Outback,22.473000000000003,19.281,41.756,58029,35732,45775
407,South Australia - South East,50.924,44.87,95.789,43737,31428,37412
501,Bunbury,54.746,47.727,102.473,59984,32022,43369
502,Mandurah,26.784000000000002,22.948,49.733000000000004,70061,33991,48488
503,Perth - Inner,61.643,53.049,114.69,67753,44012,54528
504,Perth - North East,79.692,69.62100000000001,149.309,64048,41941,52099
505,Perth - North West,171.28799999999998,154.966,326.257,65447,41489,52013
506,Perth - South East,158.792,131.55200000000002,290.347,61538,40915,50708
507,Perth - South West,127.31700000000001,112.02,239.33700000000002,71503,40164,53759
509,Western Australia - Wheat Belt,41.386,35.58,76.964,50725,33916,41682
510,Western Australia - Outback (North),27.008000000000003,21.989,48.994,87126,45047,62054
511,Western Australia - Outback (South),37.014,30.394000000000002,67.403,67940,37373,50341
601,Hobart,60.553000000000004,59.989,120.541,51571,39686,45473
602,Launceston and North East,37.7,35.144,72.845,47404,34300,40748
603,South East,10.217,8.91,19.122,42840,30243,36388
604,West and North West,29.811999999999998,27.156999999999996,56.965,49920,32157,40651
701,Darwin,52.651,43.56100000000001,96.211,69210,50082,59513
702,Northern Territory - Outback,19.843,18.295,38.138000000000005,51545,42802,47079
801,Australian Capital Territory,122.774,119.14200000000001,241.915,70255,56756,63510
