sa4_code_2016,population,dwelling,area_sqkm,sa4_name,state_name
101,218833,110671.0,51895.563099999905,Capital Region,New South Wales
102,327737,144386.0,1681.0724,Central Coast,New South Wales
103,206164,92830.0,70297.0604000001,Central West,New South Wales
104,136246,63414.0,13229.7578,Coffs Harbour - Grafton,New South Wales
105,113712,54295.0,339363.6925,Far West and Orana,New South Wales
106,263383,114701.0,21491.2914999999,Hunter Valley exc Newcastle,New South Wales
107,293563,120347.0,1538.9189999999999,Illawarra,New South Wales
108,212387,103623.0,18851.4995,Mid North Coast,New South Wales
109,115754,55551.0,97797.6753999999,Murray,New South Wales
110,181574,82564.0,99145.9163000002,New England and North West,New South Wales
111,358845,154246.0,870.612000000003,Newcastle and Lake Macquarie,New South Wales
112,239707,111334.0,10271.1425,Richmond - Tweed,New South Wales
113,155949,67179.0,56985.0189000001,Riverina,New South Wales
114,147401,75975.0,6704.44010000001,Southern Highlands and Shoalhaven,New South Wales
115,227622,76218.0,3251.4985,Sydney - Baulkham Hills and Hawkesbury,New South Wales
116,339421,111675.0,242.0851,Sydney - Blacktown,New South Wales
117,315564,155413.0,65.5318000000002,Sydney - City and Inner South,New South Wales
118,266995,119169.0,57.7329999999999,Sydney - Eastern Suburbs,New South Wales
119,571100,207150.0,163.9352,Sydney - Inner South West,New South Wales
120,292986,120801.0,64.5481,Sydney - Inner West,New South Wales
121,405262,168372.0,275.095,Sydney - North Sydney and Hornsby,New South Wales
122,253056,101505.0,254.2074,Sydney - Northern Beaches,New South Wales
123,261983,91097.0,1278.4513,Sydney - Outer South West,New South Wales
124,306920,118562.0,3968.1290000000004,Sydney - Outer West and Blue Mountains,New South Wales
125,448406,158652.0,161.63580000000098,Sydney - Parramatta,New South Wales
126,182086,69933.0,69.3368999999999,Sydney - Ryde,New South Wales
127,405828,129259.0,539.068599999999,Sydney - South West,New South Wales
128,217773,84230.0,295.8652,Sydney - Sutherland,New South Wales
201,157397,72667.0,10287.4759,Ballarat,Victoria
202,153100,69712.0,11841.9062,Bendigo,Victoria
203,279057,131920.0,4428.6993,Geelong,Victoria
