sa4_code16,area_holding_tot_area_ha_a,cotton_app_rt_ml_ha,cotton_area_wtrd_ha,cotton_tot_area_ha_e,cotton_vol_app_ml,fruit_trees_nut_trees_plntn_berry_fruits_app_rt_ml_ha,fruit_trees_nut_trees_plntn_berry_fruits_area_wtrd_ha,fruit_trees_nut_trees_plntn_berry_fruits_tot_area_ha,fruit_trees_nut_trees_plntn_berry_fruits_vol_app_ml,grapevines_app_rt_ml_ha,grapevines_area_wtrd_ha,grapevines_tot_area_ha,grapevines_vol_app_ml,groundwtr_eg_bores_springs_wells_tot_vol_used_ml,irrigate_expendure_yr_irrigate_wtr_vol_use_chrgs_tot_cst_aud,irrigate_expendure_pur_xtr_wtr_perm_basis_tot_cst_aud,irrigate_expendure_pur_xtr_wtr_perm_basis_tot_vol_pur_ml,irrigate_expendure_pur_xtr_wtr_tmp_basis_tot_cst_aud,irrigate_expendure_pur_xtr_wtr_tmp_basis_tot_vol_pur_ml,num_agri_bsns_num,num_agri_bsns_irrigating_num,nurseries_cut_floers_cultivated_turf_app_rt_ml_ha,nurseries_cut_floers_cultivated_turf_area_wtrd_ha,nurseries_cut_floers_cultivated_turf_tot_area_ha,nurseries_cut_floers_cultivated_turf_vol_app_ml,oth_agri_wtr_use_vol_used_ml_b,oth_broadacre_crp_app_rt_ml_ha,oth_broadacre_crp_area_wtrd_ha,oth_broadacre_crp_tot_area_ha,oth_broadacre_crp_vol_app_ml,oth_crls_grain_seed_eg_wheat_oats_maize_app_rt_ml_ha,oth_crls_grain_seed_eg_wheat_oats_maize_area_wtrd_ha,oth_crls_grain_seed_eg_wheat_oats_maize_tot_area_ha,oth_crls_grain_seed_eg_wheat_oats_maize_vol_app_ml,oth_crp_nec_app_rt_ml_ha,oth_crp_nec_area_wtrd_ha,oth_crp_nec_vol_app_ml,oth_srcs_wtr_excluding_rainfall_tot_vol_used_ml,pstrs_incl_lcrn_crl_crp_cut_hay_app_rt_ml_ha_c,pstrs_incl_lcrn_crl_crp_cut_hay_area_wtrd_ha_c,pstrs_incl_lcrn_crl_crp_cut_hay_vol_app_ml_c,pstrs_incl_lcrn_crl_crp_cut_silg_app_rt_ml_ha_d,pstrs_incl_lcrn_crl_crp_cut_silg_area_wtrd_ha_d,pstrs_incl_lcrn_crl_crp_cut_silg_vol_app_ml_d,pstrs_incl_lcrn_crl_crp_used_graze_fed_off_app_rt_ml_ha,pstrs_incl_lcrn_crl_crp_used_graze_fed_off_area_wtrd_ha,pstrs_incl_lcrn_crl_crp_used_graze_fed_off_tot_area_ha,pstrs_incl_lcrn_crl_crp_used_graze_fed_off_vol_app_ml,pstrs_incl_lcrn_crl_oth_crp_cut_hay_tot_area_ha,pstrs_incl_lcrn_crl_oth_crp_cut_silg_tot_area_ha,recyc_re_used_wtr_off_farm_srcs_tot_vol_used_ml,rice_app_rt_ml_ha,rice_area_wtrd_ha,rice_tot_area_ha,rice_vol_app_ml,sugar_cane_app_rt_ml_ha,sugar_cane_area_wtrd_ha,sugar_cane_tot_area_ha_f,sugar_cane_vol_app_ml,tot_app_rt_ml_ha,tot_area_wtrd_ha,tot_vol_app_ml,tot_vol_app_used_incl_oth_agri_wtr_ml,tot_vol_wtr_all_srcs_ml,town_reticulated_mns_supply_tot_vol_used_ml,vegetables_human_consumption_app_rt_ml_ha,vegetables_human_consumption_area_wtrd_ha,vegetables_human_consumption_tot_area_ha,vegetables_human_consumption_vol_app_ml,wtr_tkn_irrigate_channels_irrigate_pipelines_tot_vol_used_ml,wtr_tkn_on_farm_dams_tanks_tot_vol_used_ml,wtr_tkn_rivs_crks_lakes_etc_tot_vol_used_ml,wtr_tkn_rivs_crks_lakes_etc_vol_use_chrg_occurs_tot_vol_used_ml,wtr_tkn_rivs_crks_lakes_etc_no_vol_use_chrg_tot_vol_used_ml,sa4_name16
101,2064658.21,,,,,1.46,696.74,1754.8,1020.14,0.97,,409.39,267.23,6689.43,380457.6,,,11166.68,78.32,2544.52,148.77,3.08,87.46,96.98,,17912.16,,,60534.03,,,,102835.07,,1.43,,,,2.33,,,,,,2.61,2652.88,1682178.06,6927.76,18437.83,6071.57,103.55,,,,,,,,,2.23,5034.49,11235.83,29147.99,29147.99,558.19,1.7,54.3,78.02,92.57,410.97,11917.88,9467.99,7904.07,1563.91,Capital Region
102,4520.47,,,,,3.97,372.95,429.6,1481.92,,,,,1132.23,312583.14,,,,,228.81,138.85,6.33,335.46,366.18,2124.45,674.34,,,,,,,,,,,,,0.47,,,,,,,,1160.9,,,,,,,,,,,,,3.15,1615.8,5084.32,5758.66,5758.66,108.61,1.71,820.87,871.32,,,1928.9,2588.92,1612.69,,Central Coast
103,4881915.14,9.96,5412.98,9572.89,53890.92,1.82,995.53,1375.74,1814.82,1.75,2008.03,2186.02,3517.9,34306.63,4291125.54,,,1458252.81,21023.47,3993.72,363.2,5.34,106.05,110.12,566.12,24880.01,2.53,765.8,210934.3,1938.69,5.9,706.99,954317.64,,0.63,43.44,27.15,0.21,3.88,7625.82,29624.05,3.91,1452.22,5679.39,2.65,7352.48,3002445.28,19499.83,77003.91,9529.53,107.84,11.67,,,,,,,,4.55,28587.93,130075.89,154955.89,154955.89,938.78,3.39,1856.52,2035.98,6291.72,15352.13,21881.18,82369.12,79695.5,2673.63,Central West
104,304219.53,,,,,2.14,1271.89,1703.3,2720.85,,,,,416.59,,,,,,739.29,165.7,0.72,29.39,55.69,21.27,2844.94,,,271.39,,,,,,0.01,,,,,,,,,,0.5,,214792.53,,,105.32,,,,,,,453.25,8092.56,,1.41,2138.55,3025.52,5870.46,5870.46,153.29,0.86,131.64,169.63,113.33,,2821.52,1706.04,,1337.99,Coffs Harbour - Grafton
105,26610049.79,9.45,36265.43,47808.48,342797.39,3.2,122.27,176.0,391.67,,,141.96,,60696.49,4975481.49,,,3542782.32,32405.07,2978.91,159.45,3.91,89.56,92.45,349.77,26471.83,4.26,582.98,380415.43,,1.0,,995703.68,,,,,,5.02,916.77,4601.8,0.91,,,3.27,3096.63,23362637.15,10118.14,45229.39,,3148.7,,,,,,,,,8.66,42068.36,364340.66,390812.49,390812.49,,6.37,487.54,493.25,,66726.0,73782.66,186428.99,163121.34,23307.65,Far West and Orana
106,981538.15,,,,,,,,,1.37,2283.4,2618.24,,11112.66,1447740.8,,,,,1191.26,357.39,2.89,171.99,180.85,497.48,9882.14,,,1958.35,,,,10248.54,,,,,,4.24,2548.97,10810.1,,,,2.02,15727.29,853218.68,31791.43,9048.61,2641.63,,,,,,,,,,2.3,21907.19,50300.31,60182.45,60182.45,1017.28,1.62,,,,,2975.5,39940.98,36393.27,3547.71,Hunter Valley exc Newcastle
107,,,,,,1.95,24.23,26.59,47.27,,,,,119.01,,,,,,78.82,5.67,1.19,,,,493.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.73,38.16,66.14,559.88,559.88,117.33,1.38,11.81,11.74,16.34,,283.36,40.18,40.18,,Illawarra
108,327702.43,,,,,2.22,1322.59,2223.3,2935.46,,,,,3281.6,781579.62,,,11360.27,37.96,999.99,198.25,8.67,276.7,295.76,2397.99,5493.03,,,,,,,,,,,,,0.3,52.94,15.88,1.15,,,2.99,2112.45,262131.36,6324.79,,2408.8,,,,,,,,,,2.75,4586.46,12590.83,18083.86,18083.86,,,90.42,95.1,,,3417.48,9424.2,6622.91,2801.29,Mid North Coast
109,8955433.61,10.17,7959.09,7959.09,80983.13,7.24,4619.65,4589.36,33438.4,7.22,7485.27,7879.64,54009.07,40641.68,23710400.54,,,22004781.56,305125.79,2504.88,1179.68,3.5,,54.09,,26185.24,1.42,15502.06,232173.48,22028.69,1.82,60783.4,781570.28,110448.3,1.18,539.31,636.99,,2.5,20290.4,50708.95,2.67,5796.99,15504.08,2.09,89222.09,6925844.14,186717.79,68646.36,15157.89,,11.22,44606.84,44606.84,500283.76,,,,,4.12,259441.12,1068341.79,1094527.03,1094527.03,,5.17,2608.22,3052.78,13485.33,695551.71,19171.89,331433.01,330171.21,1261.8,Murray
110,6598270.76,7.18,115165.58,213654.23,826609.3,6.05,1656.45,1717.29,10028.23,0.55,,57.62,,141479.37,11323466.7,9279784.94,7943.24,7077162.62,38776.98,4495.24,543.12,1.78,5.36,52.32,9.56,44956.05,1.36,3804.3,512929.3,5176.79,2.66,14929.36,1012280.38,39701.06,2.29,31.76,72.6,,2.13,6473.98,13762.3,1.09,2045.46,2236.21,1.36,2604.69,3764947.82,3537.21,51065.43,6608.77,,1.83,12.57,12.57,23.05,10.0,,,,6.15,148262.01,911406.09,956362.14,956362.14,394.31,4.25,,,,63987.52,239323.46,505068.36,487174.94,17893.42,New England and North West
111,93.26,,,,,,,,,,,,,,,,,,,5.72,,3.63,24.26,24.26,88.0,22.07,,,,,,,,,,,,,,,,,,,,,25.5,,,,,,,,,,,,,3.63,24.26,88.0,110.07,110.07,,,,,,,91.88,11.0,10.02,0.98,Newcastle and Lake Macquarie
112,295689.91,,,,,0.6,2862.74,8719.04,1706.03,,,,,1780.77,626737.35,,,,,1522.84,368.57,4.34,244.72,450.84,1061.84,4628.88,,,2859.35,,2.06,,907.24,,,,,,0.5,,,1.5,,,,,192257.02,,1551.3,765.74,69.7,11.49,289.91,289.91,3329.69,,1164.18,13391.93,,2.58,8393.25,21669.5,26298.38,26298.38,255.94,2.07,212.1,320.05,438.63,1397.14,6569.63,,4007.29,,Richmond - Tweed
113,4237123.18,9.51,35999.49,36194.45,342253.54,6.0,16597.19,17127.02,99588.2,3.81,16796.73,18335.19,63934.4,181443.13,29821020.36,12140415.97,16940.33,11214811.71,196005.65,3545.93,1157.23,7.0,85.15,135.93,596.34,26447.02,1.83,7817.3,308777.99,14273.1,2.56,59777.85,940909.8,153067.82,5.05,233.19,1177.47,,3.63,3124.0,11352.3,8.94,624.01,5580.77,2.38,27041.49,2180655.22,64356.99,55699.43,7841.43,529.76,11.73,36843.61,36843.61,432122.48,,,,,5.76,209273.56,1206059.34,1232506.37,1232506.37,2484.02,4.1,4333.56,4375.25,17755.91,847147.66,14145.65,186756.15,181705.92,5050.23,Riverina
114,71983.5,,,,,0.74,35.67,39.22,26.36,,111.59,111.59,750.49,1731.29,90126.58,,,,,314.83,76.17,0.29,,200.71,49.91,,,,,,,,,,,,,,,,,1.66,,,3.0,849.05,50788.37,,1877.13,4287.5,753.01,,,,,,,,,2.71,1629.27,4408.54,8578.59,8578.59,,2.31,170.98,173.4,395.31,,,237.26,11.9,225.36,Southern Highlands and Shoalhaven
115,4592.81,,,,,0.93,226.0,265.83,209.61,,,,,39.7,686371.02,,,78321.32,,342.43,273.49,4.3,955.86,1042.92,4109.16,119.36,,,,,,,,,,,,,0.34,,,,,,0.36,65.28,793.56,23.28,,,,,,,,,,,,3.03,2104.27,6384.56,6503.93,6503.93,453.41,2.6,774.41,1102.8,2013.99,,1069.1,4758.9,4402.54,,Sydney - Baulkham Hills and Hawkesbury
116,2095.69,,,,,,,,,,,,,,,,,93017.93,,57.28,,6.0,,,,379.42,,,,,,,,,,,,,,,,,,,,,1314.55,,,,,,,,,,,,,,,,487.26,487.26,283.41,,,,,,,,,,Sydney - Blacktown
119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,5.0,,,,,,,,,Sydney - Inner South West
121,75.72,,,,,,,,,,,,,,,,,,,,,5.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.42,,,,,,,,,,,,,,,Sydney - North Sydney and Hornsby
122,30971.63,,,300.0,,,,,,,,,,30.0,,,,,,,,6.45,,,,78.31,,,,,,,1750.0,,,,,,,,,,,,,,24358.79,,100.0,100.0,,,,,,,,,,6.45,,,87.79,87.79,,,,,,,32.46,21.47,,20.0,Sydney - Northern Beaches
123,12076.01,,,,,2.39,37.91,46.47,90.74,,,,,291.37,,,,,,213.52,78.34,4.52,128.26,140.35,579.15,,,,,,,,,,,,,,0.66,48.08,31.63,0.13,,,0.06,,8589.28,,148.21,,20.0,,,,,,,,,2.69,857.22,2307.5,,,625.56,3.92,404.16,519.26,1586.08,,,934.46,758.4,,Sydney - Outer South West
124,6058.28,,,,,6.48,240.1,240.32,,,,,,,203227.39,,,,,168.21,112.63,7.91,507.24,557.75,4014.78,341.79,,,,,,,70.0,,,,,,,,,,,,,,6306.66,,,,,,,,,,,,,6.54,1148.17,7506.37,7848.16,7848.16,492.11,4.83,400.83,438.37,1935.14,,513.58,4673.77,3462.03,1211.74,Sydney - Outer West and Blue Mountains
127,10484.1,,,,,2.94,2.41,4.99,7.06,,,,,43.44,253585.02,427736.33,,,478.56,279.37,203.58,22.51,78.11,82.56,1758.1,701.08,,,455.0,,,,1850.0,,,,,,2.44,,,3.31,264.0,875.0,4.73,75.0,3980.72,355.0,,,,,,,,,,,,3.71,,9474.3,10175.38,10175.38,2481.75,6.16,341.73,434.85,2105.08,484.25,2491.96,,,299.91,Sydney - South West
201,583027.04,,,,,0.97,6.67,7.91,6.5,,,,,12565.39,359316.54,,,,,1113.18,195.39,4.07,59.15,72.31,240.48,5524.98,1.0,,68747.38,,,606.0,119116.46,,1.81,,,0.36,1.72,,,,,,1.36,1727.91,319960.94,,36964.69,,,,,,,,,,,2.46,8268.66,20364.75,25889.73,25889.73,229.25,3.94,3503.35,3298.82,13813.72,,8378.2,1622.27,1471.73,150.54,Ballarat
202,783427.54,,,,,3.39,3601.48,3659.69,12226.36,2.06,435.14,546.24,896.27,4629.21,11010820.28,,3665.53,6566781.66,66186.52,1121.07,426.34,6.94,,5.31,,8689.31,1.29,1873.44,36345.88,2425.14,1.59,12393.05,190717.83,19747.13,,,,,3.65,5671.48,20718.2,2.69,,,2.48,40843.11,415633.25,101136.01,71138.64,6055.9,,,,,,,,,,2.44,66087.62,161154.7,169844.01,169844.01,,7.41,121.38,124.09,899.21,135124.24,2403.85,21140.61,21127.1,,Bendigo
203,216879.08,,,,,1.46,16.01,,23.34,0.82,139.1,139.1,,809.09,230692.13,44678.3,,,,579.46,73.46,4.3,520.5,528.56,2240.29,4618.03,,,16421.71,,,,33170.49,,,,,,,,,,,,2.73,,127128.54,,13824.91,,94.37,,,,,,,,,1.71,3136.79,5350.41,9968.44,9968.44,1582.12,3.09,285.59,347.29,883.47,180.25,4915.86,,,,Geelong
204,1200097.76,,,,,1.11,1082.0,1528.36,1203.93,1.47,3479.62,4108.41,5103.79,10444.32,1225605.44,,,232888.45,,2865.95,484.73,4.52,371.77,377.49,1681.04,13248.47,1.26,,23837.12,,2.42,,45318.96,,2.35,190.6,447.7,,2.42,557.74,1349.4,2.81,112.14,,3.18,10194.59,988336.0,32455.46,28146.24,10689.87,,,,,,,,,,2.27,23970.36,54363.35,67611.82,67611.82,254.61,2.54,55.92,56.53,141.78,,11608.85,32905.86,32001.97,903.88,Hume
205,976066.25,,,,,2.53,67.84,250.75,171.96,,,,,31370.57,6034147.25,387755.0,2688.19,,,3697.16,605.54,1.87,375.38,451.08,700.32,33782.35,3.68,110.0,3133.59,405.0,3.37,503.55,7964.7,1694.81,2.03,,,,2.52,2369.1,,2.22,2695.14,5987.51,3.39,32750.07,813854.76,111051.79,76677.2,51674.56,4536.17,,,,,,,,,3.07,45836.66,140548.38,174330.73,174330.73,,2.1,6178.27,8854.09,12973.43,72290.83,25712.33,37417.97,33541.43,3876.53,Latrobe - Gippsland
208,51.69,,,,,,,,,,,,,7.98,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.83,29.51,201.53,201.53,201.53,19.35,6.9,29.0,29.0,200.0,90.32,,83.87,83.87,,Melbourne - Inner South
209,29267.47,,,,,2.87,,883.43,,,,9.0,,405.24,,,,,,144.51,34.63,5.06,108.82,146.82,550.16,363.79,,,,,,,,,4.49,24.5,110.0,,,,,,,,3.14,,10143.84,,,,,,,,,,,,,3.54,411.58,1456.15,1819.94,1819.94,105.0,2.82,77.69,79.8,219.28,,1193.23,80.21,80.0,0.21,Melbourne - North East
210,31482.55,,,,,,,275.44,,5.15,,,,,,,,,,117.58,15.07,,,,,,,,,,,,,,,,,,,,,,,,1.85,,23470.6,,1063.71,179.61,,,,,,,,,,,,,,,,,,,,,210.69,,,,Melbourne - North West
211,21431.34,,,,,2.43,1610.9,1609.13,3918.71,0.69,1742.22,1762.22,1193.65,866.81,383436.83,,,342055.81,,420.97,318.85,2.7,691.28,889.39,1865.33,398.92,,,,,,,,,1.83,3.83,7.0,,,,,,,,,,10324.26,,,,405.32,,,,,,,,,1.77,4236.44,7512.91,7911.83,7911.83,410.16,,,,513.42,190.78,4828.83,1209.94,1049.76,160.18,Melbourne - Outer East
212,68483.28,,,,,2.32,188.27,193.5,436.6,1.8,,,,2017.96,1251847.35,137907.04,,377801.93,658.47,770.64,157.68,3.09,904.67,997.33,2791.21,3663.02,,,,,,,192.0,,,,,,,,,,,,,,51757.82,,7296.06,10160.81,2962.08,,,,,,,,,2.51,3751.4,9418.02,13081.05,13081.05,898.03,2.33,2656.93,4053.12,6187.44,513.4,4935.43,1754.14,1664.68,,Melbourne - South East
213,25060.0,,,,,2.27,138.37,35.82,314.7,,,,,1706.33,4518250.16,,,,,188.12,147.28,5.08,94.7,100.71,480.83,379.27,1.34,273.14,754.23,367.18,6.16,1826.36,3254.27,11246.64,,,,,,,,,,,3.82,446.3,12166.07,1704.9,,,14933.99,,,,,,,,,3.74,7015.15,26237.71,26616.98,26616.98,222.29,2.86,4236.28,5156.74,12123.47,8833.89,,,,,Melbourne - West
214,21051.28,,,,,1.77,552.63,586.3,980.85,0.28,,,,2275.0,403585.66,,,258215.26,,343.4,120.98,3.65,209.5,212.19,765.02,3162.68,,,,,,,,,,,,462.0,,,,,,,,,,,,70.94,1567.33,,,,,,,,,2.21,3440.88,7617.63,10780.32,10780.32,,4.09,1342.47,1562.05,5492.82,,3807.24,885.29,702.01,183.28,Mornington Peninsula
215,4718888.82,,,,,11.01,27057.08,28143.89,298015.62,6.55,16706.82,20566.1,109507.44,15614.89,21405049.01,6359890.91,2496.46,18449678.59,157063.05,4475.09,1164.33,0.94,537.47,1488.46,503.9,16303.33,1.29,8508.61,622095.24,10941.37,,,1992313.54,12658.81,2.24,346.58,777.7,,2.07,23929.8,49650.87,2.42,,37255.94,2.61,29303.57,1169701.53,76402.06,172666.66,22829.66,587.83,,,,,,,,,4.45,137533.34,611901.19,628204.52,628204.52,1915.66,4.51,3589.65,3772.23,16187.48,284759.75,11166.99,314159.4,313715.58,443.82,North West
216,636233.82,,,,,4.8,8887.45,9616.53,42646.41,1.82,1704.7,1766.46,3102.01,58036.54,25584982.43,,,14627810.38,202651.02,2237.0,1679.55,5.45,172.84,222.08,941.21,22418.36,1.29,4966.0,36890.65,6393.39,2.16,10395.08,116378.52,22420.23,0.83,,,,2.69,34056.58,91470.41,3.02,19240.58,58191.49,3.36,130356.6,336202.9,438220.69,113524.05,32292.76,10841.48,,,,,,,,,3.17,212819.84,674003.26,696421.63,696421.63,,4.54,2181.14,3223.72,9901.7,591891.07,7845.26,27794.99,27766.09,,Shepparton
217,1541033.58,,,,,1.7,25.86,27.33,43.86,0.58,117.64,117.64,68.81,91287.12,542709.7,,,,,3852.69,323.32,2.71,15.36,49.88,41.54,77178.97,,,37961.53,,0.32,,77254.95,,0.77,372.46,,,4.81,,,,,2802.39,3.78,7460.43,1278335.18,28214.3,120692.59,65459.87,,,,,,,,,,2.53,13590.87,34431.62,111610.6,111610.6,2378.81,2.16,,,,,13213.04,2175.66,1648.89,526.77,Warrnambool and South West
301,35953.95,,,,,,,,,,,,,75.47,,,,,,41.91,21.44,7.28,80.86,98.95,588.43,351.35,,,,,,,,,,,,,,,,,,,,,35227.12,,26.0,,,,,,,,,,,6.08,120.47,732.75,1084.1,1084.1,249.29,3.64,39.6,118.74,144.32,,756.9,2.44,2.44,,Brisbane - East
302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Brisbane - North
303,78.93,,,,,,,,,,,,,243.41,,,,,,,4.36,1.98,,,16.56,10.58,,,,,,,,,,,,,,,,,,,,,14.2,,,,,,,,,,,,,9.28,27.3,253.21,263.79,263.79,9.85,12.5,18.93,,236.66,,6.32,4.21,,4.21,Brisbane - South
304,,,,,,3.58,,,,,,,,,,,,,,3.19,3.19,5.0,1.4,1.4,7.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.78,,,,,,,,,,,,,,,Brisbane - West
306,640180.92,,,,,5.61,9315.27,15938.97,52213.18,,,27.77,,30630.25,3573015.68,,,500685.19,6210.79,1361.69,394.42,7.38,,,,4992.86,2.42,324.1,1444.41,784.74,5.55,682.69,2374.87,,4.09,559.14,2284.75,,3.61,435.37,1571.2,5.0,51.43,257.14,3.91,2258.54,479372.95,8839.15,2094.01,239.65,,6.36,,,,5.13,6074.33,87128.65,31184.77,5.17,20758.72,107420.53,112413.39,112413.39,,5.86,824.1,1124.87,4830.89,46245.24,2194.61,32188.54,9439.29,22749.24,Cairns
307,14022180.19,7.22,107030.16,175935.75,772858.19,2.43,2613.4,2427.53,6349.42,4.76,182.4,307.85,868.29,118601.6,6880164.41,,1585.71,3510074.0,22870.22,4656.09,717.23,,,287.74,,52441.13,,,364239.45,,1.95,17808.56,871860.6,34676.14,,,,363.15,2.62,4102.98,10758.78,5.11,1952.32,9975.69,1.99,,11204369.89,,27171.88,28423.51,14892.97,,,,,,,,,5.45,163907.77,893306.07,945747.2,945747.2,,2.51,3405.8,5866.02,8551.15,64908.19,324665.32,421904.25,380524.56,41379.69,Darling Downs - Maranoa
