sa4_code16,area_holding_tot_area_ha_a,cotton_app_rt_ml_ha,cotton_area_wtrd_ha,cotton_tot_area_ha_e,cotton_vol_app_ml,fruit_trees_nut_trees_plntn_berry_fruits_app_rt_ml_ha,fruit_trees_nut_trees_plntn_berry_fruits_area_wtrd_ha,fruit_trees_nut_trees_plntn_berry_fruits_tot_area_ha,fruit_trees_nut_trees_plntn_berry_fruits_vol_app_ml,grapevines_app_rt_ml_ha,grapevines_area_wtrd_ha,grapevines_tot_area_ha,grapevines_vol_app_ml,groundwtr_eg_bores_springs_wells_tot_vol_used_ml,irrigate_expendure_yr_irrigate_wtr_vol_use_chrgs_tot_cst_aud,irrigate_expendure_pur_xtr_wtr_perm_basis_tot_cst_aud,irrigate_expendure_pur_xtr_wtr_perm_basis_tot_vol_pur_ml,irrigate_expendure_pur_xtr_wtr_tmp_basis_tot_cst_aud,irrigate_expendure_pur_xtr_wtr_tmp_basis_tot_vol_pur_ml,num_agri_bsns_num,num_agri_bsns_irrigating_num,nurseries_cut_floers_cultivated_turf_app_rt_ml_ha,nurseries_cut_floers_cultivated_turf_area_wtrd_ha,nurseries_cut_floers_cultivated_turf_tot_area_ha,nurseries_cut_floers_cultivated_turf_vol_app_ml,oth_agri_wtr_use_vol_used_ml_b,oth_broadacre_crp_app_rt_ml_ha,oth_broadacre_crp_area_wtrd_ha,oth_broadacre_crp_tot_area_ha,oth_broadacre_crp_vol_app_ml,oth_crls_grain_seed_eg_wheat_oats_maize_app_rt_ml_ha,oth_crls_grain_seed_eg_wheat_oats_maize_area_wtrd_ha,oth_crls_grain_seed_eg_wheat_oats_maize_tot_area_ha,oth_crls_grain_seed_eg_wheat_oats_maize_vol_app_ml,oth_crp_nec_app_rt_ml_ha,oth_crp_nec_area_wtrd_ha,oth_crp_nec_vol_app_ml,oth_srcs_wtr_excluding_rainfall_tot_vol_used_ml,pstrs_incl_lcrn_crl_crp_cut_hay_app_rt_ml_ha_c,pstrs_incl_lcrn_crl_crp_cut_hay_area_wtrd_ha_c,pstrs_incl_lcrn_crl_crp_cut_hay_vol_app_ml_c,pstrs_incl_lcrn_crl_crp_cut_silg_app_rt_ml_ha_d,pstrs_incl_lcrn_crl_crp_cut_silg_area_wtrd_ha_d,pstrs_incl_lcrn_crl_crp_cut_silg_vol_app_ml_d,pstrs_incl_lcrn_crl_crp_used_graze_fed_off_app_rt_ml_ha,pstrs_incl_lcrn_crl_crp_used_graze_fed_off_area_wtrd_ha,pstrs_incl_lcrn_crl_crp_used_graze_fed_off_tot_area_ha,pstrs_incl_lcrn_crl_crp_used_graze_fed_off_vol_app_ml,pstrs_incl_lcrn_crl_oth_crp_cut_hay_tot_area_ha,pstrs_incl_lcrn_crl_oth_crp_cut_silg_tot_area_ha,recyc_re_used_wtr_off_farm_srcs_tot_vol_used_ml,rice_app_rt_ml_ha,rice_area_wtrd_ha,rice_tot_area_ha,rice_vol_app_ml,sugar_cane_app_rt_ml_ha,sugar_cane_area_wtrd_ha,sugar_cane_tot_area_ha_f,sugar_cane_vol_app_ml,tot_app_rt_ml_ha,tot_area_wtrd_ha,tot_vol_app_ml,tot_vol_app_used_incl_oth_agri_wtr_ml,tot_vol_wtr_all_srcs_ml,town_reticulated_mns_supply_tot_vol_used_ml,vegetables_human_consumption_app_rt_ml_ha,vegetables_human_consumption_area_wtrd_ha,vegetables_human_consumption_tot_area_ha,vegetables_human_consumption_vol_app_ml,wtr_tkn_irrigate_channels_irrigate_pipelines_tot_vol_used_ml,wtr_tkn_on_farm_dams_tanks_tot_vol_used_ml,wtr_tkn_rivs_crks_lakes_etc_tot_vol_used_ml,wtr_tkn_rivs_crks_lakes_etc_vol_use_chrg_occurs_tot_vol_used_ml,wtr_tkn_rivs_crks_lakes_etc_no_vol_use_chrg_tot_vol_used_ml,sa4_name16
318,8721384.69,5.45,,,,1.68,1368.24,1675.59,2296.15,5.01,26.09,26.09,130.73,237681.7,16128527.95,,,1059663.36,35913.09,1348.74,614.51,,226.22,227.8,,18688.46,1.6,1138.33,1016.04,1815.71,2.36,383.96,1314.1,905.49,,,,,2.72,,,,,,3.75,359.54,8433816.74,1348.34,2059.49,,18229.06,15.0,4.0,4.0,60.0,8.21,75440.27,128522.29,619672.06,7.69,83723.52,643842.65,662531.11,662531.11,35.71,3.23,4190.51,4568.53,13537.2,271933.4,31292.72,103358.52,71912.9,,Townsville
319,3021294.32,4.84,364.07,634.69,1760.61,3.82,13603.41,16227.73,51952.47,3.14,294.38,326.39,924.04,57710.24,19051567.44,976415.12,3310.38,1193568.03,26876.8,2763.44,1002.6,6.34,208.67,319.2,1323.19,17686.73,2.33,2253.97,8545.37,5260.41,1.93,1828.68,19531.79,3536.35,,,174.2,0.01,3.93,3084.4,12115.94,0.86,,1358.62,3.15,4304.15,2576924.31,13537.81,8045.8,3750.51,3770.9,,,,,3.84,49762.86,60974.72,190843.25,3.61,81784.77,295357.83,313044.56,313044.56,,2.84,4425.11,5037.34,12570.95,134677.09,50536.74,64889.27,59829.28,5059.98,Wide Bay
401,45380.13,,,,,2.69,1931.01,1950.52,5188.3,1.12,2182.76,2410.76,2442.6,10159.41,374316.84,,,,167.41,434.0,279.23,,,122.3,,1048.24,,,66.3,,,,113.88,,,,,,2.86,207.11,592.91,,,,6.65,612.48,33621.83,4072.21,3709.49,,62.97,,,,,,,,,2.59,5200.12,13482.05,14530.29,14530.29,72.38,5.95,129.47,150.19,769.77,467.84,3364.41,403.28,392.08,11.2,Adelaide - Central and Hills
402,18081.79,,,,,5.9,831.38,831.38,4905.2,1.9,466.42,633.92,885.62,5003.76,1594360.63,,,208278.38,614.79,329.02,258.35,,,68.36,,179.13,,,1405.36,,,,5338.79,,,,,,1.04,,,,,,,,3543.64,,1021.2,,7191.64,,,,,,,,,4.72,3057.58,14440.12,14619.25,14619.25,417.95,5.13,1592.58,1621.48,8164.26,,1328.57,,,8.59,Adelaide - North
403,14812.61,,,,,,122.33,168.3,303.84,1.14,5630.9,6022.4,6392.8,3691.89,2511773.07,,,49479.4,,235.1,206.04,,,13.49,,199.01,,,,,,,,,,,,,,,,,,,,,5755.43,,,,2199.24,,,,,,,,,1.17,5766.21,6733.06,6932.07,6932.07,493.88,0.48,5.2,5.2,2.5,,350.0,,,,Adelaide - South
405,3428882.06,,,,,0.95,255.42,306.93,243.65,0.91,13421.21,14369.05,12172.66,8720.74,6130145.09,1660131.45,1107.44,574418.18,,2806.52,484.73,,,,,16861.17,,,365796.57,,,,1130080.71,,,,,,0.79,,,,,,,,1416956.2,,118811.04,2411.11,1671.3,,,,,,,,,0.44,38417.63,17087.47,33948.64,33948.64,10047.43,5.45,342.41,342.71,1866.05,4457.11,6567.15,2484.92,2148.08,336.84,Barossa - Yorke - Mid North
406,41968834.23,,,,,,,,,,,,,4432.45,,,,,,1320.57,32.26,,,,,15783.57,,,208094.45,,,,1326605.88,,,,,,,,,,,,,,38712632.72,,15974.12,,,,,,,,,,,,,,21113.28,21113.28,7549.05,,30.38,30.79,,,7250.63,539.08,341.2,197.87,South Australia - Outback
407,4244461.79,,,,,7.33,13434.47,13946.46,98440.22,4.2,34805.8,37262.08,146233.72,237666.91,11295361.17,5485406.39,4218.21,5767174.76,53685.82,4536.13,1777.4,5.1,532.02,553.96,2714.01,32434.08,1.43,,164095.29,,1.57,,819983.33,5054.75,4.4,5907.4,25994.57,,3.63,15424.33,56016.89,2.3,1171.88,2695.78,3.65,26208.5,2344440.81,95595.22,141490.72,10515.93,1045.34,,,,,,,,,4.4,110713.47,486937.47,519371.56,519371.56,6492.18,5.43,9954.49,10254.49,54099.46,97173.97,5038.81,171915.3,145585.45,26329.85,South Australia - South East
501,503853.66,,,,,4.9,3946.02,4080.9,19328.98,1.38,7050.61,7943.37,9714.84,29200.94,2842797.25,,,399413.81,6388.83,1590.43,712.45,3.09,285.09,286.3,881.04,9102.04,,,,,6.8,71.06,18035.8,483.21,5.73,47.3,270.98,,2.71,1537.39,4172.53,8.83,92.54,817.11,6.53,6666.68,393187.67,43506.61,29793.02,12683.72,,,,,,,,,,4.25,23201.56,98631.97,107734.0,107734.0,,5.55,3504.87,4700.47,19456.67,40737.8,34403.88,3302.8,974.68,2328.12,Bunbury
502,32964.26,,,,,,,,,0.1,40.0,40.0,4.0,577.89,,,,,,121.86,,,,,,659.66,,,,,,,,,,,,,,,,,,,4.0,,27630.63,,2121.06,,,,,,,,,,,,64.93,,763.39,763.39,,,,,,,,,,,Mandurah
504,,,,,,7.86,85.15,91.54,669.41,3.52,253.34,285.44,891.22,3041.2,,,,,,117.02,82.7,9.55,77.49,77.49,739.79,305.93,,,,,,,,,,,,,,,,12.42,40.0,496.74,1.41,295.78,,,80.41,100.0,,,,,,,,,,4.31,756.21,3255.59,3561.52,3561.52,,9.09,4.44,5.34,40.38,,444.88,,,,Perth - North East
505,3842.76,,,,,16.08,79.28,79.28,1274.71,3.35,,,,10745.51,,,,,,118.38,99.58,14.18,318.93,321.81,4522.31,281.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.18,859.16,10468.68,10750.12,10750.12,,10.25,453.43,465.56,4646.51,,4.59,,,,Perth - North West
506,19137.55,,,,,3.67,596.7,617.87,2187.25,0.15,,,,4884.22,,,,,,249.49,141.0,8.84,208.69,209.04,1845.15,1625.47,,,,,,,,,,,,,,,,,,,2.71,108.35,14551.42,294.1,2325.73,,195.31,,,,,,,,,4.83,1089.48,5264.23,6889.7,6889.7,,6.6,141.23,144.95,932.66,760.0,,,,,Perth - South East
507,1468.99,,,,,23.67,,,,3.85,,,,1291.05,,,,,,65.86,55.8,5.41,36.24,36.24,196.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.55,100.95,661.73,1333.05,1333.05,42.0,5.72,56.71,57.46,,,,,,,Perth - South West
509,12278702.5,,,,,4.88,3941.45,4104.53,19229.36,0.96,1811.23,1998.84,1741.47,57075.63,739674.53,,,,,4887.95,273.93,6.51,608.19,620.26,3956.75,48593.49,0.14,13997.21,1078701.23,1913.62,0.32,37222.86,4749840.08,12000.84,0.5,4.04,2.02,0.91,17.67,71.06,1255.29,,,,,19526.54,3970452.24,4003.86,156945.44,14186.43,188.4,,,,,,,,,0.82,79153.77,64791.87,113385.35,113385.35,10948.39,10.5,1971.2,2213.93,20688.65,5320.83,36090.29,3760.89,2310.61,1450.28,Western Australia - Wheat Belt
510,29237404.16,,,,,11.19,240.95,243.32,2696.63,,,,,17199.65,1507409.45,,,,,172.64,70.7,8.07,49.33,49.33,398.16,15588.9,12.48,2096.94,1501.6,26166.87,11.52,2210.84,3765.93,25479.57,11.11,183.49,2038.82,50.6,7.13,757.1,5398.08,13.56,,,2.3,,28517441.24,140.05,2619.03,1578.34,190.0,,,,,,,,,10.68,6982.57,74554.02,90142.92,90142.92,,7.72,1116.93,1209.69,8627.83,62882.88,1647.74,8172.05,5532.9,2639.15,Western Australia - Outback (North)
511,41681525.21,,,,,11.31,356.97,1233.86,4037.19,7.24,140.35,143.99,1016.17,15751.13,1141332.56,,,,,1549.54,137.75,13.96,29.37,42.87,409.99,12052.62,0.47,5970.38,724225.78,2793.14,0.25,23139.85,2019157.49,5670.03,,,,,,,,,,,0.12,7314.4,36868084.76,894.87,14673.21,863.75,,,,,,,,,,0.46,37579.89,17226.38,29279.0,29279.0,1498.4,3.83,628.57,871.09,2405.0,3356.16,7347.5,1325.81,,,Western Australia - Outback (South)
601,50005.79,,,,,2.04,179.35,181.85,365.95,1.56,174.18,253.08,271.24,37.4,,,,124381.72,385.61,123.79,75.2,5.74,48.87,,280.36,258.68,,,,,1.71,,,,5.13,37.56,,,2.26,255.9,578.11,3.22,84.87,273.18,1.96,968.99,19577.66,1895.2,626.1,338.92,1467.42,,,,,,,,,2.39,2159.93,5161.26,5419.95,5419.95,,3.41,355.28,557.31,1210.33,1327.89,2002.84,,,,Hobart
602,686789.98,,,,,2.95,596.99,608.42,1762.7,0.89,448.25,525.86,398.74,4891.13,2292544.73,819172.77,5483.57,257552.53,5399.54,934.31,453.92,5.01,8.89,,44.48,12738.29,2.36,4849.29,1889.39,11457.5,1.95,5454.83,14582.12,10620.26,3.05,3654.31,11157.56,,2.6,3766.13,9789.0,2.29,1197.04,2742.24,2.46,29240.67,461851.19,71987.32,28547.43,10700.46,651.93,,,,,,,,,2.54,53785.36,136882.36,149620.64,149620.64,202.92,3.7,4568.97,6260.98,16922.57,31715.07,45602.38,66557.22,34832.37,31724.86,Launceston and North East
603,473155.31,,,,,3.16,1819.94,1848.45,5748.85,2.24,341.85,392.29,764.97,200.04,1023705.38,,,78237.57,1970.77,456.47,206.55,1.37,99.1,,135.81,4122.8,1.94,1429.75,219.6,2780.81,2.36,1360.15,4200.47,3209.04,4.17,434.75,1811.96,60.64,2.85,717.42,2043.02,3.24,487.77,1580.07,2.02,10672.89,345692.84,21598.48,4853.32,1307.97,,,,,,,,,,2.29,17399.25,39778.33,43901.13,43901.13,131.64,2.96,35.63,80.73,105.33,6564.81,14513.3,22425.82,10244.44,12181.38,South East
604,270336.31,,,,,0.98,259.15,380.46,254.91,0.5,29.56,48.04,14.78,15159.79,1075753.65,,1266.11,121802.22,971.62,934.67,395.06,2.63,112.39,123.27,295.7,10558.05,1.44,2106.68,1503.01,3038.27,0.95,268.82,1663.85,256.37,1.61,,,,4.92,551.76,,2.68,730.99,1958.72,2.43,13422.29,205933.09,32572.77,17328.18,15325.17,485.4,,,,,,,,,2.44,23629.26,57730.97,68289.02,68289.02,187.29,2.8,5647.89,6625.63,15818.42,3307.64,33761.88,15387.02,6658.08,8728.94,West and North West
701,95846.5,,,,,2.59,2232.0,2308.52,5779.94,,,,,6918.14,,,,,,112.86,92.1,3.29,68.88,68.88,226.8,,,,,,,,,,,,,,,,,,,,,,36051.24,,977.51,,,,,,,,,,,,,,7266.75,7266.75,157.81,2.46,280.6,344.23,689.13,72.13,110.11,8.55,5.64,2.91,Darwin
702,54484199.96,,,,,3.67,693.58,818.87,2543.87,11.58,165.2,165.2,1912.59,50121.38,120301.76,,,,,259.95,64.61,2.37,3.43,3.43,8.11,41362.92,2.32,117.69,182.55,273.08,,,608.98,,,,,,7.04,249.69,1758.87,7.17,305.13,2187.31,2.01,15128.52,49858910.16,30402.63,12606.66,1292.96,,11.11,70.86,70.86,787.3,,,,,2.6,17874.6,46535.53,87898.45,87898.45,15.7,5.84,1140.51,1204.9,6661.78,52.67,33858.3,3850.4,577.95,3272.45,Northern Territory - Outback
801,24970.82,,,,,,,,,1.32,9.3,9.3,12.3,28.24,,,,,,36.24,4.0,,,,,,,,17.0,,,,17.0,,,,,,,,,,,,,,23204.62,,25.0,,,,,,,,,,,,,,510.66,510.66,11.59,,,,,,380.34,90.5,85.42,5.08,Australian Capital Territory
