sa4_code16,agbeefallot_f,agbeefcalle1_f,agbeefcatlano_f,agbeefcowsano_f,agbewes1ano_f,agbewesmerge1ano_f,agbewesothge1ano_f,agbroadcrpallaha_f,agcatldispano_f,agcereal_ahabar_f,agcereal_ahamai_f,agcereal_ahaoat_f,agcereal_ahaoth_f,agcereal_aharic_f,agcereal_ahasor_f,agcereal_ahatri_f,agcereal_ahawht_f,agcereal_atobar_f,agcereal_atomai_f,agcereal_atooat_f,agcereal_atooth_f,agcereal_atoric_f,agcereal_atosor_f,agcereal_atotri_f,agcereal_atowht_f,agcerehay_aha_f,agcerehay_ato_f,agchickensanolay_f,agchickensanomea_f,agcottlintakg_f,agcottlintakgirr_f,agcottlintakgnon_f,agcottpltdaha_f,agcottpltdahairr_f,agcottpltdahanon_f,agcroptotaha_f,agdairallot_f,agdaircales1_f,agdaircowsano_f,agdairheifanogt2_f,agdairheifanole2_f,agdairy_ano_f,ageggprodado_f,ageweslmbmark_f,agewesmateanomer_f,agewesmateanooth_f,agfloers_aha_f,agfloers_ahaout_f,agfloersundaha_f,agfloerupano_f,agfrutalmnum_f,agfrutalmoakg_f,agfrutalmotba_f,agfrutalmotnb_f,agfrutapplakg_f,agfrutapptba_f,agfrutapptnb_f,agfrutapptree_f,agfrutapriakg_f,agfrutaprtba_f,agfrutaprtnb_f,agfrutaprtre_f,agfrutavocakg_f,agfrutavotba_f,agfrutavotnb_f,agfrutavotree_f,agfrutbanaaha_f,agfrutbanaahabea_f,agfrutbanaahanyb_f,agfrutbanaato_f,agfrutcherakg_f,agfrutchertba_f,agfrutchertnb_f,agfrutchertree_f,agfrutmacatba_f,agfrutmacatnb_f,agfrutmacnum_f,agfrutmandakg_f,agfrutmandtba_f,agfrutmandtnb_f,agfrutmandtre_f,agfrutmangakg_f,agfrutmangtba_f,agfrutmangtnb_f,agfrutmantree_f,agfrutmcdmakg_f,agfrutnaspearakg_f,agfrutnaspeartba_f,agfrutnaspeartnb_f,agfrutnasptree_f,agfrutnectakg_f,agfrutnectree_f,agfrutnecttba_f,agfrutnecttnb_f,agfrutnutotaha_f,agfrutolitree_f,agfrutolivakg_f,agfrutolivtba_f,agfrutolivtnb_f,agfrutoorcano_f,agfrutorcba_f,agfrutorcnyb_f,agfrutorctot_f,agfrutorngakg_f,agfrutorngtba_f,agfrutorngtnb_f,agfrutorngtree_f,agfrutothcittba_f,agfrutothcittnb_f,agfrutothcittr_f,agfrutothha_f,agfrutothnum_f,agfrutothnuttnb_f,agfrutothnutttb_f,agfrutothorctba_f,agfrutothorctnb_f,agfrutothpomtba_f,agfrutothpomtnb_f,agfrutothpomtr_f,agfrutothrahabea_f,agfrutothrahanyb_f,agfrutothstre_f,agfrutotsttba_f,agfrutotsttnb_f,agfrutpeactba_f,agfrutpeactnb_f,agfrutpeatree_f,agfrutpechakg_f,agfrutpineaha_f,agfrutpineahabea_f,agfrutpineahanyb_f,agfrutpineato_f,agfrutstrwahabea_f,agfrutstrwakg_f,aggrape_aha_f,aggrape_ahabea_f,aggrape_ahanyb_f,aggrape_ato_f,aggrapeothaha_f,aggrapeothahabea_f,aggrapeothahanyb_f,aggrapeothato_f,aggrapewinaha_f,aggrapewinahabea_f,aggrapewinahanyb_f,aggrapewinato_f,aglambmarked_f,aglambmarkmerano_f,aglambmarkothano_f,aglambslt1ano_f,aglandtotlaha_f,aglucrnhay_aha_f,aglucrnhay_ato_f,agnurflwtuaha_f,agnursbpcupano_f,agnursery_aha_f,agnursery_ahaout_f,agnurseryundaha_f,agnursfnvupano_f,agnurshvupano_f,agnursinplupano_f,agnurspropupano_f,agnurspsbupano_f,agnursptsupano_f,agorchardsaha_f,agothchickenano_f,agothcrhayaha_f,agothcrhayato_f,agothcrop_aha_f,agothcrop_ahacan_f,agothcrop_ahaoil_f,agothcrop_ahaopu_f,agothcrop_ahapnt_f,agothcrop_akgpnt_f,agothcrop_atocan_f,agothcrop_atooil_f,agothcrop_atoopu_f,agothlstokanohld_f,agothpltryano_f,agothsheepano_f,agpasceothsilaha_f,agpasceothsilato_f,agpascrhayaha_f,agpascrhayato_f,agpasthay_aha_f,agpasthay_ato_f,agpigbopigano_f,agpigbsow_ano_f,agpigs_ano_f,agsheeplmbano_f,agsugarcanaha_f,agsugarcrsaha_f,agsugarcrsato_f,agsugnfcrushaha_f,agturf_aha_f,agturfrollupano_f,agvegbeanaha_f,agvegbeankg_f,agvege_aha_f,agvegebrocaha_f,agvegebrocakg_f,agvegebrusaha_f,agvegebrusakg_f,agvegecabbaha_f,agvegecabbato_f,agvegecapsaha_f,agvegecapsahaout_f,agvegecapsakg_f,agvegecapsakgout_f,agvegecapsakgund_f,agvegecapsam2und_f,agvegecarraha_f,agvegecarrato_f,agvegecaulaha_f,agvegecaulato_f,agvegecornaha_f,agvegecornato_f,agvegeletahaout_f,agvegeletakgout_f,agvegeletakgund_f,agvegeletam2und_f,agvegelettaha_f,agvegelettakg_f,agvegemelnaha_f,agvegemelnato_f,agvegemushakg_f,agvegemusham2_f,agvegeonioaha_f,agvegeonioato_f,agvegeoth_aha_f,agvegepeasaha_f,agvegepeasahamkt_f,agvegepeasahapro_f,agvegepeasakg_f,agvegepeasakgmkt_f,agvegepeasakgpro_f,agvegepotaaha_f,agvegepotaahamkt_f,agvegepotaahapro_f,agvegepotaato_f,agvegepotaatomkt_f,agvegepotaatopro_f,agvegepumpaha_f,agvegepumpato_f,agvegetomaaha_f,agvegetomaahamko_f,agvegetomaahamkt_f,agvegetomaahapro_f,agvegetomaakgmku_f,agvegetomaam2mku_f,agvegetomaato_f,agvegetomaatomko_f,agvegetomaatomkt_f,agvegetomaatopro_f,sa4_name16
101,1330.0,1345.0,1626.0,1403.0,1680.0,1283.0,1013.0,578.0,1680.0,,,,3.0,,,30.0,,,,,3.0,,,30.0,,,,19.0,14.0,,,,,,,944.0,123.0,120.0,,73.0,94.0,,19.0,1475.0,982.0,1231.0,10.0,8.0,2.0,12.0,,,,,,,,,10.0,10.0,,10.0,,,,,,,,,,,27.0,,,,,2.0,2.0,,2.0,,,,,,1.0,1.0,,1.0,16.0,16.0,16.0,,,,,,1.0,1.0,,,,8.0,8.0,1.0,8.0,2.0,6.0,8.0,,2.0,,2.0,1.0,,1.0,,1.0,,,,,9.0,8.0,,8.0,8.0,,,,,,,,,3.0,,,,,,,,3.0,,1545.0,1013.0,1219.0,1376.0,2545.0,,,,2.0,,,15.0,6.0,4.0,,10.0,,4.0,,,7.0,7.0,,,,21.0,,,,,21.0,,40.0,1505.0,,,481.0,481.0,,,34.0,22.0,34.0,1739.0,,,,,2.0,2.0,1.0,1.0,,2.0,2.0,,,,,,,,,1.0,1.0,,,2.0,2.0,,,,,1.0,1.0,,,1.0,1.0,1.0,1.0,,,14.0,1.0,1.0,,1.0,1.0,,,,,,,,,,,,,,1.0,1.0,,,,,Capital Region
102,26.0,13.0,27.0,27.0,4.0,,4.0,6.0,27.0,,,,,,,,,,,,,,,,,,,7.0,,,,,,,,,,,,,,,7.0,1.0,,1.0,,13.0,14.0,13.0,,,,,,,,,,,,,,,9.0,20.0,,,,,,,,,,,,4.0,4.0,1.0,,,,,,,,,,,8.0,8.0,8.0,4.0,,3.0,3.0,3.0,3.0,,,27.0,,,,,,,12.0,21.0,1.0,,,,,,1.0,,1.0,1.0,1.0,7.0,7.0,3.0,5.0,3.0,7.0,5.0,,,,,6.0,6.0,,,,,,,,,,,,,1.0,,1.0,2.0,,6.0,6.0,,2.0,,,10.0,3.0,2.0,,7.0,,6.0,,,,,6.0,,,,,,,,,54.0,3.0,3.0,,,6.0,6.0,,,,,,4.0,,,,,4.0,4.0,,,60.0,24.0,24.0,,,7.0,7.0,6.0,6.0,6.0,6.0,,,3.0,3.0,22.0,22.0,6.0,6.0,22.0,22.0,,,22.0,22.0,,,,,,,55.0,,,,,,,6.0,6.0,,6.0,6.0,,6.0,6.0,10.0,3.0,10.0,,7.0,7.0,10.0,3.0,10.0,,Central Coast
103,1785.0,1704.0,2229.0,2057.0,2537.0,1399.0,1619.0,2052.0,2261.0,829.0,5.0,1021.0,12.0,4.0,6.0,111.0,1393.0,829.0,5.0,1021.0,12.0,4.0,6.0,111.0,1393.0,661.0,661.0,14.0,,27.0,19.0,8.0,27.0,19.0,8.0,2701.0,59.0,,,32.0,25.0,70.0,14.0,2269.0,899.0,1861.0,2.0,2.0,,2.0,,,,,,,,,2.0,2.0,,2.0,,,,,,,,,,,4.0,,,,,,,,,,,,,,4.0,4.0,,4.0,9.0,9.0,9.0,,,10.0,5.0,5.0,6.0,,,20.0,,1.0,1.0,,1.0,,,,5.0,2.0,2.0,,,,,,,5.0,2.0,5.0,5.0,2.0,15.0,,15.0,15.0,,,,,2.0,2.0,,,22.0,,,,,,,,22.0,,2451.0,980.0,2026.0,2219.0,3994.0,,,,,4.0,3.0,4.0,,,1.0,,,3.0,,9.0,47.0,47.0,,705.0,,,,,705.0,,,,5.0,2110.0,,,1434.0,1434.0,,,71.0,71.0,71.0,2758.0,,,,,3.0,3.0,2.0,2.0,,,,3.0,3.0,,,2.0,2.0,2.0,2.0,,,2.0,2.0,,,11.0,11.0,3.0,3.0,2.0,2.0,5.0,5.0,,,,,,,11.0,,,,,,,7.0,2.0,5.0,7.0,2.0,5.0,,,4.0,2.0,4.0,,2.0,2.0,4.0,2.0,4.0,,Central West
104,,,,,23.0,,23.0,,,23.0,30.0,1.0,,,,1.0,,23.0,30.0,1.0,,,,1.0,,26.0,26.0,2.0,,,,,,,,,17.0,21.0,42.0,,17.0,45.0,2.0,23.0,,23.0,6.0,6.0,,5.0,,,,,,,,,,,,,9.0,9.0,3.0,9.0,34.0,26.0,13.0,26.0,,,,,5.0,,5.0,,,,,4.0,4.0,4.0,4.0,5.0,,,,,,,,,,4.0,4.0,4.0,,1.0,25.0,10.0,27.0,,,,,,2.0,2.0,,,,,1.0,1.0,,,,,,4.0,4.0,,,,,,,,,,4.0,4.0,,,,,,,,,,,,,23.0,,23.0,23.0,,5.0,5.0,,,11.0,9.0,10.0,,,3.0,2.0,,5.0,19.0,2.0,,,25.0,,,2.0,,,,,2.0,,,23.0,8.0,8.0,63.0,63.0,56.0,56.0,,4.0,4.0,23.0,119.0,111.0,111.0,,4.0,2.0,,,,,,,,2.0,2.0,7.0,,7.0,,7.0,7.0,,,,,2.0,2.0,,,,,,,,,,,,,,,,,,,,8.0,6.0,2.0,8.0,6.0,2.0,6.0,6.0,9.0,,9.0,,9.0,9.0,9.0,,9.0,,Coffs Harbour - Grafton
105,1623.0,1482.0,1976.0,1769.0,1895.0,1229.0,971.0,1582.0,1988.0,621.0,7.0,,3.0,,25.0,5.0,1078.0,621.0,7.0,,3.0,,25.0,5.0,1078.0,,,8.0,1.0,,,22.0,,,22.0,1732.0,24.0,39.0,39.0,5.0,18.0,50.0,8.0,1592.0,706.0,1203.0,1.0,1.0,,1.0,,,,,,,,,,,2.0,2.0,,,,,2.0,,2.0,,1.0,1.0,,1.0,,,,,,4.0,4.0,,,,,,,,,,3.0,3.0,3.0,2.0,18.0,,,,,2.0,,8.0,17.0,5.0,5.0,,5.0,,,,6.0,2.0,,2.0,2.0,2.0,,,,,6.0,,,,1.0,2.0,3.0,1.0,,,,,,,10.0,8.0,2.0,8.0,,,,,10.0,8.0,2.0,8.0,1764.0,763.0,1338.0,1654.0,2979.0,,,7.0,,3.0,3.0,2.0,1.0,,,3.0,,,,18.0,21.0,21.0,,,8.0,582.0,,,,8.0,582.0,,13.0,1519.0,,,,,,,38.0,34.0,38.0,2035.0,,,,,4.0,4.0,,,32.0,2.0,2.0,,,12.0,12.0,,,,,,,1.0,1.0,8.0,8.0,14.0,14.0,,,,,,,1.0,1.0,6.0,6.0,,,,,,,,,,,,,,,,2.0,2.0,,,,,,,,,,,Far West and Orana
106,,,917.0,,,,82.0,107.0,982.0,47.0,3.0,32.0,,,,,35.0,47.0,3.0,32.0,,,,,35.0,21.0,21.0,15.0,50.0,,,,,,,,47.0,74.0,,48.0,,,15.0,,49.0,92.0,2.0,2.0,,2.0,,,,,8.0,8.0,,8.0,,,,,,,,,,,,,,,,,,,,2.0,2.0,,2.0,,,8.0,8.0,,,,,,,,,,6.0,12.0,4.0,4.0,8.0,,18.0,10.0,18.0,2.0,2.0,2.0,2.0,2.0,,2.0,,3.0,,3.0,,,,,,,,,,,,,,,,,,,,,69.0,61.0,16.0,61.0,8.0,,8.0,,61.0,61.0,8.0,61.0,,50.0,115.0,,1191.0,,,,,7.0,5.0,7.0,2.0,,,5.0,,,6.0,26.0,24.0,24.0,44.0,18.0,,,,,18.0,,,,33.0,,107.0,107.0,,,115.0,115.0,21.0,21.0,21.0,,,,,,10.0,10.0,,,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,3.0,,,,,,,3.0,,3.0,3.0,,3.0,,,3.0,,3.0,,3.0,3.0,3.0,,3.0,,Hunter Valley exc Newcastle
107,51.0,44.0,51.0,51.0,2.0,1.0,1.0,,73.0,,,,,,,,,,,,,,,,,,,,,,,,,,,18.0,17.0,29.0,29.0,29.0,29.0,29.0,,1.0,,1.0,,,,,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,1.0,1.0,,2.0,79.0,,,2.0,,2.0,2.0,2.0,,,2.0,2.0,,,,,,,,,,,,,,,,,,1.0,11.0,11.0,,,,,,,,2.0,,,,,,,1.0,1.0,4.0,1.0,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,2.0,2.0,,,2.0,2.0,,,1.0,1.0,,,3.0,3.0,3.0,,3.0,3.0,,,,,,,,,,1.0,,1.0,,1.0,1.0,1.0,,1.0,,Illawarra
108,,,,,15.0,5.0,10.0,8.0,,,,,,,,,,,,,,,,,,,,16.0,21.0,,,,,,,,96.0,,,129.0,,,16.0,10.0,,10.0,,,9.0,,,,,,,,,,,,,,21.0,21.0,18.0,22.0,7.0,4.0,4.0,4.0,,,,,29.0,18.0,29.0,2.0,2.0,,2.0,5.0,5.0,,5.0,29.0,,,,,4.0,4.0,4.0,,,4.0,4.0,4.0,,6.0,,,,2.0,2.0,,2.0,2.0,,2.0,3.0,6.0,4.0,6.0,4.0,6.0,,,,3.0,,,,,11.0,7.0,11.0,11.0,,,,,,,,,,,,,,,,,,,10.0,,10.0,15.0,1000.0,7.0,7.0,,8.0,30.0,30.0,19.0,5.0,5.0,2.0,12.0,9.0,9.0,,,,,,,8.0,,,,,8.0,,,4.0,15.0,133.0,133.0,113.0,113.0,113.0,113.0,6.0,6.0,6.0,15.0,,,,,10.0,7.0,5.0,5.0,13.0,,,,,,,1.0,,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,6.0,3.0,3.0,,3.0,3.0,,,,,,,,,,3.0,,3.0,,3.0,3.0,3.0,,3.0,,Mid North Coast
109,960.0,840.0,1102.0,964.0,1250.0,834.0,667.0,1511.0,1185.0,733.0,,437.0,7.0,314.0,,,1173.0,733.0,,437.0,7.0,314.0,,,1173.0,,,12.0,6.0,,,,,,,2108.0,70.0,81.0,88.0,37.0,86.0,,12.0,1139.0,486.0,923.0,,,,,6.0,5.0,5.0,6.0,1.0,1.0,,1.0,4.0,4.0,4.0,4.0,18.0,18.0,15.0,22.0,,,,,1.0,1.0,,1.0,,,,,,28.0,,5.0,5.0,9.0,9.0,,,,,,5.0,5.0,5.0,2.0,,3.0,3.0,3.0,,,,,,,,33.0,,30.0,4.0,34.0,11.0,13.0,8.0,9.0,,,,,,11.0,4.0,3.0,3.0,3.0,10.0,2.0,10.0,10.0,,,,,,,167.0,164.0,36.0,164.0,,,17.0,,,,18.0,,1143.0,505.0,942.0,1156.0,2505.0,,,9.0,6.0,9.0,9.0,8.0,6.0,6.0,6.0,6.0,6.0,6.0,,17.0,,,58.0,726.0,9.0,,,,726.0,9.0,,,17.0,1095.0,,,1017.0,1017.0,591.0,591.0,47.0,32.0,47.0,1364.0,,,,,,,,,73.0,,,,,3.0,3.0,8.0,8.0,8.0,8.0,4.0,4.0,,,3.0,3.0,,,2.0,2.0,,,2.0,2.0,30.0,30.0,,,,,,,,,,,,7.0,,7.0,7.0,,7.0,,,6.0,3.0,5.0,,3.0,3.0,6.0,3.0,5.0,,Murray
110,3019.0,2635.0,3644.0,3309.0,1613.0,884.0,,1777.0,3710.0,728.0,,,2.0,1.0,,43.0,1044.0,728.0,,,2.0,1.0,,43.0,1044.0,,,,21.0,375.0,234.0,,375.0,234.0,,2215.0,32.0,73.0,39.0,15.0,26.0,80.0,,1391.0,,1121.0,,2.0,1.0,2.0,,,,,1.0,1.0,,1.0,,,1.0,,,,,,,,,,,,1.0,,1.0,1.0,1.0,,,,,,,,,1.0,1.0,1.0,,1.0,,,,,31.0,3.0,3.0,3.0,,,37.0,11.0,39.0,21.0,21.0,1.0,21.0,,,,,,,,,,,,,,,,1.0,1.0,,1.0,,,,,,,1.0,1.0,5.0,5.0,,5.0,1.0,1.0,,1.0,4.0,4.0,,4.0,1441.0,,1206.0,1276.0,4495.0,,,13.0,,10.0,6.0,8.0,,,,7.0,,5.0,30.0,2.0,67.0,67.0,,,,655.0,6.0,6.0,,,655.0,1241.0,55.0,1429.0,,,,,139.0,139.0,38.0,45.0,46.0,1767.0,2.0,2.0,2.0,2.0,1.0,,9.0,9.0,41.0,,,,,4.0,4.0,,,,,,,,,,,4.0,4.0,,,,,,,,,,,,,25.0,,,,,,,1.0,1.0,,1.0,1.0,,1.0,1.0,1.0,,1.0,,1.0,1.0,1.0,,1.0,,New England and North West
