SA4_MAIN11,P15_19_Managers,P15_19_Professionals,P15_19_TechnicTrades_Wrs,P15_19_CommunPersnlSvc_W,P15_19_ClericalAdminis_W,P15_19_Sales_W,P15_19_Mach_oper_drivers,P15_19_Labourers,P15_19_Occu_ID_NS,P15_19_Tot,P20_24_Managers,P20_24_Professionals,P20_24_TechnicTrades_W,P20_24_CommunPersnlSvc_W,P20_24_ClericalAdminis_W,P20_24_Sales_W,P20_24_Mach_oper_drivers,P20_24_Labourers,P20_24_Occu_ID_NS,P20_24_Tot,P25_34_Managers,P25_34_Professionals,P25_34_TechnicTrades_W,P25_34_CommunPersnlSvc_W,P25_34_ClericalAdminis_W,P25_34_Sales_W,P25_34_Mach_oper_drivers,P25_34_Labourers,P25_34_Occu_ID_NS,P25_34_Tot,P35_44_Managers,P35_44_Professionals,P35_44_TechnicTrades_W,P35_44_CommunPersnlSvc_W,P35_44_ClericalAdminis_W,P35_44_Sales_W,P35_44_Mach_oper_drivers,P35_44_Labourers,P35_44_Occu_ID_NS,P35_44_Tot,P45_54_Managers,P45_54_Professionals,P45_54_TechnicTrades_W,P45_54_CommunPersnlSvc_W,P45_54_ClericalAdminis_W,P45_54_Sales_W,P45_54_Mach_oper_drivers,P45_54_Labourers,P45_54_Occu_ID_NS,P45_54_Tot,P55_64_Managers,P55_64_Professionals,P55_64_TechnicTrades_W,P55_64_CommunPersnlSvc_W,P55_64_ClericalAdminis_W,P55_64_Sales_W,P55_64_Mach_oper_drivers,P55_64_Labourers,P55_64_Occu_ID_NS,P55_64_Tot,P65_74_Managers,P65_74_Professionals,P65_74_TechnicTrades_W,P65_74_CommunPersnlSvc_W,P65_74_ClericalAdminis_W,P65_74_Sales_W,P65_74_Mach_oper_drivers,P65_74_Labourers,P65_74_Occu_ID_NS,P65_74_Tot,P75_84_Managers,P75_84_Professionals,P75_84_TechnicTrades_W,P75_84_CommunPersnlSvc_W,P75_84_ClericalAdminis_W,P75_84_Sales_W,P75_84_Mach_oper_drivers,P75_84_Labourers,P75_84_Occu_ID_NS,P75_84_Tot,P85_ov_Managers,P85_ov_Professionals,P85_ov_TechnicTrades_W,P85_ov_CommunPersnlSvc_W,P85_ov_ClericalAdminis_W,P85_ov_Sales_W,P85_ov_Mach_oper_drivers,P85_ov_Labourers,P85_ov_Occu_ID_NS,P85_ov_Tot,P_Tot_Managers,P_Tot_Professionals,P_Tot_TechnicTrades_W,P_Tot_CommunPersnlSvc_W,P_Tot_ClericalAdminis_W,P_Tot_Sales_W,P_Tot_Mach_oper_drivers,P_Tot_Labourers,P_Tot_Occu_ID_NS,P_Tot_Tot,SA4_NAME11
112,113,76,777,704,243,2380,151,1287,92,5823,318,494,1389,1125,561,1265,277,1050,104,6583,1388,2618,2635,1782,1540,1340,728,1638,184,13853,2684,4422,2952,2455,2683,1690,1107,2164,282,20439,3395,4982,3174,2965,3486,1897,1481,2844,332,24556,2740,3736,2038,1562,2271,1303,1146,1909,254,16959,892,516,232,168,353,224,263,344,84,3076,280,53,8,18,44,28,20,35,43,529,24,8,3,3,3,3,0,3,19,66,11834,16905,13208,10782,11184,10130,5173,11274,1394,91884,Richmond - Tweed
113,108,70,1086,637,193,1621,115,946,103,4879,401,648,1720,901,583,868,285,1052,102,6560,1443,2392,2165,1327,1414,960,778,1681,197,12357,2427,2671,1848,1450,1992,988,1073,1809,216,14474,3183,2480,1892,1445,2230,1046,1380,2118,221,15995,2380,1666,1208,826,1382,659,1088,1417,188,10814,1099,304,214,112,252,125,222,280,73,2681,315,33,12,9,27,14,18,41,25,494,50,5,3,0,3,5,0,8,10,84,11406,10269,10148,6707,8076,6286,4959,9352,1135,68338,Riverina
114,72,38,582,579,146,1178,71,702,69,3437,243,354,1121,689,357,598,169,523,68,4122,794,1258,1783,995,770,710,436,722,109,7577,1570,2218,1877,1403,1499,909,688,1088,163,11415,2016,2847,1983,1656,1982,1068,838,1406,198,13994,1472,2238,1242,889,1392,785,722,956,144,9840,553,497,225,122,309,214,158,192,58,2328,90,68,16,10,37,14,8,19,31,293,23,0,0,0,0,0,0,0,20,43,6833,9518,8829,6343,6492,5476,3090,5608,860,53049,Southern Highlands and Shoalhaven
115,104,287,968,1135,572,2169,148,967,103,6453,629,2004,1731,1510,1645,1801,297,641,174,10432,2320,5512,2367,1121,2476,1261,579,680,306,16622,5281,7342,3041,1545,4492,1682,836,994,371,25584,6014,7133,3034,1568,4968,1805,1083,1251,351,27207,3502,4881,1760,900,3481,1342,832,906,275,17879,785,976,414,164,710,346,242,253,98,3988,94,100,24,9,57,30,22,24,29,389,9,5,4,0,6,0,0,0,0,24,18738,28240,13343,7952,18407,10436,4039,5716,1707,108578,Sydney - Baulkham Hills and Hawkesbury
116,102,176,1045,774,611,2528,262,1213,193,6904,653,1785,2073,1645,2417,2154,1025,1338,317,13407,3222,7697,4602,2714,6227,2559,3243,2617,699,33580,3800,6696,4386,2824,6156,2195,3721,2994,646,33418,2825,4521,3745,2460,5442,1798,3853,3443,570,28657,1401,2385,2137,1414,3399,1093,2227,2161,327,16544,179,324,291,202,387,178,323,344,70,2298,11,21,5,10,15,5,13,27,20,127,0,0,0,0,0,3,0,0,5,8,12193,23605,18284,12043,24654,12513,14667,14137,2847,134943,Sydney - Blacktown
117,61,177,262,687,324,945,39,304,61,2860,955,3563,1544,3014,2515,2353,275,887,301,15407,7513,22865,4866,4757,7277,3753,845,2070,972,54918,7091,13200,3048,2363,4692,1939,904,1326,570,35133,4130,7205,1945,1557,3269,1213,954,1263,364,21900,1961,3959,1026,849,2003,713,714,1030,232,12487,343,872,205,157,383,183,160,249,98,2650,41,101,18,10,43,27,8,21,39,308,9,4,3,0,6,7,0,0,7,36,22104,51946,12917,13394,20512,11133,3899,7150,2644,145699,Sydney - City and Inner South
118,61,188,247,785,324,913,47,335,62,2962,739,2737,1038,2201,1760,1819,184,562,204,11244,5883,16987,3310,3068,4528,2707,529,1046,644,38702,6742,12247,2294,1890,3734,1828,491,759,549,30534,4506,8264,1698,1577,3415,1313,622,846,449,22690,2524,5173,1130,925,2656,1021,569,684,318,15000,741,1517,302,245,790,363,174,267,156,4555,123,247,32,33,117,78,11,31,79,751,26,30,6,6,15,18,0,3,36,140,21345,47390,10057,10730,17339,10060,2627,4533,2497,126578,Sydney - Eastern Suburbs
119,139,322,1276,1273,841,2973,208,1253,199,8484,996,3564,3263,3219,3645,3828,805,1930,637,21887,5584,15062,7362,4781,9422,4994,2803,4041,1386,55435,6990,11751,7154,4146,9332,3833,3952,3977,1105,52240,6163,8732,6817,3961,8624,3400,4963,5165,1046,48871,3115,4878,3810,2026,5149,1910,3034,3618,634,28174,547,927,702,358,987,395,592,688,170,5366,73,107,50,19,80,30,27,44,65,495,14,14,8,0,13,7,0,3,13,72,23621,45357,30442,19783,38093,21370,16384,20719,5255,221024,Sydney - Inner South West
120,61,210,318,812,399,1331,45,405,71,3652,663,2434,1323,2033,1853,2095,226,883,269,11779,5110,14623,3508,2912,5292,2927,726,1694,714,37506,7179,12251,2893,1909,4922,1970,759,1189,565,33637,5281,9000,2640,1676,4412,1670,1040,1495,412,27626,2680,5580,1542,942,2929,993,792,1109,309,16876,464,1108,376,173,611,239,177,301,101,3550,51,136,33,15,48,39,11,20,37,390,3,16,3,0,0,8,0,3,15,48,21492,45358,12636,10472,20466,11272,3776,7099,2493,135064,Sydney - Inner West
121,104,398,486,1679,635,2158,130,873,107,6570,869,3731,1533,3013,2454,2603,248,667,259,15377,6462,19912,3329,2814,5630,2804,425,986,721,43083,10981,19347,3056,2183,6071,2299,514,938,748,46137,10083,16423,2679,2092,6367,2242,677,1247,743,42553,5531,10781,1545,1302,5018,1709,545,963,520,27914,1445,3125,409,382,1541,567,160,364,203,8196,200,459,48,37,197,64,23,41,92,1161,36,54,3,0,19,9,0,5,28,154,35711,74230,13088,13502,27932,14455,2722,6084,3421,191145,Sydney - North Sydney and Hornsby
