sa4_code16,sa4_name16,num_jobs_000_males,num_jobs_000_females,num_jobs_000_persons,median_income_per_job_aud_males,median_income_per_job_aud_females,median_income_per_job_aud_persons
101,Capital Region,87.84200000000001,82.57799999999999,170.426,25942,19526,22352
102,Central Coast,120.075,113.135,233.21200000000002,32804,21215,26265
103,Central West,79.982,71.146,151.128,25881,18233,21487
104,Coffs Harbour - Grafton,48.981,46.875,95.851,22036,16342,19025
105,Far West and Orana,44.683,40.711,85.399,23150,17973,20220
106,Hunter Valley exc Newcastle,99.818,87.12,186.945,35589,19494,25811
107,Illawarra,107.47399999999999,98.05,205.528,35926,22774,28286
108,Mid North Coast,66.383,63.5,129.885,24031,18363,20971
109,Murray,45.57,42.233999999999995,87.806,24032,17170,20198
110,New England and North West,71.041,63.776,134.819,22341,17003,19500
111,Newcastle and Lake Macquarie,137.314,130.003,267.315,34285,21901,27025
112,Richmond - Tweed,87.67299999999999,86.807,174.482,22484,16784,19393
113,Riverina,65.058,59.332,124.384,26077,18149,21539
114,Southern Highlands and Shoalhaven,50.17100000000001,48.565,98.73100000000001,27531,17900,21933
115,Sydney - Baulkham Hills and Hawkesbury,93.43700000000001,90.20200000000001,183.64,41736,24990,32125
116,Sydney - Blacktown,142.19,116.823,259.01099999999997,33043,25310,29050
117,Sydney - City and Inner South,188.204,167.58,355.79,22283,17603,19950
118,Sydney - Eastern Suburbs,126.245,131.405,257.651,31844,21750,26000
119,Sydney - Inner South West,226.271,192.24,418.50699999999995,27434,22644,25114
120,Sydney - Inner West,129.884,126.132,256.015,32387,25692,28860
121,Sydney - North Sydney and Hornsby,167.793,171.257,339.05199999999996,44896,26582,34197
122,Sydney - Northern Beaches,112.03299999999999,113.585,225.61599999999999,37865,22056,28623
123,Sydney - Outer South West,107.29,92.71700000000001,200.00099999999998,36408,24848,30124
124,Sydney - Outer West and Blue Mountains,126.5,115.63,242.12599999999998,36427,24066,29614
125,Sydney - Parramatta,185.50599999999997,143.60299999999998,329.106,27007,22432,24961
126,Sydney - Ryde,72.793,71.59899999999999,144.391,37000,24811,30184
127,Sydney - South West,146.167,119.07,265.241,31612,24000,27786
128,Sydney - Sutherland,89.63799999999999,90.04799999999999,179.687,42813,25538,32725
201,Ballarat,56.489,55.49100000000001,111.986,28250,18262,22408
202,Bendigo,55.516000000000005,55.846000000000004,111.35700000000001,28238,17537,21878
203,Geelong,104.639,103.816,208.458,30234,18658,23303
204,Hume,67.277,65.708,132.97799999999998,25664,15656,19999
205,Latrobe - Gippsland,99.958,94.554,194.512,27943,16468,21263
206,Melbourne - Inner,293.197,300.502,593.694,25463,19059,21837
207,Melbourne - Inner East,139.30100000000002,142.60299999999998,281.906,31865,20374,25007
208,Melbourne - Inner South,160.886,165.392,326.279,36734,22325,28105
209,Melbourne - North East,193.30700000000002,183.13,376.435,33516,21733,26796
210,Melbourne - North West,137.68,119.338,257.017,31123,22271,26260
211,Melbourne - Outer East,199.547,198.66,398.205,36016,20712,26912
212,Melbourne - South East,300.42400000000004,257.572,557.997,29761,20500,24792
213,Melbourne - West,296.948,251.03599999999997,547.989,31200,21899,26151
214,Mornington Peninsula,108.085,108.056,216.142,33446,19538,25092
215,North West,59.727,55.787,115.515,19186,14300,16487
216,Shepparton,51.06,49.083999999999996,100.14399999999999,23336,15505,19096
217,Warrnambool and South West,52.498000000000005,49.693999999999996,102.193,22460,14432,17969
301,Brisbane - East,91.691,87.141,178.829,35767,23494,28650
302,Brisbane - North,88.43700000000001,84.478,172.91400000000002,35281,25570,29848
303,Brisbane - South,149.159,138.942,288.10200000000003,26938,21058,23825
304,Brisbane - West,71.858,71.786,143.643,37934,21783,28272
305,Brisbane Inner City,130.31,125.445,255.755,27148,19415,22834
306,Cairns,109.486,101.06200000000001,210.553,20452,16073,18151
307,Darling Downs - Maranoa,56.044,47.659,103.704,20270,14205,17160
308,Central Queensland,94.656,76.661,171.317,37499,19852,27178
309,Gold Coast,238.69400000000002,228.477,467.17400000000004,25193,18445,21285
310,Ipswich,125.42299999999999,106.84100000000001,232.261,30283,21658,25558
311,Logan - Beaudesert,129.061,106.338,235.403,29491,22500,25868
312,Mackay - Isaac - Whitsunday,77.873,62.441,140.317,34954,18598,25410
313,Moreton Bay - North,87.515,77.735,165.25400000000002,27545,19504,23169
314,Moreton Bay - South,80.036,75.058,155.092,38141,23928,29956
315,Queensland - Outback,30.225,27.299,57.52,28014,17154,21800
316,Sunshine Coast,134.675,131.06799999999998,265.741,25000,17070,20354
317,Toowoomba,60.75899999999999,56.301,117.06299999999999,26543,18727,22000
318,Townsville,96.296,86.307,182.59900000000002,31598,21146,25634
319,Wide Bay,97.96,87.21700000000001,185.178,20717,16200,18347
401,Adelaide - Central and Hills,112.84700000000001,114.39299999999999,227.238,31821,21148,25700
402,Adelaide - North,149.166,133.438,282.601,34477,23532,28244
403,Adelaide - South,130.48,130.33100000000002,260.81,34066,23262,27723
404,Adelaide - West,86.15,82.51100000000001,168.65900000000002,30750,23120,26479
