sa4_code16,sa4_name16,num_employed_000_males,num_employed_000_females,num_employed_000_persons,median_income_per_employed_aud_males,median_income_per_employed_aud_females,median_income_per_employed_aud_persons
101,Capital Region,62.619,56.957,119.581,44610,33688,38881
102,Central Coast,87.751,80.189,167.937,48511,32143,39676
103,Central West,58.45399999999999,50.6,109.057,46741,30691,38337
104,Coffs Harbour - Grafton,34.938,32.17,67.111,36286,27360,31471
105,Far West and Orana,32.839,28.895,61.732,41829,31344,36417
106,Hunter Valley exc Newcastle,74.258,62.015,136.27200000000002,59745,30175,42591
107,Illawarra,78.598,68.95,147.545,56238,33288,42972
108,Mid North Coast,49.156000000000006,46.018,95.17299999999999,36441,27553,31675
109,Murray,33.29,29.188000000000002,62.473,43176,29980,36360
110,New England and North West,52.144,45.556999999999995,97.699,39528,28881,34194
111,Newcastle and Lake Macquarie,102.084,92.13799999999999,194.227,55502,34302,43474
112,Richmond - Tweed,62.383,59.0,121.381,36189,27302,31448
113,Riverina,46.145,39.924,86.069,44254,30941,37443
114,Southern Highlands and Shoalhaven,36.534,33.198,69.733,41687,28151,34609
115,Sydney - Baulkham Hills and Hawkesbury,68.469,62.662,131.137,59722,38418,47665
116,Sydney - Blacktown,93.751,77.543,171.28900000000002,51590,38846,45200
117,Sydney - City and Inner South,115.859,98.152,214.013,46710,38850,42886
118,Sydney - Eastern Suburbs,86.57700000000001,84.897,171.472,55660,43247,49100
119,Sydney - Inner South West,159.753,131.746,291.493,43109,36449,39821
120,Sydney - Inner West,89.291,84.01799999999999,173.30700000000002,51836,44110,47941
121,Sydney - North Sydney and Hornsby,122.21600000000001,116.53399999999999,238.75099999999998,67224,44384,54000
122,Sydney - Northern Beaches,81.253,75.627,156.876,55642,38150,45959
123,Sydney - Outer South West,74.131,63.628,137.763,53541,37198,44922
124,Sydney - Outer West and Blue Mountains,90.148,80.253,170.40099999999998,54258,37125,45116
125,Sydney - Parramatta,123.544,96.82,220.365,44470,36894,40816
126,Sydney - Ryde,51.765,48.917,100.681,55130,40275,47137
127,Sydney - South West,102.404,81.551,183.954,45708,35755,40741
