sa4_code_2016,earners_persons,median_age_of_earners_years,income_aud,median_aud,mean_aud,p80_to_p20_ratio,p80_to_p50_ratio,p20_to_p50_ratio,p10_to_p50_ratio,gini_coefficient_no,income_share_top_1pc,income_share_top_5pc,income_share_top_10pc,lowest_quartile_pc,second_quartile_pc,third_quartile_pc,highest_quartile_pc,sa4_name16
214,149647,44,7122934803,38403,47598,4.99,1.84,0.37,0.16,0.465,8.3,20.9,31.7,25.9,27.1,25.8,21.3,Mornington Peninsula
215,77754,45,3163730990,34684,40689,5.75,1.81,0.31,0.12,0.478,6.9,19.5,30.7,30.2,28.4,25.0,16.3,North West
216,67750,44,2679531077,34108,39550,5.58,1.8,0.32,0.12,0.47200000000000003,7.1,18.9,29.9,30.4,28.8,25.5,15.4,Shepparton
217,69439,45,3005670110,36431,43285,5.5,1.83,0.33,0.13,0.46799999999999997,6.8,19.3,30.3,28.5,27.1,25.5,18.9,Warrnambool and South West
301,120821,43,6369229180,42954,52716,4.7,1.81,0.38,0.17,0.45399999999999996,7.9,20.4,31.2,22.6,24.8,26.9,25.7,Brisbane - East
302,112635,40,5898745931,44397,52370,4.63,1.76,0.38,0.17,0.435,6.4,18.4,29.1,22.2,23.5,27.7,26.5,Brisbane - North
303,186259,38,9658737087,41733,51856,5.27,1.85,0.35,0.16,0.46799999999999997,8.0,20.9,31.8,25.0,23.9,25.3,25.7,Brisbane - South
304,102580,42,6707818543,46230,65391,6.15,1.97,0.32,0.14,0.526,11.7,26.6,38.0,24.5,20.8,21.5,33.2,Brisbane - West
305,145462,35,10090798423,47404,69371,5.69,1.97,0.35,0.16,0.5329999999999999,12.3,28.0,39.6,22.6,21.0,22.8,33.6,Brisbane Inner City
306,125125,42,5589683511,37494,44673,4.87,1.8,0.37,0.16,0.457,7.0,19.3,30.2,26.2,28.3,26.0,19.5,Cairns
307,65989,44,2558369897,33423,38770,6.26,1.86,0.3,0.09,0.523,7.1,19.9,31.6,31.6,28.1,23.9,16.3,Darling Downs - Maranoa
308,114203,41,6311046023,44744,55262,5.55,1.99,0.36,0.15,0.469,5.7,17.5,29.2,22.9,23.1,22.5,31.5,Central Queensland
309,287624,41,13266906350,36529,46126,4.94,1.83,0.37,0.16,0.48200000000000004,9.8,22.8,33.6,27.1,29.0,24.9,19.0,Gold Coast
310,140494,40,6326567977,40916,45031,4.39,1.67,0.38,0.17,0.41200000000000003,5.3,16.0,26.3,23.9,25.9,30.2,20.0,Ipswich
311,151114,40,6706427073,40042,44380,4.01,1.65,0.41,0.19,0.401,5.3,16.1,26.3,22.7,28.4,30.6,18.3,Logan - Beaudesert
312,95746,40,5653892827,46317,59051,5.42,2.07,0.38,0.17,0.45899999999999996,5.7,17.4,29.0,21.2,23.3,22.1,33.4,Mackay - Isaac - Whitsunday
313,109745,42,4707980171,37195,42899,4.96,1.76,0.36,0.15,0.441,6.0,17.7,28.6,27.0,27.9,26.9,18.2,Moreton Bay - North
314,97072,41,5052538376,44279,52049,4.44,1.75,0.39,0.17,0.431,6.4,18.3,28.9,21.6,24.1,28.0,26.3,Moreton Bay - South
315,37430,40,1883433260,41295,50319,5.27,1.93,0.37,0.15,0.48,7.1,18.8,30.1,24.3,25.2,23.7,26.8,Queensland - Outback
316,175212,45,7496361329,33614,42785,5.81,1.91,0.33,0.13,0.498,8.6,22.2,33.6,30.8,28.8,22.7,17.7,Sunshine Coast
317,76823,42,3499799638,38668,45557,5.14,1.79,0.35,0.13,0.452,7.0,18.9,29.6,26.2,26.6,26.7,20.5,Toowoomba
318,121911,40,6303579998,44608,51706,4.37,1.73,0.39,0.18,0.429,6.4,17.8,28.3,21.4,24.2,28.1,26.3,Townsville
319,130179,45,5020100412,31869,38563,6.49,1.91,0.29,0.1,0.491,6.9,19.6,31.1,32.9,28.8,22.7,15.6,Wide Bay
401,167403,44,10159157928,43445,60687,5.47,1.92,0.35,0.15,0.516,10.9,26.2,37.5,24.0,23.2,23.4,29.4,Adelaide - Central and Hills
402,202178,40,8820674471,39861,43628,4.0,1.63,0.41,0.19,0.395,4.9,15.5,25.6,23.0,28.3,31.1,17.6,Adelaide - North
